"Language","glotto","Source"
"Kaingáng","kain1272","IDS"
"Trumai","trum1247","IDS"
"Ayoreo","ayor1240","IDS"
"Sanapaná (Angaité dialect)","anga1295","IDS"
"Sanapaná (Enlhet dialect)","sana1281","IDS"
"Lengua","leng1262","IDS"
"Mocoví","moco1246","IDS"
"Pilagá","pila1245","IDS"
"Chorote","iyoj1235","IDS"
"Maca","maca1260","IDS"
"Nivaclé","niva1238","IDS"
"Kunza","kunz1244","IDS"
"Tehuelche","tehu1242","IDS"
"Selknam","onaa1245","IDS"
"Gününa Küne","puel1244","IDS"
"Qawasqar","qawa1238","IDS"
"Toba","toba1269","IDS"
"Yagán","yama1264","IDS"
"Southern Tai (Songkhla variety)","sout2746","IDS"
"Thai (Korat variety)","sout2745","IDS"
"Khamuang (Chiang Mai variety)","nort2740","IDS"
"Dehong","tain1252","IDS"
"Tai Lü","luuu1242","IDS"
"Tai Khün","khun1259","IDS"
"Shan (Northern Shan dialect)","shan1277","IDS"
"Nung-Lazhai","guib1244","IDS"
"Nung-Ninbei","nung1283","IDS"
"Zhuang-Longzhou","zuoj1238","IDS"
"Sui","suii1243","IDS"
"Lakkia","lakk1238","IDS"
"Hlai (Baoting variety)","hlai1239","IDS"
"Langja Buyang","emab1235","IDS"
"Ecun Buyang","lang1316","IDS"
"Sanchong Kelao","gree1278","IDS"
"Qau Kelao","qaua1234","IDS"
"Bengali","beng1280","IDS"
"Hindi","hind1269","IDS"
"Mahasu Pahari (Kotghari dialect)","maha1287","IDS"
"Marathi","mara1378","IDS"
"Nepali","east1436","IDS"
"Punjabi","west2386","IDS"
"Tamil","tami1289","IDS"
"Telugu","telu1262","IDS"
"Tibetan","tibe1272","IDS"
"Archi","arch1244","WOLD"
"Bezhta","bezh1248","WOLD"
"Ceq Wong","chew1245","WOLD"
"Dutch","dutc1256","WOLD"
"English","stan1293","WOLD"
"Gawwada","gaww1239","WOLD"
"Gurindji","guri1247","WOLD"
"Hausa","haus1257","WOLD"
"Hawaiian","hawa1245","WOLD"
"Hup","hupd1244","WOLD"
"Imbabura Quechua","imba1240","WOLD"
"Indonesian","indo1316","WOLD"
"Iraqw","iraq1241","WOLD"
"Japanese","nucl1643","WOLD"
"Kanuri","cent2050","WOLD"
"Kali'na","gali1262","WOLD"
"Ket","kett1243","WOLD"
"Kildin Saami","kild1236","WOLD"
"Lower Sorbian","lowe1385","WOLD"
"Malagasy","plat1254","WOLD"
"Manange","mana1288","WOLD"
"Mapudungun","mapu1245","WOLD"
"Mandarin Chinese","mand1415","WOLD"
"Old High German","oldh1241","WOLD"
"Oroqen","oroq1238","WOLD"
"Otomi","mezq1235","WOLD"
"Q'eqchi'","kekc1242","WOLD"
"Romanian","roma1327","WOLD"
"Sakha","yaku1245","WOLD"
"Saramaccan","sara1340","WOLD"
"Selice Romani","west2376","WOLD"
"Swahili","swah1253","WOLD"
"Tarifiyt Berber","tari1263","WOLD"
"Thai","thai1261","WOLD"
"Takia","taki1248","WOLD"
"Vietnamese","viet1252","WOLD"
"White Hmong","hmon1333","WOLD"
"Wichí","wich1264","WOLD"
"Yaqui","yaqu1251","WOLD"
"Zinacantán Tzotzil","tzot1259","WOLD"
"Khasi","khas1269","Sprakbanken"
"Nepali","nepa1252","Sprakbanken"
"Punjabi","panj1256","Sprakbanken"
"English","stan1293","XX"
"Selice Romani","west2376","XX"
"Tarifiyt Berber","tari1263","XX"
