ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
13-105-167-1,anci1242,Ancient Greek ,1634,heka'ton,LatinTrans,hundred,buck1949;liddell1996;magnien1985,,,
13-104-167-1,anci1242,Ancient Greek ,1710,'eikosi,LatinTrans,twenty,buck1949;liddell1996;magnien1985,,,
13-103-167-1,anci1242,Ancient Greek ,1709,'pente kai 'deka,LatinTrans,fifteen,buck1949;liddell1996;magnien1985,,,
13-102-167-1,anci1242,Ancient Greek ,1707,'dōdeka,LatinTrans,twelve,buck1949;liddell1996;magnien1985,,,
13-101-167-1,anci1242,Ancient Greek ,1706,'hendeka,LatinTrans,eleven,buck1949;liddell1996;magnien1985,,,
13-100-167-1,anci1242,Ancient Greek ,1515,'deka,LatinTrans,ten,buck1949;liddell1996;magnien1985,,,
13-90-167-1,anci1242,Ancient Greek ,1483,en'nea,LatinTrans,nine,buck1949;liddell1996;magnien1985,,,
13-80-167-1,anci1242,Ancient Greek ,1705,o'ktō,LatinTrans,eight,buck1949;liddell1996;magnien1985,,,
13-70-167-1,anci1242,Ancient Greek ,1704,he'pta,LatinTrans,seven,buck1949;liddell1996;magnien1985,,,
13-60-167-1,anci1242,Ancient Greek ,1703,heks,LatinTrans,six,buck1949;liddell1996;magnien1985,,,
13-50-167-1,anci1242,Ancient Greek ,493,'pente,LatinTrans,five,buck1949;liddell1996;magnien1985,,,
13-40-167-1,anci1242,Ancient Greek ,1500,'tessares,LatinTrans,four,buck1949;liddell1996;magnien1985,,,
13-20-167-1,anci1242,Ancient Greek ,1498,'duo,LatinTrans,two,buck1949;liddell1996;magnien1985,,,
13-30-167-1,anci1242,Ancient Greek ,492,'treis,LatinTrans,three,buck1949;liddell1996;magnien1985,,,
13-10-167-1,anci1242,Ancient Greek ,1493,'heis,LatinTrans,one,buck1949;liddell1996;magnien1985,,,
13-0-167-1,anci1242,Ancient Greek ,1294,ou'den,LatinTrans,"zero, nothing",buck1949;liddell1996;magnien1985,,,
13-0-167-3,anci1242,Ancient Greek ,1294,mē'den,LatinTrans,"zero, nothing",buck1949;liddell1996;magnien1985,,,
12-930-167-1,anci1242,Ancient Greek ,1264,al'lassō,LatinTrans,change,buck1949;liddell1996;magnien1985,,,
12-930-167-3,anci1242,Ancient Greek ,1264,a'meibō,LatinTrans,change,buck1949;liddell1996;magnien1985,,,
12-920-167-1,anci1242,Ancient Greek ,1558,'homoios,LatinTrans,"like, similar",buck1949;liddell1996;magnien1985,,,
12-840-167-1,anci1242,Ancient Greek ,1048,'stikʰos,LatinTrans,line,buck1949;liddell1996;magnien1985,,,
12-840-167-3,anci1242,Ancient Greek ,1048,'stoikʰos,LatinTrans,line,buck1949;liddell1996;magnien1985,,,
12-850-167-1,anci1242,Ancient Greek ,1667,o'pē,LatinTrans,hole,buck1949;liddell1996;magnien1985,,,
12-850-167-3,anci1242,Ancient Greek ,1667,'trūpēma,LatinTrans,hole,buck1949;liddell1996;magnien1985,,,
12-830-167-1,anci1242,Ancient Greek ,1845,'spʰaira,LatinTrans,"sphere, ball",buck1949;liddell1996;magnien1985,,,
12-810-167-1,anci1242,Ancient Greek ,1395,stroŋ'gulos,LatinTrans,round,buck1949;liddell1996;magnien1985,,,
12-820-167-1,anci1242,Ancient Greek ,1467,'kuklos,LatinTrans,circle,buck1949;liddell1996;magnien1985,,,
12-780-167-1,anci1242,Ancient Greek ,850,te'tragōnon,LatinTrans,square,buck1949;liddell1996;magnien1985,,,
12-770-167-1,anci1242,Ancient Greek ,1367,stau'ros,LatinTrans,cross,buck1949;liddell1996;magnien1985,,,
12-760-167-1,anci1242,Ancient Greek ,192,gō'niā,LatinTrans,corner,buck1949;liddell1996;magnien1985,,,
12-750-167-1,anci1242,Ancient Greek ,1071,'aŋkistron,LatinTrans,hook,buck1949;liddell1996;magnien1985,,,
12-740-167-1,anci1242,Ancient Greek ,297,skoli'os,LatinTrans,crooked,buck1949;liddell1996;magnien1985,,,
12-740-167-3,anci1242,Ancient Greek ,297,kam'pulos,LatinTrans,crooked,buck1949;liddell1996;magnien1985,,,
12-740-167-5,anci1242,Ancient Greek ,297,aŋ'kulos,LatinTrans,crooked,buck1949;liddell1996;magnien1985,,,
12-730-167-1,anci1242,Ancient Greek ,1404,eu'tʰus,LatinTrans,straight,buck1949;liddell1996;magnien1985,,,
12-730-167-3,anci1242,Ancient Greek ,1404,or'tʰos,LatinTrans,straight,buck1949;liddell1996;magnien1985,,,
12-710-167-1,anci1242,Ancient Greek ,1633,pla'tus,LatinTrans,flat,buck1949;liddell1996;magnien1985,,,
12-710-167-3,anci1242,Ancient Greek ,1633,'isos,LatinTrans,flat,buck1949;liddell1996;magnien1985,,,
12-710-167-5,anci1242,Ancient Greek ,1633,pedi'nos,LatinTrans,flat,buck1949;liddell1996;magnien1985,,,
12-680-167-1,anci1242,Ancient Greek ,193,aba'tʰēs,LatinTrans,shallow,buck1949;liddell1996;magnien1985,,,
12-670-167-1,anci1242,Ancient Greek ,1593,ba'tʰus,LatinTrans,deep,buck1949;liddell1996;magnien1985,,,
12-650-167-1,anci1242,Ancient Greek ,2249,le'ptos,LatinTrans,thin (in dimension),buck1949;liddell1996;magnien1985,,,
12-630-167-1,anci1242,Ancient Greek ,1244,pa'kʰus,LatinTrans,thick (in dimension),buck1949;liddell1996;magnien1985,,,
12-620-167-1,anci1242,Ancient Greek ,1267,ste'nos,LatinTrans,narrow,buck1949;liddell1996;magnien1985,,,
12-610-167-1,anci1242,Ancient Greek ,1243,pla'tus,LatinTrans,"wide, broad",buck1949;liddell1996;magnien1985,,,
12-610-167-3,anci1242,Ancient Greek ,1243,eu'rus,LatinTrans,"wide, broad",buck1949;liddell1996;magnien1985,,,
12-590-167-1,anci1242,Ancient Greek ,1645,bra'kʰus,LatinTrans,short,buck1949;liddell1996;magnien1985,,,
12-580-167-1,anci1242,Ancient Greek ,711,hupsē'los,LatinTrans,tall,buck1949;liddell1996;magnien1985,,,
12-580-167-3,anci1242,Ancient Greek ,711,ma'kros,LatinTrans,tall,buck1949;liddell1996;magnien1985,,,
12-580-167-5,anci1242,Ancient Greek ,711,eu'mēkēs,LatinTrans,tall,buck1949;liddell1996;magnien1985,,,
12-570-167-1,anci1242,Ancient Greek ,1203,ma'kros,LatinTrans,long,buck1949;liddell1996;magnien1985,,,
12-570-167-3,anci1242,Ancient Greek ,1203,doli'kʰos,LatinTrans,long,buck1949;liddell1996;magnien1985,,,
12-560-167-1,anci1242,Ancient Greek ,1246,mī'kros,LatinTrans,"small, little",buck1949;liddell1996;magnien1985,,,
12-560-167-3,anci1242,Ancient Greek ,1246,o'ligos,LatinTrans,"small, little",buck1949;liddell1996;magnien1985,,,
12-550-167-1,anci1242,Ancient Greek ,1202,'megas,LatinTrans,"large, big",buck1949;liddell1996;magnien1985,,,
12-540-167-1,anci1242,Ancient Greek ,1506,me'treō,LatinTrans,measure,buck1949;liddell1996;magnien1985,,,
12-530-167-1,anci1242,Ancient Greek ,479,au'ksanomai,LatinTrans,grow,buck1949;liddell1996;magnien1985,,,
12-480-167-1,anci1242,Ancient Greek ,1595,'notos,LatinTrans,south,buck1949;liddell1996;magnien1985,,,
12-480-167-3,anci1242,Ancient Greek ,1595,mesēm'bria,LatinTrans,south,buck1949;liddell1996;magnien1985,,,
12-470-167-1,anci1242,Ancient Greek ,1598,bo'reās,LatinTrans,north,buck1949;liddell1996;magnien1985,,,
12-470-167-3,anci1242,Ancient Greek ,1598,bor'ras,LatinTrans,north,buck1949;liddell1996;magnien1985,,,
12-460-167-1,anci1242,Ancient Greek ,1817,he'sperā,LatinTrans,west,buck1949;liddell1996;magnien1985,Second form is plural.,,
12-460-167-3,anci1242,Ancient Greek ,1817,du'smai,LatinTrans,west,buck1949;liddell1996;magnien1985,Second form is plural.,,
12-460-167-5,anci1242,Ancient Greek ,1817,'dusis,LatinTrans,west,buck1949;liddell1996;magnien1985,Second form is plural.,,
12-450-167-1,anci1242,Ancient Greek ,1877,anato'lē,LatinTrans,east,buck1949;liddell1996;magnien1985,,,
12-450-167-3,anci1242,Ancient Greek ,1877,ē'ōs,LatinTrans,east,buck1949;liddell1996;magnien1985,,,
12-450-167-5,anci1242,Ancient Greek ,1877,'heōs,LatinTrans,east,buck1949;liddell1996;magnien1985,,,
12-430-167-1,anci1242,Ancient Greek ,1942,eŋ'gus,LatinTrans,near (adv),buck1949;liddell1996;magnien1985,,,
12-430-167-3,anci1242,Ancient Greek ,1942,plē'sion,LatinTrans,near (adv),buck1949;liddell1996;magnien1985,,,
12-430-167-5,anci1242,Ancient Greek ,1942,'pelas,LatinTrans,near (adv),buck1949;liddell1996;magnien1985,,,
12-440-167-1,anci1242,Ancient Greek ,1406,ma'krān,LatinTrans,far (adv),buck1949;liddell1996;magnien1985,,,
12-440-167-3,anci1242,Ancient Greek ,1406,'porrō,LatinTrans,far (adv),buck1949;liddell1996;magnien1985,,,
12-440-167-5,anci1242,Ancient Greek ,1406,'tēle,LatinTrans,far (adv),buck1949;liddell1996;magnien1985,,,
12-440-167-7,anci1242,Ancient Greek ,1406,tē'lū,LatinTrans,far (adv),buck1949;liddell1996;magnien1985,,,
12-420-167-1,anci1242,Ancient Greek ,244,ariste'ros,LatinTrans,left (side),buck1949;liddell1996;magnien1985,,,
12-420-167-3,anci1242,Ancient Greek ,244,eu'ōnumos,LatinTrans,left (side),buck1949;liddell1996;magnien1985,,,
12-420-167-5,anci1242,Ancient Greek ,244,skai'os,LatinTrans,left (side),buck1949;liddell1996;magnien1985,,,
12-420-167-7,anci1242,Ancient Greek ,244,lai'os,LatinTrans,left (side),buck1949;liddell1996;magnien1985,,,
12-410-167-1,anci1242,Ancient Greek ,1019,deksi'os,LatinTrans,right (side),buck1949;liddell1996;magnien1985,,,
12-370-167-1,anci1242,Ancient Greek ,1093,'mesos,LatinTrans,"middle, center",buck1949;liddell1996;magnien1985,,,
12-360-167-1,anci1242,Ancient Greek ,682,pleu'rai,LatinTrans,side,buck1949;liddell1996;magnien1985,This form is plural.,,
12-353-167-1,anci1242,Ancient Greek ,863,a'kmē,LatinTrans,edge,buck1949;liddell1996;magnien1985,,,
12-353-167-3,anci1242,Ancient Greek ,863,'kraspedon,LatinTrans,edge,buck1949;liddell1996;magnien1985,,,
12-353-167-5,anci1242,Ancient Greek ,863,'kʰeilos,LatinTrans,edge,buck1949;liddell1996;magnien1985,,,
12-352-167-1,anci1242,Ancient Greek ,372,o'ksus,LatinTrans,pointed,buck1949;liddell1996;magnien1985,Latter forms are Late Ancient Greek.,,
12-352-167-3,anci1242,Ancient Greek ,372,aki'dōdēs,LatinTrans,pointed,buck1949;liddell1996;magnien1985,Latter forms are Late Ancient Greek.,,
12-352-167-5,anci1242,Ancient Greek ,372,akidō'tos,LatinTrans,pointed,buck1949;liddell1996;magnien1985,Latter forms are Late Ancient Greek.,,
12-350-167-1,anci1242,Ancient Greek ,742,'akros,LatinTrans,end,buck1949;liddell1996;magnien1985,,,
12-350-167-3,anci1242,Ancient Greek ,742,'akron,LatinTrans,end,buck1949;liddell1996;magnien1985,,,
12-350-167-5,anci1242,Ancient Greek ,742,'akrā,LatinTrans,end,buck1949;liddell1996;magnien1985,,,
12-350-167-7,anci1242,Ancient Greek ,742,'peras,LatinTrans,end,buck1949;liddell1996;magnien1985,,,
12-340-167-1,anci1242,Ancient Greek ,690,pu'tʰmēn,LatinTrans,bottom,buck1949;liddell1996;magnien1985,,,
12-320-167-1,anci1242,Ancient Greek ,721,kʰtʰama'los,LatinTrans,low,buck1949;liddell1996;magnien1985,,,
12-320-167-3,anci1242,Ancient Greek ,721,kʰamē'los,LatinTrans,low,buck1949;liddell1996;magnien1985,,,
12-330-167-1,anci1242,Ancient Greek ,1753,'akros,LatinTrans,top,buck1949;liddell1996;magnien1985,,,
12-330-167-3,anci1242,Ancient Greek ,1753,'akron,LatinTrans,top,buck1949;liddell1996;magnien1985,,,
12-330-167-5,anci1242,Ancient Greek ,1753,koru'pʰē,LatinTrans,top,buck1949;liddell1996;magnien1985,,,
12-310-167-1,anci1242,Ancient Greek ,1265,hupsē'los,LatinTrans,high,buck1949;liddell1996;magnien1985,,,
12-270-167-1,anci1242,Ancient Greek ,602,'kruptō,LatinTrans,"hide, conceal",buck1949;liddell1996;magnien1985,,,
12-250-167-1,anci1242,Ancient Greek ,1046,'kleiō,LatinTrans,"shut, close",buck1949;liddell1996;magnien1985,,,
12-260-167-1,anci1242,Ancient Greek ,761,ka'luptō,LatinTrans,cover,buck1949;liddell1996;magnien1985,,,
12-260-167-3,anci1242,Ancient Greek ,761,ske'pazō,LatinTrans,cover,buck1949;liddell1996;magnien1985,,,
12-260-167-5,anci1242,Ancient Greek ,761,ske'paō,LatinTrans,cover,buck1949;liddell1996;magnien1985,,,
12-260-167-7,anci1242,Ancient Greek ,761,'stegō,LatinTrans,cover,buck1949;liddell1996;magnien1985,,,
12-240-167-1,anci1242,Ancient Greek ,1156,a'noigō,LatinTrans,open,buck1949;liddell1996;magnien1985,,,
12-240-167-3,anci1242,Ancient Greek ,1156,a'noignūmi,LatinTrans,open,buck1949;liddell1996;magnien1985,,,
12-240-167-5,anci1242,Ancient Greek ,1156,'oigō,LatinTrans,open,buck1949;liddell1996;magnien1985,,,
12-240-167-7,anci1242,Ancient Greek ,1156,'oignūmi,LatinTrans,open,buck1949;liddell1996;magnien1985,,,
12-232-167-1,anci1242,Ancient Greek ,1119,diai'reō,LatinTrans,divide,buck1949;liddell1996;magnien1985,,,
12-232-167-3,anci1242,Ancient Greek ,1119,dialam'banō,LatinTrans,divide,buck1949;liddell1996;magnien1985,,,
12-230-167-1,anci1242,Ancient Greek ,1359,kʰō'rizō,LatinTrans,separate,buck1949;liddell1996;magnien1985,,,
12-230-167-3,anci1242,Ancient Greek ,1359,'skʰizō,LatinTrans,separate,buck1949;liddell1996;magnien1985,,,
12-220-167-1,anci1242,Ancient Greek ,1743,'zeugnūmi,LatinTrans,"join, unite",buck1949;liddell1996;magnien1985,,,
12-220-167-3,anci1242,Ancient Greek ,1743,su'naptō,LatinTrans,"join, unite",buck1949;liddell1996;magnien1985,,,
12-213-167-1,anci1242,Ancient Greek ,1576,sō'reuō,LatinTrans,pile up,buck1949;liddell1996;magnien1985,,,
12-213-167-3,anci1242,Ancient Greek ,1576,a'tʰroizō,LatinTrans,pile up,buck1949;liddell1996;magnien1985,,,
12-212-167-1,anci1242,Ancient Greek ,371,sumpʰo'reō,LatinTrans,pick up,buck1949;liddell1996;magnien1985,,,
12-212-167-3,anci1242,Ancient Greek ,371,sum'pʰerō,LatinTrans,pick up,buck1949;liddell1996;magnien1985,,,
12-210-167-1,anci1242,Ancient Greek ,7,sul'legō,LatinTrans,"collect, gather",buck1949;liddell1996;magnien1985,,,
12-210-167-3,anci1242,Ancient Greek ,7,su'nagō,LatinTrans,"collect, gather",buck1949;liddell1996;magnien1985,,,
12-170-167-1,anci1242,Ancient Greek ,838,'leipsanon,LatinTrans,"remains, left overs",buck1949;liddell1996;magnien1985,,,
12-170-167-3,anci1242,Ancient Greek ,838,'leimma,LatinTrans,"remains, left overs",buck1949;liddell1996;magnien1985,,,
12-160-167-1,anci1242,Ancient Greek ,987,'menō,LatinTrans,"remain, stay",buck1949;liddell1996;magnien1985,,,
12-150-167-1,anci1242,Ancient Greek ,1442,'histamai,LatinTrans,stand,buck1949;liddell1996;magnien1985,,,
12-140-167-1,anci1242,Ancient Greek ,215,'keimai,LatinTrans,lie down,buck1949;liddell1996;magnien1985,,,
12-130-167-1,anci1242,Ancient Greek ,1416,'hēmai,LatinTrans,sit,buck1949;liddell1996;magnien1985,,,
12-130-167-3,anci1242,Ancient Greek ,1416,'katʰēmai,LatinTrans,sit,buck1949;liddell1996;magnien1985,,,
12-130-167-5,anci1242,Ancient Greek ,1416,'hezomai,LatinTrans,sit,buck1949;liddell1996;magnien1985,,,
12-120-167-1,anci1242,Ancient Greek ,998,'titʰēmi,LatinTrans,put,buck1949;liddell1996;magnien1985,,,
12-110-167-1,anci1242,Ancient Greek ,723,'topos,LatinTrans,place,buck1949;liddell1996;magnien1985,,,
12-80-167-1,anci1242,Ancient Greek ,1591,'anō,LatinTrans,"up, above",buck1949;liddell1996;magnien1985,,,
12-80-167-3,anci1242,Ancient Greek ,1591,e'panō,LatinTrans,"up, above",buck1949;liddell1996;magnien1985,,,
12-80-167-5,anci1242,Ancient Greek ,1591,e'pi,LatinTrans,"up, above",buck1949;liddell1996;magnien1985,,,
12-80-167-7,anci1242,Ancient Greek ,1591,hu'per,LatinTrans,"up, above",buck1949;liddell1996;magnien1985,,,
12-80-167-9,anci1242,Ancient Greek ,1591,hupe'ranō,LatinTrans,"up, above",buck1949;liddell1996;magnien1985,,,
12-80-167-11,anci1242,Ancient Greek ,1591,'hupertʰen,LatinTrans,"up, above",buck1949;liddell1996;magnien1985,,,
12-70-167-1,anci1242,Ancient Greek ,1485,'katō,LatinTrans,under,buck1949;liddell1996;magnien1985,,,
12-70-167-3,anci1242,Ancient Greek ,1485,hu'po,LatinTrans,under,buck1949;liddell1996;magnien1985,,,
12-60-167-1,anci1242,Ancient Greek ,762,e'ktos,LatinTrans,outside,buck1949;liddell1996;magnien1985,,,
12-60-167-3,anci1242,Ancient Greek ,762,'eksō,LatinTrans,outside,buck1949;liddell1996;magnien1985,,,
12-50-167-1,anci1242,Ancient Greek ,1606,en'tos,LatinTrans,"inside, in",buck1949;liddell1996;magnien1985,,,
12-50-167-3,anci1242,Ancient Greek ,1606,'esō,LatinTrans,"inside, in",buck1949;liddell1996;magnien1985,,,
12-50-167-5,anci1242,Ancient Greek ,1606,'eisō,LatinTrans,"inside, in",buck1949;liddell1996;magnien1985,,,
12-41-167-1,anci1242,Ancient Greek ,1883,'prostʰen,LatinTrans,front,buck1949;liddell1996;magnien1985,,,
12-41-167-3,anci1242,Ancient Greek ,1883,'emprostʰen,LatinTrans,front,buck1949;liddell1996;magnien1985,,,
12-40-167-1,anci1242,Ancient Greek ,1882,pro,LatinTrans,before,buck1949;liddell1996;magnien1985,,,
12-40-167-3,anci1242,Ancient Greek ,1882,'proteron,LatinTrans,before,buck1949;liddell1996;magnien1985,,,
12-40-167-5,anci1242,Ancient Greek ,1882,'prostʰen,LatinTrans,before,buck1949;liddell1996;magnien1985,,,
12-30-167-1,anci1242,Ancient Greek ,2094,'katō,LatinTrans,"down, below",buck1949;liddell1996;magnien1985,,,
12-30-167-3,anci1242,Ancient Greek ,2094,hu'po,LatinTrans,"down, below",buck1949;liddell1996;magnien1985,,,
12-20-167-1,anci1242,Ancient Greek ,1816,pa'ra,LatinTrans,beside,buck1949;liddell1996;magnien1985,,,
12-20-167-3,anci1242,Ancient Greek ,1816,eŋ'gus,LatinTrans,beside,buck1949;liddell1996;magnien1985,,,
12-11-167-1,anci1242,Ancient Greek ,1686,o'pisō,LatinTrans,behind,buck1949;liddell1996;magnien1985,,,
