ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
10-760-237-3,sout2866,Marquesan,710,patiti,Phonemic,wheel,dordillon1932;dordillon1931,,,
10-750-237-1,sout2866,Marquesan,122,patiti,Phonemic,"carriage, wagon, cart",dordillon1932;dordillon1931,,,
10-750-237-3,sout2866,Marquesan,122,pipi,Phonemic,"carriage, wagon, cart",dordillon1932;dordillon1931,,,
10-750-237-5,sout2866,Marquesan,122,pariri,Phonemic,"carriage, wagon, cart",dordillon1932;dordillon1931,,,
10-740-237-1,sout2866,Marquesan,1011,úapu,Phonemic,bridge,dordillon1932;dordillon1931,,,
10-720-237-1,sout2866,Marquesan,2252,áánui,Phonemic,path,dordillon1932;dordillon1931,,,
10-720-237-3,sout2866,Marquesan,2252,puta,Phonemic,path,dordillon1932;dordillon1931,,,
10-720-237-5,sout2866,Marquesan,2252,puta kakena,Phonemic,path,dordillon1932;dordillon1931,,,
10-720-237-7,sout2866,Marquesan,2252,puta nekai,Phonemic,path,dordillon1932;dordillon1931,,,
10-710-237-1,sout2866,Marquesan,667,aánui,Phonemic,road,dordillon1932;dordillon1931,,,
10-710-237-3,sout2866,Marquesan,667,vaánui,Phonemic,road,dordillon1932;dordillon1931,,,
10-710-237-5,sout2866,Marquesan,667,purumi,Phonemic,road,dordillon1932;dordillon1931,,,
10-630-237-1,sout2866,Marquesan,1127,keéé,Phonemic,send,dordillon1932;dordillon1931,,,
10-620-237-1,sout2866,Marquesan,692,e aáhi,Phonemic,bring,dordillon1932;dordillon1931,,,
10-620-237-3,sout2866,Marquesan,692,e káve,Phonemic,bring,dordillon1932;dordillon1931,,,
10-620-237-5,sout2866,Marquesan,692,e ave,Phonemic,bring,dordillon1932;dordillon1931,,,
10-620-237-7,sout2866,Marquesan,692,e haí maí,Phonemic,bring,dordillon1932;dordillon1931,,,
10-570-237-1,sout2866,Marquesan,749,uú,Phonemic,enter,dordillon1932;dordillon1931,,,
10-560-237-1,sout2866,Marquesan,1778,e haátata,Phonemic,approach,dordillon1932;dordillon1931,,,
10-550-237-1,sout2866,Marquesan,1387,e tihe,Phonemic,"reach, arrive",dordillon1932;dordillon1931,,,
10-550-237-3,sout2866,Marquesan,1387,e puta,Phonemic,"reach, arrive",dordillon1932;dordillon1931,,,
10-530-237-1,sout2866,Marquesan,1047,aúaú,Phonemic,pursue,dordillon1932;dordillon1931,,,
10-491-237-1,sout2866,Marquesan,485,íó,Phonemic,disappear,dordillon1932;dordillon1931,,,
10-470-237-1,sout2866,Marquesan,695,e hiti (e fiti),Phonemic,go,dordillon1932;dordillon1931,,,
10-470-237-3,sout2866,Marquesan,695,e heke,Phonemic,go,dordillon1932;dordillon1931,,,
10-470-237-5,sout2866,Marquesan,695,e heé,Phonemic,go,dordillon1932;dordillon1931,,,
10-460-237-1,sout2866,Marquesan,1519,tohuti,Phonemic,run,dordillon1932;dordillon1931,,,
10-451-237-1,sout2866,Marquesan,366,heé kohipa,Phonemic,limp,dordillon1932;dordillon1931,,,
10-451-237-3,sout2866,Marquesan,366,e heé koki,Phonemic,limp,dordillon1932;dordillon1931,,,
