Original,Replacement,Consonant,Simple
ũ,ũ,V,u
A,A,V,a
E,E,V,e
M,M,C,m
N,N,C,n
q,q,C,q
æ,æ,V,æ
ľ,ľ,C,l
ṣ,ṣ,C,s
í,í,V,i
ú,ú,V,u
ē,ē,V,e
ī,ī,V,i
ʒ,ʒ,V,ʒ
ń,ń,C,n
ɑ,ɑ,V,a
ɬ,ɬ,C,l
ɩ,ɩ,C,l
χ,χ,C,χ
ð,ð,C,ð
ö,ö,V,o
ǰ,ǰ,C,j
ˑ,ˑ,C,ˑ
ʁ,ʁ,C,ʁ
P,P,C,p
ś,ś,C,s
I,I,V,i
J,J,C,j
F,F,C,f
R,R,C,R
T,T,C,t
à,à,V,a
â,â,V,a
ë,ë,V,e
ž,ž,C,z
ʊ,ʊ,V,ʊ
ō,ō,V,o
λ,λ,C,λ
ώ,w,V,w
