entry_id	trans_english	Langja_Buyang_Phonemic
1.59	rainbow	la.0 muk.11
1.61	light (noun)	ju:t.11
1.62	darkness	qa.0 nui.312
1.63	shade, shadow	qa.0 nui.312 cet.33
1.64	dew	qa.0 śi.11
1.71	air	ʔbun.54
1.72	wind	pui.54
1.73	cloud	pui.54 ŋɔn.24
1.74	fog	qhat.11
1.75	rain (noun)	qa.0 tu.11
1.76	snow (noun)	qa.0 tu.11 tɔn.54
1.77	ice	tut.54 po.11
1.78	weather	haŋ.54
1.81	fire	tɔ.54 pui.54; mɔ.31 pui.54
1.82	flame (noun)	ʔdap.54 pui.54
1.83	smoke (noun)	khap.11 pui.54
1.84	ashes	śui.54
1.841	embers	qa.0 la.11
1.851	burn (vb trans)	ma.0 iŋ.31
1.852	burn (vb intrans)	ma.o iŋ.31 lak.0 śɛ.56
1.86	light, kindle, ignite	ma.0 iŋ.31 ma.0 iŋ.24
1.861	extinguish	lak.8 śɛ54
1.87	match (noun)	ma.0 iŋ.24
1.88	firewood	ma.0 u:n.31 laʔk.0 śɛ.56
1.89	charcoal	la:k.0 qhaʔu.11
2.1	person, human being	la:k.0 qhaʔu.11 ɛɔ.54
2.21	man (vs. woman)	la:k.0 śɔ.54 luʔŋ24
2.22	woman	ma.0 u:n.31 ɛŋ.24
2.23	male	ma.0 u:n.31 ɛŋ.24
2.24	female	qhɨ:i.11
2.25	boy	ma.0 liu.312
2.251	young man (adolescent)	can.54 i:u.11
2.26	girl	pjaʔk.11 la:n.312
2.261	young woman (adolescent)	laɔk.0 śɛ.54
2.27	child	laɔk.0 iŋ.24
2.28	infant, baby	pan.11 laʔk.11; pɔŋ.312 lən.312
2.31	husband	tiə.54 juə.11
2.32	wife	nɔn.24; kɔ.11; tiə.54
2.33	marry	ʒuə.11
2.34	marriage, wedding	tiə.37 un.24
2.341	divorce	ɛ.24
2.35	father	un.24
2.36	mother	tiə.54 un.24 tiə.54 ʒuə.11
2.37	parents	la:k.0 pa:k.11
2.38	married man	ŋɔk.11 śɛ.54
2.39	married woman	ŋɔk.11 śɛ.54
2.41	son	ŋɔk.11 iŋ.24
2.42	daughter	ŋɔk.11 iŋ.24
2.43	offspring (son or daughter)	la:k.0 qa:n.54
2.44	brother	la:k.0 qa:n.54
2.444	older brother	pa.11 a:u.24; pa.11 ce.54; pa.11 a.24
2.445	younger brother	pa.24
2.45	sister	pa.24
2.454	older sister	miə.11 a:u.24; miə.11 muə.11; miə.11 va.11
2.455	younger sister	tu.24; miə.11 a.24
2.456	sibling	miə.11 na.11
2.458	twins	la:k.0 qa:n.54 la:k.0 śɛ.54
2.46	grandfather	la:k.0 qa:n.54 la:k.0 iŋ.24
2.461	old man	nɔn.24 piau.11; ʒuə.11 piau.11
2.47	grandmother	ŋɔk.11 lɔk.11 tɔ.11; ŋɔk.11 tu.11 ta:ŋ.54
2.471	old woman	pɔŋ.312 lən.312
2.48	grandson	ta.24; ŋɔk.11 śɛ.54
2.49	granddaughter	ŋɔk.11 śɛ.54
2.51	uncle	śu.24; ŋɔk.11 iŋ.24
2.511	mother's brother	śu.24; ŋɔk.11 iŋ.24
2.512	father's brother	la:k.0 qhɨ:i.11
2.52	aunt	la:k.0 qhɨ:i.11
2.521	mother's sister	la:k.0 liu.312
2.522	father's sister	la:k.0 liu.312
2.53	nephew	pa.11 lɔn.312
2.54	niece	miə.11 lən.312
2.55	cousin	la:k.0 u:m.31
2.56	ancestors	la:k.0 u:m.31 ma.0 iŋ.24
2.57	descendants	la:k.0 ca.11
2.61	father-in-law (of a man)	miə.11 qa.0 lɛ.312
2.611	father-in-law (of a woman)	pa.11 qa.0 lɛ.312
2.62	mother-in-law (of a man)	na.24 ma.0 ta.54
2.621	mother-in-law (of a woman)	puŋ.33 luk.54
2.63	son-in-law (of a man)	ku.54
2.631	son-in-law (of a woman)	ma.312
2.64	daughter-in-law (of a man)	kɛ.54
2.641	daughter-in-law (of a woman)	cum.54 ku.54
2.71	stepfather	cum.54 tu.54
2.72	stepmother	cum.54 ku.54
2.73	stepson	śa.54 va:i.312 tu.54; śa.54 va:i.312 ku.54
2.74	stepdaughter	cum.54 śa.54
2.75	orphan	śa.54 va:i.312 śa.54
2.76	widow	cum.54 kɛ.54
2.77	widower	qa.0 li.11
2.81	relatives, kinsmen	puə.11
2.82	family	miə.11; paŋ.24
2.91	I	qa.0 li.11
2.92	you (singular)	ma.0 iŋ.31 qhɛ.54 śiŋ.54
2.93	he/she/it	cha:p.11 ma.0 ŋa.11
2.94	we	qa.0 li.11
2.941	we (inclusive)	śiŋ.54 puə.11
2.942	we (exclusive)	śiŋ.54
2.95	you (plural)	miə.11 śiŋ.54
2.96	they	śiŋ 54 ɛŋ.24
3.11	animal	li.0 la:k.0 va.312
3.12	male (adj)	li.0 ʔbɛp.11
3.13	female (adj)	li.0 puə.0 ʔbɛp.11
3.15	livestock	li.0 miə.0 ʔbɛp.11
3.16	pasture	mu.54 puə.11
3.18	herdsman	mu.54 miə.11
3.19	stable, stall	mu.54
3.2	cattle (bovine)	ma.0 ŋa.11
3.21	bull	ma.0 ŋa.11 puə.11
3.22	ox	ma.0 ŋa.11 miə.11
3.23	cow	la:k.0 ma.0 ŋa.11 puə.11; la:k.0 ma.0 ŋa.11 miə.11
3.24	calf	ma.0 ŋa.11 li.11
3.25	sheep	li.0 lɔ.11
3.26	ram	qai.54 lɛn.312
3.28	ewe	li.0 miə.11 qai.54
3.29	lamb	qai.54
3.32	boar	qha:n.54
3.34	sow	qa:p.11
3.35	pig	qa.0 taŋ.24 qai.54
3.36	goat	li.0 ma.0 nuk.11
3.37	he-goat	li.0 qa.0 la:ŋ.11
3.38	kid	ʔbuŋ.11 bi:t.11
3.41	horse (equine)	qa.0 laŋ.11; u.11 a.24
3.42	stallion	ma.0 nuk.11 ta.0 qu.54
3.44	mare	ma.0 nuk.11 ka:k.11
3.45	foal, colt	mak.11 kuə.24
3.46	ass, donkey	ma.0 nuk.11 ɛn.31
3.47	mule	ma.0 nuk.11 śa.54 śiə.11
3.5	fowl	ma.0 hɛ.24
3.52	cock, rooster	li.0 qoi.24
3.54	hen	ńuk.11 tɔ.54
3.55	chicken	ki.0 lin.312
3.56	goose	mu:m.312
3.57	duck	mɛu.312
3.58	nest	qin.24
3.581	bird	qa.0 śi.54
3.582	seagull	uə.24 ma.0 la.312
3.583	heron	ta.0 δɛŋ.312 uə.24 ma.0 la.312
3.584	eagle	cap.54
3.585	hawk	ŋɨk.11 uə.24 ma.0 la.312
3.586	vulture	kjap.54 thai.24
3.591	bat	pau.24
3.592	parrot	ńa:u.312
3.593	crow	uə.54 ma.0 la.312 ŋa.312
3.594	dove	qoi.24 po.11
3.596	owl	li.0 kɨ:ŋ.24
3.61	dog	ta.0 mɛ.312
3.614	rabbit	li.0 qa.0 ʒɔk.11
3.62	cat	li.0 piə.11
3.622	opossum	ma.0 lok.11
3.63	mouse, rat	ma.0 lu.312
3.65	fish	śa:ŋ.11
3.652	fin (dorsal)	qa.0 śɔŋ.54 śa:ŋ.11
3.653	fishscale	ma.0 lik.11
3.654	gill	ma.0 tan.312; qa.0 tu.54
3.655	shell	qa.0 tam.54 ma.0 tan.312
3.661	shark	qa.0 mat.54
3.662	porpoise, dolphin	li.0 śip.54
3.663	whale	qa.0 śɛp.11
3.664	stingray	mut.11
3.665	freshwater eel	luŋ.11 δa:ŋ.11
3.71	wolf	kha.54 luŋ.11 δa:ŋ.11
3.72	lion	qa.0 δɛ.54
3.73	bear	tɔŋ.33 qa.0 δɛ.54
3.74	fox	ta.0 δi.312; ta.0 qa:n.54; ma.0 tɛn.312
3.75	deer	ma.0 lɛŋ.312
3.76	monkey	qa.0 ʒa:ŋ.312
3.77	elephant	li.0 mɔn.24
3.78	camel	ma.0 lik.11 ŋa:i.33
3.81	insect	ma.0 luŋ.11 ʔduŋ.24
3.811	louse	ma.0 lik.11 ŋa:i.54
3.812	nit (louse egg)	lin.24 ɛ.33
3.813	flea	li.0 ʔdum.11
3.814	centipede	li.0 piŋ.11
3.815	scorpion	li.0 ma.0 tak.11
3.816	cockroach	li.0 ŋa.312
3.817	ant	li.0 nɨ:m.24
3.818	spider	luŋ.11 lip.11
3.819	spider web	li.0 ʔbuŋ.11 ʔba.24
3.82	bee	ma.0 tak.0
3.821	beeswax	ʔbuŋ.11 ʔbi:n.11
3.822	beehive	kɔp.54 kue.11
3.823	wasp	la.0 ŋɔn.24 ok.11 qha:i.54
3.83	fly	li.0 ŋɨ:k.11
3.831	sandfly (midge), gnat	li.0 fɨə.24
3.832	mosquito	hɛ.0 va:i.312
3.84	worm	qa.0 ʔbuŋ.54
3.85	snake	uə.24
3.91	firefly	ma.0 śam.54
3.92	butterfly	mu:m.11
3.93	grasshopper	mui.11
3.94	snail	mui.11
3.95	frog	la.0 muk.11 qa.0 δu.11
3.96	lizard	tɔt.11 ʒɛt.11
3.97	crocodile, alligator	qha.24
3.98	turtle	mak.11
4.11	body	ńin.11
4.12	skin, hide	qa.0 ʔda:k.11
4.13	flesh	ŋui.11 qa.0 ʔdaʔk.11
4.14	hair (head)	qa.0 ʔda:k.11 pja:ŋ.312
4.142	beard	ma.0 qu.54
4.144	body hair	qa.0 śut.11
4.145	pubic hair	qa.0 ʔdiŋ 24
4.146	dandruff	qa.0 ʔda:k.11 ʔdiŋ.2
4.15	blood	qa.0 δu.11
4.151	vein, artery	mit.54 ʒɔk.11
4.16	bone	ak.54 ai.54
4.162	rib	na.24
4.17	horn	qa.0 ʔdaŋ.31 tɛn.54
4.18	tail	quŋ.54
4.19	back	qa.0 pɛŋ.312
4.191	spine	ma:k.0 qa:ŋ.24
4.2	head	ma.0 ta.54
4.201	side of head, temple	mui.11 ma.0 ta.54
4.202	skull	qa.0 ʔbuŋ.31 ma.0 ta.54
4.203	brain	δi.11 δap.11 ma.0 ta.312; ma.0 ta.0 ʒap.55; ma.0 ta.54 qa.0 nit.11
4.204	face	ta.0 δa.312
4.205	forehead	ńin.54
4.207	jaw	ɛk.11 tz.0 δa.312
4.208	cheek	qa.0 tiŋ.24
4.209	chin	muə.312 qa.0 tiŋ.24
4.21	eye	ɛk.11 tiŋ.24
4.212	eyebrow	qa.0 muə.31 ŋɔŋ.312
4.213	eyelid	ŋɔŋ.312 ma.0 nuk.11
4.214	eyelash	qa.0 mun.312 ŋɔŋ.312
4.215	blink	ma.0 lɛn.11
4.22	ear	qa.0 śɔŋ.54
4.221	earlobe	ŋɨk.11 qa.0 śɔŋ.54
4.222	earwax	qa.0 śɔŋ.54 δa.312
4.23	nose	qa.0 ʒɔ.312
4.231	nostril	ʔdɔŋ.54 qhan.54
4.232	mucus (nasal)	kuŋ.11 cɔŋ.312
4.24	mouth	qa.0 ʔba.11
4.241	beak	qa.0 ʔda:k.31 pan.11 śiə.11
4.25	lip	qa.0 ʔda:k.31 kwaŋ.11 ceŋ.312
4.26	tongue	phɔŋ.312 ma.0 nɛŋ.11
4.27	tooth	mui.11 ʔdiə.11 ma.0 lə.312
4.271	gums	tap.11 śu:k.11
4.272	molartooth	qa.0 ʒɔ.312 ŋɛk.11
4.28	neck	ŋɛk.11
4.281	nape of neck	pa.11 ŋɛk.11
4.29	throat	la:k.0 ŋɛk.11
4.3	shoulder	li.0 miə.11 ŋɛk.11
4.301	shoulderblade	qa.0 lip.11 ŋɛk.11
4.302	collarbone	qa.0 lip.11
4.31	arm	mak.11 qa.54 nen.312
4.312	armpit	mak.11 qa.54 nen.312
4.32	elbow	ma.0 śɛn.54
4.321	wrist	qa.0 δu.11 qhu.11
4.33	hand	ʒuŋ.31
4.331	palm of hand	ta.24 pau.24
4.34	finger	ta.0 li:u.11
4.342	thumb	lɛk.11 ʒuŋ.31
4.344	fingernail	qa.0 lip.11 ʒuŋ.31
4.345	claw	ta.0 vɛŋ.312
4.35	leg	mui.11
4.351	thigh	qa.0 tak.54
4.352	calf of leg	ɛm.11
4.36	knee	ŋɔŋ.312 ɛm.11
4.37	foot	ma:k.0 ʔduə.31
4.371	ankle	ϑam.24 tau.11
4.372	heel	put.54
4.374	footprint	qa.0 tap.54
4.38	toe	ma:k.0 qha.24
4.392	wing	ma:m.11
4.393	feather	qa.0 ʔdi.31
4.4	chest	qa.0 luŋ.54
4.41	breast (of woman)	qa.0 ta.312
4.412	nipple, teat	qa.0 śi.24
4.42	udder	qa.0 vaŋ.11
4.43	navel	pat.54 ńaŋ.54
4.44	heart	muə.312 ɛk.11
4.441	lung	ma.0 tɛŋ.11
4.45	liver	ʔdi.11 li:t.11
4.451	kidney	li.0 ɛp.54
4.452	spleen	cat.11 ŋu:i.312
4.46	stomach	ta.0 ha:u.54
4.461	intestines, guts	ca.0 ak.54
4.462	waist	qa.0 δɔk.11
4.463	hip	qa.0 ʒai.11
4.464	buttocks	ɔk.11 tɔt.11 ʒɛt.11
4.47	womb	qa.0 tu.11; qa.0 tu.11 qa.0 ma:u.24
4.49	testicle	qa.0 tu.11
4.492	penis	ta:u.312
4.51	breathe, breath	qa.0 δam.11
4.52	yawn, gape	ʒi:t.11 ma.0 lɛn.11
4.521	hiccough	lɛm.24
4.53	cough	ɔŋ.24 ŋɔŋ.312 ta.0 lui.312
4.54	sneeze	u.11, qu.11
4.55	perspire	u.11 qhan.54
4.56	spit	pan.54 naŋ.11 ka:n.54
4.57	vomit	ta.0 laŋ.11
4.58	bite	qa.0 tut.54
4.59	lick	qa.0 tin.11
4.591	dribble	ɛk.11
4.61	sleep	qhɔt.11 la:n.312
4.612	snore	qa.0 śa:n.54 δan.11 δan.11
4.62	dream	δa:u.24 va:i.312
4.63	wake up	u:m.31
4.64	break wind	thɛŋ.24
4.65	urinate	theŋ.24
4.66	defecate	ʔdɛŋ.24 la:k.11
4.67	have sexual intercourse	ʔdɛŋ.24 la:k.11
4.68	shiver	an.31; naŋ.11 an.31
4.69	bathe	la:m.312
4.71	beget (of father)	tuk.54 ta.312 la:m.312
4.72	born (to be)	pɛŋ.24; ma.0 tɛ.54
4.73	pregnant	puk.54
4.732	conceive	pun.11 ma:ŋ.312
4.74	live, living, life	pan.11 qa.0 lɛŋ.312
4.75	die, dead	δa:i.11
4.751	drowned	piŋ.11
4.76	kill	va:i.312 pha:t.11
4.77	corpse	hɛ.0 qɛ.54
4.78	bury (the dead)	tok.11 qa.0 na:p.11
4.79	grave, tomb	ɛk.11 muk.54 ʒɨa:u.312
4.81	strong, mighty, powerful	qa.0 δi.11
4.82	weak	cam.11
4.83	well, health	mak.0 kat.11
4.84	sick, sickness	ma.0 kat.11; qa.0 ʔduk.54
4.841	fever	tuə.0 phɔp.11
4.842	goiter	tuə.0 ʔba:t.11
4.843	cold (catarrh)	ɔŋ.24 mu.11
4.85	wound, sore	ʒie.31 ʒa:n.31
4.852	bruise	śaŋ.11 luə.312
4.853	swelling	qa.0 luə.312
4.854	itch	qa.0 luə.312 tu.31
4.855	blister	qa.0 nai.11
4.856	boil (noun)	an.31 hɛ.54
4.857	pus	qa.0 ʔda:ŋ.11
4.858	scar	qa.0 δu.11 ʔdɔ.31
4.86	cure, heal	qɛŋ.24
4.87	physician	ŋan.11
4.88	medicine, drug	ŋam.312
4.89	poison	ʔbon.11
4.91	tired, weary	mɛ.312
4.912	rest	loi.31 ma.0 cəŋ.11
4.92	lazy	ka:n.54
4.93	bald	ʒu:ŋ.31 ka:n.54
4.94	lame	mu.11
4.95	deaf	qa.0 ʔdip.54
4.96	mute	tuə.11
4.97	blind	tuə.11 ia:m.11
4.98	intoxicated	δuŋ.11
4.99	naked, bare	qa.0 ʒɔt.11
5.11	eat	muk.54 qhɔt.11
5.12	food	qha.11
5.121	cooked	qa.0 ʒɔt.11
5.122	raw	qa.0 ńa:n.312
5.123	ripe	qa.0 iɔn.312
5.124	green, unripe	ka.11
5.125	rotten	ʔdu.31
5.13	drink	qa.0 ʔdɛ.31
5.14	hunger	śa:u.24
5.141	famine	kun.11; pa:ŋ.312
5.15	thirst	hɛ.0 śau.54
5.16	suck	ka:u.54; hɛ.0 ca:u.54
5.18	chew	ku:n.54
5.181	swallow	a:n.33 ka:u.54
5.19	choke	phuə.54 tɛŋ.54
5.21	cook	pa:n.11
5.22	boil (vb)	phuə.54
5.23	roast, fry	ku:n.54
5.24	bake	ca:n.54
5.25	oven	tɛŋ.54
5.26	pot, cooking vessel	thi:k.11
5.27	kettle	pja.11; ma:k.0 pja.11
5.28	pan	cim.11
5.31	dish	śɛt.54
5.32	plate	ka:n.54 na.54
5.33	bowl	ka:n.54 van.54
5.34	pitcher, jug	ka:n.54 vɛ.54
5.35	cup, drinking vessel	pjat.11
5.36	saucer	δaŋ.24; to.11
5.37	spoon	kwa:t.11
5.38	knife	kwa.24
5.39	fork	mian.312
5.391	tongs	mian.312
5.41	meal (a)	mian.312
5.42	breakfast	śɛk.31
5.43	lunch	qu.11
5.44	dinner	qai.11
5.45	supper	hɛ.0 qu.11
5.46	peel	qa.0 du.31 kɔn.54
5.47	sieve, strain	qa.0 ʔdu.31
5.48	scrape	uə.24
5.49	stir, mix	ɔŋ.24 qhɛŋ.11
5.51	bread	up.54
5.53	dough	qa.0 lɔŋ.11
5.54	knead	kɛŋ.54
5.55	meal, flour	śu:i.54
5.56	crush, grind	ʔbu.31
5.57	mill	ma:k.0 ma:n.312
5.58	mortar	la.0 ŋa.312
5.59	pestle	chɛŋ.54
5.61	meat	ma.0 tɛŋ.312
5.63	sausage	kɨə.11
5.64	soup, broth	man.312
5.65	vegetables	ma:k.11
5.66	bean	a.0 δum.54
5.7	potato	ma:k.0 pit.11
5.71	fruit	ma:k.0 δai.11
5.712	bunch	ʒu.11
5.75	fig	ma.0 nan.312
5.76	grape	qa.0 cɛt.11
5.77	nut	qa.0 ńɔ.312
5.78	olive	thu:ŋ.11 qa.0 δɛ.312
5.79	oil	thu:ŋ.11
5.791	grease, fat	ɔŋ.24 ɛm.11
5.81	salt	can.24
5.82	pepper	i:u.11 qa.0 ʔbuŋ.31
5.821	chili pepper	qa.0 tam.54
5.84	honey	ńɛn.54 qa.0 tam.54
5.85	sugar	lɛ.11
5.86	milk (noun)	ʔdɔŋ.31 ʒiə.11
5.87	milk (vb)	śaŋ.11 ńip.33
5.88	cheese	na:n.11
5.89	butter	pha:i.24
5.9	beverage, drink	qhɔŋ.24
5.91	mead	qa.0 ʔbuŋ.31
5.92	wine	ʒɔt.11 kha:i.24
5.93	beer	kuŋ.11 vin.11
5.94	fermented drink	tam.54
5.97	egg	hɛ.0 tau.54
5.971	egg yolk	ńip.11
6.11	put on (clothes)	ŋa:t.11
6.12	clothing, clothes	ŋui.11
6.13	tailor	qa.0 śiə.54
6.21	cloth	ńɔm.11
6.22	wool	puŋ.11 pja.11
6.23	linen, flax	luŋ.24
6.24	cotton	ʔdɔŋ.31 ʒiə.11
6.25	silk	ʒiə.11 ta.0 vɛ.11
6.27	felt	cɔk.11 ʒɔ.31 δiə.11
6.28	fur	luŋ.24
6.29	leather	ʔdɔŋ.31 khwa.54
6.31	spin	ma:t.11
6.32	spindle	qha:i.11
6.33	weave	śaŋ.31 qha:i.11
6.34	loom	ma:u.312
6.35	sew	qa.0 śa:k.31 kat.11 na:i.11
6.36	needle	ma:t.11 ŋɛk.11
6.37	awl	śi.11 na.24
6.38	thread	hɛ.0 tai.312
6.39	dye	tiŋ.11
6.41	cloak	chut.54 ŋɛk.11
6.411	poncho	lu:i 24
6.42	woman's dress	hɛ.0 ci.54
6.43	coat	ma:k.0 ut.54 δu.24
6.44	shirt	va:n.11 ta.0 δa.312
6.45	collar	ś.11 na.24
6.46	skirt	na:n.11
6.461	grass-skirt	śi.11 na.24
6.48	trousers	śɛ.54
6.49	stocking, sock	śɛ.54
6.51	shoe	śa:t.11
6.52	boot	qa:n.54; ma.0 śam.54
6.54	shoemaker, cobbler	tɔi.54
6.55	hat, cap	ʒa:ŋ.31 ci:n.11
6.57	belt, girdle	hɛ.0 ci:ŋ.54
6.58	glove	an.31
6.59	veil	luk.54
6.61	pocket	luk.54 ɛŋ.24
6.62	button	la:ŋ.24
6.63	pin	puŋ.33 cɔn.24; puŋ.33 lu:ŋ.54
6.71	ornament, adornment	la:ŋ.24 up.54 qha:ŋ.54
6.72	jewel	ta.0 loŋ.11(312) luk.54
6.73	ring (for finger)	ma.0 tɔ.312
6.74	bracelet	ma.0 śu.54
6.75	necklace	śi.11 ϑwa.24
6.76	bead	śwa:n.33 ma.0 tɔ.312; śwen.24
6.77	earring	śi.11 ϑwa.24
6.78	headband, headdress	chua:ŋ.24 fu:ŋ.24
6.79	tattoo	lu.33 ɔt.11
6.81	handkerchief, rag	śi:ŋ.11
6.82	towel	śau.54
6.91	comb	qhɔŋ.54
6.92	brush	ta.0 u.11
6.921	braid	mɔn.24
6.93	razor	pu:ŋ.11 śɛn.24
6.94	ointment	taŋ.54
6.95	soap	śɔŋ.11
6.96	mirror	taŋ.11
7.11	dwell, live	la:p.11 śuk.54
7.12	house	ʔda:ŋ.24
7.13	hut	mɛu.54 luk.54
7.131	garden-house	qa.54
7.14	tent	śa:ŋ.24 ljɛŋ.31
7.15	yard, court	ka:k.11 śi.11
7.16	men's house	ma.0 śu.54
7.17	cookhouse	pɛn.54
7.18	meeting house	śaŋ.11 pja.312
7.21	room	pja.312 cik.54
7.22	door, gate	ma.0 iŋ.31 koŋ.24
7.221	doorpost, jamb	na.312
7.23	lock (noun)	lu.11
7.231	latch, door-bolt	śɔn.24
7.24	key	śu:i.54; ʔdu.31
7.25	window	qhɔm.11 śɔn.24; pu:ŋ.11 vɛŋ.312
7.26	floor	ɔŋ.24 mɔŋ.312
7.27	wall	śu:i.24
7.31	fireplace	ha:i.54 δɔŋ.312
7.32	stove	ʔba:k.11
7.33	chimney	ʒa:ŋ.31 chwa:n.54
7.37	ladder	śɔi.
7.42	bed	ma:k.0 ʒɔŋn.31; ʔba:k.11
7.421	pillow	ma:k.0 δa:u.312
7.422	blanket	δa:n.312
7.43	chair	pan.54
7.44	table	qɔn.24
7.45	lamp, torch	qhin.31
7.46	candle	kat.11 pa:i.54
7.47	shelf	śan.11
7.48	trough	pa:i.54
7.51	roof	mian.31
7.52	thatch	mu:ŋ.11
7.53	ridgepole	qha:ŋ.54 pa:i.54
7.54	rafter	pa:i.54
7.55	beam	pa:i.54; qa.0 la.11 na.312; qa.0 śa:n.54
7.56	post, pole	ta.0 pha.11 pa:i.54
7.57	board	pa:ŋ.312
7.58	arch	la.312
7.61	mason	qa.0 ńa.11
7.62	brick	pa:ŋ.312
7.63	mortar	tam.24
7.64	adobe	qa.0 śa:ŋ.54
8.11	farmer	qa.0 ʔdu.11 qa.0 tui.54
8.12	field (for cultivation)	qha.54 qa.0 tui.54
8.13	garden	qa.0 ʔdɛŋ.31 qa.0 tui.54
8.15	cultivate, till	ńa:n.11
8.16	fence	ma.0 ŋa.11
8.17	ditch	qa.0 tui.54
8.21	plow	ma.0 lɛŋ.312
8.212	furrow	qa.0 tui.54 qɛŋ.54
8.22	dig	qa.0 tui.54 śɔŋ.11
8.23	spade	toŋ.11 qa.0 tui.54
8.24	shovel	ma:k.0 ma.0 lɛŋ.312
8.25	hoe	ma:k.0 qu.54
8.26	fork	qhat.11
8.27	rake	qa.0 ʒɔt.11; qhat.11
8.31	sow	toŋ.24 qhat.11
8.311	seed	qa.0 ʔdu.11 qa.0 tui.54
8.32	mow, reap	qa.0 ʔdu.11 qa.0 tui.54
8.33	sickle, scythe	qa.0 ʔbuŋ.31 qa.0 tui.54
8.34	thresh	qa.0 śa.54
8.35	threshing-floor	qa.0 tui.54 kwai.11; qa.0 tui.54 ʒuk.54
8.41	crop, harvest	ma:k.0 lu.11
8.42	grain (barley, oats etc)	ma:ŋ.31 kwɔ.54
8.43	wheat	qa.0 tui.54 qa.0 tuk.54
8.44	barley	qa.0 tuk.54
8.45	rye	qa.0 tui.54 ti.24; qa.0 tui.54 qɛŋ.54
8.46	oats	kwa.33 qa.0 tui.54
8.47	maize, corn	ma:k.0 li.11 ϑa:n.24
8.48	rice	qa.0 tui.54 δɛu.11
8.51	grass	man.312
8.52	hay	δuə.24
8.53	plant (noun)	man.312 δɛu.11
8.531	plant (vb)	ʔbuə.24
8.54	root	kwa.24
8.55	branch	ma:k.0 qu.54 ʔdɛŋ.11 man.11
8.56	leaf	qhik.54
8.57	flower	no general name
8.6	tree	ɛt.11
8.61	oak	ma:k.0 śɔŋ.31
8.62	beech	qa.54 ʔbu.24
8.63	birch	ʔdu.31
8.64	pine	ʔdu.31 koŋ.24
8.65	fir	tak.0 gun.24
8.66	acorn	tap.11
8.67	vine	pat.54
8.68	tobacco	qha.11
8.69	smoke (tobacco)	thɛ.31 li:n.11
8.691	pipe	ma:k.0 qu.54; qa.0 śa:k.11
8.72	tree stump	qhɔt.11
8.73	tree trunk	śau.31
8.74	forked branch	śau.31
8.75	bark	qhɛ.31
8.76	sap	cak.54; tam.54
8.81	palm tree	cak.54
8.82	coconut	ʔbəŋ.11
8.83	citrus fruit	pja.11
8.84	banana tree	ma:k.0 ta:u.24
8.85	banyan	ma:k.0 qa:n.54
8.91	sweet potato	qhɔn.11
8.912	yam	phɔk.11
8.92	tapioca, manioc, cassava	pha:k.11
8.93	gourd	ʔbɛk.11
8.931	pumpkin, squash	pɔk.11
8.94	bamboo	nu.54
8.941	sugar cane	śa:t.11
8.96	fish poison (root)	ʒi:t.31
8.97	nettle	leŋ.312
8.98	mushroom	neŋ.312
9.11	do, make	ha:i.54
9.12	work	hoi.24
9.14	bend	qa.0 ni:n.11
