entry_id	trans_english	Hungarian_Phonemic
5.53	dough	teesta
5.54	knead	dagast; dʸuur
5.55	meal, flour	list
5.56	crush, grind	ööröl; daraal
5.57	mill	malom
5.58	mortar	možaar
5.59	pestle	možaartöröö
5.61	meat	huuš
5.63	sausage	kolbaas(feelešeeg); hurka
5.64	soup, broth	leweš
5.65	vegetables	zöldšeegfeeleek
5.66	bean	bab; pasulʸ
5.7	potato	burgoɲa; krumpli
5.71	fruit	dʸümölč
5.712	bunch	köteg
5.75	fig	füge
5.76	grape	söölöö
5.77	nut	modʸoroo
5.78	olive	olayfa; oliiwa
5.79	oil	olay
5.791	grease, fat	žiir
5.81	salt	šoo
5.82	pepper	borš
5.821	chili pepper	čiipööš paprika
5.84	honey	meez
5.85	sugar	c̷ukor
5.86	milk (noun)	tey
5.87	milk (vb)	fey
5.88	cheese	šayt
5.89	butter	way
5.9	beverage, drink	ital
5.91	mead	meehšör
5.92	wine	bor
5.93	beer	šör
5.94	fermented drink	eryestelt ital
5.97	egg	toyaaš
5.971	egg yolk	toyaaššaargaaya
6.11	put on (clothes)	(fel)öltözik
6.12	clothing, clothes	ruha; öltöɲ
6.13	tailor	saboo
6.21	cloth	söwet; waason
6.22	wool	dʸapyuu
6.23	linen, flax	(len)waason; dʸolč; len
6.24	cotton	dʸapot; pamut
6.25	silk	šelʸem
6.27	felt	nemez; filc̷
6.28	fur	söörme; preem
6.29	leather	böör
6.31	spin	fon
6.32	spindle	oršoo
6.33	weave	söö
6.34	loom	söwöögeep; kötöögeep
6.35	sew	warr
6.36	needle	tü
6.37	awl	aar
6.38	thread	fonal; saal
6.39	dye	fešt ~ befešt
6.41	cloak	pelerin; köpeɲ
6.411	poncho	[pončoo]
6.42	woman's dress	ruha
6.43	coat	zakoo
6.44	shirt	ing
6.45	collar	galleer
6.46	skirt	sokɲa
6.461	grass-skirt	- -
6.48	trousers	nadraag
6.49	stocking, sock	zokni; harišɲa
6.51	shoe	c̷ipöö
6.52	boot	čizma
6.54	shoemaker, cobbler	c̷ipees
6.55	hat, cap	kalap; šapka
6.57	belt, girdle	öw
6.58	glove	kestʸüü
6.59	veil	faatʸol
6.61	pocket	žeb
6.62	button	gomb
6.63	pin	gomboštüü
6.71	ornament, adornment	diis ~ diisiiteeš
6.72	jewel	eekser
6.73	ring (for finger)	dʸüürüü
6.74	bracelet	karkötöö
6.75	necklace	ɲakeek; ɲaklaanc̷
6.76	bead	dʸöndʸšor
6.77	earring	fülbewaloo
6.78	headband, headdress	feyfedöö
6.79	tattoo	tetowaalaaš
6.81	handkerchief, rag	žebkendöö
6.82	towel	kendöö; salweeta
6.91	comb	feešüü
6.92	brush	kefe
6.921	braid	fon
6.93	razor	borotwa
6.94	ointment	kenööč; kreem
6.95	soap	sappan
6.96	mirror	tükör
7.11	dwell, live	lakik; eel
7.12	house	haaz
7.13	hut	kuɲhoo; wiškoo; witʸilloo
7.131	garden-house	kerteš haaz
7.14	tent	šaator
7.15	yard, court	udwar
7.16	men's house	legeeɲlakaaš
7.17	cookhouse	koɲha
7.18	meeting house	imahaaz
7.21	room	soba
7.22	door, gate	aytoo; kapu
7.221	doorpost, jamb	aytootok
7.23	lock (noun)	zaar; lakat
7.231	latch, door-bolt	kilinč
7.24	key	kulč
7.25	window	ablak
7.26	floor	padloo
7.27	wall	fal
7.31	fireplace	kandalloo; tüüzhelʸ
7.32	stove	tüüzhelʸ; kaalʸha
7.33	chimney	čöö
7.37	ladder	leepčöö
7.42	bed	aadʸ
7.421	pillow	paarna; waankoš
7.422	blanket	paplan; takaroo
7.43	chair	seek
7.44	table	astal
7.45	lamp, torch	[laampa]
7.46	candle	dʸertʸa
7.47	shelf	polc̷
7.48	trough	teknöö
7.51	roof	tetöö
7.52	thatch	salmatetöö
7.53	ridgepole	(mešter)gerenda
7.54	rafter	fedeelseek; saruzat ~ sarufa
7.55	beam	gerenda
7.56	post, pole	poozna; ruud
7.57	board	deska; taabla
7.58	arch	boltiiw
7.61	mason	köömüüweš
7.62	brick	teegla
7.63	mortar	wakolat
7.64	adobe	waalʸog ~ waalʸogteegla
8.11	farmer	földmüüweš; parast
8.12	field (for cultivation)	saantoo(föld)
8.13	garden	kert; dʸümölčöš
8.15	cultivate, till	(meg)müüwel
8.16	fence	körülkeriit ~ elkeriit ~ bekeriit
8.17	ditch	aarok
8.21	plow	(fel)saant
8.212	furrow	baraazda
8.22	dig	(fel)aaš
8.23	spade	aašoo
8.24	shovel	lapaat
8.25	hoe	kapa
8.26	fork	willa
8.27	rake	gereblʸe
8.31	sow	wet ~ elwet
8.311	seed	mag
8.32	mow, reap	(le)arat; (le)kasaal
8.33	sickle, scythe	šarloo; kasa
8.34	thresh	kičeepel
8.35	threshing-floor	seerüü(škert)
8.41	crop, harvest	arataaš; termeeš
8.42	grain (barley, oats etc)	gabona; termeeɲ
8.43	wheat	buuza
8.44	barley	aarpa
8.45	rye	rož
8.46	oats	zab
8.47	maize, corn	kukoric̷a
8.48	rice	riž
8.51	grass	füü
8.52	hay	seena
8.53	plant (noun)	nöweeɲ
8.531	plant (vb)	ültet
8.54	root	dʸökeer; töö
8.55	branch	aag
8.56	leaf	(fa)leweel; lomb
8.57	flower	wiraag
8.6	tree	fa
8.61	oak	töldʸ(fa)
8.62	beech	bükk(fa)
8.63	birch	ɲiir(fa)
8.64	pine	(erdei)feɲöö
8.65	fir	(luc̷)eɲöö
8.66	acorn	makk
8.67	vine	söölöö
8.68	tobacco	dohaaɲ
8.69	smoke (tobacco)	dohaaɲzik
8.691	pipe	pipa
8.72	tree stump	töönk
8.73	tree trunk	(fa)törž
8.74	forked branch	(willaaš) aag
8.75	bark	fakeereg
8.76	sap	lee; nedw
8.81	palm tree	paalma
8.82	coconut	kookusdioo
8.83	citrus fruit	deelidʸümölč; c̷itrušfeeleek
8.84	banana tree	banaan
8.85	banyan	indiai fügefa
8.91	sweet potato	bataatas
8.912	yam	- -
8.92	tapioca, manioc, cassava	tapiooka; maniooka
8.93	gourd	lopootök
8.931	pumpkin, squash	tök
8.94	bamboo	bambus(naad)
8.941	sugar cane	c̷ukornaad
8.96	fish poison (root)	- -
8.97	nettle	čalaan
8.98	mushroom	gomba
9.11	do, make	tes; činaal; keesiit
9.12	work	dolgozik
9.14	bend	hayliit
9.15	fold	haytogat
9.16	tie, bind	köt
9.161	untie	kibont
9.18	chain	laanc̷
9.19	rope, cord	köteel
9.192	knot (noun)	čomo
9.21	strike (hit, beat)	üt; wer; čap
9.211	pound with fist	kalapaal
9.22	cut	(el)waag
9.221	cut down	lewaag
9.222	chop, hew	hašogat; waag
9.223	stab	(aat)suur; megkeešel
9.23	knife	keeš
9.24	scissors, shears	olloo
9.25	ax	balta; feyse
9.251	adze	baard; feyse; bodnarkeeš
9.26	break	(el)tör
9.261	broken	tört ~ törött ~ megtört
9.27	split	(el)hašiit ~ hašogat; felost(a); (el)hašad(a)
9.28	tear	teep
9.29	flay, skin	megɲuuz; lehaant
9.31	rub, wipe	dörzöl
9.32	stretch	megɲuuyt
9.33	pull	huuz
9.34	spread out	leteriit ~ megteriit
9.341	hang up	felakast
9.342	press	(meg)ɲom; (meg)soriit
9.343	squeeze, wring	šaytol
9.35	pour	önt; ömlik
9.36	wash	moš ~ mošdik
9.37	sweep	šöpör; elšodor
9.38	broom	šeprüü; rekettʸe
9.422	tool	sersaam
9.43	carpenter	aač
9.44	build	eepiit
9.46	bore	fuur ~ fuuroodik
9.461	hollow out	(ki)waay; üregeššee tes
9.48	saw	füürees
9.49	hammer	kalapaač
9.5	nail	seg
9.56	glue	ragastoo; eɲw
9.6	smith, blacksmith	kowaač
9.61	forge	kowaačol
9.62	anvil	üllöö
9.63	cast (metals)	önt
9.64	gold	araɲ
9.65	silver	ezüšt
9.66	copper, bronze	wöröšreez; bronz
9.67	iron	waš
9.68	lead (noun)	oolom
9.69	tin, tinplate	oon
9.71	potter	fazekaš
9.72	mold (clay etc)	formaal; mintaaz
9.73	clay	adʸag
9.74	glass	üweg
9.75	weave, plait	fon
9.76	basket	košaar
9.77	mat	dʸeekeeɲ
9.771	rug	sööɲeg
9.78	netbag	haaloo
9.79	fan (noun)	ledʸezöö
9.791	fan (vb)	fuuy
9.81	carve	farag
9.82	sculptor	sobraas
9.83	statue	sobor
9.84	chisel	weešöö
9.88	paint (noun)	siin; fešteek
9.89	paint (vb)	fešt; maazol
10.11	move	mozdiit ~ mozgat
10.12	turn over	(meg)fordul; felboriit
10.13	turn around	megfordiit
10.14	wind, wrap	čawar; šodor; fon; bečawar
10.15	roll	felčawar; gördül
10.16	drop (vb)	luyt
10.17	twist	elfordit; šodor; (fel)kawar
10.21	rise	(fel)saall; felkel
10.22	raise, lift	emel
10.23	fall	ešik
10.24	drip	čepereg
10.25	throw	dob; wet
10.252	catch (ball)	idʸeksik; haysol
10.26	shake	raaz
10.32	flow	folʸik; ömlik
10.33	sink	befüüt
10.34	float	uusik; fürdik
10.35	swim	uusik
10.351	dive	(alaa)merül ~ bemerül
10.352	splash	fröčköl
10.36	sail (vb)	hayoozik
10.37	fly (vb)	repül
10.38	blow	fuuy
10.41	creep, crawl	maasik; kuusik
10.412	kneel	leteerdel ~ teerdepel
10.413	crouch	(le)guggol
10.42	slide, slip	bešurran
10.43	jump, leap	ugrik
10.431	kick	ruug
10.44	dance	tanc̷ool
10.45	walk	šeetaal; medʸ
10.451	limp	šaantiit
10.46	run	fut; salad
10.47	go	medʸ; les
10.471	go up	felkel ~ felaall
10.472	climb	(fel)maasik
10.473	go down	alaa/ lemedʸ
10.474	go out	kimedʸ
10.48	come	yön; medʸ; kerül
10.481	come back	wissateer; megyön
10.49	go away, depart	elmedʸ; eltaawozik
10.491	disappear	eltüünik
10.51	flee	(el)menekül; elfüt
10.52	follow	köwet
10.53	pursue	üldöz
10.55	reach, arrive	eerkezik; yön
10.56	approach	közeledik ~ közeleg
10.57	enter	beyön; bemedʸ
10.61	carry (bear)	hord
10.612	carry-in-hand	keezben wis
10.613	carry-on-shoulder	waallon wis
10.614	carry-on-head	a feyeen wis
10.615	carry-underarm	a hoona alatt wis
10.62	bring	hoz
10.63	send	küld
10.64	lead (vb)	wezet
10.65	drive	wezet; hayt
10.66	ride	lowagol
10.67	push, shove	(el)halast; lök
10.71	road	uut
10.72	path	uut; öšweeɲ
10.74	bridge	hiid
10.75	carriage, wagon, cart	koči; hintoo; wagon
10.76	wheel	kereek
10.77	axle	tengelʸ
10.78	yoke	yaarom; iga
10.81	ship	hayoo
10.83	boat	čoonak
10.831	canoe	kayak; kenu
10.832	outrigger	inga
10.84	raft	tutay
10.85	oar	ewezöö
10.851	paddle (noun)	ewezöö
10.852	row (vb)	ewez
10.86	rudder	kormaaɲ
10.87	mast	aarboc̷
10.88	sail (noun)	witorla
10.89	anchor	horgoɲ
10.91	harbor, port	kikötöö
10.92	land (vb)	kisaall ~ lesaall
11.11	have	wan
11.12	own, possess	birtokol
11.13	take	wes
11.14	seize, grasp	elegendöö
11.15	hold	tart
11.16	get, obtain	megkap ~ kap
11.17	keep, retain	gondoz; tart; rendelkezik
11.18	thing	üdʸ; dolog; ešet
11.21	give	ad; yuttat
11.22	give back	wissaad
11.24	preserve, look after	ööriz ~ megööriz
11.25	save, rescue	oow; weed
11.27	destroy	elpustiit; tönkretes
11.28	harm, injure, damage	aart
11.31	seek, look for	kereš
11.32	find	(meg)talaal
11.33	lose	elwesiit ~ wesiit
11.34	release, let go	elerest
11.43	money	peenz
11.44	coin	eerc̷peenz ~ peenzarab
11.51	rich	gazdag
11.52	poor	segeeɲ
11.53	beggar	kolduš
11.54	avaricious, stingy	önzöö; kapži
11.61	lend	iiteel
11.62	borrow	elfolgal
11.63	owe	tartozik
11.64	debt	adooššaag
11.65	pay (vb)	fizet
11.66	account, reckoning	saamla ~ saamiitaaš
11.69	tax, tribute	fizeteeš; diiy
11.77	hire	kibeerel; felfogad
11.78	wages	fizeteeš; beer
11.79	earn	kereš
11.81	buy	waašaarol
11.82	sell	elad
11.83	trade, barter	kereškedik
11.84	merchant	kereškedöö
11.85	market (place)	waašaar; piac̷
11.86	store, shop	bolt; kereškedeeš; üzlet
11.87	price	aar
11.88	dear (costly, expensive)	draaga
11.89	cheap	olčoo
11.91	share (distribute)	elost
11.92	weigh	ɲom; megmeer
12.1	after	utaan
12.11	behind	mögött
12.2	beside	mellett
12.3	down, below	alaa le; alatt
12.4	before	edʸkor; elöött
12.41	front	elöött; homlokzat; elšöö
12.5	inside, in	bent ~ belšeyeeben
12.6	outside	kiiwül
12.7	under	alul; alatt; alaa
12.8	up, above	fel ~ felett
12.11	place	helʸ; teer
12.12	put	tes; helʸez
12.13	sit	ül
12.14	lie down	feksik
12.15	stand	aall
12.16	remain, stay	marad
12.17	remains, left overs	maradeekek
12.21	collect, gather	(össe)dʸüüyt; (össe)sed
12.212	pick up	emel
12.213	pile up	(fel)halmoz
12.22	join, unite	edʸešül; dʸüül
12.23	separate	elwaalast
12.232	divide	elost
12.24	open	ɲit ~ megɲit
12.25	shut, close	zaar; čuk
12.26	cover	befed; bewon
12.27	hide, conceal	reyteget; fed
12.31	high	magaš
12.32	low	alačoɲ
12.33	top	čuuč; tetöö(pont)
12.34	bottom	feneek
12.35	end	weeg
12.352	pointed	eeleš
12.353	edge	hedʸ; eele
12.36	side	oldal
12.37	middle, center	közeepšöö; központ
12.41	right (side)	yobb
12.42	left (side)	bal
12.43	near (adv)	közel(ben)
12.44	far (adv)	messe; taawol
12.45	east	kelet
12.46	west	ɲugat
12.47	north	eesak
12.48	south	deel
12.53	grow	nöö
12.54	measure	meer
12.541	span, fathom	aras; saažeɲ
12.55	large, big	nadʸ
12.56	small, little	kiš ~ kiči
12.57	long	hossuu
12.58	tall	magaš
12.59	short	röwid
12.61	wide, broad	seeleš
12.62	narrow	süük; keškeɲ
12.63	thick (in dimension)	waštag
12.65	thin (in dimension)	weekoɲ
12.67	deep	meelʸ
12.68	shallow	aproo
12.71	flat	šiik ~ šima
12.73	straight	edʸeneš
12.74	crooked	görbe; ferde
12.75	hook	kampoo
12.76	corner	šarok
12.77	cross	kerest
12.78	square	needʸzet
12.81	round	kerek
12.82	circle	kör
12.83	sphere, ball	labda
12.84	line	wonal
12.85	hole	lʸuk; reeš
12.92	like, similar	udʸanolʸan; hašonloo
12.93	change	waaltozaaš; waalt
13.0	zero, nothing	nulla; šemmi
13.1	one	edʸ
13.2	two	kettöö ~ keet
13.3	three	haarom ~ haarma-
13.4	four	needʸ
13.5	five	öt
13.6	six	hat
13.7	seven	heet ~ hete-
13.8	eight	ɲolc̷
13.9	nine	kilenc̷
13.10	ten	tiiz ~ tize-
13.101	eleven	tizenedʸ
13.102	twelve	tizenkettöö ~ tizenkeet
13.103	fifteen	tizenöt
13.104	twenty	huus ~ husa-
13.105	hundred	saaz
