entry_id	trans_english	Mocoví_Phonemic
2.42	daughter	lʸ-aale
2.43	offspring (son or daughter)	lʸ-aal-ḳaipi
2.44	brother	l-ḳaya
2.444	older brother	l-opiiči
2.445	younger brother	l-anoḳ
2.45	sister	l-ḳaya
2.454	older sister	l-opilete
2.455	younger sister	l-anoʔo
2.456	sibling	l-ḳaya
2.458	twins	waaǰaʔ
2.46	grandfather	l-apiʔ
2.461	old man	ḳoʔʁo-ik
2.47	grandmother	l-komeena
2.471	old woman	ḳoʔʁo-i
2.48	grandson	l-awal
2.49	granddaughter	l-awal
2.51	uncle	ne-teesḳoʔ
2.511	mother's brother	ne-teesḳoʔ
2.512	father's brother	ne-teesḳoʔ
2.52	aunt	l-asooro
2.521	mother's sister	l-asooro
2.522	father's sister	l-asooro
2.53	nephew	le-teesek
2.54	niece	le-teese
2.55	cousin	l-ḳaya
2.56	ancestors	le-taʔa-lʸipi
2.57	descendants	lʸ-aḳt-aʁai
2.61	father-in-law (of a man)	ni-ʔyoḳo
2.611	father-in-law (of a woman)	ni-ʔyoḳo
2.62	mother-in-law (of a man)	ni-ʔyoḳoro
2.621	mother-in-law (of a woman)	ni-ʔyoḳoro
2.63	son-in-law (of a man)	l-adon-aʁan-ek
2.631	son-in-law (of a woman)	l-adon-aʁan-ek
2.64	daughter-in-law (of a man)	l-ate
2.641	daughter-in-law (of a woman)	l-ate
2.71	stepfather	laʔwalek letaʔa
2.72	stepmother	laʔwale lateʔe
2.73	stepson	laʔwalek lʸaalek
2.74	stepdaughter	laʔwale lʸaale
2.75	orphan	naʔpeloḳ; naʔpeloʁoʔo
2.76	widow	paʔye
2.77	widower	paʔyek
2.81	relatives, kinsmen	l-ḳaya-rinkipi
2.82	family	la-woʔ l-ase-ripi
2.91	I	ayim; yim
2.92	you (singular)	ḳamiʔ
2.93	he/she/it	-ʔmaʁare
2.94	we	ḳomiʔ
2.941	we (inclusive)	--
2.942	we (exclusive)	--
2.95	you (plural)	ḳamiri; ḳamii
2.96	they	-ʔmaʁare
3.11	animal	isekyak
3.12	male (adj)	yale
3.13	female (adj)	ʔaalo
3.15	livestock	la-lo
3.16	pasture	ʔwaḳa-pi
3.18	herdsman	[waka] l-oʔo
3.19	stable, stall	[waka] l-ahiʔ
3.2	cattle (bovine)	[waka]-lʸipi
3.21	bull	[tooro]
3.22	ox	ɲiiʔ-l-ola
3.23	cow	aɲi [waka]
3.24	calf	[waki] lʸ-aale-k
3.25	sheep	ḳagreta
3.26	ram	ḳagreta lowaʔ
3.28	ewe	aɲi ḳagreta
3.29	lamb	ḳagreta lʸ-aale-k
3.32	boar	kos lowaʔ
3.34	sow	aɲi kos
3.35	pig	kos
3.36	goat	ketaḳ
3.37	he-goat	ketaḳ lowaʔ
3.38	kid	ketaḳ lʸ-aale-k
3.41	horse (equine)	šipgaḳ
3.42	stallion	šipgaḳ lowaʔ
3.44	mare	aɲi šipgaḳ
3.45	foal, colt	šipgaḳ lʸaalek
3.46	ass, donkey	[ʔašin]
3.47	mule	keʔla-ik; keʔla-i
3.5	fowl	
3.52	cock, rooster	waḳaʔe
3.54	hen	waḳaʔe
3.55	chicken	
3.56	goose	
3.57	duck	
3.58	nest	l-pageʔ
3.581	bird	ayo; ḳoʔo
3.582	seagull	
3.583	heron	
3.584	eagle	
3.585	hawk	
3.586	vulture	rateksan
3.591	bat	n-aʔg-aʁan-aʁa
3.592	parrot	ʔeeleʔ
3.593	crow	
3.594	dove	koʔtokoʔ
3.596	owl	
3.61	dog	pioḳ
3.614	rabbit	nesoʁona l-ateʔe
3.62	cat	regaat-olek
3.622	opossum	ʔalolek
3.63	mouse, rat	ni-čig-oʁon-aʁa
3.65	fish	nalʸin
3.652	fin (dorsal)	lelaʁase
3.653	fishscale	leso
3.654	gill	lakat lʸigek
3.655	shell	l-ošikmaʁa
3.661	shark	--
3.662	porpoise, dolphin	
3.663	whale	--
3.664	stingray	
3.665	freshwater eel	ʔam
3.71	wolf	--
3.72	lion	sawaʁaik le-taʔa
3.73	bear	laǰoraʁai l-ateʔe
3.74	fox	nowaʁayaʁa
3.75	deer	reʔʁoneʔ
3.76	monkey	ḳošiikiaʁawa
3.77	elephant	l-adoko-l-owe
3.78	camel	--
3.81	insect	
3.811	louse	l-apa-ʁat
3.812	nit (louse egg)	l-atoʁonata
3.813	flea	pioḳ l-apa-ʁat
3.814	centipede	
3.815	scorpion	paʔlotoʁoik
3.816	cockroach	
3.817	ant	činaḳ
3.818	spider	palačiregaʁa
3.819	spider web	palačiregaʁa l-alaʔ
3.82	bee	rapik l-apa-ʁat
3.821	beeswax	rapik n-apa
3.822	beehive	rapik l-oʔʁon-a
3.823	wasp	rapik l-awoik
3.83	fly	lataʁaɲi
3.831	sandfly (midge), gnat	čitole
3.832	mosquito	ʔyat
3.84	worm	ǰi pit
3.85	snake	nan-aik
3.91	firefly	so ɲiloʔ
3.92	butterfly	so 'paare
3.93	grasshopper	piɲai
3.94	snail	ǰi let-aʔge lʸ-ik
3.95	frog	piǰi-loʁo-loʁo
3.96	lizard	le-kolaʁa-raik
3.97	crocodile, alligator	naanok
3.98	turtle	redaʁak
4.11	body	l-ošikmaʁa
4.12	skin, hide	l-ošikmaʁa
4.13	flesh	l-aʔat
4.14	hair (head)	l-awe
4.142	beard	l-aḳare-we
4.144	body hair	na l-awe
4.145	pubic hair	n-awe
4.146	dandruff	na l-alagaʁ-a
4.15	blood	l-ewoʔ
4.151	vein, artery	so loʔoota
4.16	bone	l-piʔnek
4.162	rib	ne-meenek
4.17	horn	l-asote
4.18	tail	l-ḳaiʔit
4.19	back	le-laḳ; l-apalatetari
4.191	spine	le-laḳ l-piʔnek
4.2	head	l-ḳahik
4.201	side of head, temple	l-kete l-omaʔ
4.202	skull	l-ḳahik l-piʔnek
4.203	brain	l-apioʔʁo
4.204	face	l-ašik
4.205	forehead	l-atap
4.207	jaw	l-asook
4.208	cheek	l-ašilge
4.209	chin	la-ḳaʔ
4.21	eye	n-ḳote
4.212	eyebrow	n-ḳopaʔ
4.213	eyelid	n-ḳote l-apoʔ
4.214	eyelash	r-ade
4.215	blink	
4.22	ear	l-keʔla
4.221	earlobe	l-keʔla l-aʔlʸaḳaʔ
4.222	earwax	l-keʔla l-owaaḳ
4.23	nose	li-mik
4.231	nostril	li-mik l-awak
4.232	mucus (nasal)	n-kopi
4.24	mouth	l-ap
4.241	beak	l-apiʔ
4.25	lip	ni-ɲip
4.26	tongue	l-oʔleg-aʁan-aʁat
4.27	tooth	l-owe
4.271	gums	l-owe l-aʔat
4.272	molartooth	l-owe l-asoogo-se
4.28	neck	l-ḳosot
4.281	nape of neck	l-anaʁaʔ
4.29	throat	l-oḳosote
4.3	shoulder	l-alʸaak
4.301	shoulderblade	l-apalatetaʔ
4.302	collarbone	l-alʸaak l-piʔnaḳ-a
4.31	arm	l-ḳaiʔlaʁat; l-awa
4.312	armpit	li-šaaḳatčiki
4.32	elbow	l-ḳoʔge
4.321	wrist	n-apok-en-a l-ḳodok
4.33	hand	l-ḳaiʔlaʁat
4.331	palm of hand	n-apok-en-a l-awel
4.34	finger	l-palaaḳate
4.342	thumb	l-palaaḳate lateʔogeʔ
4.344	fingernail	le-nat
4.345	claw	le-nat
4.35	leg	li-či
4.351	thigh	l-oteletaʔ
4.352	calf of leg	lʸ-aʔte
4.36	knee	le-ʔkoota
4.37	foot	l-apiaʔ
4.371	ankle	l-ataw
4.372	heel	l-aʔyaaʁa
4.374	footprint	la-piaʔ lʸ-ig-ɲi
4.38	toe	l-apiaʁanata
4.392	wing	l-awa
4.393	feather	l-awe
4.4	chest	l-otoge
4.41	breast (of woman)	l-oʔweete
4.412	nipple, teat	l-oʔweete l-ḳahik
4.42	udder	l-oʔiʔ
4.43	navel	le-dam
4.44	heart	le-ʔtaʁanata
4.441	lung	l-ači
4.45	liver	l-olamek
4.451	kidney	le-te-gese
4.452	spleen	re-paḳ
4.46	stomach	r-akom
4.461	intestines, guts	la-wele-seʔ
4.462	waist	l-asot
4.463	hip	li-yege
4.464	buttocks	li-yege l-aʔat
4.47	womb	l-koʔo-ʁoki
4.49	testicle	l-ola
4.492	penis	n-koʔweʔ
4.51	breathe, breath	l-akat
4.52	yawn, gape	r-atoo
4.521	hiccough	
4.53	cough	r-sahmata
4.54	sneeze	r-aḳašin
4.55	perspire	ne-noḳo-wek
4.56	spit	n-atoḳ
4.57	vomit	ne-sal
4.58	bite	y-aʔk-aa-ɲi
4.59	lick	kolʸi
4.591	dribble	ni-ɲit-eta-ɲi
4.61	sleep	∅-laḳ
4.612	snore	∅-ḳoḳoo
4.62	dream	re-ʔgemata
4.63	wake up	ne-lo-wek
4.64	break wind	r-iɲ-ek
4.65	urinate	n-ḳoʔʁon
4.66	defecate	y-aʔwe n-omaʔ
4.67	have sexual intercourse	(a)wok
4.68	shiver	i-ʔloʁol
4.69	bathe	n-ačil
4.71	beget (of father)	koʔo-n
4.72	born (to be)	ne-ʔḳaa-ɲi
4.73	pregnant	ʔman; ʔman-aʁai
4.732	conceive	ʔman
4.74	live, living, life	n-kaʔl-ewek
4.75	die, dead	lew-aʁaik
4.751	drowned	hom-ak
4.76	kill	y-alawat
4.77	corpse	lew-aʁaik
4.78	bury (the dead)	i-šin-ɲi
4.79	grave, tomb	ni-šin-ḳaʔ
4.81	strong, mighty, powerful	kesaʁan-aʁaik
4.82	weak	y-olaw-eta
4.83	well, health	i-me-wek
4.84	sick, sickness	r-alola
4.841	fever	n-paʔee-wek
4.842	goiter	
4.843	cold (catarrh)	r-asahmata
4.85	wound, sore	l-keʔm-aʁa
4.852	bruise	kotelḳata
4.853	swelling	l-aʔwaač-aḳaʔ
4.854	itch	re-šiki
4.855	blister	le-ʔpaloʁo
4.856	boil (noun)	le-ʔneete
4.857	pus	l-iʔi
4.858	scar	l-koɲir-aʁa
4.86	cure, heal	n-atar-en
4.87	physician	n-atar-en-ataʁan-aḳ
4.88	medicine, drug	l-ataʔ
4.89	poison	le-law-aʁat
4.91	tired, weary	i-sot
4.912	rest	n-koʔmat-aʁak
4.92	lazy	wal-aik
4.93	bald	sela-ʁaik
4.94	lame	či-saḳ
4.95	deaf	sḳa ʔḳaa
4.96	mute	ḳaika-wa l-aʔḳaat-ḳa
4.97	blind	ḳaiʔl-aḳ
4.98	intoxicated	taaʁ-aik
4.99	naked, bare	nee-ta-wek
5.11	eat	keʔe; y-aʔik
5.12	food	n-aʔik
5.121	cooked	r-ato
5.122	raw	tok-ičigi
5.123	ripe	yi
5.124	green, unripe	l-adala
5.125	rotten	ni-čigaʔ
5.13	drink	ne-ʔet
5.14	hunger	ḳopat
5.141	famine	l-ḳopaa-ʁa
5.15	thirst	waʁayaḳ l-oʔda-ʁa
5.16	suck	n-ḳoʔgoʁo-git
5.18	chew	i-wag-igi
5.181	swallow	y-aḳan
5.19	choke	y-atapla
5.21	cook	y-anaḳ
5.22	boil (vb)	n-iʔyam
5.23	roast, fry	l-aseg-ek; i-lola
5.24	bake	ḳatel
5.25	oven	l-ḳatel-aʁan-aʁaki
5.26	pot, cooking vessel	n-aʔweena
5.27	kettle	n-[a'pawa]
5.28	pan	
5.31	dish	n-apeget
5.32	plate	n-apeget
5.33	bowl	n-apeget
5.34	pitcher, jug	
5.35	cup, drinking vessel	n-eʔt-aʁaki
5.36	saucer	--
5.37	spoon	re-kon-ek
5.38	knife	le-kat
5.39	fork	l-aʔd-aʁan-ḳate
5.391	tongs	le-kon-aʁan-aʁat
5.41	meal (a)	l-kiʔ-yaʁak
5.42	breakfast	--
5.43	lunch	--
5.44	dinner	--
5.45	supper	--
5.46	peel	y-osela
5.47	sieve, strain	y-apiis-en
5.48	scrape	n-oleg-elek
5.49	stir, mix	n-oʔla-gi
5.51	bread	[pan]
5.53	dough	l-aḳawlat-a
5.54	knead	y-aḳawlač-it
5.55	meal, flour	[ʔa'riɲa]
5.56	crush, grind	y-aʔǰ-igi
5.57	mill	l-opoʁo-iḳataʁan-aʁaki
5.58	mortar	l-awio
5.59	pestle	n-awio l-oʔo
5.61	meat	l-aʔat
5.63	sausage	--
5.64	soup, broth	ne-wol-ek l-iʔi
5.65	vegetables	pewe l-awe
5.66	bean	
5.7	potato	
5.71	fruit	l-a
5.712	bunch	laʁale
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	
5.791	grease, fat	le-ʔwegaʁa; l-oʔyo
5.81	salt	ʔwe
5.82	pepper	čim-aʁar-ai
5.821	chili pepper	
5.84	honey	rapik l-iʔi
5.85	sugar	['soka]
5.86	milk (noun)	l-oʔiʔ
5.87	milk (vb)	ne-lam
5.88	cheese	[keeso]; [kes]
5.89	butter	--
5.9	beverage, drink	n-eʔt-aʁat
5.91	mead	n-apiise
5.92	wine	lataʁa
5.93	beer	--
5.94	fermented drink	--
5.97	egg	l-koʔweʔ
5.971	egg yolk	l-ḳoɲo-ʁo
6.11	put on (clothes)	y-aɲ-iɲi l-oho
6.12	clothing, clothes	l-oho
6.13	tailor	ne-waar-aʁan-aʁa
6.21	cloth	le-pat-e
6.22	wool	ḳagreta la-we
6.23	linen, flax	--
6.24	cotton	waloḳ
6.25	silk	--
6.27	felt	--
6.28	fur	la-we
6.29	leather	l-ošikmaʁa
6.31	spin	y-aḳaleten
6.32	spindle	l-aḳaleten-aʁan-ḳate
6.33	weave	i-paʁah-taʔ
6.34	loom	l-oʔʁon-aʁan-aʁalaʔ
6.35	sew	ne-wah-taʔ
6.36	needle	l-aʔna
6.37	awl	l-awak l-oʔo
6.38	thread	l-oʔʁon-aʁan-aʁat
6.39	dye	l-ḳoʔl-aʁan-aʁat
6.41	cloak	
6.411	poncho	la-poʔ
6.42	woman's dress	l-oʔlaate
6.43	coat	ne-[saako]
6.44	shirt	ne-lamaʁaki
6.45	collar	lamaʁaki l-ḳosot
6.46	skirt	ne-loʁoki
6.461	grass-skirt	--
6.48	trousers	ne-lamaʁaso
6.49	stocking, sock	--
6.51	shoe	la-pelaʔ
6.52	boot	--
6.54	shoemaker, cobbler	ne-pelaʔ l-oʔo
6.55	hat, cap	n-adoʔo
6.57	belt, girdle	n-osaat-aʁaki
6.58	glove	--
6.59	veil	--
6.61	pocket	l-aǰaʁan-aʁaki
6.62	button	mote
6.63	pin	ʔna; ʔna ǰaʔk-aʔtaʔ
6.71	ornament, adornment	n-oʔweet-aʁat
6.72	jewel	--
6.73	ring (for finger)	li-čik-šaḳate
6.74	bracelet	l-owaʁa-sek
6.75	necklace	l-ḳola
6.76	bead	--
6.77	earring	li-šit-ek
6.78	headband, headdress	l-aʁaʔ l-ḳahik
6.79	tattoo	n-aʔde
6.81	handkerchief, rag	n-kolʸigeʔ
6.82	towel	n-ašiwi-aḳat-aʁat
6.91	comb	ne-tak-ḳate
6.92	brush	--
6.921	braid	i-paʁat; ne-paḳat-a
6.93	razor	ne-peteg-aʁat
6.94	ointment	n-okor-aʁat
6.95	soap	l-kiyo-ʁon-aʁat
6.96	mirror	l-aʔy-oʁolate
7.11	dwell, live	nee-ta-lek
7.12	house	ʔimek
7.13	hut	la-woʔ n-aʔda-a-ɲi
7.131	garden-house	--
7.14	tent	l-opeleʔ
7.15	yard, court	n-asoʁok
7.16	men's house	--
7.17	cookhouse	le-woš-aḳaʔ
7.18	meeting house	l-apo-ʁoki
7.21	room	l-apo-ʁoki
7.22	door, gate	l-asom
7.221	doorpost, jamb	l-asom l-ahi
7.23	lock (noun)	
7.231	latch, door-bolt	l-aʔg-aʁasete
7.24	key	n-awat-ḳate
7.25	window	n-ḳote
7.26	floor	l-koʔy-aʁalaʔ
7.27	wall	l-kepaʁa-set
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	l-awi-aʁalaʔ
7.42	bed	l-omalaʔ
7.421	pillow	n-aʔʁan-aʁat
7.422	blanket	le-ʔlaalek
7.43	chair	n-ḳaʔʁan-aʁaki
7.44	table	l-kiʔy-aʁalaʔ
7.45	lamp, torch	l-koyer-aʁan-aʁaki
7.46	candle	l-koyer-aʁan-aʁat
7.47	shelf	
7.48	trough	n-eʔt-aʁaki
7.51	roof	le-laḳ
7.52	thatch	--
7.53	ridgepole	le-laʁa-sek
7.54	rafter	le-laʁa-sek
7.55	beam	ḳoʔpaḳ
7.56	post, pole	ḳoʔpaḳ
7.57	board	ḳoʔpaḳ
7.58	arch	--
7.61	mason	losok l-oʔo
7.62	brick	losok
7.63	mortar	--
7.64	adobe	losok tok-ičigi
8.11	farmer	--
8.12	field (for cultivation)	l-an-aʁan-ḳaʔ
8.13	garden	l-an-aʁan-ḳaʔ
8.15	cultivate, till	n-asawek
8.16	fence	l-apo-ʁon-aʁat
8.17	ditch	l-iʔya-k
8.21	plow	n-aḳalgoʁo-šigim
8.212	furrow	
8.22	dig	n-iʔya
8.23	spade	l-iʔy-aʁan-ḳate
8.24	shovel	le-meet-aʁan-ḳate
8.25	hoe	l-oleg-aʁan-ḳate
8.26	fork	l-aʔd-aʁan-ḳate
8.27	rake	l-pelog-oʁon-aʁat
8.31	sow	y-an-ɲi
8.311	seed	l-a
8.32	mow, reap	i-čaḳ; y-owaʁan
8.33	sickle, scythe	--
8.34	thresh	potogola
8.35	threshing-floor	--
8.41	crop, harvest	l-aḳat-ek
8.42	grain (barley, oats etc)	l-a; n-asoolk-al-a
8.43	wheat	
8.44	barley	--
8.45	rye	--
8.46	oats	--
8.47	maize, corn	
8.48	rice	
8.51	grass	ʔwaḳa-pi
8.52	hay	--
8.53	plant (noun)	l-an-eksek
8.531	plant (vb)	y-an-ɲi
8.54	root	l-paʔaʔ
8.55	branch	l-asote
8.56	leaf	la-we
8.57	flower	le-noy-aʁai
8.6	tree	ḳoʔpaḳ
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	n-oweela
8.68	tobacco	n-aseer-ek
8.69	smoke (tobacco)	y-aseʔ; r-aseer-aʁan
8.691	pipe	l-aseer-aʁan-aʁaki
8.72	tree stump	l-oyo
8.73	tree trunk	l-oyo
8.74	forked branch	l-asote
8.75	bark	le-so
8.76	sap	n-ate
8.81	palm tree	čaawik
8.82	coconut	--
8.83	citrus fruit	--
8.84	banana tree	
8.85	banyan	--
8.91	sweet potato	[wa'tata]
8.912	yam	
8.92	tapioca, manioc, cassava	[ma'ǰoka]
8.93	gourd	ḳaʔpaʁa
8.931	pumpkin, squash	loʔgilʸi
8.94	bamboo	noḳola l-ateʔe
8.941	sugar cane	['kaɲa]
8.96	fish poison (root)	
8.97	nettle	poḳoik
8.98	mushroom	šipgaḳ n-otese
9.11	do, make	y-oʔwet
9.12	work	r-oʔweenat-aʁan
9.14	bend	ḳoǰim-aʁač-igi
9.15	fold	i-nan
9.16	tie, bind	koɲiʔ
9.161	untie	y-oso-wek
9.18	chain	[ka'rena]
9.19	rope, cord	l-aɲik
9.192	knot (noun)	mote
9.21	strike (hit, beat)	y-owaʁan
9.211	pound with fist	y-aho-te-ʔe n-ašitaʁaɲi
9.22	cut	i-čaʁa-wek
9.221	cut down	y-owaʁan-lek
9.222	chop, hew	y-owaʁan-lek
9.223	stab	y-aʔd-aak
9.23	knife	le-kat
9.24	scissors, shears	n-akilek-ḳate-ʔ
9.25	ax	ḳaiʔpe
9.251	adze	--
9.26	break	y-aḳagit
9.261	broken	ḳak
9.27	split	r-opoḳo-gi
9.28	tear	y-asekt-aḳt-a-ʔge
9.29	flay, skin	kola
9.31	rub, wipe	i-šila
9.32	stretch	y-awek
9.33	pull	n-awek
9.34	spread out	i-pegen-ek
9.341	hang up	i-pegen
9.342	press	pataḳ-a-ɲi
9.343	squeeze, wring	ne-lam
9.35	pour	y-okoʔ
9.36	wash	kiyo
9.37	sweep	i-ʔlek
9.38	broom	le-ʔleg-aʁan-ḳate
9.422	tool	l-oʔweenat-aʁan-aʁat
9.43	carpenter	ḳoʔpaḳ l-oʔo
9.44	build	n-oʔʁon-šigim
9.46	bore	i-pi-wek
9.461	hollow out	n-oʔla-gi
9.48	saw	li-čaʁa-soʁon-aʁat
9.49	hammer	l-otogoʁo-soʁon-aʁat
9.5	nail	l-eg-aʁasete
9.56	glue	
9.6	smith, blacksmith	lekat l-oʔo
9.61	forge	--
9.62	anvil	l-otogoʁo-soʁon-aʁalaʔ
9.63	cast (metals)	--
9.64	gold	
9.65	silver	
9.66	copper, bronze	--
9.67	iron	
9.68	lead (noun)	--
9.69	tin, tinplate	--
9.71	potter	ʔlawa l-oʔo
9.72	mold (clay etc)	
9.73	clay	n-oʔʁon-a ʔlawa
9.74	glass	na č-aa-ɲi
9.75	weave, plait	y-oʔʁon
9.76	basket	ne-paḳat-a
9.77	mat	l-akan-ek
9.771	rug	--
9.78	netbag	l-ioʁoki; l-ḳotaki
9.79	fan (noun)	n-peʔt-aḳate
9.791	fan (vb)	i-were-tak
9.81	carve	--
9.82	sculptor	--
9.83	statue	l-adenḳat-ek
9.84	chisel	--
9.88	paint (noun)	l-ḳoʔl-aʁan-aʁat
9.89	paint (vb)	y-aʔmen
10.11	move	re-da; i-da-ʁan
10.12	turn over	y-aḳalgoʁon-ɲi
10.13	turn around	pil-eʔt-ot
10.14	wind, wrap	y-aʁat-ege
10.15	roll	i-nan
10.16	drop (vb)	y-it-a-wek
10.17	twist	i-nan
10.21	rise	ne-ʔlaḳ-šigim
10.22	raise, lift	y-aan-šigim
10.23	fall	w-aa-ɲi
10.24	drip	ɲit-eta-ɲi
10.25	throw	i-naḳ
10.252	catch (ball)	y-akoɲ-iʔči-git
10.26	shake	y-očigoḳ
10.32	flow	i-ʔpaʁan-ek
10.33	sink	i-ǰin-ɲi
10.34	float	n-ayoʁon-ta-šigim
10.35	swim	y-oʔʁon-ta
10.351	dive	hom-ɲi
10.352	splash	r-aḳah-šigim
10.36	sail (vb)	--
10.37	fly (vb)	yo
10.38	blow	peʔet
10.41	creep, crawl	n-ḳaiʔek
10.412	kneel	y-aʔd-oot-o na-wa le-ʔkoota-l
10.413	crouch	n-ḳaiʔgi-ɲi
10.42	slide, slip	re-sawlʸi
10.43	jump, leap	re-not
10.431	kick	y-ačaḳ
10.44	dance	r-asot
10.45	walk	ḳawa
10.451	limp	čisḳa-taʔpeg-eʔ
10.46	run	ne-ʔgen-ta
10.47	go	ee-k
10.471	go up	t-aa-šigim
10.472	climb	ki-šigim
10.473	go down	t-aa-ɲi
10.474	go out	t-aa-wek
10.48	come	n-anak
10.481	come back	r-apil
10.49	go away, depart	t-aa-wek
10.491	disappear	pal
10.51	flee	ʔ-eet
10.52	follow	y-aʔge-lek
10.53	pursue	y-okan-ak
10.55	reach, arrive	y-owiʔ; n-owiʔ
10.56	approach	n-okiig-o
10.57	enter	i-noʁon-o; ne-noʁon-o
10.61	carry (bear)	y-odo; n-odo
10.612	carry-in-hand	l-oʔḳoo-ta-ʔa
10.613	carry-on-shoulder	n-alʸak-sen-ta
10.614	carry-on-head	n-oto-sen-ta
10.615	carry-underarm	ni-šaʁaki-n-ta
10.62	bring	n-odo
10.63	send	i-laʔ; ne-laʔ
10.64	lead (vb)	y-awek; n-awek
10.65	drive	y-ašaʁan-tak
10.66	ride	re-noh-lek
10.67	push, shove	pataḳ; n-pataḳ
10.71	road	n-aǰik
10.72	path	lʸ-ik
10.74	bridge	ɲ-ik-ta
10.75	carriage, wagon, cart	l-ahoglen-a
10.76	wheel	l-asaʁalon-a
10.77	axle	
10.78	yoke	l-iʔyaaki-oʁolaʔ
10.81	ship	--
10.83	boat	ḳom l-ahiʔ waʁayaḳ-se
10.831	canoe	
10.832	outrigger	--
10.84	raft	li-lʸikot-a
10.85	oar	li-lʸikot-aʁan-aʁat
10.851	paddle (noun)	
10.852	row (vb)	i-lʸikot
10.86	rudder	--
10.87	mast	--
10.88	sail (noun)	--
10.89	anchor	--
10.91	harbor, port	ɲ-ig-aʁasom
10.92	land (vb)	
11.11	have	ʔwe
11.12	own, possess	wee-to-ʔot
11.13	take	i-kon-a
11.14	seize, grasp	i-kon-lek
11.15	hold	l-oʔḳoo-ta-ʔa
11.16	get, obtain	y-ačigoʁ-ot-a-wgi
11.17	keep, retain	y-aʔmaʁat
11.18	thing	
11.21	give	y-aan
11.22	give back	y-opil-aʁat
11.24	preserve, look after	y-oden
11.25	save, rescue	n-kaʔl-aʁat-ek
11.27	destroy	n-opoʁo-yaʁah-ɲi
11.28	harm, injure, damage	n-aʔa-ʁat
11.31	seek, look for	i-daan-ake
11.32	find	y-anat-a
11.33	lose	y-oʔwaat-etak
11.34	release, let go	y-oso-wek; y-aʁan-ek
11.43	money	l-am
11.44	coin	[či'rola]
11.51	rich	ne-salʸ-aʁan-ek
11.52	poor	ʔʁor-aḳ
11.53	beggar	šiila-ʁan-aʁai
