entry_id	trans_english	Slavonic_Old_Church_Phonemic
4.853	swelling	
4.854	itch	
4.855	blister	
4.856	boil (noun)	
4.857	pus	
4.858	scar	
4.86	cure, heal	cěliti; lěčiti
4.87	physician	balĭji; vračĭ; lěkarĭ
4.88	medicine, drug	balĭstvo; lěkŭ
4.89	poison	jadŭ; otrava
4.91	tired, weary	truzdŭ sę; trudĭnŭ
4.912	rest	
4.92	lazy	lěnŭ
4.93	bald	vŭzlysŭ; plěšivŭ
4.94	lame	chromŭ
4.95	deaf	gluchŭ
4.96	mute	němŭ
4.97	blind	slěpŭ
4.98	intoxicated	pĭjanŭ
4.99	naked, bare	nagŭ; golŭ
5.11	eat	jasti
5.12	food	pišta; jadĭ; brašĭno; krŭma
5.121	cooked	
5.122	raw	
5.123	ripe	
5.124	green, unripe	
5.125	rotten	
5.13	drink	piti
5.14	hunger	gladŭ
5.141	famine	
5.15	thirst	žęžda
5.16	suck	sŭsati
5.18	chew	
5.181	swallow	
5.19	choke	
5.21	cook	variti
5.22	boil (vb)	variti; vĭrěti
5.23	roast, fry	pešti; pražiti
5.24	bake	pešti
5.25	oven	peštĭ
5.26	pot, cooking vessel	grŭnĭcĭ
5.27	kettle	kotĭlŭ
5.28	pan	skovrada
5.31	dish	misa; bljudo
5.32	plate	misa; bljudo
5.33	bowl	
5.34	pitcher, jug	krŭčagŭ; čĭvanŭ; vrŭčĭ
5.35	cup, drinking vessel	čaša
5.36	saucer	
5.37	spoon	lŭžica
5.38	knife	
5.39	fork	
5.391	tongs	
5.41	meal (a)	obědŭ
5.42	breakfast	
5.43	lunch	
5.44	dinner	obědŭ
5.45	supper	večerja
5.46	peel	
5.47	sieve, strain	
5.48	scrape	
5.49	stir, mix	(sŭ-)měsiti
5.51	bread	chlěbŭ
5.53	dough	těsto
5.54	knead	uměsiti
5.55	meal, flour	mąka
5.56	crush, grind	mlěti
5.57	mill	žrŭnŭvi; žrŭny
5.58	mortar	
5.59	pestle	
5.61	meat	męso
5.63	sausage	
5.64	soup, broth	jucha
5.65	vegetables	zelĭje
5.66	bean	bobŭ
5.7	potato	
5.71	fruit	ovoštĭ
5.712	bunch	
5.75	fig	smoky
5.76	grape	grozdŭ; groznŭ
5.77	nut	orěchŭ
5.78	olive	maslina
5.79	oil	olějĭ; maslo
5.791	grease, fat	
5.81	salt	solĭ
5.82	pepper	pĭperŭ
5.821	chili pepper	
5.84	honey	medŭ
5.85	sugar	
5.86	milk (noun)	mlěko
5.87	milk (vb)	mlěsti
5.88	cheese	syrŭ
5.89	butter	
5.9	beverage, drink	
5.91	mead	medŭ
5.92	wine	vino
5.93	beer	pivo; olŭ
5.94	fermented drink	
5.97	egg	ajĭce
5.971	egg yolk	
6.11	put on (clothes)	oděti; oblěšti
6.12	clothing, clothes	odežda; riza
6.13	tailor	
6.21	cloth	platŭ; sukno; rąbŭ
6.22	wool	vlŭna
6.23	linen, flax	platĭno; lĭnŭ
6.24	cotton	
6.25	silk	šelkŭ; godovablĭ; svila
6.27	felt	plŭstĭ
6.28	fur	kožuchŭ; krŭzno
6.29	leather	koža; azno
6.31	spin	pręsti
6.32	spindle	vreteno
6.33	weave	tŭkati
6.34	loom	postavŭ
6.35	sew	šiti
6.36	needle	*igŭla; igŭlinŭ
6.37	awl	šilo
6.38	thread	nitĭ; ništa
6.39	dye	
6.41	cloak	plaštĭ; riza
6.411	poncho	
6.42	woman's dress	
6.43	coat	riza; sračica
6.44	shirt	riza; sračica; košulja
6.45	collar	
6.46	skirt	
6.461	grass-skirt	
6.48	trousers	nadragy
6.49	stocking, sock	
6.51	shoe	sapogŭ; črěvĭjĭ
6.52	boot	
6.54	shoemaker, cobbler	sapogošĭvĭcĭ; sapožĭnikŭ
6.55	hat, cap	
6.57	belt, girdle	pojasŭ
6.58	glove	rąkavica
6.59	veil	
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	ukrašenĭje
6.72	jewel	
6.73	ring (for finger)	prŭstenĭ
6.74	bracelet	
6.75	necklace	monisto; grivĭna; ožrělĭ
6.76	bead	
6.77	earring	
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	rąčĭnikŭ
6.91	comb	grebenĭ; česlŭ; česalo
6.92	brush	
6.921	braid	
6.93	razor	britva; bričĭ
6.94	ointment	mastĭ
6.95	soap	
6.96	mirror	zrĭcalo; *oględalo
7.11	dwell, live	žiti; obitati
7.12	house	domŭ; chramŭ; chyzŭ
7.13	hut	
7.131	garden-house	
7.14	tent	skinĭji; kąšta
7.15	yard, court	dvorŭ
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	dvĭrĭ; vrata
7.221	doorpost, jamb	
7.23	lock (noun)	zamka
7.231	latch, door-bolt	
7.24	key	ključĭ
7.25	window	okno
7.26	floor	podŭ
7.27	wall	zidŭ; stěna
7.31	fireplace	ognište
7.32	stove	
7.33	chimney	
7.37	ladder	
7.42	bed	odrŭ; lože
7.421	pillow	
7.422	blanket	
7.43	chair	sědalište
7.44	table	trapeza
7.45	lamp, torch	světilĭnikŭ
7.46	candle	svěšta
7.47	shelf	
7.48	trough	
7.51	roof	krovŭ; strěcha
7.52	thatch	
7.53	ridgepole	
7.54	rafter	
7.55	beam	brŭvŭno
7.56	post, pole	
7.57	board	dŭska
7.58	arch	
7.61	mason	
7.62	brick	plinŭta
7.63	mortar	
7.64	adobe	
8.11	farmer	dělatelĭ; tęžatelĭ
8.12	field (for cultivation)	selo; niva
