entry_id	trans_english	Colorado_Phonemic
6.35	sew	ʔoro-'no
6.36	needle	[aʰkusa]
6.37	awl	
6.38	thread	si'li
6.39	dye	
6.41	cloak	ʔo-nũ-[panu]; winũ [panu]
6.411	poncho	ta'pi
6.42	woman's dress	--
6.43	coat	
6.44	shirt	
6.45	collar	ku'ˀdã
6.46	skirt	tu'nã; mã-pe c̷ãpa
6.461	grass-skirt	--
6.48	trousers	[pã'lõn]
6.49	stocking, sock	
6.51	shoe	
6.52	boot	
6.54	shoemaker, cobbler	--
6.55	hat, cap	
6.57	belt, girdle	[sen'ˀdori]
6.58	glove	
6.59	veil	--
6.61	pocket	to'lo
6.62	button	
6.63	pin	
6.71	ornament, adornment	
6.72	jewel	--
6.73	ring (for finger)	
6.74	bracelet	'teˀde wĩ
6.75	necklace	wĩ
6.76	bead	wĩ
6.77	earring	
6.78	headband, headdress	'misili
6.79	tattoo	
6.81	handkerchief, rag	c̷ã'pa
6.82	towel	
6.91	comb	pa'rã; parã-pe
6.92	brush	
6.921	braid	ʔa te'ˀbã naʰ'ka
6.93	razor	[yi'le]
6.94	ointment	
6.95	soap	
6.96	mirror	
7.11	dwell, live	c̷u-no
7.12	house	ya
7.13	hut	he'lẽ ya
7.131	garden-house	--
7.14	tent	--
7.15	yard, court	'sela
7.16	men's house	--
7.17	cookhouse	--
7.18	meeting house	--
7.21	room	ta'mo
7.22	door, gate	tamo-lã-n; 'do-kã-pe
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	
7.26	floor	to; lo'wa
7.27	wall	ta'mo
7.31	fireplace	'nĩ-Φu
7.32	stove	
7.33	chimney	--
7.37	ladder	terãka
7.42	bed	lo'wa
7.421	pillow	misũ-ka
7.422	blanket	ha'li
7.43	chair	
7.44	table	[miʰ'sa]
7.45	lamp, torch	nĩ
7.46	candle	
7.47	shelf	ki'yo
7.48	trough	
7.51	roof	ya
7.52	thatch	'ya-ha
7.53	ridgepole	ya ˀbu'ri
7.54	rafter	paʰ'tarã
7.55	beam	c̷iˀde
7.56	post, pole	c̷iˀde
7.57	board	kuʰ'ta-pe
7.58	arch	--
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	wiʰ'ta
8.13	garden	wiʰ'ta
8.15	cultivate, till	
8.16	fence	[seri'ka]
8.17	ditch	Φo'ro
8.21	plow	to ˀbule-no
8.212	furrow	
8.22	dig	to towa-no
8.23	spade	
8.24	shovel	
8.25	hoe	
8.26	fork	[pa'la]
8.27	rake	
8.31	sow	waʰ'ke-no; ʔa'rale-no
8.311	seed	ni; puʰ'ka
8.32	mow, reap	
8.33	sickle, scythe	--
8.34	thresh	laʰ'c̷i-no
