entry_id	trans_english	Qawasqar_Phonemic
4.84	sick, sickness	af
4.841	fever	
4.842	goiter	
4.843	cold (catarrh)	
4.85	wound, sore	erso
4.852	bruise	
4.853	swelling	
4.854	itch	
4.855	blister	
4.856	boil (noun)	
4.857	pus	
4.858	scar	setḳap-c̷oyo
4.86	cure, heal	
4.87	physician	[teḳtor]
4.88	medicine, drug	c̷ese-ḳʰar
4.89	poison	
4.91	tired, weary	ḳʰarḳʰap
4.912	rest	yepana
4.92	lazy	serḳsḳwena
4.93	bald	
4.94	lame	ḳasc̷el
4.95	deaf	ḳyawe-ḳyawel
4.96	mute	
4.97	blind	tas-ḳyawel
4.98	intoxicated	ḳyepʰas-na
4.99	naked, bare	teyesḳes
5.11	eat	yefa-yes
5.12	food	yefa-yes
5.121	cooked	awasḳe-so
5.122	raw	es
5.123	ripe	ac̷aas
5.124	green, unripe	ac̷a-ḳseḳer
5.125	rotten	aḳs-na
5.13	drink	c̷efa-lay
5.14	hunger	ḳyewas
5.141	famine	
5.15	thirst	c̷efa-ḳayna
5.16	suck	c̷eptsas
5.18	chew	yefa-tawan
5.181	swallow	aḳstaraḳso
5.19	choke	
5.21	cook	awas
5.22	boil (vb)	malmas
5.23	roast, fry	
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	peyḳyo-ḳʰar
5.27	kettle	
5.28	pan	
5.31	dish	yefayes-tḳal
5.32	plate	
5.33	bowl	
5.34	pitcher, jug	ḳyanes-ḳʰar
5.35	cup, drinking vessel	
5.36	saucer	
5.37	spoon	yefayes-ḳʰar
5.38	knife	afsasḳe
5.39	fork	
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	papesḳa
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	ḳseyes
5.47	sieve, strain	
5.48	scrape	c̷eftse-lay
5.49	stir, mix	
5.51	bread	tasensḳa
5.53	dough	
5.54	knead	panepes
5.55	meal, flour	tasensḳa
5.56	crush, grind	ḳsḳerḳye-na
5.57	mill	
5.58	mortar	
5.59	pestle	
5.61	meat	c̷ewalc̷eḳ
5.63	sausage	--
5.64	soup, broth	
5.65	vegetables	
5.66	bean	[porota]
5.7	potato	ḳwena
5.71	fruit	
5.712	bunch	
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	ḳarnaḳar
5.791	grease, fat	
5.81	salt	c̷ams
5.82	pepper	aḳoḳstayesḳa
5.821	chili pepper	
5.84	honey	
5.85	sugar	yenc̷epas-ḳa
5.86	milk (noun)	ḳʰarxase
5.87	milk (vb)	
5.88	cheese	waḳapsḳa
5.89	butter	ḳenḳʰar
5.9	beverage, drink	aḳc̷oḳar-afxar
5.91	mead	
5.92	wine	afxar
5.93	beer	
5.94	fermented drink	
5.97	egg	yese
5.971	egg yolk	tˀanowas
6.11	put on (clothes)	
6.12	clothing, clothes	awelḳa
6.13	tailor	--
6.21	cloth	
6.22	wool	
6.23	linen, flax	--
6.24	cotton	
6.25	silk	--
6.27	felt	--
6.28	fur	
6.29	leather	
6.31	spin	
6.32	spindle	
6.33	weave	yeta
6.34	loom	
6.35	sew	aḳapas
6.36	needle	aḳapas-ḳʰar
6.37	awl	wasḳala
6.38	thread	
6.39	dye	
6.41	cloak	yewala
6.411	poncho	
6.42	woman's dress	
6.43	coat	
6.44	shirt	ḳawes-eḳse
6.45	collar	
6.46	skirt	
6.461	grass-skirt	
6.48	trousers	ḳʰat-peyḳe
6.49	stocking, sock	ḳʰat-yare
6.51	shoe	[c̷eḳwor]
6.52	boot	[wota]
6.54	shoemaker, cobbler	--
6.55	hat, cap	yeneḳ
6.57	belt, girdle	ḳyerḳyena
6.58	glove	
6.59	veil	--
6.61	pocket	xapalo
6.62	button	yeḳena-ḳʰar
6.63	pin	
6.71	ornament, adornment	
6.72	jewel	--
6.73	ring (for finger)	
6.74	bracelet	
6.75	necklace	ḳamaseyar
6.76	bead	
6.77	earring	
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	yeḳseḳena-ḳʰar
6.92	brush	sewes-ḳʰar
6.921	braid	
6.93	razor	afsayoḳ-c̷efc̷as-ḳʰar
6.94	ointment	
6.95	soap	aḳwas-ḳʰar
6.96	mirror	leyes-ḳʰar
7.11	dwell, live	
7.12	house	at
7.13	hut	at
7.131	garden-house	
7.14	tent	
7.15	yard, court	
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	yenc̷exawa
7.21	room	
7.22	door, gate	ḳstap
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	ḳstaleḳsa
7.26	floor	ḳsemna-ḳo-tḳal
7.27	wall	at-ḳaleḳ-el
7.31	fireplace	aftsar-tḳal
7.32	stove	afc̷ar-ḳwal
7.33	chimney	ḳowepe-ḳʰar
7.37	ladder	taryo-ḳʰar
7.42	bed	talay-xo-tḳal
7.421	pillow	
7.422	blanket	laaḳs
7.43	chair	pap-o-tḳal
7.44	table	yefa-yes-tḳal
7.45	lamp, torch	ḳyoyes-ḳʰar
7.46	candle	ḳyoyes-ḳʰar
7.47	shelf	
7.48	trough	
7.51	roof	estes-tḳal
7.52	thatch	
7.53	ridgepole	
7.54	rafter	
7.55	beam	
7.56	post, pole	
7.57	board	seyane-ḳʰar
7.58	arch	--
7.61	mason	--
7.62	brick	--
7.63	mortar	--
7.64	adobe	--
8.11	farmer	--
8.12	field (for cultivation)	
8.13	garden	
8.15	cultivate, till	
8.16	fence	yec̷etḳana
8.17	ditch	
8.21	plow	
8.212	furrow	
8.22	dig	ḳawe-lay
8.23	spade	
8.24	shovel	
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	
8.311	seed	yec̷ˀoy
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	
8.48	rice	c̷eryapsḳa
8.51	grass	c̷apḳstas
8.52	hay	--
8.53	plant (noun)	ḳawoḳyena
8.531	plant (vb)	
8.54	root	wes-pel
8.55	branch	ḳc̷eyḳe
8.56	leaf	ḳse
8.57	flower	yeḳstas
8.6	tree	ḳʰar
8.61	oak	yerḳseḳenoḳar
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	
8.68	tobacco	tˀelḳs
8.69	smoke (tobacco)	c̷efas
8.691	pipe	tˀalḳs-ḳʰar
8.72	tree stump	
8.73	tree trunk	
8.74	forked branch	
8.75	bark	ḳʰar-ḳawes
8.76	sap	ḳʰen
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	
8.85	banyan	--
8.91	sweet potato	
8.912	yam	
8.92	tapioca, manioc, cassava	
8.93	gourd	
8.931	pumpkin, squash	
8.94	bamboo	
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	aw-asap
8.98	mushroom	arḳyawe
9.11	do, make	yeta
9.12	work	altal
9.14	bend	
9.15	fold	
9.16	tie, bind	c̷epaḳye-na
9.161	untie	
9.18	chain	
9.19	rope, cord	ḳasapaḳs
9.192	knot (noun)	c̷epatḳaps
9.21	strike (hit, beat)	c̷eḳows
9.211	pound with fist	
9.22	cut	c̷era-
9.221	cut down	
9.222	chop, hew	
9.223	stab	
9.23	knife	c̷erasḳe
9.24	scissors, shears	ḳstepas-ḳʰar
9.25	ax	ḳaryesḳa
9.251	adze	
9.26	break	c̷aḳsa
9.261	broken	
9.27	split	
9.28	tear	ḳstaḳsa
9.29	flay, skin	ḳseyes
9.31	rub, wipe	yentˀas
9.32	stretch	ac̷eḳyas
9.33	pull	ḳyerḳyeyan
9.34	spread out	
9.341	hang up	ḳstawan
9.342	press	ḳserḳye-na
9.343	squeeze, wring	
9.35	pour	
9.36	wash	aḳwas
9.37	sweep	c̷efc̷as
9.38	broom	ḳelḳsta-ḳʰar
9.422	tool	wal
9.43	carpenter	
9.44	build	
9.46	bore	aḳstap-lay
9.461	hollow out	
9.48	saw	
9.49	hammer	c̷eyes-ḳʰar
9.5	nail	ḳyeḳasḳe
9.56	glue	
9.6	smith, blacksmith	
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	
9.65	silver	
9.66	copper, bronze	
9.67	iron	aḳaperwa
9.68	lead (noun)	
9.69	tin, tinplate	--
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	
9.74	glass	ḳawes-yeḳc̷els-ḳa
9.75	weave, plait	
9.76	basket	tayo
9.77	mat	
9.771	rug	
9.78	netbag	
9.79	fan (noun)	
9.791	fan (vb)	
9.81	carve	
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	
9.89	paint (vb)	
10.11	move	
10.12	turn over	
10.13	turn around	
10.14	wind, wrap	tˀerḳwaḳso
10.15	roll	tˀaranaḳ
10.16	drop (vb)	ḳstoc̷ḳal
10.17	twist	
10.21	rise	
10.22	raise, lift	altḳa
10.23	fall	c̷eḳar
10.24	drip	ḳstawes
10.25	throw	
10.252	catch (ball)	
10.26	shake	ac̷ernaḳ
10.32	flow	c̷elḳwas
10.33	sink	
10.34	float	ḳyol
10.35	swim	lalas
10.351	dive	ḳsḳoy
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	alas
10.38	blow	seḳwas
10.41	creep, crawl	
10.412	kneel	
10.413	crouch	
10.42	slide, slip	c̷eḳar
10.43	jump, leap	ḳyestat
10.431	kick	ftaw-lay
10.44	dance	wareḳ
10.45	walk	ḳsemnal
10.451	limp	
10.46	run	ḳyeḳyayeḳs
10.47	go	as
10.471	go up	yetḳʰar
10.472	climb	
10.473	go down	ḳseyep
10.474	go out	lap
10.48	come	yec̷al
10.481	come back	ḳotereḳ
10.49	go away, depart	c̷elḳwayeḳs
10.491	disappear	
10.51	flee	ḳsḳena
10.52	follow	
10.53	pursue	
10.55	reach, arrive	yetac̷al
10.56	approach	xac̷oḳ
10.57	enter	loy
10.61	carry (bear)	c̷elḳose
10.612	carry-in-hand	
10.613	carry-on-shoulder	yeḳor-lay
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	seḳc̷al
10.63	send	yerwoḳʰos
10.64	lead (vb)	
10.65	drive	
10.66	ride	
10.67	push, shove	eyxaḳer
10.71	road	taryo
10.72	path	
10.74	bridge	taryo-ar
10.75	carriage, wagon, cart	
10.76	wheel	
10.77	axle	
10.78	yoke	
10.81	ship	--
10.83	boat	yemase
10.831	canoe	ḳayef
10.832	outrigger	
10.84	raft	
10.85	oar	yemo-ḳʰar
10.851	paddle (noun)	ḳc̷ewes-ḳʰar
10.852	row (vb)	yemo
10.86	rudder	
10.87	mast	c̷erḳar
10.88	sail (noun)	c̷erseḳta
10.89	anchor	c̷apars-ḳʰar
10.91	harbor, port	c̷eyoxo
10.92	land (vb)	sas
11.11	have	
11.12	own, possess	
11.13	take	xeno
11.14	seize, grasp	
11.15	hold	
11.16	get, obtain	
11.17	keep, retain	
11.18	thing	wal
11.21	give	xaar
11.22	give back	
11.24	preserve, look after	
11.25	save, rescue	
11.27	destroy	
11.28	harm, injure, damage	
11.31	seek, look for	yalay; leyes
11.32	find	c̷elḳoḳenar
11.33	lose	yeteḳyepas-na
11.34	release, let go	
11.43	money	aḳyoy
11.44	coin	
11.51	rich	
11.52	poor	wal-ḳyawel
11.53	beggar	
11.54	avaricious, stingy	
11.61	lend	
11.62	borrow	
11.63	owe	
11.64	debt	
11.65	pay (vb)	aḳyoy
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	aḳyoy
11.82	sell	
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	
11.88	dear (costly, expensive)	
11.89	cheap	aḳyo-yeḳet
11.91	share (distribute)	c̷as-ḳelay
11.92	weigh	
12.1	after	
12.11	behind	ḳyo-tereḳ
12.2	beside	atel
12.3	down, below	
12.4	before	of-tereḳ
12.41	front	
12.5	inside, in	alewe
12.6	outside	lap
12.7	under	
12.8	up, above	arka
12.11	place	
12.12	put	
12.13	sit	pap
12.14	lie down	talay
12.15	stand	altḳa
12.16	remain, stay	
12.17	remains, left overs	ḳalḳsta
12.21	collect, gather	
12.212	pick up	
12.213	pile up	yerpe-na
12.22	join, unite	
12.23	separate	
12.232	divide	
12.24	open	yetaḳsa
12.25	shut, close	
12.26	cover	c̷epḳayes
12.27	hide, conceal	ḳol
12.31	high	ḳstas
12.32	low	
12.33	top	tˀes
12.34	bottom	xale-ḳstay
12.35	end	tefc̷elas
12.352	pointed	
12.353	edge	
12.36	side	
12.37	middle, center	alese
12.41	right (side)	ḳeyaxan-tereḳ
12.42	left (side)	asan-tereḳ
12.43	near (adv)	ḳwaḳyaḳ
12.44	far (adv)	talaḳ
12.45	east	yetaḳsor
12.46	west	otḳal-aloe
12.47	north	xaḳate
12.48	south	ḳolayeḳ
12.53	grow	fsay-na
12.54	measure	
12.541	span, fathom	
12.55	large, big	erlay
12.56	small, little	yeḳe
12.57	long	ḳstas
12.58	tall	ḳstas
12.59	short	tˀaw
12.61	wide, broad	
12.62	narrow	aḳwos
12.63	thick (in dimension)	yesa
12.65	thin (in dimension)	ḳʰarsḳa
12.67	deep	xale-ḳstay
12.68	shallow	
12.71	flat	
12.73	straight	ḳses
12.74	crooked	
12.75	hook	
12.76	corner	
12.77	cross	ac̷alḳac̷eḳs
12.78	square	ḳsayḳses
12.81	round	ḳoyerxas
12.82	circle	
12.83	sphere, ball	
12.84	line	
12.85	hole	
12.92	like, similar	
12.93	change	
13.0	zero, nothing	ḳyep
13.1	one	taḳ-so
13.2	two	woḳs
13.3	three	woḳs-tow
13.4	four	
13.5	five	
13.6	six	
13.7	seven	
13.8	eight	
13.9	nine	
13.10	ten	
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	
13.105	hundred	
13.106	thousand	
13.107	count	
13.14	every, all	
13.15	much, many	aḳyay
13.16	more	
13.17	little (quantity), few	taḳ-so
13.18	enough	
13.181	some	
13.19	multitude, crowd	
13.21	full	-ḳwal
13.22	empty	ḳapḳʰar
13.23	part, piece	
13.24	half	
13.33	alone, only	tʰaw
13.34	first	of-tereḳ
13.35	last	ḳexataw
13.36	second	
