entry_id	trans_english	Ayoreo_Phonemic
2.251	young man (adolescent)	n̥aka'ri
2.26	girl	dii'si-a
2.261	young woman (adolescent)	gaa'pu-a
2.27	child	diis-a'bi
2.28	infant, baby	diiyo'ki
2.31	husband	a'bay
2.32	wife	ako'te
2.33	marry	'oohi 'gaariʔ
2.34	marriage, wedding	--
2.341	divorce	i'hi-omeʔ
2.35	father	daa-'ye
2.36	mother	daa-'te
2.37	parents	daa'y-odeʔ
2.38	married man	n̥aa'ni
2.39	married woman	ako'te
2.41	son	a'bi
2.42	daughter	a'bi-a
2.43	offspring (son or daughter)	a'bi; a'bi-a
2.44	brother	hõ'ra-i
2.444	older brother	u'yaai
2.445	younger brother	de'saai
2.45	sister	hõ'ra; nee'ro
2.454	older sister	uɲa'ria; ũre'hã
2.455	younger sister	i'naamia
2.456	sibling	hõ'ra-i; hõ'ra
2.458	twins	gara'haa-deʔ
2.46	grandfather	'daaki-deʔ
2.461	old man	čo'ki-n̥ai
2.47	grandmother	da'koo-deʔ
2.471	old woman	gaa'ta
2.48	grandson	'aan̥am-i
2.49	granddaughter	'aan̥am-e
2.51	uncle	daai u'ɲaai
2.511	mother's brother	ira'mai; nira'mai
2.512	father's brother	dakera'mai; dake'raai
2.52	aunt	daa'te u'ɲaa
2.521	mother's sister	daa'teramia; daa'terama
2.522	father's sister	i'n̥oŋama; i'n̥o-gaa'te
2.53	nephew	ap-u'ɲaai
2.54	niece	ap-u'ɲaa
2.55	cousin	hõ'ra-i; hõ'ra
2.56	ancestors	'n̥aani ba'haa-deʔ
2.57	descendants	'ape diisi e'ho-deʔ
2.61	father-in-law (of a man)	e'hoo-i
2.611	father-in-law (of a woman)	e'hoo-i
2.62	mother-in-law (of a man)	e'hoo
2.621	mother-in-law (of a woman)	e'hoo
2.63	son-in-law (of a man)	i'saraai; e'hoo-i
2.631	son-in-law (of a woman)	i'saraai; e'hoo-i
2.64	daughter-in-law (of a man)	daka'ria; e'hoo
2.641	daughter-in-law (of a woman)	daka'ria; e'hoo
2.71	stepfather	daa'ye-be'ɲ̥ui
2.72	stepmother	daa'te i'beɲ̥ua
2.73	stepson	ape ibe'ɲ̥ui
2.74	stepdaughter	ape i'beɲ̥ua
2.75	orphan	diisi-'haadi
2.76	widow	čeek-ee'ka
2.77	widower	n̥a'kare (n̥aa'ni) ee'ka
2.81	relatives, kinsmen	igio's-odeʔ
2.82	family	hoga'sui
2.91	I	yu; uu'yu
2.92	you (singular)	ua
2.93	he/she/it	uu'teʔ; uaa'teʔ
2.94	we	'yokeʔ; uu'yokeʔ
2.941	we (inclusive)	--
2.942	we (exclusive)	--
2.95	you (plural)	'uakeʔ; uak
2.96	they	o'reeʔ
3.11	animal	kučii'sooi
3.12	male (adj)	čo'ki
3.13	female (adj)	čee'ke
3.15	livestock	--
3.16	pasture	n̥aakara'pui
3.18	herdsman	ka'baayu-die irodi-'soorĩ
3.19	stable, stall	ka'baayu-die i'gin̥ai
3.2	cattle (bovine)	ka'baayu-dieʔ
3.21	bull	[ka'baayu]-i
3.22	ox	ka'baayu a'beraai
3.23	cow	ka'baayua; aki'ra
3.24	calf	ka'baay-abi
3.25	sheep	'ayasa-dieʔ
3.26	ram	'ayasa-i
3.28	ewe	'ayasa
3.29	lamb	'ayasa-bi
3.32	boar	ɲaako're-ke'de-n̥a-i
3.34	sow	ɲaako're-ke'de-n̥a
3.35	pig	dosi'peei
3.36	goat	a'ramoro-ke'de-n̥a
3.37	he-goat	a'ramoro-ke'de-n̥a-i
3.38	kid	a'ramoro-ke'de-n̥a-mi
3.41	horse (equine)	[buri]'ka-i
3.42	stallion	buri'ka-i
3.44	mare	burika čee'ke
3.45	foal, colt	burika čo'ka-bi
3.46	ass, donkey	burika ke'de-n̥a
3.47	mule	buri'ka-i
3.5	fowl	kooča'gaa-n̥a
3.52	cock, rooster	kooča'gaa-n̥a-i
3.54	hen	kooča'gaa-n̥a
3.55	chicken	'kooča'gaa-n̥a-mi
3.56	goose	--
3.57	duck	n̥aa'ko-n̥a-i
3.58	nest	i'gin̥aai
3.581	bird	ču'ŋuperẽ
3.582	seagull	--
3.583	heron	
3.584	eagle	
3.585	hawk	
3.586	vulture	ãra'potorĩ
3.591	bat	čaabo'to
3.592	parrot	suaria
3.593	crow	'tamore
3.594	dove	kuuku'huui
3.596	owl	digoro'koi
3.61	dog	tamo'koi
3.614	rabbit	e'dorobee
3.62	cat	kaari-'n̥ai
3.622	opossum	
3.63	mouse, rat	puuku'to
3.65	fish	o'yidi
3.652	fin (dorsal)	o'n̥ai
3.653	fishscale	
3.654	gill	
3.655	shell	ka'ričaai
3.661	shark	--
3.662	porpoise, dolphin	
3.663	whale	--
3.664	stingray	dikaa're
3.665	freshwater eel	neti'ŋori
3.71	wolf	--
3.72	lion	kara'tee
3.73	bear	--
3.74	fox	arapuru'n̥aŋe
3.75	deer	a'ramoro
3.76	monkey	yamee'paai
3.77	elephant	ya'hoge ke'de-n̥ai
3.78	camel	burika ke'de-n̥ai
3.81	insect	
3.811	louse	n̥a'rĩ; n̥are ke'de-n̥ai
3.812	nit (louse egg)	
3.813	flea	'kuča-akaya-'to
3.814	centipede	poo'raai
3.815	scorpion	sua're-čee'ke
3.816	cockroach	
3.817	ant	kaase'kaai
3.818	spider	'heesabe
3.819	spider web	heesa-'bia
3.82	bee	ahi'di
3.821	beeswax	e'nočaai
3.822	beehive	ahi'di; kũ'terĩ
3.823	wasp	
3.83	fly	huu'bi
3.831	sandfly (midge), gnat	huu'ta-bia
3.832	mosquito	'koboto
3.84	worm	uhu'ri
3.85	snake	u'gaai
3.91	firefly	bee'bu-i
3.92	butterfly	kan̥ooi
3.93	grasshopper	čugu'yuga
3.94	snail	'haro
3.95	frog	ni'kore
3.96	lizard	nee'nei
3.97	crocodile, alligator	ã'roko-na ke'de-n̥ai
3.98	turtle	'yokai
4.11	body	gaay; 'uud-odeʔ
4.12	skin, hide	a'ooi
4.13	flesh	a'ooi; a'ragaɲ̥ua
4.14	hair (head)	gaa'terero
4.142	beard	abu'haa-sii
4.144	body hair	o'hoi
4.145	pubic hair	
4.146	dandruff	
4.15	blood	i'yoi
4.151	vein, artery	'ku-kura-y
4.16	bone	an̥okeei
4.162	rib	orotabi'di
4.17	horn	u'ei
4.18	tail	ka'ri
4.19	back	giido'booi
4.191	spine	oo'hi
4.2	head	gaa'toi
4.201	side of head, temple	
4.202	skull	
4.203	brain	ta'rooi
4.204	face	e'do-dieʔ
4.205	forehead	eedahi'di
4.207	jaw	
4.208	cheek	u're
4.209	chin	abu'haa
4.21	eye	e'do
4.212	eyebrow	e'do-gaay
4.213	eyelid	e'do-gaateei
4.214	eyelash	eeda-'bia
4.215	blink	
4.22	ear	a'ŋorone
4.221	earlobe	a'ŋorone
4.222	earwax	
4.23	nose	kõra'čuui
4.231	nostril	ũ'hunaai
4.232	mucus (nasal)	ũkara'ni
4.24	mouth	pin̥a'ni
4.241	beak	pã'tarãai
4.25	lip	pin̥a'naai
4.26	tongue	a'reei
4.27	tooth	pã'tarãai
4.271	gums	
4.272	molartooth	ũri'aõi
4.28	neck	eeta'bi
4.281	nape of neck	eeta'bi-di
4.29	throat	puusu'guui
4.3	shoulder	orota'de
4.301	shoulderblade	nara'ne
4.302	collarbone	
4.31	arm	m̥a'nero; m̥a'nekaai
4.312	armpit	u'raya
4.32	elbow	uka'do
4.321	wrist	m̥a'ne gaata'de
4.33	hand	m̥a'naay
4.331	palm of hand	m̥anaay ã'haro
4.34	finger	m̥a'ne
4.342	thumb	m̥a'ne-naa'te
4.344	fingernail	'uusugurui
4.345	claw	'uusugurui
4.35	leg	oota'di
4.351	thigh	e'tarudi
4.352	calf of leg	oota'd-abi
4.36	knee	kaata'de
4.37	foot	'giidaai
4.371	ankle	'giidogoro
4.372	heel	uha'tase
4.374	footprint	a'ro
4.38	toe	gii'de
4.392	wing	u'n̥ooi
4.393	feather	ãra'ma
4.4	chest	'arobe
4.41	breast (of woman)	i'n̥a
4.412	nipple, teat	i'n̥a pin̥a'ni
4.42	udder	
4.43	navel	o'do
4.44	heart	i'yo-bie
4.441	lung	pu'n̥ui
4.45	liver	abi'to
4.451	kidney	ipira'guua
4.452	spleen	agu'te
4.46	stomach	a'hee-i
4.461	intestines, guts	u'čaai
4.462	waist	i'ra; pipa'heei
4.463	hip	'oogoro
4.464	buttocks	ča'kii
4.47	womb	i'ka
4.49	testicle	
4.492	penis	gapu'di
4.51	breathe, breath	uɲ̥a'ri
4.52	yawn, gape	itiboo'ha?
4.521	hiccough	'segei
4.53	cough	oo yura'heeʔ
4.54	sneeze	oo ha'tiseʔ
4.55	perspire	oo 'm̥ara 'm̥ara
4.56	spit	ũ'tira-haʔ
4.57	vomit	'ipogaai
4.58	bite	i'gaaseʔ
4.59	lick	i'peseʔ
4.591	dribble	čoo čiri'rik
4.61	sleep	i'moʔ
4.612	snore	oo yũkara'toodeʔ
4.62	dream	ĩĩ'karã
4.63	wake up	oo ku'yuk; iri'hiʔ
4.64	break wind	
4.65	urinate	'ereʔ
4.66	defecate	u'čiʔ
4.67	have sexual intercourse	a'muna; u'muna
4.68	shiver	ĩtara'rãʔ
4.69	bathe	u'ruu
4.71	beget (of father)	i'peesu ya'bi
4.72	born (to be)	i'baaseʔ
4.73	pregnant	i'ka 'deehi a'heei
4.732	conceive	
4.74	live, living, life	ee'kai; ue'kai
4.75	die, dead	tooi
4.751	drowned	
4.76	kill	u'heeʔ
4.77	corpse	tooi; too'ge
4.78	bury (the dead)	i'hoo'ča-meʔ
4.79	grave, tomb	du'k-oode
4.81	strong, mighty, powerful	ee'toi
4.82	weak	taayaa-'gom̥a-i
4.83	well, health	a'rei; a're-ge
4.84	sick, sickness	een̥aa'retããi
4.841	fever	aheei no'taniŋai
4.842	goiter	poto'goro
4.843	cold (catarrh)	duk-ura'hee
4.85	wound, sore	u'goro; an̥a'ŋooi
4.852	bruise	i'harooʔ
4.853	swelling	geen̥aa-ri'ŋai
4.854	itch	do'riteʔ
4.855	blister	ua'rane
4.856	boil (noun)	duko'si
4.857	pus	u'roo-neʔ
4.858	scar	'kučaa imani-'pidi
4.86	cure, heal	ike'taʔ
4.87	physician	dai-'n̥ai
4.88	medicine, drug	bisi-'di
4.89	poison	bisi-'di
4.91	tired, weary	hu're
4.912	rest	'akari-ŋeei
4.92	lazy	ĩtora'ra-haʔ
4.93	bald	gaa'tod-iiča-i
4.94	lame	ta'to-i; ta'to-ge
4.95	deaf	aŋoniŋi-te 'pari
4.96	mute	isooraa-'ŋom̥ai
4.97	blind	e'do-pari; e'do-pare
4.98	intoxicated	yoo-te-pii'oi yuu-i
4.99	naked, bare	čo'ki; čo'ki-a
5.11	eat	a'gu; 'akeʔ
5.12	food	poo's-odeʔ
5.121	cooked	u'ɲui; u'ɲua
5.122	raw	u'ɲeŋamee-i
5.123	ripe	ka'ŋuraa-i; ka'ŋuraa
5.124	green, unripe	u'po-i; u'po
5.125	rotten	tara'taa-i; tara'taa-ge
5.13	drink	'oohiʔ
5.14	hunger	čagu'ei
5.141	famine	čagu'e-daate-i
5.15	thirst	u'ya-di; uuya'ga
5.16	suck	u'kuʔ
5.18	chew	agu; akeʔ
5.181	swallow	i'nireʔ
5.19	choke	čoo 'm̥uŋa
5.21	cook	ãa'reʔ
5.22	boil (vb)	da'hateʔ
5.23	roast, fry	ãra'hureʔ; ĩra'hureʔ
5.24	bake	ye'ho-meʔ
5.25	oven	--
5.26	pot, cooking vessel	pĩra'kã
5.27	kettle	pĩra'kã
5.28	pan	--
5.31	dish	aga'pii; geedo'si
5.32	plate	aga'pii; geedo'si
5.33	bowl	aga'pii; geedo'si
5.34	pitcher, jug	koo
5.35	cup, drinking vessel	'hopii-'di; 'hopii-'de
5.36	saucer	agapii'a-bi
5.37	spoon	ka'tibeei
5.38	knife	kee'seei
5.39	fork	--
5.391	tongs	'kučaa pa'tarãai
5.41	meal (a)	--
5.42	breakfast	--
5.43	lunch	--
5.44	dinner	--
5.45	supper	--
5.46	peel	u'ɲ̥uuke-gaay
5.47	sieve, strain	in̥i'ŋeɲomeei
5.48	scrape	a'hoʔ
5.49	stir, mix	imee'ra; imee'sa
5.51	bread	aru'eei
5.53	dough	--
5.54	knead	iho'kaase aru'eei
5.55	meal, flour	u'ru-i
5.56	crush, grind	i'harooʔ
5.57	mill	--
5.58	mortar	uguu'ta-di
5.59	pestle	ãra'ŋe
5.61	meat	a'ragaɲ̥ua
5.63	sausage	--
5.64	soup, broth	ota-'di
5.65	vegetables	--
5.66	bean	ku'gee-i
5.7	potato	--
5.71	fruit	aa
5.712	bunch	u'buu-i; apa'ga-di
5.75	fig	--
5.76	grape	--
5.77	nut	a'ɲ̥ua
5.78	olive	--
5.79	oil	'kučaa aa iri'si
5.791	grease, fat	ii; 'kučaa 'ii-odeʔ
5.81	salt	e'čo-i
5.82	pepper	
5.821	chili pepper	'n̥uui
5.84	honey	kũ'terĩ
5.85	sugar	[a'sukar]
5.86	milk (noun)	iri'si
5.87	milk (vb)	--
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	ota-'di
5.91	mead	ku'ter-ota'di
5.92	wine	--
5.93	beer	--
5.94	fermented drink	yoote-pii'oi
5.97	egg	kũ'reei
5.971	egg yolk	'sarẽ
6.11	put on (clothes)	i'giʔ
6.12	clothing, clothes	bo'raa; bo'raai-dieʔ
6.13	tailor	ugaa-'soorĩ; 'ŋoori-'to
6.21	cloth	bo'raa
6.22	wool	--
6.23	linen, flax	--
6.24	cotton	n̥a'tua
6.25	silk	--
6.27	felt	--
6.28	fur	kučaa-'ooi
6.29	leather	--
6.31	spin	u'kareʔ
6.32	spindle	--
6.33	weave	i'oʔ; i'o-haʔ
6.34	loom	--
6.35	sew	u'gaaʔ
6.36	needle	oo'n̥aai
6.37	awl	
6.38	thread	n̥a'tua
6.39	dye	a'kaʔ
6.41	cloak	--
6.411	poncho	ka'duua a'ooi
6.42	woman's dress	igi'de
6.43	coat	--
6.44	shirt	igi'de
6.45	collar	eetabi
6.46	skirt	ori-'di
6.461	grass-skirt	--
6.48	trousers	e'tarute-pi'e-dieʔ
6.49	stocking, sock	gii'daay-pie
6.51	shoe	'giidaai; uči'e-di
6.52	boot	--
6.54	shoemaker, cobbler	--
6.55	hat, cap	gaa'tohee
6.57	belt, girdle	igaru'bi
6.58	glove	'm̥ane-pie
6.59	veil	--
6.61	pocket	ue-peei
6.62	button	para'tase
6.63	pin	--
6.71	ornament, adornment	--
6.72	jewel	--
6.73	ring (for finger)	'm̥ane-pie
6.74	bracelet	--
6.75	necklace	u'huni; u'n̥a-peei
6.76	bead	'araguu-a
6.77	earring	--
6.78	headband, headdress	'kobia; a'yoi
6.79	tattoo	--
6.81	handkerchief, rag	ũkara'n-oneʔ e'ra-soorĩ
6.82	towel	--
6.91	comb	poo'peei
6.92	brush	--
6.921	braid	--
6.93	razor	--
6.94	ointment	bisi-'di
6.95	soap	bo'raai-dieʔ e'ra-soorĩ
6.96	mirror	ahiikara-'ni
7.11	dwell, live	ikee'kaʔ
7.12	house	i'gi-n̥aai
7.13	hut	
7.131	garden-house	--
7.14	tent	
7.15	yard, court	pie
7.16	men's house	--
7.17	cookhouse	--
7.18	meeting house	--
7.21	room	hoga-'di
7.22	door, gate	pia'goi
7.221	doorpost, jamb	
7.23	lock (noun)	--
7.231	latch, door-bolt	--
7.24	key	
7.25	window	gi'gi-n̥aai edo
7.26	floor	n̥u'mi
7.27	wall	doosa-'di; gi'gi-n̥aai
7.31	fireplace	n̥upu-'yu-riŋeei
7.32	stove	ike'taai
7.33	chimney	uyu'n̥a-nie gãra-'ne
7.37	ladder	a'n̥a-pie
7.42	bed	mo'čaa-pii
7.421	pillow	uguuta-'de
7.422	blanket	pe'peei
7.43	chair	čaari-'pii
7.44	table	aga-'pii
7.45	lamp, torch	aa'posi
7.46	candle	--
7.47	shelf	--
7.48	trough	
7.51	roof	gi'gin̥aai 'ooho
7.52	thatch	
7.53	ridgepole	
7.54	rafter	
7.55	beam	
7.56	post, pole	ku'ta-di
7.57	board	['tabla]
7.58	arch	'dok-oohi
7.61	mason	--
7.62	brick	--
7.63	mortar	--
7.64	adobe	--
8.11	farmer	gee-'n̥aai ahoo-'ŋoori
8.12	field (for cultivation)	ko'raka-bia
8.13	garden	--
8.15	cultivate, till	iča'gu n̥u'mi
8.16	fence	
8.17	ditch	tui-'n̥ai
8.21	plow	--
8.212	furrow	--
8.22	dig	i'hoočaʔ
8.23	spade	
8.24	shovel	kora'ŋaraai
8.25	hoe	--
8.26	fork	--
8.27	rake	--
8.31	sow	a'kaʔ
8.311	seed	a'ɲ̥u-a
8.32	mow, reap	'iirãa
8.33	sickle, scythe	a'ramui
8.34	thresh	inaa'suʔ
8.35	threshing-floor	--
8.41	crop, harvest	ĩi'raai; ii'raaŋe
8.42	grain (barley, oats etc)	e'do
8.43	wheat	n̥aaka'raai
8.44	barley	--
8.45	rye	--
8.46	oats	--
8.47	maize, corn	edo ee'toi; edo ua'ha-di
8.48	rice	[arose]
8.51	grass	n̥aaka'raai
8.52	hay	n̥aaka'raai
8.53	plant (noun)	a'kaa-i; a'ka
8.531	plant (vb)	a'kaʔ
8.54	root	ta'posi
8.55	branch	m̥a'nekaai
8.56	leaf	poor-ãaka'raai
8.57	flower	a'sige
8.6	tree	poo'ri-a; poo'ri
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	ere'n̥a toto'toi
8.68	tobacco	si-'di
8.69	smoke (tobacco)	
8.691	pipe	boi-'n̥aai
8.72	tree stump	
8.73	tree trunk	e'ro
8.74	forked branch	u'haai
8.75	bark	poor-a'ooi
8.76	sap	iri'si; poo'ria iri'si
8.81	palm tree	pi'kaadei
8.82	coconut	--
8.83	citrus fruit	--
8.84	banana tree	'unoro-ke'den̥a
8.85	banyan	--
8.91	sweet potato	
8.912	yam	--
8.92	tapioca, manioc, cassava	pe'heei
8.93	gourd	
8.931	pumpkin, squash	pu'ruua
8.94	bamboo	i'gooi
8.941	sugar cane	'geen̥a-ke'de-n̥ai
8.96	fish poison (root)	ere-'n̥ai bisi-'di
8.97	nettle	
8.98	mushroom	puu
9.11	do, make	i'peesu
9.12	work	i'saa ye'ho-deʔ
9.14	bend	ipo'kasu
9.15	fold	ipo'kasu
9.16	tie, bind	iga'ru
9.161	untie	ee'ɲ̥uʔ
9.18	chain	'enuei oo'n̥ai; 'enuei oo'n̥a-neʔ
9.19	rope, cord	'enuei; ča'ge-n̥ai
9.192	knot (noun)	u'goro; apara'ne
9.21	strike (hit, beat)	u'heeʔ
9.211	pound with fist	i'ŋira; u'heeʔ
9.22	cut	akesuʔ
9.221	cut down	ake'su aha n̥u'mi
9.222	chop, hew	i'n̥o-ŋaay
9.223	stab	
9.23	knife	kee'seei
9.24	scissors, shears	kee'see nu'ŋar-am-oneʔ
9.25	ax	ahi'neree; ge'bee'kahi'de
9.251	adze	
9.26	break	i'beroʔ
9.261	broken	ibe'rooi; i'bero
9.27	split	a'hukeʔ; ĩpoo'čereʔ
9.28	tear	aan̥iŋa'raseʔ; aan̥aŋa'raseʔ
9.29	flay, skin	u'ɲ̥uuke-gaay
9.31	rub, wipe	ipori'gaseʔ
9.32	stretch	aayo 'udi
9.33	pull	i'meereʔ
9.34	spread out	ii'ŋireʔ
9.341	hang up	'eeŋa-meʔ
9.342	press	a'rose-gaay
9.343	squeeze, wring	ido'ta; ĩ'rie
9.35	pour	'oon̥eʔ
9.36	wash	u'ruu
9.37	sweep	ari'getaʔ; a'hoʔ
9.38	broom	aho-'soorĩ; aho-'to
9.422	tool	e'ra-soorĩ; e'ra-to
9.43	carpenter	
9.44	build	i'peesu
9.46	bore	uu'saga-haʔ
9.461	hollow out	aro'sa-ha gaay
9.48	saw	
9.49	hammer	
9.5	nail	oon̥aa'kero
9.56	glue	'kučaakẽei
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	ge'beeke naaŋana-'taai
9.65	silver	['plata]-die a'honĩŋai
9.66	copper, bronze	
9.67	iron	ge'beei
9.68	lead (noun)	
9.69	tin, tinplate	ge'beekaooi
9.71	potter	'daač-ora-'soorĩ
9.72	mold (clay etc)	
9.73	clay	pora'gadi; daača'beei
9.74	glass	a'hiikarani; 'araɲ̥ua
9.75	weave, plait	i'oʔ; i'o-haʔ
9.76	basket	'enuei gii'pee
9.77	mat	
9.771	rug	--
9.78	netbag	
9.79	fan (noun)	pee'ye
9.791	fan (vb)	u'buču
9.81	carve	
9.82	sculptor	--
9.83	statue	
9.84	chisel	i'n̥oosi
9.88	paint (noun)	ee'so; kuru'de poo'ria aa
9.89	paint (vb)	ũ'rusãre i'gin̥aai
10.11	move	i'hooseʔ
10.12	turn over	umu'časeʔ
10.13	turn around	aa'n̥iʔ; aa'n̥i-hiʔ
10.14	wind, wrap	iga'ru-gaay
10.15	roll	ipo'kasu
10.16	drop (vb)	i'baaseʔ
10.17	twist	i'meereʔ
10.21	rise	iri'hĩʔ
10.22	raise, lift	iriŋareʔ; oo're-i gaa'tee
10.23	fall	ĩi'koorãʔ
10.24	drip	doo'tiʔ; čoo'čiri'rik; čoo tes tes
10.25	throw	a'tareʔ; ati'ŋaareʔ
10.252	catch (ball)	i'saaʔ
10.26	shake	ĩtara'rã; oo ta ta ta ta
10.32	flow	čaa'yoʔ
10.33	sink	
10.34	float	
10.35	swim	i'hi tutu'ne
10.351	dive	
10.352	splash	u'm̥ute-gaay
10.36	sail (vb)	
10.37	fly (vb)	ii'yoʔ
10.38	blow	u'buču
10.41	creep, crawl	oo ɲ̥a
10.412	kneel	
10.413	crouch	
10.42	slide, slip	ikaru'n̥a-hiʔ; oo ka'ru-hiʔ
10.43	jump, leap	ãa'čerẽʔ; i'gačoo-hiʔ
10.431	kick	uu'čieʔ; uuči'e-n̥aʔ
10.44	dance	ĩ'račũʔ
10.45	walk	ĩi'rikeʔ; i'ka-iʔ; i'ka-hiʔ
10.451	limp	
10.46	run	aa'yoʔ
10.47	go	i'hi
10.471	go up	i'ka-hiʔ
10.472	climb	ee'ru; oo'ru
10.473	go down	iramu'raaseʔ
10.474	go out	i'ka-hi gee'si
10.48	come	i'bagi
10.481	come back	aa'n̥i; aa'n̥i-hiʔ
10.49	go away, depart	i'hi
10.491	disappear	ibin̥aʔ; i'n̥aŋi
10.51	flee	aa'yoʔ; aa'yo-meʔ
10.52	follow	a'n̥aʔ
10.53	pursue	i'hokaraa-meʔ
10.55	reach, arrive	'iiseʔ; i'saaseʔ
10.56	approach	ĩi'roreʔ
10.57	enter	aa'ka-haʔ
10.61	carry (bear)	i'n̥oŋ-ahaʔ
10.612	carry-in-hand	ii'n̥a
10.613	carry-on-shoulder	i'n̥okeʔ
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	ihi
10.63	send	i'rokeʔ
10.64	lead (vb)	oo're-hiʔ; i'hina
10.65	drive	iho'kaaseʔ
10.66	ride	ĩiri'gi-hi [buri]kai
10.67	push, shove	uku'aseʔ; uru'guseʔ
10.71	road	da'here
10.72	path	gaa'bi; pii'hooi
10.74	bridge	ira'miɲaha-riŋeei
10.75	carriage, wagon, cart	ge'beeke-daa'tei
10.76	wheel	du'guua
10.77	axle	
10.78	yoke	
10.81	ship	kuu'ko-keruui
10.83	boat	kuu'koi
10.831	canoe	kuu'koi
10.832	outrigger	
10.84	raft	
10.85	oar	kuu'koi ihora'ŋai
10.851	paddle (noun)	orota'de
10.852	row (vb)	iho'kaase kuu'koi (?)
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	kuu'koi isaa'ŋurui
10.91	harbor, port	yoote ke'de-n̥a oo'koro
10.92	land (vb)	uu'saga-haʔ
11.11	have	'kuuseʔ
11.12	own, possess	aa'čia
11.13	take	i'saaʔ; aa'pus-ahaʔ
11.14	seize, grasp	aa'sera
11.15	hold	i'saaʔ
11.16	get, obtain	giiya'soorĩ; giiya-'ŋoori
11.17	keep, retain	i'roteʔ; ã'rakeʔ
11.18	thing	'kučaa
11.21	give	ii'siʔ; ii'si-omeʔ
11.22	give back	a'tireʔ
11.24	preserve, look after	i'm̥ar-ahaʔ; a'ɲuru gi'o
11.25	save, rescue	ike'taʔ
11.27	destroy	so'kar-omeʔ; uku'aseʔ
11.28	harm, injure, damage	či'gokarikeʔ
11.31	seek, look for	uku'e
11.32	find	'iiseʔ
11.33	lose	i'n̥aŋi; ibi'n̥aʔ
11.34	release, let go	ii'o-gaay; 'irãa
11.43	money	['plata]-dieʔ
11.44	coin	['plata]
11.51	rich	u'guča-rãai; u'guča-rẽe
11.52	poor	maata-i; maata-'ge; m̥aa'ta-i
11.53	beggar	u'tai-soorĩ; u'tai-ŋoori
11.54	avaricious, stingy	ipotiga'ke-daate-sõo'ri
11.61	lend	'õora omei'n̥oose karu'bi
11.62	borrow	oo i'n̥oose karu'bi-hiʔ
11.63	owe	oo i'n̥oose karu'bi-hiʔ
11.64	debt	i'n̥oose karu'bi; apa'rei; apa're
11.65	pay (vb)	oo oo're
11.66	account, reckoning	a'hiire gaa'n̥ee-nieʔ
