entry_id	trans_english	Nung-Fengshan_Phonemic
4.281	nape of neck	hɨk.5
4.29	throat	mik.5
4.3	shoulder	la.3 ha:ŋ.2
4.301	shoulderblade	ta.1
4.302	collarbone	pɨn.1 šau.2
4.31	arm	naŋ.1 ta.1
4.312	armpit	pɨn.1 ta.1
4.32	elbow	ʔjap.5 ta.1; ta.1 ʔjap.5
4.321	wrist	lɨa.2
4.33	hand	tuaŋ.6 lɨa.2
4.331	palm of hand	hai.4 lɨa.2
4.34	finger	ʔdaŋ.1
4.342	thumb	šo:ŋ.6 ʔdaŋ.1
4.344	fingernail	mɛ.2
4.345	claw	pa:k.5
4.35	leg	pa:k.5 lɔk.2
4.351	thigh	naŋ.1 pa:k.5
4.352	calf of leg	lin.4
4.36	knee	leu.3
4.37	foot	ŋa.4 ša:ŋ.4; hɨk.5 lɛu.3
4.371	ankle	leu.3 va:i.2
4.372	heel	ʔjiɛu.1
4.374	footprint	ʔdɔn.4
4.38	toe	ho.2
4.392	wing	ʔba.6
4.393	feather	ʔdok.6 ʔba.5
4.4	chest	ʔdok.6 pa:n.4 šie.4
4.41	breast (of woman)	cian.1
4.412	nipple, teat	la.3 ʔi.6
4.42	udder	cian.1 šiɛk.6
4.43	navel	cian.1 kɔn.6
4.44	heart	fɨŋ.2
4.441	lung	va.5 fɨŋ.2
4.45	liver	ńiaŋ.6 fɨŋ.2
4.451	kidney	ńiaŋ.6 me.6
4.452	spleen	lit.2 fɨŋ.2
4.46	stomach	lit.2
4.461	intestines, guts	ka.1
4.462	waist	ka.1 la:u.4
4.463	hip	ka.1 pi.1
4.464	buttocks	cau.3 ho.5
4.47	womb	tin.1
4.49	testicle	ta.1 pou.1
4.492	penis	ʔden.6 ceu.3
4.51	breathe, breath	lwi.2
4.52	yawn, gape	ńiaŋ.6 tin.1
4.521	hiccough	fɨat.6
4.53	cough	pɨn.1
4.54	sneeze	ʔak.5
4.55	perspire	nu.5
4.56	spit	kan.5 nu.5
4.57	vomit	poŋ.5 ʔdɨa.1
4.58	bite	sam.1
4.59	lick	pɨt.5
4.591	dribble	tap.5
4.61	sleep	ja:u.1
4.612	snore	ma:m.4
4.62	dream	ʔbi.1
4.63	wake up	tuŋ.4
4.64	break wind	tuŋ.4
4.65	urinate	sai.3
4.66	defecate	hɨat.5
4.67	have sexual intercourse	ta:i.4
4.68	shiver	ta:i.4
4.69	bathe	šo:ŋ.6 pjoŋ.2; šo:ŋ.6 hai.4
4.71	beget (of father)	lo:k.6
4.72	born (to be)	lam.1
4.73	pregnant	vai.2
4.732	conceive	šiet.6
4.74	live, living, life	tian.1 šɨ.1
4.75	die, dead	swa:u.1 lum.2
4.751	drowned	sa.2 ʔɨak.2
4.76	kill	ʔai.1
4.77	corpse	ʔat.5 šoi.1
4.78	bury (the dead)	tau.3 ha:n.6
4.79	grave, tomb	na:i.2
4.81	strong, mighty, powerful	pi.5 na:i.2
4.82	weak	ʔɔk.2; ŋou.5
4.83	well, health	hap.2
4.84	sick, sickness	ʔjiɛt.6 lin.4
4.841	fever	lia.2
4.842	goiter	na:i.2 juak.6
4.843	cold (catarrh)	nin.2
4.85	wound, sore	nin.2 cɛn.1
4.852	bruise	pan.2 hɨn.2
4.853	swelling	lo.4 ńin.6
4.854	itch	ńin.6
4.855	blister	ʔok.6 lɔk.5
4.856	boil (noun)	ńu.6
4.857	pus	ʔok.6 hai.4
4.858	scar	tuŋ.4 si.3; tuŋ.4 ʔɛt.2
4.86	cure, heal	sɛŋ.̀; šɛn.5; se.3
4.87	physician	ʔa:p.6
4.88	medicine, drug	šiɛŋ.4
4.89	poison	mi.2; se:ŋ.1
4.91	tired, weary	mi.2; se:ŋ.1
4.912	rest	fa:n.2
4.92	lazy	mi.2 lɨk.2
4.93	bald	li.4
4.94	lame	ta:i.1
4.95	deaf	ta:i.1 lam.4
4.96	mute	ka.3
4.97	blind	ʔda:ŋ.1
4.98	intoxicated	mɔk.5; ham.1
4.99	naked, bare	ti.6; mo.6
5.11	eat	mi.2 le:ŋ.2; ʔdaŋ.6
5.12	food	ʔbau.6 mi.2 le:ŋ.2; sɛn.1
5.121	cooked	kan.3; ʔdi.1
5.122	raw	na:i.5; pan.2 piŋ.6
5.123	ripe	pan.2 ʔda:t.6
5.124	green, unripe	pan.2 ʔa:i.1
5.125	rotten	fat.5 šeŋ.4
5.13	drink	tuŋ.4 ciet.5 pja:i.3; hai.4 lɔ.6
5.14	hunger	pa:k.5 ša:ŋ.1
5.141	famine	fo:t.6; kɨ.6
5.15	thirst	kɨ.6
5.16	suck	kɨ.6; hum.2
5.18	chew	po:p.5
5.181	swallow	pai.2
5.19	choke	no:ŋ.1
5.21	cook	pjiau.3
5.22	boil (vb)	ʔjia.1 ʔdi.1
5.23	roast, fry	pu.4 ʔjia.1
5.24	bake	ʔjia.1
5.25	oven	ʔjia.1
5.26	pot, cooking vessel	šo.5 ʔjia.1
5.27	kettle	na:i.5; ʔa:n.4
5.28	pan	je:t.5
5.31	dish	cik.5
5.32	plate	cau.3 ʔdo.6
5.33	bowl	ka.1 kwɛ.2; ka.1 ʔdɛŋ.4
5.34	pitcher, jug	nuk.5
5.35	cup, drinking vessel	ŋɔm.6
5.36	saucer	me'n.2
5.37	spoon	lau.3 fi.2
5.38	knife	ʔda:ŋ.1 pjoi.1
5.39	fork	kɨn.1
5.391	tongs	kai.5 kɨn.1
5.41	meal (a)	šuk.2
5.42	breakfast	ʔdip.5
5.43	lunch	pan.2
5.44	dinner	heu.1
5.45	supper	nau.6
5.46	peel	ʔdɔt.5; sut.2
5.47	sieve, strain	ʔjiak.6
5.48	scrape	pan.2 ʔjiak.6
5.49	stir, mix	ho.2 hɨ.5
5.51	bread	ʔdɔt.5; šup.5
5.53	dough	ńa:i.3
5.54	knead	cua:n.2; ʔdun.4
5.55	meal, flour	ka.2; ce:n.6
5.56	crush, grind	luŋ.1; šɨ.3
5.57	mill	tum.5
5.58	mortar	ša:u.3
5.59	pestle	sa:.2
5.61	meat	sau.5
5.63	sausage	ša:u.5; ko:m.5
5.64	soup, broth	mo.3
5.65	vegetables	ša:u.5
5.66	bean	toi.4; pa:n.2
5.7	potato	pa:n.2
5.71	fruit	toi.4
5.712	bunch	mo.3
5.75	fig	šɛn.3
5.76	grape	šɛn.3 ta.1 va:i.2
5.77	nut	siɛk.6
5.78	olive	ša.4
5.79	oil	ńak.2
5.791	grease, fat	cim.2
5.81	salt	ton.5 hau.4
5.82	pepper	hau.4 ŋa:i.2
5.821	chili pepper	hau.4 liŋ.2
5.84	honey	hau.4 šau.2
5.85	sugar	hau.4 šau.2
5.86	milk (noun)	sɔk.5
5.87	milk (vb)	laŋ.2
5.88	cheese	ho:t.5
5.89	butter	ʔdwa:u.1
5.9	beverage, drink	ʔba.1
5.91	mead	ʔba.1 ʔdip.5
5.92	wine	van.3 ʔba.1
5.93	beer	mian.6 ʔba.1
5.94	fermented drink	ʔdɨaŋ.6
5.97	egg	nian.5
5.971	egg yolk	vi.5
6.11	put on (clothes)	nian.5
6.12	clothing, clothes	lum.1
6.13	tailor	sa:k.5
6.21	cloth	no.6
6.22	wool	po:ŋ.5
6.23	linen, flax	ta:ŋ.1
6.24	cotton	pjak.5
6.25	silk	ŋua:ŋ.6
6.27	felt	ho.1
6.28	fur	lɨk.2 ma:n.6
6.29	leather	lɨk.2 la.2
6.31	spin	hiŋ.1
6.32	spindle	tiɛŋ.1
6.33	weave	lɨk.2 kɨa.2
6.34	loom	sɨ.2; ma:n.1
6.35	sew	ma:k.5
6.36	needle	loi.4
6.37	awl	lɨk.2 ʔit.5
6.38	thread	lɨk.2 lip.2
6.39	dye	ju.2
6.41	cloak	ju.2 vak.5
6.411	poncho	(no.6) pi.2
6.42	woman's dress	(no.6) šiŋ.1
6.43	coat	cua.1
6.44	shirt	hɔ.2 šiau.1
6.45	collar	hɔ.2 šiau.1 ma:n.6
6.46	skirt	tɨaŋ.2 loi.1
6.461	grass-skirt	tɨaŋ.2
6.48	trousers	nu.5
6.49	stocking, sock	šɛn.3 (nu.5)
6.51	shoe	lau.3 ša.2
6.52	boot	lau.3 va:n.1
6.54	shoemaker, cobbler	lau.3 ʔa:i.1
6.55	hat, cap	cai.5
6.57	belt, girdle	cai he:n.3
6.58	glove	tɛn.3
6.59	veil	pɨa.6
6.61	pocket	ša:i.2
6.62	button	paŋ.2
6.63	pin	laŋ.5
6.71	ornament, adornment	ʔda:i.4
6.72	jewel	va:i.5
6.73	ring (for finger)	šu.2
6.74	bracelet	pɨn.1
6.75	necklace	naŋ.1; pɨn.1
6.76	bead	(ha:i.2) naŋ.1
6.77	earring	ta.2 va:i.5
6.78	headband, headdress	šoŋ.2 swa.3
6.79	tattoo	tam.3 lok.5
6.81	handkerchief, rag	šoŋ.2 lok.5
6.82	towel	ńip.2
6.91	comb	ci:m.1
6.92	brush	ŋui.4
6.921	braid	mai.1
6.93	razor	lo:m.3
6.94	ointment	ńaŋ.3 ńai.1
6.95	soap	ńa:ŋ.3 ńai.1
6.96	mirror	vin.3
7.11	dwell, live	pɨa.6
7.12	house	pɨa.6
7.13	hut	lin.5 pɨa.6
7.131	garden-house	vin.3
7.14	tent	va.5
7.15	yard, court	ma:t.6
7.16	men's house	ha:i.2
7.17	cookhouse	ha:i.2
7.18	meeting house	ma:n.6
7.21	room	sa:i.1 va.5
7.22	door, gate	šou.5 ta:u.3; ma:t.6 fɨŋ.2
7.221	doorpost, jamb	kan.1
7.23	lock (noun)	tai.6
7.231	latch, door-bolt	ti.5 kat.5
7.24	key	ka:i šuaŋ.1 ʔda:ŋ.1
7.25	window	kɔn.6 fɨŋ.2
7.26	floor	kɔn.6 ho.2
7.27	wall	hoi.3 lɨa.2
7.31	fireplace	kan.1
7.32	stove	ve.6 ʔda:ŋ.1
7.33	chimney	kan.1
7.37	ladder	kan.1 səi.5 na.3
7.42	bed	loi.1
7.421	pillow	loi.1
7.422	blanket	ša:t.5
7.43	chair	pɨa.2
7.44	table	tai.5
7.45	lamp, torch	ʔdaŋ.6
7.46	candle	ciaŋ.5
7.47	shelf	ʔju.6
7.48	trough	la:n.2
7.51	roof	la:n.2 tɔn.2
7.52	thatch	la:n.2 tɛŋ.2
7.53	ridgepole	ta:n.2 tɔn.2
7.54	rafter	luaŋ.5
7.55	beam	hi.2 tou.6
7.56	post, pole	luk.2; ho:ŋ.5
7.57	board	tu.1
7.58	arch	to:ŋ.6 tu.1
7.61	mason	sɨa.3
7.62	brick	co:n.1
7.63	mortar	ja:k.6 šiɛ.2
7.64	adobe	tu.1 ta:ŋ.5
8.11	farmer	na:m.6
8.12	field (for cultivation)	šiaŋ.2
8.13	garden	šiaŋ.2 fi.2; hi.2 tau.6
8.15	cultivate, till	sau.5
8.16	fence	ʔbak.2 lai.1
8.17	ditch	ʔbon.6; šuaŋ.2
8.21	plow	cau.3 soi.2
8.212	furrow	šiɛŋ.́
8.22	dig	taŋ.5
8.23	spade	šo:ŋ.2
8.24	shovel	taŋ.1
8.25	hoe	la:p.5 šuk.5
8.26	fork	liŋ.3
8.27	rake	ša:u.2
8.31	sow	nɛŋ.2 la:n.2
8.311	seed	fo:ŋ.2 la:n.2
8.32	mow, reap	ha.2
8.33	sickle, scythe	pe.1 va:ŋ.1
8.34	thresh	pe.1
8.35	threshing-floor	pe.1 ca:ŋ.1
8.41	crop, harvest	sa:гю4; to:ŋ.6
8.42	grain (barley, oats etc)	pe:n.6
8.43	wheat	kɔŋ.5; kɔŋ.3
8.44	barley	ša:ŋ.6 hin.1
8.45	rye	sien.1
8.46	oats	nai.2
8.47	maize, corn	sien.1 ʔdip.5
8.48	rice	pu.4 kuak.6 na.2
8.51	grass	na.2
8.52	hay	li.6
8.53	plant (noun)	sɨak.1 pjak.5; sɨan.1
8.531	plant (vb)	šuai.1
8.54	root	hum.4; lie.6
8.55	branch	hɨ.2 lam.4
8.56	leaf	šuai.1 (na.2)
8.57	flower	hɨ.2 šuai.1
8.6	tree	pa:k.6; hut.2
8.61	oak	fa:k.6 ša:n.5
8.62	beech	ša:n.5
8.63	birch	kuak.5
8.64	pine	fa:k.6 ńak.2
8.65	fir	lwa:u.5
8.66	acorn	ʔdam.6; lɔŋ.2 hɔn.1
8.67	vine	hɔn.1
8.68	tobacco	kwɛ.3; ta:n.1
8.69	smoke (tobacco)	liam.2
8.691	pipe	ta.3 hau.4
8.72	tree stump	luaŋ.5 ta.3 hau.4
8.73	tree trunk	miao.2
8.74	forked branch	hau.4
8.75	bark	hau.4 mian.6
8.76	sap	hau.4 mian.6
8.81	palm tree	hau.4 mian.6 fon.4
8.82	coconut	hau.4 moŋ.6
8.83	citrus fruit	hau.4 tai.5
8.84	banana tree	hau.4 luŋ.1
8.85	banyan	hau.4 ha:u.1
8.91	sweet potato	hau.4 sa:n.1; ca.3
8.912	yam	lam.2
8.92	tapioca, manioc, cassava	fɨaŋ.2
8.93	gourd	hau.4 vɨaŋ.3
8.931	pumpkin, squash	ńa.1
8.94	bamboo	fɨaŋ.2 lo.2
8.941	sugar cane	ko.1 ʔdam.1
8.96	fish poison (root)	ʔdam.1
8.97	nettle	sɛn.3
8.98	mushroom	kɔn.5; kɔk.5
9.11	do, make	ńiaŋ.5; ci.5
9.12	work	ʔbaɨ.1
9.14	bend	sɔp.2; šaŋ.5
9.15	fold	va.1
9.16	tie, bind	fai.4
9.161	untie	fai.4 cie.1 / pak.6
9.18	chain	fai.4 cie.1
9.19	rope, cord	fai.4 ša.4 mu.4
9.192	knot (noun)	kau.1
9.21	strike (hit, beat)	ʔjian.1
9.211	pound with fist	kɨn.1 ʔjian.1; ʔjian.1 sa:i.5
9.22	cut	ʔbaŋ.6 ʔjian.1
9.221	cut down	sai.3 kai.5
9.222	chop, hew	kɔn.5 fai.4
9.223	stab	ko.1 fai.4
9.23	knife	ŋa.5 fai.4
9.24	scissors, shears	naŋ.1 fai.4
9.25	ax	jaŋ.1 fai.4
9.251	adze	ma:k.5 ka:m.1
9.26	break	ko.1 coi.3
9.261	broken	coi.3
9.27	split	fai.4 jam.2 juŋ.2
9.28	tear	mu.4 kua.1
9.29	flay, skin	ma:k.5 li.2 sa:n.1
9.31	rub, wipe	mu.4 mian.4
9.32	stretch	lɨk.2 sɨ.2
9.33	pull	mɔ.4 ji.3
9.34	spread out	pɨak.5
9.341	hang up	mu.4 ši.4
9.342	press	lɨk.2 ʔbu.4
9.343	squeeze, wring	kwa.1
9.35	pour	kou.1
9.36	wash	la:ŋ.2
9.37	sweep	fai.4 ʔdɔk.5; fai.4 fa:i.2; fai.4 lie.6
9.38	broom	ʔoi.4
9.422	tool	ʔbɨa.1 (pja.1)
9.43	carpenter	pja:k.5
9.44	build	lɛt.5
9.46	bore	kuak.6
9.461	hollow out	kuak.6 hoŋ.1
9.48	saw	ko.2
9.49	hammer	tɔp.2
9.5	nail	hɨat.6; šuk.2
9.56	glue	ce.3
9.6	smith, blacksmith	lian.6
9.61	forge	ša:k.6
9.62	anvil	ho:t.5
9.63	cast (metals)	tup.2; ʔbɔŋ.4
9.64	gold	tup.2
9.65	silver	kat.5; lam.3; fan.2; kwɛ.3
9.66	copper, bronze	lam.3; fan.2
9.67	iron	lam.3 kɔn.5
9.68	lead (noun)	šaŋ.5
9.69	tin, tinplate	ša.4
9.71	potter	ciɛu.2
9.72	mold (clay etc)	va:n.1
9.73	clay	pɨan.1
9.74	glass	ʔeu.4
9.75	weave, plait	te:k.5
9.76	basket	pa.5
9.77	mat	sik.5
9.771	rug	pok.5 naŋ.1
9.78	netbag	lup.2; cu.2
9.79	fan (noun)	ʔbɨat.6
9.791	fan (vb)	ʔjiet.6
9.81	carve	la:k.6; šua:u.6
9.82	sculptor	la:k.6 ʔok.6; šwa:u.6 ʔok.6
9.83	statue	ʔbe.1
9.84	chisel	ve:n.1
9.88	paint (noun)	na:m.6
9.89	paint (vb)	nɛn.4
10.11	move	ʔdiŋ.6
10.12	turn over	səi.5
10.13	turn around	pat.5
10.14	wind, wrap	ńu.2
10.15	roll	fa:k.6 tɨ.2
10.16	drop (vb)	ša:ŋ.6 fai.4
10.17	twist	ʔjo.1 (la:n.2)
10.21	rise	ʔbo:ŋ.6
10.22	raise, lift	kwi.5; hut.2
10.23	fall	kɨ.5
10.24	drip	ta:i.4 pa:ŋ.6
10.25	throw	tɛ:ŋ.1
10.252	catch (ball)	ca:u.6 šui.5
10.26	shake	ša:ŋ.6 fa.2
