entry_id	trans_english	Chipaya_Phonemic
5.48	scrape	ixkš; šixl-
5.49	stir, mix	tʰaran-š; tˀax̣s
5.51	bread	tˀanta
5.53	dough	
5.54	knead	
5.55	meal, flour	xakˀu
5.56	crush, grind	x̣al-š; x̣awun-š
5.57	mill	
5.58	mortar	takira
5.59	pestle	tʰaax; txʷaax
5.61	meat	čʰišwi
5.63	sausage	
5.64	soup, broth	xiɲa
5.65	vegetables	
5.66	bean	
5.7	potato	ḳiša
5.71	fruit	
5.712	bunch	
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	
5.791	grease, fat	kʰewa
5.81	salt	yaku
5.82	pepper	
5.821	chili pepper	
5.84	honey	miskˀi
5.85	sugar	
5.86	milk (noun)	[liči]
5.87	milk (vb)	čˀuus
5.88	cheese	
5.89	butter	
5.9	beverage, drink	
5.91	mead	
5.92	wine	
5.93	beer	
5.94	fermented drink	keši
5.97	egg	šiɲi
5.971	egg yolk	
6.11	put on (clothes)	kuxtš; tʰut-š
6.12	clothing, clothes	škiti
6.13	tailor	
6.21	cloth	
6.22	wool	čoma
6.23	linen, flax	
6.24	cotton	
6.25	silk	--
6.27	felt	
6.28	fur	čara
6.29	leather	šḳiši
6.31	spin	spaxt-; ḳawan-š
6.32	spindle	tʰeri
6.33	weave	wats
6.34	loom	
6.35	sew	tˀirč̣a
6.36	needle	ḳola
6.37	awl	
6.38	thread	ḳawɲi
6.39	dye	
6.41	cloak	irš
6.411	poncho	
6.42	woman's dress	uxrku
6.43	coat	
6.44	shirt	alʸmilʸa
6.45	collar	
6.46	skirt	
6.461	grass-skirt	--
6.48	trousers	[kalšuna]
6.49	stocking, sock	parkatu
6.51	shoe	č̣ʰata
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	skara
6.57	belt, girdle	c̷ʰayi
6.58	glove	
6.59	veil	
6.61	pocket	
6.62	button	
6.63	pin	pirantura; pʰur-
6.71	ornament, adornment	kic̷
6.72	jewel	
6.73	ring (for finger)	
6.74	bracelet	
6.75	necklace	x̣orkiṣ̌a
6.76	bead	
6.77	earring	
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	čˀoklu
6.82	towel	
6.91	comb	ḳara; kosɲi
6.92	brush	
6.921	braid	kʰiš
6.93	razor	
6.94	ointment	kʰewa
6.95	soap	
6.96	mirror	
7.11	dwell, live	
7.12	house	ḳʰuya
7.13	hut	
7.131	garden-house	
7.14	tent	
7.15	yard, court	
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	axks ḳʰuya
7.21	room	
7.22	door, gate	čaxʷkš; šana
7.221	doorpost, jamb	
7.23	lock (noun)	čawxc̷-š
7.231	latch, door-bolt	
7.24	key	
7.25	window	
7.26	floor	
7.27	wall	
7.31	fireplace	wixt
7.32	stove	
7.33	chimney	
7.37	ladder	
7.42	bed	axpš
7.421	pillow	aš
7.422	blanket	čʰinš-ḳiši; apxu
7.43	chair	
7.44	table	[miša]
7.45	lamp, torch	
7.46	candle	[sira]
7.47	shelf	
7.48	trough	
7.51	roof	pʰit
7.52	thatch	čoxša
7.53	ridgepole	pʰurna
7.54	rafter	
7.55	beam	
7.56	post, pole	tuɲi
7.57	board	
7.58	arch	
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	[atupi]; lxaxspa
8.11	farmer	
8.12	field (for cultivation)	šḳala
8.13	garden	
8.15	cultivate, till	
8.16	fence	
8.17	ditch	kˀolta
8.21	plow	takiša
8.212	furrow	
8.22	dig	xʷetš; ḳulxš
8.23	spade	
8.24	shovel	
8.25	hoe	astuna
8.26	fork	
8.27	rake	
8.31	sow	
8.311	seed	
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	ax̣-š
8.42	grain (barley, oats etc)	karanu
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	tara
8.48	rice	
8.51	grass	sarḳi; toyi
8.52	hay	pʰit
8.53	plant (noun)	
8.531	plant (vb)	čʰixš; č̣ʰakš
8.54	root	šepˀa; lxomi
8.55	branch	
8.56	leaf	čʰaɲi; šika
8.57	flower	pʰaxḳalʸa
8.6	tree	munti
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	
8.68	tobacco	
8.69	smoke (tobacco)	
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	
8.74	forked branch	palka
8.75	bark	čʰax̣pi
