entry_id	trans_english	Elamite_Phonemic
4.751	drowned	
4.76	kill	
4.77	corpse	
4.78	bury (the dead)	
4.79	grave, tomb	
4.81	strong, mighty, powerful	AchE ib-ba(?)-ak; šilha-: NE šil-ha-h; OE ši-il-ha-ak; OE ši-il(?)-me
4.82	weak	AchE iš-tuk-ra
4.83	well, health	
4.84	sick, sickness	
4.841	fever	
4.842	goiter	
4.843	cold (catarrh)	
4.85	wound, sore	
4.852	bruise	AchE ha-pi
4.853	swelling	
4.854	itch	
4.855	blister	
4.856	boil (noun)	
4.857	pus	
4.858	scar	
4.86	cure, heal	ME si-it-ti, si-it-me
4.87	physician	
4.88	medicine, drug	AchE qa(?)-pu(?)-ur
4.89	poison	
4.91	tired, weary	
4.912	rest	
4.92	lazy	
4.93	bald	
4.94	lame	
4.95	deaf	
4.96	mute	
4.97	blind	
4.98	intoxicated	
4.99	naked, bare	
5.11	eat	
5.12	food	AchE ab-be-be
5.121	cooked	
5.122	raw	
5.123	ripe	
5.124	green, unripe	
5.125	rotten	
5.13	drink	
5.14	hunger	
5.141	famine	
5.15	thirst	
5.16	suck	
5.18	chew	
5.181	swallow	
5.19	choke	
5.21	cook	
5.22	boil (vb)	
5.23	roast, fry	kura-: ME ku-ra-at; OE, ME ku-ra-ak
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	
5.27	kettle	
5.28	pan	
5.31	dish	
5.32	plate	
5.33	bowl	
5.34	pitcher, jug	piti: NE pi-ti
5.35	cup, drinking vessel	
5.36	saucer	
5.37	spoon	NE ki-mal-tam
5.38	knife	ME du-šu-um-ya; NE du-ši-um, du-ši-um-ir-ra
5.39	fork	
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	
5.47	sieve, strain	
5.48	scrape	
5.49	stir, mix	
5.51	bread	ME ši-ip-ru-um; AchE ši-ip-ri-um
5.53	dough	
5.54	knead	
5.55	meal, flour	NE e-ul; AchE u-ma-ma
5.56	crush, grind	
5.57	mill	
5.58	mortar	
5.59	pestle	
5.61	meat	
5.63	sausage	
5.64	soup, broth	
5.65	vegetables	
5.66	bean	
5.7	potato	
5.71	fruit	hurpi: ME hu-ur-pi; AchE zib-ba
5.712	bunch	
5.75	fig	AchE pi-ut-(-ti)
5.76	grape	AchE šá-ap-pan-na; šap(-pi)
5.77	nut	
5.78	olive	
5.79	oil	appi: AchE ap-pi
5.791	grease, fat	abba: OE ab-ba
5.81	salt	anzi: AchE an-zí
5.82	pepper	
5.821	chili pepper	
5.84	honey	AchE hal (?)-la (?)-ki
5.85	sugar	
5.86	milk (noun)	AchE sir-na
5.87	milk (vb)	
5.88	cheese	NE, AchE pa
5.89	butter	
5.9	beverage, drink	
5.91	mead	
5.92	wine	
5.93	beer	
5.94	fermented drink	AchE an-na-in
5.97	egg	
5.971	egg yolk	
6.11	put on (clothes)	
6.12	clothing, clothes	
6.13	tailor	NE šá-h-ši-ik-ra
6.21	cloth	NE tam-ši-um; AchE ik-tin
6.22	wool	NE tuk-ki-me; tuk-na; NE im-na
6.23	linen, flax	zali: AchE za-li
6.24	cotton	NE qa-li-tam
6.25	silk	
6.27	felt	NE da-bar-ri-um
6.28	fur	
6.29	leather	NE šá-ir-šá-at-ti
6.31	spin	
6.32	spindle	
6.33	weave	kurza-: NE kur-za-iš; kur-za-qa
6.34	loom	
6.35	sew	
6.36	needle	
6.37	awl	
6.38	thread	
6.39	dye	
6.41	cloak	NE uk-ku-(h-)la-ki
6.411	poncho	
6.42	woman's dress	
6.43	coat	NE hu-el-ip
6.44	shirt	
6.45	collar	
6.46	skirt	
6.461	grass-skirt	
6.48	trousers	
6.49	stocking, sock	
6.51	shoe	NE ha-šá-ir
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	NE uk-ku.ba-ti
6.57	belt, girdle	
6.58	glove	NE kur-ip
6.59	veil	
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	ME qa-ar-ra-h, qa-ar-ra-ha
6.72	jewel	
6.73	ring (for finger)	NE šà-mi; ME si-mi-it-tum
6.74	bracelet	
6.75	necklace	
6.76	bead	
6.77	earring	
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	ME ah-hu-um; NE a-h-hu-im
6.92	brush	
6.921	braid	
6.93	razor	
6.94	ointment	hasu: NE, AchE ha-su-ip; ME mi-ir-ri-h
6.95	soap	
6.96	mirror	ME šu-(ú-)ha; OE šu-ha.zi-la
7.11	dwell, live	
7.12	house	NE a-a-in, a-hi-in, ha-a-in; ME a-i-in; a-a-ni
7.13	hut	
7.131	garden-house	
7.14	tent	
7.15	yard, court	ME tu-uš; ulhi: NE ul-hi; AchE ul-hi
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	ME, NE, AchE hu-el; ME, NE hi-el; ME el; AchE e-el; AchE e-ul; NE ú-el; ME lu-gu-ú
7.221	doorpost, jamb	ME hal-ti, ha-al-te-te
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	NE ku-un-nir
7.26	floor	
