entry_id	trans_english	Tuyuca_Phonemic
3.811	louse	'kia-wɨ̃; 'kia
3.812	nit (louse egg)	'kia-diye-ri
3.813	flea	dõkẽã-'wɨ̃; dõkẽ'ã
3.814	centipede	bũ'dĩ
3.815	scorpion	ku'tiapa
3.816	cockroach	kasi'awɨ̃; kasi'a
3.817	ant	pe'ta; bẽ'kã
3.818	spider	bɨ'pɨ
3.819	spider web	bɨ'pɨ-wa
3.82	bee	bũ'bĩã-wɨ̃; bũ'bĩã
3.821	beeswax	bũ'bĩã-kɨta
3.822	beehive	bũ'bĩã-tuti
3.823	wasp	utia'wɨ̃; uti'a
3.83	fly	wĩ'yã pa'ka-ra
3.831	sandfly (midge), gnat	wĩyã'wɨ̃; wĩ'yã
3.832	mosquito	bɨ̃'tẽãwɨ̃; bɨ̃'tẽã
3.84	worm	ãũã'wɨ̃; ãũ'ã
3.85	snake	ã'yã
3.91	firefly	kee'ro
3.92	butterfly	bõ'bõrõ
3.93	grasshopper	ye'sero
3.94	snail	sɨ̃'ɨ̃
3.95	frog	õ'bãã
3.96	lizard	yua'sõ
3.97	crocodile, alligator	ɨ'so
3.98	turtle	'kuu
4.11	body	õ'pɨ̃ɨ̃
4.12	skin, hide	kase-'ro
4.13	flesh	dii-'ro
4.14	hair (head)	'poa
4.142	beard	ɨ'se-poa
4.144	body hair	'poa
4.145	pubic hair	'poa
4.146	dandruff	du'pu-wati
4.15	blood	'dii
4.151	vein, artery	'waa-da
4.16	bone	kõ'ã
4.162	rib	wa'ru
4.17	horn	kape'sa-ro
4.18	tail	pĩ'kõõ
4.19	back	suku'bi-ro
4.191	spine	suku'pĩdã-kõã
4.2	head	du'pu
4.201	side of head, temple	
4.202	skull	du'pua-koro
4.203	brain	ka'i
4.204	face	dia'poa
4.205	forehead	
4.207	jaw	ɨ'se-wɨ
4.208	cheek	waso'pu-ro
4.209	chin	ɨ'se-wɨ
4.21	eye	ka'pea
4.212	eyebrow	kape-'wẽ-rĩ
4.213	eyelid	ka'pea-suti-ro
4.214	eyelash	ka'pe-poa
4.215	blink	bi'bita
4.22	ear	kãbõ'pe-ro
4.221	earlobe	kãbõ'pe-ro pɨ'ɨto
4.222	earwax	
4.23	nose	ẽ'kẽã
4.231	nostril	ẽkẽ-ko'pe
4.232	mucus (nasal)	ẽ'yõ
4.24	mouth	ɨ'se-ro
4.241	beak	ẽ'kẽã
4.25	lip	ɨ'se-ro-beto
4.26	tongue	yẽ'bẽ-rõ
4.27	tooth	u'pi
4.271	gums	u'pi-kũbũ
4.272	molartooth	u'pi
4.28	neck	wãbɨ̃dɨ̃'kõ
4.281	nape of neck	wãbɨ̃dɨ̃'kõ
4.29	throat	wãbɨ̃-ko'pe
4.3	shoulder	ã'kõ-rõ
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	wã'bõ
4.312	armpit	'keeroka
4.32	elbow	wã'bõ-kobea
4.321	wrist	
4.33	hand	wã'bõ-pãbã
4.331	palm of hand	wã'bõ-kuti-ro
4.34	finger	wãbõ-'sũã
4.342	thumb	pai-'ri-ga
4.344	fingernail	wãbõ-'se-ro
4.345	claw	wãbõ-'se-ro
4.35	leg	yĩ'kã
4.351	thigh	ɨse-be'to
4.352	calf of leg	yĩ'kã-di-ga
4.36	knee	yĩ'kã-kobea
4.37	foot	dɨ'po
4.371	ankle	ã'yã-kobea
4.372	heel	dɨpo'sia
4.374	footprint	dɨ'po
4.38	toe	dɨpo'sũã
4.392	wing	'wɨɨ-ro; 'kee-dɨpɨ
4.393	feather	'poa
4.4	chest	ku'ti-ro
4.41	breast (of woman)	õ'pẽã
4.412	nipple, teat	õ'pẽã-yãkõ
4.42	udder	õ'pẽã
4.43	navel	sũ'bũã-pe-ro
4.44	heart	ye'e-ri-pũdã
4.441	lung	bɨ'kɨ-yẽbẽ-diti
4.45	liver	yẽbẽ-di'ti
4.451	kidney	
4.452	spleen	
4.46	stomach	'paaga
4.461	intestines, guts	kɨta-bĩ'sĩ
4.462	waist	
4.463	hip	'siiga
4.464	buttocks	'siiga
4.47	womb	wĩ'bɨ̃ sãyã-'ri-suti-ro
4.49	testicle	wa'pe-ri-butu
4.492	penis	se'yua
4.51	breathe, breath	ye'e-ri-sã
4.52	yawn, gape	yari'bi
4.521	hiccough	yoo-'gɨ
4.53	cough	sa'ti
4.54	sneeze	ãsĩ'ã
4.55	perspire	aso'ti
4.56	spit	eo-; ɨse'ko
4.57	vomit	ɨ'soti
4.58	bite	ba'ka
4.59	lick	dẽ'dĩ
4.591	dribble	ta'bi
4.61	sleep	kã'dĩ
4.612	snore	ũ'dĩ
4.62	dream	kẽ'ẽ
4.63	wake up	wã'kã
4.64	break wind	a'i
4.65	urinate	kõ'dẽ
4.66	defecate	kɨ̃'dã
4.67	have sexual intercourse	a'pape
4.68	shiver	yã'põpĩ
4.69	bathe	ku'sa
4.71	beget (of father)	põdã-kɨ'ti
4.72	born (to be)	bau'a
4.73	pregnant	dĩĩ-pa'ko
4.732	conceive	dĩĩ-pa'ko dĩ'ĩ-dɨ̃kã
4.74	live, living, life	dĩ'ĩ
4.75	die, dead	di'a
4.751	drowned	du'a
4.76	kill	sĩ'ã
4.77	corpse	di'a-ri-gɨ
4.78	bury (the dead)	ya'a
4.79	grave, tomb	bã'sã-kope
4.81	strong, mighty, powerful	tu'tua
4.82	weak	tu'tu-e
4.83	well, health	di'a-re-bãdĩ
4.84	sick, sickness	dia-'re
4.841	fever	wio-'re
4.842	goiter	
4.843	cold (catarrh)	ẽ'yõ
4.85	wound, sore	kã'bĩ-rõ
4.852	bruise	yĩbĩ're
4.853	swelling	bipi-'re
4.854	itch	wãkĩ-'re
4.855	blister	'puu-woroa-re
4.856	boil (noun)	bipi-'ri-ga
4.857	pus	bũsũ-'rĩ
4.858	scar	kã'bĩ-rõ dĩ'ĩ-ri-ro
4.86	cure, heal	dẽ'tõ
4.87	physician	ɨ'ko-ti-gɨ
4.88	medicine, drug	ɨ'ko
4.89	poison	dĩ'bã
4.91	tired, weary	'paasɨti
4.912	rest	ye'e-ri-sã
4.92	lazy	da'de
4.93	bald	du'pu-watea
4.94	lame	-yuriro
4.95	deaf	tɨo-'e-gɨ
4.96	mute	we'dese-e-gɨ
4.97	blind	ĩ'yã-ẽ-gɨ̃
4.98	intoxicated	kũbũ-'gɨ̃
4.99	naked, bare	suti-bã'dĩ-gɨ̃
5.11	eat	ya'a
5.12	food	yaa-'re
5.121	cooked	doa-'re
5.122	raw	kati-'re
5.123	ripe	buti-'re
5.124	green, unripe	sɨ̃bẽ-'re
5.125	rotten	'boa
5.13	drink	sĩ'dĩ
5.14	hunger	hɨa'boa
5.141	famine	hɨa'boa-re
5.15	thirst	'wɨo
5.16	suck	ũ'pũ
5.18	chew	ya'ge
5.181	swallow	'uyu
5.19	choke	hu'udũrĩã
5.21	cook	do'a
5.22	boil (vb)	wɨ'ga
5.23	roast, fry	kããrĩ'õ
5.24	bake	--
5.25	oven	--
5.26	pot, cooking vessel	dii-'rɨ
5.27	kettle	kõbẽ-'rɨ
5.28	pan	so'tɨ-kɨ-rɨ
5.31	dish	ba'pa
5.32	plate	-sida
5.33	bowl	ba'pa
5.34	pitcher, jug	so'tɨ
5.35	cup, drinking vessel	ba'pa
5.36	saucer	ba'pa
5.37	spoon	[ku'sara]
5.38	knife	wide-'ri-pĩ
5.39	fork	--
5.391	tongs	dɨpo-'yẽ-re
5.41	meal (a)	yaa-'re
5.42	breakfast	ya'a-wãkã-re
5.43	lunch	soto'a-yaa-re
5.44	dinner	--
5.45	supper	--
5.46	peel	pã'dẽ
5.47	sieve, strain	yɨɨ'se
5.48	scrape	wɨ'a
5.49	stir, mix	'wɨo
5.51	bread	'wɨabe
5.53	dough	--
5.54	knead	--
5.55	meal, flour	po'ka
5.56	crush, grind	do'ka
5.57	mill	wãyĩã-'rõ
5.58	mortar	doka-'ri-ga
5.59	pestle	doka-'ri-gɨ
5.61	meat	dii-'ro
5.63	sausage	--
5.64	soup, broth	'waikɨ-oko
5.65	vegetables	o'te-dɨka
5.66	bean	[pi'rihori]
5.7	potato	--
5.71	fruit	dɨ'ka
5.712	bunch	-tõ
5.75	fig	--
5.76	grape	ɨ'se
5.77	nut	
5.78	olive	--
5.79	oil	ɨ'se
5.791	grease, fat	ɨ'se
5.81	salt	'bõã
5.82	pepper	--
5.821	chili pepper	'bia
5.84	honey	bũ'bĩã-oko
5.85	sugar	kã'dɨ̃-weta
5.86	milk (noun)	õpẽ-'ko
5.87	milk (vb)	bi'pe
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	sĩdĩ-'re
5.91	mead	--
5.92	wine	--
5.93	beer	peyu'ru
5.94	fermented drink	peyu'ru
5.97	egg	di'ye
5.971	egg yolk	
6.11	put on (clothes)	sã'yã
6.12	clothing, clothes	su'ti
6.13	tailor	--
6.21	cloth	suti-ro-'pĩ
6.22	wool	--
6.23	linen, flax	--
6.24	cotton	bu'sa
6.25	silk	--
6.27	felt	--
6.28	fur	'poa
6.29	leather	kase-'ro
6.31	spin	hõ'ẽ
6.32	spindle	--
6.33	weave	su'a
6.34	loom	'paa-tu-ro
6.35	sew	he'e
6.36	needle	a'wi
6.37	awl	--
6.38	thread	yu'ta
6.39	dye	yĩĩbĩ-'õ
6.41	cloak	--
6.411	poncho	--
6.42	woman's dress	suti-'ro
6.43	coat	--
6.44	shirt	[ka'bĩsa]
6.45	collar	--
6.46	skirt	['saya]
6.461	grass-skirt	--
6.48	trousers	[si'rura]
6.49	stocking, sock	--
6.51	shoe	[sa'patu]
6.52	boot	[sa'patu]
6.54	shoemaker, cobbler	--
6.55	hat, cap	[sa'pea]
6.57	belt, girdle	[situ'rũ-da]
6.58	glove	--
6.59	veil	--
6.61	pocket	suti-'po
6.62	button	[bũ'tũ-pe]
6.63	pin	--
6.71	ornament, adornment	bã'bõ-rẽ
6.72	jewel	--
6.73	ring (for finger)	wãbõ-'sã-ri-beto
6.74	bracelet	--
6.75	necklace	bɨ'sa-ri-da
6.76	bead	yã'kẽ
6.77	earring	kãbõ'pero yosa-'re
6.78	headband, headdress	pesa-'re
6.79	tattoo	--
6.81	handkerchief, rag	--
6.82	towel	--
6.91	comb	ki'i-ro
6.92	brush	--
6.921	braid	'poa-yãpõ
6.93	razor	ɨ'sepoa pede-'re
6.94	ointment	
6.95	soap	[sa'bo]
6.96	mirror	ẽyõ-'rõ
7.11	dwell, live	dĩ'ĩ
7.12	house	wi'i
7.13	hut	kãdĩ-'ri-wi
7.131	garden-house	wii-'pĩ
7.14	tent	--
7.15	yard, court	--
7.16	men's house	--
7.17	cookhouse	[kũũ'sĩã]
