entry_id	trans_english	Persian_Phonemic
4.86	cure, heal	dærmɑn
4.87	physician	[tæbib]; pezešk
4.88	medicine, drug	daru; [dævɑ]
4.89	poison	zæhr; [sæmm]
4.91	tired, weary	xæste; mɑnde
4.912	rest	ɑsudæn/ ɑsɑ-
4.92	lazy	tæmbæl
4.93	bald	kæl
4.94	lame	læng; šæl
4.95	deaf	kær
4.96	mute	gong
4.97	blind	kur
4.98	intoxicated	mæst
4.99	naked, bare	bæræhne
5.11	eat	xordæn
5.12	food	xorɑk; [qæzɑ]
5.121	cooked	poxte
5.122	raw	xɑm
5.123	ripe	poxte; ræside
5.124	green, unripe	xɑm
5.125	rotten	puside
5.13	drink	xordæn; nušidæn; ɑšɑmidæn
5.14	hunger	gorosnegi
5.141	famine	
5.15	thirst	tešnegi
5.16	suck	mækidæn
5.18	chew	xɑʔidæn
5.181	swallow	[bɑlʔidæn]
5.19	choke	xæfe-šodæn
5.21	cook	poxtæn
5.22	boil (vb)	ǰušidæn
5.23	roast, fry	sorx-kærdæn; beryɑn-k
5.24	bake	poxtæn
5.25	oven	tænur
5.26	pot, cooking vessel	dig
5.27	kettle	ketri
5.28	pan	
5.31	dish	[zærf]
5.32	plate	pošqɑb ~ bošqɑb
5.33	bowl	kɑse
5.34	pitcher, jug	kuze
5.35	cup, drinking vessel	fenǰɑn; piyɑle
5.36	saucer	
5.37	spoon	[qɑšoq]
5.38	knife	kɑrd
5.39	fork	čængɑl
5.391	tongs	æmbor
5.41	meal (a)	
5.42	breakfast	[sobh]ɑne; čɑšt
5.43	lunch	[nɑhɑr]
5.44	dinner	šɑm
5.45	supper	
5.46	peel	
5.47	sieve, strain	ælæk; bixtæn/ biz-
5.48	scrape	tærɑšidæn
5.49	stir, mix	ɑmixtæn/ ɑmiz-; ængixtæn/ ængiz-
5.51	bread	nɑn
5.53	dough	xæmir
5.54	knead	
5.55	meal, flour	ɑrd
5.56	crush, grind	sɑʔidæn
5.57	mill	ɑsiyɑ ~ ɑsiyɑb
5.58	mortar	hɑvæn
5.59	pestle	
5.61	meat	gušt
5.63	sausage	
5.64	soup, broth	ɑbgušt
5.65	vegetables	næbɑti
5.66	bean	bɑqelɑ; lubiyɑ
5.7	potato	sib-zæmini
5.71	fruit	mive
5.712	bunch	xuše
5.75	fig	ænǰir
5.76	grape	ængur
5.77	nut	gerdu; čɑrmæqz
5.78	olive	zeytun
5.79	oil	rowqæn; [næft]
5.791	grease, fat	
5.81	salt	næmæk
5.82	pepper	felfel
5.821	chili pepper	
5.84	honey	[æsæl]
5.85	sugar	šekær
5.86	milk (noun)	šir
5.87	milk (vb)	dušidæn
5.88	cheese	pænir
5.89	butter	kære
5.9	beverage, drink	nušidæni
5.91	mead	
5.92	wine	šærɑb
5.93	beer	ɑbe-ǰów
5.94	fermented drink	
5.97	egg	toxm-e-morq
5.971	egg yolk	zærde(-ye-toxme-morq)
6.11	put on (clothes)	lebɑs-pušidæn
6.12	clothing, clothes	[lebɑs]; ǰɑme
6.13	tailor	[xæyyɑt]; dærzi
6.21	cloth	pɑrče
6.22	wool	pæšm
6.23	linen, flax	kættɑn
6.24	cotton	pæmbe; pæxtæ
6.25	silk	æbrišom
6.27	felt	næmæd
6.28	fur	xæz
6.29	leather	čærm
6.31	spin	rištæn; reštæn/ ris-
6.32	spindle	duk
6.33	weave	bɑftæn
6.34	loom	dæstgɑhe-næssɑǰi
6.35	sew	duxtæn/ duz-
6.36	needle	suzæn
6.37	awl	mil
6.38	thread	næx
6.39	dye	ræng-kærdæn
6.41	cloak	[æbɑ]
6.411	poncho	
6.42	woman's dress	[lebɑs]
6.43	coat	nimtæne; kot
6.44	shirt	pirahæn ~ piræhæn
6.45	collar	[yæxe ~ yæqe]
6.46	skirt	dɑmæn
6.461	grass-skirt	
6.48	trousers	šælvɑr
6.49	stocking, sock	[ǰurɑb]
6.51	shoe	kæfš
6.52	boot	[čækme]; muze
6.54	shoemaker, cobbler	kæffɑš
6.55	hat, cap	kolɑh
6.57	belt, girdle	kæmær-bænd
6.58	glove	dæstkæš
6.59	veil	heǰɑb
6.61	pocket	ǰib
6.62	button	dogme
6.63	pin	sænǰɑq
6.71	ornament, adornment	ɑrɑyeš
6.72	jewel	ǰowhær
6.73	ring (for finger)	ængoštær
6.74	bracelet	dæst-bænd
6.75	necklace	gærdæn-bænd
6.76	bead	mohre
6.77	earring	gušvɑre
6.78	headband, headdress	deyhim
6.79	tattoo	
6.81	handkerchief, rag	dæstmɑl
6.82	towel	howle
6.91	comb	šɑne
6.92	brush	
6.921	braid	
6.93	razor	tiq
6.94	ointment	[mærhæm]
6.95	soap	sɑbun
6.96	mirror	ɑʔine
7.11	dwell, live	[sokunæt]kærdæn
7.12	house	xɑne; [mænzel]
7.13	hut	kolbe
7.131	garden-house	
7.14	tent	čɑdor; [xeyme]
7.15	yard, court	[hæyɑt]; særɑy
7.16	men's house	
7.17	cookhouse	ɑšpæz-xɑne
7.18	meeting house	
7.21	room	[otɑq]
7.22	door, gate	dær; dærvɑze
7.221	doorpost, jamb	
7.23	lock (noun)	[qofl]
7.231	latch, door-bolt	čeft
7.24	key	kelid
7.25	window	pænǰære; rowzæne; tireza
7.26	floor	zæmin
7.27	wall	divɑr
7.31	fireplace	[oǰɑq]
7.32	stove	boxɑri
7.33	chimney	dudkæš
7.37	ladder	nærdæbɑn
7.42	bed	tæxte-xɑb
7.421	pillow	
7.422	blanket	pætu
7.43	chair	sændæli
7.44	table	miz
7.45	lamp, torch	čerɑq
7.46	candle	[šæmʔ]
7.47	shelf	ræf
7.48	trough	
7.51	roof	bɑm
7.52	thatch	
7.53	ridgepole	
7.54	rafter	
7.55	beam	tir; bɑtɑr
7.56	post, pole	mile; tir
7.57	board	tæxt
7.58	arch	tɑq; tɑqče eyvɑn
7.61	mason	[bænnɑ]
7.62	brick	xešt
7.63	mortar	
7.64	adobe	gel
8.11	farmer	dehqɑn
8.12	field (for cultivation)	kešt-zɑr
8.13	garden	bɑq
8.15	cultivate, till	[zerɑʔæt]-kærdæn; keštæn/ kɑr-
8.16	fence	
8.17	ditch	gudɑl
8.21	plow	gɑv-ɑhæn
8.212	furrow	šiyɑr
8.22	dig	kændæn
8.23	spade	bil
8.24	shovel	bil
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	keštæn kar-
8.311	seed	dɑne
8.32	mow, reap	derow-kærdæn
8.33	sickle, scythe	dɑs
8.34	thresh	kubidæn
8.35	threshing-floor	xærmæn-gæli
