entry_id	trans_english	Chorote_Phonemic
4.26	tongue	-kax ~ -kyax (f.)
4.27	tooth	-afʷeʔ ~ -efʷeʔ (f.)
4.271	gums	-asan ~ -esan (f.)
4.272	molartooth	-kyalomkiʔ ~ -c̷yalomkiʔ (f.)
4.28	neck	-sapaʔ
4.281	nape of neck	-xetekxixut (m.)
4.29	throat	-wotyowe; -sapa-kiʔ
4.3	shoulder	-lewe ~ -liwe
4.301	shoulderblade	-kyalexnateʔ ~ -syalexnateʔ
4.302	collarbone	waayimpe (m.)
4.31	arm	-fʷopoʔ ~ -xyopoʔ (f.)
4.312	armpit	-fʷopo-kiʔ ~ -xyopo-kiʔ (m.)
4.32	elbow	-katokiʔ ~ -kyatokiʔ (f.)
4.321	wrist	-kyoy-xiwolkakiʔ
4.33	hand	-kyoy ~ -syoy (f.)
4.331	palm of hand	-kyoy-tʔot
4.34	finger	-yesikiʔ (f.)
4.342	thumb	-yesiki-wu
4.344	fingernail	-yesiki-pot
4.345	claw	fʷiki-pot
4.35	leg	-akyoxna ~ -ekyoxna
4.351	thigh	-akyoxna ~ -ekyoxna
4.352	calf of leg	-kaxsan (f.)
4.36	knee	-kosletikiʔ ~ -kyusletikiʔ
4.37	foot	-kalaʔ ~ -kyala (m.)
4.371	ankle	-woxolan ~ -yoxolan (m.)
4.372	heel	-poʔkyo ~ -pyokyoʔ (m.)
4.374	footprint	-kaye (f.)
4.38	toe	-fʷikiʔ (f.)
4.392	wing	-fʷes (f.)
4.393	feather	-woleʔ
4.4	chest	-ot (f.)
4.41	breast (of woman)	tˀ-ateʔ ~ -eteʔ
4.412	nipple, teat	tˀ-ateʔ ~ -eteʔ (f.)
4.42	udder	tˀ-ate
4.43	navel	-lox ~ -lyox (f.)
4.44	heart	-oxtaleʔ (f.)
4.441	lung	-yelxiwetiki (f.)
4.45	liver	-kaxlek ~ -kyaxlek (m.)
4.451	kidney	-kyentiyeʔ ~ -syentiyeʔ (f.)
4.452	spleen	-sipat
4.46	stomach	-akxiwet
4.461	intestines, guts	-kaxsiliʔ ~ -kyaxsiliʔ (m.)
4.462	waist	-kʔyokiʔ
4.463	hip	-akyonates ~ -ekyonates (f.)
4.464	buttocks	-we-kyaloʔ ~ -wi-kyaloʔ
4.47	womb	-towexe ~ -tyowexe
4.49	testicle	-kemiʔ
4.492	penis	-ok
4.51	breathe, breath	-yelixiʔ
4.52	yawn, gape	ay-yixsa ~ -ey-yixsa ~ -ay-c̷ixsa
4.521	hiccough	-oʔpaleʔ
4.53	cough	-koxokin
4.54	sneeze	xnatisyem ~ xnyetisyem
4.55	perspire	-kyunexen ~ syunexen
4.56	spit	-fʷac̷uxnen ~ -fʷyec̷uxnen
4.57	vomit	-koxin ~ -kyuxin
4.58	bite	oka
4.59	lick	napuʔ ~ -nyepuʔ
4.591	dribble	
4.61	sleep	-maʔa ~ -miʔe
4.612	snore	-nakat ~ -nyakat
4.62	dream	-fʷexlyen ~ -fʷixlyen
4.63	wake up	owneʔ ~ -towneʔ
4.64	break wind	
4.65	urinate	-ol ~ -tol ~ -ul
4.66	defecate	-xlam ~ -xlyem
4.67	have sexual intercourse	-fʷaʔ
4.68	shiver	-ekilalin ~ -ikilalin
4.69	bathe	-nayianaxtiʔ ~ -nyeyianaxtiʔ
4.71	beget (of father)	
4.72	born (to be)	-eyin ~ -iyin ~ -wayin
4.73	pregnant	-kimixnyen ~ -simixnyen
4.732	conceive	
4.74	live, living, life	-waxsan
4.75	die, dead	-al ~ -el
4.751	drowned	-elkaan ~ -ilkaan
4.76	kill	-lan ~ -lyen
4.77	corpse	-weʔlak
4.78	bury (the dead)	-powe ~ -pyowe
4.79	grave, tomb	ano (f.)
4.81	strong, mighty, powerful	-toxseyin
4.82	weak	xe-tuskiʔ
4.83	well, health	-es ~ -se
4.84	sick, sickness	xe-es
4.841	fever	-laye ~ -lyaye (m.)
4.842	goiter	loʔkʔat
4.843	cold (catarrh)	-kakil ~ -kyakil
4.85	wound, sore	xeyoyam
4.852	bruise	
4.853	swelling	tikyeʔen
4.854	itch	lap-lap-iʔ
4.855	blister	kalaliyam (m.)
4.856	boil (noun)	inetas (f.)
4.857	pus	-lyek
4.858	scar	-kixso ~ -sixso (f.)
4.86	cure, heal	-woxikyewa ~ -yoxikyewa
4.87	physician	-kakye-xiwoʔ
4.88	medicine, drug	-kakyeʔ ~ -kyakyeʔ
4.89	poison	-kakye inyo ilyen
4.91	tired, weary	-ola ~ -uxla
4.912	rest	axap ~ -exep
4.92	lazy	xe-tuskiʔ
4.93	bald	la woli-yeʔ
4.94	lame	akyoxna-xe-es
4.95	deaf	xa -peysiin
4.96	mute	xe-amtiʔ
4.97	blind	talok
4.98	intoxicated	-om ~ -xom ~ -xyum
4.99	naked, bare	-naxlineʔ
5.11	eat	-yekyun; -tox ~ -tyux
5.12	food	-pen-ek ~ -pin-ik
5.121	cooked	-pen-a
5.122	raw	xe yoweʔ
5.123	ripe	yoweʔ
5.124	green, unripe	xe yoweʔ
5.125	rotten	ifʷyesam
5.13	drink	-ye
5.14	hunger	-nalen
5.141	famine	-nalyen ~ -nyelyen
5.15	thirst	-yeyiʔ
5.16	suck	-c̷oweʔ ~ -c̷yuweʔ
5.18	chew	-tofʷiyin; -tani ~ -tyeni
5.181	swallow	-tem ~ -tim
5.19	choke	kyus
5.21	cook	-ka-pen-an; -pen ~ pin
5.22	boil (vb)	-nawayetiʔ ~ -nyewayetiʔ
5.23	roast, fry	-senyen ~ -sinyen
5.24	bake	-xlon ~ -xlyon
5.25	oven	-kalanati ~ -kyalanati (f.)
5.26	pot, cooking vessel	taas
5.27	kettle	--
5.28	pan	taas
5.31	dish	tetik
5.32	plate	tetik (f.)
5.33	bowl	tetik
5.34	pitcher, jug	-ateʔ ~ -eteʔ (f.)
5.35	cup, drinking vessel	tetik
5.36	saucer	tetik-laseʔ
5.37	spoon	toxsinye
5.38	knife	safʷeʔ ~ -syefʷeʔ (m.)
5.39	fork	toxsinye-tok (f.)
5.391	tongs	ot-es yakatamiʔ
5.41	meal (a)	-pen-ek; -ak
5.42	breakfast	--
5.43	lunch	--
5.44	dinner	-pen-ek ~ -pin-ek (f.)
5.45	supper	--
5.46	peel	tʔax-lane ~ tʔax-lyene
5.47	sieve, strain	
5.48	scrape	-kyeʔc̷eʔ ~ -syeʔc̷eʔ
5.49	stir, mix	-panekyafʷey ~ -pyanekyafʷey
5.51	bread	woye (f.)
5.53	dough	--
5.54	knead	-silyeni
5.55	meal, flour	wac̷o-lamak
5.56	crush, grind	et anateʔ ~ -tet anateʔ
5.57	mill	laxwuxilakikiʔ
5.58	mortar	winxlik (f.)
5.59	pestle	wilik-ikyeʔ
5.61	meat	-syen
5.63	sausage	--
5.64	soup, broth	-pen-ek-tepoʔo
5.65	vegetables	--
5.66	bean	
5.7	potato	fʷelye-tok (f.)
5.71	fruit	laʔ (m.)
5.712	bunch	layxi-wet (m.)
5.75	fig	--
5.76	grape	c̷enye-tok (m.)
5.77	nut	nokiki-tok (f.)
5.78	olive	--
5.79	oil	li-peʔ
5.791	grease, fat	-peʔ
5.81	salt	sifʷoniʔ
5.82	pepper	ates
5.821	chili pepper	ates (f.)
5.84	honey	wona-teʔ ~ oxoʔnateʔ
5.85	sugar	tic̷oyin-lamak
5.86	milk (noun)	kaytyos
5.87	milk (vb)	-kawoxni ~ -kyawoxni
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	ates
5.91	mead	fʷaayteʔ
5.92	wine	--
5.93	beer	--
5.94	fermented drink	ates-i-tok (f.)
5.97	egg	leʔkyuʔ (f.)
5.971	egg yolk	lasxiwet (m.)
6.11	put on (clothes)	-wo-yuyeʔ ~ -yo-wuyeʔ
6.12	clothing, clothes	-wuy ~ -yuy; -waxaleʔ
6.13	tailor	--
6.21	cloth	waxaleʔ (m.)
6.22	wool	sonta-woleʔ
6.23	linen, flax	--
6.24	cotton	walek (m.)
6.25	silk	--
6.27	felt	--
6.28	fur	
6.29	leather	-ax ~ -ex (m.)
6.31	spin	-xleni ~ -xlini
6.32	spindle	-sopa
6.33	weave	atoxneʔ ~ -etoxneʔ
6.34	loom	-fʷenyuk (f.)
6.35	sew	atelyiʔ ~ -etelyiʔ; -katelan
6.36	needle	itan (m.)
6.37	awl	alaʔy-elinityam (m.)
6.38	thread	-katelanat
6.39	dye	-lenat oxtam
6.41	cloak	-wi (m.)
6.411	poncho	-fʷenyuk ~ -fʷinyuk (f.)
6.42	woman's dress	-wuy ~ -yuy (f.)
6.43	coat	potiyi (f.)
6.44	shirt	--
6.45	collar	--
6.46	skirt	-wuy-tetyeeʔ
6.461	grass-skirt	--
6.48	trousers	-kyokileyis ~ -c̷yokileyis
6.49	stocking, sock	-kamelyo
6.51	shoe	-fʷey (m.)
6.52	boot	--
6.54	shoemaker, cobbler	na-fʷeyis-i-woʔ
6.55	hat, cap	wonta (f.)
6.57	belt, girdle	-fʷet ~ -fʷit (m.)
6.58	glove	--
6.59	veil	--
6.61	pocket	-eliʔ ~ -iliʔ (f.)
6.62	button	-tateʔ (f.)
6.63	pin	apile-wita
6.71	ornament, adornment	amis
6.72	jewel	--
6.73	ring (for finger)	-xukinyes ~ -xyukinyes (f.)
6.74	bracelet	-palaʔ (f.)
6.75	necklace	-yik (m.); kinyulaʔ
6.76	bead	
6.77	earring	-kawilikiʔ ~ -kyawilikiʔ (f.)
6.78	headband, headdress	-ami
6.79	tattoo	-leente
6.81	handkerchief, rag	-xetek-pot; -xetek-pot-las
6.82	towel	-tokyoʔ-tilexekiʔ
6.91	comb	-xetek-xikyeʔ (f.)
6.92	brush	
6.921	braid	-kimiʔ ~ -simiʔ
6.93	razor	-poxse-kyeʔ (f.)
6.94	ointment	c̷ʔaxlakayi
6.95	soap	waxale tilexeki
6.96	mirror	tiyenaxay (f.)
7.11	dwell, live	-eyne ~ -ine ~ -wane
7.12	house	sawo ~ -syewo
7.13	hut	sawo ~ -syewo
7.131	garden-house	
7.14	tent	tikinafʷom
7.15	yard, court	-lafʷaxi-sawo
7.16	men's house	--
7.17	cookhouse	-ka-penan-a-wet (f.)
7.18	meeting house	--
7.21	room	
7.22	door, gate	-kay ~ -kyay (f.)
7.221	doorpost, jamb	
7.23	lock (noun)	--
7.231	latch, door-bolt	--
7.24	key	sawo-kyeʔ
7.25	window	-kay-las
7.26	floor	axna-teʔ
7.27	wall	isak
7.31	fireplace	etye-xi-wet (m.)
7.32	stove	--
7.33	chimney	toxsa-kay (f.)
7.37	ladder	tʔaxsayiʔ
7.42	bed	-xawet ~ -xyewet ~ -awet
7.421	pillow	-aysiwet ~ -eysiwet
7.422	blanket	waʔleʔ (m.)
7.43	chair	-wet ~ -wit (m.)
7.44	table	-nakawet
7.45	lamp, torch	kates-wux
7.46	candle	li-peʔ (f.)
7.47	shelf	
7.48	trough	tayokiʔ
7.51	roof	sawo ipyoʔ-apeʔe
7.52	thatch	sawo ipyek
7.53	ridgepole	
7.54	rafter	
7.55	beam	
7.56	post, pole	xlac̷ekiʔ
7.57	board	alata (m.)
7.58	arch	--
7.61	mason	sawo-iwoʔ
7.62	brick	apelki ~ -epilki (f.)
7.63	mortar	--
7.64	adobe	isat (m.)
8.11	farmer	-kimayewoʔ (m.)
8.12	field (for cultivation)	takaxnan
8.13	garden	-axkanki-xi-wet (f.)
8.15	cultivate, till	axnat -wayc̷ilat
8.16	fence	-lafʷek (m.)
8.17	ditch	anat-iwet
8.21	plow	exan (?)
8.212	furrow	inalesek (f.)
8.22	dig	-texey ~ -tixiʔ
8.23	spade	axnat-kyeʔ
8.24	shovel	exnat ~ -ixnat
8.25	hoe	axnat-kyeʔ
8.26	fork	lakipoʔ (m.)
8.27	rake	-kaye
8.31	sow	-xkaxnan
8.311	seed	lemtakiʔ
8.32	mow, reap	--
8.33	sickle, scythe	--
8.34	thresh	-paʔteʔ ~ -pyeʔteʔ
8.35	threshing-floor	--
8.41	crop, harvest	-laʔ-kiʔmaʔ
8.42	grain (barley, oats etc)	lemtakiʔ
8.43	wheat	xupi-tok texekipoʔ
8.44	barley	-kyalen (f.)
8.45	rye	--
8.46	oats	alenta-lak
8.47	maize, corn	ipyek (m.)
8.48	rice	xupi-tok
8.51	grass	xupay
8.52	hay	xop
8.53	plant (noun)	naxkankiʔ
8.531	plant (vb)	etesyem ~ -tetesyem
8.54	root	fʷetis
8.55	branch	-kaxs
8.56	leaf	alaʔ-woleʔ (m.)
8.57	flower	lawo (m.)
8.6	tree	alaʔ (f.)
8.61	oak	
8.62	beech	--
8.63	birch	--
8.64	pine	
8.65	fir	--
8.66	acorn	--
8.67	vine	yafʷayiin
8.68	tobacco	inyewut; -xlanek ~ -xlyenek
8.69	smoke (tobacco)	-xlaxnan
8.691	pipe	-nawuti alaʔ ~ -nyewuti alaʔ
8.72	tree stump	
8.73	tree trunk	tesyuk (f.)
8.74	forked branch	sawotiʔ (f.)
8.75	bark	takataxay (f.)
8.76	sap	ala-teʔe
8.81	palm tree	wisyuk (f.)
8.82	coconut	--
8.83	citrus fruit	c̷afʷani-tok; noxsoyi
8.84	banana tree	--
8.85	banyan	--
8.91	sweet potato	keoy; kyooy
8.912	yam	
8.92	tapioca, manioc, cassava	-wac̷oxnak
8.93	gourd	sixnaye-tok
8.931	pumpkin, squash	kiti-tok
8.94	bamboo	sise-tok (m.)
8.941	sugar cane	tic̷oyin
8.96	fish poison (root)	
8.97	nettle	atik (f.)
8.98	mushroom	xlamoxlo
9.11	do, make	-silyene
9.12	work	-kixmen ~ -sixmen
9.14	bend	-aykyel
9.15	fold	apilkyafʷey ~ -epilkyafʷey
9.16	tie, bind	-lanit ~ -lyenit; -fʷam
9.161	untie	-laney ~ -lyeney
9.18	chain	-yek ot
9.19	rope, cord	niyek (f.)
9.192	knot (noun)	koxsokiʔ (f.)
9.21	strike (hit, beat)	axaʔ ~ -exeʔ
9.211	pound with fist	-tawas
9.22	cut	akatam; -ewaxam
9.221	cut down	eletam ~ -teletam
9.222	chop, hew	-fʷaxam
9.223	stab	etam ~ -itam ~ -tetam
9.23	knife	safʷeʔ
9.24	scissors, shears	soxnates
9.25	ax	alay (f.)
9.251	adze	taxaxisa
9.26	break	-kyeʔti ~ -syeʔti
9.261	broken	-syey
9.27	split	-fʷaxakiʔ
9.28	tear	-kyoxsatiʔ ~ -c̷yoxsatiʔ
9.29	flay, skin	tʔax-laney
9.31	rub, wipe	-xlotiʔ ~ -xlyutiʔ
9.32	stretch	-wetoyixtiʔ ~ -witoyixtiʔ
9.33	pull	-tone ~ -tyone
9.34	spread out	-kixnen ~ -c̷ixnen
9.341	hang up	enfʷom ~ -infʷom
9.342	press	etinim ~ -tetinim ~ -itinim
9.343	squeeze, wring	-xloxnam
9.35	pour	-sayixi ~ -syeyixi; -sayeten
9.36	wash	-le ~ -li
9.37	sweep	oʔwen -ofʷen
9.38	broom	-wetxikyeʔ (f.)
9.422	tool	-kimatesikyeʔ ~ -simatesikyeʔ
9.43	carpenter	-wetes iwoʔ
9.44	build	-silyene
9.46	bore	alinityam ~ elinityam
9.461	hollow out	-wo-xakiwa ~ -yo-akiwa
9.48	saw	alakyeʔ
9.49	hammer	otaxakixic̷i
9.5	nail	tataxo
9.56	glue	
9.6	smith, blacksmith	ot-esiwoʔ
9.61	forge	--
9.62	anvil	fʷaxalaa totaxaa (f.)
9.63	cast (metals)	-yoyi
9.64	gold	ot es
9.65	silver	ot
9.66	copper, bronze	--
9.67	iron	ot (m.)
9.68	lead (noun)	ot-lec̷iʔ
9.69	tin, tinplate	ot-lec̷iʔ
9.71	potter	--
9.72	mold (clay etc)	wasiinxikyeʔ (?)
9.73	clay	isat
9.74	glass	-taye tifʷayi
9.75	weave, plait	-kapalate
9.76	basket	walaaxi-wet (f.)
9.77	mat	alisa; fʷiyi; sayine; isax
9.771	rug	--
9.78	netbag	
9.79	fan (noun)	wikyex
9.791	fan (vb)	
9.81	carve	--
9.82	sculptor	--
9.83	statue	--
9.84	chisel	--
9.88	paint (noun)	-lexnat ~ -lixnat (m.)
9.89	paint (vb)	-len ~ -lin
10.11	move	-wet-wesin
10.12	turn over	apilmet
10.13	turn around	apilinkyafʷey ~ -epilinkyafʷey
10.14	wind, wrap	-wetnafʷaan ~ -witnafʷaan
10.15	roll	
10.16	drop (vb)	tonisyem
10.17	twist	-soyonixtam ~ -syoyonixtam
10.21	rise	-wul ~ -yul
10.22	raise, lift	-kimiʔ ~ -simiʔ
10.23	fall	-nuneʔ ~ -nyuneʔ
10.24	drip	tonisyem
10.25	throw	-tate ~ -tyete
10.252	catch (ball)	-kiʔmeʔ ~ -siʔmeʔ
10.26	shake	-paxtiʔ ~ -pyextiʔ
10.32	flow	-em
10.33	sink	-elkaan ~ -ilkaan
10.34	float	ey anat-apeʔe
10.35	swim	-pan ~ -pyen
10.351	dive	oyisyem ~ -toyisyem
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	-fʷeyeʔ ~ -fʷiyeʔ
10.38	blow	-wuyiwey ~ -yuyiwey
10.41	creep, crawl	-kosin
10.412	kneel	-kosletiki -eteyin ~ -teteyin
10.413	crouch	oosyem ~ -toosyem ~ -uusyem
10.42	slide, slip	-kalatalet ~ -kyalatalet
10.43	jump, leap	eletwom ~ -teletwom
10.431	kick	-kala-axa ~ -kyala-axa
10.44	dance	-lakyen
10.45	walk	-skyuxnen ~ -tiskyuxnen
10.451	limp	kala xe-es
10.46	run	owen ~ -towen
10.47	go	-ek; -em; -kin
10.471	go up	-wul ~ -yul
10.472	climb	-kyafʷeliin ~ -c̷yafʷeliin
10.473	go down	eleten ~ -teleten
10.474	go out	-no lawaa ~ -nyu lawaa
10.48	come	-nam
10.481	come back	apil ~ -epil
10.49	go away, depart	-ek; -ma
10.491	disappear	
10.51	flee	-yiltan
