entry_id	trans_english	Nung-Lazhai_Phonemic
4.14	hair (head)	tak.7 tai.5
4.142	beard	piŋ.1
4.144	body hair	tu.2 ta:k.7
4.145	pubic hair	ta:ŋ.6
4.146	dandruff	ta:ŋ.6 nu:m.1
4.15	blood	zo:ŋ.6 zip.8
4.151	vein, artery	buŋ.5 ba.3
4.16	bone	tak.7
4.162	rib	lɨk.8 sai.1
4.17	horn	kop.7; kwe.3
4.18	tail	tak.7 kjwe:m.5
4.19	back	tak.7 kjwe:m.5 la:u.4
4.191	spine	ŋo.6 jwi.6
4.2	head	tu.2 hu.1; hu.1
4.201	side of head, temple	daŋ.1
4.202	skull	naŋ.1
4.203	brain	no.6
4.204	face	pjo:m.1; pun.1 kjau.3
4.205	forehead	mum.6
4.207	jaw	pun.1 ta:u.2
4.208	cheek	pun.1 ma:i.6; pun.1 nu.5; pun.1 wai.2; pun.1 ci:t.8
4.209	chin	pe:k.8 su:t.7
4.21	eye	ha:n.6
4.212	eyebrow	lɨ:t.8
4.213	eyelid	mak.8
4.214	eyelash	ńin.2
4.215	blink	do:k.7
4.22	ear	ŋwi.2
4.221	earlobe	do:k.7 se.3
4.222	earwax	kau.1; ko:k.7
4.23	nose	zɨ:ŋ.1
4.231	nostril	laŋ.1; pa:i.6 laŋ.1
4.232	mucus (nasal)	laŋ.1; laŋ.1 hɨ:t.7
4.24	mouth	kjau.3
4.241	beak	kok.7 zum.2
4.25	lip	kjau.3
4.26	tongue	uk.7
4.27	tooth	na.3
4.271	gums	ńe:k.8; na.3 ńe:k.8; na.3 pja:k.7
4.272	molartooth	kje:m.3
4.28	neck	na.3 kje:m.3; na.3 kau.1
4.281	nape of neck	ha:ŋ.2 ka:u.5; ha:ŋ.2 la.3
4.29	throat	ta.1; lɨk.8 ta.1
4.3	shoulder	pun.1 ta.1
4.301	shoulderblade	pu:ŋ.2 lɨk.8 ta.1
4.302	collarbone	pun.1 ta.1 zam.4
4.31	arm	jap.7 ta.1; ta.1 jap.7
4.312	armpit	zɨ.2; bə.1 zɨ.2
4.32	elbow	ze:ŋ.5 zɨ.2
4.321	wrist	hai.4 zɨ.2
4.33	hand	daŋ.1
4.331	palm of hand	co:ŋ.6 daŋ.1
4.34	finger	muk.8
4.342	thumb	ba:k.7; mo:m.6
4.344	fingernail	mo:m.6 zok.8
4.345	claw	bɨŋ.3 mo:m.6; naŋ.1 mo:m.6
4.35	leg	lin.4
4.351	thigh	he:u.3
4.352	calf of leg	he:u.3 cja:ŋ.4; he:u.3 tu.2 cja:ŋ.4; hɨk.7 he:u.3
4.36	knee	he:u.3 du:k.7
4.37	foot	ho.2
4.371	ankle	ji:u.3; laŋ.1 ji:u.3; laŋ.1 ho.2
4.372	heel	ho.2 kjo:ŋ.4
4.374	footprint	ba.5; loŋ.2 ba.5
4.38	toe	do:k.7 le.5
4.392	wing	do:k.7 la.3 ho.2
4.393	feather	kje:n.1
4.4	chest	la.3 i.5
4.41	breast (of woman)	kje:n.1 cu:ŋ.4
4.412	nipple, teat	kje:n.1 kon.4
4.42	udder	fɨŋ.2
4.43	navel	wa.1 fɨŋ.2
4.44	heart	lɨk.8 fɨŋ.2
4.441	lung	me.6 fɨŋ.2; lɨk.8 fɨŋ.2 me.6
4.45	liver	kjip.7 fɨŋ.2; zip.8 fɨŋ.2
4.451	kidney	ńwa:u.3; ńa:u.3
4.452	spleen	ka.1
4.46	stomach	ka.1 pa:ŋ.5; he:ŋ.6 ka.1 kɨn.2
4.461	intestines, guts	ka.1 pi.1; he:ŋ.6 ka.1 la.3
4.462	waist	kjau.3 ho.5
4.463	hip	tin.1
4.464	buttocks	ka.1 pau.1
4.47	womb	kjau.3 kji:u.3; kji:u.3 tin.1
4.49	testicle	zwi.2 tin.1
4.492	penis	pja:i.1 lɨk.8 tin.1
4.51	breathe, breath	fɨ:t.8
4.52	yawn, gape	pun.1
4.521	hiccough	ak.7
4.53	cough	ne.3
4.54	sneeze	kjau.3 ne.3
4.55	perspire	sai.3 dɨ.1
4.56	spit	sim.1
4.57	vomit	put.7
4.58	bite	tap.7
4.59	lick	lɨk.8 ma:k.7; ja:u.5
4.591	dribble	bi.1
4.61	sleep	tuŋ.4 na:m.4
4.612	snore	tuŋ.4
4.62	dream	sai.3
4.63	wake up	hɨ:t.7
4.64	break wind	cak.7 hai.4
4.65	urinate	cak.7 hai.4
4.66	defecate	co:ŋ.6 hai.4
4.67	have sexual intercourse	kjai.5 zam.1; zam.1
4.68	shiver	nu.5; ti:u.3 nu.5; ti:u.2 wai.2
4.69	bathe	co:ŋ.6 ma:i.6
4.71	beget (of father)	zwa:u.1 hi.5
4.72	born (to be)	zwa:u.1 zum.2
4.73	pregnant	im.5 ɨ:k.8
4.732	conceive	ai.1
4.74	live, living, life	a:t.7 cɨ:i.3
4.75	die, dead	o:k.7 ha:n.6
4.751	drowned	mja:i.2
4.76	kill	pjo.5 mja:i.2
4.77	corpse	zu:k.8; kwe.4
4.78	bury (the dead)	hap.8
4.79	grave, tomb	ta.2 lin.4; ji:t.7 lin.4
4.81	strong, mighty, powerful	zwi.2
4.82	weak	mja:i.2 liu.1
4.83	well, health	nin.2
4.84	sick, sickness	kjan.1
4.841	fever	lo.5; tak.7 lo.5; moŋ.4
4.842	goiter	di:u.1
4.843	cold (catarrh)	ciŋ.6; siŋ.3
4.85	wound, sore	o:k.7 zok.7
4.852	bruise	ńu.6
4.853	swelling	o:k.7 hai.4
4.854	itch	to.6 a:i.5; au.1 pu.4
4.855	blister	san.2
4.856	boil (noun)	cam.4
4.857	pus	cɨ:ŋ.4
4.858	scar	se:ŋ.1; o:k.7 se:ŋ.1
4.86	cure, heal	mi.2 lɨk.8; se:ŋ.1 lɨk.8
4.87	physician	ńu:n.6; mi.2 daŋ.1
4.88	medicine, drug	mi.2 lɨk.8
4.89	poison	li.4 man.2; li.4 jɨ.5; kɨn.1 tan.3
4.91	tired, weary	ta:i.1
4.912	rest	tum.4 ta:i.1
4.92	lazy	ka.3
4.93	bald	wun.2 ta:i.1
4.94	lame	mok.7
4.95	deaf	ti.6; mo.6; fan.2; fan.2 mo.6
4.96	mute	a:k.7
4.97	blind	ńo:m.5; ńo.6
4.98	intoxicated	jɨ.5 di.5
4.99	naked, bare	piŋ.6
5.11	eat	pan.2 nit.7 fa:t.7 da:t.7
5.12	food	pan.2 a:i.1
5.121	cooked	san.2 kje:ŋ.4
5.122	raw	pai.1 tuŋ.4; o:k.7 tuŋ.4; hai.4 co:n.6
5.123	ripe	si:ŋ.1 kje:t.7; kji.2 si:ŋ.1; tɨ:k.8 si:ŋ.1
5.124	green, unripe	kjam.5 fok.8; zwi.2 si:ŋ.1
5.125	rotten	fok.8 fu.2; fok.8
5.13	drink	fok.8; han.2; hum.2; lok.7 li:m.1
5.14	hunger	po:p.7
5.141	famine	pai.2
5.15	thirst	no:ŋ.1
5.16	suck	kji.2 si:ŋ.1; zwi.2 si:ŋ.1
5.18	chew	jɨ.1 di.1; ji.5 di.1
5.181	swallow	ca:ŋ.6 jɨ.1
5.19	choke	jɨ.6
5.21	cook	jɨ.6 tok.8
5.22	boil (vb)	co.5 tok.8
5.23	roast, fry	na:i.5; ka:n.4
5.24	bake	ji:t.7 na:i.5; ji:t.7 pak.8; ji:t.7
5.25	oven	kjik.7 la:n.4; kjik.7
5.26	pot, cooking vessel	kjau.3 do.5
5.27	kettle	ne:u.3; jam.3; ne:u.3
