entry_id	trans_english	Cayapa_Phonemic
4.79	grave, tomb	pan'dʸun
4.81	strong, mighty, powerful	'dera; 'pulu
4.82	weak	'de'ra-htu
4.83	well, health	'di'lu-htu
4.84	sick, sickness	'dilu- 'pe-ya ~ 'dii 'pe-ya
4.841	fever	'pen-'guma
4.842	goiter	'kutu-'pe-ya
4.843	cold (catarrh)	'kih-pe
4.85	wound, sore	'biš-'pe-ya ~ 'biš-pee
4.852	bruise	
4.853	swelling	'lʸuri
4.854	itch	'pih-'ten-nu
4.855	blister	'tʸa-pi
4.856	boil (noun)	'či-mu
4.857	pus	'kii-pi
4.858	scar	'yah-či (?)
4.86	cure, heal	'man-bi-'re-nu; 'man-c̷a-'ti-re-nu
4.87	physician	['re'medʸu]-'ke-mu
4.88	medicine, drug	['re'medʸu]
4.89	poison	['be'nenu]
4.91	tired, weary	'tʸuba
4.912	rest	'le'ka-nu
4.92	lazy	'la-mu
4.93	bald	'čapah'kuku
4.94	lame	['kuhu]; 'ku'haʔ-'te-ra
4.95	deaf	'pungi 'pu-tʸu
4.96	mute	'pa-'pa-tʸu
4.97	blind	'ka-'puka 'pu-tʸu
4.98	intoxicated	'wiɲa
4.99	naked, bare	'čaʔ-'tene
5.11	eat	'Φi-nu
5.12	food	'panda
5.121	cooked	'aka-'ra-hu; 'tenga-'ra-hu
5.122	raw	'sana
5.123	ripe	lʸu
5.124	green, unripe	'pinča
5.125	rotten	'pete; 'peʔ-nu
5.13	drink	'kuš-nu
5.14	hunger	'panda 'muh-nu
5.141	famine	'panda (aa) 'hu-tʸu
5.15	thirst	pi 'muh-nu
5.16	suck	'miš-nu
5.18	chew	'halʸi-'ke-nu; 'hai-nu
5.181	swallow	'lʸuʔ-nu
5.19	choke	'ha'di-nu; 'muh'tuu 'iš-nu
5.21	cook	'ten-'gaa-nu; 'aʔ-nu
5.22	boil (vb)	'buu-'ke-nu ~ 'buu-'ki-nu
5.23	roast, fry	'biin'ge-nu; 'piʔ-nu
5.24	bake	['ur'nu]-či 'a-'kaa-nu
5.25	oven	['urnu]
5.26	pot, cooking vessel	'pi-'yama
5.27	kettle	'pi-'yama
5.28	pan	'tu 'pi-'yama
5.31	dish	'aa ['pa'latu]
5.32	plate	['pa'latu]
5.33	bowl	'šulʸa
5.34	pitcher, jug	['haru]; 'aa 'šulʸa
5.35	cup, drinking vessel	['basu]
5.36	saucer	kaa ['pa'latu]
5.37	spoon	['ku'čara]
5.38	knife	['ku'čilʸu]
5.39	fork	'pu ['ku'čara]
5.391	tongs	'de-'lan-'kan-'c̷u-mi
5.41	meal (a)	'panda
5.42	breakfast	'ke-pe-'ne-ne 'panda
5.43	lunch	'keh'taa ['ura] 'panda
5.44	dinner	
5.45	supper	'ke-pe-'nu-ša 'panda
5.46	peel	'lʸah'či-nu; 'lʸaš-nu
5.47	sieve, strain	'čiʔ-'šulʸa
5.48	scrape	'wii'ši-nu; 'waa'ši-nu
5.49	stir, mix	'yan-nu; 'piʔ-'pu-nu
5.51	bread	[pan]
5.53	dough	[pan] 'ke-nu 'beh-t-a
5.54	knead	'beh'te-nu
5.55	meal, flour	['a'rina]
5.56	crush, grind	'ʔii-nu; 'i'lʸi-nu; 'dii-nu
5.57	mill	'ii-nu-'c̷u-mi
5.58	mortar	'šu-'pu-ʔ-na
5.59	pestle	'aa 'ma'čuka
5.61	meat	'alʸa
5.63	sausage	['sal'čiča]
5.64	soup, broth	['lu'guu; 'lu'kuru; 'lu'guru]
5.65	vegetables	'Φa-mu 'tape
5.66	bean	'mulu
5.7	potato	['papa]
5.71	fruit	'puka
5.712	bunch	'dihki
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	'mulʸi
5.791	grease, fat	'mulʸi
5.81	salt	'tʸayu
5.82	pepper	--
5.821	chili pepper	tʸu
5.84	honey	'čiɲa-'miški
5.85	sugar	['a'su'kara]
5.86	milk (noun)	'ču-ʔ-pi
5.87	milk (vb)	'ču-ču 'ka-nu; 'ču-ʔ-pi 'ka-nu
5.88	cheese	['kic̷u]
5.89	butter	'mulʸi
5.9	beverage, drink	'kuš-nu-'c̷u-mi
5.91	mead	['miški] pi
5.92	wine	['winu]
5.93	beer	['ser'besa]
5.94	fermented drink	'či-ya 'kuš-nu-'c̷u-mi
5.97	egg	'na-'pi-pu
5.971	egg yolk	'lʸuba 'na-'pi-pu
6.11	put on (clothes)	'pan-nu; 'pa-'na-nu
6.12	clothing, clothes	'hali ~ 'halʸi
6.13	tailor	'hai 'pun-mu
6.21	cloth	'halʸi ~ 'hali
6.22	wool	'ku'čuwa
6.23	linen, flax	--
6.24	cotton	'kuwa
6.25	silk	--
6.27	felt	--
6.28	fur	hu
6.29	leather	'kika
6.31	spin	'tu're-nu; 'tuu-nu
6.32	spindle	'beru
6.33	weave	'c̷eh-nu
6.34	loom	'c̷eh-nu 'deh'tela
