entry_id	trans_english	Tongan_Phonemic
3.97	crocodile, alligator	ʔelikeita; kalokataile
3.98	turtle	fonu; kapoŋa
4.11	body	sino
4.12	skin, hide	kili
4.13	flesh	kakano
4.14	hair (head)	louʔulu; fulufulu
4.142	beard	kava
4.144	body hair	fulufulu
4.145	pubic hair	
4.146	dandruff	mafunofuna ē; ŋeʔesi ʔulu
4.15	blood	toto
4.151	vein, artery	kālava tufa toto; kālava fetuku toto; kālava fakafoki; toto ki he mafu
4.16	bone	hui
4.162	rib	hui vakavaka; hui palalulu
4.17	horn	meʔatui
4.18	tail	hiku
4.19	back	mui; tuʔa
4.191	spine	hui tuʔa; foʔi hui he hui tuʔa
4.2	head	ʔulu
4.201	side of head, temple	
4.202	skull	foʔi ʔulupoko; ŋaahi hui ʔoe; ʔulu (fakakātoa)
4.203	brain	ʔuto
4.204	face	mata
4.205	forehead	laʔe
4.207	jaw	kauŋao
4.208	cheek	kouʔahe
4.209	chin	kumukumu
4.21	eye	mata
4.212	eyebrow	kemo; oŋo kemo
4.213	eyelid	lau-mata
4.214	eyelash	fulufuluʔi-lau-mata
4.215	blink	kemo
4.22	ear	teliŋa
4.221	earlobe	
4.222	earwax	teʔetuli
4.23	nose	ihu
4.231	nostril	avaʔi-ihu
4.232	mucus (nasal)	meʔa ʔoku āāpe; fiho; ʔihupeʔe
4.24	mouth	ŋutu
4.241	beak	ŋutu
4.25	lip	louŋutu
4.26	tongue	ʔelelo
4.27	tooth	nifo
4.271	gums	teʔenifo
4.272	molartooth	nifo ŋao
4.28	neck	kia
4.281	nape of neck	tuʔakia
4.29	throat	moŋa; kia
4.3	shoulder	uma
4.301	shoulderblade	hui fohe
4.302	collarbone	
4.31	arm	nima
4.312	armpit	faʔefine; faʔifine
4.32	elbow	tuiʔinima
4.321	wrist	kiaʔinima; fasiʔanima
4.33	hand	nima
4.331	palm of hand	laʔinima; ʔaofinima
4.34	finger	louhiʔinima
4.342	thumb	motuʔatuhu; motuʔanima
4.344	fingernail	ŋeʔesi-nima
4.345	claw	pesipesi
4.35	leg	vaʔe
4.351	thigh	alaŋa; teŋa
4.352	calf of leg	ʔateʔivaʔe
4.36	knee	tui
4.37	foot	vaʔe; lauʔi vaʔe
4.371	ankle	tuŋa ʔivaʔe; fasiʔavaʔe
4.372	heel	mui-vaʔe
4.374	footprint	topu-vaʔe
4.38	toe	louhiʔi-vaʔe
4.392	wing	
4.393	feather	fulufuluʔi manu
4.4	chest	fatafata; huhu
4.41	breast (of woman)	fatafata; foʔi huhu; huhu
4.412	nipple, teat	mataʔihuhu
4.42	udder	huhu ʔo ha pulu
4.43	navel	pito
4.44	heart	mafu
4.441	lung	maʔamaʔa
4.45	liver	ʔate
4.451	kidney	kofuua
4.452	spleen	ʔatepili
4.46	stomach	kete; fatu
4.461	intestines, guts	ŋākau
4.462	waist	koŋaloto
4.463	hip	hui ʔoku faka-hoko ki ai ʔa e hui ālaŋa; hui he tefito ʔoe; alaŋa
4.464	buttocks	tuŋaiku; tuʔuŋaiku; mui
4.47	womb	manava
4.49	testicle	teŋaʔimahaki; laho
4.492	penis	faka-taŋata; muʔa; ule; manu
4.51	breathe, breath	mānava
4.52	yawn, gape	mamao
4.521	hiccough	tokomohū; lonā
4.53	cough	tale
4.54	sneeze	mafatua
4.55	perspire	pupuha; tautaʔa
4.56	spit	ʔaʔanu; ʔanuhi; fā-vai
4.57	vomit	lua
4.58	bite	uʔu
4.59	lick	ʔemo
4.591	dribble	
4.61	sleep	mohe; mohe maʔu; tulemohe
4.612	snore	tāŋulu
4.62	dream	misi
4.63	wake up	ʔa; ofo; faka-ʔa
4.64	break wind	teʔepilo
4.65	urinate	mimi; tuʔuofi
4.66	defecate	tuʔumamaʔo; taʔe; siko
4.67	have sexual intercourse	
4.68	shiver	tetetete mei he momoko pe ilifia
4.69	bathe	kaukauʔi; vai kaukau
4.71	beget (of father)	
4.72	born (to be)	fāʔele
4.73	pregnant	feitama
4.732	conceive	
4.74	live, living, life	moʔui
4.75	die, dead	kau pekia; mate; mālōlō
4.751	drowned	melemo
4.76	kill	tāmateʔi; faka-pooŋi
4.77	corpse	sino ʔo e pekia
4.78	bury (the dead)	tanu
4.79	grave, tomb	faʔitoka; malaʔe; fonua-loto
4.81	strong, mighty, powerful	mālohi; ivi; mafai
4.82	weak	vaivai
4.83	well, health	moʔuilelei
4.84	sick, sickness	mahaki; puke; mahaki faka-ʔauha
4.841	fever	mofi
4.842	goiter	
4.843	cold (catarrh)	fofonu
4.85	wound, sore	lavea; lavea pe ko e pala
4.852	bruise	takaʔuli
4.853	swelling	pupula; fufula; tupu
4.854	itch	veli
4.855	blister	fā pe mamulu
4.856	boil (noun)	haŋatāmaki
4.857	pus	pela
4.858	scar	piki
4.86	cure, heal	faka-moʔui
4.87	physician	toketā; taŋata/ fefine faitoʔo; toketā faitafa
4.88	medicine, drug	faitoʔo
4.89	poison	kona; lava ke; hoko ai ʔa e mate; meʔa faka-konahi
4.91	tired, weary	fiu; faka-oŋosia; fuʔu helaʔia ʔaupito
4.912	rest	mālōlō
4.92	lazy	faka-pikopiko
4.93	bald	tula
4.94	lame	heke; ʔai ke tuʔutāmaki; taha ʔoku heke
4.95	deaf	tuli
4.96	mute	noa
4.97	blind	kui
4.98	intoxicated	konā
4.99	naked, bare	telefua
5.11	eat	; kai; tina
5.12	food	meʔakai; meʔatokoni; meʔakai lahi; hono kai
5.121	cooked	
5.122	raw	mata; mui; ʔikai moho
5.123	ripe	motuʔa lelei
5.124	green, unripe	mui
5.125	rotten	popo; ʔelo; masalai
5.13	drink	inu
5.14	hunger	fiekaia
5.141	famine	hoŋe
5.15	thirst	fie inu; fieinua
5.16	suck	misi; huhu; faka-huhu
5.18	chew	ŋau
5.181	swallow	maʔaŋa
5.19	choke	faka-sisina; loʔoa
5.21	cook	tunu; velahia; haka; faka-moho
5.22	boil (vb)	haka
5.23	roast, fry	faka-paku; taʔo; pulu taʔo
5.24	bake	taʔo
5.25	oven	ŋotoʔumu; [ʔovani]
5.26	pot, cooking vessel	kulo; kulo maka; kulo ukamea
5.27	kettle	[tikatele]
5.28	pan	faka-paku; kulo
5.31	dish	tisi
5.32	plate	[peleti]
5.33	bowl	poulu; pēsoni
5.34	pitcher, jug	siā; sioki; siā maka
5.35	cup, drinking vessel	ipu
5.36	saucer	[sosa]
5.37	spoon	[sēpuni] ohu; meʔa-ohu
5.38	knife	hele
5.39	fork	huhu kai; foʔi maŋaua
5.391	tongs	meʔa hiko meʔakai
5.41	meal (a)	ko e kai pe maʔu meʔatokoni
5.42	breakfast	pelekifasi
5.43	lunch	kai hoʔatā
5.44	dinner	tina
5.45	supper	[sapa]; kai efiafi
5.46	peel	fohi; tele; kili
5.47	sieve, strain	[sivi]; meʔa sivi
5.48	scrape	vau; meʔa vau faka-hamolemole; faile
5.49	stir, mix	heu; ʔai ke tuifio; ŋaueʔi
5.51	bread	mā
5.53	dough	heuŋa mā; [tou]
5.54	knead	natu
5.55	meal, flour	mahoāʔa
5.56	crush, grind	laiki; momosi; tataʔo; ōʔi; fahi; haveki
5.57	mill	
5.58	mortar	palasitā
5.59	pestle	meʔa laiki
5.61	meat	pulu
5.63	sausage	[sōsisi]
5.64	soup, broth	[supo]
5.65	vegetables	[vesitapolo]
5.66	bean	piini
5.7	potato	pateta
5.71	fruit	foʔiʔakau
5.712	bunch	fuhiŋa
5.75	fig	
5.76	grape	kālepi
5.77	nut	
5.78	olive	[ʔolive]
5.79	oil	
5.791	grease, fat	ŋako; sino; feti
5.81	salt	māsima
5.82	pepper	pepa ŋaohi kai
5.821	chili pepper	
5.84	honey	[hone]
5.85	sugar	[suka]
5.86	milk (noun)	huʔakau
5.87	milk (vb)	tatau
5.88	cheese	siisi
5.89	butter	pata
5.9	beverage, drink	
5.91	mead	
5.92	wine	
5.93	beer	pia
5.94	fermented drink	mafu; faka-pala; faka-mafu
5.97	egg	foʔimoa; fuaʔimoa
5.971	egg yolk	koŋa eŋeeŋa; ʔo e foʔimoa
6.11	put on (clothes)	tui; faka-valaʔi; faka-teuŋa
6.12	clothing, clothes	vala; teuŋa
6.13	tailor	taŋata tuitui vala
6.21	cloth	tupenu
6.22	wool	fulufuluʔi [sipi]
6.23	linen, flax	tupenu [lineni]
6.24	cotton	filo
6.25	silk	[silika]
6.27	felt	
6.28	fur	fulufulu
6.29	leather	[leta]
6.31	spin	vilohi; milohi
6.32	spindle	
6.33	weave	lālaŋa
6.34	loom	
6.35	sew	tuitui
6.36	needle	hui tuitui
6.37	awl	
6.38	thread	[filo]; tuaine; tui kahoa
6.39	dye	faka-lanu
6.41	cloak	pulupulu; kofu tōtōlofa
6.411	poncho	
6.42	woman's dress	kofu; teuŋa
6.43	coat	[kote]
6.44	shirt	sote
6.45	collar	kola
6.46	skirt	piva
6.461	grass-skirt	
6.48	trousers	[talausese]
6.49	stocking, sock	sitōkeni
6.51	shoe	sū; senitolo
6.52	boot	puti (vaʔe)
6.54	shoemaker, cobbler	
6.55	hat, cap	; tatā; kepi
6.57	belt, girdle	leta; noʔo; sisi
6.58	glove	kofunima
6.59	veil	pūlou
6.61	pocket	kato ʔi he sote
6.62	button	faka-maʔu
6.63	pin	[pine]
6.71	ornament, adornment	teuteu; meʔateuteu
6.72	jewel	siueli
6.73	ring (for finger)	
6.74	bracelet	vesa
6.75	necklace	kahoa
6.76	bead	foʔi kula; kahoa kula
6.77	earring	hau
6.78	headband, headdress	maluʔi ʔo e ʔulu; teuteu ʔulu
6.79	tattoo	tātatau
6.81	handkerchief, rag	holoholo; koŋa tupenu
6.82	towel	[taueli]
6.91	comb	helu
6.92	brush	
6.921	braid	
6.93	razor	tele
6.94	ointment	kilimi; faitoʔo milimili ki he uoua
6.95	soap	koa; koa fō
6.96	mirror	sioʔatasio
7.11	dwell, live	nofo
7.12	house	fale
7.13	hut	kiʔi fale; fale nofoʔaŋa
7.131	garden-house	
7.14	tent	[tēniti]
7.15	yard, court	ʔiate; lotoʔā; sila ʔo e vakalā
7.16	men's house	
7.17	cookhouse	peito; fale-[kuki]
7.18	meeting house	fale kava; hōtele
7.21	room	kiʔi loki; foʔi ʔatā; ʔatā
7.22	door, gate	matapā
7.221	doorpost, jamb	
7.23	lock (noun)	[loka]
7.231	latch, door-bolt	meʔa faka-maʔu; polota (matapā)
7.24	key	[kī]
7.25	window	
7.26	floor	faliki
7.27	wall	hōlisi
7.31	fireplace	
7.32	stove	sitou
7.33	chimney	pupū; siminí
7.37	ladder	tuʔuŋa
7.42	bed	moheŋa; moheŋa pēpē
7.421	pillow	[pilo]
7.422	blanket	moheŋa; kafu
7.43	chair	sea; nofoʔaŋa
7.44	table	[tēpile]
7.45	lamp, torch	huelo; maama; maama-mataŋi
7.46	candle	teʔelaŋo
7.47	shelf	laupapa
7.48	trough	topu fō
7.51	roof	ʔato
7.52	thatch	ʔato
7.53	ridgepole	
7.54	rafter	kahoki ʔo e fale
7.55	beam	koŋa papa lahi; lōloa
7.56	post, pole	[pou]
7.57	board	papa; koŋa papa matolu; fālahi; lōloa
7.58	arch	ʔaleso; tā
7.61	mason	
7.62	brick	piliki
7.63	mortar	
7.64	adobe	
8.11	farmer	taŋata ŋoue
8.12	field (for cultivation)	
8.13	garden	ŋoue
8.15	cultivate, till	ŋoueʔi
8.16	fence	ʔa; pa
8.17	ditch	luo tafeŋavai
8.21	plow	[palau]
8.212	furrow	ʔotu kuo palauʔi
8.22	dig	keli
8.23	spade	huo sipeiti
8.24	shovel	huo tata; sāvolo
8.25	hoe	huo
8.26	fork	
8.27	rake	meʔaŋāue ko e leiki
8.31	sow	lulu ha teŋaʔiʔakau
8.311	seed	fua ʔo e uite; koane; teŋaʔi ʔakau
8.32	mow, reap	tā ʔa e ʔakau kuo motuʔa
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	fua ʔo e ŋoue; polopolo ha ŋoue
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	paʔale
8.45	rye	
8.46	oats	
8.47	maize, corn	[koane]
8.48	rice	[laise]
8.51	grass	musie
8.52	hay	musie mōmoa
8.53	plant (noun)	ʔakau
8.531	plant (vb)	tō
8.54	root	aka
8.55	branch	vaʔa (ʔakau)
8.56	leaf	lau; hulu
8.57	flower	matala; matala-ʔiʔakau
8.6	tree	fuʔu ʔakau
8.61	oak	ʔoke
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	fuʔu kālepi; ʔakau totolo
8.68	tobacco	[tapaka]
8.69	smoke (tobacco)	ifi tapaka; ʔahu; ifi paipa
8.691	pipe	[paipa]; pamu
8.72	tree stump	tuŋaʔiʔakau
8.73	tree trunk	potuʔi-ʔakau; sinoʔi ʔakau
8.74	forked branch	
8.75	bark	kiliʔiʔakau
8.76	sap	toʔi; toʔo ē ivi
8.81	palm tree	[paame]
8.82	coconut	niu; foʔi niu
8.83	citrus fruit	[lēmani]; moli
8.84	banana tree	siaine
8.85	banyan	ʔōvava
8.91	sweet potato	kumala
8.912	yam	ʔufi
8.92	tapioca, manioc, cassava	manioke
8.93	gourd	faŋufaŋu
8.931	pumpkin, squash	hina; laiki; faʔahiŋa hina ʔoku kai
8.94	bamboo	kofe
8.941	sugar cane	tō
8.96	fish poison (root)	
8.97	nettle	faka-ʔitaʔi
8.98	mushroom	
9.11	do, make	fai; faʔu; ŋaohi/ ŋaahi
9.12	work	ŋāue
9.14	bend	piko
9.15	fold	pelupelu
9.16	tie, bind	haʔi; faka-maʔu
9.161	untie	tukuaŋe; faka-homoki; vete
9.18	chain	sēini
9.19	rope, cord	afo; uaea ʔuhila; maea [lafo]; tuaine
9.192	knot (noun)	fihi; haʔi; noti
9.21	strike (hit, beat)	ta; tau; taaʔi; tukuŋāue
9.211	pound with fist	
9.22	cut	tuʔusi; hifi; hele; lavea; kosi; motuhi
9.221	cut down	tuʔusi
9.222	chop, hew	tuʔusi
9.223	stab	avaŋi; tuiʔi; mahuhu; ʔahiʔahi
9.23	knife	helepelu; hele tui; hele fufū
9.24	scissors, shears	helekosi
9.25	ax	toki; tuʔusi
9.251	adze	toki; toki maka
9.26	break	maumauʔi
9.261	broken	
9.27	split	vaeuaʔi; mafahi; fahiua; fahi
9.28	tear	hae; mahae; haeʔi
9.29	flay, skin	fufuuʔi
9.31	rub, wipe	milimili
9.32	stretch	
9.33	pull	toho; fusi
9.34	spread out	mafola; fola
9.341	hang up	tautau
9.342	press	lomi; tataʔo; lolo
9.343	squeeze, wring	faka-sisina; fotaʔi; kokoʔi; tatau
9.35	pour	huaʔi; liŋi ʔutu; faka-fonu
9.36	wash	fufulu
9.37	sweep	tafi
9.38	broom	taufale
9.422	tool	meʔaŋāue
9.43	carpenter	tufuŋa
9.44	build	
9.46	bore	vili
9.461	hollow out	avaŋoŋo; foʔi taluo
9.48	saw	kili
9.49	hammer	[hāmala]
9.5	nail	faʔo; foʔi faʔo; tukifaʔo
9.56	glue	[kulū]
9.6	smith, blacksmith	tokotaha tukiukamea
9.61	forge	tofunaŋa tukiukamea
9.62	anvil	
9.63	cast (metals)	
9.64	gold	koula; lanu koula
9.65	silver	lanu kulokula fakapoʔupoʔuli
9.66	copper, bronze	[kopa]
9.67	iron	uokamea/ uakamea; ʔaione
9.68	lead (noun)	[pulu]
9.69	tin, tinplate	kapa
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	ʔumea
9.74	glass	sioʔata; ipu sioʔata
9.75	weave, plait	fī
9.76	basket	kato
9.77	mat	fala; fala faliki; moheŋa; papa
9.771	rug	[kāpeti]; sipi kafu; koŋa [kāpeti]
9.78	netbag	
9.79	fan (noun)	
9.791	fan (vb)	tapilipili
9.81	carve	tātoŋitoŋi
9.82	sculptor	
9.83	statue	ʔimisi; maka faka-manatu mo e ʔimisi
9.84	chisel	tutuʔu
9.88	paint (noun)	vali
9.89	paint (vb)	
10.11	move	ŋaue; ʔunu
10.12	turn over	fulihi; fokihi
10.13	turn around	
10.14	wind, wrap	kofukofu/ kofu; pulupulu
10.15	roll	takai; teka
10.16	drop (vb)	faka-hifo; faka-tooki
10.17	twist	milohi
10.21	rise	hake; ʔalu ki ʔoluŋa
10.22	raise, lift	hiki
10.23	fall	
10.24	drip	toʔi
10.25	throw	lī; laku; toloŋi
10.252	catch (ball)	puke; hapo
10.26	shake	ŋalulu; tete; lulu
10.32	flow	tafe
10.33	sink	ŋoto
10.34	float	faka-tētē
10.35	swim	kakau
10.351	dive	hopo tūʔulu; uku
10.352	splash	pihi
10.36	sail (vb)	hola
10.37	fly (vb)	faka-puna; puna
10.38	blow	puhi
10.41	creep, crawl	totolo
10.412	kneel	tuʔulutui
10.413	crouch	
10.42	slide, slip	hekea; meʔa faka-paheke; hekeheke
10.43	jump, leap	puna; puna faka-laka
10.431	kick	ʔaka
10.44	dance	hulohula; faiva
10.45	walk	ʔalu; lue; maŋa; laka
10.451	limp	
10.46	run	lele
10.47	go	ʔalu; lue
10.471	go up	
10.472	climb	kaka
10.473	go down	hifo; fāhifo; hifo ki lalo
10.474	go out	
10.48	come	haʔu
10.481	come back	foki mai
10.49	go away, depart	mavahe atu; tukufolau; ʔalu mamaʔo
10.491	disappear	puli; puli vave; mole atu
10.51	flee	hola
10.52	follow	muimui
10.53	pursue	tulimui
10.55	reach, arrive	tau; aʔu
10.56	approach	faka-ofiofi
10.57	enter	hū
10.61	carry (bear)	toʔo; hiki; uta; fua
10.612	carry-in-hand	fua
10.613	carry-on-shoulder	hole
10.614	carry-on-head	
10.615	carry-underarm	ʔefi
10.62	bring	ʔomai ~ mai
10.63	send	ʔave
10.64	lead (vb)	taki
10.65	drive	tuli mamaʔo
10.66	ride	heka
10.67	push, shove	teke; tekeʔi ki mui
10.71	road	hala
10.72	path	kiʔi hala
10.74	bridge	halafakakavakava
10.75	carriage, wagon, cart	sāliote; fale fonoŋa (lēlue)
10.76	wheel	
10.77	axle	ʔakisela
10.78	yoke	haʔamo
10.81	ship	sitima; vaka
10.83	boat	vaka; vaka ʔaʔalo
10.831	canoe	pōpao
10.832	outrigger	
10.84	raft	lafalafa; vakavakaʔāmei
10.85	oar	fohe
10.851	paddle (noun)	fohe
10.852	row (vb)	ʔaʔalo
10.86	rudder	foheʔuli
10.87	mast	fanā
10.88	sail (noun)	lā
10.89	anchor	taula
10.91	harbor, port	taulaŋa
10.92	land (vb)	
11.11	have	
11.12	own, possess	meʔa ʔaʔata; maʔu maʔata
11.13	take	ʔave; toʔo; inu pe folo
11.14	seize, grasp	puke ʔaki e nima; puke faka-mālohi
11.15	hold	kuku; pukepuke
11.16	get, obtain	maʔu mai
11.17	keep, retain	tauhi
11.18	thing	meʔa; ha meʔa
11.21	give	ʔomai kiate au
11.22	give back	
11.24	preserve, look after	
11.25	save, rescue	faka-haofi
11.27	destroy	faka-ʔauha
11.28	harm, injure, damage	maumauʔi; faka-laveaʔi; faka-mamahiʔi
11.31	seek, look for	kumi
11.32	find	kumi; ʔilo
11.33	lose	mole; pulia
11.34	release, let go	
11.43	money	paʔaŋa
11.44	coin	silini; sēniti
11.51	rich	maʔumeʔa
11.52	poor	kau masiva
11.53	beggar	tokotaha moʔuiʔaki; ʔa e faʔa kole
11.54	avaricious, stingy	taha nima-maʔu
11.61	lend	ʔoaŋe ke ŋāueʔaki faka-taimi
11.62	borrow	kole ke ŋāueʔaki
11.63	owe	moʔua
11.64	debt	moʔua
11.65	pay (vb)	totoŋi
11.66	account, reckoning	moʔua
11.69	tax, tribute	
11.77	hire	
11.78	wages	totoŋi ŋāue; vāheŋa
11.79	earn	ŋāueʔi
11.81	buy	faka-tau
11.82	sell	faka-tau atu
11.83	trade, barter	fetoŋi koloa
11.84	merchant	tokotaha pisinisi koloa; tauhikoloa
11.85	market (place)	[māketi]
