entry_id	trans_english	Chadong_Phonemic
1.852	burn (vb intrans)	tjem.3 wi.1
1.86	light, kindle, ignite	lap.8 wi.1
1.861	extinguish	sha:i.2(6) la:i.2 fo.1
1.87	match (noun)	lət.7
1.88	firewood	tha:n.4
1.89	charcoal	lən.1
2.1	person, human being	ti.2 pa:n.1
2.21	man (vs. woman)	ti.2 pi:k.7
2.22	woman	ti.2 pa:n.1; na:m.2
2.23	male	ti.2 pi:k.7; niu.4
2.24	female	no.4 ni.6
2.25	boy	lak.8 hau.2 seŋ.1
2.251	young man (adolescent)	lak.8 pi:k.7
2.26	girl	ku.4 nja:ŋ.1
2.261	young woman (adolescent)	lak.8 lən.3(1) ti.4
2.27	child	lak.8 lən.3(1) teŋ.4
2.28	infant, baby	pa:n.1
2.31	husband	ma:i.4
2.32	wife	kjet.8 fan.1
2.33	marry	fan.1 jin.1
2.34	marriage, wedding	li.2 fan.1
2.341	divorce	ti.1
2.35	father	ni.4
2.36	mother	ti.1 ni.4
2.37	parents	la:k.8
2.38	married man	la:k.8 pi:k.7
2.39	married woman	lən.4(1) ti.4; hau.2 tai.6
2.41	son	fa:i.4 nuŋ.4
2.42	daughter	fa:i.4; ko.4 ko.6
2.43	offspring (son or daughter)	nuŋ.4
2.44	brother	ta:i.6 mai.4
2.444	older brother	ta:i.6
2.445	younger brother	mai.4
2.45	sister	fa:i.4 nuŋ.4 ta:i.6 mai.4
2.454	older sister	soŋ.4(1) pa:u.4 tai.1
2.455	younger sister	koŋ.1
2.456	sibling	kə.2 la:u.4 cü.3
2.458	twins	puə.2
2.46	grandfather	pə.2 la:u.4 cü.3
2.461	old man	kha:n.1
2.47	grandmother	lak.8 pi:k.7 kha:n.1
2.471	old woman	sok.7; pa.5; kjau.4
2.48	grandson	ta:i.2 kjau.4
2.49	granddaughter	pa.5
2.51	uncle	sam.3; a.4 ji.2; ku.1
2.511	mother's brother	ta:i.2 ji.2
2.512	father's brother	ćam.1
2.52	aunt	cat.8 ńi.2
2.521	mother's sister	cat.8 niu.4
2.522	father's sister	pia:u.4 ko.1 nuŋ.4; pia:u.4 ta:i.6pia:u.4 mai.4
2.53	nephew	cu.4 kuŋ.1
2.54	niece	hau.2 tai.6
2.55	cousin	mu:i.3 ka.1 ti.1
2.56	ancestors	cü.4 jan.2 kuŋ.1
2.57	descendants	mu:i.3 ka.1 ni.4
2.61	father-in-law (of a man)	ka.2(1) puə.2
2.611	father-in-law (of a woman)	lak.8 za:u.4
2.62	mother-in-law (of a man)	lak.8 za:u.4
2.621	mother-in-law (of a woman)	lhje.3
2.63	son-in-law (of a man)	lhje.3
2.631	son-in-law (of a woman)	ci.4 je.1
2.64	daughter-in-law (of a man)	ci.4 ni.4
2.641	daughter-in-law (of a woman)	ki.4(6) ńi.2
2.71	stepfather	ki.4(6) niu.4
2.72	stepmother	ku.4 hon.4 shai.3
2.73	stepson	ku.4 hon.4 puə.2
2.74	stepdaughter	ku.4 hon.4 kuŋ.1
2.75	orphan	shan.4(1) shi:k.7
2.76	widow	la:u.4 hja:n.1
2.77	widower	je.2
2.81	relatives, kinsmen	ńi.2
2.82	family	mən.2
2.91	I	lje.1
2.92	you (singular)	la:u.1
2.93	he/she/it	la:u.1 hja.1 ai.1
2.94	we	śe.1
2.941	we (inclusive)	śe.1 hja.1 ai.1
2.942	we (exclusive)	tje.1
2.95	you (plural)	ja.3 shok.7; ja.3 na:n.4
2.96	they	tak.8
3.11	animal	ni.4
3.12	male (adj)	chok.7 seŋ.1
3.13	female (adj)	lhaŋ.1 po.4 lən.1
3.15	livestock	ma.4 la:n.2
3.16	pasture	chok.7 seŋ.1
3.18	herdsman	tak.8 po.4
3.19	stable, stall	po.4
3.2	cattle (bovine)	ni.4 po.4
3.21	bull	lak.8 po.4
3.22	ox	kwi.2
3.23	cow	ji:ŋ.2; zö.2
3.24	calf	zö.2 tak.8
3.25	sheep	zö.2 ni.4
3.26	ram	tak.8 mhu.5
3.28	ewe	ni.4 mhu.5
3.29	lamb	mhu.5
3.32	boar	sa:n.2 zö.2
3.34	sow	sa:n.2 ji:ŋ.2 tak.8
3.35	pig	sa:n.2 ji:ŋ.2 she.6
3.36	goat	ma.4
3.37	he-goat	ma.4 tak.8
3.38	kid	ni.4 ma.4
3.41	horse (equine)	lak.8 ma.4 tak.8; lak.8 ma.4 ni.4
3.42	stallion	lü.2
3.44	mare	lo.2; ma.4 lo.2
3.45	foal, colt	cja.4 cin.4
3.46	ass, donkey	tak.8 ka:i.5
3.47	mule	ni.4 ka:i.5
3.5	fowl	ka:i.5
3.52	cock, rooster	ŋa:n.6
3.54	hen	ep.7
3.55	chicken	khuə.1
3.56	goose	ńok.8
3.57	duck	lu.2(6) zuə.2
3.58	nest	lo.4 jiu.6
3.581	bird	ni.4 pa.4
3.582	seagull	fai.4 sü.3
3.583	heron	jin.4 wu.3
3.584	eagle	lo.4 a.1
3.585	hawk	pja:n.4 ci.6
3.586	vulture	kok.8 shai.3
3.591	bat	om.5 jam.1
3.592	parrot	ńok.8 i:n.5
3.593	crow	khuŋ.1 cho.2
3.594	dove	ja.3 ka:i.5
3.596	owl	mha.1
3.61	dog	thu.5
3.614	rabbit	ljen.4 kja:p.7
3.62	cat	pa:u.5
3.622	opossum	tak.8 məm.4
3.63	mouse, rat	meu.4
3.65	fish	ja.3 meu.4
3.652	fin (dorsal)	ni.4 no.3
3.653	fishscale	məm.6
3.654	gill	məm.6 ci.5
3.655	shell	məm.6 kin.5
3.661	shark	məm.6 hjep.7
3.662	porpoise, dolphin	lo.4 pu.2 hak.7
3.663	whale	ni.4 ćai.6
3.664	stingray	ni.4 hü.1; ni.4 nha:ŋ.5
3.665	freshwater eel	ne.2 hjen.6
3.71	wolf	ca:i.4 loŋ.2
3.72	lion	sa.4 shai.3
3.73	bear	juŋ.2
3.74	fox	ja.3 kau.3
3.75	deer	nho.3 hwa.1
3.76	monkey	fai.4 sü.3
3.77	elephant	cian.4 cü.1
3.78	camel	sü.4(3) cha:t.7
3.81	insect	sa:n.4 pa.1
3.811	louse	ja.3 kwi.2
3.812	nit (louse egg)	ma.4 ljeu.2
3.813	flea	shi:ŋ.4
3.814	centipede	shi:ŋ.4 ŋa.2
3.815	scorpion	luo.3 tho.4
3.816	cockroach	ni.4 ta.1
3.817	ant	ni.4 nan.2; ni.4 nan.2
3.818	spider	ni.4 nan.2 ćai.6
3.819	spider web	ni.4 mat.7
3.82	bee	lu.4 kuŋ.4 cuŋ.3
3.821	beeswax	ti.4 ńau.2
3.822	beehive	sho.4 ka:p.7
3.823	wasp	ni.4 mət.8
3.83	fly	tak.8 məm.4
3.831	sandfly (midge), gnat	tak.8 məm.4 pja.1
3.832	mosquito	mit.8
3.84	worm	mit.8 la:p.7
3.85	snake	mit.8 khuə.1
3.91	firefly	ma.0 fuŋ.1; wu:ŋ.2 fuŋ.1
3.92	butterfly	pek.7 ńi.4
3.93	grasshopper	ni.4 njuŋ.4
3.94	snail	ni.4 ta.1 ńe.6
3.95	frog	mok.8 ńa:k.7
3.96	lizard	mo.2 tu.6
3.97	crocodile, alligator	ni.4 nun.1
3.98	turtle	ni.4 nun.1
4.11	body	ko.2 ci.6 ca.4
4.12	skin, hide	sho.4 će.1
4.13	flesh	ni.4 piŋ.1 nam.3
4.14	hair (head)	ni.4 piŋ.1 khiu.5
4.142	beard	zü.2
4.144	body hair	zü.2 lək.8
4.145	pubic hair	niŋ.4 niŋ.3
4.146	dandruff	ni.4 pa.4
4.15	blood	ni.4 kuŋ.2
4.151	vein, artery	khü.3
4.16	bone	kəp.7; ni.4 kwai.3
4.162	rib	kwi.1
4.17	horn	lən.2
4.18	tail	pi.2
4.19	back	na:n.4
4.191	spine	ćo.3 pjam.1
4.2	head	nu:t.8
4.201	side of head, temple	sə.4(1) nun.5
4.202	skull	jim.2 mo.2
4.203	brain	ćo.3 la:i.1
4.204	face	wən.5
4.205	forehead	phja:t.7
4.207	jaw	mek.8
4.208	cheek	kin.1
4.209	chin	kut.7
4.21	eye	kut.7 ŋwi.2
4.212	eyebrow	kut.7 ci.1 phəŋ.1
4.213	eyelid	ŋa:u.1
4.214	eyelash	shət.7
4.215	blink	ta.4 la:i.1
4.22	ear	ta.4 la:i.1 kut.7
4.221	earlobe	ćo.3
4.222	earwax	ni.4 fai.6 hjep.8
4.23	nose	ćo.3 lu.2
4.231	nostril	ćo.3 no.3
4.232	mucus (nasal)	na.3
4.24	mouth	na.3 pja:k.7
4.241	beak	ŋjai.6; sa:i.4 pa.3
4.25	lip	ŋjai.6
4.26	tongue	ha.4 pa.2
4.27	tooth	la.1
4.271	gums	la.1 sən.1
4.272	molartooth	la.1 pi.2
4.28	neck	ńa.2 la.1 sən.1
4.281	nape of neck	ca:p.7 la.1; la.1 ca:p.7
4.29	throat	pe.4 khja.1
4.3	shoulder	pe.4 khja.1 tü.6
4.301	shoulderblade	pe.4 khja.1 će.4
4.302	collarbone	naŋ.1
4.31	arm	naŋ.4(1) cəm.2
4.312	armpit	mok.8
4.32	elbow	pa:k.7
4.321	wrist	ńok.8 pa:k.7
4.33	hand	pa:k.7 pi.2
4.331	palm of hand	ma.2
4.34	finger	ŋa.2 chi.3
4.342	thumb	shi:ŋ.4 ŋa.2; ŋa.2 ńan.2
4.344	fingernail	ta:i.4(2) ŋa.2
4.345	claw	wan.1
4.35	leg	ńi:ŋ.4 cə.4 tap.7
4.351	thigh	hau.2 luŋ.1
4.352	calf of leg	ćo.4 ha.1
4.36	knee	ha:n.2 ca:u.2 kut.7
4.37	foot	shö.4 kut.7
4.371	ankle	paŋ.3(4) mi.1
4.372	heel	kha.4 la:k.7
4.374	footprint	mhi.1 cau.3
4.38	toe	mhi.1 wan.1
4.392	wing	mi.1
4.393	feather	pa.4 ci:ŋ.3
4.4	chest	lak.8 mhi.1
4.41	breast (of woman)	ćo.3 ni.4 mhi.1
4.412	nipple, teat	mhi.1 kai.6
4.42	udder	ca:u.3
4.43	navel	tin.4(1) kwa.1
4.44	heart	tin.1
4.441	lung	luŋ.2 kit.8
4.45	liver	ćo.3 ko.6
4.451	kidney	tin.1
4.452	spleen	lo.3 shai.3 kut.7
4.46	stomach	chuŋ.4 ceŋ.1
4.461	intestines, guts	tin.1 jin.6
4.462	waist	lak.8 tin.4(1) ćo.3
4.463	hip	hwa.5
4.464	buttocks	sən.1
4.47	womb	na.3 tak.7
4.49	testicle	pu.6
4.492	penis	pu.6 pa:k.7; pu.6 ćo.3
4.51	breathe, breath	cəm.2 lö.2
4.52	yawn, gape	sham.4 tau.2
4.521	hiccough	fe.6
4.53	cough	tap.7
4.54	sneeze	jeu.4(1) sək.8
4.55	perspire	ma.0 luŋ.2 kon.1
4.56	spit	lo.6
4.57	vomit	tu.2(6) na:ŋ.4
4.58	bite	luŋ.2
4.59	lick	sha:i.3
4.591	dribble	jeu.1
4.61	sleep	təŋ.2 kəm.4
4.612	snore	suŋ.3 pha:i.3
4.62	dream	sun.3 pha:i.3 cam.2
4.63	wake up	fa:ŋ.2 la.2 tai.6
4.64	break wind	lu:n.4 wan.4
4.65	urinate	ku.4 ni.6
4.66	defecate	ku.4 ci.4(6) cam.2
4.67	have sexual intercourse	thjeu.1 chi.6
4.68	shiver	ŋa.4 pa:k.7
4.69	bathe	ta.4 chak.7 ak.7
4.71	beget (of father)	khö.1
4.72	born (to be)	ta.4 chiu.1
4.73	pregnant	uk.7 wan.4
4.732	conceive	pa:k.7 jü.1; ta:m.2 / ta:ŋ.2
4.74	live, living, life	phö.3 ta:ŋ.2
4.75	die, dead	lök.7
4.751	drowned	ćit.8
4.76	kill	thjan.1 uk.7 ma.2
4.77	corpse	lja:m.5
4.78	bury (the dead)	liu.2(6) pa:k.7 jü.1
4.79	grave, tomb	nhjak.7
4.81	strong, mighty, powerful	che.3 lu.2
4.82	weak	moŋ.6
4.83	well, health	shəŋ.3 taŋ.2
4.84	sick, sickness	chəŋ.4 shəŋ.3
4.841	fever	pe.4 tət.7
4.842	goiter	njeu.5; pe.4 njeu.5
4.843	cold (catarrh)	pe.4 će.4
4.85	wound, sore	fe.4 tu.2 na.4
4.852	bruise	luk.7 lən.2
4.853	swelling	sha:ŋ.4
4.854	itch	uk.7 seŋ.1
4.855	blister	fa.2 lən.2(4) ti.4
4.856	boil (noun)	tai.2 lən.1
4.857	pus	hua:i.2 tai.1
4.858	scar	ćhu.3
4.86	cure, heal	tai.1
4.87	physician	a:m.1 tai.1
4.88	medicine, drug	ha.3
4.89	poison	si.1
4.91	tired, weary	mhok.7
4.912	rest	fən.2
4.92	lazy	me.2 łək.8
4.93	bald	ne.4 jok.8
4.94	lame	cien.6 kha:ŋ.4
4.95	deaf	peŋ.6
4.96	mute	fa:t.7 ta:u.3
4.97	blind	wan.3 pjeu.3
4.98	intoxicated	fa:t.7 nho.1
4.99	naked, bare	te.3
5.11	eat	śi:ŋ.4 toŋ.6; śi:ŋ.4 khau.3
5.12	food	au.3
5.121	cooked	fok.7
5.122	raw	fok.7 lək.8; lum.1
5.123	ripe	sü.3 pha:u.5
5.124	green, unripe	kjit.7
5.125	rotten	njuŋ.2
5.13	drink	pa.1
5.14	hunger	cəŋ.3 nən.2; nən.2 pa.2
5.141	famine	ji.4 seŋ.1
5.15	thirst	za.2
5.16	suck	tok.8 za.2
5.18	chew	lha:ŋ.5 tok.8
5.181	swallow	ne.5
5.19	choke	hjet.7
5.21	cook	la:n.4
5.22	boil (vb)	ćo.3 pu:ŋ.1
5.23	roast, fry	tin.4 (1) khwa:i.3
5.24	bake	lak.8
5.25	oven	a.3
5.26	pot, cooking vessel	muŋ.1
5.27	kettle	mhe.1
5.28	pan	taŋ.6 shiu.3
5.31	dish	cə.1
5.32	plate	cə.1 ti.4 fat.8 kjen.4
5.33	bowl	sok.8
5.34	pitcher, jug	ljep.8
5.35	cup, drinking vessel	sok.8; ma:n.3 pa.2
5.36	saucer	hiu.1
5.37	spoon	map.7
5.38	knife	su:k.7
5.39	fork	ji:k.7
5.391	tongs	ji:k.7
5.41	meal (a)	kha:t.7
5.42	breakfast	nük.7
5.43	lunch	ńa:i.5
5.44	dinner	lu:n.4
5.45	supper	lak.8
5.46	peel	tuŋ.1; ɔ.1
5.47	sieve, strain	ɔ.1; tuŋ.1
5.48	scrape	cha:u.3
5.49	stir, mix	hɔŋ.6
5.51	bread	lu.2
5.53	dough	ćhik.7
5.54	knead	sü.3 hu.2
5.55	meal, flour	ćhik.7
5.56	crush, grind	tjep.8
5.57	mill	pu:n.3
5.58	mortar	u:n.3
5.59	pestle	hu.2
5.61	meat	ca:u.6
5.63	sausage	lak.8 tjep.8
5.64	soup, broth	tjeu.2 kan.1
5.65	vegetables	pja.3
5.66	bean	cha.1
5.7	potato	kjen.2 kja.2
5.71	fruit	u.4
5.712	bunch	u.4 hjat.7
5.75	fig	ta.4 wan.1
5.76	grape	cən.6 u.4
5.77	nut	u.4 lap.7
5.78	olive	fu:t.7
5.79	oil	sa:i.1; liu.6
5.791	grease, fat	kwa:t.7
5.81	salt	kja:u.3
5.82	pepper	mian.3 pa:u.1
5.821	chili pepper	mian.3 tu:n.2
5.84	honey	wo.2 mian.6
5.85	sugar	mian.4(6) fan.3
5.86	milk (noun)	chuŋ.1
5.87	milk (vb)	nian.3
5.88	cheese	fan.6
5.89	butter	nian.3 shai.3
5.9	beverage, drink	kim.1
5.91	mead	toi.6
5.92	wine	na:n.4
5.93	beer	lo.6
5.94	fermented drink	ma.1
5.97	egg	tau.2 kak.7
5.971	egg yolk	kjeŋ.2 woŋ.2
6.11	put on (clothes)	to.2
6.12	clothing, clothes	ji:ŋ.2 chuŋ.1
6.13	tailor	tau.2 shjeu.1
6.21	cloth	ŋa.1
6.22	wool	siŋ.1
6.23	linen, flax	hu:ŋ.2 kwa.1
6.24	cotton	ke.6
6.25	silk	hu:ŋ.4 su.2
6.27	felt	sü.3 kuə.3
6.28	fur	chün.6
6.29	leather	phu.4 to.3
6.31	spin	pa:n.4 ljat.8
6.32	spindle	ka:n.3 la:n.3
6.33	weave	ju.2
6.34	loom	man.2
6.35	sew	pi.2
6.36	needle	sət.8
6.37	awl	kö.1
6.38	thread	hu.2 shjeu.1
6.39	dye	mit.8 ta:ŋ.2
6.41	cloak	ta:ŋ.2
6.411	poncho	pu.6 nham.3
6.42	woman's dress	she.3
6.43	coat	jin.3 lia:u.4
6.44	shirt	phu.4 to.3 kha:u.3
6.45	collar	pi.2 kha:u.3
6.46	skirt	ćai.5
6.461	grass-skirt	ta:n.2(6) wu:ŋ.2
6.48	trousers	tan.3
6.49	stocking, sock	kuk.7
6.51	shoe	fa:ŋ.3 hu:t.7 shjeŋ.6
6.52	boot	i.1
6.54	shoemaker, cobbler	mian.2 wa.1
6.55	hat, cap	cau.2
6.57	belt, girdle	juŋ.4
6.58	glove	pi.2
6.59	veil	lha:ŋ.4(5) sa.1
6.61	pocket	tam.3
6.62	button	pja:u.4 shö.1; kö.2 shai.3
6.63	pin	fa:ŋ.1
6.71	ornament, adornment	cham.1
6.72	jewel	lü.4 cü.1
6.73	ring (for finger)	shon.5
6.74	bracelet	ńian.2
6.75	necklace	tim.1
6.76	bead	kuk.7
6.77	earring	chəŋ.6 sa:n.4
6.78	headband, headdress	fuŋ.2(1) ləŋ.4
6.79	tattoo	kün.2
6.81	handkerchief, rag	khu.6
6.82	towel	ma:t.8
6.91	comb	ha:i.2
6.92	brush	śwe.1
6.921	braid	ha:i.2 shi:ŋ.6
6.93	razor	mo.6
6.94	ointment	jau.2 tai.6
6.95	soap	mhi.1 tho.6
6.96	mirror	kjan.1
7.11	dwell, live	tai.6
7.12	house	khau.6
7.13	hut	sü.1 po.3
7.131	garden-house	kam.1 ci.3
7.14	tent	wən.5
7.15	yard, court	wən.3(5) ljen.6
7.16	men's house	cü.2 shai.3
7.17	cookhouse	neŋ.5
7.18	meeting house	ćo.3 kjan.1
7.21	room	cam.3 lən.2
7.22	door, gate	kjan.1
7.221	doorpost, jamb	kjan.1
7.23	lock (noun)	ki.4(1) ćo.3
7.231	latch, door-bolt	ki.1
7.24	key	swa:t.7
7.25	window	pjen.1; tau.2 pjen.4
7.26	floor	the.4 to.1
7.27	wall	ńuen.1 ka:u.4
7.31	fireplace	ji:ŋ.4 kjen.3
7.32	stove	kiŋ.6
7.33	chimney	ńa:u.6
7.37	ladder	hja:n.1
7.42	bed	təŋ.2
7.421	pillow	ci:ŋ.4 puŋ.2
7.422	blanket	jin.4 ci.3
7.43	chair	cü.2 foŋ.2
7.44	table	lü.3
7.45	lamp, torch	pa:k.7 to.1; pa:k.7 to.1 lək.8
7.46	candle	pa:k.3 to.1 cü.3
7.47	shelf	shö.3 ćo.3
7.48	trough	mən.2 sa:n.1
7.51	roof	shö.3 śi.3
7.52	thatch	cua:ŋ.2 fu.2
7.53	ridgepole	ti.2 pa:n.3
7.54	rafter	seŋ.2
7.55	beam	fo.4 lu.2
7.56	post, pole	jen.4 thuŋ.1
7.57	board	lau.2 the.1
7.58	arch	ta:u.1
7.61	mason	ćo.3 nun.2
7.62	brick	tha:m.3
7.63	mortar	kja:u.3 i.3
7.64	adobe	ta:i.2
8.11	farmer	taŋ.1
8.12	field (for cultivation)	la:p.8 cok.7
8.13	garden	kja.4 shai.3
8.15	cultivate, till	sho.2
8.16	fence	hja:n.4(1) təŋ.2
8.17	ditch	kai.4(6) hja:n.4(1) təŋ.2
8.21	plow	hi.1
8.212	furrow	weŋ.2 ljeŋ.2
8.22	dig	pen.2 swen.3
8.23	spade	ljeŋ.2
8.24	shovel	mi.4 coŋ.1
8.25	hoe	pa:n.4 shai.3
8.26	fork	kuŋ.2 man.2
8.27	rake	sjet.8 shi:ŋ.6
8.31	sow	cü:n.1
8.311	seed	sa.4(1) shi:ŋ.1
8.32	mow, reap	thu.4 cü:n.1
8.33	sickle, scythe	fe.4 ja.5 lən.1
8.34	thresh	ja.5
8.35	threshing-floor	hon.6 ti.6
8.41	crop, harvest	pjan.1
8.42	grain (barley, oats etc)	keŋ.1
8.43	wheat	hja:k.7
8.44	barley	sü.3 kau.1
8.45	rye	ćhai.1; lai.6
8.46	oats	le kaŋ.1
8.47	maize, corn	kwa:t.7
8.48	rice	cha:n.3
8.51	grass	cha:n.3
8.52	hay	co.4 tau.2; co.2
8.53	plant (noun)	cha.1
8.531	plant (vb)	pa.2
8.54	root	lök.7
8.55	branch	kok.7 pən.3
8.56	leaf	kat.7
8.57	flower	ljem.4
8.6	tree	sjek.7 kok.7
8.61	oak	sjek.7 kok.8(7) ci:ŋ.3
8.62	beech	kok.7 u.4
8.63	birch	mek.8
8.64	pine	sa:m.2(1) ka:k.8 mek.8
8.65	fir	lök.7 tau.5
8.66	acorn	u.4
8.67	vine	kok.7
8.68	tobacco	u.4; će.3
8.69	smoke (tobacco)	hɔŋ.1
8.691	pipe	ńau.2 khu.1
8.72	tree stump	shok.8 shai.2
8.73	tree trunk	ćaŋ.1
8.74	forked branch	ńau.2 khu.1 hjo.1
8.75	bark	pjö.1
8.76	sap	tan.3
8.81	palm tree	mi.4 tan.3; mi.4 lən.2
8.82	coconut	mi.4 ciŋ.5
8.83	citrus fruit	hwa.5
8.84	banana tree	lun.1
8.85	banyan	hwa.1
8.91	sweet potato	mi.4
8.912	yam	pek.8 ci.2 śü.5
8.92	tapioca, manioc, cassava	mi.4 zuŋ.2
8.93	gourd	lak.8 mi.4 tuŋ.3
8.931	pumpkin, squash	taŋ.2
8.94	bamboo	jen.1
8.941	sugar cane	puk.7; jen.1
8.96	fish poison (root)	mok.8 kak.8
8.97	nettle	pin.2 loŋ.2
8.98	mushroom	mi.4 coŋ.1
9.11	do, make	mi.4 lən.2
9.12	work	mi.4 cha.6
9.14	bend	mi.4 pi.2
9.15	fold	mi.4 ljen.1; mi.4 shi:ŋ.1
9.16	tie, bind	tuŋ.4 shö.1
9.161	untie	je.4 shai.3
9.18	chain	lak.8 ka:m.1
9.19	rope, cord	moŋ.4 ko.3
9.192	knot (noun)	fa.2 la:i.6 mi.4
9.21	strike (hit, beat)	fa.2 la:i.6 shai.3
9.211	pound with fist	juŋ.2 mi.4
9.22	cut	mok.8 kwa.1
9.221	cut down	sjek.8 ljeu.2
9.222	chop, hew	mok.8 mian.2 mi.4
9.223	stab	wu:ŋ.4 su.2
9.23	knife	ji:k.7
9.24	scissors, shears	mok.8 su.3
9.25	ax	fu.2 lu.1
9.251	adze	shəŋ.4 lu.1
9.26	break	pek.8 taŋ.2
9.261	broken	nha:ŋ.1
9.27	split	fan.1
9.28	tear	kam.2 ce.6
9.29	flay, skin	tau.6
9.31	rub, wipe	pi.2 ma.2
9.32	stretch	kjan.6
9.33	pull	fe.4
9.34	spread out	fe.4 koŋ.2 fu.1
9.341	hang up	wa:n.1
9.342	press	tjep.8
9.343	squeeze, wring	ta:u.3
9.35	pour	ci.5 khai.1
9.36	wash	ljen.6
9.37	sweep	la:k.7
9.38	broom	ket.7
9.422	tool	wak.7
9.43	carpenter	wak.7
9.44	build	kat.7
9.46	bore	te.5 ćham.5
9.461	hollow out	te.5 tju.5
9.48	saw	cok.8
9.49	hammer	pja.3
9.5	nail	kja:u.4 shi:n.2
9.56	glue	tau.2 fu.3
9.6	smith, blacksmith	eu.3
9.61	forge	pjuŋ.5
9.62	anvil	mha:k.7
9.63	cast (metals)	sai.1
9.64	gold	pek.7
9.65	silver	nö.1
9.66	copper, bronze	ca.2
9.67	iron	ćan.1
9.68	lead (noun)	ka:k.7
9.69	tin, tinplate	ka:k.7 uk.7
9.71	potter	ćan.1 khai.1
9.72	mold (clay etc)	kwa.4
9.73	clay	a:p.7
9.74	glass	she.3; shüen.6 / leu.3
9.75	weave, plait	mo.1
9.76	basket	luk.7
9.77	mat	ćhet.7
9.771	rug	ćhet.7
9.78	netbag	mok.8 shi:ŋ.6
9.79	fan (noun)	fe.4
9.791	fan (vb)	cok.8 pjuŋ.6
9.81	carve	kwa:t.7
9.82	sculptor	ćö.5
9.83	statue	cü.2
9.84	chisel	təŋ.1
9.88	paint (noun)	kja:u.4 nam.3
9.89	paint (vb)	thjet.7 shi:ŋ.6
10.11	move	ljen.3(6) thjet.7
10.12	turn over	ćhik.7 kin.3
10.13	turn around	tha:u.3
10.14	wind, wrap	ćim.1
10.15	roll	ńan.2
10.16	drop (vb)	toŋ.2
10.17	twist	thjet.7
10.21	rise	juen.2
10.22	raise, lift	shek.7
10.23	fall	to.2 shi:ŋ.6
10.24	drip	fe.4 mo.4 shai.3
10.25	throw	khəm.5
10.252	catch (ball)	kin.6
10.26	shake	sha:n.1
10.32	flow	la:m.2
10.33	sink	phjeu.4 ki.1
10.34	float	shi:k.8
10.35	swim	shö.1
10.351	dive	śi:n.6
10.352	splash	śi:n.1
10.36	sail (vb)	khak.7
10.37	fly (vb)	tiu.4 shi:ŋ.6
10.38	blow	sha:k.8
10.41	creep, crawl	shat.7
10.412	kneel	seŋ.4(6) shat.7
10.413	crouch	toŋ.5
10.42	slide, slip	fa:n.1 cü:n.5
10.43	jump, leap	cü:n.5 ho.4 ćo.3
10.431	kick	pa:u.1
10.44	dance	kü:n.3
