entry_id	trans_english	Lappish_North_Saami_Phonemic
3.65	fish	guolli
3.652	fin (dorsal)	veɑksi
3.653	fishscale	čuopmɑ
3.654	gill	suovdi
3.655	shell	skalǰu
3.661	shark	ahkolɑkkis
3.662	porpoise, dolphin	nissu
3.663	whale	falis
3.664	stingray	- -
3.665	freshwater eel	- -
3.71	wolf	gumpe
3.72	lion	ledyon
3.73	bear	guovǰɑ
3.74	fox	r̃iebɑn
3.75	deer	sɑr̃vvɑ
3.76	monkey	ahppɑ
3.77	elephant	elefantɑ
3.78	camel	kamel
3.81	insect	divr̃i
3.811	louse	dihkki
3.812	nit (louse egg)	čivr̃osɑt
3.813	flea	lɑhpis
3.814	centipede	duhatyuolggɑt
3.815	scorpion	skor̃piovdnɑ
3.816	cockroach	- -
3.817	ant	gotkɑ
3.818	spider	heɑvdni
3.819	spider web	heɑvnni-fier̃bmi
3.82	bee	mieðɑšeɑtni
3.821	beeswax	- -
3.822	beehive	- -
3.823	wasp	vievssis
3.83	fly	čur̃u
3.831	sandfly (midge), gnat	muogir̃
3.832	mosquito	čuoikɑ
3.84	worm	mahtu
3.85	snake	geɑr̃pmɑš
3.91	firefly	- -
3.92	butterfly	beɑiveloddi
3.93	grasshopper	r̃asselohkku
3.94	snail	r̃iipu
3.95	frog	c̷uoppu
3.96	lizard	deɑččɑlɑkkis
3.97	crocodile, alligator	kr̃okodillɑ
3.98	turtle	gɑlbɑr̃ihc̷c̷i
4.11	body	gor̃ut
4.12	skin, hide	liiki ~ nahkki
4.13	flesh	oɑǰǰi
4.14	hair (head)	vuoktɑ
4.142	beard	seɑmu
4.144	body hair	- -
4.145	pubic hair	siehppɑ
4.146	dandruff	gɑtnɑ
4.15	blood	vɑr̃r̃ɑ
4.151	vein, artery	suotnɑ
4.16	bone	dakti
4.162	rib	er̃ttet
4.17	horn	čoɑr̃vi
4.18	tail	seɑibi
4.19	back	seɑlgi
4.191	spine	čielgi
4.2	head	oɑivi
4.201	side of head, temple	geɑðɑš
4.202	skull	oɑiveskalǰu
4.203	brain	vuoigŋɑšɑt
4.204	face	muoðut
4.205	forehead	gallu
4.207	jaw	oɑlul
4.208	cheek	muohtu
4.209	chin	gaibi
4.21	eye	čɑlbmi
4.212	eyebrow	gulbmi
4.213	eyelid	čɑlbmeluopmɑ
4.214	eyelash	r̃ɑmɑsguolgɑ
4.215	blink	r̃ɑvkit
4.22	ear	beɑllyi
4.221	earlobe	- -
4.222	earwax	beɑllyegahčči
4.23	nose	ɲunni
4.231	nostril	ɲunner̃aigi
4.232	mucus (nasal)	snuolgɑ
4.24	mouth	ɲalbmi
4.241	beak	ɲunni
4.25	lip	bɑvssɑ
4.26	tongue	ɲuovččɑ
4.27	tooth	batni
4.271	gums	ɑlgŋɑ
4.272	molartooth	mattɑtbatni
4.28	neck	čeɑbet
4.281	nape of neck	niski
4.29	throat	čottɑ
4.3	shoulder	oɑlgetbeɑlle
4.301	shoulderblade	beɑðbi
4.302	collarbone	oɑlgedakti
4.31	arm	giehtɑ
4.312	armpit	gieðɑvuolli
4.32	elbow	gɑr̃dɲil
4.321	wrist	giehtɑr̃uohtɑs
4.33	hand	giehtɑ
4.331	palm of hand	- -
4.34	finger	suor̃bmɑ
4.342	thumb	beɑlgi
4.344	fingernail	gɑd͜zd͜zɑ
4.345	claw	gɑd͜zd͜zɑ
4.35	leg	yuolgi
4.351	thigh	bɑdyevahkka
4.352	calf of leg	vahkka
4.36	knee	čibbi
4.37	foot	yuolgi
4.371	ankle	- -
4.372	heel	šušmi
4.374	footprint	luoddɑ
4.38	toe	yuolgesuor̃bmɑ
4.392	wing	soɑdya
4.393	feather	dolgi
4.4	chest	rɑddi
4.41	breast (of woman)	čiǰǰi
4.412	nipple, teat	čiǰǰeoɑivi
4.42	udder	r̃uoksi
4.43	navel	nahpi
4.44	heart	vaibmu
4.441	lung	geɑhpis
4.45	liver	vuoivvɑs
4.451	kidney	monimɑt
4.452	spleen	davdi
4.46	stomach	čoɑvyi
4.461	intestines, guts	siskiluš
4.462	waist	boɑgansɑdyi
4.463	hip	spir̃ɑl
4.464	buttocks	bɑhtɑ
4.47	womb	goɑθθu
4.49	testicle	ballu
4.492	penis	buohčɑ
4.51	breathe, breath	vuoigŋɑt; vuoigŋɑ
4.52	yawn, gape	gavɑstit
4.521	hiccough	ɲɑhkɑstit
4.53	cough	gossɑt
4.54	sneeze	gɑstit
4.55	perspire	bivɑstɑt
4.56	spit	čolgɑt
4.57	vomit	vuovssɑdit
4.58	bite	gaskit
4.59	lick	ɲoɑllut
4.591	dribble	goɑikut
4.61	sleep	oɑððit
4.612	snore	skuhr̃r̃ɑt
4.62	dream	niegɑdit
4.63	wake up	gohc̷c̷at
4.64	break wind	buoskut
4.65	urinate	goǰǰɑt
4.66	defecate	bɑikit
4.67	have sexual intercourse	ɑnɑšit
4.68	shiver	spɑr̃r̃ɑt
4.69	bathe	lavgut
4.71	beget (of father)	sɑgɑhit
4.72	born (to be)	r̃iegadit
4.73	pregnant	ahpeheɑpme
4.732	conceive	sɑhkɑnit
4.74	live, living, life	eɑllit; eɑlli; eɑllin
4.75	die, dead	yapmit; yapmɑn
4.751	drowned	heɑvvɑnɑn
4.76	kill	goddit
4.77	corpse	r̃umɑš
4.78	bury (the dead)	havdadit
4.79	grave, tomb	havdi
4.81	strong, mighty, powerful	gievr̃ɑ ~ famolɑš
4.82	weak	heɑdyu
4.83	well, health	deɑr̃vvɑš; deɑr̃vvɑšvuohtɑ
4.84	sick, sickness	buod͜zus; buohc̷u
4.841	fever	bahkkɑdavdɑ
4.842	goiter	- -
4.843	cold (catarrh)	nuor̃vu
4.85	wound, sore	havvi
4.852	bruise	- -
4.853	swelling	bohtti
4.854	itch	sɑŋaš
4.855	blister	skoɑvhli
4.856	boil (noun)	buogu
4.857	pus	siedyɑ
4.858	scar	ar̃pɑ
4.86	cure, heal	dalkut
4.87	physician	doɑvttir̃
4.88	medicine, drug	dalkkɑs
4.89	poison	mir̃ko
4.91	tired, weary	vaibbɑs
4.912	rest	vuoiŋŋɑstit
4.92	lazy	laiki
4.93	bald	balyis
4.94	lame	skier̃bma
4.95	deaf	beɑlyeheɑpme
4.96	mute	gielɑheɑpme
4.97	blind	čɑlmmeheɑpme
4.98	intoxicated	gar̃r̃emiin
4.99	naked, bare	alas
5.11	eat	bor̃r̃ɑt
5.12	food	biebmu
5.121	cooked	vuoššɑn
5.122	raw	ɲuoskkɑs
5.123	ripe	lattɑs
5.124	green, unripe	r̃uonɑs
5.125	rotten	mieskkɑs
5.13	drink	yuhkɑt
5.14	hunger	neɑlgi
5.141	famine	neɑlggiheɑhti
5.15	thirst	goiku
5.16	suck	ɲɑmmɑt
5.18	chew	suoskɑt
5.181	swallow	ɲiellɑt
5.19	choke	buvvot
5.21	cook	malestit
5.22	boil (vb)	vuoššɑt
5.23	roast, fry	bɑssit
5.24	bake	goikɑdit
5.25	oven	uvdnɑ
5.26	pot, cooking vessel	bahti
5.27	kettle	gievdni
5.28	pan	banno
5.31	dish	fahttɑ
5.32	plate	tɑlleɑr̃kɑ
5.33	bowl	gummɑ
5.34	pitcher, jug	muggɑ
5.35	cup, drinking vessel	gohppu
5.36	saucer	vuolaš
5.37	spoon	bɑste
5.38	knife	niibi
5.39	fork	gaffɑl
5.391	tongs	bɑsttɑt
5.41	meal (a)	malis
5.42	breakfast	- -
5.43	lunch	malis
5.44	dinner	- -
5.45	supper	eɑhkedɑččɑt
5.46	peel	gɑr̃r̃et
5.47	sieve, strain	sillet
5.48	scrape	fɑskut
5.49	stir, mix	sehkket
5.51	bread	laibi
5.53	dough	daigi
5.54	knead	duhppet
5.55	meal, flour	yaffu
5.56	crush, grind	millet
5.57	mill	millu
5.58	mortar	- -
5.59	pestle	- -
5.61	meat	bier̃gu
5.63	sausage	mar̃fi
5.64	soup, broth	malli
5.65	vegetables	šɑddot
5.66	bean	bahpu
5.7	potato	buðet
5.71	fruit	šɑddu
5.712	bunch	gihppu
5.75	fig	fiikon
5.76	grape	viidnemuor̃yi
5.77	nut	niehtti
5.78	olive	oliivɑ
5.79	oil	olyu
5.791	grease, fat	buoidi
5.81	salt	salti
5.82	pepper	bihpɑr̃
5.821	chili pepper	čilelɑš bihpɑr̃
5.84	honey	honnet
5.85	sugar	sohkɑr̃
5.86	milk (noun)	mielki
5.87	milk (vb)	bohčit
5.88	cheese	vuosta
5.89	butter	vuodyɑ
5.9	beverage, drink	yugus
5.91	mead	miehtɑyuhkɑmuš
5.92	wine	viidnɑ
5.93	beer	vuolɑ
5.94	fermented drink	r̃uovttuvuolɑ
5.97	egg	monni
5.971	egg yolk	monnefiskɑdɑs
6.11	put on (clothes)	gar̃vodit
6.12	clothing, clothes	gar̃vu ~ suoyit
6.13	tailor	bivttɑsgoɑr̃r̃u
6.21	cloth	laðði
6.22	wool	ullu
6.23	linen, flax	liidni; beɑllemɑs
6.24	cotton	bummol
6.25	silk	silki
6.27	felt	filte
6.28	fur	nahkki
6.29	leather	nahkki
6.31	spin	botnit
6.32	spindle	- -
6.33	weave	goððit
6.34	loom	stovlɑ
6.35	sew	goɑr̃r̃ut
6.36	needle	nallu
6.37	awl	soɑiru
6.38	thread	laigi
6.39	dye	baidnit
6.41	cloak	- -
6.411	poncho	luhkkɑ
6.42	woman's dress	čuvlɑ
6.43	coat	yahkkɑ
6.44	shirt	baidi
6.45	collar	čeɑbet
6.46	skirt	vuolpu
6.461	grass-skirt	- -
6.48	trousers	buvssɑt
6.49	stocking, sock	suohkku
6.51	shoe	gamɑ
6.52	boot	stevvel
6.54	shoemaker, cobbler	suvddar̃
6.55	hat, cap	hahttɑ; gɑhpir̃
6.57	belt, girdle	boɑgan
6.58	glove	r̃ɑhpot
6.59	veil	suokkɑ
6.61	pocket	lummɑ
6.62	button	boɑllu
6.63	pin	r̃ievdnu
6.71	ornament, adornment	heɑr̃vɑ
6.72	jewel	heɑr̃vɑgeɑðgi
6.73	ring (for finger)	suor̃pmɑs
6.74	bracelet	giehtɑr̃iekkis
6.75	necklace	čeɑbetviðyi
6.76	bead	beɑr̃ɑl
6.77	earring	beɑllyer̃iekkis
6.78	headband, headdress	gallobaddi
6.79	tattoo	- -
6.81	handkerchief, rag	ɲunneliidni; libɑr̃ ~ lihpad͜zɑs
6.82	towel	sihkɑldɑt
6.91	comb	čohkun
6.92	brush	gustɑ
6.921	braid	bar̃gidit
6.93	razor	rahkenniibi
6.94	ointment	vuoiddɑs
6.95	soap	saibu
6.96	mirror	speɑdyɑl
7.11	dwell, live	or̃r̃ut; assɑt
7.12	house	viessu
7.13	hut	stohpu
7.131	garden-house	- -
7.14	tent	teɑlta
7.15	yard, court	šillyu
7.16	men's house	- -
7.17	cookhouse	- -
7.18	meeting house	- -
7.21	room	lɑtɲɑ
7.22	door, gate	uksɑ
7.221	doorpost, jamb	uksɑbeɑlis
7.23	lock (noun)	lassɑ
7.231	latch, door-bolt	liŋka
7.24	key	čoɑvddɑ
7.25	window	lase
7.26	floor	lahtti
7.27	wall	seɑidni
7.31	fireplace	biise
7.32	stove	oɑmɑ
7.33	chimney	suovvɑbohc̷c̷i
7.37	ladder	raidɑlɑs
7.42	bed	seɑŋgɑ
7.421	pillow	bolsttɑr̃
7.422	blanket	- -
7.43	chair	stuollu
7.44	table	beɑvdi
7.45	lamp, torch	lampa; spaiddɑr̃
7.46	candle	ginttɑl
7.47	shelf	hildu
7.48	trough	gar̃r̃i
7.51	roof	dahkki
7.52	thatch	oɑlgɑ
7.53	ridgepole	har̃yehir̃sɑ
7.54	rafter	bielkɑ
7.55	beam	- -
7.56	post, pole	čuoldɑ
7.57	board	lavdi
7.58	arch	geɑvli
7.61	mason	muvr̃ar̃
7.62	brick	diilɑ
7.63	mortar	- -
7.64	adobe	- -
8.11	farmer	bondde
8.12	field (for cultivation)	beɑldu
8.13	garden	šɑddogar̃di
8.15	cultivate, till	šɑddɑdit
8.16	fence	aidi
8.17	ditch	goivvohɑt
8.21	plow	veltet
8.212	furrow	- -
8.22	dig	goɑivut
8.23	spade	goɑivu
8.24	shovel	goɑivu
8.25	hoe	guohkki
8.26	fork	haŋgu
8.27	rake	har̃at
8.31	sow	gilvit
8.311	seed	siepmɑn
8.32	mow, reap	laddyet
8.33	sickle, scythe	sir̃pe
8.34	thresh	gor̃dnet
8.35	threshing-floor	- -
8.41	crop, harvest	šɑddu
8.42	grain (barley, oats etc)	gor̃dni
8.43	wheat	nisu
8.44	barley	bivgi
8.45	rye	r̃ogɑš
8.46	oats	havvɑr̃
8.47	maize, corn	maisɑ
8.48	rice	r̃issi
8.51	grass	r̃assi
8.52	hay	suoidni
8.53	plant (noun)	šɑddu
8.531	plant (vb)	bidyɑt
8.54	root	r̃uohtɑs
8.55	branch	oɑksi
8.56	leaf	lɑstɑ
8.57	flower	lieðði
8.6	tree	muor̃r̃ɑ
8.61	oak	eɑikɑ
8.62	beech	beɑikɑ
8.63	birch	soɑhki
8.64	pine	beɑhc̷i
8.65	fir	guossɑ
8.66	acorn	- -
8.67	vine	viidnigoɑkc̷u
8.68	tobacco	duhpat
8.69	smoke (tobacco)	bor̃gguhit
8.691	pipe	biipu
8.72	tree stump	yɑlŋŋis
8.73	tree trunk	gɑldɑ
8.74	forked branch	oɑksi
8.75	bark	gɑr̃r̃ɑ
8.76	sap	maihli
8.81	palm tree	balbmɑ
8.82	coconut	kohkosnietti
8.83	citrus fruit	- -
8.84	banana tree	bɑnanɑ muor̃r̃ɑ
8.85	banyan	- -
8.91	sweet potato	- -
8.912	yam	- -
8.92	tapioca, manioc, cassava	- -
8.93	gourd	- -
8.931	pumpkin, squash	gur̃bbet
8.94	bamboo	bambu
8.941	sugar cane	sohkɑr̃bohc̷c̷i
8.96	fish poison (root)	- -
8.97	nettle	boɑldalɑs
8.98	mushroom	guoppɑr̃
9.11	do, make	dɑhkɑt
9.12	work	bɑr̃gɑt
9.14	bend	soyɑhit
9.15	fold	mahc̷c̷ɑstit
9.16	tie, bind	čɑtnɑt
9.161	untie	čoɑvdit
9.18	chain	r̃iggi
9.19	rope, cord	baddi
9.192	knot (noun)	čuolbmɑ
9.21	strike (hit, beat)	huškut
9.211	pound with fist	čor̃bmɑdit
9.22	cut	čuohppɑt
9.221	cut down	ɲaskɑt
9.222	chop, hew	čuollɑt
9.223	stab	r̃uovdadit
9.23	knife	niibi
9.24	scissors, shears	skar̃r̃it
9.25	ax	akšu
9.251	adze	- -
9.26	break	doɑdyit
9.261	broken	doɑdyan
9.27	split	luoddut
9.28	tear	gɑikut
9.29	flay, skin	ɲuovvɑt
9.31	rub, wipe	r̃uvvet
9.32	stretch	fɑnɑhit
9.33	pull	geɑssit
9.34	spread out	biðget
9.341	hang up	heŋget
9.342	press	deɑddit
9.343	squeeze, wring	botɲɑt
9.35	pour	leɑikut
9.36	wash	bɑssɑt
9.37	sweep	luvdet
9.38	broom	luvda
9.422	tool	bɑr̃gobier̃ggɑs
9.43	carpenter	snihkkar̃
9.44	build	hukset ~ r̃ahkɑdit
9.46	bore	bohkɑt
9.461	hollow out	gohpɑt
9.48	saw	sɑha
9.49	hammer	veɑhčir̃
9.5	nail	navli
9.56	glue	liibmɑ
9.6	smith, blacksmith	r̃avdi
9.61	forge	deɑr̃pɑt
9.62	anvil	stɑðði
9.63	cast (metals)	leiket
9.64	gold	golli
9.65	silver	silbɑ
9.66	copper, bronze	giipar̃; br̃onsɑ
9.67	iron	r̃uovdi
9.68	lead (noun)	lɑdyu
9.69	tin, tinplate	dɑtni
9.71	potter	lairelihttedɑhkki
9.72	mold (clay etc)	habmet
9.73	clay	lairi
9.74	glass	lase
9.75	weave, plait	botnit
9.76	basket	gor̃e
9.77	mat	r̃atnu
9.771	rug	r̃atnu
9.78	netbag	- -
9.79	fan (noun)	yielɑn
9.791	fan (vb)	biekkɑhit
9.81	carve	c̷ahpɑt
9.82	sculptor	govvɑčuolli
9.83	statue	govvɑbad͜zd͜zi
9.84	chisel	- -
9.88	paint (noun)	baidnu
9.89	paint (vb)	malet
10.11	move	lihkɑhit
10.12	turn over	yor̃gɑlit
10.13	turn around	yor̃ggihit
10.14	wind, wrap	giessɑt
10.15	roll	fier̃ɑt ~ fier̃ɑhit
10.16	drop (vb)	gɑhčɑhit
10.17	twist	botɲɑt
10.21	rise	loktɑt
10.22	raise, lift	loktet
10.23	fall	gɑhččɑt
10.24	drip	goɑikut
10.25	throw	balkestit
10.252	catch (ball)	bivdit
10.26	shake	šluvgit
10.32	flow	golgɑt
10.33	sink	vuodyut
10.34	float	r̃ievdɑt
10.35	swim	vuodyɑt
10.351	dive	buokčɑt
10.352	splash	stuhčɑt
10.36	sail (vb)	bor̃yyɑstit
10.37	fly (vb)	gir̃dit
10.38	blow	bieggɑt
10.41	creep, crawl	ɲoɑmmut; beɑhkit
10.412	kneel	čippostɑllɑt
10.413	crouch	čegŋedit
10.42	slide, slip	čeɑssɑt
10.43	jump, leap	ɲuiket
10.431	kick	čiekčɑt
10.44	dance	dansut
10.45	walk	vad͜zd͜zit
10.451	limp	skier̃bmut
10.46	run	viehkɑt
10.47	go	mɑnnɑt
10.471	go up	mɑnnɑt ɑlɑs
10.472	climb	goɑr̃gŋut
10.473	go down	mɑnnɑt vulos
10.474	go out	mɑnnɑt olggos
10.48	come	boɑhtit
10.481	come back	mahc̷c̷ɑt
10.49	go away, depart	vuolgit
10.491	disappear	yavkɑt
10.51	flee	bahtɑr̃it
10.52	follow	čuovvut
10.53	pursue	doɑr̃r̃idit
10.55	reach, arrive	yoɑvdɑt
10.56	approach	lɑhkɑnit
10.57	enter	- -
10.61	carry (bear)	guoddit
10.612	carry-in-hand	guoddit
10.613	carry-on-shoulder	gur̃put
10.614	carry-on-head	guoddit
10.615	carry-underarm	guoddit
10.62	bring	buktit
10.63	send	saddet
10.64	lead (vb)	yoðihit
10.65	drive	vuoyihit
10.66	ride	riidet
10.67	push, shove	sahčɑt
10.71	road	geɑidnu
10.72	path	balggis
10.74	bridge	šɑldi
10.75	carriage, wagon, cart	skeɑr̃r̃ut; vovdnɑ
10.76	wheel	yuvlɑ
10.77	axle	aksil
10.78	yoke	- -
10.81	ship	dampɑ
10.83	boat	fɑnɑs
10.831	canoe	kanohtɑ
10.832	outrigger	- -
10.84	raft	lɑhttɑ
10.85	oar	airu
10.851	paddle (noun)	meɑlli
10.852	row (vb)	suhkɑt
10.86	rudder	stivr̃ɑ
10.87	mast	stivli
10.88	sail (noun)	bor̃yyɑs
10.89	anchor	aŋkor̃
10.91	harbor, port	hammɑn
10.92	land (vb)	seɑivut
11.11	have	leɑt
11.12	own, possess	oɑmɑstit
11.13	take	valdit
11.14	seize, grasp	dohppet
11.15	hold	doɑllɑt
11.16	get, obtain	oɑǰǰut
11.17	keep, retain	seɑilluhit
11.18	thing	oɑpmi; diŋgɑ
11.21	give	ɑddit
11.22	give back	mahc̷ɑhit
11.24	preserve, look after	seɑiludit
11.25	save, rescue	beɑstit
11.27	destroy	duššɑdit
11.28	harm, injure, damage	vɑhagɑhttit
11.31	seek, look for	ohc̷ɑt
11.32	find	gavdnɑt
11.33	lose	lahppit
11.34	release, let go	luoitit
11.43	money	r̃uhtɑ
11.44	coin	mintɑ
11.51	rich	r̃ikkis
11.52	poor	geɑffi
11.53	beggar	geɑr̃yideɑddyi
11.54	avaricious, stingy	hanis
11.61	lend	luoikɑt
11.62	borrow	luoikkɑhit
11.63	owe	leɑt velggolɑš
11.64	debt	veɑlgi
11.65	pay (vb)	maksit
11.66	account, reckoning	r̃ehket
11.69	tax, tribute	maksu
11.77	hire	balkahit
11.78	wages	balka
11.79	earn	dinet
11.81	buy	oɑstit
11.82	sell	vuovdit
11.83	trade, barter	gavppɑšit
11.84	merchant	gavpeyɑs
11.85	market (place)	toɑr̃gɑ
11.86	store, shop	gavpi
11.87	price	hɑddi
11.88	dear (costly, expensive)	divr̃r̃ɑs
11.89	cheap	halbi
11.91	share (distribute)	yuohkit
11.92	weigh	vihkket
12.1	after	mɑŋŋa
12.11	behind	duohkin
12.2	beside	balddɑs
12.3	down, below	vuollin
12.4	before	ovdɑl
12.41	front	ovddɑbeɑlde
12.5	inside, in	siste
12.6	outside	olgun
12.7	under	vuolde
12.8	up, above	ɑlde
12.11	place	sɑdyi
12.12	put	bidyɑt
12.13	sit	čohkkat
12.14	lie down	veɑllat
12.15	stand	čuoǰǰut
12.16	remain, stay	bahc̷it
12.17	remains, left overs	bad͜zɑhɑs
12.21	collect, gather	čoɑggit
12.212	pick up	čoɑkkɑšit
12.213	pile up	guhppet
12.22	join, unite	ovttɑstɑhttit
12.23	separate	eɑr̃uhit
12.232	divide	yuohkit
12.24	open	rɑbɑstit
12.25	shut, close	giddet
12.26	cover	gokčɑt
12.27	hide, conceal	čiehkɑt
12.31	high	ɑllɑt
12.32	low	vuollegɑš
12.33	top	čohkkɑ
12.34	bottom	bodni
