entry_id	trans_english	Goajiro_Phonemic
4.191	spine	ta-sapɨ-ipɨ-se
4.2	head	te-kii (~ ta-kii)
4.201	side of head, temple	
4.202	skull	
4.203	brain	te-kii-šoľoin
4.204	face	to-ʔu-pɨnaa
4.205	forehead	te-ʔipoʔu
4.207	jaw	ta-waľa-ipɨ-se
4.208	cheek	ta-waľa-paʔa
4.209	chin	ta-ľiaise
4.21	eye	to-ʔu (~ ta-ʔu)
4.212	eyebrow	ta-ľamaľo-ʔu
4.213	eyelid	hɨ-ta to-ʔu
4.214	eyelash	ta-r̃ɨľɨ
4.215	blink	a-čimi-r̃a-a o-ʔu (~ a-čimi-ľa-a)
4.22	ear	ta-čeʔe
4.221	earlobe	hɨ-kačer̃a ta-čeʔe
4.222	earwax	hɨ-hɨ ta-čeʔe
4.23	nose	te-ʔiči
4.231	nostril	te-ʔiči-r̃uʔu (~ ta-ʔiči-ľuʔu)
4.232	mucus (nasal)	ta-šunuľa
4.24	mouth	ta-anɨkɨ
4.241	beak	hi-ʔiči (~ hɨ-ʔiči)
4.25	lip	te-imata (~ ta-imata)
4.26	tongue	ta-yee
4.27	tooth	ta-i (~ ta-ľi)
4.271	gums	hi-ʔir̃uku ta-i
4.272	molartooth	
4.28	neck	ta-nuľu
4.281	nape of neck	ta-nut-paʔa (~ ta-nuľu-paʔa)
4.29	throat	ta-mɨľa
4.3	shoulder	ta-tɨna-kii
4.301	shoulderblade	ta-ľepia (~ ta-ľepɨ-ya)
4.302	collarbone	ta-ľuma-se
4.31	arm	ta-tɨna
4.312	armpit	ta-tɨna-ľuʔu
4.32	elbow	ta-sataľa
4.321	wrist	ta-hapɨ-kii
4.33	hand	ta-hapɨ
4.331	palm of hand	ta-haa-paʔa
4.34	finger	ta-hapi-r̃a
4.342	thumb	ho-ušu ta-hapi-r̃a
4.344	fingernail	ta-patoʔu-ša
4.345	claw	hɨ-patoʔu
4.35	leg	ta-saʔa
4.351	thigh	ta-pɨʔɨ
4.352	calf of leg	ta-sɨise
4.36	knee	ta-sapain
4.37	foot	to-uui
4.371	ankle	
4.372	heel	hi-ineʔe to-uui
4.374	footprint	to-uui-čikanain
4.38	toe	hɨ-pačir̃a to-uui
4.392	wing	hɨ-tɨna
4.393	feather	ho-i (~ hɨ-oľi)
4.4	chest	ta-aʔin-toʔu
4.41	breast (of woman)	ta-čir̃a
4.412	nipple, teat	hi-kii ta-čir̃a (~ hɨ-kii)
4.42	udder	hɨ-čir̃a-ʔɨ
4.43	navel	ta-šoʔo
4.44	heart	ta-aʔin
4.441	lung	ta-soso
4.45	liver	ta-pana
4.451	kidney	ta-čɨʔɨ
4.452	spleen	ta-amɨteʔe-se
4.46	stomach	ta-ľeʔe
4.461	intestines, guts	ta-yɨľain
4.462	waist	ta-seʔe-r̃uʔu-pɨnaa (~ ta-seʔe-ľuʔu-pɨnaa)
4.463	hip	ta-seʔe-wain
4.464	buttocks	te-ina-ľuʔu (~ ta-ina-ľuʔu)
4.47	womb	ta-čon-uľa
4.49	testicle	ta-šɨʔɨ
4.492	penis	te-era
4.51	breathe, breath	a-sana-ľaa-waa
4.52	yawn, gape	o-huhaa-waa
4.521	hiccough	hɨʔɨ-hɨ-ʔɨi
4.53	cough	o-ono-ho-o
4.54	sneeze	a-šou-ha-a
4.55	perspire	ker̃a-a
4.56	spit	e-he-ta-a
4.57	vomit	e-e-ta-a
4.58	bite	o-hot-ta-a (~ a-hoľu-ta-a)
4.59	lick	e-ʔer̃a-ta-a
4.591	dribble	ka-ľuuľa
4.61	sleep	a-tunka-a
4.612	snore	ko-koľoin-waa
4.62	dream	ľapɨ
4.63	wake up	a-čihir̃aa-waa
4.64	break wind	sɨsir̃a; a-si-ta-a
4.65	urinate	a-šii-ta-a
4.66	defecate	a-čii-ta-a
4.67	have sexual intercourse	a-sika-a
4.68	shiver	oohoo (?)
4.69	bathe	o-ʔoo-ho-o
4.71	beget (of father)	
4.72	born (to be)	hemei-waa (~ hemeľi-(w)aa)
4.73	pregnant	ipuoľu
4.732	conceive	ipuoľu-u
4.74	live, living, life	ka-ta-a oʔu
4.75	die, dead	ou-ta-a
4.751	drowned	
4.76	kill	
4.77	corpse	
4.78	bury (the dead)	o-hoi-ta-a (~ a-hoľi-ta-a)
4.79	grave, tomb	
4.81	strong, mighty, powerful	ka-tčin-ši
4.82	weak	ma-pɨľɨ-sa-i; ma-pɨľɨ-sa-ľɨ
4.83	well, health	
4.84	sick, sickness	ayuui-ši; ayuui-sɨ
4.841	fever	tut-ta-a (~ tuľu-ta-a)
4.842	goiter	
4.843	cold (catarrh)	šunuui
4.85	wound, sore	ta-ľiou
4.852	bruise	
4.853	swelling	o-ur̃uľa-a
4.854	itch	sutu-u
4.855	blister	
4.856	boil (noun)	hɨ-kačɨʔɨľa
4.857	pus	hɨ-hɨ
4.858	scar	hɨ-sipaľa
4.86	cure, heal	ana-a
4.87	physician	e-iyahɨ-i; e-iyahɨ-ľɨ
4.88	medicine, drug	wunuʔu
4.89	poison	wunuʔu
4.91	tired, weary	mapɨsa-ši; mapɨsa-sɨ
4.912	rest	e-mer̃aa-waa
4.92	lazy	hiaľa-pɨ-i; hiaľa-pɨ-ľɨ
4.93	bald	mo-i-kii-či; mo-i-kii-r̃ɨ
4.94	lame	
4.95	deaf	ma-čeʔe-sa-i; ma-čeʔe-sa-ľɨ
4.96	mute	ma-nɨi-sa-i; ma-nɨi-sa-ľɨ
4.97	blind	mo-ʔu-sa-i (~ ma-ʔu-sa-ľi)
4.98	intoxicated	epet-ši (~ eper̃ɨ-ši)
4.99	naked, bare	ma-iče-sa-i; ma-iče-sa-ľɨ
5.11	eat	ekaa
5.12	food	ekɨɨľɨ
5.121	cooked	aľaka haa-uši
5.122	raw	ia-ši; ia-sɨ
5.123	ripe	hakɨtɨ-ši
5.124	green, unripe	wɨit-ɨ-sɨ
5.125	rotten	itt-ɨ-sɨ
5.13	drink	asa
5.14	hunger	hamɨ
5.141	famine	hamɨ
5.15	thirst	wɨniasɨ ~ wɨɲasɨ
5.16	suck	atuʔľa
5.18	chew	akɨnɨha
5.181	swallow	emir̃aľa
5.19	choke	
5.21	cook	aľakahawaa
5.22	boil (vb)	apoľoho
5.23	roast, fry	asiha
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	wušu; tot-se
5.27	kettle	siwar̃ai
5.28	pan	
5.31	dish	[ku'r̃ia]
5.32	plate	
5.33	bowl	
5.34	pitcher, jug	huľaa
5.35	cup, drinking vessel	[hikaľa]
5.36	saucer	
5.37	spoon	aľepɨ
5.38	knife	r̃ɨi; ta-r̃ɨľia
5.39	fork	
5.391	tongs	
5.41	meal (a)	akɨɨľɨ
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	ašotoho
5.47	sieve, strain	asata
5.48	scrape	oho
5.49	stir, mix	ačokohowaa
5.51	bread	
5.53	dough	
5.54	knead	
5.55	meal, flour	sawa
5.56	crush, grind	ačueta
5.57	mill	ta-moľo-hia
5.58	mortar	ipa ta-moľo-hia
5.59	pestle	iper̃a
5.61	meat	asaľa
5.63	sausage	--
5.64	soup, broth	waa; hi-r̃a
5.65	vegetables	
5.66	bean	kepešuna
5.7	potato	
5.71	fruit	
5.712	bunch	hɨ-sima
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	ir̃uwa
5.79	oil	
5.791	grease, fat	
5.81	salt	iči
5.82	pepper	--
5.821	chili pepper	haši
5.84	honey	mapa
5.85	sugar	
5.86	milk (noun)	
5.87	milk (vb)	aľičaha
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	asɨši
5.91	mead	--
5.92	wine	--
5.93	beer	--
5.94	fermented drink	asɨši hašɨ-ɨ-sɨ
5.97	egg	[kaľina]-šuku
5.971	egg yolk	
6.11	put on (clothes)	aana-waa
6.12	clothing, clothes	ta-šeein
6.13	tailor	--
6.21	cloth	kuľuľu
6.22	wool	
6.23	linen, flax	--
6.24	cotton	mawɨi
6.25	silk	--
6.27	felt	--
6.28	fur	
6.29	leather	[paaʔa]-ta
6.31	spin	ouuta
6.32	spindle	sutta
6.33	weave	aina
6.34	loom	
6.35	sew	ayapɨha
6.36	needle	wɨtia
6.37	awl	ta-saihia
6.38	thread	sipata
6.39	dye	ahɨha
6.41	cloak	
6.411	poncho	
6.42	woman's dress	
6.43	coat	
6.44	shirt	
6.45	collar	
6.46	skirt	
6.461	grass-skirt	--
6.48	trousers	[katsuna]
6.49	stocking, sock	
6.51	shoe	
6.52	boot	--
6.54	shoemaker, cobbler	--
6.55	hat, cap	uomu
6.57	belt, girdle	siir̃a
6.58	glove	--
6.59	veil	--
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	
6.72	jewel	kakuna
6.73	ring (for finger)	[sɨtia]
6.74	bracelet	ta-hapɨ-na
6.75	necklace	ta-ɨľihana
6.76	bead	
6.77	earring	čeʔe-sa
6.78	headband, headdress	
6.79	tattoo	te-[heet]-se
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	pasɨta
6.92	brush	
6.921	braid	atuľa
6.93	razor	--
6.94	ointment	
6.95	soap	
6.96	mirror	r̃ouya
7.11	dwell, live	kepia
7.12	house	piči; miči
7.13	hut	
7.131	garden-house	
7.14	tent	
7.15	yard, court	
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	
7.26	floor	mmo-ľuʔu
7.27	wall	hɨ-sepɨ
7.31	fireplace	tɨľiki-r̃uu
7.32	stove	--
7.33	chimney	--
7.37	ladder	
7.42	bed	to-uľa
7.421	pillow	te-kii-paľa
7.422	blanket	ta-naľa
7.43	chair	ta-yupaľa
7.44	table	
7.45	lamp, torch	
7.46	candle	
7.47	shelf	
7.48	trough	
7.51	roof	ha-huna piči
7.52	thatch	
7.53	ridgepole	hi-kii-paľa piči
7.54	rafter	hu-tuhuna piči
7.55	beam	
7.56	post, pole	hɨ-saa
7.57	board	
7.58	arch	
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	ka-tia-i
8.12	field (for cultivation)	apain
8.13	garden	
8.15	cultivate, till	ka-tia
8.16	fence	kuľaľa
8.17	ditch	uľuwou
8.21	plow	
8.212	furrow	
8.22	dig	apoto; apono
8.23	spade	
8.24	shovel	
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	
8.311	seed	waɨye; hɨ-ɨ
8.32	mow, reap	
8.33	sickle, scythe	--
8.34	thresh	amaʔľiha
8.35	threshing-floor	--
8.41	crop, harvest	atie
8.42	grain (barley, oats etc)	hɨ-ɨ
8.43	wheat	
8.44	barley	
8.45	rye	--
8.46	oats	--
8.47	maize, corn	maiki
8.48	rice	[r̃o]
8.51	grass	wɨitši
8.52	hay	--
8.53	plant (noun)	mohuui
8.531	plant (vb)	aľaha
8.54	root	hu-r̃aľa
8.55	branch	hɨ-tɨna
8.56	leaf	hɨ-pana
8.57	flower	hɨ-si
8.6	tree	huu-uľia wɨr̃aiči
8.61	oak	
8.62	beech	--
8.63	birch	--
8.64	pine	
8.65	fir	--
8.66	acorn	--
8.67	vine	
8.68	tobacco	yɨi
8.69	smoke (tobacco)	akamɨha
8.691	pipe	
8.72	tree stump	wunuʔu-kii
8.73	tree trunk	hɨ-saʔa wunuʔu
8.74	forked branch	
8.75	bark	hɨ-ta
8.76	sap	hi-r̃a; hɨ-hɨ
8.81	palm tree	kuľuwaľa
8.82	coconut	[koko]
8.83	citrus fruit	
8.84	banana tree	[pɨľaana]
8.85	banyan	--
8.91	sweet potato	haiši
8.912	yam	
8.92	tapioca, manioc, cassava	ai
8.93	gourd	amuľu
8.931	pumpkin, squash	wɨir̃ɨ
8.94	bamboo	paľua
8.941	sugar cane	[kaɲer̃uši]
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	mašuka
9.11	do, make	aainha
9.12	work	ayata-waa
9.14	bend	ašokoľo
9.15	fold	ašata-waa
9.16	tie, bind	ehita-waa
9.161	untie	asiwata
9.18	chain	--
9.19	rope, cord	kapɨľeta
9.192	knot (noun)	
9.21	strike (hit, beat)	ayata
9.211	pound with fist	ašeeta
9.22	cut	ačoto-waa
9.221	cut down	akutuha
9.222	chop, hew	ayɨľɨha
9.223	stab	asoto
9.23	knife	r̃ɨi
9.24	scissors, shears	paľousa
9.25	ax	poľu
9.251	adze	
9.26	break	ašata-waa
9.261	broken	ašataa-uši
9.27	split	awakata
9.28	tear	ačatata
9.29	flay, skin	ašotoho
9.31	rub, wipe	aľuuľa
9.32	stretch	ayur̃uľa
9.33	pull	aaɨta
9.34	spread out	awayaľa
9.341	hang up	akačer̃a
9.342	press	ačečer̃a ahɨʔta
9.343	squeeze, wring	ačueta
9.35	pour	aľaaľa
9.36	wash	ašiha-waa
9.37	sweep	epitaha
9.38	broom	te-pitahia
9.422	tool	ta-yata-ya
9.43	carpenter	--
9.44	build	akuyamaha
9.46	bore	ototo; otoho
9.461	hollow out	akouha
9.48	saw	--
9.49	hammer	
9.5	nail	
9.56	glue	ta-kɨľa-hia
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	
9.65	silver	
9.66	copper, bronze	
9.67	iron	[kačuer̃a]
9.68	lead (noun)	--
9.69	tin, tinplate	--
9.71	potter	
9.72	mold (clay etc)	atɨka
9.73	clay	pootši
9.74	glass	r̃ouya
9.75	weave, plait	atuľa
9.76	basket	
9.77	mat	
9.771	rug	--
9.78	netbag	
9.79	fan (noun)	ta-wawahia
9.791	fan (vb)	awawaha
9.81	carve	
9.82	sculptor	--
9.83	statue	ta-yakua
9.84	chisel	
9.88	paint (noun)	
9.89	paint (vb)	
10.11	move	ansɨľa-waa
10.12	turn over	ohunta
10.13	turn around	aľeyata
10.14	wind, wrap	akooľo
10.15	roll	apaľapaľa
10.16	drop (vb)	hɨ-šipir̃a
10.17	twist	ayɨľeta-waa
10.21	rise	ayaľer̃a-waa
10.22	raise, lift	ayaľer̃a
10.23	fall	ohutu-waa
10.24	drip	ašipir̃a
10.25	throw	ohuta
10.252	catch (ball)	ohupata
10.26	shake	ootoho-waa
10.32	flow	apar̃aľa
10.33	sink	emer̃oto
10.34	float	asamaľa
10.35	swim	ka-tɨna
10.351	dive	emeta
10.352	splash	atɨtɨita
10.36	sail (vb)	
10.37	fly (vb)	awata
10.38	blow	ohuha
10.41	creep, crawl	aľamaha
10.412	kneel	a-sapain-ka
10.413	crouch	aikaľa-waa
10.42	slide, slip	a-čɨčɨnaha-waa
10.43	jump, leap	awata
10.431	kick	ašeeta hɨka ouuľi
10.44	dance	a-yonna-ha
10.45	walk	
10.451	limp	šankata
10.46	run	awata-waa
10.47	go	ouna
10.471	go up	aľɨka
10.472	climb	aľɨka
10.473	go down	ašakata
10.474	go out	
10.48	come	anta
10.481	come back	aľeeha
10.49	go away, depart	ouna
10.491	disappear	amɨľouľi
10.51	flee	aľuwata-waa
10.52	follow	
10.53	pursue	eipir̃a
10.55	reach, arrive	asaʔwata
10.56	approach	ar̃ɨtka-waa
10.57	enter	eker̃oľo
10.61	carry (bear)	aľɨɨha
10.612	carry-in-hand	ka-hapɨ-ipa
10.613	carry-on-shoulder	ka-sapɨľu-huna
10.614	carry-on-head	ka-r̃aľa-huna
10.615	carry-underarm	ka-tɨna-ľu-huna
10.62	bring	antir̃a
10.63	send	ahɨta
10.64	lead (vb)	
10.65	drive	ounir̃a
10.66	ride	ke-ehena
10.67	push, shove	ohuta hɨ-čiki
10.71	road	wopu
10.72	path	
10.74	bridge	pata
10.75	carriage, wagon, cart	--
10.76	wheel	
10.77	axle	
10.78	yoke	--
10.81	ship	--
10.83	boat	anuwa
10.831	canoe	anuwa
10.832	outrigger	--
10.84	raft	
10.85	oar	
10.851	paddle (noun)	
10.852	row (vb)	
10.86	rudder	
10.87	mast	hɨ-kaľapuuise
10.88	sail (noun)	wɨnia
10.89	anchor	--
10.91	harbor, port	
10.92	land (vb)	
11.11	have	ka-
11.12	own, possess	ka-maana
11.13	take	apa-waa
11.14	seize, grasp	ataɨľa
11.15	hold	
11.16	get, obtain	ka-mɨni
11.17	keep, retain	anaha-waa
11.18	thing	kasa
11.21	give	apa
11.22	give back	aľeehir̃a
11.24	preserve, look after	ainmaha
11.25	save, rescue	
11.27	destroy	asouľaha
11.28	harm, injure, damage	ke-wainwa
11.31	seek, look for	ačaha-waa
11.32	find	ousita
11.33	lose	amɨľouľi huľia
11.34	release, let go	ahɨta
11.43	money	[nneer̃ɨ]
11.44	coin	
11.51	rich	wašir̃ɨ
11.52	poor	mohuši; mohusɨ
11.53	beggar	ohuľehɨ-i; ohuľehɨ-ľɨ
11.54	avaricious, stingy	heiye-i; heiyer̃ɨ
11.61	lend	aanapahir̃a
11.62	borrow	aanapaha
11.63	owe	ko-huyaľa
11.64	debt	to-huyaľa
11.65	pay (vb)	awaľaha
11.66	account, reckoning	
11.69	tax, tribute	--
11.77	hire	
11.78	wages	ta-[kana]-hɨin
11.79	earn	a[kana]ha [nneer̃ɨ]
11.81	buy	ayaľaha
11.82	sell	oika
11.83	trade, barter	awana-waa
11.84	merchant	
11.85	market (place)	oikaľe
11.86	store, shop	
11.87	price	hɨ-ľia
11.88	dear (costly, expensive)	ko-hutu-ši; ko-hutu-sɨ
11.89	cheap	haya-ši; haya-sɨ
11.91	share (distribute)	eitaha
11.92	weigh	
12.1	after	mapa; hɨ-čiki-he
12.11	behind	hɨ-čir̃ua
12.2	beside	haa-tou
12.3	down, below	wɨnapɨna
12.4	before	paaľa
12.41	front	hɨ-pɨľer̃ua
12.5	inside, in	huľuʔu
12.6	outside	anui-paa
12.7	under	hu-yupɨna
12.8	up, above	hau; ipɨna
12.11	place	
12.12	put	eita-waa
12.13	sit	aikaľa-waa
12.14	lie down	otoľir̃a-waa
12.15	stand	ašaʔwaľa-waa
12.16	remain, stay	makata
12.17	remains, left overs	hɨ-ppɨ hɨ-pɨtanaha-ľa
12.21	collect, gather	akočir̃a
12.212	pick up	aimaka
12.213	pile up	eeminaha
12.22	join, unite	epeipa-hir̃a-waa
12.23	separate	akataľa
12.232	divide	
12.24	open	ohutaľa
12.25	shut, close	a-sɨľɨha-waa
12.26	cover	akooľo
12.27	hide, conceal	onhuľa
12.31	high	watta-pɨ-i
12.32	low	pehe-pɨ-i; pehe-pɨ-ľɨ
12.33	top	hɨ-r̃aľou
12.34	bottom	hi-na-ľuu
12.35	end	ha-hatt-ia
12.352	pointed	šɨi-šɨi-ši; šɨi-šɨi-sɨ
12.353	edge	hoľu
12.36	side	hɨ-yata-paa
12.37	middle, center	pasanain hɨ-nain
12.41	right (side)	
12.42	left (side)	epee-r̃uu
12.43	near (adv)	pehe
12.44	far (adv)	wata
12.45	east	wɨinpumɨin
12.46	west	wopumɨin
12.47	north	paľaamɨin
12.48	south	učumɨin
12.53	grow	mɨľe-waa
12.54	measure	ayawaha
12.541	span, fathom	tɨna
12.55	large, big	mɨľeu
