entry_id	trans_english	Embera_Phonemic
5.125	rotten	mĩ'gia
5.13	drink	do-
5.14	hunger	ha'r̃a
5.141	famine	
5.15	thirst	obi'ča
5.16	suck	do-; sõ-
5.18	chew	ka-
5.181	swallow	mi-
5.19	choke	[atrã'ka]
5.21	cook	ǰu-
5.22	boil (vb)	ɓa'ka-
5.23	roast, fry	uɨ'ru-
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	[pe'rol]
5.27	kettle	
5.28	pan	
5.31	dish	epe'ɗeko
5.32	plate	epe'ɗeko
5.33	bowl	['tasa]
5.34	pitcher, jug	
5.35	cup, drinking vessel	['basu]
5.36	saucer	epe'ɗeko-zake
5.37	spoon	katu'emia
5.38	knife	'neko
5.39	fork	
5.391	tongs	[te'nesa]
5.41	meal (a)	
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	e'pa-
5.47	sieve, strain	sã-
5.48	scrape	ɨ'r̃a-
5.49	stir, mix	u're
5.51	bread	ɓe'ka
5.53	dough	
5.54	knead	čira'tɨ
5.55	meal, flour	poku'ra
5.56	crush, grind	ɓa-
5.57	mill	ɓa-
5.58	mortar	[pi'lon]
5.59	pestle	[mano]
5.61	meat	'ǰi-ko
5.63	sausage	--
5.64	soup, broth	'ne-ɓa
5.65	vegetables	
5.66	bean	
5.7	potato	
5.71	fruit	'ne-hõ
5.712	bunch	kɨ'mɨ
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	
5.791	grease, fat	'nẽ-draga
5.81	salt	tã
5.82	pepper	
5.821	chili pepper	pi'ɗa
5.84	honey	ke'mi-hõ
5.85	sugar	
5.86	milk (noun)	hu-'ɓa
5.87	milk (vb)	
5.88	cheese	
5.89	butter	
5.9	beverage, drink	
5.91	mead	
5.92	wine	
5.93	beer	'čiča
5.94	fermented drink	idu'a
5.97	egg	ɨ'mɨ
5.971	egg yolk	ɨ'mɨ-pu'rea
6.11	put on (clothes)	hɨ̃-
6.12	clothing, clothes	hɨ̃-
6.13	tailor	--
6.21	cloth	ua
6.22	wool	
6.23	linen, flax	--
6.24	cotton	
6.25	silk	--
6.27	felt	--
6.28	fur	-e
6.29	leather	-e
6.31	spin	
6.32	spindle	
6.33	weave	ka-
6.34	loom	
6.35	sew	ka'hu-
6.36	needle	[a'kusa]
6.37	awl	
6.38	thread	['ilo]
6.39	dye	so'a-
6.41	cloak	
6.411	poncho	
6.42	woman's dress	ua
6.43	coat	
6.44	shirt	
6.45	collar	
6.46	skirt	[ka'misa]
6.461	grass-skirt	--
6.48	trousers	
6.49	stocking, sock	
6.51	shoe	
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	[sõ'bena]
6.57	belt, girdle	ã-kɨ'r̃ɨ-hɨ̃-ma
6.58	glove	--
6.59	veil	--
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	ǰi'o
6.72	jewel	
6.73	ring (for finger)	[sor'tia]
6.74	bracelet	[ma'nia]
6.75	necklace	
6.76	bead	kɨ'r̃ɨ-hɨ̃-ma
6.77	earring	pi'ru
6.78	headband, headdress	boro-ɓa'ri
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	tẽẽ'rũ
6.92	brush	
6.921	braid	
6.93	razor	
6.94	ointment	
6.95	soap	[hã'gona]
6.96	mirror	[es'peku]
7.11	dwell, live	'ɓa-bari-
7.12	house	de
7.13	hut	de
7.131	garden-house	
7.14	tent	
7.15	yard, court	
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	
7.26	floor	kɨ'ɗapo
7.27	wall	
7.31	fireplace	ita'r̃a
7.32	stove	
7.33	chimney	
7.37	ladder	du'me
7.42	bed	
7.421	pillow	boro-'kau; asa'riko
7.422	blanket	boro'ɓa
7.43	chair	
7.44	table	['mesa]
7.45	lamp, torch	ĩ'bira
7.46	candle	
7.47	shelf	ɓara'wa
7.48	trough	ãpẽwẽ'nẽ
7.51	roof	de-ẽka'r̃a; ǰi-or̃o-'sa
7.52	thatch	ho'a-
7.53	ridgepole	ǰi-hã'ba-de
7.54	rafter	de-o'ɓeo
7.55	beam	de-kau
7.56	post, pole	de-hẽ'rũ
7.57	board	
7.58	arch	--
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	
8.13	garden	
8.15	cultivate, till	u-
8.16	fence	
8.17	ditch	
8.21	plow	
8.212	furrow	
8.22	dig	ko'ro-
8.23	spade	
8.24	shovel	
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	u-
8.311	seed	be-'po-
8.32	mow, reap	e'wa-
8.33	sickle, scythe	uɨ-
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	-dau
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	be
8.48	rice	[a'r̃o]
8.51	grass	či'rua
8.52	hay	
8.53	plant (noun)	
8.531	plant (vb)	
8.54	root	ka'r̃a
8.55	branch	hɨu'ate
8.56	leaf	kedu'a
8.57	flower	po'no; to'to
8.6	tree	baku'ru
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	hɨ̃ka'ra
8.68	tobacco	[ta'bako]
8.69	smoke (tobacco)	do-
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	kaku'a; bɨuɨ'rɨ
8.74	forked branch	
8.75	bark	baku'ru-e
8.76	sap	-ɓa
8.81	palm tree	
8.82	coconut	['koko]
8.83	citrus fruit	
8.84	banana tree	[ma'nana]
8.85	banyan	
8.91	sweet potato	[bata'ta]
8.912	yam	ika'ɗe
8.92	tapioca, manioc, cassava	[i'uka]
8.93	gourd	sã'bɨ
8.931	pumpkin, squash	[sa'paya]
8.94	bamboo	čogo'ro
8.941	sugar cane	'čia-sõ
8.96	fish poison (root)	do'kãɨ̃
8.97	nettle	hũ'ĩčiči
