entry_id	trans_english	Macushi_Phonemic
4.302	collarbone	u-moʔmoʔ yeʔpɨ
4.31	arm	u-yemekon
4.312	armpit	u-yewata
4.32	elbow	u-peresi
4.321	wrist	u-yenya pɨmɨ
4.33	hand	u-yenya
4.331	palm of hand	u-yenya
4.34	finger	u-yenya eperu
4.342	thumb	u-yenya yun-kon
4.344	fingernail	u-yenya piʔpɨ
4.345	claw	i-tenya puʔpɨ
4.35	leg	i-peʔ
4.351	thigh	u-yeʔmata
4.352	calf of leg	u-si pun
4.36	knee	u-yeseʔmo
4.37	foot	uʔ-pu
4.371	ankle	u-rupukon
4.372	heel	u-tana
4.374	footprint	i-teʔmaʔpɨ
4.38	toe	uʔ-pu-yeperu
4.392	wing	yapɨri
4.393	feather	
4.4	chest	u-ruppota
4.41	breast (of woman)	i-manatɨ
4.412	nipple, teat	i-manatɨ potɨ
4.42	udder	[paaka] manatɨ mun
4.43	navel	i-poni
4.44	heart	u-yewan
4.441	lung	u-yarakku
4.45	liver	yere
4.451	kidney	u-kuimari
4.452	spleen	
4.46	stomach	u-yaʔreʔ yense
4.461	intestines, guts	i-siwisikɨ
4.462	waist	u-woromɨʔ
4.463	hip	u-pɨn yeʔpɨ
4.464	buttocks	i-maiko
4.47	womb	i-nre pon
4.49	testicle	i-temu
4.492	penis	i-mere
4.51	breathe, breath	yetta-pusin
4.52	yawn, gape	entapiʔma
4.521	hiccough	eʔsɨkeʔma
4.53	cough	aheheʔ ta-i-ya
4.54	sneeze	a'sikau ta-i-ya
4.55	perspire	awaisaʔ
4.56	spit	u-yetaku yenumɨ-u-ya
4.57	vomit	yarakka
4.58	bite	yeʔka
4.59	lick	yemeka
4.591	dribble	etiʔkamɨ
4.61	sleep	wetun
4.612	snore	tororɨ yen
4.62	dream	eʔmoronoʔpe
4.63	wake up	a-apaka
4.64	break wind	iwiʔkɨ yen pe wai
4.65	urinate	asuʔta
4.66	defecate	weka
4.67	have sexual intercourse	toʔ esenpan-saʔ man
4.68	shiver	aweʔ-tɨtɨka komiʔ pe
4.69	bathe	eʔpɨ
4.71	beget (of father)	
4.72	born (to be)	esenpo
4.73	pregnant	more yan-pe
4.732	conceive	inre-ʔsaiʔya
4.74	live, living, life	enen
4.75	die, dead	saʔmanta
4.751	drowned	a-ana-saʔ
4.76	kill	wɨʔ
4.77	corpse	it-esaʔ-rɨʔpɨ
4.78	bury (the dead)	yuʔnaʔtɨ
4.79	grave, tomb	uuruwai
4.81	strong, mighty, powerful	meruntɨ
4.82	weak	aʔtuʔmara
4.83	well, health	priʔya
4.84	sick, sickness	paran
4.841	fever	ekomiʔma
4.842	goiter	
4.843	cold (catarrh)	aton
4.85	wound, sore	ereʔ
4.852	bruise	e-erekɨʔtɨ-saʔ
4.853	swelling	awoisaʔ
4.854	itch	kaʔnare
4.855	blister	a-asɨkoiwataʔ-saʔ
4.856	boil (noun)	a-awoi-saʔ
4.857	pus	kunaru
4.858	scar	e-ekaima-saʔ
4.86	cure, heal	yepiʔtɨ
4.87	physician	pemonkon yepiʔtɨ-nen
4.88	medicine, drug	epiʔtoʔ
4.89	poison	maiʔpa-i-ya maiʔ ke
4.91	tired, weary	apɨkasaʔ
4.912	rest	erɨkka
4.92	lazy	enyanneʔ
4.93	bald	pɨkaiʔpan
4.94	lame	tɨkɨi pe
4.95	deaf	panaʔtɨ
4.96	mute	i-maimu pɨn
4.97	blind	enkaruʔne
4.98	intoxicated	eʔtɨri pe
4.99	naked, bare	i-pon pɨn
5.11	eat	entamoʔka
5.12	food	yaʔre
5.121	cooked	
5.122	raw	
5.123	ripe	emɨsaʔ
5.124	green, unripe	yaʔpɨre
5.125	rotten	aa-kata-saʔ
5.13	drink	enɨrɨ
5.14	hunger	iwan pe
5.141	famine	iwan
5.15	thirst	tuna aninɨpai
5.16	suck	yuʔna
5.18	chew	yapo
5.181	swallow	yennoʔma
5.19	choke	a-awoʔtɨ
5.21	cook	
5.22	boil (vb)	rintɨ
5.23	roast, fry	puru
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	yerin
5.27	kettle	
5.28	pan	
5.31	dish	
5.32	plate	[prato]
5.33	bowl	pisaʔ
5.34	pitcher, jug	
5.35	cup, drinking vessel	[kopo]
5.36	saucer	
5.37	spoon	[kolher]
5.38	knife	taura
5.39	fork	
5.391	tongs	
5.41	meal (a)	entamoʔkan-toʔ
5.42	breakfast	u-yekkari
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	piʔka
5.47	sieve, strain	yainonka
5.48	scrape	piʔka
5.49	stir, mix	yaiʔma
5.51	bread	[trigo] puu-saʔ
5.53	dough	
5.54	knead	
5.55	meal, flour	
5.56	crush, grind	
5.57	mill	
5.58	mortar	aʔ
5.59	pestle	aʔ yai-non
5.61	meat	sararu
5.63	sausage	
5.64	soup, broth	tuma
5.65	vegetables	
5.66	bean	maʔsari
5.7	potato	saʔ
5.71	fruit	yekkari
5.712	bunch	
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	
5.791	grease, fat	kaiwan
5.81	salt	pan
5.82	pepper	--
5.821	chili pepper	pimi
5.84	honey	wan
5.85	sugar	aʔkiʔku
5.86	milk (noun)	[paaka] manatɨ yekku
5.87	milk (vb)	
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	u-wuku; woʔ
5.91	mead	
5.92	wine	--
5.93	beer	
5.94	fermented drink	kasiri
5.97	egg	kariwana pɨmoi
5.971	egg yolk	
6.11	put on (clothes)	yakaʔma
6.12	clothing, clothes	pon
6.13	tailor	--
6.21	cloth	yaʔsan
6.22	wool	
6.23	linen, flax	
6.24	cotton	kotoʔka
6.25	silk	--
6.27	felt	--
6.28	fur	
6.29	leather	[paaka] piʔpɨ
6.31	spin	yeʔpɨsɨ
6.32	spindle	perepi
6.33	weave	kaneʔtɨ
6.34	loom	
6.35	sew	siʔpɨmɨ
6.36	needle	[akkusaʔ]
6.37	awl	
6.38	thread	[katɨn]
6.39	dye	
6.41	cloak	
6.411	poncho	
6.42	woman's dress	pon
6.43	coat	
6.44	shirt	in-pai pon
6.45	collar	u-pon pɨmɨ
6.46	skirt	u-[saya]-ri
6.461	grass-skirt	--
6.48	trousers	surura
6.49	stocking, sock	
6.51	shoe	pisaʔsaʔ
6.52	boot	--
6.54	shoemaker, cobbler	--
6.55	hat, cap	aroʔ
6.57	belt, girdle	i-woromɨ
6.58	glove	
6.59	veil	
6.61	pocket	u-[posa]-nen
6.62	button	
6.63	pin	
6.71	ornament, adornment	yariʔku
6.72	jewel	
6.73	ring (for finger)	
6.74	bracelet	
6.75	necklace	moʔmoʔ
6.76	bead	kaʔsiru
6.77	earring	
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	sarai-sarai
6.92	brush	
6.921	braid	
6.93	razor	
6.94	ointment	
6.95	soap	
6.96	mirror	wanamari
7.11	dwell, live	koʔmamɨ
7.12	house	wɨttɨ
7.13	hut	
7.131	garden-house	
7.14	tent	tappɨi
7.15	yard, court	poro iʔpɨ
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	manaʔta
7.221	doorpost, jamb	
7.23	lock (noun)	[sawi]
7.231	latch, door-bolt	
7.24	key	manaʔta [sawi]
7.25	window	
7.26	floor	wɨttɨ roʔta
7.27	wall	
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	
7.42	bed	atta; yetteʔ
7.421	pillow	
7.422	blanket	
7.43	chair	aponoʔ
7.44	table	[mesa]
7.45	lamp, torch	
7.46	candle	
7.47	shelf	
7.48	trough	
7.51	roof	wɨttɨ nekata
7.52	thatch	kuwai yare
7.53	ridgepole	wɨttɨ nekata yawɨ-ron
7.54	rafter	wɨttɨ yara
7.55	beam	pakɨʔnan
7.56	post, pole	yei
7.57	board	
7.58	arch	--
7.61	mason	--
7.62	brick	non kuʔsaʔ
7.63	mortar	
7.64	adobe	non kuʔ-saʔ
8.11	farmer	
8.12	field (for cultivation)	mɨɨ
8.13	garden	
8.15	cultivate, till	naa
8.16	fence	i-waʔ-toʔ
8.17	ditch	
8.21	plow	
8.212	furrow	
8.22	dig	yaka
8.23	spade	yaka-toʔ
8.24	shovel	yaka-toʔ
8.25	hoe	sanpa
8.26	fork	
8.27	rake	
8.31	sow	pɨmɨ
8.311	seed	enaʔpɨ
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	aʔnai
8.48	rice	[arosi]
8.51	grass	wanaʔ; parɨʔ
8.52	hay	
8.53	plant (noun)	yeʔ
8.531	plant (vb)	pɨmɨ
8.54	root	kara
8.55	branch	panta
8.56	leaf	yare
8.57	flower	yariʔku
8.6	tree	yei
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	siʔna
8.68	tobacco	kawai
8.69	smoke (tobacco)	kawai wereʔtɨ
8.691	pipe	[paipa]
8.72	tree stump	prakon
8.73	tree trunk	yei urupukon
8.74	forked branch	yei panta
8.75	bark	yei piʔpɨ
8.76	sap	yekku
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	paruru yeʔ
8.85	banyan	--
8.91	sweet potato	saʔ
8.912	yam	
8.92	tapioca, manioc, cassava	imu; kɨse
8.93	gourd	maʔ
8.931	pumpkin, squash	kaiyuma
8.94	bamboo	
8.941	sugar cane	kaiwaraku
8.96	fish poison (root)	aya
8.97	nettle	
8.98	mushroom	yei pana; non pana
9.11	do, make	kupɨ; koneka
9.12	work	esenyakaʔma
9.14	bend	yeiʔme
9.15	fold	yeiʔme
9.16	tie, bind	yewaʔtɨ
9.161	untie	yeuka
9.18	chain	
9.19	rope, cord	eʔseusa
9.192	knot (noun)	yeuronsaʔ
9.21	strike (hit, beat)	paʔtɨ
9.211	pound with fist	
9.22	cut	yaʔtɨ
9.221	cut down	yaʔtɨ-u-ya e-esenun-toʔpe
9.222	chop, hew	
9.223	stab	yasoʔka
9.23	knife	taura
9.24	scissors, shears	sakɨi
9.25	ax	waʔka
9.251	adze	
9.26	break	yaʔmorikka
9.261	broken	yaʔmorikka-saʔ
9.27	split	yaʔmorikka
9.28	tear	karaka
9.29	flay, skin	piʔka
9.31	rub, wipe	
9.32	stretch	kuʔna
9.33	pull	kuʔna
9.34	spread out	pareppɨka
9.341	hang up	miʔka
9.342	press	
9.343	squeeze, wring	suʔka
9.35	pour	etiʔkamo
9.36	wash	rona
9.37	sweep	kuima
9.38	broom	tuʔtɨmai
9.422	tool	
9.43	carpenter	
9.44	build	wɨttɨ emɨʔsaʔka-u-ya
9.46	bore	yei yaʔpo
9.461	hollow out	yei yaka
9.48	saw	yei saraʔma
9.49	hammer	
9.5	nail	yei poka-toʔ
9.56	glue	kaareta yapiʔ-toʔ
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	[ouro]
9.65	silver	[prata] ~ [pɨrata]
9.66	copper, bronze	
9.67	iron	
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	ɨinɨ kaʔ-nen
9.72	mold (clay etc)	ɨinɨ yeʔ kapɨ-u-ya
9.73	clay	
9.74	glass	pattɨre
9.75	weave, plait	
9.76	basket	waikaraʔpɨ
9.77	mat	sunpa; upa
9.771	rug	--
9.78	netbag	
9.79	fan (noun)	wɨriwo
9.791	fan (vb)	yaʔseʔma
9.81	carve	yei yaraʔka
9.82	sculptor	--
9.83	statue	--
9.84	chisel	--
9.88	paint (noun)	
9.89	paint (vb)	kɨʔpa
10.11	move	moʔta
10.12	turn over	eraʔtɨ
10.13	turn around	ennaʔpo
10.14	wind, wrap	yaʔsantɨ
10.15	roll	perema
10.16	drop (vb)	maa
10.17	twist	seke-seke-ma
10.21	rise	eʔmɨʔsaʔka
10.22	raise, lift	pɨmɨʔsaʔka
10.23	fall	enaʔpɨ
10.24	drip	aʔtesuʔka
10.25	throw	yenumɨ
10.252	catch (ball)	yapiʔsɨ
10.26	shake	tuʔma
10.32	flow	
10.33	sink	eseronka
10.34	float	merenkatɨ
10.35	swim	u-pɨnɨnu
10.351	dive	arapumɨ tuna ka
10.352	splash	tuna arapumɨ u-pona
10.36	sail (vb)	
10.37	fly (vb)	awainamu
10.38	blow	pumɨ
10.41	creep, crawl	eʔworoʔka
10.412	kneel	aweʔsɨkunka
10.413	crouch	eʔtamɨika-saʔ
10.42	slide, slip	aweʔ-taraika-saʔ
10.43	jump, leap	arapumɨ
10.431	kick	tukka
10.44	dance	mananu
10.45	walk	asarɨ
10.451	limp	tɨkɨi pe attɨ
10.46	run	ekaʔtumɨ
10.47	go	wɨtɨ
10.471	go up	enuku
10.472	climb	enuku
10.473	go down	autɨ
10.474	go out	epaʔka
10.48	come	iipɨ
10.481	come back	ennaʔpo
10.49	go away, depart	epaʔka
10.491	disappear	e-esenomɨ
10.51	flee	eepe
10.52	follow	wenaimɨ
10.53	pursue	yuwa-i attɨ
10.55	reach, arrive	erepamɨ
10.56	approach	yeporɨ
10.57	enter	ewomɨ
10.61	carry (bear)	yarɨ
10.612	carry-in-hand	u-yenya yaʔ yarɨ
10.613	carry-on-shoulder	u-mota po yarɨ
10.614	carry-on-head	u-puʔpai po yarɨ
10.615	carry-underarm	u-yewaʔtana yarɨ
10.62	bring	enepɨ
10.63	send	yarima
10.64	lead (vb)	pinunpa
10.65	drive	
10.66	ride	
10.67	push, shove	tukka
10.71	road	eʔma
10.72	path	eʔma
10.74	bridge	miyeʔ
10.75	carriage, wagon, cart	tararan
10.76	wheel	tararan pisaʔsaʔ
10.77	axle	
10.78	yoke	
10.81	ship	apoʔ yen
10.83	boat	
10.831	canoe	kanau
10.832	outrigger	--
10.84	raft	
10.85	oar	
10.851	paddle (noun)	naire
10.852	row (vb)	kuru
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	
10.92	land (vb)	
11.11	have	moro nai aa-pia
11.12	own, possess	
11.13	take	moʔka
11.14	seize, grasp	yapiʔsɨ
11.15	hold	
11.16	get, obtain	eraʔma
11.17	keep, retain	koʔmamɨ
11.18	thing	yemane
11.21	give	tɨrɨ
11.22	give back	innaʔpo
11.24	preserve, look after	koneka
11.25	save, rescue	pɨikaʔtɨ
11.27	destroy	
11.28	harm, injure, damage	maʔta
11.31	seek, look for	yuwa
11.32	find	eporɨ
11.33	lose	yakaʔma
11.34	release, let go	rumaka
11.43	money	
11.44	coin	
11.51	rich	ipɨkku
11.52	poor	ɨʔ ton pɨn
11.53	beggar	
11.54	avaricious, stingy	anne
11.61	lend	
11.62	borrow	
11.63	owe	ipeʔmara
11.64	debt	ipeʔmara
11.65	pay (vb)	yeʔma
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	yenna
11.82	sell	siranma
11.83	trade, barter	puana
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	itepe
11.88	dear (costly, expensive)	ipeʔ ke
11.89	cheap	ipeʔmara
11.91	share (distribute)	tɨrɨ
11.92	weigh	kuʔneʔtɨ
12.1	after	tɨpo
12.11	behind	iteʔmaʔpɨ
12.2	beside	pia
12.3	down, below	yepoi
12.4	before	arape; i-rawɨrɨ
12.41	front	wɨttɨ yenpata
12.5	inside, in	ya
12.6	outside	poro po
12.7	under	yoʔko
12.8	up, above	yepoi; pairɨ
12.11	place	pata
12.12	put	tɨrɨ
12.13	sit	ereuta
12.14	lie down	aittun
12.15	stand	satti pe
12.16	remain, stay	koʔmamɨ
12.17	remains, left overs	itonparɨʔpɨ
12.21	collect, gather	perepɨ
12.212	pick up	yanumɨ
12.213	pile up	
12.22	join, unite	
12.23	separate	
12.232	divide	pantaka
12.24	open	atarakamɨ-ka
12.25	shut, close	atarakamɨ
12.26	cover	yettapurɨ
12.27	hide, conceal	esonomɨ
12.31	high	kawɨne
12.32	low	non poro
12.33	top	i-pona
12.34	bottom	panela maikko
12.35	end	ikɨnɨʔpɨ
12.352	pointed	
12.353	edge	ena
12.36	side	iratai
12.37	middle, center	arakkita
12.41	right (side)	mai-winɨkɨi
12.42	left (side)	kai-winɨkɨi
12.43	near (adv)	aminke pra
12.44	far (adv)	aminke
12.45	east	wei epaʔka winɨ
12.46	west	wei ewomɨ winɨ
12.47	north	
12.48	south	
12.53	grow	akɨpɨ; arenta
12.54	measure	kuʔneʔtɨ
12.541	span, fathom	
12.55	large, big	kureʔne
12.56	small, little	siʔmɨrikkɨ
12.57	long	kusan
12.58	tall	kusan
12.59	short	piaʔmɨtɨ
12.61	wide, broad	iwene
12.62	narrow	tuʔnakan
12.63	thick (in dimension)	ereʔsin
12.65	thin (in dimension)	siiriru
12.67	deep	mairon
12.68	shallow	arenpuru
12.71	flat	
12.73	straight	awemɨn; toʔsarɨ
12.74	crooked	weye-pan
12.75	hook	i-teʔna
12.76	corner	akoʔtɨnaʔ
12.77	cross	pakɨʔnan
12.78	square	
12.81	round	amokoʔwarɨ
12.82	circle	amokoʔwarɨ
12.83	sphere, ball	amokoʔwarɨ
12.84	line	katɨn
12.85	hole	aʔta
12.92	like, similar	warantɨ
12.93	change	miaʔka
13.0	zero, nothing	ɨʔ ton pɨn
13.1	one	tiwin
13.2	two	asakɨʔne
13.3	three	eseurɨwɨʔne
13.4	four	saakɨrɨrɨ
13.5	five	miaʔtaikin
13.6	six	tiwin miaʔ pona tɨɨmoʔtai
13.7	seven	asakɨne miaʔ pona tɨɨmoʔtai
13.8	eight	eseurɨwɨʔne miaʔ pona tɨɨmoʔtai
13.9	nine	saakɨrɨrɨ miaʔ pona tɨɨmoʔtai
13.10	ten	miaʔ tamɨʔnawɨrɨ
13.101	eleven	tiwin puʔ pona tɨɨmoʔtai
13.102	twelve	asakɨʔne puʔ pona tɨɨmoʔtai
13.103	fifteen	
13.104	twenty	tiwin pemonkon
13.105	hundred	
13.106	thousand	
13.107	count	kuʔneʔtɨ
13.14	every, all	tamɨʔnawɨrɨ
13.15	much, many	tuʔke
13.16	more	inɨʔ
13.17	little (quantity), few	mararɨ
13.18	enough	aasɨrɨ
13.181	some	tiaron
13.19	multitude, crowd	mararonkon pepɨn
13.21	full	intapɨkɨrɨ
13.22	empty	itenpɨ
13.23	part, piece	itonpa
13.24	half	arakkita pairɨ
13.33	alone, only	tiwinsarɨ
13.34	first	eʔmaiʔpe
13.35	last	ikɨnɨʔpɨ
13.36	second	itonpa pe
13.37	pair	saʔnɨrɨ
13.38	two times	saʔteʔka
13.42	third	teeseurɨnon
13.44	three times	teeseurɨʔne-iteʔka
14.11	time	pensa
14.12	age	i-kono po
14.13	new	amenan
14.14	young	maasaron
14.15	old	penaroʔ
14.16	early	penane puʔkuru
14.17	late	tɨɨkoʔman pe
14.18	now	sɨrɨrɨ
14.19	immediately	tiwinarɨ
