entry_id	trans_english	Dehong_Phonemic
3.75	deer	lu.1
3.76	monkey	pa.6
3.77	elephant	pik.7 pa.6
3.78	camel	ket.4 pa.6
3.81	insect	kɛm.3 pa.6
3.811	louse	kɔk.7 hɔi.1 / ka:p.9 hɔi.1
3.812	nit (louse egg)	pu.6
3.813	flea	koŋ.3
3.814	centipede	pa.6 sa.6 ji.4
3.815	scorpion	mu.1 lam.4
3.816	cockroach	pa.6 cin.6 ji.4
3.817	ant	pa.6 jen.5
3.818	spider	ma.1 lai.2
3.819	spider web	xa:ŋ.5 si.3
3.82	bee	mi.1
3.821	beeswax	ma.1 lin.6
3.822	beehive	cɔn.3
3.823	wasp	ma:ŋ.5
3.83	fly	men.3
3.831	sandfly (midge), gnat	mon.3
3.832	mosquito	ka:ŋ.6
3.84	worm	ka:ŋ.6
3.85	snake	xa:i.2 ləŋ.2 / ŋo.2 thən.5
3.91	firefly	liŋ.2
3.92	butterfly	ca:ŋ.4
3.93	grasshopper	ŋa.2 ca:ŋ.4
3.94	snail	ma.4 lo.3 tho.6
3.95	frog	moŋ.3 mɛŋ.2
3.96	lizard	min.2; hau.1
3.97	crocodile, alligator	xai.5 hau.1; xai.5 min.2
3.98	turtle	mat.7
4.11	body	mɛŋ.2 ti.1 la:ŋ.2
4.12	skin, hide	mɛŋ.2 ŋo.2
4.13	flesh	mɛŋ.2 sa:p.9
4.14	hair (head)	mot.8 (moŋ.3) xem.1
4.142	beard	moŋ.3 ka:u.6
4.144	body hair	jaɨ.2 moŋ.3 ka:u.6
4.145	pubic hair	phɨŋ.3
4.146	dandruff	phɨŋ.3
4.15	blood	haŋ.2 phɨŋ.3; sɛp.9 phɨŋ.3
4.151	vein, artery	to.5; tɛn.6
4.16	bone	pok.9
4.162	rib	mɛŋ.2 mun.2
4.17	horn	va:k.8 va:u.2 / mɛŋ.2 hin.4
4.18	tail	juŋ.2
4.19	back	mɔt.8
4.191	spine	moŋ.3 xon.1
4.2	head	mɛŋ.2 / moŋ.3
4.201	side of head, temple	lɔn.1
4.202	skull	jai.2
4.203	brain	ti.1 hit.7 / ti.1 tak.7
4.204	face	piŋ.6
4.205	forehead	ta:k.8
4.207	jaw	ŋu.2
4.208	cheek	ləm.1
4.209	chin	mɛŋ.2 kɛŋ.2
4.21	eye	ka:p.9 mə.3 / ma:k.9 mə.3 / ma:ŋ.5 mə.5
4.212	eyebrow	ti.1 tak.7 / ti.1 hit.7
4.213	eyelid	hɔi.1
4.214	eyelash	xet.9 / kop.9 xet.9
4.215	blink	ʔa:k.9 xa:ŋ.1; ʔa:i.3 xa:ŋ.1
4.22	ear	ʔa:i.3 xa:ŋ.1 loŋ.1
4.221	earlobe	tɔm.3 tɛm.3
4.222	earwax	lɛn.2
4.23	nose	tau.5 / tau.5 tɔi.5
4.231	nostril	to.6; to.6 xiŋ.2
4.232	mucus (nasal)	laŋ.1
4.24	mouth	lə.4 / ʔi.2
4.241	beak	xon.1 ho.1
4.25	lip	lot.9
4.26	tongue	xon.1 lə.4
4.27	tooth	mɔi.1
4.271	gums	xai.2 ho.1
4.272	molartooth	hə.5
4.28	neck	lət.8
4.281	nape of neck	sa:i.1 lət.8
4.29	throat	ʔen.6
4.3	shoulder	luk.7
4.301	shoulderblade	mo.5 luk.7
4.302	collarbone	luk.7 xa:ŋ.3
4.31	arm	xau.1
4.312	armpit	ha:ŋ.1
4.32	elbow	pe.6 laŋ.1
4.321	wrist	san.1 laŋ.1
4.33	hand	ho.1
4.331	palm of hand	fa:i.5 si.1 mɛp.8
4.34	finger	ho.1 kon.2
4.342	thumb	ʔɔk.9 ʔɛk.9
4.344	fingernail	la.3
4.345	claw	(ho.1) la.3 pha:k.9
4.35	leg	kɛm.3
4.351	thigh	fa:i.5 la.3
4.352	calf of leg	kɔŋ.3 ka:ŋ.2
4.36	knee	ta.6 / hoi.5 ta.6
4.37	foot	xon.1 ta.6
4.371	ankle	pək.9 ta.6
4.372	heel	xon.1 ta.6
4.374	footprint	phɛp.8 ta.6; ta.33 phiet.11
4.38	toe	hu.44 hu.24hu.1
4.392	wing	xi.3 hu.1
4.393	feather	laŋ.6
4.4	chest	hu.2 laŋ.6
4.41	breast (of woman)	xi.3 muk.8
4.412	nipple, teat	pa:k.9 (sop.9)
4.42	udder	sop.9 lok.8
4.43	navel	min.5 sop.9 / piŋ.5 sop.9
4.44	heart	lin.4
4.441	lung	xeu.3
4.45	liver	ŋa.2 ca:ŋ.4; hək.9
4.451	kidney	xeu.3 xa:i.2
4.452	spleen	xo.2
4.46	stomach	kɔŋ.3 lɔk.9
4.461	intestines, guts	xo.2 hɔi.1
4.462	waist	ho.1 ma.5
4.463	hip	luk.7 xɛp.9
4.464	buttocks	luk.7 xa:ŋ.1 xo.2
4.47	womb	xɛn.1
4.49	testicle	kɔŋ.3 ka:p.9
4.492	penis	sɔk.9
4.51	breathe, breath	xo.1 mɨ.2
4.52	yawn, gape	mɨ.2
4.521	hiccough	fa.5 mɨ.2
4.53	cough	leu.4 mɨ.2
4.54	sneeze	ho.1 me.6 mɨ.2
4.55	perspire	ka:p.9 leu.4 mɨ.2
4.56	spit	lep.8
4.57	vomit	xa.1
4.58	bite	xa.1 loŋ.1
4.59	lick	ka:u.3
4.591	dribble	ho.1 xau.5
4.61	sleep	tin.6
4.612	snore	pɔŋ.3 tin.6
4.62	dream	son.3 tin.6
4.63	wake up	hɔi.2 tin.6
4.64	break wind	leu.4 tin.6
4.65	urinate	pik.7
4.66	defecate	xon.1
4.67	have sexual intercourse	ʔok.9 / ʔoŋ.3
4.68	shiver	lɛn.1 / ʔu.1 tau.3
4.69	bathe	ho.1 ʔu.1
4.71	beget (of father)	sa:i.1 li.6
4.72	born (to be)	caɨ.6
4.73	pregnant	pɔt.9
4.732	conceive	tap.7
4.74	live, living, life	lɔm.6 lim.2 / ma:k.9 lam.2
4.75	die, dead	lɛn.4 the.3
4.751	drowned	li.6
4.76	kill	lə.4 ha:u.2 pum.6
4.77	corpse	pum.6 / thoŋ.1 xau.3
4.78	bury (the dead)	sai.3
4.79	grave, tomb	ʔɛŋ.3 / ʔɛu.6
4.81	strong, mighty, powerful	fa:i.5 kon.3
4.82	weak	kon.3
4.83	well, health	hu.2 kon.3
4.84	sick, sickness	thoŋ.1 ʔe.1
4.841	fever	ham.1 / ma:k.9 ham.1
4.842	goiter	xɔi.2
4.843	cold (catarrh)	hu.2 hi.1 / hu.2 cɔi.1
4.85	wound, sore	thoi.3 caɨ.6
4.852	bruise	hau.1 ka:ŋ.2
4.853	swelling	si.1 ʔə.3 / ʔə.3
4.854	itch	ʔai.6
4.855	blister	si.1 ca:m.6
4.856	boil (noun)	ʔɔk.9 hə.5
4.857	pus	lam.4 la:i.2; ʔa:ŋ.3 ʔa:k.9
4.858	scar	tau.5 ʔa:ŋ.3 ʔa:k.9
4.86	cure, heal	ha:k.8
4.87	physician	ka:p.8
4.88	medicine, drug	mɛp.8 lin.4
4.89	poison	thɛn.2
4.91	tired, weary	lam.4 la:i.2 sa:i.1 / lam.4 la:i.2 pun.2
4.912	rest	lɔn.2
4.92	lazy	xo.2 mo.2
4.93	bald	fan.1
4.94	lame	tɨn.5 ma.2
4.95	deaf	tɨn.5 cən.6
4.96	mute	tot.9 / pɔi.5 tot.9
4.97	blind	jeu.6
4.98	intoxicated	xi.3
4.99	naked, bare	pa.4 kan.6 / ʔɛt.8 kan.6 / sam.1 kan.6
5.11	eat	san.5
5.12	food	ʔa:p.9 lam.4
5.121	cooked	leŋ.4
5.122	raw	kət.9 / han.1 la.3
5.123	ripe	leŋ.4
5.124	green, unripe	fak.7 san.5 the.5 / pa.2 ʔe.1
5.125	rotten	hɔm.2 / hɔm.2 ʔe.1
5.13	drink	je.2
5.14	hunger	ta:i.6
5.141	famine	lom.3 (lam.4) tai.6
5.15	thirst	fan.2
5.16	suck	to.6 ta:i.6 / xa:p.8 ka.5 ja.4
5.18	chew	faŋ.1
5.181	swallow	loŋ.6 / pa.5 heu.6
5.19	choke	man.3 xəŋ.5
5.21	cook	ʔon.3 cɔp.8
5.22	boil (vb)	kɛn.5 xɛŋ.1 / lɛn.3 xəŋ.5
5.23	roast, fry	xai.3 / pen.6
5.24	bake	lə.4 mai.3
5.25	oven	xo.2 leŋ.1
5.26	pot, cooking vessel	xai.3 la:u.1
5.27	kettle	loŋ.6 / tɔŋ.4 loŋ.6
5.28	pan	hu.2 ma:t.8
5.31	dish	cam.4; hɔi.2 cam.4
5.32	plate	kaɨ.6 / pho.2
5.33	bowl	kaɨ.6; xom.2
5.34	pitcher, jug	phɔp.9 / pɔŋ.2
5.35	cup, drinking vessel	tum.5 cep.9
5.36	saucer	lɔŋ.1
5.37	spoon	hɔi.2 ma:t.9 / hɔi.2 cep.9
5.38	knife	ja.5 ha:i.1
5.39	fork	mo.1 ja.3
5.391	tongs	ja.3 ja.6
5.41	meal (a)	ja.3 kɔŋ.4
5.42	breakfast	saɨ.5 kɔŋ.4
5.43	lunch	mɔi.6
5.44	dinner	lə.3 caɨ.6
5.45	supper	xa:n.4
5.46	peel	ho.1 kok.9
5.47	sieve, strain	xɔk.9 / lɛk.7
5.48	scrape	lok.9
5.49	stir, mix	maɨ.3
5.51	bread	(ta.6) mɔt.9
5.53	dough	ta:i.6 lau.3 / ʔim.5 lau.3
5.54	knead	la:k.8 lɔt.8
5.55	meal, flour	kin.6 / cin.6
5.56	crush, grind	lɔŋ.6 kin.6 / ta:ŋ.2 kin.6
5.57	mill	suk.7
5.58	mortar	lip.7
5.59	pestle	ləŋ.1
5.61	meat	xeu.1
5.63	sausage	lau.6
5.64	soup, broth	lut.7 / kin.6
5.65	vegetables	ʔɨp.7
5.66	bean	ʔɨp.7 ja:k.8
5.7	potato	pa:k.9 hɛŋ.3 / xo.2 hɛŋ.3
5.71	fruit	lut.7
5.712	bunch	jɛm.4
5.75	fig	ʔɨn.6
5.76	grape	xam.1 xo.2
5.77	nut	tom.3
5.78	olive	tom.3
5.79	oil	xo.3
5.791	grease, fat	piŋ.3
5.81	salt	mo.3 fai.2 / puŋ.2 fai.2
5.82	pepper	mo.3; xəŋ.6 tom.3
5.821	chili pepper	tau.3 lam.4
5.84	honey	mo.3 xo.3
5.85	sugar	va:n.5 phe.1
5.86	milk (noun)	pha:n.4 / pa:n.4
5.87	milk (vb)	va:n.5
5.88	cheese	tau.3 / xu.3
5.89	butter	cuŋ.3
5.9	beverage, drink	te.3 ʔɛn.1
5.91	mead	co.4
5.92	wine	mit.8; pha.4
5.93	beer	cha.6 / sa:m.3
5.94	fermented drink	ca.3 hip.7
5.97	egg	xau.3 (ma.2 ləŋ.6)
5.971	egg yolk	xau.3 laɨ.1
6.11	put on (clothes)	xau.3 ma.2 ka:ŋ.6
6.12	clothing, clothes	xau.3 ma.2 loŋ.1
6.13	tailor	xau.3 xam.6 / xau.3 ma.2 xam.6
6.21	cloth	fan.1 / tha:k.9
6.22	wool	xɨŋ.1; li.5
6.23	linen, flax	xon.2
6.24	cotton	xau.3 muŋ.4
6.25	silk	kɔn.3 mɛn.5
6.27	felt	ʔuk.7 mɛn.5
6.28	fur	mun.6 mɛn.5
6.29	leather	tam.6
6.31	spin	lui.1 / jɛn.2
6.32	spindle	fat.7; la:ŋ.1
6.33	weave	jɛn.2 cɨ.2
6.34	loom	hu.2 xok.8; hu.2 xok.8 lek.9
6.35	sew	xok.8
6.36	needle	lə.4 / ʔi.2
6.37	awl	sai.3 sat.8
6.38	thread	tha:ŋ.6
6.39	dye	phak.7 xeu.1
6.41	cloak	fak.7 tho.5
6.411	poncho	min.4 / xiŋ.1
6.42	woman's dress	ha:ŋ.1 ho.1 / phak.7 lo.1
6.43	coat	ho.1 phak.7 soŋ.1 ka.2 la.2 / ho.1 phak.7 mi.5
6.44	shirt	ma:k.9 phet.9
6.45	collar	ŋa.2 lo.5
6.46	skirt	xiŋ.1
6.461	grass-skirt	tɛŋ.6
6.48	trousers	ma:k.9 xə.1
6.49	stocking, sock	ja:ŋ.3 ji.5; ho.1 man.2
6.51	shoe	ma:k.9 tɛŋ.6
6.52	boot	hɛu.4 / ca.2 / hɔi.4
6.54	shoemaker, cobbler	ma:k.9 ʔam.5 mɔk.9
6.55	hat, cap	ma:k.9 ʔit.7
6.57	belt, girdle	ma:k.9 top.9
6.58	glove	ma:k.9 ka:n.2 la:n.4
6.59	veil	man.2
6.61	pocket	man.2; xai.1
6.62	button	(lə.4) man.2
6.63	pin	(lə.4) mɔn.2
6.71	ornament, adornment	kə.6
6.72	jewel	ma:k.9 phit.8
6.73	ring (for finger)	ma:k.9 phit.8 phet.9
6.74	bracelet	lam.4 phɨŋ.3
6.75	necklace	lam.4 ʔɔi.3
6.76	bead	lom.2 / lam.4 lom.2
6.77	earring	hut.8 (lom.2 ŋo.2)
6.78	headband, headdress	tho.2 pa:t.8
6.79	tattoo	ʔan.6 lut.7 kin.6
6.81	handkerchief, rag	lau.3 lam.4 phɨŋ.3
6.82	towel	lau.3 ma:k.9 ʔit.7
6.91	comb	lau.3 pi.5 ja.5
6.92	brush	xai.5
6.921	braid	xai.5 ləŋ.1
6.93	razor	luŋ.6
6.94	ointment	sə.3
6.95	soap	ca:ŋ.6 jɛp.8
6.96	mirror	man.3
7.11	dwell, live	mau.4
7.12	house	ma.3
7.13	hut	lun.6 / koi.6
7.131	garden-house	phe.2
7.14	tent	xat.8 ti.4 pa.5
7.15	yard, court	xon.1 laŋ.1
7.16	men's house	(kɛp.9 tin.6) laŋ.1
7.17	cookhouse	jet.8 kui.6 / vɛn.6 mai.1
7.18	meeting house	koŋ.2 vɛn.6; tau.5
7.21	room	tam.5 to.2
7.22	door, gate	tau.5
7.221	doorpost, jamb	jɛp.8 / jap.8
7.23	lock (noun)	sem.1 / xem.1
7.231	latch, door-bolt	mo.3 lɔm.5
7.24	key	mai.1
7.25	window	lam.4 ja.3
7.26	floor	sə.3 mai.6
7.27	wall	mo.2 ka.5
7.31	fireplace	sin.3 cap.7 sə.3
7.32	stove	sə.3 lɔk.8
7.33	chimney	ka.6 phi.6 sa:n.2
7.37	ladder	xo.2 sə.3
7.42	bed	sin.3
7.421	pillow	sin.3 fəŋ.2 / sin.3 xa.2
7.422	blanket	kon.6
7.43	chair	va.3
7.44	table	kɛp.9 tin.6
7.45	lamp, torch	kɛp.9 mɔk.7
7.46	candle	ca:ŋ.6 kɛp.9 tin.6
7.47	shelf	mo.5 ho.1
7.48	trough	sa:i.1 kɛt.7 / sa:i.1 ʔɛŋ.3
7.51	roof	va.3 mɨ.2 / thau.5 mɨ.2
7.52	thatch	sɛu.2 ho.1 / pha.3 pat.8 ho.1
7.53	ridgepole	thoŋ.1 sə.3
7.54	rafter	tum.5 sə.3
7.55	beam	xem.1 mat.9
7.56	post, pole	ʔan.6 ha:ŋ.3 xəŋ.6
7.57	board	keu.3 sɛŋ.1
7.58	arch	ha:ŋ.6 cɔp.9
7.61	mason	vɛn.1
7.62	brick	sɔi.2 co.2
7.63	mortar	sɛŋ.1
7.64	adobe	tɔŋ.5 hu.1
8.11	farmer	sa:i.1 mat.8 jɛu.1
8.12	field (for cultivation)	sam.2 ʔa:ŋ.2
8.13	garden	pha.3 cet.8
8.15	cultivate, till	pha.3 cet.8 suk.8 la.3
8.16	fence	vi.1
8.17	ditch	vi.1
8.21	plow	sua.3
8.212	furrow	fə.1; təp.9 jɛu.1
8.22	dig	mit.8 tha.1
8.23	spade	ʔan.6 ta.2
8.24	shovel	sa:u.2 pɛu.6
8.25	hoe	cam.6
8.26	fork	ju.5
8.27	rake	hən.2
8.31	sow	sum.4
8.311	seed	teŋ.1
8.32	mow, reap	mo.2 ka.5
8.33	sickle, scythe	xoŋ.4 va:ŋ.2
8.34	thresh	xo.2 sau.5
8.35	threshing-floor	ho.1 sin.1
8.41	crop, harvest	hɔŋ.3 hən.2
8.42	grain (barley, oats etc)	la.3 tu.6; la.3 tu.6 loŋ.1
8.43	wheat	sau.1 la.3 tu.6
8.44	barley	so.2
8.45	rye	se.6 la.3 tu.6
8.46	oats	ci.1 lek.9
8.47	maize, corn	fa.1 mɔŋ.5
8.48	rice	laŋ.1 lin.6
8.51	grass	sa:ŋ.4
8.52	hay	tha:ŋ.1 fai.2 sa:ŋ.4
8.53	plant (noun)	puŋ.2 fai.2
8.531	plant (vb)	mɔk.7 fai.2
8.54	root	ca:t.8
8.55	branch	ku.5
8.56	leaf	mɔn.1 ho.1
8.57	flower	pha.3 cɔŋ.5
8.6	tree	taŋ.5 ŋoŋ.2
8.61	oak	phən.1
8.62	beech	tɨŋ.6 fai.2
8.63	birch	ten.2 / mi.2 tɛŋ.5
8.64	pine	jɔŋ.5
8.65	fir	kuŋ.2 hən.2
8.66	acorn	hom.5 hən.2 / lop.9 hən.2
8.67	vine	xa.2
8.68	tobacco	pe.6
8.69	smoke (tobacco)	kɔn.6
8.691	pipe	pe.6
8.72	tree stump	lak.7
8.73	tree trunk	pɛn.3 / pa:n.2
8.74	forked branch	la.3 tu.6 kɔŋ.5
8.75	bark	ca:ŋ.6 hin.1
8.76	sap	ʔut.8 / luk.8 cɔn.6
8.81	palm tree	tɔk.9 sa:i.2
8.82	coconut	luk.8 lin.6 / ʔut.8 lin.6
8.83	citrus fruit	kon.2 la.2
8.84	banana tree	la.2
8.85	banyan	hai.6
8.91	sweet potato	son.1 phak.7
8.912	yam	thən.5 thai.1
8.92	tapioca, manioc, cassava	ta.6 xa.5
8.93	gourd	hɔŋ.6 lam.4
8.931	pumpkin, squash	thəŋ.5 / thai.1
8.94	bamboo	hɔi.2 thai.1
8.941	sugar cane	kon.5 / xot.8
8.96	fish poison (root)	lo.3 co.4
8.97	nettle	ca:k.8 / co.4
8.98	mushroom	xo.1; kon.5
9.11	do, make	cha.6
9.12	work	va:n.5 sɔm.3 / va:n.5 fan.2
9.14	bend	fan.2
9.15	fold	pa:t.9
9.16	tie, bind	xeu.2
9.161	untie	po.4 xau.3
9.18	chain	sa:ŋ.2 xau.3
9.19	rope, cord	lɔŋ.6 səu.6 lai.3
9.192	knot (noun)	xau.3 xɔŋ.1
9.21	strike (hit, beat)	mə.3 cɨ.2
9.211	pound with fist	mə.3 loŋ.1
9.22	cut	mə.3 lam.6
