entry_id	trans_english	Sirionó_Phonemic
11.16	get, obtain	isi; tea
11.17	keep, retain	
11.18	thing	mae
11.21	give	mee; moeta
11.22	give back	
11.24	preserve, look after	kerekokiatu
11.25	save, rescue	
11.27	destroy	mutiã; momoo
11.28	harm, injure, damage	maasi
11.31	seek, look for	sekʸa; ɲibikʸa
11.32	find	
11.33	lose	mukiačã
11.34	release, let go	oso; tini i̯
11.43	money	kʸaao; mae isikʸa
11.44	coin	
11.51	rich	maeti
11.52	poor	maeča reã
11.53	beggar	
11.54	avaricious, stingy	
11.61	lend	
11.62	borrow	
11.63	owe	
11.64	debt	
11.65	pay (vb)	si̯bi̯šorõ; mučebi
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	isi; sirõ
11.82	sell	mono; mee
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	
11.88	dear (costly, expensive)	
11.89	cheap	
11.91	share (distribute)	mučao čao
11.92	weigh	
12.1	after	aki̯ re; akere; kote
12.11	behind	eruɨ; ekitera kiti
12.2	beside	
12.3	down, below	ibi kiti; -ki re
12.4	before	kose; ɲii; none
12.41	front	rane
12.5	inside, in	ye; rie; hie
12.6	outside	taikʷee
12.7	under	eki re
12.8	up, above	ibate
12.11	place	eitee; erena; eama
12.12	put	
12.13	sit	ŋoi
12.14	lie down	
12.15	stand	huã; ɲumui; ɲuruã
12.16	remain, stay	sikičõ; ɲiitaso; itõ
12.17	remains, left overs	
12.21	collect, gather	isi; isi-rõ; ɲibikia
12.212	pick up	
12.213	pile up	mati; munua
12.22	join, unite	ɲi̯muča
12.23	separate	ɲao; ɲisia; ɲi̯mučao
12.232	divide	ɲisia; momo; mučao
12.24	open	eekia hi
12.25	shut, close	ɲati; matã; sokoitã; mumi
12.26	cover	ɲati
12.27	hide, conceal	
12.31	high	
12.32	low	
12.33	top	earona
12.34	bottom	
12.35	end	eai
12.352	pointed	eai
12.353	edge	erĩmei; ereme
12.36	side	ehii; ekuti; ekibi
12.37	middle, center	eite
12.41	right (side)	
12.42	left (side)	
12.43	near (adv)	rɨɨ̃; aɨčɨ; ehii
12.44	far (adv)	mũmiri; i̯šo
12.45	east	
12.46	west	
12.47	north	
12.48	south	ɲiiseĩ̯ ŋuiti
12.53	grow	siri; mebo; tiarõ
12.54	measure	
12.541	span, fathom	
12.55	large, big	eri̯ša; ekʷasu
12.56	small, little	eɲetẽ; ekʷake; eɲohõ
12.57	long	eoko
12.58	tall	eoko; ibate; ebuku
12.59	short	ehua; eakʷa
12.61	wide, broad	e'ɨkoɨ; eitee
12.62	narrow	ečumumi; e'ɨkoɨ čɨã
12.63	thick (in dimension)	ɲãnã
12.65	thin (in dimension)	emi̯rĩ̯; ei̯re; eanamea; eitere
12.67	deep	ekʷa; muku
12.68	shallow	
12.71	flat	eturã; ečiabiã
12.73	straight	ečiabiã; ečaareã; eri̯i̯me
12.74	crooked	
12.75	hook	
12.76	corner	ečimaŋũiana
12.77	cross	
12.78	square	
12.81	round	eitee; ečere
12.82	circle	
12.83	sphere, ball	
12.84	line	
12.85	hole	esorei
12.92	like, similar	eraaŋia
12.93	change	siri; uba
13.0	zero, nothing	emoa; mae eã
13.1	one	mi̯i̯; ko-mi̯i̯
13.2	two	ɲeremo
13.3	three	ɲeremo
13.4	four	
13.5	five	
13.6	six	
13.7	seven	
13.8	eight	
13.9	nine	
13.10	ten	
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	
13.105	hundred	
13.106	thousand	
13.107	count	
13.14	every, all	ha
13.15	much, many	eata
13.16	more	
13.17	little (quantity), few	ko mi̯i̯; erukʷa
13.18	enough	etubɨrɨã; eata; eča
13.181	some	emo
13.19	multitude, crowd	ečesea
13.21	full	
13.22	empty	eoreã; eoči̯
13.23	part, piece	eboke; esike
13.24	half	
13.33	alone, only	ae; ačõ; mi̯i̯
13.34	first	r̃ane; ɲii; nii; ɲiina
13.35	last	erui̯na; eai
13.36	second	
13.37	pair	
13.38	two times	
13.42	third	
13.44	three times	
14.11	time	
14.12	age	
14.13	new	eyasu; eaki
14.14	young	
14.15	old	eimã; eai̯; esi̯ŋa
14.16	early	eresaitõ nabe
14.17	late	itõ; kʷẽ
14.18	now	nãmõ; kote; ko mose
14.19	immediately	
14.21	swift, fast, quick	asi; areã; hai̯; mabi̯
14.22	slow	miŋe; siniɲo; are
14.23	hasten, hurry	
14.24	retard, delay	
14.25	begin, beginning	oko ramo
