entry_id	trans_english	Thai_Dialect_Korat_Phonemic
4.162	rib	mɛ:ŋ.2 ma:.1 la:.4; tɔ:.4
4.17	horn	din.1 hun.1
4.18	tail	mɛ:ŋ.2 wan.2
4.19	back	lin.4
4.191	spine	juŋ.2
4.2	head	mɔ:t.4
4.201	side of head, temple	nɔ:n.1
4.202	skull	nɔ:n.1
4.203	brain	nɔ:n.1
4.204	face	jak.5 ka.5 jan.3
4.205	forehead	jiŋ.4 li:t.3
4.207	jaw	piŋ.1
4.208	cheek	tha:k.4
4.209	chin	ŋu:.2
4.21	eye	ŋu:.2 lɨ:am.1; ŋu:.2 la:m.1
4.212	eyebrow	hiŋ.3 hɔi.3
4.213	eyelid	phi:.1 sɨ:a.3
4.214	eyelash	tak.5 ka.5 tɛ:n.1
4.215	blink	hɔ:i.1 tha:k.4
4.22	ear	kop.5
4.221	earlobe	jiŋ.4 jok.5
4.222	earwax	hi:a.4 (hi:a.3); ta.5 kuat.3
4.23	nose	tuk.5 kɛ:.1
4.231	nostril	ta.5 khe:.3
4.232	mucus (nasal)	tau.3
4.24	mouth	tua.1
4.241	beak	naŋ.1
4.25	lip	nɨ:a.4
4.26	tongue	phom.1
4.27	tooth	khau.2
4.271	gums	khon.1
4.272	molartooth	mɔ:i.1
4.28	neck	laŋ.2 khɛ:.2
4.281	nape of neck	ŋɨ:a.3
4.29	throat	lɨ:at.4
4.3	shoulder	sen.3 lɨ:at.4 jai.3
4.301	shoulderblade	ʔen.1
4.302	collarbone	ka.5 du:k.3
4.31	arm	khai.1 ka.5 du:k.3
4.312	armpit	si:.4 kho:ŋ.2
4.32	elbow	khau.1
4.321	wrist	ha:ŋ.1
4.33	hand	laŋ.1
4.331	palm of hand	ka.5 du:k.3 san.1 laŋ.1
4.34	finger	hua.1
4.342	thumb	kha.5 map.5
4.344	fingernail	ka.5 lo:k.3
4.345	claw	sa.5 mɔ:ŋ.1
4.35	leg	na:.3
4.351	thigh	na:.3 pha:k.3
4.352	calf of leg	ka:m.1
4.36	knee	kɛ:m.4
4.37	foot	kha:ŋ.2
4.371	ankle	ta:.1
4.372	heel	khiu.4
4.374	footprint	naŋ.1 ta:.1
4.38	toe	khon.1 ta:.1
4.392	wing	ka.5 phip.4 ta:.1; li:.3 ta:.1
4.393	feather	hu:.1
4.4	chest	tiŋ.3 hu:.1
4.41	breast (of woman)	khi:.3 hu:.1
4.412	nipple, teat	ca.5 mu:k.3
4.42	udder	lu:.2 ca.5 mu:k.3
4.43	navel	khi:.3 mu:k.4
4.44	heart	pa:k.3
4.441	lung	ta.5 ŋɔ:i.2 pa:k.3
4.45	liver	lim.2 fi:.1 pa:k.3
4.451	kidney	lin.4
4.452	spleen	fan.2
4.46	stomach	ŋa:.2; ŋɨ:ak.3
4.461	intestines, guts	ka:m.1
4.462	waist	khɔ:.2
4.463	hip	ton.4 khɔ:.2
4.464	buttocks	khɔ:.2
4.47	womb	lai.3
4.49	testicle	sa.5 bak.5
4.492	penis	hai.1 pa:.1 la:.4
4.51	breathe, breath	khɛ:n.1
4.52	yawn, gape	jak.5 ka.5 lɛ:.4
4.521	hiccough	ta:.1 sɔ:k.3
4.53	cough	khɔ:.3 mɨ:.2
4.54	sneeze	mɨ:.2
