entry_id	trans_english	Romani_Phonemic
4.67	have sexual intercourse	de- minž
4.68	shiver	šudr-imos
4.69	bathe	nʸar-
4.71	beget (of father)	ker-
4.72	born (to be)	arakʰ
4.73	pregnant	kʰamni
4.732	conceive	
4.74	live, living, life	živ; živdo; živipen; [traio]
4.75	die, dead	mer-; mulo
4.751	drowned	tasavdo
4.76	kill	mudar-
4.77	corpse	mulo
4.78	bury (the dead)	praxar-
4.79	grave, tomb	[groapa]; [morminto] ~ [murmunto] ~ [mormuntso]; limori
4.81	strong, mighty, powerful	zoralo
4.82	weak	kovlo; bizuralo; [sabo]
4.83	well, health	sasto; sastimos
4.84	sick, sickness	nasvalo; nasvalimos
4.841	fever	[zaro]
4.842	goiter	[gus]
4.843	cold (catarrh)	[trozna]
4.85	wound, sore	šindimos
4.852	bruise	[fanari]; [vunec̷alya]
4.853	swelling	pʰuc̷imos; šuvlimos; šuvlipe
4.854	itch	xandž
4.855	blister	boska
4.856	boil (noun)	[buboi]
4.857	pus	pʰum
4.858	scar	[sumno]
4.86	cure, heal	sastiar-
4.87	physician	[doktoro] ~ [doftoro]
4.88	medicine, drug	drab
4.89	poison	[otrov]
4.91	tired, weary	kʰino
4.912	rest	[odina], [odinimos]
4.92	lazy	kʰančesko; kʰandino
4.93	bald	[bubalenso]; [piyasovo]; pʰako
4.94	lame	langalo
4.95	deaf	kašuko
4.96	mute	laloʀo
4.97	blind	koʀo
4.98	intoxicated	mato
4.99	naked, bare	nango
5.11	eat	xa-
5.12	food	xaben
5.121	cooked	kiravdo
5.122	raw	ivand
5.123	ripe	pako
5.124	green, unripe	na pako
5.125	rotten	kerno
5.13	drink	pi-
5.14	hunger	bokʰ
5.141	famine	bokʰ
5.15	thirst	truš
5.16	suck	c̷ird-; čaʀ-
5.18	chew	čamb-
5.181	swallow	nakʰav-
5.19	choke	tasuv-
5.21	cook	kirav-
5.22	boil (vb)	kirav-
5.23	roast, fry	pek-
5.24	bake	pek-
5.25	oven	bov
5.26	pot, cooking vessel	piri
5.27	kettle	[kakavi]
5.28	pan	[isto]; [kakavi]; piri; [tipsia]
5.31	dish	čaro; [tiari]
5.32	plate	[tiari]
5.33	bowl	čaro
5.34	pitcher, jug	piri; kʰoro
5.35	cup, drinking vessel	taxtai; [kuči]; [poharo]
5.36	saucer	[tiaric̷i]
5.37	spoon	ʀoy
5.38	knife	šʸuri
5.39	fork	[furka]
5.391	tongs	[kleasto]
5.41	meal (a)	xaben
5.42	breakfast	[prinzo]; dimneac̷ako xaben
5.43	lunch	[mizmeri]; [meazic̷o]
5.44	dinner	--
5.45	supper	ratiako xaben
5.46	peel	rand-
5.47	sieve, strain	[sita]; [c̷uro]
5.48	scrape	rand-; [skirisar]
5.49	stir, mix	[hamisar-]; [miskisar-]
5.51	bread	maʀo
5.53	dough	xumer
5.54	knead	[frementisar-]
5.55	meal, flour	aro
5.56	crush, grind	litiar-; ičar-
5.57	mill	asav
