entry_id	trans_english	Sui_Phonemic
4.732	conceive	fa:n.2
4.74	live, living, life	wjan.1
4.75	die, dead	lju.1
4.751	drowned	lin.5
4.76	kill	tət.7
4.77	corpse	ʔniu.5
4.78	bury (the dead)	qe.4
4.79	grave, tomb	tu.3 tiŋ.1; tu.3 qa:k.7
4.81	strong, mighty, powerful	kau.5; ʔbja:n.3
4.82	weak	he.4 ʔa:p.7
4.83	well, health	ha:ŋ.4
4.84	sick, sickness	ha:ŋ.4
4.841	fever	thjak.7 la:k.8
4.842	goiter	thjak.7 la:k.8
4.843	cold (catarrh)	śu.3; ha:ŋ.4 pa:k.7
4.85	wound, sore	tai.1
4.852	bruise	ʔjum.5 tai.1
4.853	swelling	ha.3
4.854	itch	ha:i.2
4.855	blister	ha:ŋ.5
4.856	boil (noun)	fən.2
4.857	pus	lik.8 lui.2; han.5
4.858	scar	tjoŋ.5; weak
4.86	cure, heal	ʔdai.1
4.87	physician	pjeŋ.5; ćit.7
4.88	medicine, drug	sut.7 na:n.4
4.89	poison	je.1
4.91	tired, weary	ʔńit.7 nho.1
4.912	rest	ndaŋ.5 loŋ.2
4.92	lazy	lan.5; tja:ŋ.3 te.5
4.93	bald	pu.1; cum.2 lan.5
4.94	lame	pu.1
4.95	deaf	pu.1; ćit.8
4.96	mute	tum.5 nam.3
4.97	blind	lum.5; kət.7
4.98	intoxicated	sok.8
4.99	naked, bare	cum.2 lan.5
5.11	eat	ho.4 ha.2
5.12	food	zən.1 ho.4 ha.2; ʔai.3 ha:ŋ.6 qau.5 sja.3
5.121	cooked	ha.2
5.122	raw	ha.2 tu.2
5.123	ripe	ho.4 ha.2 tu.2
5.124	green, unripe	fe.3; ʔne.5
5.125	rotten	lwa.5; lwa.5 ʔji.1
5.13	drink	hət.7
5.14	hunger	qam.4 lo.4
5.141	famine	ʔdak.7
5.15	thirst	khip.7 lo.5
5.16	suck	ko.4; ʔmət.7
5.18	chew	tjaŋ.5
5.181	swallow	tu.3 lja:n.3
5.19	choke	cje.1
5.21	cook	ʔdən.3; ʔau.; qeŋ.1
5.22	boil (vb)	sok.8
5.23	roast, fry	ʔdjəp.7
5.24	bake	sok.8
5.25	oven	śu.1; mi.4 sok.8
5.26	pot, cooking vessel	ran.2
5.27	kettle	ɣəm.4
5.28	pan	ʔja:k.7
5.31	dish	siu.5 pa:k.7
5.32	plate	śut.7
5.33	bowl	mha:k.7; ma.6
5.34	pitcher, jug	ʔdan.1
5.35	cup, drinking vessel	hok.7
5.36	saucer	śuŋ.1
5.37	spoon	pja:u.6
5.38	knife	sa:u.3
5.39	fork	phja:u.1; kha:ŋ.1
5.391	tongs	lu.4
5.41	meal (a)	ceŋ.6
5.42	breakfast	peŋ.2 cja.2
5.43	lunch	tjep.8
5.44	dinner	pon.2
5.45	supper	tui.4
5.46	peel	peŋ.2
5.47	sieve, strain	cuŋ.1
5.48	scrape	tjep.8
5.49	stir, mix	ʔbja:i.5 te.3
5.51	bread	mit.8
5.53	dough	sa.1
5.54	knead	ćem.2
5.55	meal, flour	ʔau.4
5.56	crush, grind	ʔau.4 śət.7
5.57	mill	ʔau.4 wan.1
5.58	mortar	ʔau.4 ʔńam.5
5.59	pestle	mut.8; ɣut.8
5.61	meat	pən.6; ɣu.2
5.63	sausage	kot.8; fut.7
5.64	soup, broth	qeu.2; jon.1
5.65	vegetables	jon.1 fa.6 ʔau.4 mo.6
5.66	bean	fa.6 ʔau.4 mo.6
5.7	potato	ha:k.7
5.71	fruit	ńen.6
5.712	bunch	fan.5; pan.5
5.75	fig	kwən.6 ńen.6
5.76	grape	cəm.2 kəm.1
5.77	nut	ndən.1 kum.1; kum.1
5.78	olive	na:n.4
5.79	oil	ca:u.5 ʔjen.3
5.791	grease, fat	lu.5
5.81	salt	ʔma.1
5.82	pepper	fak.7 to.6
5.821	chili pepper	qam.2 to.2
5.84	honey	lja:n.5; lam.2 lja:n.5
5.85	sugar	ʔŋa.1
5.86	milk (noun)	siŋ.1
5.87	milk (vb)	kwa.1 tjeŋ.1
5.88	cheese	ća.6
5.89	butter	jo:ŋ.4 wi.1; man.2 ha:n.3
5.9	beverage, drink	lam.1; kai.2
5.91	mead	ndja:n.5; koŋ.2
5.92	wine	ʔit.7
5.93	beer	toi.5
5.94	fermented drink	jau.4
5.97	egg	man.2
5.971	egg yolk	pi.2
6.11	put on (clothes)	na:u.2
6.12	clothing, clothes	ʔdwa.1
6.13	tailor	fu.4 cja:u.3
6.21	cloth	ta:ŋ.2 luk.8
6.22	wool	ta:ŋ.2
6.23	linen, flax	tiu.4
6.24	cotton	pan.3
6.25	silk	ha:u.3 ʔit.7
6.27	felt	ha:u.3 phi.4 ciu.6
6.28	fur	kai.5
6.29	leather	ʔńui.1 mha:n.3
6.31	spin	tan.3
6.32	spindle	ʔduk.7
6.33	weave	tak.8 tip.7 ʔduk.7; ni.4 tip.7 ʔduk.7
6.34	loom	ʔja.1
6.35	sew	ma:u.4
6.36	needle	ra:n.1; ha.1
6.37	awl	fa:i.5; mjon.2
6.38	thread	min.2; qa:u.3
6.39	dye	zuŋ.4
6.41	cloak	cən.1
6.411	poncho	pi.2
6.42	woman's dress	jat.8 fa:i.5
6.43	coat	hok.7
6.44	shirt	jat.8
6.45	collar	ndaŋ.5
6.46	skirt	tip.7
6.461	grass-skirt	sum.1
6.48	trousers	ha:k.8; sum.1 sui.3
6.49	stocking, sock	fa:n.6; mbiu.1
6.51	shoe	ńum.4
6.52	boot	ʔba.1 ji.1
6.54	shoemaker, cobbler	ʔduk.7 ʔu.1
6.55	hat, cap	ʔduk.7 ra:u.3; ʔduk.7 chən.1 ji.3
6.57	belt, girdle	qo.4 lin.6 ʔduk.7
6.58	glove	śən.3
6.59	veil	huŋ.3; fuŋ.3
6.61	pocket	jo.1; ma:t.7
6.62	button	ca:k.7
6.63	pin	ʔai.3 fa:ŋ.1 ca:k.7
6.71	ornament, adornment	ńon.4
6.72	jewel	la:k.7 phan.1 ndən.1
6.73	ring (for finger)	fa.3 mja.1
6.74	bracelet	fa.3 qau.3; ʔma:n.5 qam.4
6.75	necklace	sa:u.1
6.76	bead	lu.2; tap.7
6.77	earring	fin.1
