entry_id	trans_english	Khanty_Phonemic
6.11	put on (clothes)	ləmaltatɨ
6.12	clothing, clothes	ləmatsux
6.13	tailor	ləmatsux yonttɨ xoyat
6.21	cloth	sʸeškan; nuy
6.22	wool	pun sʸeškan
6.23	linen, flax	sʸeškan
6.24	cotton	sʸeškan
6.25	silk	yer̃mak
6.27	felt	katanka
6.28	fur	woy punaŋ sux
6.29	leather	sux
6.31	spin	yeŋtti
6.32	spindle	yeŋt
6.33	weave	- -
6.34	loom	- -
6.35	sew	yonttɨ
6.36	needle	yintup
6.37	awl	yoš pur̃
6.38	thread	suxum
6.39	dye	olʸupn ner̃tɨ
6.41	cloak	yer̃t sux
6.411	poncho	- -
6.42	woman's dress	yer̃nas
6.43	coat	wan sax; xoptan
6.44	shirt	yer̃nas
6.45	collar	r̃ux
6.46	skirt	yupka
6.461	grass-skirt	- -
6.48	trousers	ayer̃nas; kasʸ
6.49	stocking, sock	wʸey
6.51	shoe	sopʸek; pošmʸek
6.52	boot	sopʸek
6.54	shoemaker, cobbler	sopʸek yonttɨ xoyat; pošmʸek yonttɨ xoyat
6.55	hat, cap	mʸil
6.57	belt, girdle	antup
6.58	glove	luyn pos
6.59	veil	- -
6.61	pocket	sʸep
6.62	button	poxl ~ nʸul
6.63	pin	- -
6.71	ornament, adornment	xur̃am
6.72	jewel	tɨnaŋ kʸew
6.73	ring (for finger)	ləyt
6.74	bracelet	- -
6.75	necklace	tur̃lops
6.76	bead	sak
6.77	earring	sʸimsʸik
6.78	headband, headdress	- -
6.79	tattoo	- -
6.81	handkerchief, rag	pulx pəsti sux; lanʸsʸak; r̃akasʸi
6.82	towel	wenš moŋxtɨ sux
6.91	comb	kunšup
6.92	brush	sʸotka
6.921	braid	sewtɨ; sew
6.93	razor	- -
6.94	ointment	ler̃
6.95	soap	lunʸsʸax ~ moytek
6.96	mirror	wenš wanttɨ wux
7.11	dwell, live	wəltɨ
7.12	house	xot
7.13	hut	xot
7.131	garden-house	xot
7.14	tent	par̃sʸin xot
7.15	yard, court	xot puŋal taxʸi
7.16	men's house	- -
7.17	cookhouse	- -
7.18	meeting house	ux puntɨ; poyiksʸatɨ xot
7.21	room	xot yit
7.22	door, gate	ow; pəšas ow
7.221	doorpost, jamb	ow xošap
7.23	lock (noun)	tuman
7.231	latch, door-bolt	ow kattup
7.24	key	tuman nʸalum
7.25	window	išnʸi
7.26	floor	xotxar̃ɨ
7.27	wall	xot pawar̃t; xot puŋal
7.31	fireplace	kər̃
7.32	stove	kər̃
7.33	chimney	tur̃pa
7.37	ladder	xəŋxep
7.42	bed	ultɨ lot
7.421	pillow	usum xɨr̃
7.422	blanket	laŋkup
7.43	chair	bəlas
7.44	table	pasan
7.45	lamp, torch	lampa
7.46	candle	iswesʸa
7.47	shelf	nur̃um
7.48	trough	xur̃ɨ
7.51	roof	xotlaŋal
7.52	thatch	tur̃n xotlaŋal
7.53	ridgepole	- -
7.54	rafter	- -
7.55	beam	pawar̃t
7.56	post, pole	aŋkal; nɨr̃
7.57	board	soxal
7.58	arch	- -
7.61	mason	kʸew seŋktɨ xoyat
7.62	brick	kʸir̃masʸ
7.63	mortar	- -
7.64	adobe	- -
8.11	farmer	muw xusʸa r̃əpittɨ xoyat
8.12	field (for cultivation)	xar̃
8.13	garden	osʸ; okr̃ot
8.15	cultivate, till	muw šukattɨ
8.16	fence	okr̃ot wer̃tɨ
8.17	ditch	xulɨ
8.21	plow	muw šukattɨ
8.212	furrow	xulɨ
8.22	dig	xʸir̃tɨ
8.23	spade	sar̃; kar̃tsar̃
8.24	shovel	sar̃
8.25	hoe	- -
8.26	fork	wula
8.27	rake	kunšpaŋ yux
8.31	sow	lant sem omastɨ
8.311	seed	sem
8.32	mow, reap	sewar̃tɨ
8.33	sickle, scythe	tur̃n sewar̃tɨ kar̃tɨ
8.34	thresh	- -
8.35	threshing-floor	kum
8.41	crop, harvest	lant tur̃n sewar̃tɨ pur̃a
8.42	grain (barley, oats etc)	lant
8.43	wheat	nuwi lant tur̃n; nuwi lant sem
8.44	barley	- -
8.45	rye	al nʸanʸ tur̃n
8.46	oats	low lant
8.47	maize, corn	- -
8.48	rice	- -
8.51	grass	tur̃n; wanši
8.52	hay	tur̃n
8.53	plant (noun)	tur̃n
8.531	plant (vb)	omastɨ
8.54	root	ler̃
8.55	branch	nuw
8.56	leaf	lɨpat
8.57	flower	tʸatʸi
8.6	tree	yux
8.61	oak	- -
8.62	beech	- -
8.63	birch	sumat
8.64	pine	bənši
8.65	fir	xəl
8.66	acorn	- -
8.67	vine	- -
8.68	tobacco	šar̃
8.69	smoke (tobacco)	šar̃ laltɨ
8.691	pipe	tur̃pka
8.72	tree stump	aŋkal
8.73	tree trunk	yux
8.74	forked branch	nuw
8.75	bark	kar̃
8.76	sap	- -
8.81	palm tree	- -
8.82	coconut	- -
8.83	citrus fruit	- -
8.84	banana tree	- -
8.85	banyan	- -
8.91	sweet potato	eplaŋ kar̃təpka
8.912	yam	yam; yams
8.92	tapioca, manioc, cassava	- -
8.93	gourd	- -
8.931	pumpkin, squash	- -
8.94	bamboo	- -
8.941	sugar cane	- -
8.96	fish poison (root)	- -
8.97	nettle	- -
8.98	mushroom	tulax
9.11	do, make	wʸer̃tɨ; wʸer̃attɨ
9.12	work	r̃əpittɨ
9.14	bend	xutaltɨ; kusaltɨ
9.15	fold	i taxʸiya punɨyltɨ
9.16	tie, bind	yir̃tɨ
9.161	untie	losɨtti
9.18	chain	kar̃tkʸel; sʸuŋk
9.19	rope, cord	kʸel
9.192	knot (noun)	monxal
9.21	strike (hit, beat)	xatʸsʸatɨ; weltɨ
9.211	pound with fist	sʸaxnɨn xatʸsʸati
9.22	cut	ewattɨ; sewar̃tɨ
9.221	cut down	ewattɨ
9.222	chop, hew	sewar̃tɨ
9.223	stab	lonʸsʸtɨ
9.23	knife	kʸeši
9.24	scissors, shears	kat yonlun kʸeši
9.25	ax	layum
9.251	adze	- -
9.26	break	šukattɨ
9.261	broken	šukatum
9.27	split	sewar̃tɨ
9.28	tear	manšitɨ
9.29	flay, skin	xur̃tɨ
9.31	rub, wipe	ner̃tɨ
9.32	stretch	lakka taltɨ
9.33	pull	taltɨ
9.34	spread out	laŋktɨ; par̃ŋaltɨ
9.341	hang up	ixattɨ; exattɨ
9.342	press	taŋar̃tti; nʸor̃ttɨ
9.343	squeeze, wring	taŋar̃ttɨ
9.35	pour	šošumtɨ
9.36	wash	lʸuxattɨ; xul ner̃tɨ; xul muŋxtɨ
9.37	sweep	yowaltɨ
9.38	broom	yowlapsa
9.422	tool	por̃mas
9.43	carpenter	xot omastɨ xoyat
9.44	build	omastɨ
9.46	bore	pur̃attɨ
9.461	hollow out	moxtɨ pur̃attɨ
9.48	saw	yux ewattɨ kar̃tɨ
9.49	hammer	sʸak ~ seŋkup
9.5	nail	kar̃luŋk
9.56	glue	aym
9.6	smith, blacksmith	kar̃tɨ seŋktɨ xoyat
9.61	forge	kar̃tɨ seŋktɨ
9.62	anvil	kar̃tɨ seŋktɨ kʸew
9.63	cast (metals)	kar̃tɨ pur̃mas wʸer̃tɨ
9.64	gold	sor̃nʸi
9.65	silver	sʸel wux
9.66	copper, bronze	patar̃ ox
9.67	iron	kar̃tɨ
9.68	lead (noun)	- -
9.69	tin, tinplate	- -
9.71	potter	- -
9.72	mold (clay etc)	wʸer̃attɨ; laktɨ
9.73	clay	suxta
9.74	glass	lɨs
9.75	weave, plait	sewtɨ
9.76	basket	xʸint; xošap
9.77	mat	lapi
9.771	rug	- -
9.78	netbag	xolap
9.79	fan (noun)	- -
9.791	fan (vb)	sɨstamttɨ
9.81	carve	lʸaktɨ; wʸer̃attɨ
9.82	sculptor	wʸer̃attɨ xoyat
9.83	statue	- -
9.84	chisel	- -
9.88	paint (noun)	olʸup
9.89	paint (vb)	olʸuptatɨ
10.11	move	xatlmatɨ; yelšak nʸoxtatɨ
10.12	turn over	kar̃ematɨ
10.13	turn around	lar̃ɨttɨ
10.14	wind, wrap	yuwar̃matɨ
10.15	roll	lar̃ɨttɨ
10.16	drop (vb)	il pawattɨ
10.17	twist	kar̃ematɨ; kʸer̃attɨ
10.21	rise	nux wʸer̃latɨ; nux lolʸtɨ
10.22	raise, lift	nux alumtɨ
10.23	fall	il pitɨyltɨ
10.24	drip	posɨtɨ; uwtɨ
10.25	throw	wusʸkatɨ
10.252	catch (ball)	katltɨ; weltɨ
10.26	shake	par̃kattɨ
10.32	flow	uwtɨ
10.33	sink	yiŋka šəyittɨ
10.34	float	wəsʸtɨ; wəsʸiyltɨ
10.35	swim	wəsʸti; wəsʸiyltɨ
10.351	dive	mar̃tatlʸatɨ; yiŋka wuxaltɨ
10.352	splash	r̃uwtɨ; r̃uwaltɨ
10.36	sail (vb)	wəsʸtɨ; wəsʸiyltɨ
10.37	fly (vb)	pər̃latɨ
10.38	blow	pultɨ
10.41	creep, crawl	waŋkʸiyltɨ
10.412	kneel	šanš əxtɨyn lolʸtɨ
10.413	crouch	makar̃lɨyltɨ
10.42	slide, slip	wulʸkʸematɨ
10.43	jump, leap	nawar̃matɨ
10.431	kick	šuŋxsatɨ
10.44	dance	yaktɨ
10.45	walk	mantɨ; yaŋxtɨ; šuštɨ
10.451	limp	nuxtɨ
10.46	run	xəxaltɨ
10.47	go	mantɨ; šəšti
10.471	go up	nux xəŋxtɨ
10.472	climb	xəŋxtɨ; xəŋxʸiyltɨ
10.473	go down	il eslasʸiyltɨ
10.474	go out	kʸim etmiyltɨ; kʸim etlʸatɨ; kʸim etmatɨ
10.48	come	yuxattɨ; yuxatɨyltɨ
10.481	come back	yuxlɨ kʸer̃lɨyltɨ; yuxʸi yuxattɨ
10.49	go away, depart	kʸim ettɨ
10.491	disappear	wəšiyltɨ
10.51	flee	xəxalti
10.52	follow	kusʸtɨ; ar̃tasʸman wanttɨ
10.53	pursue	nʸoxaltɨ
10.55	reach, arrive	yuxattɨ
10.56	approach	wanemiyltɨ
10.57	enter	luŋtɨ
10.61	carry (bear)	tətɨ; altɨ
10.612	carry-in-hand	yoš lɨpʸiyn altɨ
10.613	carry-on-shoulder	laŋkar̃ əxtɨyn altɨ
10.614	carry-on-head	ux əxtɨyn alti
10.615	carry-underarm	puxal lɨpʸiyn altɨ
10.62	bring	tətɨ
10.63	send	kittɨ
10.64	lead (vb)	wanltatɨ; tətɨ
10.65	drive	wošattɨ
10.66	ride	mantɨ
10.67	push, shove	pəxaltɨ
10.71	road	yəš ~ pant
10.72	path	yəš xər̃
10.74	bridge	untas
10.75	carriage, wagon, cart	- -
10.76	wheel	lak
10.77	axle	- -
10.78	yoke	- -
10.81	ship	tutaŋ xop
10.83	boat	xop
10.831	canoe	xop
10.832	outrigger	- -
10.84	raft	pur̃
10.85	oar	ləp
10.851	paddle (noun)	ləp
10.852	row (vb)	lowaltɨ
10.86	rudder	sewas
10.87	mast	par̃š aŋkal
10.88	sail (noun)	par̃š
10.89	anchor	wuŋlep; yakar̃
10.91	harbor, port	- -
10.92	land (vb)	wut mantɨ; xoytɨ
11.11	have	taytɨ
11.12	own, possess	taytɨ
11.13	take	wutɨ; wuylʸatɨ; alematɨ
11.14	seize, grasp	alematɨ; katltɨ
11.15	hold	taytɨ
11.16	get, obtain	wutɨ; yoša pawattɨ; musʸattɨ; weltɨ
11.17	keep, retain	taytɨ
11.18	thing	ut ~ pur̃mas
11.21	give	matɨ
11.22	give back	matɨ; yuxlɨ kʸer̃latɨ
11.24	preserve, look after	šawʸilatɨ
11.25	save, rescue	nux pasayttɨ
11.27	destroy	r̃awa šukattɨ; wonʸsʸala wʸer̃tɨ
11.28	harm, injure, damage	atum wʸer̃tɨ
11.31	seek, look for	kanštɨ
11.32	find	əyttɨ; əytʸatɨ
11.33	lose	ətšiyltɨ
11.34	release, let go	esltɨ
11.43	money	wux
11.44	coin	ay wux
11.51	rich	tasʸiŋ
11.52	poor	nuša; šəkaŋ
11.53	beggar	mʸet nuša
11.54	avaricious, stingy	sʸakar̃
11.61	lend	ar̃ɨntaya matɨ
11.62	borrow	ar̃ɨntaya wutɨ
