entry_id	trans_english	Wapishana_Phonemic
2.63	son-in-law (of a man)	-ˀdiniẓɨ
2.631	son-in-law (of a woman)	-ˀdiniẓɨ
2.64	daughter-in-law (of a man)	-ˀdiniẓu
2.641	daughter-in-law (of a woman)	-ˀdiniẓu
2.71	stepfather	-ˀdarɨura
2.72	stepmother	-ˀdaru-waˀba
2.73	stepson	-ˀdaniura
2.74	stepdaughter	-ˀdani-aˀba
2.75	orphan	ma-ɨˀdani-wai
2.76	widow	maukʰaiˀba u-ˀdaiarɨ
2.77	widower	maukʰaiˀba ɨ-ˀdaiaru
2.81	relatives, kinsmen	-iriˀban-nau
2.82	family	-iriˀban-nau
2.91	I	ũgar-ɨ
2.92	you (singular)	pʰɨgar-ɨ
2.93	he/she/it	ɨrɨɨ; uruu
2.94	we	waɨnau
2.941	we (inclusive)	waɨnau
2.942	we (exclusive)	waɨnau
2.95	you (plural)	ɨnau
2.96	they	ĩnau
3.11	animal	ɨẓai
3.12	male (adj)	[kʰaẓutʰi]
3.13	female (adj)	ẓɨna
3.15	livestock	ɨẓai-nau
3.16	pasture	ĩ-aruwapʰa kʰiẓ
3.18	herdsman	pʰakʰiẓu
3.19	stable, stall	
3.2	cattle (bovine)	tʰapʰiʔiẓa-nau
3.21	bull	[kʰaẓutʰi]
3.22	ox	
3.23	cow	tʰapʰiʔiẓa-ˀba ~ tʰapʰiʔiẓ
3.24	calf	tʰapʰiʔiẓa-ˀdani
3.25	sheep	[kʰaẓiniẓu]
3.26	ram	[kʰaẓutʰi]
3.28	ewe	[kʰaẓiniẓu]-waˀba
3.29	lamb	[kʰaẓiniẓu] ˀdani
3.32	boar	
3.34	sow	kʰuuši-aˀba
3.35	pig	kʰuuši
3.36	goat	
3.37	he-goat	[kʰaẓutʰi]
3.38	kid	
3.41	horse (equine)	[kʰawaru]
3.42	stallion	[kʰaẓutʰi]
3.44	mare	[kʰawaru]-waˀba
3.45	foal, colt	[kʰawaru] ˀdani
3.46	ass, donkey	[čʰaakʰaši]
3.47	mule	[ˀbuuẓu]
3.5	fowl	kʰɨrɨkʰɨ
3.52	cock, rooster	kʰɨrɨkʰɨ
3.54	hen	kʰɨrɨkʰɨ-aˀba
3.55	chicken	kʰɨrɨkʰɨ
3.56	goose	
3.57	duck	ˀbai
3.58	nest	-šimakʰa
3.581	bird	kʰutʰɨʔɨẓa
3.582	seagull	
3.583	heron	wakʰara
3.584	eagle	kʰukʰui
3.585	hawk	kʰara-kʰarari
3.586	vulture	watʰu
3.591	bat	tʰamarɨu
3.592	parrot	waru
3.593	crow	watʰu
3.594	dove	uriˀdi
3.596	owl	masuwikʰi
3.61	dog	arimarakʰa
3.614	rabbit	
3.62	cat	pʰišan
3.622	opossum	yawari
3.63	mouse, rat	kʰurii
3.65	fish	kʰupʰaɨ
3.652	fin (dorsal)	kʰupʰaɨ ẓĩĩu
3.653	fishscale	kʰupʰaɨ maˀda
3.654	gill	-irikʰanaɨ
3.655	shell	-maˀda
3.661	shark	--
3.662	porpoise, dolphin	pʰuuwa
3.663	whale	--
3.664	stingray	ˀdyɨɨˀbɨrɨ
3.665	freshwater eel	kʰasumi
3.71	wolf	
3.72	lion	
3.73	bear	
3.74	fox	warɨẓu
3.75	deer	aru
3.76	monkey	pʰuwatʰɨ
3.77	elephant	--
3.78	camel	--
3.81	insect	
3.811	louse	nai
3.812	nit (louse egg)	wiẓai
3.813	flea	kʰuwaiˀba
3.814	centipede	pʰišiˀbaʔi
3.815	scorpion	kʰankʰurɨn
3.816	cockroach	ˀbašarau
3.817	ant	matʰɨ
3.818	spider	suuwa
3.819	spider web	suuwa šimakʰa
3.82	bee	maˀbaˀdarɨ
3.821	beeswax	maˀbaiˀba
3.822	beehive	maˀba ˀdapʰɨ
3.823	wasp	čʰimikʰiʔi
3.83	fly	tʰaruˀbaru
3.831	sandfly (midge), gnat	ˀdɨˀdɨˀbaru; ẓiiẓiˀba
3.832	mosquito	misu
3.84	worm	pʰaẓaru
3.85	snake	kʰuwaẓaẓ
3.91	firefly	mau-mauri
3.92	butterfly	mapʰapʰaru
3.93	grasshopper	čʰiwau
3.94	snail	uwaɨ
3.95	frog	kʰiˀbaru
3.96	lizard	kʰuitʰu
3.97	crocodile, alligator	kʰanawaˀda; atʰurɨ
3.98	turtle	ˀdaẓau
4.11	body	-naanaa
4.12	skin, hide	-maˀda
4.13	flesh	-ˀdɨnaa
4.14	hair (head)	-ẓuwaɨ-ˀdi
4.142	beard	-ˀdinu
4.144	body hair	-iši
4.145	pubic hair	-šimarau
4.146	dandruff	-ẓuwaɨ pʰuʔukʰan
4.15	blood	iẓai
4.151	vein, artery	iẓai ẓɨnaa
4.16	bone	niwaʔɨ
4.162	rib	-araˀdɨˀdɨ
4.17	horn	-uẓuu
4.18	tail	-ˀdyɨu
4.19	back	-ˀbaraɨ
4.191	spine	-ˀdawɨʔi
4.2	head	-ẓuwaɨ
4.201	side of head, temple	
4.202	skull	-ẓuwaɨ niwaʔɨẓ
4.203	brain	-aɨkʰɨu
4.204	face	-awɨn ˀbara
4.205	forehead	-tʰauwɨ
4.207	jaw	-awaʔɨ
4.208	cheek	-kʰawaẓuu
4.209	chin	-awaʔɨ
4.21	eye	-awɨn
4.212	eyebrow	-ˀdiitʰapʰu
4.213	eyelid	-awɨn maˀda
4.214	eyelash	-ˀdipʰau
4.215	blink	ˀbɨs-ˀbɨsɨa-n
4.22	ear	-tʰaini
4.221	earlobe	
4.222	earwax	tʰainii ˀdikʰa
4.23	nose	-iˀdiˀba
4.231	nostril	-iˀdiˀba ɨnɨ
4.232	mucus (nasal)	-iˀdiˀba ˀdikʰa
4.24	mouth	-ˀdakʰu
4.241	beak	-ˀdakʰu
4.25	lip	-ˀdakʰu maˀda
4.26	tongue	-ninuˀba
4.27	tooth	-ɨˀdakʰu
4.271	gums	-ɨˀdakʰu ẓaẓinaa
4.272	molartooth	-kʰaẓaɨ
4.28	neck	-kʰanaɨ
4.281	nape of neck	-tʰurukʰanaɨ
4.29	throat	-šararan
4.3	shoulder	-tʰawaˀda
4.301	shoulderblade	-tʰawaˀda ˀdara
4.302	collarbone	-tʰaramirun
4.31	arm	-anuˀba
4.312	armpit	-kʰišapʰu
4.32	elbow	-pʰutʰuri
4.321	wrist	-kʰaʔɨ ˀdikʰuĩĩpʰan
4.33	hand	-kʰaʔɨ
4.331	palm of hand	-kʰaʔɨ ˀdara
4.34	finger	-kʰaʔɨ šɨu
4.342	thumb	-kʰaʔɨ ˀdarɨɨˀdaʔɨ
4.344	fingernail	-ˀbaẓi
4.345	claw	-ˀbaẓi
4.35	leg	-tʰaˀbaʔɨ
4.351	thigh	-ukʰuˀba
4.352	calf of leg	-kʰaˀdɨɨẓuu
4.36	knee	-kʰuˀduru
4.37	foot	-kʰiˀdiˀba
4.371	ankle	-ˀbaruriʔi
4.372	heel	-uruˀda
4.374	footprint	-pʰunaa
4.38	toe	-kʰiˀdiˀba šɨu
4.392	wing	-kʰɨtʰɨˀba
4.393	feather	-iˀdi
4.4	chest	-ˀdukʰuriˀdi
4.41	breast (of woman)	-ˀdɨn
4.412	nipple, teat	-ˀdɨn ẓuwaɨ
4.42	udder	-ˀdɨn ẓuwaɨ
4.43	navel	-ẓaraɨ
4.44	heart	-nyɨkʰɨnɨɨ
4.441	lung	-šiin
4.45	liver	-kʰɨˀbaa
4.451	kidney	-šiẓurin
4.452	spleen	-ˀbarawan
4.46	stomach	-tʰuˀba
4.461	intestines, guts	-ukʰuru
4.462	waist	-kʰunuun
4.463	hip	-pʰurauwaʔɨ
4.464	buttocks	-ˀduẓun
4.47	womb	kʰuraiˀdaunaa šimakʰa
4.49	testicle	-kʰɨɨ
4.492	penis	-tʰyɨɨ
4.51	breathe, breath	-niẓuwa-n; niẓu-ĩĩa-n
4.52	yawn, gape	tʰaˀbaawa-n
4.521	hiccough	čʰakʰamaʔɨa-n
4.53	cough	ušuwa-n
4.54	sneeze	ačʰuuwa-n
4.55	perspire	mašikʰia-n
4.56	spit	supʰitʰa-n
4.57	vomit	tʰaitʰa-n
4.58	bite	arutʰa-n
4.59	lick	pʰiẓuwa-n
4.591	dribble	saˀbiʔikʰipʰa-n
4.61	sleep	ˀdaʔawɨ-n
4.612	snore	kʰuẓuẓuwa-n
4.62	dream	kʰa-ẓanˀdaʔautʰ-ĩĩa-n
4.63	wake up	pʰukʰuˀda-n
4.64	break wind	aiˀda-n
4.65	urinate	tʰatʰakʰa-n
4.66	defecate	čʰuuˀda-n
4.67	have sexual intercourse	ẓimaˀda-n
4.68	shiver	nakʰa-nakʰa-n
4.69	bathe	kʰaupʰa-n
4.71	beget (of father)	
4.72	born (to be)	šakʰatʰa-n
4.73	pregnant	kʰaʔaẓuutʰ-ĩĩ-pʰa-n
4.732	conceive	kʰa-ɨˀdani-n
4.74	live, living, life	kʰakʰɨpʰa-ʔu
4.75	die, dead	mauwakʰa-n
4.751	drowned	nara-n
4.76	kill	ẓuwia-n
4.77	corpse	maʔačʰai
4.78	bury (the dead)	ˀdiˀda-n
4.79	grave, tomb	ˀbaranai
4.81	strong, mighty, powerful	maˀbuẓakʰa
4.82	weak	kʰakʰɨtʰaiman
4.83	well, health	ẓiwɨ
4.84	sick, sickness	kʰa-rina-n; rinai
4.841	fever	-maˀda wiičʰa-n
4.842	goiter	
4.843	cold (catarrh)	ẓaakʰarɨ
4.85	wound, sore	ˀbišui
4.852	bruise	
4.853	swelling	šiia-n
4.854	itch	ˀdawɨ-n
4.855	blister	pʰɨrɨruˀda-n
4.856	boil (noun)	-ˀbaišin
4.857	pus	ˀbišui
4.858	scar	ˀbišui ˀdaɨnɨẓ
4.86	cure, heal	kʰakʰɨˀda-n; kʰasara-n
4.87	physician	
4.88	medicine, drug	kʰasarai
4.89	poison	mauwakʰa kʰinai
4.91	tired, weary	miẓaina-n
4.912	rest	suukʰapʰa-n
4.92	lazy	ẓunu-n
4.93	bald	maˀdi-ʔu
4.94	lame	tʰukʰuẓaʔɨa-n
4.95	deaf	ma-kʰinau-ẓiu
4.96	mute	ma-pʰaraˀdan-ẓiu
4.97	blind	išaawɨ-n
4.98	intoxicated	pʰuwiʔiˀdi-n
4.99	naked, bare	ma-kʰamičʰan-ẓiu
5.11	eat	aruupʰa-n
5.12	food	wanyɨkʰɨnɨi
5.121	cooked	warakʰa-ʔu
5.122	raw	kʰɨnaa-ʔu
5.123	ripe	uẓukʰa-ʔu
5.124	green, unripe	kʰuʔuri-ʔu
5.125	rotten	dyɨpʰɨša-ʔu
5.13	drink	tʰɨẓa-n
5.14	hunger	ẓamaẓi-n
5.141	famine	ẓamaẓi
5.15	thirst	maradakʰu-n
5.16	suck	suẓukʰa-n
5.18	chew	šumaɨa-n
5.181	swallow	dyɨkʰuraɨtʰa-n
5.19	choke	dukʰuwa-n
5.21	cook	warakʰa-n
5.22	boil (vb)	warakʰa-n
5.23	roast, fry	kʰaẓimatʰa-n; pʰiririkʰatʰa-n
5.24	bake	čʰɨẓuda-n
5.25	oven	warakʰ-ĩĩ-apʰa-kʰiẓai
5.26	pot, cooking vessel	kʰaʔɨẓa-kʰin
5.27	kettle	
5.28	pan	pʰutʰarɨ
5.31	dish	
5.32	plate	[pʰarapʰi]
5.33	bowl	[ˀbuun]
5.34	pitcher, jug	wɨnɨ-kʰĩĩnaa
5.35	cup, drinking vessel	[kʰuupʰu]
5.36	saucer	[pʰarapʰi] suudi
5.37	spoon	[čupʰuun]
5.38	knife	marii
5.39	fork	
5.391	tongs	
5.41	meal (a)	wanyɨkʰɨnɨi
5.42	breakfast	kʰududuu
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	šašuwa-n
5.47	sieve, strain	ẓuruwa-n
5.48	scrape	tʰaẓaɨa-n
5.49	stir, mix	iwia-n; kʰawiraia-n
5.51	bread	
5.53	dough	
5.54	knead	waẓa-n
5.55	meal, flour	pʰuruuma
5.56	crush, grind	daruda-n; iduwa-n
5.57	mill	ˀbuudapʰa-kʰinai
5.58	mortar	akʰu
5.59	pestle	daɨriˀbai
5.61	meat	-dɨnaa
5.63	sausage	
5.64	soup, broth	kʰaʔɨẓa ɨɨ
5.65	vegetables	
5.66	bean	kʰumaasa
5.7	potato	kʰaẓɨɨ
5.71	fruit	diẓuu-kʰarɨ
5.712	bunch	nauˀbanaa
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	kʰiwinii
5.791	grease, fat	kʰiwinii
5.81	salt	dɨɨu
5.82	pepper	diidada
5.821	chili pepper	
5.84	honey	-maˀba
5.85	sugar	
5.86	milk (noun)	tʰapʰiʔiẓa dɨnɨɨ
5.87	milk (vb)	saruruwa-n
5.88	cheese	
5.89	butter	
5.9	beverage, drink	riwɨnii
5.91	mead	
5.92	wine	riwɨnii
5.93	beer	
5.94	fermented drink	riwɨnii
5.97	egg	kʰɨrɨkʰɨ dani
5.971	egg yolk	kʰɨrɨkʰɨ dani wɨẓa-n
6.11	put on (clothes)	kʰaiwada-n
6.12	clothing, clothes	-kʰamičʰa-n
6.13	tailor	kʰanuu-pʰaɨẓu
6.21	cloth	kʰamičʰa mada
6.22	wool	
6.23	linen, flax	
6.24	cotton	kʰinaridi
6.25	silk	
6.27	felt	
6.28	fur	
6.29	leather	madai
6.31	spin	tʰinapʰa-n
6.32	spindle	tʰina-kʰiẓai
6.33	weave	tʰɨẓɨɨtʰa-n
6.34	loom	kʰaudapʰa-kʰinai
6.35	sew	kʰanuwa-n
6.36	needle	akʰusa
6.37	awl	
6.38	thread	tʰiẓiitʰi
6.39	dye	tʰanada-n
6.41	cloak	
6.411	poncho	wɨnɨ dara
6.42	woman's dress	-kʰamičʰa-n
6.43	coat	
6.44	shirt	[šuutʰu]
6.45	collar	[šuutu] kʰanaɨ mada
6.46	skirt	
6.461	grass-skirt	--
6.48	trousers	čʰuurura
6.49	stocking, sock	
6.51	shoe	-daẓakʰidi
6.52	boot	-daẓakʰidi
6.54	shoemaker, cobbler	daẓakʰidii tʰumikʰi
6.55	hat, cap	-kʰuwama
6.57	belt, girdle	-ẓaadau
6.58	glove	-kʰaʔɨ-tʰan-naa
6.59	veil	-ẓuwaɨ šiˀbiri-naa
6.61	pocket	
6.62	button	[šuutʰu] awɨn
6.63	pin	
6.71	ornament, adornment	kʰaiwad-ĩĩ-pʰa-kʰinai
6.72	jewel	kʰaiwad-ĩĩ-apʰa-kʰinai
6.73	ring (for finger)	-kʰaʔɨ-saˀba
6.74	bracelet	-ẓaanuˀba
6.75	necklace	kʰašuru
6.76	bead	kʰašuru
6.77	earring	-iši-tain
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	-maudi
6.92	brush	
6.921	braid	tʰaˀbarautʰa-kʰariwai
6.93	razor	mawaasa
6.94	ointment	kʰasarai
6.95	soap	čʰikʰaa-riˀbai
6.96	mirror	wanamari
7.11	dwell, live	mašaapʰa-n
7.12	house	kʰaˀbaɨnɨ
7.13	hut	wiiẓiˀbai
7.131	garden-house	wiiẓiˀbai
7.14	tent	
7.15	yard, court	pʰaniˀbiẓuu
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	pʰaniinum
7.221	doorpost, jamb	tʰuru
7.23	lock (noun)	dadara-riˀbai
7.231	latch, door-bolt	dadara-riˀbai
7.24	key	[šaawi]
7.25	window	[winduu]
7.26	floor	
7.27	wall	kʰaˀbaɨnɨ daraẓi
7.31	fireplace	tʰikʰaẓi wiiẓi
7.32	stove	warakʰ-ĩĩ-apʰa-kʰiẓai
7.33	chimney	
7.37	ladder	pʰuẓai
7.42	bed	
7.421	pillow	
7.422	blanket	šibirinai
7.43	chair	tʰaˀbai
7.44	table	[misa]-ˀbara
7.45	lamp, torch	
7.46	candle	
7.47	shelf	tʰaraʔapʰau
7.48	trough	čʰaakʰuru
7.51	roof	kʰaˀbaɨnɨ ẓuwaɨ
7.52	thatch	dyɨwɨẓɨadaʔɨ
7.53	ridgepole	sakʰurai
7.54	rafter	idii-nau
7.55	beam	tʰaramiru
7.56	post, pole	tʰuru
7.57	board	[pʰarããkʰa]
7.58	arch	
7.61	mason	
7.62	brick	imiʔi kʰawauda-kʰariwai
7.63	mortar	imiʔitʰan-naa
7.64	adobe	imiʔitʰuma-kʰariwai
8.11	farmer	ẓakʰapʰɨ san
8.12	field (for cultivation)	ẓakʰapʰɨ
8.13	garden	
8.15	cultivate, till	kʰawiiẓia-n
8.16	fence	kʰurara
8.17	ditch	wɨnɨ pʰunaa
8.21	plow	kʰawiiẓia-n
8.212	furrow	
8.22	dig	kʰičʰada-n
8.23	spade	kʰičʰadapʰa kʰinai
8.24	shovel	sarampʰai; kʰičʰadapʰa kʰinai
8.25	hoe	sampʰa
8.26	fork	
8.27	rake	
8.31	sow	pʰauwa-n
8.311	seed	ɨdai; -ɨda
8.32	mow, reap	dɨkʰɨtʰa-n
8.33	sickle, scythe	
8.34	thresh	naria-n
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	maẓikʰi
8.48	rice	[ẓaiši]
8.51	grass	pʰinidi
8.52	hay	
8.53	plant (noun)	pʰau-riˀbai
8.531	plant (vb)	pʰauwa-n
8.54	root	-ištʰaˀbaʔɨ
8.55	branch	-daakʰuri; -wauda
8.56	leaf	-anaˀba
8.57	flower	-suusu
8.6	tree	atʰamɨnɨ
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	-kʰadɨnaa
8.68	tobacco	suuma
8.69	smoke (tobacco)	suuma šaan
8.691	pipe	
8.72	tree stump	atʰamɨnɨ uruda
8.73	tree trunk	atʰamɨnɨ kʰadɨnaa
8.74	forked branch	atʰamɨnɨ daakʰuri
8.75	bark	atʰamɨnɨ mada
8.76	sap	atʰamɨnɨ aiˀba
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	sɨẓ kʰadɨnaa
8.85	banyan	--
8.91	sweet potato	kʰaaẓɨɨ
8.912	yam	kʰiriča; čʰipʰuwii
8.92	tapioca, manioc, cassava	waiwai; waɨnii
8.93	gourd	mutu
8.931	pumpkin, squash	kʰauwiam
8.94	bamboo	ian; iwa
8.941	sugar cane	kʰaiwara
8.96	fish poison (root)	ukʰu
8.97	nettle	aruru
8.98	mushroom	čʰamadaru; atʰamɨn tʰain
9.11	do, make	šaʔapʰatʰa-n; tʰuma-n
9.12	work	kʰaɨdĩĩa-n
9.14	bend	kʰuraɨda-n; dawɨkʰɨ-kʰida-n
9.15	fold	ruˀbida-n
9.16	tie, bind	duʔutʰa-n
9.161	untie	ˀbɨẓɨɨtʰa-n
9.18	chain	
9.19	rope, cord	[ẓuupʰa]
9.192	knot (noun)	
9.21	strike (hit, beat)	ẓuwitʰa-n
9.211	pound with fist	tʰinikʰa-n
9.22	cut	čʰuuta-n
9.221	cut down	ˀbarutʰa-n
9.222	chop, hew	saʔɨkʰa-n
9.223	stab	dakʰatʰa-n
9.23	knife	marii
9.24	scissors, shears	kʰɨrɨtʰɨkii
9.25	ax	ˀbaru
9.251	adze	atʰamɨn kʰičʰada kʰinau
9.26	break	ramitʰa-n
9.261	broken	ramitʰa-ʔu
9.27	split	tʰadaʔukʰa-n
9.28	tear	kʰɨẓɨɨtʰa-n; šišɨɨda-n
9.29	flay, skin	šašuwa-n
9.31	rub, wipe	inuwa-n
9.32	stretch	tʰɨnɨɨtʰa-n
9.33	pull	tʰuʔutʰa-n
9.34	spread out	kʰadamarada-n
9.341	hang up	sawikʰi-kʰida-n
9.342	press	dauwɨda-n; daˀbatʰa-n; daruda-n
9.343	squeeze, wring	raɨda-n; dɨɨẓada-n
9.35	pour	šuutʰa-n
9.36	wash	čʰikʰa-n
9.37	sweep	pʰaraɨa-n
9.38	broom	pʰaraɨ-riˀbai
9.422	tool	kʰaɨdĩĩ kʰinai
9.43	carpenter	
9.44	build	tʰuma-n
9.46	bore	kʰɨdɨɨda-n
9.461	hollow out	kʰičʰada-n
9.48	saw	[saasa]
9.49	hammer	tʰaɨkʰa-n
9.5	nail	pʰutʰu-pʰutʰuri; tʰaɨkʰa-n
9.56	glue	sakʰa-riˀbai; sakʰiˀbida-n
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	
9.65	silver	
9.66	copper, bronze	
9.67	iron	čʰipʰirara
9.68	lead (noun)	pʰiẓuutʰa
9.69	tin, tinplate	kʰurasa
9.71	potter	kʰɨˀbai san
9.72	mold (clay etc)	
9.73	clay	kʰɨˀbai
9.74	glass	
9.75	weave, plait	tʰɨẓɨɨtʰan; tʰaˀbarautʰan
9.76	basket	daẓuwan
9.77	mat	
9.771	rug	
9.78	netbag	
9.79	fan (noun)	awariˀbai
9.791	fan (vb)	awarian
9.81	carve	
9.82	sculptor	
9.83	statue	
9.84	chisel	atʰamɨnɨ kʰičʰada kʰinau
9.88	paint (noun)	tʰandapʰa kʰinai
9.89	paint (vb)	tʰandapʰa-n
10.11	move	ẓikʰida-n
10.12	turn over	tʰanautʰa-n
10.13	turn around	pʰadantʰa-n
10.14	wind, wrap	dyɨɨẓada-n; ˀbaẓuˀbatʰa-n
10.15	roll	waẓa-waẓa-n
10.16	drop (vb)	
10.17	twist	dyɨɨẓada-n
10.21	rise	sautʰa-n
10.22	raise, lift	sautʰa-n
10.23	fall	wautʰa-n
10.24	drip	saˀbikʰa-n
10.25	throw	awɨʔɨtʰa-n
10.252	catch (ball)	ẓaamatʰa-n
10.26	shake	ẓiikʰa-n
10.32	flow	ẓiutʰa-n
10.33	sink	tʰipʰitʰa-n
10.34	float	umakʰada-n
10.35	swim	niutʰa-n
10.351	dive	apʰičʰaɨtʰa-n
10.352	splash	kʰuˀbuĩĩa-n; kʰupʰuĩĩa-n
10.36	sail (vb)	umakʰadapʰa-n
10.37	fly (vb)	ẓɨɨtʰa-n
10.38	blow	pʰuutʰa-n
10.41	creep, crawl	kʰuẓuutʰĩĩa-n
10.412	kneel	kʰuduruʔɨkʰa-n
10.413	crouch	sɨraʔɨkʰa-n
10.42	slide, slip	čʰičʰakʰutʰa-n
10.43	jump, leap	ẓakʰaʔɨtʰa-n
10.431	kick	dakʰaẓatʰa-n
10.44	dance	kʰunaɨpʰa-n
10.45	walk	čʰiʔikʰapʰa-n
10.451	limp	tʰukʰuẓaʔɨa-n
10.46	run	dima-n
10.47	go	makʰu-n
10.471	go up	ẓaida-n
10.472	climb	ẓaida-n
10.473	go down	tʰukʰa-n
10.474	go out	kʰuditʰa-n
10.48	come	waʔatʰi-n
10.481	come back	kʰiwa-n
10.49	go away, depart	makʰu-n
10.491	disappear	mainaˀbat-ĩĩa-n
10.51	flee	kʰiduupʰa-n
10.52	follow	daʔana-n
10.53	pursue	daʔanapʰa-n
10.55	reach, arrive	kʰaawa-n
