entry_id	trans_english	Tai_Lue_Phonemic
2.641	daughter-in-law (of a woman)	luk.8 pai.4
2.71	stepfather	luk.8 pai.4
2.72	stepmother	pɔ:.6 na:.4
2.73	stepson	mɛ:.6 na:.4
2.74	stepdaughter	luk.8 kep.7
2.75	orphan	luk.8 kep.7
2.76	widow	luk.8 kam.5 pha:.4
2.77	widower	mɛ:.6 ma:i.3
2.81	relatives, kinsmen	pɔ:.6 ma:i.3
2.82	family	pi:.6 nɔŋ.4
2.91	I	jau.3 hən.2
2.92	you (singular)	to:.1 xa:.3; to:.1 xɔi.3
2.93	he/she/it	to:.1 cau.3; cau.3 man.2
2.94	we	man.2; xau.1
2.941	we (inclusive)	tu:.1 xa:.3; hau.2
2.942	we (exclusive)	hau.2
2.95	you (plural)	tu:.1 xa:.3
2.96	they	hau.2 sɔŋ.1 kɔ:.4; phu:.3 xa:.3 tu:.1 sɔŋ.1 kun.2
3.11	animal	su:.1 cau.3
3.12	male (adj)	su:.1 sɔŋ.1 kun.2
3.13	female (adj)	xau.1 cau.3
3.15	livestock	set.7
3.16	pasture	to:.1 pu:.4
3.18	herdsman	to:.1 mɛ:.6
3.19	stable, stall	siŋ.5 xɔŋ.1
3.2	cattle (bovine)	pa:.5 ja:.3
3.21	bull	kun.2 leŋ.4 ho:.2 po.1 xwa:i.2
3.22	ox	xɔk.8 ma:.4
3.23	cow	vo:.2 xwa:i.2
3.24	calf	ho:.2 pu:.4; xwa:i.2 pu:.4
3.25	sheep	ho:.2
3.26	ram	ho:.2 mɛ:.6; ho:.2 mɛ:.6 num.2
3.28	ewe	ho:.2 xwa:i.2 nɔi.4
3.29	lamb	xwa:i.2
3.32	boar	bɛ:.3
3.34	sow	bɛ:.3 pu:.4
3.35	pig	bɛ:.3 mɛ:.6
3.36	goat	mɛ:.6 cen.1
3.37	he-goat	mu:.1 pu:.4
3.38	kid	mu:.1 mɛ:.6
3.41	horse (equine)	mu:.1
3.42	stallion	bɛ:.3
3.44	mare	bɛ:.3 pu:.4
3.45	foal, colt	bɛ:.3 nɔi.4
3.46	ass, donkey	ma:.4
3.47	mule	ma:.4 pu:.4
3.5	fowl	ma:.4 mɛ:.6
3.52	cock, rooster	ma:.4 pu:.4 nɔi.4; ma:.4 mɛ:.6 nɔi.4
3.54	hen	la:.2
3.55	chicken	lɔ:.3
3.56	goose	siŋ.5 xɔŋ.1 leŋ.4
3.57	duck	kai.5 pu:.4
3.58	nest	kai.5 mɛ:.6
3.581	bird	kai.5
3.582	seagull	ha:n.5
3.583	heron	pet.7
3.584	eagle	haŋ.2
3.585	hawk	nok.8
3.586	vulture	nok.8 ja:ŋ.2
3.591	bat	lɛu.1
3.592	parrot	huŋ.4
3.593	crow	mɛ:.6 hɛŋ.4
3.594	dove	va:u.6
3.596	owl	ʔi.1 bɨŋ.5
3.61	dog	nok.8 lɛ:.2
3.614	rabbit	ka:.1
3.62	cat	ka:.1 kɛ:.1
3.622	opossum	nok.8 kau.4 mɛu.2
3.63	mouse, rat	nok.8 xɔ:.5
3.65	fish	nok.8 ʔɛn.5
3.652	fin (dorsal)	nok.8 juŋ.2
3.653	fishscale	kai.5 thən.5
3.654	gill	ma:.1
3.655	shell	ka.1 ta:i.5
3.661	shark	lin.6
3.662	porpoise, dolphin	sə:.1 ʔɔm.2
3.663	whale	sə:.1
3.664	stingray	mɛu.2
3.665	freshwater eel	hin.1
3.71	wolf	nu:.1
3.72	lion	pa:.1
3.73	bear	ket.7 pa:.1
3.74	fox	be:.3
3.75	deer	pu:.1
3.76	monkey	kuŋ.3
3.77	elephant	jen.5
3.78	camel	ma:.1 nai.2
3.81	insect	siŋ.1
3.811	louse	mi:.1
3.812	nit (louse egg)	ma:.1 ci:.4 cɔk.9
3.813	flea	ʔi.1 lin.2; ʔi.1 hɔk.8
3.814	centipede	min.3
3.815	scorpion	bon.3
3.816	cockroach	kwa:ŋ.1
3.817	ant	ho:.2 pa:.5
3.818	spider	ʔi.1 vɔk.8
3.819	spider web	ca:ŋ.4
3.82	bee	ŋa:.2 ca:ŋ.4
3.821	beeswax	lɔ:.3 tho:.6
3.822	beehive	buŋ.3 mɛŋ.2
3.823	wasp	min.2; hau.1
3.83	fly	xai.5 hau.1
3.831	sandfly (midge), gnat	mat.7
3.832	mosquito	tak.7 xɛp.7
3.84	worm	mɛŋ.2 pɔŋ.5
3.85	snake	mɛŋ.2 sa:p.9
3.91	firefly	mot.8
3.92	butterfly	kuŋ.3 ka:u.1
3.93	grasshopper	jai.2 kuŋ.3 ka:u.1
3.94	snail	mɛ:.6 phɨŋ.3
3.95	frog	xi:.3 phɨŋ.3
3.96	lizard	haŋ.2 phɨŋ.3
3.97	crocodile, alligator	tɛn.1; tɔ:.5
3.98	turtle	pok.9
4.11	body	mɛŋ.2 mun.2
4.12	skin, hide	juŋ.2
4.13	flesh	pok.9 la:t.6
4.14	hair (head)	mɛŋ.2 buŋ.3
4.142	beard	nɔn.1
4.144	body hair	ca:.3
4.145	pubic hair	tak.7 hit.8
4.146	dandruff	piŋ.1
4.15	blood	ta:k.8
4.151	vein, artery	ŋu:.2
4.16	bone	ŋu:.2 ləm.1
4.162	rib	hiŋ.5 hɔi.3
4.17	horn	ka:p.9 bə:.3
4.18	tail	tak.7 tɛn.1
4.19	back	hɔi.3
4.191	spine	kop.7; xet.9
4.2	head	maŋ.2 kɔn.1
4.201	side of head, temple	tau.5
4.202	skull	nə:.4 to:.1
4.203	brain	naŋ.1
4.204	face	cin.4
4.205	forehead	phum.1 ho.1
4.207	jaw	not.9
4.208	cheek	xun.1 bo:.5
4.209	chin	mɔi.1
4.21	eye	xai.2 ho:.1; kɛp.9 ho:.1
4.212	eyebrow	hə:.5
4.213	eyelid	lət.8
4.214	eyelash	lət.8 lum.2
4.215	blink	ʔin.1
4.22	ear	duk.9
4.221	earlobe	ʔɛk.9 nai.2 duk.9
4.222	earwax	duk.9 xa:ŋ.3
4.23	nose	xau.1
4.231	nostril	ha:ŋ.1
4.232	mucus (nasal)	laŋ.1
4.24	mouth	sɛn.1 laŋ.1
4.241	beak	ho:.1
4.25	lip	vɔp.8 vɛp.8
4.26	tongue	kɔk.7 ho:.1
4.27	tooth	ʔɛk.9 ho:.1
4.271	gums	na:.3
4.272	molartooth	na:.3 pha:k.9
4.28	neck	kɛm.3
4.281	nape of neck	mit.9
4.29	throat	ka:ŋ.2
4.3	shoulder	ta:.1
4.301	shoulderblade	xun.1 ta:.1
4.302	collarbone	xɔp.9 ta:.1
4.31	arm	xun.1 ta:.1
4.312	armpit	phɛp.8 ta:.1; ta:.1 ja:p.9
4.32	elbow	bin.3 hu:.1
4.321	wrist	xi:.3 hu:.1
4.33	hand	daŋ.1
4.331	palm of hand	hu:.2 dəŋ.1
4.34	finger	xi:.3 muk.8
4.342	thumb	sop.7; pa:k.9
4.344	fingernail	sop.7 nok.8
4.345	claw	fi:.1 sop.7
4.35	leg	lin.4
4.351	thigh	xeu.3
4.352	calf of leg	ŋa:.2 ca:ŋ.4; hək.4
4.36	knee	xeu.3 kau.4
4.37	foot	xɔ:.2
4.371	ankle	ŋɔn.6
4.372	heel	koŋ.1 xɔ:.2
4.374	footprint	ho:.1 ba:.5
4.38	toe	xɛn.1
4.392	wing	xɛ:.1 lɛ:.4
4.393	feather	sɔk.9
4.4	chest	xɔ:.6 mɨ:.2
4.41	breast (of woman)	mɨ:.2
4.412	nipple, teat	fa:.5 mɨ:.2
4.42	udder	niu.4 mɨ:.2
4.43	navel	ho:.1 mɛ:.6 mɨ:.2
4.44	heart	lep.8 mɨ:.2
4.441	lung	lep.8
4.45	liver	xa:.1
4.451	kidney	xa:.1 loŋ.1
4.452	spleen	xɛŋ.6
4.46	stomach	ho:.1 xau.5
4.461	intestines, guts	tin.1
4.462	waist	x]:.6 tin.1
4.463	hip	sun.3 nɔŋ.6
4.464	buttocks	hɔi.2 tin.1
4.47	womb	niu.4 tin.1
4.49	testicle	pik.9
4.492	penis	xun.1 nok.8
4.51	breathe, breath	na:.3 ʔək.7
4.52	yawn, gape	tau.3 num.2
4.521	hiccough	kin.5 num.2
4.53	cough	sa:i.1 bɨ:.1
4.54	sneeze	ho:.1 cai.1
4.55	perspire	pɔt.9
4.56	spit	tap.7
4.57	vomit	ma:k.9 kɛu.2
4.58	bite	bi:.1
4.59	lick	pum.1
4.591	dribble	sai.3
4.61	sleep	ʔɛu.1
4.612	snore	ton.5 con.6
4.62	dream	kun.3
4.63	wake up	hu:.2 kun.3
4.64	break wind	hon.4
4.65	urinate	ham.1
4.66	defecate	xwɔi.2
4.67	have sexual intercourse	hu:.2 jo:.2
4.68	shiver	thoi.3 cai.1
4.69	bathe	ha:u.1
4.71	beget (of father)	ʔə:.4
4.72	born (to be)	ʔai.1
4.73	pregnant	ca:m.1
4.732	conceive	hə:.5 ʔɔk.9
4.74	live, living, life	nam.4 la:i.2; xi:.3 tə:.2
4.75	die, dead	thum.5 nam.4 la:i.2
4.751	drowned	ha:k.8
4.76	kill	xop.7; tɔt.9
4.77	corpse	mɛn.2 lin.4
4.78	bury (the dead)	le:.2
4.79	grave, tomb	nam.4 la:i.2 jɔi.4
4.81	strong, mighty, powerful	nɔn.2
4.82	weak	nɔn.2 xun.1
4.83	well, health	fan.1
4.84	sick, sickness	nɔn.2 tɨn.5
4.841	fever	cɨn.6 cɛŋ.3
4.842	goiter	tot.7
4.843	cold (catarrh)	jeu.6
4.85	wound, sore	xi:.3
4.852	bruise	su:.3 kan.1
4.853	swelling	sɛn.5 sa:i.1
4.854	itch	ʔap.9 nam.4
4.855	blister	kət.9
4.856	boil (noun)	ma:n.2 luk.8
4.857	pus	kɨt.8 nai.2 cai.1
4.858	scar	pin.1 ju:.5
4.86	cure, heal	ta:i.1
4.87	physician	ta:i.1 nam.4
4.88	medicine, drug	xa:.3; hɛm.1
4.89	poison	xwɔn.1 sa:k.8
4.91	tired, weary	faŋ.1
4.912	rest	pa:.5 hɛu.6
4.92	lazy	xɛŋ.1 hɛŋ.2
4.93	bald	ʔon.3
4.94	lame	nə:.4 to:.1 di:.1
4.95	deaf	xai.3
4.96	mute	nə:.4 mai.3
4.97	blind	xɔ:.2 pɨ:.2; pin.1 neŋ.1
4.98	intoxicated	xai.3 sɛn.5
4.99	naked, bare	lu.1 tɔŋ.4
5.11	eat	dai.3 cep.7
5.12	food	pɔŋ.2; kai.6
5.121	cooked	pɔŋ.2 kai.6
5.122	raw	kai.6 pɔŋ.2; xum.2
5.123	ripe	pɔŋ.2
5.124	green, unripe	fi:.1
5.125	rotten	nɔŋ.1
5.13	drink	hɔi.2 ba:t.9; hɔi.2
5.14	hunger	xai.3 ha:i.1
5.141	famine	mɔ:.1 ja:.1
5.15	thirst	ja:.1
5.16	suck	ja:.1 ba:.5
5.18	chew	sai.5 ŋon.4 sai.5 sa:n.1
5.181	swallow	mɔi.6
5.19	choke	sau.2 hɛŋ.2
5.21	cook	xa:n.4
5.22	boil (vb)	ho:.1 la:n.4
5.23	roast, fry	xa:.1 sɛ:.2
5.24	bake	hu:.1 nok.9
5.25	oven	kun.2 bai.3
5.26	pot, cooking vessel	ta:.1 bɔt.9
5.27	kettle	mau.2 lau.3
5.28	pan	pəi.1 to:.1
5.31	dish	kin.1; dɔi.3
5.32	plate	ta:ŋ.2 kin.1
5.33	bowl	suk.7
5.34	pitcher, jug	dip.7
5.35	cup, drinking vessel	suk.7 ləŋ.1
5.36	saucer	dip.7 xeu.1
5.37	spoon	nau.6
5.38	knife	kin.1
5.39	fork	ja:k.9 xau.3
5.391	tongs	fa:.4 lɛŋ.4 pi:.1 xem.1
5.41	meal (a)	xai.6 ja:k.9 nam.4; xɔ:.2 hɛŋ.3
5.42	breakfast	dut.9
5.43	lunch	keu.4
5.44	dinner	lɨn.2
5.45	supper	xam.1
5.46	peel	tum.3; ʔot.9
5.47	sieve, strain	fot.8
5.48	scrape	xɔ:.3
5.49	stir, mix	ʔɔm.5; ʔɛn.1; piŋ.3; hiŋ.1
5.51	bread	mɔ:.3
5.53	dough	mɔ:.3 la:.4
5.54	knead	mɔ:.3 xa:ŋ.1
5.55	meal, flour	va:n.5 pha:n.4
5.56	crush, grind	pha:n.4
5.57	mill	va:n.5
5.58	mortar	mɔ:.3 la:.4 ŋoŋ.2
5.59	pestle	va:n.5 kɛu.3
5.61	meat	va:n.5 te:.3
5.63	sausage	cɔn.4
5.64	soup, broth	pha:.4; mit.8
5.65	vegetables	ca.1
5.66	bean	kip.8
5.7	potato	xau.3 (xa:p.8 nɨŋ.6)
5.71	fruit	xau.3 ŋa:i.2
5.712	bunch	xau.3 lɛŋ.2
5.75	fig	xau.3 phau.2
5.76	grape	fa:n.1
5.77	nut	xɨŋ.1; tha.1 lɔŋ.1
5.78	olive	xwɔk.7
5.79	oil	xun.2
5.791	grease, fat	xau.3 mɛn.5 pau.6
5.81	salt	kɔn.3 xau.3 mɛn.5
5.82	pepper	not.8 xau.3 mɛn.5
5.821	chili pepper	xau.3 mɛn.5 phuŋ.1
5.84	honey	tam.1
5.85	sugar	nit.8; but.7
5.86	milk (noun)	fat.7
5.87	milk (vb)	xok.8
5.88	cheese	xok.8
5.89	butter	cin.4
5.9	beverage, drink	sai.3 lɔŋ.6 phik.8
5.91	mead	xɛ:.2; kɛŋ.1
5.92	wine	phak.7
5.93	beer	tho:.5 sa:i.1 sə:.3
5.94	fermented drink	xa:.5
5.97	egg	ho:.1 hɔm.1
5.971	egg yolk	ma:k.9 phik.8 hɛŋ.3
6.11	put on (clothes)	ŋa:.2
6.12	clothing, clothes	xiŋ.1
6.13	tailor	tɛŋ.1 saŋ.4
6.21	cloth	ma:k.9 xə:.1
6.22	wool	ho:.1 ja:ŋ.4 ji:.5; man.2
6.23	linen, flax	ma:k.9 sum.3 luk.8 va:n.1
6.24	cotton	po.2
6.25	silk	ma:k.9 də.5
6.27	felt	ma:k.9 ʔit.9
6.28	fur	ma:k.9 kɔ:.5
6.29	leather	ma:k.9 xa:m.1 pɔm.3
6.31	spin	nam.4 man.2
6.32	spindle	nam.4 man.2 xai.1 (ho:.2)
6.33	weave	(cin.4) man.2
6.34	loom	(cin.4) nɛ.1
6.35	sew	kə:.1
6.36	needle	ma:k.9 phik.8 nɔi.4
6.37	awl	nam.4 phɨŋ.3
6.38	thread	ʔɔi.3
6.39	dye	nam.4 num.2
6.41	cloak	bip.9
6.411	poncho	xai.1 ho:.2
6.42	woman's dress	lau.3 nam.4 phɨŋ.3
6.43	coat	lau.3 phu:.4 tha:u.6 ciu.2
6.44	shirt	lau.3 phi:.4 ceu.2
6.45	collar	xai.5
6.46	skirt	mɔn.2 xai.5
6.461	grass-skirt	nuŋ.6 (sə:.3)
6.48	trousers	sə:.3 pha:.3
6.49	stocking, sock	sa.1 la:.5 jep.7 sə:.3
6.51	shoe	fa:i.3; pik.8
6.52	boot	pa:n.5 pɔ:.1
6.54	shoemaker, cobbler	fa:i.3
6.55	hat, cap	hɛ:.2
6.57	belt, girdle	ka.1 ti:.2 pa:.5
6.58	glove	sə:.3 xun.1 naŋ.1
6.59	veil	xɛp.7 naŋ.1
6.61	pocket	pan.5 fa:i.3
6.62	button	koŋ.2
6.63	pin	tam.5 huk.9
6.71	ornament, adornment	huk.9
6.72	jewel	jep.7
6.73	ring (for finger)	xim.1
6.74	bracelet	ma:t.9
6.75	necklace	mai.1
6.76	bead	nam.4 jɔn.4
6.77	earring	sin.3 lot.8 sə:.3
6.78	headband, headdress	sə:.3
6.79	tattoo	sə:.3 sɛt.8
6.81	handkerchief, rag	xɔ:.2 sə:.3
6.82	towel	sin.3
6.91	comb	teu.5
6.92	brush	pha:.3 mat.8 ʔɛu.1
6.921	braid	va:.3
6.93	razor	xɛp.7
6.94	ointment	xɛp.7 baŋ.3
6.95	soap	ca:ŋ.6 xɛp.7
6.96	mirror	mok.9 ho:.1
7.11	dwell, live	sa:i.1 haŋ.4
7.12	house	va:.3 mɨ:.2
7.13	hut	xa:t.9 ho:.1
7.131	garden-house	thuŋ.1 kɔ.2 (sə:.3)
7.14	tent	ma:k.9 tɔm.5
7.15	yard, court	xim.1 xɔ:.1
7.16	men's house	xəŋ.6 jɔŋ.3
7.17	cookhouse	kɛu.3 sɛŋ.1
7.18	meeting house	cɔp.9 mɨ:.2
7.21	room	vɛn.1 mɨ:.2
7.22	door, gate	sɔi.3 xɔ:.2
7.221	doorpost, jamb	ta:ŋ.3 hu:.1
7.23	lock (noun)	sak.7 mək.7
7.231	latch, door-bolt	pha:.3 cet.8 mɨ:.2
7.24	key	pha:.3 cet.8
7.25	window	vi:.1 ho:.1
7.26	floor	vi:.1
7.27	wall	vi:.1 pat.7
7.31	fireplace	fə:.1
7.32	stove	pha:.4 xut.9 not.9
7.33	chimney	nam.4 daŋ.5
7.37	ladder	vɛn.6
7.42	bed	ju:.5
7.421	pillow	hən.2
7.422	blanket	tup.9
7.43	chair	theŋ.1
7.44	table	pa:ŋ.1 sau.2
7.45	lamp, torch	ka:ŋ.1 xoŋ.5
7.46	candle	hən.2 fai.2
7.47	shelf	hoŋ.2 sut.9
7.48	trough	xɔŋ.4
7.51	roof	pa.1 tu:.1
7.52	thatch	sau.1 pa.1 tu:.1
7.53	ridgepole	xɔ:.1 xa.1 cɛ:.1
7.54	rafter	sɛ:.6 pa.1 tu:.1
7.55	beam	xɔ:.1 xa.1 cɛ:.1
7.56	post, pole	pɔŋ.5
7.57	board	pɨn.4 pɛn.3
7.58	arch	fa:.1 saŋ.4
7.61	mason	tau.1
7.62	brick	kən.1
7.63	mortar	tɛn.6 nɔn.2
7.64	adobe	mɔn.1 ho:.1
8.11	farmer	pha:.3 bai.1
8.12	field (for cultivation)	taŋ.5 ʔiŋ.1
8.13	garden	co:.3; phən.1
8.15	cultivate, till	pha:ŋ.1 man.2
8.16	fence	ten.2 pa:.1
8.17	ditch	hiŋ.3 xa:.5
8.21	plow	ha:ŋ.2
8.212	furrow	cɔk.9 hən.2
8.22	dig	lop.7 cɔk.9
8.23	spade	xa:.2
8.24	shovel	x.5
8.25	hoe	kɔn.1
8.26	fork	xɨ:.5; kom.2
8.27	rake	ha:u.2; sau.1
8.31	sow	pɛn.3
8.311	seed	pa.1 tu:.1 xuŋ.1
8.32	mow, reap	ca:ŋ.6 hin.1
8.33	sickle, scythe	din.1 ki:.5 suk.7
8.34	thresh	nam.4 pun.1
8.35	threshing-floor	din.1 ki:.5 dip.7
8.41	crop, harvest	pɔ:.6 na:.2
8.42	grain (barley, oats etc)	na:.2
8.43	wheat	hai.6
8.44	barley	son.1 xwɔn.1
8.45	rye	het.8 hai.6 dam.1 na:.2
8.46	oats	ho:.4
8.47	maize, corn	hɔŋ.6 məŋ.1
8.48	rice	thai.1
8.51	grass	xut.7
8.52	hay	sem.1
8.53	plant (noun)	xɔ:.1; ca:k.8
8.531	plant (vb)	phə:.1
8.54	root	puk.9
8.55	branch	cə:.4 fan.2
8.56	leaf	keu.5
8.57	flower	xeu.2
8.6	tree	pɔ:.4 xau.3
8.61	oak	xoŋ.5 pɔ:.4 xau.3
8.62	beech	ta:.1 səu.6
8.63	birch	xɔŋ.1 sa:ŋ.3 hai.6 na:.2
8.64	pine	xau.3 mə:.3
8.65	fir	xau.3 xɛu.4
8.66	acorn	xau.3 doŋ.1
8.67	vine	xau.3
8.68	tobacco	xau.3 pək.9
8.69	smoke (tobacco)	xau.3 sa:n.1; ka:.3
8.691	pipe	kɛp.9 ham.2
8.72	tree stump	fəŋ.2
8.73	tree trunk	xau.3 ha:ŋ.1 ma:.1
8.74	forked branch	ja:.3
8.75	bark	ja:.3 hɛŋ.3
8.76	sap	tun.3 mai.4 xa:.2 xau.1
8.81	palm tree	puk.9 bɛŋ.1
8.82	coconut	ha:k.8; kau.4
8.83	citrus fruit	lam.2 mai.4
8.84	banana tree	kiŋ.5 mai.4
8.85	banyan	bai.1 mai.4
8.91	sweet potato	na:m.1
8.912	yam	dɔk.9 mai.4
8.92	tapioca, manioc, cassava	kɔ:.1 mai.4
8.93	gourd	kɔ:.1 pɛk.9 van.2
8.931	pumpkin, squash	kɔ:.1 sa.1 pan.2 ŋa:.2
8.94	bamboo	kɔ:.1 pɛk.9
8.941	sugar cane	xə:.2 va:i.1
8.96	fish poison (root)	fə:.1 ja:.1
8.97	nettle	dut.9 (ja:.1); ja:.1 se:.6 lek.8
8.98	mushroom	bau.3 ja:.1
9.11	do, make	ma:k.9
9.12	work	lak.7; tɔ:.1
9.14	bend	lam.2 mai.4
9.15	fold	xa:.6 mai.4
9.16	tie, bind	naŋ.1 mai.4
9.161	untie	nam.4 ja:ŋ.1 mai.4
9.18	chain	kɔ:.1 cuk.8
9.19	rope, cord	ma:k.9 pa:u.4
9.192	knot (noun)	ma:k.9 cuk.7
9.21	strike (hit, beat)	ma:k.9 moŋ.6
9.211	pound with fist	kɔ:.1 koi.3
9.22	cut	koi.3 hɔm.1
9.221	cut down	kɔ:.1 luŋ.2
9.222	chop, hew	ma:k.9 koi.3 sa.1 pau.2
9.223	stab	ma:k.9 koi.3 sɛŋ.1 da:.1
9.23	knife	kɔ:.1 niu.4
9.24	scissors, shears	man.2
9.25	ax	phək.9
9.251	adze	man.2 niu.4
9.26	break	ma:k.9 tau.3
9.261	broken	ma:k.9 pak.8 xam.2
9.27	split	nɔ:.5
9.28	tear	mai.4 bo.5
9.29	flay, skin	ʔɔi.3 lam.2
9.31	rub, wipe	pa:n.5
9.32	stretch	het.7
9.33	pull	het.8
9.34	spread out	het.8 vek.8
9.341	hang up	kot.8
9.342	press	top.8
9.343	squeeze, wring	mat.8
9.35	pour	kɛ:.3
9.36	wash	sɔi.3 lek.7
9.37	sweep	cək.8
9.38	broom	xɔt.9
9.422	tool	ti:.1; bup.7; pɔ.4
9.43	carpenter	kui.2 ʔut.8
9.44	build	sɔi.2; pa:t.9
9.46	bore	pɔm.3; fan.2
9.461	hollow out	tɛt.7
9.48	saw	tɛŋ.2
9.49	hammer	pha:.4
9.5	nail	ma.4 sɛm.2
9.56	glue	xwɔn.1
9.6	smith, blacksmith	hak.7
9.61	forge	put.7
9.62	anvil	pha:.5
