entry_id	trans_english	Karok_Phonemic
4.321	wrist	- -
4.33	hand	tī́k
4.331	palm of hand	ʔátrūp
4.34	finger	tī́k
4.342	thumb	tikánkām
4.344	fingernail	ʔaxpih
4.345	claw	ʔaxpih
4.35	leg	ʔápsīh
4.351	thigh	ʔapkúruh
4.352	calf of leg	- -
4.36	knee	páθak
4.37	foot	fíθih
4.371	ankle	násak
4.372	heel	ʔípik
4.374	footprint	ʔaxrān
4.38	toe	fíθih
4.392	wing	kitáxrih
4.393	feather	ʔī́θka
4.4	chest	ʔiθβāy
4.41	breast (of woman)	ʔú̄čič
4.412	nipple, teat	- -
4.42	udder	- -
4.43	navel	ʔárup
4.44	heart	ʔimyah
4.441	lung	ʔuθpiβáxrah
4.45	liver	βáfiš
4.451	kidney	ʔúnuhič
4.452	spleen	- -
4.46	stomach	θafrām
4.461	intestines, guts	fá̄n
4.462	waist	ʔišxíčak
4.463	hip	ʔáfnūn
4.464	buttocks	ʔáfup
4.47	womb	ʔaxičēkríβrām
4.49	testicle	θirixó̄n
4.492	penis	sī́š
4.51	breathe, breath	-imyah
4.52	yawn, gape	-tamsá̄kaθβa
4.521	hiccough	-čančakvárā
4.53	cough	-ʔáxu
4.54	sneeze	-pá̄θβa
4.55	perspire	-astú̄kha
4.56	spit	-yuh
4.57	vomit	-yú̄hva
4.58	bite	-ʔax; -par
4.59	lick	-βírax
4.591	dribble	- -
4.61	sleep	-ʔásiβ
4.612	snore	- -
4.62	dream	- -
4.63	wake up	-ʔitxâ̄rihβa
4.64	break wind	-pif
4.65	urinate	-θúriβ
4.66	defecate	-ʔičnah
4.67	have sexual intercourse	-kuθ
4.68	shiver	-kê̄n
4.69	bathe	-pá̄tβa
4.71	beget (of father)	- -
4.72	born (to be)	- -
4.73	pregnant	ʔimú̄tar
4.732	conceive	- -
4.74	live, living, life	ʔimyá̄htih
4.75	die, dead	-ʔiβ; ʔárīm
4.751	drowned	- -
4.76	kill	-ʔiykat
4.77	corpse	puyâ̄hara
4.78	bury (the dead)	-ʔíšunβa
4.79	grave, tomb	ʔaxβiθínih
4.81	strong, mighty, powerful	ʔikpíhan
4.82	weak	- -
4.83	well, health	-ʔarárīhkanha
4.84	sick, sickness	-kúha; -yíkiha
4.841	fever	- -
4.842	goiter	- -
4.843	cold (catarrh)	- -
4.85	wound, sore	- -
4.852	bruise	- -
4.853	swelling	-ʔimxup
4.854	itch	-kunukúnuha
4.855	blister	- -
4.856	boil (noun)	ʔimxup
4.857	pus	yūs
4.858	scar	piftus
4.86	cure, heal	-ʔararī́hkanhiβaθ
4.87	physician	ʔê̄m
4.88	medicine, drug	ʔánaβ
4.89	poison	kê̄miš
4.91	tired, weary	-ʔû̄rih
4.912	rest	-ʔípunβa
4.92	lazy	-ʔû̄rih
4.93	bald	-fī́nha
4.94	lame	-ʔišné̄kβa
4.95	deaf	tiβʔárusar
4.96	mute	- -
4.97	blind	yupsírihar
4.98	intoxicated	-pahvákir
