entry_id	trans_english	Nahuatl_Sierra_de_Zacapoaxtla_Phonemic
11.65	pay (vb)	taštawa; -ištaa
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	ki-ko[w]a
11.82	sell	ki-namaka
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	i-pati-w
11.88	dear (costly, expensive)	pati-oh
11.89	cheap	amo pati-oh
11.91	share (distribute)	ki-šeh-šelo-a
11.92	weigh	
12.1	after	
12.11	behind	ta-i-kampa; i-kampa; i-kan
12.2	beside	anal; anal-pa; inakastan
12.3	down, below	tani; ne win-tani
12.4	before	ačto; ačto-pa
12.41	front	ta-iš-pan; iš-ten-oh; iš-pan
12.5	inside, in	ihti-k; ta-ihti-k; aktok; -ko
12.6	outside	kalan; kalam-pa
12.7	under	tatam-pa
12.8	up, above	ahko; ipan; pani
12.11	place	-kan; -an; seko; -ko
12.12	put	ki-tali-a
12.13	sit	ki-tokoc̷-tali-a; mo-tali-a
12.14	lie down	ki-teka; wec̷-tok
12.15	stand	ihka-tok; ihka-tok melawak; kec̷a
12.16	remain, stay	mo-kawa
12.17	remains, left overs	ten mo-kawa-k
12.21	collect, gather	ki-ololo-a
12.212	pick up	
12.213	pile up	ki-nepano-a; ki-tema; mo-teema
12.22	join, unite	ki-sen-tili-a; mo-nečiko-a
12.23	separate	ki-šelo-a; ki-taman-šel-ka
12.232	divide	ki-šelo-a; ki-tahko-šelo-a
12.24	open	ta-tapo-[w]a
12.25	shut, close	ki-c̷akʷa
12.26	cover	ta-topalwi-a; ki-pačo-a; ki-c̷akʷa
12.27	hide, conceal	ki-tati-a; ki-ičtakaewa
12.31	high	wehka-pan; wehka-pan-ti-k
12.32	low	
12.33	top	ta-kʷa-pan
12.34	bottom	
12.35	end	kampa c̷on-tami
12.352	pointed	kʷa-yeka-pic̷-ti-k; yeka-pic̷-ti-k
12.353	edge	ta-ten-oh; tama-čiw-tok
12.36	side	i-poš-nakas-tan
12.37	middle, center	ta-tahko-yan
12.41	right (side)	i-yek-ma-y
12.42	left (side)	opoč-ti
12.43	near (adv)	amo wehka; inawak; i-nakas-tan
12.44	far (adv)	wehka
12.45	east	tona-l-kisa-yampa
12.46	west	tona-l-kalaki-ampa
12.47	north	tani-pa
12.48	south	ahko-pa
12.53	grow	mo-skalti-a
12.54	measure	ki-tama-čiwa
12.541	span, fathom	
12.55	large, big	weyi
12.56	small, little	c̷ik-c̷in; c̷iki-c̷in
12.57	long	weya-k
12.58	tall	wehka-pan
12.59	short	c̷ik-c̷in; nohnel; amo wehkapan; tokoc̷
12.61	wide, broad	patawa-k; koyawa-k
12.62	narrow	kopic̷-ti-k; pic̷awa-k
12.63	thick (in dimension)	tilawa-k; tomawa-k
12.65	thin (in dimension)	kakal-ti-k; kakalač-ti-k; pic̷awa-k
12.67	deep	wehka-tan
12.68	shallow	
12.71	flat	
12.73	straight	melawa-k; naal-; yeek
12.74	crooked	čikol; čihkol-ti-k; ilakac̷-ti-k
12.75	hook	
12.76	corner	
12.77	cross	
12.78	square	
12.81	round	yowa-l-ti-k
12.82	circle	
12.83	sphere, ball	te-olol-ti-k
12.84	line	ki-tekpana; kisaloa
12.85	hole	koyo-k; koyok-ti; tekoč
12.92	like, similar	išiwki; tamati-s-neki; tamati
12.93	change	ki-pata
13.0	zero, nothing	amo teyi
13.1	one	se; seya
13.2	two	ome
13.3	three	eyi
13.4	four	nawi
13.5	five	ma-kʷi-l
13.6	six	čikʷa-sen
13.7	seven	čik-ome
13.8	eight	čikʷe-eyi
13.9	nine	čik-nawi
13.10	ten	mah-takti
13.101	eleven	mah-taktion-se
13.102	twelve	mah-taktiom-ome
13.103	fifteen	kaštol
13.104	twenty	sem-po[w]a-l
13.105	hundred	ma-kʷil po[w]a-l
13.106	thousand	se mil
13.107	count	ta-po-[w]a
13.14	every, all	seh-se; noči; noči-n
13.15	much, many	kači; miak; nel; simi
13.16	more	kači; miak; seki; ok seki
13.17	little (quantity), few	kači tipi-c̷in
13.18	enough	ongak miak; telahsi
13.181	some	tehsa; aken, akin; aksaa
13.19	multitude, crowd	
13.21	full	pešon-tok
13.22	empty	kinoki-a; iwki
13.23	part, piece	tahko
13.24	half	tahko
13.33	alone, only	i-sel-ti; iškoyan; sayoh
13.34	first	ačto
13.35	last	wehka-wa
13.36	second	
13.37	pair	
13.38	two times	ohpa
13.42	third	
13.44	three times	ešpa
14.11	time	iksa
14.12	age	šiw-yeh ya; ni-šwi-w; wewehyot
14.13	new	yan[g]wi-k
14.14	young	
14.15	old	sol-ti-k; wewe-t
14.16	early	kʷalkan
14.17	late	wehka-wa
14.18	now	aškan; aškan niman; yekin-c̷in
14.19	immediately	
14.21	swift, fast, quick	ihsi-wi-k; ihsiw-kayot; niman
14.22	slow	yooliik
14.23	hasten, hurry	mo-ihsiwi-li-a
14.24	retard, delay	wehka-wa
14.25	begin, beginning	pewa; c̷ine-wa
14.252	last, endure	siiko; ta-šiko-a; kihyowi-a
14.26	end (temporal)	
14.27	finish	tami-a
14.28	cease, stop	
14.29	ready	nenken sah weli
14.31	always	noči-pa; nači-pa; ačipa
14.32	often	
14.33	sometimes	
14.331	soon	amo wehika
14.332	long-time (for a)	wehika; wehka-wia
14.34	never	amo-ikah; nion keman; amo keman
14.35	again	ok sepa; ok
14.41	day	tona-l
14.42	night	yowa-l
14.43	dawn	ta-nesi; kʷalkan
14.44	morning	[de] kʷalkan; okyan-c̷in
14.45	noon, midday	nepan-tah; tahko-tona-l
14.451	afternoon	tiotak
14.46	evening	
14.47	today	aškan; aškan nihin tona-l
14.48	tomorrow	mosta; imostika
14.481	day-after-tomorrow	wiwta
14.49	yesterday	yalwa
14.491	day-before-yesterday	yo-wiwta
14.51	hour	[horah]
14.53	clock, timepiece	
14.61	week	teč čikʷeyi tona-l
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	mec̷-ti
14.73	year	šiwi-t; šiw-
14.74	winter	keman ta-sese-ya
14.75	spring	pewa ta-totoni-a ya
14.76	summer	ta-totoni-lo-t
14.77	autumn	
14.78	season	welaman
15.21	smell (vb intrans)	tahnekʷi
15.212	sniff	
15.22	smell (vb trans)	ahwiaya; ahwiayalis; ahwiyak
15.25	fragrant, good smelling	ahwiyak; kʷal-c̷in ahwi[y]ak
15.26	stinking, bad smelling	c̷ohyak; -c̷ohyaya
15.31	taste	kieko-a
15.35	sweet	c̷ope-k
15.36	salty	ista-yoh; nel-ista-yoh; poye-k
15.37	bitter	čiči-k; čičipah-ti-k
15.38	acid, sour	šoko-k; šoko-pal-ti-k
15.39	brackish	
15.41	hear	kaki
15.42	listen	ki-kaki
15.44	sound, noise	kakalaka; c̷ilini; komoni
15.45	loud	
15.46	quiet, silence	mo-tamati-li-a
15.51	see	k-ita; mo-ta
15.52	look, look at	k-ita; ki-senita; ki-mowiso-a
15.55	show	ki-neš-ti-a; -neeš-tii-li
15.56	shine	pepetaka; milini; petani; kakawaka
15.57	bright	
15.61	color	tapa-l
15.62	light (in color)	
15.63	dark (in color)	
15.64	white	ista-k; počik-ti-k
15.65	black	til-ti-k
15.66	red	čii-čii-; či-či-l-ti-k
15.67	blue	šošok-ti-k
15.68	green	šošok-ti-k
15.69	yellow	kos-ti-k
15.71	touch	
15.712	pinch	kistekʷi
15.72	feel	ki-mačili-a
15.74	hard	takʷawa-k
15.75	soft	yemaš-c̷in
15.76	rough	šihšipin-ti-k; šašakač-ti-k
15.77	smooth	alaš-ti-k; yemaš-c̷in
15.78	sharp	ki-tentia
15.79	blunt, dull	
15.81	heavy	eti-k
15.82	light (in weight)	ehkaw-ti-k
15.83	wet, damp	pal-ti-k; a-tac̷-ti-k; kʷečawa-k
15.84	dry	ki-wac̷a; waki; wayi-k
15.85	hot	totooni-k; totok-ti-k; kawan-tok; kawak-ti-k
15.851	warm	ki-to-toni-a; ki-kawanti-a
15.86	cold	sese-k
15.87	clean	čipawa-k; ki-čipawa; ki-pohpowa
15.88	dirty, soiled	pic̷o-ti-k; c̷ohkʷil-ti-k; yayak-ti-k
15.89	wrinkled	c̷oc̷ol-ti-k; kʷehkʷelpač-ti-k
16.11	soul, spirit	i-yolo; i-tona-l; i-anima
16.15	surprised, astonished	ki-mow-ti-a
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	yol-paki; yol-kisa; paki
16.25	laugh	-wec̷ka; we-wec̷ka; wec̷ka-lis
16.251	smile	iš-wec̷ka
16.26	play	mawil-ti-a; awil; awil-ti
16.27	love	ki-tasoh-ta
16.29	kiss	ki-ten-amiki
16.3	embrace	
16.31	pain	te-koko-a; te-kokohkayo-t
16.32	grief, sorrow, sadness	mo-yol-koko-a
16.33	anxiety, worry	
16.34	regret, be sorry	
16.35	pity	te-ikneli-lis
16.37	cry, weep	čoka; iš-čoka
16.38	tear (noun)	iš-a-yo
16.39	groan	sosolka
16.41	hate	ki-ta-welita
16.42	anger	kʷalan-ti; mo-kʷa-totoni-a
16.44	envy, jealousy	čawa-lis; čawa-ti
16.45	shame (noun)	pinawa
16.48	proud	weyi-nekilis
16.51	dare	moiiseewi-a
16.52	brave	yol-čikawa-k; iš-mata-ti-k; tontoh-ti-k
16.53	fear, fright	mow-kayot; mo-wi-lis; ki-mow-ti-a
16.54	danger	owih-kan
16.62	desire, want	ki-neki; ki-čiwa-s-neki; kelewi-a
16.622	choose	kihita; kištali-a; ki-pehpena
16.63	hope	ta-kʷawtamati-lis; ten kiča; -ča
16.65	faithful	ta-kʷawtamati-lis; ta-nel-toka-lis
16.66	true	mela-n; mela-wa-k
16.67	lie, tell lies	takahkayawa; šolopih-ti
16.68	deceit	
16.69	forgive	-tapoh-poo-l
16.71	good	kʷal-i; kʷali yetok
16.72	bad	amo-kʷali
16.73	right, correct	kʷali yetok
16.74	wrong	
16.76	fault	tahtakol
16.77	mistake, error	mo-polo-a
16.78	blame	
16.79	praise	-kʷaal-kec̷a
16.81	beautiful	kʷal-c̷in
16.82	ugly	amo kʷal-c̷in; pic̷o-ti-k
16.83	greedy	
16.84	clever	
17.11	mind	ta-mači-lis; el
17.13	think (= reflect)	ta-nemi-li-a
17.14	think (= be of the opinion)	-tanemilia
17.15	believe	ki-nel-toka
17.16	understand	ki-mati
17.17	know	ki-mati
17.171	guess	
17.172	imitate	ki-nehnemi-lia-; ki-tenkʷi
17.18	seem	iwtok; pane; nesi; ta-mati
17.19	idea, notion	ta-mači-lis
17.21	wise	ta-mat-keh; ta-mači-leh
17.22	foolish, stupid	seensool; amo kipia mo-wisiot
17.23	insane, crazy	kʷa-kep-tok; kʷakepi
17.24	learn	mo-mač-ti-a
17.242	study	mo-mač-ti-a
17.25	teach	ki-mač-ti-a; ki-yek-neštili-a
17.26	pupil	
17.27	teacher	ta-mač-tih-keh
17.28	school	
17.31	remember	ihsa; k-ihšiti-a; k-el-namiki
17.32	forget	ki-elka-wa; -el-kaawa
17.34	clear, plain	yek melan; yek-nes-tok
17.35	obscure	
17.36	secret	ičta-ka
17.37	sure, certain	melan; yek melan
17.38	explain	ki-yek-ihto-a; ki-yek-ilis
17.41	intention, purpose	-ti
17.42	cause	-tii; -wi ~ -w
17.43	doubt	amo ta-kʷawta-mati
17.44	suspect	ki-paantii-a
17.441	betray	
17.45	need, necessity	mo-neki
17.46	easy	amo owih
17.47	difficult	owih; tel-owih
17.48	try, attempt	-eko; -eh-eko
17.49	way, manner	
17.51	and	wan
17.52	because	porin
17.53	if	ta; ša
17.54	or	
17.55	yes, affirmative	kemah
17.56	no, negative	amo; taa-
17.61	how?	kinin; kini-w
17.62	how many?	kanači; kanačin
17.63	how much?	kanači
17.64	what?	toni; koš; še
17.65	when?	keman
17.66	where?	kan; kam-pa; kanika; kansika
17.67	which?	katin; katih-yeh-wa
17.68	who?	akoni; naken
17.69	why?	keyeh; [para] toni
18.11	voice	
18.12	sing	[kantar]o-a
18.13	shout, cry out	c̷ahc̷i; yol-c̷ahc̷i
18.15	whisper	ičtakata-noh-noc̷a
18.16	mumble	
18.17	whistle	ki-kisi; ta-pic̷a
18.18	shriek, screech	
18.19	howl	
18.21	speak, talk	tahto-a; sani-lo-a
18.211	stutter, stammer	ten-ohototi-a
18.22	say	k-ihto-a; tahtoo; k-ili-a
18.221	tell story	ki-ta-powi-a; sani-lo-a
18.222	speech (make a)	
18.23	silent (be)	ičta
18.24	language	tahto-l
18.26	word	tahto-l
18.28	name	ki-tenewa
18.31	ask (question, inquire)	tahtani; ki-matahtani-a
18.32	answer	ki-nakili-a
18.33	admit, confess	ki-seli-a; mo-yol-pata
18.34	deny	amo mo-aškati-a
18.35	ask, request	
18.36	promise	ki-nawatili-a; ki-yek-kili-a; -yeek-teen-kaawa
18.37	refuse	
18.38	forbid	
18.39	rebuke, scold	kʷalani
18.41	call (=summon)	ki-noc̷a
18.42	call (=name)	
18.43	announce	ki-mati-l-ti-a
18.44	threaten	
18.45	boast	
18.51	write	k-ihkʷilo-a; -tahkʷiloowili
18.52	read	ta-[ler]oa
18.56	paper	ama-t
18.57	pen	
18.61	book	
18.67	poet	
18.71	flute	ta-pic̷a-lo-ni; ta-pic̷-ti
18.72	drum	
18.73	horn, trumpet	
18.74	rattle	ayakač
19.11	country	
19.12	one's native country	
19.15	city, town	weyi-pan
19.16	village	ičam-pa; [pʷebloh]
19.17	boundary	
19.21	people (populace)	taka-yot
19.23	tribe, clan	
19.24	chief, chieftain	weyi tahtohkeh
19.25	staff, walking stick	i-topi-l
19.31	rule, govern	kin-yekʷika; ta-yekana
19.32	king, ruler	
19.33	queen	
19.36	noble, nobleman	
19.37	citizen, subject	i-čan-kaw; masewal-c̷in
19.41	master	i-teko
19.42	slave	takewal ten amo ki-taštawi-a
19.43	servant	takewal
19.44	freeman	
19.45	command, order	tanawatil; -nahnawati
19.46	obey	ki-takamati; -tataakamat; tamat
19.47	let, permit	mah; mah...-kan
19.51	friend, companion	i-tasoh-ikni-w; i-ma-ikni-w
19.52	enemy	
19.54	neighbor	i-čan-kaw; amo wehka čanih
19.55	stranger	wehka-čan-eh; anal-tekoh; amo k-iš-mati-h
19.56	guest	
19.57	host	
19.58	help, aid	ki-palewi-a
19.59	hinder, prevent	kic̷akʷili-a
19.61	custom	i-pano-lis; i-yalis; ki-ne-mač-tia
19.62	strife, quarrel	
19.63	conspiracy, plot	
19.65	meet	-namiki
19.72	prostitute	takanečiko-a
20.11	fight (vb)	ta-tewi-a
20.13	war, battle	ta-tewi-lis
20.14	peace	yol-kʷali
20.15	army	
20.17	soldier	
20.21	weapons, arms	
20.22	club	
20.222	battle-ax	
20.23	sling	
20.24	bow	
20.25	arrow	
20.26	spear	
20.27	sword	
20.28	gun, cannon	tepos-tatopon; tatopon
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	čima-l
20.35	fortress	
20.36	tower	
20.41	victory	
20.42	defeat	
20.43	attack	k-iš-namiki; ki-tewi-a
20.44	defend	
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	
20.471	guard, sentinel	ki-yek-tali-a; ki-yek-pia; k-iewa
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	
20.52	fishhook	
20.53	fishing line	
20.54	fishnet	mamata; kosolera
20.55	fish trap	
20.56	bait	
20.61	hunt	tamota
20.62	shoot	tatoponi-a
20.63	miss (target)	
20.64	trap (noun)	
20.65	trap (vb)	
21.11	law	tanawati-l
21.15	court	
21.16	judge (vb)	ta-iš-eh-eko-a; ta-neh-nemi-li-a
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	iš-pan-ti
21.24	swear	ki-yek-k-ihto-a
21.25	oath	
21.31	accuse	
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	ki-yokoli-a
21.38	fine	
21.39	prison, jail	
21.42	murder	
21.43	adultery	
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	tačteki
21.52	thief	tačtek-keh
22.11	religion	
22.12	God	-teko-c̷in
22.13	temple, church	tio-pan
22.14	altar	
22.15	sacrifice, offering	tamanal; te-tayokoli-l
22.16	worship	mo-wistili-a
22.17	pray	mo-tata-tawtili-a; ki-mo-wistili-a
22.18	priest	tio-piškat
22.19	holy, sacred	mo-wistika-c̷in
22.22	preach	te-neštili-a
22.23	bless	ki-tio-čiwa
22.24	curse	ki-tel-čiwa
22.26	fast (vb)	mo-sawa
22.31	heaven	elwiak
22.32	hell	mik-tan
22.35	demon (evil spirit)	amo-kʷali
22.37	idol	tata-[dios]
22.42	magic, witchcraft, sorcery	nawa-lot
22.43	sorcerer, witch	
22.44	fairy, elf	masaka
22.45	ghost, phantom	
22.47	omen, portent	
