entry_id	trans_english	Central-Thai_Phonemic
1.71	air	sɛ:ŋ.5; sɛ:ŋ.5 dɛ:d.2
1.72	wind	khwa:m.1 mɨ:t.3
1.73	cloud	ŋaw.1
1.74	fog	nam.4-kha:ŋ.4
1.75	rain (noun)	ʔa:.1-ka:t.2
1.76	snow (noun)	lom.1
1.77	ice	me:k.3
1.78	weather	mɔ:k.2
1.81	fire	fon.5
1.82	flame (noun)	hi>1-ma.1
1.83	smoke (noun)	nam.4 khɛŋ.5
1.84	ashes	lu:k.3- hep.2
1.841	embers	sa.1-pha:p.3 ʔa:.1-ka:t.2; ʔa:.1-ka:t.2
1.851	burn (vb trans)	faj.1
1.852	burn (vb intrans)	ple:w.1 faj.1
1.86	light, kindle, ignite	khwan.1
1.861	extinguish	khi:.3 thaw.3
1.87	match (noun)	tha:n.2-rɔ:n.4
1.88	firewood	phaw.2; maj.3
1.89	charcoal	luk.4; maj.3
2.1	person, human being	tit.2 faj.1; cut.2 faj.1; kɔ:.2 faj.1
2.21	man (vs. woman)	dap.2
2.22	woman	ma:j.4 khi:t.2 faj.1
2.23	male	fɨ:n.1
2.24	female	tha:n.2-ma:j.4
2.25	boy	ma.1-nut.4; khon.1
2.251	young man (adolescent)	phu:.3-cha:j.1
2.26	girl	phu:.3-jiŋ.5
2.261	young woman (adolescent)	phe:t.3 cha:j.1
2.27	child	phe:t.3 jiŋ.5
2.28	infant, baby	dek.2 phu:.3-cha:j.1
2.31	husband	cha:j.1 num.2
2.32	wife	dek.2 phu:.3-jiŋ.5
2.33	marry	jiŋ.5 sa:w.5
2.34	marriage, wedding	dek.2
2.341	divorce	tha:.1-rok.4; dek.2 ʔɔ:n.2
2.35	father	phua.5; sa:.1-mi:.1
2.36	mother	mia.1; phan.1-ra.1-ja:.1
2.37	parents	tɛ:ŋ.2-ŋa:n.1
2.38	married man	ka:n.1 tɛŋ.2-ŋa:n.1
2.39	married woman	ja:.2
2.41	son	phɔ:.3
2.42	daughter	mɛ:.3
2.43	offspring (son or daughter)	phɔ:.3-mɛ:.3
2.44	brother	phu:.3-cha:j.1 (na:j.1 + name)
2.444	older brother	phu:.3-jiŋ.5 (na:ŋ.1+name)
2.445	younger brother	lu:k.3 cha:j.1
2.45	sister	lu:k.3 sa:w.5
2.454	older sister	tha:.1-ja:t.3
2.455	younger sister	phi:.3; nɔ:ŋ.4
2.456	sibling	phi:.3 cha:j.1
2.458	twins	nɔ:ŋ.4 cha:j.1
2.46	grandfather	phi:.3; nɔ:ŋ.4
2.461	old man	phi:.3 sa:w.5
2.47	grandmother	nɔ:ŋ.4 sa:w.5
2.471	old woman	phi:.3 nɔ:ŋ.4
2.48	grandson	fɛ:t.2; fa:.5-fɛ:t.2
2.49	granddaughter	pu:.2; ta:.1
2.51	uncle	cha:j.1 kɛ:.2; cha:j.1 cha.1-ra:.1
2.511	mother's brother	ja:.3; ja:j.1
2.512	father's brother	jiŋ.5 kɛ:.2; jiŋ.5 cha.1-ra:.1
2.52	aunt	la:n.5 cha:j.1
2.521	mother's sister	la:n.5 sa:w.5
2.522	father's sister	luŋ.1
2.53	nephew	na:.4; luŋ.1
2.54	niece	ʔa:.1; luŋ.1
2.55	cousin	pa:.3
2.56	ancestors	na:.4; pa:.3
2.57	descendants	ʔa:.1; pa:.3
2.61	father-in-law (of a man)	la:n.5 cha:j.1
2.611	father-in-law (of a woman)	la:n.5 sa:w.5
2.62	mother-in-law (of a man)	ja:t.3
2.621	mother-in-law (of a woman)	ban.1-pha:.4-bu.1-rut.2
2.63	son-in-law (of a man)	phu:.3 sɨ:p.2 sa.1-kun.1
2.631	son-in-law (of a woman)	phɔ:.3 phua.5; phɔ:.5 sa:.5-mi:.1
2.64	daughter-in-law (of a man)	phɔ:.3 ta:.1
2.641	daughter-in-law (of a woman)	mɛ:.3 phua.5; mɛ:.1 sa:.5-mi:.1
2.71	stepfather	mɛ:.3 ja:j.1
2.72	stepmother	lu:k.3 khə:j.5
2.73	stepson	lu:k.3 khə:j.5
2.74	stepdaughter	lu:k.3 sa.2-phaj.4
2.75	orphan	lu:k.3 sa.2-phaj.4
2.76	widow	phɔ:.3 liaŋ.4
2.77	widower	mɛ:.3 liaŋ.4
2.81	relatives, kinsmen	lu:k.3 liaŋ.4
2.82	family	lu:k.3 liaŋ.4
2.91	I	lu:k.3 kam.1-phra:.4
2.92	you (singular)	mɛ:.3 ma:j.3; jiŋ.5 ma:j.3
2.93	he/she/it	phɔ:.3 ma:j.3
2.94	we	ja:t.3; ja:t.3 phi:.3 nɔ:ŋ.4
2.941	we (inclusive)	khrɔ:p.3 khrua.1
2.942	we (exclusive)	chan.5-chan.4; phom.5; nu:.5; ku:.1; kha:.3
2.95	you (plural)	thə:.1; khun.1; kɛ:.1; mɨŋ.1; ʔeŋ.1
2.96	they	man.1 / khaw.5 / lɔ:n.2
3.11	animal	raw.1
3.12	male (adj)	raw.1
3.13	female (adj)	phuak.3 raw.1
3.15	livestock	raw.1; raw.1
3.16	pasture	phuak.3 thə:.1; phuak.3 khun.1
3.18	herdsman	khun.1 thaŋ.4 ku:.3; khun.1 thaŋ.4 sɔ:ŋ.5
3.19	stable, stall	phuak.3 khaw.5
3.2	cattle (bovine)	sat.2
3.21	bull	cha:j.1; tua.1 phu:.3
3.22	ox	jiŋ.5; tua.1 mia.1
3.23	cow	pa.2-su.2-sat.2
3.24	calf	thuŋ.3 liaŋ.4 sat.2
3.25	sheep	khon.1 liaŋ.4 sat.2
3.26	ram	khɔ:k.3; khɔ:k.3 sat.2
3.28	ewe	wua.1 khwa:j.1
3.29	lamb	wua.1 tua.1 phu:.3
3.32	boar	wua.1; wua.1 tua.1 phu:.3
3.34	sow	wua.1 tua.1 mia.1
3.35	pig	lu:k.3 wua.1; lu:k.3 khwa:j.1
3.36	goat	khwa:j.1
3.37	he-goat	kɛʔ.2
3.38	kid	kɛʔ.2 tua.1 phu:.3
3.41	horse (equine)	kɛʔ.2 tua.1 mia.1
3.42	stallion	lu:k.3 kɛʔ.2
3.44	mare	mu:.5 pa:.2 tua.1 phu:.3
3.45	foal, colt	mu:.5 tua.1 mia.1
3.46	ass, donkey	mu:.5
3.47	mule	phɛʔ.4
3.5	fowl	phɛʔ.4 tua.1 phu:.3
3.52	cock, rooster	dek.2; lu:k.3 phɛʔ.4
3.54	hen	ma:.4
3.55	chicken	ma:.4 tua.1 phu:.3
3.56	goose	ma:.4 tua.1 mia.1
3.57	duck	lu:k.3 ma:.4 tua.1 phu:.3; lu:k.3 ma:.4 lu:k.3 la:.1
3.58	nest	la:.1
3.581	bird	lɔ:.3
3.582	seagull	sat.2 pi:k.2
3.583	heron	kaj.2 tua.1 phu:.3
3.584	eagle	mɛ:.3 kaj.2
3.585	hawk	kaj.2
3.586	vulture	ha:n.2
3.591	bat	pet.2
3.592	parrot	raŋ.1
3.593	crow	nok.4
3.594	dove	nok.4 na:ŋ.1-nuan.1
3.596	owl	nok.4 kra.1-sa:.5
3.61	dog	nok.4 ʔin.1-si:.1
3.614	rabbit	jiaw.2
3.62	cat	ʔi:.1-rɛ:ŋ.4
3.622	opossum	jiaw.2 kha.1-na:t.2 lek.4; waw.3
3.63	mouse, rat	kha:ŋ.4-ka:w.1
3.65	fish	nok.4 kɛ:w.3
3.652	fin (dorsal)	ʔi:.1-ka:.1
3.653	fishscale	nok.4 khaw.5
3.654	gill	nok.4 phi.4-ra:p.3
3.655	shell	nok.4 khaw.4 mɛ:w.1; nok.4 hu:k.3
3.661	shark	nok.4 kra.2-tha:.1
3.662	porpoise, dolphin	nok.4 na:ŋ.1 ʔɛ:n.2
3.663	whale	nok.4 ju:ŋ.1
3.664	stingray	kaj.2 fa:.4
3.665	freshwater eel	ma:.5; su.1-nak.4
3.71	wolf	kra.2-ta:j.2
3.72	lion	tua.1 nim.3
3.73	bear	sɨa.5 dam.1
3.74	fox	sɨa.5
3.75	deer	mɛ:w.1
3.76	monkey	cha.1-mot.4
3.77	elephant	nu:.5
3.78	camel	pla:.1
3.81	insect	khri:p.3 laŋ.5
3.811	louse	klet.2 pla:.1
3.812	nit (louse egg)	ŋɨak.2 pla:.1
3.813	flea	hɔ:j.5
3.814	centipede	pu:.1
3.815	scorpion	kuŋ.3
3.816	cockroach	pla:.1 cha.1-la:m.5
3.817	ant	pla:.1 lo:.1-ma:.1
3.818	spider	pla:.1 wa:n.1
3.819	spider web	pla:.1 kra.2-be:n.1
3.82	bee	pla:.1 laj.5
3.821	beeswax	ma:.5 pa:.2
3.822	beehive	siŋ.5-to:.1
3.823	wasp	mi:.5
3.83	fly	su.2-nak.4 ciŋ.3-cɔ:k.2
3.831	sandfly (midge), gnat	kra.1-rɔ:k.3
3.832	mosquito	kra.1-rɔ:k.3 bin.1; ba:ŋ.2
3.84	worm	men.3
3.85	snake	na:k.3
3.91	firefly	kwa:ŋ.1
3.92	butterfly	ʔi:.1-ke:ŋ.3
3.93	grasshopper	wua.1 pa:.2
3.94	snail	liŋ.1
3.95	frog	cha:ŋ.4
3.96	lizard	ŋuaŋ.1 cha:ŋ.4
3.97	crocodile, alligator	ʔu:t.2
3.98	turtle	ma.1-lɛ:ŋ.1
4.11	body	haw.5; lo:n.1
4.12	skin, hide	khaj.2 haw.5
4.13	flesh	mat.2
4.14	hair (head)	ta.1-kha:p.2
4.142	beard	mɛ:ŋ.1 pɔŋ.2
4.144	body hair	ma.1-lɛ:ŋ.1 sa:p.2
4.145	pubic hair	mot.4
4.146	dandruff	mɛ:ŋ.1 mum.1
4.15	blood	jaj.1 mɛ:ŋ.1 mum.1
4.151	vein, artery	phɨŋ.3
4.16	bone	khi:.3 phɨŋ.3
4.162	rib	raŋ.1 phɨŋ.3
4.17	horn	ma:.5-ra:.3; tua.1 tɔ:.2
4.18	tail	pluak.2
4.19	back	ma.1-lɛ:ŋ.1 wan.1
4.191	spine	rin.4
4.2	head	juŋ.1
4.201	side of head, temple	ma.1 lɛ:ŋ.1 kin.1 nɨa.4 ma:j.4; mɔ:t.3
4.202	skull	nɔ:n.5 phi:.5 sɨa.3
4.203	brain	nɔ:n.5
4.204	face	tua.1 ʔɔ:n.2 ma.1-lɛ:ŋ.1
4.205	forehead	cak.4-ka.1-can.2
4.207	jaw	ciŋ.3-li:t.2
4.208	cheek	pliŋ.1
4.209	chin	tha:k.3
4.21	eye	ŋu:.1
4.212	eyebrow	ŋu:.1-lɨam.5; ŋu:.1-la:m.5
4.213	eyelid	hiŋ.2-hɔj.3
4.214	eyelash	phi:.5-sɨa.3
4.215	blink	tak.4-ka.1-tɛ:n.1
4.22	ear	hɔj.5-tha:k.3
4.221	earlobe	kɔp.2
4.222	earwax	ciŋ.3-cok.2
4.23	nose	hia.3; ta.1-kuat.2
4.231	nostril	tuk.4-kɛ:.1
4.232	mucus (nasal)	taw.2
4.24	mouth	ra:ŋ.3-ka:j.1; tua.1
4.241	beak	naŋ.5
4.25	lip	nɨa.4
4.26	tongue	phom.5
4.27	tooth	khraw.1
4.271	gums	khon.5
4.272	molartooth	khon.5 phet.4; khon.5 thi:.3 ʔa.1-waj.1-ja.1-wa.4 phe:t.3
4.28	neck	raŋ.1-khɛ:.1
4.281	nape of neck	ŋɨa.2
4.29	throat	lɨat.3
4.3	shoulder	sen.3 lɨat.3 jaj.2
4.301	shoulderblade	ʔen.1; sen.3 ʔen.1
4.302	collarbone	kra.2-du:k.2
4.31	arm	khaj.5 kra.2-du:k.2
4.312	armpit	si:.3-khro:ŋ.1
4.32	elbow	khaw.5
4.321	wrist	ha:ŋ.5
4.33	hand	laŋ.5
4.331	palm of hand	kra.2-du:k.2 san.5 laŋ.5
4.34	finger	hua.5
4.342	thumb	kha.1-map.2
4.344	fingernail	ka.1-lo:k.2
4.345	claw	sa.1-mɔ:ŋ.5
4.35	leg	na:.3
4.351	thigh	na:.3 pha:k.2
4.352	calf of leg	kha:.5 kan.1-kaj.1; kra:m.1
4.36	knee	kɛ:m.1
4.37	foot	kha:ŋ.1
4.371	ankle	ta:.1
4.372	heel	khiw.4
4.374	footprint	naŋ.5-ta:.1
4.38	toe	khon.5-ta:.1
4.392	wing	kra.2-phrip.4-ta:.1; li:.2-ta.1
4.393	feather	hu:.5
4.4	chest	tiŋ.2 hu:.5
4.41	breast (of woman)	khi:.3 hu:.5
4.412	nipple, teat	ca.1-mu:k.2
4.42	udder	ru:.1 ca.1-mu:k.2
4.43	navel	nam.4-mu:k.3; khi.3-mu:k.3
4.44	heart	pa:k.2
4.441	lung	ca.1-ŋɔ:j.1 pa:k.2
4.45	liver	rim.1 fi:.1 pa:k.2
4.451	kidney	lin.4
4.452	spleen	fan.1
4.46	stomach	ŋa:.1; ŋɨak.2
4.461	intestines, guts	fan.1-kra:m.1
4.462	waist	khɔ:.1
4.463	hip	tha:j.4 thɔ:j.1; ton.3 khɔ:.1
4.464	buttocks	lam.1 khɔ:.1
4.47	womb	laj.2
4.49	testicle	sa.1-bak.2
4.492	penis	kra.2-du:k.2 haj.5 pla:.1 ra:.4
4.51	breathe, breath	khɛ:n.5
4.52	yawn, gape	rak.4-rɛ:.4
4.521	hiccough	khɔ:.3 sɔ:k.2
4.53	cough	khɔ:.3 mɨ:.1
4.54	sneeze	mɨ:.1
4.55	perspire	fa:.2 mɨ:.1
4.56	spit	niw.4
4.57	vomit	niw.4 po:ŋ.3; niw.4 hua.1 mɛ:.3 mɨ:.1
4.58	bite	lep.4
4.59	lick	kroŋ.1 lep.4; lep.4 sat.2
4.591	dribble	kha:.5
4.61	sleep	ton.3-kha:.5; kha:.5 ʔɔ:n.2
4.612	snore	nɔ:ŋ.3
4.62	dream	khaw.2
4.63	wake up	thaw.4
4.64	break wind	khɔ:.3 thaw.4
4.65	urinate	son.3 thaw.4
4.66	defecate	rɔ:j.1 thaw.4
4.67	have sexual intercourse	niw.4 thaw.4; hua.1 mɛ:.3 thaw.4
4.68	shiver	pi:k.2
4.69	bathe	khon.5
4.71	beget (of father)	ʔɔk.2
4.72	born (to be)	na:.3 ʔɔk.2; nom.1
4.73	pregnant	hua.5 nom.1
4.732	conceive	taw.3 nom.1; tɔ:m.2 nam.4 nom.1
4.74	live, living, life	sa.1-dɨ:.1
4.75	die, dead	hua.5-caj.1
4.751	drowned	pɔ:t.2
4.76	kill	tap.2
4.77	corpse	taj.1
4.78	bury (the dead)	ma:m.4
4.79	grave, tomb	nam.4 di:.1
4.81	strong, mighty, powerful	phuŋ.1; thɔ:ŋ.4
4.82	weak	thɔ:ŋ.4; kra.1-pɔʔ.4
4.83	well, health	lam.1-saj.3
4.84	sick, sickness	ʔew.1
4.841	fever	sa.1-pho:k.3
4.842	goiter	kon.3
4.843	cold (catarrh)	tha.2-wa:n.1 nak.2
4.85	wound, sore	mot.4-lu:k.3
4.852	bruise	lu:k.3 ʔan.1-tha.4
4.853	swelling	ʔoŋ.1-kha.1-cha:t.3; ʔa.1-waj.1-ja.1-wa.4 phe:t.3 cha:j.1
4.854	itch	chɔ:ŋ.3 khlɔ:t.3
4.855	blister	lom.1 ha:j.5 caj.1
4.856	boil (noun)	ha:w.5
4.857	pus	sa.1-ʔɨk.2
4.858	scar	ʔaj.1
4.86	cure, heal	ca:m.1
4.87	physician	ŋɨa.2 ʔɔ:k.2
4.88	medicine, drug	nam.4 la:j.1
4.89	poison	thom.2 nam.4 la:j.1; buan.3 nam.4 la:j.1
4.91	tired, weary	ʔuak.3; ʔa:.1-cian.1
4.912	rest	kat.2
4.92	lazy	lɛ:p.3
4.93	bald	lia.1
4.94	lame	jot.2; laj.5
4.95	deaf	nɔ:n.1 lap.2
4.96	mute	kron.1
4.97	blind	fan.5
4.98	intoxicated	luk.4; tɨ:n.2
4.99	naked, bare	tɨ:ŋ.2 nɔ:n.1
5.11	eat	tot.2; thɔ:ŋ.4 ʔɨ:t.2; thɔ:ŋ.4 fə:.4
5.12	food	chi:.2; jiaw.3; pat.2-sa:.5-wa.4
5.121	cooked	khi:.3; ʔɨ.2; tha:j.2 ʔut.2-ca:.1-ra.4
5.122	raw	ruam.3 phe:t.3; mi:.1 phe:t.3 sam.5-phan.1
5.123	ripe	san.2
5.124	green, unripe	ʔa:p.2 nam.4
5.125	rotten	tham.1 haj.3 kə:t.2; haj.3 kam.1-nə:t.2
5.13	drink	kə:t.2
5.14	hunger	haj.3 kam.1-nə:t.2
5.141	famine	taŋ.3 thɔ:ŋ.4; taŋ.3 khan.1
5.15	thirst	kɔ:.2 kam.1-nə:t.2; nɨk.4 khit.4
5.16	suck	chi:.1-wit.4; mi:.1 chi:.1-wit.4; ju:.2
5.18	chew	ta:j.1
5.181	swallow	com.1 nam.4 ta:j.1
5.19	choke	kha:.3
5.21	cook	sop.2
5.22	boil (vb)	faŋ.5
5.23	roast, fry	pa:.2 cha:.4; lum.5 sop.2
5.24	bake	khɛŋ.5-rɛ:ŋ.1; khem.3-khɛŋ.5; mi:.1 ʔam.1 na:t.3
5.25	oven	ʔɔ:n.2-ʔɛ:.1
5.26	pot, cooking vessel	suk.2-kha.2-pha:p.3 di:.1
5.27	kettle	puaj.2; maj.3 sa.2-ba:j.1
5.28	pan	khaj.3
5.31	dish	ro:k.3 khɔ:.1 pɔ:k.1
5.32	plate	khaj.3 wat.2
5.33	bowl	thɔ:ŋ.4 sia.5; thɔ:ŋ.4 ruaŋ.3
5.34	pitcher, jug	cep.2 puat.2
5.35	cup, drinking vessel	cham.4; fok.4-cham.4
5.36	saucer	ka:n.1 buam.1; ka:n.1 phɔ:ŋ.1
5.37	spoon	buam.1; phɔ:ŋ.1; khan.1
5.38	knife	tum.2; phu.4-phɔ:ŋ.1
5.39	fork	fi:.5; siw.5
5.391	tongs	nɔ:ŋ.5
5.41	meal (a)	phɛ:.5 pen.1
5.42	breakfast	rak.4-sa:.5
5.43	lunch	mɔ:.5; phɛ:t.3
5.44	dinner	ja:.1
5.45	supper	ja:.1 phit.4
5.46	peel	wa:ŋ.1 ja:.1 phit.4
5.47	sieve, strain	nɨa.2; nɨa.3 la:.4
5.48	scrape	phak.4; phak.4 phɔ:n.2
5.49	stir, mix	khi:.3 kiat.2
5.51	bread	la:n.4
5.53	dough	kha:.5 sia.5; kha:.5 pe:.5; kha:.5 phi.4-ka:n.1; ŋɔ:j.3
5.54	knead	hu:.5 nuak.2
5.55	meal, flour	pen.1 baj.3
5.56	crush, grind	ta:.1 bɔ:t.2
5.57	mill	maw.1
5.58	mortar	plɨ:aj.1
5.59	pestle	kin.1
5.61	meat	ʔa:.1-ha:n.5
5.63	sausage	suk.2
5.64	soup, broth	dip.2
5.65	vegetables	suk.2; ŋɔ:m.1
5.66	bean	khiaw.5; maj.3 suk.2
5.7	potato	naw.3; sia.5
5.71	fruit	dɨ:n.2
5.712	bunch	hiw.5
5.75	fig	hiw.5 cat.2; ʔot.2 ja:k.2
5.76	grape	kra.1-ha:j.5
5.77	nut	du:t.2
5.78	olive	khiaw.4
5.79	oil	klɨ:n.1
5.791	grease, fat	sam.5-lak.4
5.81	salt	tham.1 kap.2 kha:w.3; tham.1 ʔa:.1-ha:n.5
5.82	pepper	tom.3
5.821	chili pepper	ja:ŋ.3; thɔ:t.3
5.84	honey	ʔop.2
5.85	sugar	taw.1; taw.1 ʔop.2
5.86	milk (noun)	mɔ:.3
5.87	milk (vb)	ka:.1 tom.3 nam.4
5.88	cheese	ka.2-ta.4
5.89	butter	ca:n.1
5.9	beverage, drink	ca:n.1 bɛ:n.1
5.91	mead	cha:m.1; ʔa:ŋ.2
5.92	wine	jɨ:ak.2 nam.4
5.93	beer	kɛ:w.3
5.94	fermented drink	thuaj.3
5.97	egg	chɔ:n.4
5.971	egg yolk	mi:t.3
6.11	put on (clothes)	sɔm.3
6.12	clothing, clothes	pa:k.2 khi:p.3; khi:m.1
6.13	tailor	mɨ:.4 ʔa:.1-ha:n.5
6.21	cloth	kha:w.3 chaw.4; ʔa:.1-ha:n.5 chaw.4
6.22	wool	kha:w.3 kla:ŋ.1 wan.1; ʔa:.1-ha:n.5 kla:ŋ.1 wan.1
6.23	linen, flax	ʔa:.1-ha:n.5 jen.1; ʔa:.1-ha:n.5 kham.3
6.24	cotton	kha:w.3 jen.1; ʔa:.1- ha:n.5 jen.1
6.25	silk	pɔ:k.1 plɨak.2
6.27	felt	ta.1-krɛ:ŋ.1; kra.2-chɔ:n.1
6.28	fur	khu:t.2
6.29	leather	khon.1; kuan.1; pha.1-som.5
6.31	spin	kha.1-nom.5 paŋ.1
6.32	spindle	pɛ:ŋ.3 thi:.3 pha.1-som.5 lɛʔ.4 nuat.3 lɛ:w.4
6.33	weave	nuat.3; pan.3
6.34	loom	pɛ:ŋ.3
6.35	sew	pon.2; tam.1
6.36	needle	bot.2
6.37	awl	rɔ:n.3
6.38	thread	mo:.3; bot.2
6.39	dye	khrɔk.4
6.41	cloak	sa:k.2
6.411	poncho	nɨa.4 sat.2
6.42	woman's dress	saj.3 krɔ:k.2
6.43	coat	nam.4 kɛ:ŋ.1; sup.4
6.44	shirt	phak.2
6.45	collar	thua.2
6.46	skirt	kha.1-min.3
6.461	grass-skirt	kra.2-tiam.1
6.48	trousers	hɔ:m.5; hɔ:m.5 hua.5 jaj.2
6.49	stocking, sock	phrik.4
6.51	shoe	ŋa:.1
6.52	boot	khiŋ.5
6.54	shoemaker, cobbler	tɛ:ŋ.1-kwa:.1
6.55	hat, cap	ma.1-khɨa.5
6.57	belt, girdle	man.1 fa.1-raŋ.2
6.58	glove	phon.5-la.1-ma:j.4
6.59	veil	chɔ:.3; phuaŋ.1
6.61	pocket	ma.1-dɨa.2; ton.3 saj.1; ton.3 kra:ŋ.2
6.62	button	ʔa.1-ŋun.2
6.63	pin	thua.2 plɨak.1 khɛŋ.5
6.71	ornament, adornment	ma.1-kɔ:k.2
6.72	jewel	nam.4 man.1
6.73	ring (for finger)	khaj.5 man.1; khaj.5; man.1
6.74	bracelet	ʔuan.3
6.75	necklace	phɔ:m.5
6.76	bead	klɨ:a.1
6.77	earring	phrik.4 thaj.1
6.78	headband, headdress	phrik.4
6.79	tattoo	nam.4 phɨŋ.3
6.81	handkerchief, rag	nam.4 ta:n.1
6.82	towel	nom.1
6.91	comb	ri:t.3 nom.1
6.92	brush	nə:j.1 khɛŋ.5
6.921	braid	nə:j.1 sot.2
6.93	razor	khrɨaŋ.3 dɨ:m.2
6.94	ointment	law.3 nam.4 phɨŋ.3
6.95	soap	law.3 ʔa.1-ŋun.2
6.96	mirror	bia.1
7.11	dwell, live	law.3
7.12	house	khaj.2
7.13	hut	khaj.2 dɛ:ŋ.1
7.131	garden-house	tɛ:ŋ.2 tua.1
7.14	tent	sɨa.3 pha:.3
7.15	yard, court	cha:ŋ.3 tat.2 sɨa.3
7.16	men's house	pha:.3
7.17	cookhouse	khon.5 sat.2; pha:.3 khon.5 sat.2
7.18	meeting house	pa:n.2; li.1-nin.1
7.21	room	fa:j.3
7.22	door, gate	maj.5
7.221	doorpost, jamb	sak.2-ka.1-la:t.2
7.23	lock (noun)	khon.5 sat.2; pha:.3 khon.5 sat.2
7.231	latch, door-bolt	naŋ.5
7.24	key	pan.2
7.25	window	kra.1-suaj.5
7.26	floor	thɔ:.1; sa:n.5; thak.2
7.27	wall	khrɨaŋ.3 thɔ:.1 pha:.3; hu:k.2
7.31	fireplace	jep.4 pha:.3
7.32	stove	khem.5
7.33	chimney	sa.1-wa:n.2
7.37	ladder	da:j.3
7.42	bed	jɔ:m.4 si:.5
7.421	pillow	khlum.1; sɨa.3 khlum.1
7.422	blanket	pha:.3 khlum.1
7.43	chair	sɨa.3 pha:.3 sat.2-tri:.1; sɨa.3 pha:.3 phu:.3 jiŋ.5
7.44	table	sɨa.3 khlum.1; sɨa.3 nɔ:k.3
7.45	lamp, torch	sɨa.3 chə:t.4; sɨa.3
7.46	candle	pok.2 sɨa.3; khɔ:.1 sɨa.3
7.47	shelf	kra.2-pro:ŋ.1
7.48	trough	kra.2-pro:ŋ.1 ja:.3
7.51	roof	ka:ŋ.1-ke:ŋ.1
7.52	thatch	pha:.3- kha:w.5-ma:.4; pha.3-tiaw.2
7.53	ridgepole	thuŋ.5 tha:w.4; thuŋ.5 nɔ:ŋ.3
7.54	rafter	rɔ:ŋ.1 tha:w.4
7.55	beam	rɔ:ŋ.1 tha:w.4 hum.3 khɔ:.3; rɔ:ŋ.1 tha:w.4 bu:t.4
7.56	post, pole	cha:ŋ.3 tham.1 rɔ:ŋ.1 tha:w.4
7.57	board	muak.2
7.58	arch	khem.5 khat.2
7.61	mason	thuŋ.5 mɨ:.1
7.62	brick	pha:.3 khlum.1 na:.3
7.63	mortar	kra.2-paw.5 sɨa.3; kra.2-paw.5 ka:ŋ.1-ke:ŋ.1
7.64	adobe	kra.2-dum.1
8.11	farmer	kem.5-mut.2; kem.5-klat.2
8.12	field (for cultivation)	ta:ŋ.2 hu:.5
8.13	garden	khrɨaŋ.3 pra.2-dap.2
8.15	cultivate, till	ʔan.1-ja.4-ma.2-ni:.1; phet.4 phlɔ:j.1
8.16	fence	wɛ:n.5
8.17	ditch	kam.1-laj.1
8.21	plow	sɔ:j.3 khɔ:.1
