entry_id	trans_english	Southern_Kam_Phonemic
3.55	chicken	mâi.31 qai.53
3.56	goose	qai.53
3.57	duck	ʔan.33
3.58	nest	pət.55
3.581	bird	tau.13
3.582	seagull	mok.212
3.583	heron	həi.31 ŋəu.33
3.584	eagle	sau.53
3.585	hawk	qâu.55 mak.323
3.586	vulture	qâu.55
3.591	bat	ʔam.55
3.592	parrot	hoŋ.33 ćən.33
3.593	crow	ʔo.212
3.594	dove	jən.33 u.31
3.596	owl	qa.55
3.61	dog	mun.31
3.614	rabbit	pâu.212
3.62	cat	qâu.55
3.622	opossum	ʔan.33 qo.212
3.63	mouse, rat	ʔin.53
3.65	fish	koŋ.31 ćo.212
3.652	fin (dorsal)	qai.53 ćən.212
3.653	fishscale	ŋwa.35
3.654	gill	thu.453
3.655	shell	ləm.33
3.661	shark	peu.53
3.662	porpoise, dolphin	məm.31
3.663	whale	meu.31
3.664	stingray	ńan.35
3.665	freshwater eel	no.323 nən.13
3.71	wolf	no.323
3.72	lion	pa.55
3.73	bear	ći.31 pa.55
3.74	fox	kwəm.53 pa.55
3.75	deer	ŋap.31 pa.55
3.76	monkey	qeŋ.53
3.77	elephant	ćei.33
3.78	camel	qeŋ.53
3.81	insect	pa.55 śaŋ.13
3.811	louse	pa.55 śaŋ.13
3.812	nit (louse egg)	ŋo.33
3.813	flea	laŋ.212
3.814	centipede	su.55 su.33
3.815	scorpion	me.55
3.816	cockroach	hu.212 lji.212
3.817	ant	no.323 qen.53
3.818	spider	no.323 pən.323
3.819	spider web	ćim.453 min.323
3.82	bee	mjan.13
3.821	beeswax	śan.55 pha.35
3.822	beehive	śan.55 pha.35
3.823	wasp	tu.212 ta.13
3.83	fly	mun.33
3.831	sandfly (midge), gnat	śaŋ.53
3.832	mosquito	ŋe.212 śaŋ.53
3.84	worm	lo.212 to.212
3.85	snake	nui.212
3.91	firefly	nan.55; tau.55 nan.55
3.92	butterfly	kei.53 nan.55
3.93	grasshopper	kwat.55
3.94	snail	khəp.35
3.95	frog	śe.212
3.96	lizard	kwap.323
3.97	crocodile, alligator	mət.212
3.98	turtle	siŋ.55 ŋo.212
4.11	body	pjan.212 siŋ.55 ŋo.212
4.12	skin, hide	luk.31
4.13	flesh	lap.31 luk.31
4.14	hair (head)	kuŋ.55 luk.31
4.142	beard	lin.55
4.144	body hair	mət.212 pak.31
4.145	pubic hair	mjuŋ.31
4.146	dandruff	mjuŋ.31 ćam.53
4.15	blood	nui.212
4.151	vein, artery	nui.212 pən.55
4.16	bone	nui.212 si.53
4.162	rib	nun.55
4.17	horn	leŋ.212 ləi.323
4.18	tail	ńin.212
