entry_id	trans_english	Rapa_Nui_Phonemic
14.66	Thursday	mahana maha
14.67	Friday	mahana pae
14.68	Saturday	mahana hopu
14.71	month	ʔavaʔe; marama
14.73	year	matahiti
14.74	winter	toŋa
14.75	spring	ʔavaʔe pipi miro
14.76	summer	[hora]
14.77	autumn	ʔavaʔe marere o te raupā o te miro
14.78	season	
15.21	smell (vb intrans)	hauʔa
15.212	sniff	ʔuʔume
15.22	smell (vb trans)	hoŋi
15.25	fragrant, good smelling	ʔeo
15.26	stinking, bad smelling	piro; neʔo-neʔo
15.31	taste	haka ʔatu
15.35	sweet	nene
15.36	salty	maŋeo
15.37	bitter	maŋeʔo
15.38	acid, sour	maŋeʔo
15.39	brackish	kava
15.41	hear	ŋaroʔa
15.42	listen	haka roŋo
15.44	sound, noise	poŋeha; mania-nia
15.45	loud	puai
15.46	quiet, silence	koraʔiti
15.51	see	takeʔa; uʔi; tikeʔa
15.52	look, look at	uʔi
15.55	show	haka tikeʔa; haka takeʔa
15.56	shine	pura
15.57	bright	ʔuira
15.61	color	
15.62	light (in color)	maʔeha
15.63	dark (in color)	poʔiri; kere-kere; puai
15.64	white	tea-tea; rito-rito
15.65	black	ʔuri-ʔuri; kere-kere
15.66	red	mea-mea; mea; ura-ura
15.67	blue	moana; moana ʔere-ʔere
15.68	green	rito mata
15.69	yellow	toua mamari
15.71	touch	puā; haka puā
15.712	pinch	hakura; hakura-kura
15.72	feel	hāhā
15.74	hard	hio-hio
15.75	soft	heka-heka
15.76	rough	raʔa-raʔa; ra-raʔa; makiri
15.77	smooth	pororeko; ti-tika
15.78	sharp	kaʔi-kaʔi
15.79	blunt, dull	puni-puni; poro-poro
15.81	heavy	paŋahaʔa
15.82	light (in weight)	maʔa-maʔa
15.83	wet, damp	rari; hehe-hehe
15.84	dry	paka; paka-paka
15.85	hot	veʔa-veʔa; vera
15.851	warm	veʔa-veʔa; mahana
15.86	cold	takeʔo; takeo
15.87	clean	maʔitaki
15.88	dirty, soiled	ʔoʔone; iŋo-iŋo; eŋo-eŋo
15.89	wrinkled	piti-piti; miŋo-miŋo
16.11	soul, spirit	varua
16.15	surprised, astonished	maere; maʔu-rima
16.18	good fortune, luck	pō riva-riva; mate; vairua
16.19	misfortune, bad luck	pō rake-rake; mate; vairua
16.23	joyful, glad, happy	koa; kata-kata
16.25	laugh	kata
16.251	smile	kata
16.26	play	kori; [pere]
16.27	love	here; haŋa
16.29	kiss	hoŋi
16.3	embrace	haʔi
16.31	pain	mamae
16.32	grief, sorrow, sadness	ʔaroha
16.33	anxiety, worry	manaʔu
16.34	regret, be sorry	ʔaroha; taŋi; ʔo-ʔoka; maui-ui
16.35	pity	ʔaroha
16.37	cry, weep	taŋi
16.38	tear (noun)	mata-vai
16.39	groan	ʔu-ʔuru; ʔu-ʔū
16.41	hate	riri
16.42	anger	riri
16.44	envy, jealousy	mākota
16.45	shame (noun)	haʔa mā
16.48	proud	teʔo-teʔo; haka pa-paka
16.51	dare	
16.52	brave	haka kē; ito-ito
16.53	fear, fright	mataku; riʔa-riʔa
16.54	danger	ʔati
16.62	desire, want	haŋa
16.622	choose	vae
16.63	hope	haŋu ŋatu; ŋatu haŋu
16.65	faithful	
16.66	true	parau-tiʔa
16.67	lie, tell lies	reo-reo
16.68	deceit	poriko
16.69	forgive	haka kore; haka oti
16.71	good	riva-riva
16.72	bad	rake-rake
16.73	right, correct	tano; ti-tika
16.74	wrong	taʔe tano; kai tano; hape
16.76	fault	hape
16.77	mistake, error	hape; poteko
16.78	blame	tuhi
16.79	praise	haka paka
16.81	beautiful	tau; nehe-nehe
16.82	ugly	rake-rake
16.83	greedy	ono-ono; titau; nou-nou
16.84	clever	mara-marama
17.11	mind	roro
17.13	think (= reflect)	haka topa; tuia
17.14	think (= be of the opinion)	manaʔu
17.15	believe	haka roŋo
17.16	understand	aŋi-aŋi; maʔa
17.17	know	ʔite; maʔa
17.171	guess	ʔati
17.172	imitate	haka ʔatu
17.18	seem	tuʔu pe he
17.19	idea, notion	raveʔa; manaʔu; tuia
17.21	wise	
17.22	foolish, stupid	ʔetene
17.23	insane, crazy	maʔa-maʔa
17.24	learn	hāpī; haka mataʔu; haka mahani
17.242	study	hāpī
17.25	teach	hāpī; haka maʔa
17.26	pupil	taŋata hāpī
17.27	teacher	taŋata hāpī
17.28	school	hare hāpī
17.31	remember	manaʔu
17.32	forget	rehu
17.34	clear, plain	
17.35	obscure	
17.36	secret	
17.37	sure, certain	aŋi-aŋi
17.38	explain	haka aŋi-aŋi
17.41	intention, purpose	tumu
17.42	cause	haka; haʔa; tumu
17.43	doubt	
17.44	suspect	
17.441	betray	toʔa
17.45	need, necessity	
17.46	easy	taʔe roa
17.47	difficult	aŋa rahi
17.48	try, attempt	haka ʔatu
17.49	way, manner	huru; raveʔa
17.51	and	ʔe
17.52	because	ʔo ira
17.53	if	ana; mo
17.54	or	[ʔo]
17.55	yes, affirmative	ʔē-ē
17.56	no, negative	ʔina; kai; (e)ko; taʔe
17.61	how?	pe hē
17.62	how many?	e hia
17.63	how much?	e hia
17.64	what?	he aha
17.65	when?	a hē
17.66	where?	ʔi hē
17.67	which?	ko hē
17.68	who?	ko ai
17.69	why?	mo aha
18.11	voice	reʔo
18.12	sing	[himene]; ako
18.13	shout, cry out	ohu
18.15	whisper	haʔumu-ʔumu
18.16	mumble	vanaŋa hai niho
18.17	whistle	puhi
18.18	shriek, screech	ki-kiu
18.19	howl	ki-kiu; ʔau-ʔau
18.21	speak, talk	vanaŋa
18.211	stutter, stammer	haka punoko
18.22	say	kī
18.221	tell story	ʔaʔamu
18.222	speech (make a)	tatara
18.23	silent (be)	mou
18.24	language	ʔarero; vanaŋa
18.26	word	vanaŋa
18.28	name	ʔiŋoa
18.31	ask (question, inquire)	ʔui
18.32	answer	pahono
18.33	admit, confess	haʔa tiʔa; haʔaki
18.34	deny	naʔa; taʔe haʔa tiʔa
18.35	ask, request	nonoʔi
18.36	promise	
18.37	refuse	e ko haŋa; taʔe haŋa; kai haŋa
18.38	forbid	puru; taʔe haʔa tiʔa
18.39	rebuke, scold	ture; pohi
18.41	call (=summon)	raŋi
18.42	call (=name)	nape
18.43	announce	haʔaki
18.44	threaten	haka riʔa-riʔa
18.45	boast	teʔo-teʔo
18.51	write	papaʔi; rero-rero
18.52	read	taiʔo; rutu
18.56	paper	parau
18.57	pen	[pentara]
18.61	book	[puka]
18.67	poet	
18.71	flute	puhi
18.72	drum	[tampuru]
18.73	horn, trumpet	
18.74	rattle	
19.11	country	henua
19.12	one's native country	henua
19.15	city, town	
19.16	village	
19.17	boundary	titaʔa
19.21	people (populace)	taŋata
19.23	tribe, clan	mata
19.24	chief, chieftain	ʔariki
19.25	staff, walking stick	toko-toko
19.31	rule, govern	ʔao
19.32	king, ruler	ʔariki
19.33	queen	ʔariki vahine
19.36	noble, nobleman	ʔariki
19.37	citizen, subject	
19.41	master	hatu
19.42	slave	
19.43	servant	[tavini]
19.44	freeman	
19.45	command, order	haka aŋa
19.46	obey	haka roŋo
19.47	let, permit	haʔa tiʔa
19.51	friend, companion	hoa
19.52	enemy	toʔa; [enemī]
19.54	neighbor	taŋata hare
19.55	stranger	taŋata kē
19.56	guest	taŋata ʔaʔaku
19.57	host	taŋata hapaʔo
19.58	help, aid	tautoru; hāʔūʔū
19.59	hinder, prevent	haka hihi-hihi
19.61	custom	mahani
19.62	strife, quarrel	tatake
19.63	conspiracy, plot	
19.65	meet	piri
19.72	prostitute	taiʔo
20.11	fight (vb)	moto
20.13	war, battle	tamaʔi; tauʔa
20.14	peace	haumarū
20.15	army	vaʔehau
20.17	soldier	vaʔehau
20.21	weapons, arms	haŋo
20.22	club	paoa
20.222	battle-ax	ʔohio tamaʔi
20.23	sling	herepata
20.24	bow	teʔa
20.25	arrow	teʔa
20.26	spear	
20.27	sword	hoe tiʔoʔe
20.28	gun, cannon	haŋo
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	rē
20.42	defeat	mate
20.43	attack	
20.44	defend	
20.45	retreat	neke
20.46	surrender	
20.47	captive, prisoner	
20.471	guard, sentinel	auario; mutoʔi
20.48	booty, spoils	
20.49	ambush	amoŋarau
20.51	fisherman	taŋata hī ika; tere-vaka
20.52	fishhook	rou
20.53	fishing line	hau hī
20.54	fishnet	kupeŋa
20.55	fish trap	[tarampa]; kupeŋa
20.56	bait	maʔaŋa
20.61	hunt	
20.62	shoot	pu-puhi
20.63	miss (target)	
20.64	trap (noun)	[tarampa]; kupeŋa
20.65	trap (vb)	ʔa-ʔaru
21.11	law	[rei]
21.15	court	hare [ture]
21.16	judge (vb)	haʔavā
21.17	judgment	ture
21.18	judge (noun)	taŋata haʔa vā [ture]
21.21	plaintiff	taŋata horo ture
21.22	defendant	taŋata [ture]
21.23	witness	mata-ʔite
21.24	swear	horea
21.25	oath	horea
21.31	accuse	haʔaki
21.32	condemn	ūtuʔa
21.33	convict (vb)	
21.34	acquit	haka kore
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	ūtuʔa
21.38	fine	te ūtuʔa he ʔouhou
21.39	prison, jail	hare maʔu ʔaurī
21.42	murder	tiŋaʔi; taparahi
21.43	adultery	taiʔata
21.44	rape	ʔa-ʔaru; teki
21.46	arson	
21.47	perjury	horea reo-reo; haʔa vare
21.51	steal	toke
21.52	thief	toke-toke
22.11	religion	haka tere
22.12	God	ʔatua
22.13	temple, church	hare pure
22.14	altar	[fata]
22.15	sacrifice, offering	pū-pū; api
22.16	worship	pure
22.17	pray	pure
22.18	priest	oro-matuʔa
22.19	holy, sacred	moʔa; tapu
22.22	preach	tatara
22.23	bless	haʔa moʔa; haʔa maitai
22.24	curse	tohu; tohu-tohu
22.26	fast (vb)	ʔina ko kai; tapu te kai
22.31	heaven	raŋi
22.32	hell	poʔauahi
22.35	demon (evil spirit)	ʔaku-ʔaku; [tatane]; varua ʔino
22.37	idol	paina
22.42	magic, witchcraft, sorcery	tahu-tahu
22.43	sorcerer, witch	tahu-tahu
22.44	fairy, elf	
22.45	ghost, phantom	varua
22.47	omen, portent	haka ʔatu uŋa
