entry_id	trans_english	Haida_Northern_Phonemic
4.41	breast (of woman)	tlˀánuu
4.412	nipple, teat	
4.42	udder	
4.43	navel	skíl
4.44	heart	kˀúukʰ
4.441	lung	hlkʰuxʔíi
4.45	liver	tlˀakˀúl
4.451	kidney	čáay
4.452	spleen	
4.46	stomach	kˀíič
4.461	intestines, guts	stláan
4.462	waist	yakʰwsíi
4.463	hip	kʰwáay
4.464	buttocks	ˁkutʰ
4.47	womb	
4.49	testicle	
4.492	penis	čʰačʰ
4.51	breathe, breath	ˁkakánčaaw
4.52	yawn, gape	
4.521	hiccough	skáakˀ ataaŋ
4.53	cough	ḳˀusáaŋ
4.54	sneeze	hačˀasáa
4.55	perspire	taŋahltáa
4.56	spit	hlʔáan; hltʰah
4.57	vomit	tlakáŋ
4.58	bite	ḳˀuskatʰ
4.59	lick	
4.591	dribble	
4.61	sleep	ḳˀatíi; ḳˀátáa; ḳʰaŋáa
4.612	snore	
4.62	dream	ḳʰáŋaa
4.63	wake up	skyáanaa; -skʰínaa
4.64	break wind	
4.65	urinate	kˀukánsaan; kˀukánsanaa
4.66	defecate	ḳʰáakahl
4.67	have sexual intercourse	
4.68	shiver	
4.69	bathe	ˁkáataŋ
4.71	beget (of father)	
4.72	born (to be)	
4.73	pregnant	tahlkiyáa
4.732	conceive	
4.74	live, living, life	ˁxíinaŋaa, ˁxíinaaŋ; stáŋ
4.75	die, dead	kˀutˀáal; -kˀutˀahl
4.751	drowned	ˁkaḳˀíitas
4.76	kill	-kˀutˀahl; tʰiyáa
4.77	corpse	
4.78	bury (the dead)	hlˁkiiwáa
4.79	grave, tomb	sáal ˁkutʰ
4.81	strong, mighty, powerful	takwiikʰ; takwiyáa; tláačˀkaa
4.82	weak	ˁkaakáa
4.83	well, health	támaan
4.84	sick, sickness	stˀíi
4.841	fever	
4.842	goiter	
4.843	cold (catarrh)	
4.85	wound, sore	snál
4.852	bruise	
4.853	swelling	xučˀáa; xučˀiyáa; tanhlaa
4.854	itch	kˀučˀíikaa
4.855	blister	
4.856	boil (noun)	kʰisáa; kíič; kíičaa; kukʰstlˀačáaw
4.857	pus	
4.858	scar	súut-aay
4.86	cure, heal	
4.87	physician	sˁkáakaa
4.88	medicine, drug	xíl
4.89	poison	
4.91	tired, weary	hlˁkínsahltaa; ˁkahkahl; -staa
4.912	rest	án sáančuutaa; sáanaa
4.92	lazy	kuukáa
4.93	bald	skaačáa
4.94	lame	
4.95	deaf	kyúu-tanaa
4.96	mute	
4.97	blind	
4.98	intoxicated	láamkeihl; láamkaa
4.99	naked, bare	
5.11	eat	táa; hltanúu; -tˀáaŋ
5.12	food	ḳʰáwkˀahl; táaw
5.121	cooked	ˁkalánslaa
5.122	raw	kˀanáa; táaw
5.123	ripe	
5.124	green, unripe	
5.125	rotten	skatáanslaa; táaˁkaŋatʰ
5.13	drink	níihl, ˁkaníihl
5.14	hunger	ḳˀutʰ
5.141	famine	ḳˀutáal
5.15	thirst	ḳʰatˀúu
5.16	suck	tlˀán
5.18	chew	-tačaaŋ; hálčaŋ
5.181	swallow	ˁkúntlˀaačˀaa
5.19	choke	ḳʰakaŋatʰ; xáahltˀiit
5.21	cook	kʰúukaa; tláŋ ˁkaláŋ
5.22	boil (vb)	čˀasláŋ
5.23	roast, fry	-alaŋ; kˀatˀúu; kʰičˀáa
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	čˀasláaŋw
5.27	kettle	
5.28	pan	ˁkaaláaŋw
5.31	dish	ḳʰíihlaa; kˀámaal
5.32	plate	ḳʰíihlaa
5.33	bowl	
5.34	pitcher, jug	ḳʰálk; ˁkan
5.35	cup, drinking vessel	skˀatlˀáaŋw
5.36	saucer	
5.37	spoon	ˁxaač stláakʰwaalaa; ḳˀáas stláakʰwaal
5.38	knife	yaʔáačˀ; tʰáa
5.39	fork	katʰáaw
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	
5.43	lunch	hltanáaw
5.44	dinner	
5.45	supper	
5.46	peel	
5.47	sieve, strain	
5.48	scrape	ˁkahláa
5.49	stir, mix	-čuuláaŋ; -nhlahl
5.51	bread	saplíi
5.53	dough	
5.54	knead	
5.55	meal, flour	
5.56	crush, grind	
5.57	mill	
5.58	mortar	
5.59	pestle	
5.61	meat	kʰyaa; čʰíin táawaay
5.63	sausage	
5.64	soup, broth	
5.65	vegetables	
5.66	bean	
5.7	potato	skáwsiit
5.71	fruit	ˁkáan; sˁkitluu
5.712	bunch	
5.75	fig	čˀáŋ ḳˀuhlíi
5.76	grape	
5.77	nut	
5.78	olive	
5.79	oil	táw; xíl tlanáanˀwaa
5.791	grease, fat	ˁkáay; táw; ˁkáayaa
5.81	salt	taŋ
5.82	pepper	
5.821	chili pepper	
5.84	honey	
5.85	sugar	
5.86	milk (noun)	
5.87	milk (vb)	
5.88	cheese	
5.89	butter	
5.9	beverage, drink	
5.91	mead	
5.92	wine	
5.93	beer	
5.94	fermented drink	
5.97	egg	ḳʰáw
5.971	egg yolk	
6.11	put on (clothes)	čʰatˀas; -kaŋ; kyaʔántaa
6.12	clothing, clothes	
6.13	tailor	
6.21	cloth	kyaʔáaŋw
6.22	wool	
6.23	linen, flax	
6.24	cotton	
6.25	silk	
6.27	felt	
6.28	fur	
6.29	leather	skatˀáal
6.31	spin	
6.32	spindle	
6.33	weave	
6.34	loom	
6.35	sew	tlˀíi
6.36	needle	stlán; skatˀáal stlíinaay
6.37	awl	
6.38	thread	ḳʰwáay; tlˀáayuu
6.39	dye	
6.41	cloak	
6.411	poncho	
6.42	woman's dress	hlkˀitkáa; kyáatˀaat
6.43	coat	kˀuutáačˀ
6.44	shirt	
6.45	collar	
6.46	skirt	
6.461	grass-skirt	
6.48	trousers	kˀún
6.49	stocking, sock	stˀáatʰxiltáaw
6.51	shoe	stˀaskˀakáa; stˀahlkˀúnkˀ
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	tačʰaŋ; kiit tačʰáankaa
6.57	belt, girdle	
6.58	glove	stlahlkˀúnkˀ
6.59	veil	
6.61	pocket	kwáalaay
6.62	button	kuuláaŋw
6.63	pin	
6.71	ornament, adornment	
6.72	jewel	
6.73	ring (for finger)	stliihluu
6.74	bracelet	stlakáa
6.75	necklace	
6.76	bead	kawíit
6.77	earring	kyúu-kaa
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	kʰún kisáaw; kˀutkisáaw; kyaʔáaŋw
6.82	towel	ˁxáŋ kisáaw; stláan kisáaw
6.91	comb	hlkˀíitlʔaŋkʰ; hlkˀíitlˀaa
