entry_id	trans_english	Aché_Phonemic
15.26	stinking, bad smelling	ine
15.31	taste	buãʔã
15.35	sweet	ẽʔẽ
15.36	salty	iro
15.37	bitter	iro
15.38	acid, sour	iro
15.39	brackish	
15.41	hear	wẽdu
15.42	listen	wẽdu
15.44	sound, noise	krõrõ
15.45	loud	proro
15.46	quiet, silence	bue wẽdu-yãeče
15.51	see	mečã
15.52	look, look at	maiʔĩ
15.55	show	
15.56	shine	mibi
15.57	bright	wera
15.61	color	pirã
15.62	light (in color)	iǰu
15.63	dark (in color)	pirã
15.64	white	iǰu
15.65	black	braʔa
15.66	red	pirã
15.67	blue	prãna
15.68	green	prãna
15.69	yellow	iǰu
15.71	touch	poko
15.712	pinch	pɨčɨ
15.72	feel	
15.74	hard	krere
15.75	soft	praru
15.76	rough	kuru
15.77	smooth	prečã
15.78	sharp	ĩbe
15.79	blunt, dull	akua-yã
15.81	heavy	puɨʔɨ
15.82	light (in weight)	puɨyã
15.83	wet, damp	pirɨ
15.84	dry	ǰɨpi
15.85	hot	aku
15.851	warm	aku prowi
15.86	cold	duɨʔɨ
15.87	clean	aǰu-yã
15.88	dirty, soiled	aǰu bučã
15.89	wrinkled	papɨpɨre
16.11	soul, spirit	kreiʔi
16.15	surprised, astonished	ka paro
16.18	good fortune, luck	bretete
16.19	misfortune, bad luck	pane
16.23	joyful, glad, happy	urɨ
16.25	laugh	ǰuǰa
16.251	smile	ǰuǰa
16.26	play	ǰuǰa
16.27	love	prawo
16.29	kiss	ǰuru pɨče
16.3	embrace	eče ǰuwɨ
16.31	pain	ačɨ
16.32	grief, sorrow, sadness	učãyã
16.33	anxiety, worry	krɨ̃bayã
16.34	regret, be sorry	čĩga
16.35	pity	čĩga ǰekɨ
16.37	cry, weep	čĩga
16.38	tear (noun)	čã rɨ
16.39	groan	toĩ
16.41	hate	bɨ-yã
16.42	anger	prãǰã
16.44	envy, jealousy	tãʔã
16.45	shame (noun)	krɨ̃ba-yã
16.48	proud	ka čiǰa
16.51	dare	
16.52	brave	krɨ̃ba
16.53	fear, fright	krɨ̃ba-yã
16.54	danger	
16.62	desire, want	ǰueʔe
16.622	choose	prawo raʔa
16.63	hope	
16.65	faithful	bɨ gatutɨ
16.66	true	ka ina-yãdɨ
16.67	lie, tell lies	ka ina
16.68	deceit	ka inadɨ
16.69	forgive	kuaayã modo
16.71	good	gatu
16.72	bad	bučã
16.73	right, correct	ǰãpã-yãdɨ
16.74	wrong	ǰãpã-ma
16.76	fault	
16.77	mistake, error	ǰãpã
16.78	blame	
16.79	praise	
16.81	beautiful	kbe gatu
16.82	ugly	awačã
16.83	greedy	meyãdɨ
16.84	clever	bue ǰãpãyãdɨ
17.11	mind	tõʔõ
17.13	think (= reflect)	mirõrã
17.14	think (= be of the opinion)	kura
17.15	believe	ǰawu wẽdu gatu
17.16	understand	kuaawã
17.17	know	kuaaʔa
17.171	guess	čãpɨčo
17.172	imitate	buãʔã
17.18	seem	mekã
17.19	idea, notion	
17.21	wise	bue kuaatɨ
17.22	foolish, stupid	tõyã
17.23	insane, crazy	tõyã urɨ
17.24	learn	tõ gatumi
17.242	study	buãʔã gatu
17.25	teach	buãʔã
17.26	pupil	
17.27	teacher	buãdɨgi
17.28	school	
17.31	remember	kuaa rekowã
17.32	forget	kuaayãbɨre
17.34	clear, plain	kuaa gatu-wã
17.35	obscure	
17.36	secret	ǰemibɨre
17.37	sure, certain	kuaa gatu-ma
17.38	explain	kiu gatu-wã
17.41	intention, purpose	
17.42	cause	
17.43	doubt	ǰawu wẽduyã
17.44	suspect	mobo
17.441	betray	ka meʔe
17.45	need, necessity	
17.46	easy	
17.47	difficult	
17.48	try, attempt	buãʔã
17.49	way, manner	go noga
17.51	and	emi
17.52	because	-gua
17.53	if	-bu
17.54	or	
17.55	yes, affirmative	goʔo
17.56	no, negative	-yã
17.61	how?	bue rõ
17.62	how many?	mawe noga
17.63	how much?	mawe noga
17.64	what?	bue rõ
17.65	when?	matɨ rõ
17.66	where?	mapekrã
17.67	which?	mawegirã
17.68	who?	awa rõ
17.69	why?	buerã
18.11	voice	kuẽta
18.12	sing	preʔe
18.13	shout, cry out	ǰãbu
18.15	whisper	ǰawu pãpĩ
18.16	mumble	ǰẽguru
18.17	whistle	čewi
18.18	shriek, screech	ačĩ
18.19	howl	čĩga
18.21	speak, talk	ǰawu
18.211	stutter, stammer	
18.22	say	naʔã
18.221	tell story	kiuʔu
18.222	speech (make a)	bue kiuwã
18.23	silent (be)	ǰawu-eme
18.24	language	ǰawu
18.26	word	ǰawu
18.28	name	bɨkuapɨre
18.31	ask (question, inquire)	kiuʔu
18.32	answer	kiuʔu
18.33	admit, confess	kiuʔu
18.34	deny	
18.35	ask, request	
18.36	promise	
18.37	refuse	
18.38	forbid	
18.39	rebuke, scold	ǰaka
18.41	call (=summon)	puka
18.42	call (=name)	bɨkuarã
18.43	announce	prãdu
18.44	threaten	kura
18.45	boast	ka čiǰa
18.51	write	mama
18.52	read	buãʔã
18.56	paper	[kuačia]
18.57	pen	
18.61	book	[kuačia]
18.67	poet	--
18.71	flute	mibɨ
18.72	drum	
18.73	horn, trumpet	mibɨ
18.74	rattle	tɨka
19.11	country	ekoãdɨ
19.12	one's native country	ɨma ẽda-we
19.15	city, town	tapɨ tarã
19.16	village	čupa
19.17	boundary	
19.21	people (populace)	ače
19.23	tribe, clan	irõdɨ
19.24	chief, chieftain	ɨma čiǰa
19.25	staff, walking stick	
19.31	rule, govern	
19.32	king, ruler	apã čiǰa
19.33	queen	--
19.36	noble, nobleman	
19.37	citizen, subject	
19.41	master	apã
19.42	slave	--
19.43	servant	buetɨgi
19.44	freeman	--
19.45	command, order	kiuʔu
19.46	obey	nadɨ ǰapo-wã
19.47	let, permit	natu
19.51	friend, companion	bɨʔɨ
19.52	enemy	bɨyãdɨgi
19.54	neighbor	
19.55	stranger	irõyãdɨgi
19.56	guest	
19.57	host	
19.58	help, aid	
19.59	hinder, prevent	kãwã
19.61	custom	ǰapotɨ noga
19.62	strife, quarrel	ǰuka
19.63	conspiracy, plot	
19.65	meet	doro
19.72	prostitute	kuǰã čiwa mečegi
20.11	fight (vb)	tõ mubu
20.13	war, battle	tõ mubu waču
20.14	peace	krɨ̃ba rõma
20.15	army	
20.17	soldier	tõ ayãgi
20.21	weapons, arms	
20.22	club	
20.222	battle-ax	
20.23	sling	
20.24	bow	rapa
20.25	arrow	mačĩ
20.26	spear	pɨpẽ
20.27	sword	pẽʔẽ
20.28	gun, cannon	proro
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	
20.42	defeat	
20.43	attack	
20.44	defend	ǰepɨ
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	pɨčɨpɨregi
20.471	guard, sentinel	
20.48	booty, spoils	
20.49	ambush	piarõ
20.51	fisherman	paɨǰãgi
20.52	fishhook	
20.53	fishing line	
20.54	fishnet	
20.55	fish trap	
20.56	bait	
20.61	hunt	baereka
20.62	shoot	ǰɨwõ
20.63	miss (target)	ǰãpã
20.64	trap (noun)	mude
20.65	trap (vb)	
21.11	law	
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	
21.38	fine	
21.39	prison, jail	tapɨ ǰãwãyãgi
21.42	murder	rupia
21.43	adultery	krẽrẽ
21.44	rape	biri
21.46	arson	
21.47	perjury	
21.51	steal	miãrõ
21.52	thief	miaro-ãdɨgi
22.11	religion	
22.12	God	Apã waču
22.13	temple, church	pre ẽdatɨpe
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	
22.17	pray	krãdo buãʔã
22.18	priest	
22.19	holy, sacred	praru gatutɨ
22.22	preach	
22.23	bless	
22.24	curse	
22.26	fast (vb)	bue uyãwã
22.31	heaven	Apã waču čupape
22.32	hell	tata krou
22.35	demon (evil spirit)	ãǰãwe
22.37	idol	
22.42	magic, witchcraft, sorcery	paǰe
22.43	sorcerer, witch	
22.44	fairy, elf	
22.45	ghost, phantom	ãǰãwe
22.47	omen, portent	-ǰirõrã
