entry_id	trans_english	Cayuvava_Phonemic
10.23	fall	ka'riǰahi; kã; ɲakai'æǰahɨ
10.24	drip	topo
10.25	throw	bibihiki; biki
10.252	catch (ball)	
10.26	shake	kɨrɨ
10.32	flow	
10.33	sink	
10.34	float	
10.35	swim	taβu
10.351	dive	sayoǰahɨ
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	tæpæ
10.38	blow	huruβu; βuru
10.41	creep, crawl	βa-βaka
10.412	kneel	rɔmɔ
10.413	crouch	
10.42	slide, slip	-here; pa'hereha
10.43	jump, leap	sibi ~ sibo
10.431	kick	čeǰe; rohe; rɔ
10.44	dance	hãkẽ; ɲarake; ke
10.45	walk	rorohe; ro-roko; rohæ
10.451	limp	
10.46	run	ro; 'βeβere; raβere
10.47	go	o ~ ɔ ~ u; hohi; uhi
10.471	go up	
10.472	climb	
10.473	go down	ari-'ãkãhẽ
10.474	go out	bɔrɔ ~ βoro
10.48	come	čara; čoka; βihi; -e-; u; koro
10.481	come back	
10.49	go away, depart	ra'bærɔæ; rare
10.491	disappear	
10.51	flee	βerere
10.52	follow	ču'kaka; tãtææræ
10.53	pursue	romere ~ romẽrẽha
10.55	reach, arrive	bɔča; uča ~ ũčã; ra'koama
10.56	approach	
10.57	enter	kõrõ
10.61	carry (bear)	čapea; ɨča; rɔtɔ
10.612	carry-in-hand	
10.613	carry-on-shoulder	todu; tɨdɨdɨ
10.614	carry-on-head	čama
10.615	carry-underarm	
10.62	bring	βɔrɔ; -ča; haɲuhi; pe; pea
10.63	send	čukuru; dasi
10.64	lead (vb)	totoko
10.65	drive	ǰæræ
10.66	ride	
10.67	push, shove	ɲakã
10.71	road	nãnãka ~ nanaka
10.72	path	nanaka
10.74	bridge	'poede
10.75	carriage, wagon, cart	
10.76	wheel	'kareda
10.77	axle	
10.78	yoke	
10.81	ship	[βapo]
10.83	boat	[lãča]
10.831	canoe	dapa
10.832	outrigger	--
10.84	raft	
10.85	oar	
10.851	paddle (noun)	βiri; 'ra-βiri
10.852	row (vb)	
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	
10.92	land (vb)	
11.11	have	
11.12	own, possess	
11.13	take	βakaka; nuhi; rire
11.14	seize, grasp	ɲuhi; paɲa ~ pãɲa; paɲa-hi
11.15	hold	pãɲa
11.16	get, obtain	'βeede; tɨ
11.17	keep, retain	
11.18	thing	ræ'ræhæ
11.21	give	boro; mi-; miha
11.22	give back	
11.24	preserve, look after	kɨrɨβɨ
11.25	save, rescue	βuru
11.27	destroy	duku
11.28	harm, injure, damage	
11.31	seek, look for	βačæ; 'ričæhæ
11.32	find	ko; 'hakoe; pičææhi
11.33	lose	
11.34	release, let go	haro
11.43	money	ka-me'rio-i; mærio; raya
11.44	coin	
11.51	rich	
11.52	poor	oretai; rɔræ'taipæ
11.53	beggar	βɔrɔkɔ
11.54	avaricious, stingy	bu
11.61	lend	paha...ama
11.62	borrow	
11.63	owe	reβe
11.64	debt	
11.65	pay (vb)	[paga]
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	pɨča; poæræ; pɔæræ
11.82	sell	bɔ...čɔ
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	[mekado]
11.86	store, shop	
11.87	price	pa; 'a-pahe
11.88	dear (costly, expensive)	
11.89	cheap	
11.91	share (distribute)	
11.92	weigh	daβi; tɨtɨǰɨ
12.1	after	
12.11	behind	mihiro
12.2	beside	
12.3	down, below	
12.4	before	
12.41	front	
12.5	inside, in	čepɔ; kãhẽ; -põ
12.6	outside	-ɲe-puti; ræ'aaæ̃
12.7	under	
12.8	up, above	-tui
12.11	place	βɨ; -ibi; naiβo
12.12	put	čɨmɨrɨ; čumuru; tæɲæ
12.13	sit	čuǰa; huǰa; ra-huǰa
12.14	lie down	ɲuka; ɲuku
12.15	stand	ra-pɨ'ǰɨ-a; -ne; ɲe-tui
12.16	remain, stay	
12.17	remains, left overs	
12.21	collect, gather	
12.212	pick up	
12.213	pile up	
12.22	join, unite	čori
12.23	separate	kæ'hæčɔ
12.232	divide	čaha-ri; kɨ'dɨčɔ
12.24	open	koporo
12.25	shut, close	beama; haha
12.26	cover	hebe
12.27	hide, conceal	ɨmɨrɨ; õɲõ
12.31	high	dæ'rætui; -tui
12.32	low	
12.33	top	tui-
12.34	bottom	
12.35	end	
12.352	pointed	dɨβɨ
12.353	edge	'peda; ipeda
12.36	side	
12.37	middle, center	
12.41	right (side)	
12.42	left (side)	'rimasɨ
12.43	near (adv)	ya'raama- ~ na'raama-
12.44	far (adv)	βoha; ra-βoha; ɲečɔ
12.45	east	'yačɨbu ki'arama
12.46	west	
12.47	north	ya'wɨwɨčɨ
12.48	south	puhũ
12.53	grow	bihi; para ~ pãrã; pã
12.54	measure	tɨǰɨ-rɨ
12.541	span, fathom	
12.55	large, big	-čeče; tætæ
12.56	small, little	βædæræ; čiči; dĩrĩ
12.57	long	dere
12.58	tall	dæ'rætui; pa-dæ'rætui
12.59	short	sĩsĩ
12.61	wide, broad	ine
12.62	narrow	
12.63	thick (in dimension)	kuǰuǰu
12.65	thin (in dimension)	ča'rakaha
12.67	deep	
12.68	shallow	
12.71	flat	pariri; wa'reohẽ
12.73	straight	βisi'ria
12.74	crooked	
12.75	hook	
12.76	corner	ridɨβɨ
12.77	cross	
12.78	square	ri'čɨβɨe
12.81	round	koroβoβo
12.82	circle	
12.83	sphere, ball	βoβo
12.84	line	-nake
12.85	hole	βara; čɔ̃he
12.92	like, similar	imihi ~ imĩhĩ; marã
12.93	change	hɔri; ɔri
13.0	zero, nothing	
13.1	one	karata
13.2	two	mitia
13.3	three	kurapa
13.4	four	'čaa'da
13.5	five	meidaru ~ medaru
13.6	six	
13.7	seven	mitia 'rirobo
13.8	eight	kurapa-'riroβo
13.9	nine	čaada-'rirobo
13.10	ten	bu'ruruče
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	mi'tia βu'ruruče
13.105	hundred	
13.106	thousand	
13.107	count	rãrõma
13.14	every, all	kɔæha; maače
13.15	much, many	βaβɨhɨ; -čeče; pa'detahi; 'yaaβe
13.16	more	
13.17	little (quantity), few	'βarike; mara'βariki
13.18	enough	kenæ̃ræ; tɨǰɨra
13.181	some	βadæræ
13.19	multitude, crowd	
13.21	full	dao; põõ; põhõri
13.22	empty	
13.23	part, piece	biču
13.24	half	haiǰɨpæhae
13.33	alone, only	karata; mameha
13.34	first	none ~ nɔne; mama
13.35	last	'piæ'ha
