entry_id	trans_english	Trinitario_Phonemic
5.61	meat	ʔrak'parahi
5.63	sausage	
5.64	soup, broth	toči
5.65	vegetables	
5.66	bean	iko
5.7	potato	
5.71	fruit	
5.712	bunch	
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	'uhewo
5.791	grease, fat	-sina
5.81	salt	ʔčewe
5.82	pepper	--
5.821	chili pepper	ʔčeti
5.84	honey	mopo-mo
5.85	sugar	[asuka]
5.86	milk (noun)	-čenʸomo
5.87	milk (vb)	-koptiko
5.88	cheese	
5.89	butter	
5.9	beverage, drink	eesa; 'ʔresare
5.91	mead	
5.92	wine	
5.93	beer	
5.94	fermented drink	-eesa; 'ʔresare
5.97	egg	wrayʔa
5.971	egg yolk	
6.11	put on (clothes)	-muiriočo-wo
6.12	clothing, clothes	-muiiʔo; -yeeruwo
6.13	tailor	--
6.21	cloth	attahi; -attahra
6.22	wool	-kohyoʔo 'ʔhiyoʔo (?)
6.23	linen, flax	--
6.24	cotton	khore
6.25	silk	--
6.27	felt	--
6.28	fur	
6.29	leather	prumo
6.31	spin	
6.32	spindle	-ihruupa; hʸuurupa
6.33	weave	ic̷meko
6.34	loom	
6.35	sew	-poohiko
6.36	needle	-pooropa; priipa
6.37	awl	
6.38	thread	-pooripi; ʔc̷epi
6.39	dye	esioko
6.41	cloak	
6.411	poncho	
6.42	woman's dress	'ʔmorohi
6.43	coat	ep'kočepo
6.44	shirt	['kamisa]
6.45	collar	
6.46	skirt	-paʔe
6.461	grass-skirt	--
6.48	trousers	-mu'ipaʔe
6.49	stocking, sock	
6.51	shoe	
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	-hosi; hosre
6.57	belt, girdle	-itʔe; 'teremo
6.58	glove	--
6.59	veil	--
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	-uupowo
6.72	jewel	
6.73	ring (for finger)	tiɣwure; -itɣiwʔu
6.74	bracelet	
6.75	necklace	tnʸosehi
6.76	bead	
6.77	earring	
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	attahi
6.82	towel	
6.91	comb	-kottasi ~ -k'tatasi
6.92	brush	
6.921	braid	ic̷mehɣi
6.93	razor	
6.94	ointment	
6.95	soap	[-hawon]ra; [hawono]
6.96	mirror	
7.11	dwell, live	-'ko-peno; -tupko
7.12	house	-peno; peti
7.13	hut	'peti-hi; -'peno-hi
7.131	garden-house	
7.14	tent	
7.15	yard, court	-'miroʔu
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	ptiku
7.22	door, gate	-pahra; tapaho
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	
7.26	floor	saeera
7.27	wall	yučmo
7.31	fireplace	wkučkoyo
7.32	stove	
7.33	chimney	
7.37	ladder	
7.42	bed	
7.421	pillow	čnushire
7.422	blanket	-epkoʔu
7.43	chair	
7.44	table	
7.45	lamp, torch	
7.46	candle	yukpi
7.47	shelf	
7.48	trough	
7.51	roof	ktihmo
7.52	thatch	
7.53	ridgepole	ʔkunu
7.54	rafter	
7.55	beam	ʔkunu; 'wočuɣi
7.56	post, pole	
7.57	board	'toračo
7.58	arch	
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	-'esane; ʔsanti
8.13	garden	
8.15	cultivate, till	
8.16	fence	yučmo
8.17	ditch	
8.21	plow	
8.212	furrow	
8.22	dig	-seko
8.23	spade	
8.24	shovel	kwiča
8.25	hoe	[-'ʔasaera]
8.26	fork	
8.27	rake	
8.31	sow	ewko
8.311	seed	taɣira
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	-wʸoʔiko
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	sponi; sponɣi
8.48	rice	[arusu]
8.51	grass	muihi
8.52	hay	
8.53	plant (noun)	-sukre; 'skureko
8.531	plant (vb)	ewko
8.54	root	-pore
8.55	branch	tatawo; -'tawohi
8.56	leaf	-'pokohi
8.57	flower	-ohʔu
8.6	tree	wkuɣi; ykuɣi
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	epre
8.68	tobacco	saware
8.69	smoke (tobacco)	-sapko
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	-čupu
8.74	forked branch	
8.75	bark	'točohi
8.76	sap	totu
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	[rimo]
8.84	banana tree	
8.85	banyan	
8.91	sweet potato	kaere
8.912	yam	
8.92	tapioca, manioc, cassava	-'kuhpara; kuhpa
8.93	gourd	c̷nʸowe; -eera
8.931	pumpkin, squash	mkure
8.94	bamboo	
8.941	sugar cane	ektenrahi; 'ʔkuteno
8.96	fish poison (root)	
8.97	nettle	-čunʸesi
8.98	mushroom	
9.11	do, make	epyako; -hičo
9.12	work	-'kwemtone
9.14	bend	-kotʸako
9.15	fold	-koc̷nʸako; -akyoko -wo
9.16	tie, bind	'tičo; 'itičo
9.161	untie	
9.18	chain	
9.19	rope, cord	ikoropi
9.192	knot (noun)	taeti
9.21	strike (hit, beat)	eʔo; estako
9.211	pound with fist	
9.22	cut	ečtiko
9.221	cut down	-aɣpueko
9.222	chop, hew	ečko
9.223	stab	
9.23	knife	-tumra; ʔčatrope
9.24	scissors, shears	whisrope; wihsiipe
9.25	ax	-yowo; ywoti
9.251	adze	
9.26	break	etapoko
9.261	broken	ewarako
9.27	split	eheko
9.28	tear	-kowčihko
9.29	flay, skin	emakuko; -maʔoko
9.31	rub, wipe	-kotruʔoko
9.32	stretch	-kotpakrako-wo
9.33	pull	-čuuko
9.34	spread out	
9.341	hang up	-čumko
9.342	press	
9.343	squeeze, wring	-kopčako
9.35	pour	
9.36	wash	-kac̷kuʔo
9.37	sweep	-piʔiko
9.38	broom	-'piroɣi; proɣi
9.422	tool	
9.43	carpenter	
9.44	build	
9.46	bore	
9.461	hollow out	
9.48	saw	erekuko
9.49	hammer	
9.5	nail	
9.56	glue	
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	
9.65	silver	
9.66	copper, bronze	
9.67	iron	[ɣero]
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	'tʸurahi
9.74	glass	
9.75	weave, plait	
9.76	basket	moʔo
9.77	mat	
9.771	rug	
9.78	netbag	-niipowkure
9.79	fan (noun)	-'pewera; pewe
9.791	fan (vb)	-peweko; ewʔʸučo
9.81	carve	
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	
9.89	paint (vb)	
10.11	move	-yamriko
10.12	turn over	epčooko; ewkuuko
10.13	turn around	
10.14	wind, wrap	-muihko
10.15	roll	
10.16	drop (vb)	-kočmiko
10.17	twist	-ayiko
10.21	rise	-ečepuko
10.22	raise, lift	-yooko; -ko-čepuko
10.23	fall	-'wenopo; -pakareko
10.24	drip	
10.25	throw	-waririomčo
10.252	catch (ball)	-jačpo
10.26	shake	eyhoko
10.32	flow	
10.33	sink	
10.34	float	
10.35	swim	-owreko
10.351	dive	
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	-oro
10.38	blow	ewʔʸučo
10.41	creep, crawl	-mahriko
10.412	kneel	epyusiko
10.413	crouch	-osyeko
10.42	slide, slip	-okhučiko
10.43	jump, leap	etereko
10.431	kick	-okčuko
10.44	dance	iimuiko
10.45	walk	-puiko; -puiiriko
10.451	limp	
10.46	run	-'hunopo
10.47	go	-yono
10.471	go up	
10.472	climb	-opno
10.473	go down	-kopahko; -ukpuiko
10.474	go out	imoriko
10.48	come	-uteko
10.481	come back	-čo-wo
10.49	go away, depart	-kewisʔo; -učko
10.491	disappear	
10.51	flee	
10.52	follow	-pono
10.53	pursue	
10.55	reach, arrive	-kopayako; itekpo
10.56	approach	
10.57	enter	-sʸopo
10.61	carry (bear)	-'yereko; -omo
10.612	carry-in-hand	
10.613	carry-on-shoulder	
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	-omo; -wehno
10.63	send	
10.64	lead (vb)	
10.65	drive	
10.66	ride	
10.67	push, shove	
10.71	road	ʔčene; -očenekra
10.72	path	
10.74	bridge	
10.75	carriage, wagon, cart	['kareta]
10.76	wheel	[ka'retačo]
10.77	axle	
10.78	yoke	
10.81	ship	
10.83	boat	
10.831	canoe	-pokre; pkura
10.832	outrigger	--
10.84	raft	
10.85	oar	
10.851	paddle (noun)	[noope]
10.852	row (vb)	-naʔeko
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	-ana'ereku
10.92	land (vb)	
11.11	have	-koyʔe
11.12	own, possess	-'oɣenu
11.13	take	-omo
11.14	seize, grasp	-kootoko
11.15	hold	
11.16	get, obtain	
11.17	keep, retain	-'unako
11.18	thing	
11.21	give	ihroko
11.22	give back	
11.24	preserve, look after	
11.25	save, rescue	
11.27	destroy	
11.28	harm, injure, damage	ehiko
11.31	seek, look for	-tanko ~ -taniko
11.32	find	ičmowo; itkowo
11.33	lose	emtiko; -komtiko
11.34	release, let go	
11.43	money	[prata]
11.44	coin	
11.51	rich	-siyerereewo
11.52	poor	[powre]
11.53	beggar	
11.54	avaricious, stingy	-yowʔi
11.61	lend	
11.62	borrow	
11.63	owe	ntewe
11.64	debt	
11.65	pay (vb)	-waʔčo
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	-wačriko
11.82	sell	ihroriko
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	tawačo
11.88	dear (costly, expensive)	-'siwačo
11.89	cheap	
11.91	share (distribute)	
11.92	weigh	
12.1	after	eɣne; huitne
12.11	behind	eɣnehriko; ihɣiipi
12.2	beside	
12.3	down, below	ʔpoɣʔe
12.4	before	kopeni
12.41	front	-'miroʔu
12.5	inside, in	ʔwiʔku
12.6	outside	ʔneko
12.7	under	-'mopeku
12.8	up, above	ʔnuɣʔe; 'inaʔu; -muiɣʔe
12.11	place	topaʔiwo
12.12	put	-noko
12.13	sit	-ehako
12.14	lie down	'epahi; -pahi
12.15	stand	-kotpiʔeko (?)
12.16	remain, stay	-'nosi
12.17	remains, left overs	
12.21	collect, gather	
12.212	pick up	
12.213	pile up	
12.22	join, unite	
12.23	separate	
12.232	divide	
12.24	open	ewac̷ako
12.25	shut, close	-hočo/ hʸočo
12.26	cover	-yučeɣneʔo
12.27	hide, conceal	-yumruko
12.31	high	-inɣewo
12.32	low	
12.33	top	
12.34	bottom	
12.35	end	
12.352	pointed	tapu; 'tapuɣi
12.353	edge	
12.36	side	-nopo
12.37	middle, center	ttupreko
12.41	right (side)	wowre; -nopowowre
12.42	left (side)	sopa; -nopo te sopa
12.43	near (adv)	-čokyo
12.44	far (adv)	ewire; -ʔe'wirečo
12.45	east	
12.46	west	
12.47	north	khoʔo
12.48	south	wono
12.53	grow	-huuko
12.54	measure	
12.541	span, fathom	
12.55	large, big	ʔčope-riʔi
12.56	small, little	ʔčiʔču; ʔčiʔčoʔo
12.57	long	-siku
12.58	tall	-una; tʸuna
12.59	short	
12.61	wide, broad	-'aharu
12.62	narrow	ʔc̷enkure; 'ʔc̷epa-ku
12.63	thick (in dimension)	ʔčope
12.65	thin (in dimension)	eh'woroʔi
12.67	deep	-'upeno
12.68	shallow	
12.71	flat	
12.73	straight	-'utpiʔo
12.74	crooked	
12.75	hook	tkohka
12.76	corner	-'ɣinʸoku
12.77	cross	
12.78	square	
12.81	round	-čyoro ʔčoyoro
12.82	circle	'ʔčoyoro
12.83	sphere, ball	
12.84	line	
12.85	hole	ʔnuuku
12.92	like, similar	
12.93	change	
13.0	zero, nothing	tahina
13.1	one	'etona
13.2	two	apina
13.3	three	mopona
13.4	four	
13.5	five	
13.6	six	[sesi]
13.7	seven	
13.8	eight	knowɣi
13.9	nine	
13.10	ten	
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	
13.105	hundred	
13.106	thousand	
13.107	count	-'tupačo
13.14	every, all	-mutu -mtu; ʔmu'irihi
13.15	much, many	-komuri; mowera
13.16	more	ʔpona
13.17	little (quantity), few	ommuri
13.18	enough	-kečemuriono
13.181	some	ʔponnahi; ʔpomriono
13.19	multitude, crowd	
13.21	full	-inko; inkočo
13.22	empty	
13.23	part, piece	
13.24	half	
13.33	alone, only	-kehwo; -kehoriču
13.34	first	-tiwo; -uwo
13.35	last	-kene; ihɣiipi
13.36	second	-nopoko
13.37	pair	etomuri
13.38	two times	apiʔe
13.42	third	
13.44	three times	mopoʔe
14.11	time	
14.12	age	
14.13	new	ʔrahru
14.14	young	
14.15	old	ʔčosi
14.16	early	
14.17	late	ečanako
14.18	now	huiti
14.19	immediately	-'totohi
14.21	swift, fast, quick	-haahiko; -roʔo
14.22	slow	ep'yarako
14.23	hasten, hurry	-yoyučo
14.24	retard, delay	emtoko
14.25	begin, beginning	-naekčowo
14.252	last, endure	-hikpuiko
14.26	end (temporal)	
14.27	finish	'ito-wo
14.28	cease, stop	
14.29	ready	
14.31	always	enemuiihi
14.32	often	
14.33	sometimes	
14.331	soon	
14.332	long-time (for a)	koperipo
14.34	never	kaeerapukaeni
14.35	again	-apečwo
14.41	day	sače
14.42	night	yoti
14.43	dawn	-urihamisra
14.44	morning	tyotko
14.45	noon, midday	tupriɣi
14.451	afternoon	kopereʔi
14.46	evening	
14.47	today	huiti
14.48	tomorrow	ʔčoču
14.481	day-after-tomorrow	
14.49	yesterday	kope
14.491	day-before-yesterday	kope ʔpona sače
14.51	hour	
14.53	clock, timepiece	
14.61	week	
14.62	Sunday	[rominko]
14.63	Monday	['runesi]
14.64	Tuesday	[maatesi]
14.65	Wednesday	[mʸee'kuresi]
14.66	Thursday	[huewesi]
14.67	Friday	[wʸeenesi]
14.68	Saturday	['sawaru]
14.71	month	-'kohe-ra; kohe
14.73	year	[anʸu]
14.74	winter	
14.75	spring	
14.76	summer	
14.77	autumn	
14.78	season	
15.21	smell (vb intrans)	ehweko
15.212	sniff	
15.22	smell (vb trans)	-huko
15.25	fragrant, good smelling	ihʸe
15.26	stinking, bad smelling	
15.31	taste	
15.35	sweet	-itwe
15.36	salty	-'ičewe
15.37	bitter	sukorohi; -'sukore
15.38	acid, sour	-kootsi / -kooc̷i (?)
15.39	brackish	
15.41	hear	-at-samo; -ɣinʸo
15.42	listen	-uɣnʸo; -samrooko
15.44	sound, noise	
15.45	loud	
15.46	quiet, silence	-motnaʔi
15.51	see	imʔo
15.52	look, look at	imooroko
15.55	show	imeko; 'imečo
15.56	shine	-rappeko; -motc̷iko
15.57	bright	
15.61	color	
15.62	light (in color)	
15.63	dark (in color)	
15.64	white	-hopu
15.65	black	-siso
15.66	red	-ic̷ʸoro; tic̷i
15.67	blue	-ripu
15.68	green	heʔču; anoʔo
15.69	yellow	-yokko
15.71	touch	
15.712	pinch	
15.72	feel	
15.74	hard	'ʔčoɣeru; mraka
15.75	soft	-himʸa
15.76	rough	-reru
15.77	smooth	
15.78	sharp	-kosri; eksiičo
15.79	blunt, dull	
15.81	heavy	-hitakore
15.82	light (in weight)	
15.83	wet, damp	-nono; -'patahi
15.84	dry	-oohi
15.85	hot	ihre; ihruʔi
