entry_id	trans_english	Toba_Phonemic
4.82	weak	ḳomi-aʁaik
4.83	well, health	no-ʔoi-ta
4.84	sick, sickness	d-alola
4.841	fever	l-ʔed-aʁa
4.842	goiter	
4.843	cold (catarrh)	n-apihn-a
4.85	wound, sore	l-kolaʁ-a
4.852	bruise	l-wet-ak
4.853	swelling	l-alaač-i
4.854	itch	de-šiki
4.855	blister	l-čipalo-ʁo
4.856	boil (noun)	l-wet-a
4.857	pus	lʸ-iʔi
4.858	scar	l-kolaʁ-a
4.86	cure, heal	n-atad-en
4.87	physician	n-atan-n-aʁan-aḳ
4.88	medicine, drug	l-ataʔ
4.89	poison	lew-aʁat
4.91	tired, weary	n-asam-ɲi
4.912	rest	n-mat-aʁak
4.92	lazy	wal-aik
4.93	bald	kiʔit-aik
4.94	lame	wayod-aʁaik
4.95	deaf	sa wa-ʔaḳa
4.96	mute	
4.97	blind	ḳanam-aik; sa n-awaa-ɲi
4.98	intoxicated	taʁ-aik
4.99	naked, bare	salw-aik; we-ta-wek
5.11	eat	de-keʔe; čik
5.12	food	nalʸik
5.121	cooked	d-ato
5.122	raw	sa d-ato
5.123	ripe	yi; y-amoḳ
5.124	green, unripe	l-adala
5.125	rotten	n-čiga
5.13	drink	n-yom
5.14	hunger	l-ḳow-aʁa
5.141	famine	yo-ḳowat
5.15	thirst	l-akip
5.16	suck	n-apigoḳ; lʸip
5.18	chew	yo-ḳolʸišin; y-iʔiko-tak
5.181	swallow	i-woʁon-a-ɲi; yo-ḳoḳoo-ta-ɲi
5.19	choke	i-keno; d-atapla
5.21	cook	de-woši
5.22	boil (vb)	n-ačam; de-malʸi; ɲ-iʔam
5.23	roast, fry	y-awot-tak; y-ato-ḳčit-ta
5.24	bake	n-ḳatel-tak
5.25	oven	l-ḳatel-aʁan-aʁaki
5.26	pot, cooking vessel	l-ataʁaki
5.27	kettle	na-[paawa]
5.28	pan	--
5.31	dish	n-koiget
5.32	plate	koki; n-[plačiilʸo]
5.33	bowl	n-[pelaato]
5.34	pitcher, jug	n-[kaado]
5.35	cup, drinking vessel	n-yom-aʁaki
5.36	saucer	n-[plačiilʸo]
5.37	spoon	l-emek
5.38	knife	l-ailon-ek; l-ainon-ek; l-ain-ek
5.39	fork	l-ʔad-aʁan-aḳte
5.391	tongs	l-akon-aʁan-aʁat
5.41	meal (a)	l-kiʔ-aʁak
5.42	breakfast	--
5.43	lunch	--
5.44	dinner	--
5.45	supper	--
5.46	peel	i-kola
5.47	sieve, strain	n-apiši-n
5.48	scrape	ɲ-amadek; ɲ-ašiwek
5.49	stir, mix	i-lʸoʁot; n-wiǰ-igi
5.51	bread	ḳayaʁadai; [pan]
5.53	dough	l-wigoʁo-šik
5.54	knead	i-wigoḳ
5.55	meal, flour	l-soč-i
5.56	crush, grind	i-sok
5.57	mill	n-amaikn-aʁan-aʁaki
5.58	mortar	l-ʔad-aʁan-aʁaki
5.59	pestle	l-ʔad-aʁan-aʁat
5.61	meat	l-apat
5.63	sausage	--
5.64	soup, broth	l-elten-ek
5.65	vegetables	wowe
5.66	bean	
5.7	potato	--
5.71	fruit	al-a
5.712	bunch	l-taʁale
5.75	fig	--
5.76	grape	--
5.77	nut	--
5.78	olive	--
5.79	oil	
5.791	grease, fat	l-čita; l-piyo
5.81	salt	towe; ḳaʔ ɲ-iʔiwa
5.82	pepper	čim-aʁad-ai
5.821	chili pepper	--
5.84	honey	dapik
5.85	sugar	[ʔasooka]
5.86	milk (noun)	l-čiʔ
5.87	milk (vb)	n-lom
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	n-yom-aʁat
5.91	mead	n-ḳaʔapaʁa
5.92	wine	lataʁa
5.93	beer	--
5.94	fermented drink	
5.97	egg	l-koʔoweʔ
5.971	egg yolk	l-ḳowi-oʁo
6.11	put on (clothes)	n-sawat; n-apo-goɲi
6.12	clothing, clothes	al-ogo
6.13	tailor	n-tet-aʁan-aḳ
6.21	cloth	n-poto-ǰik
6.22	wool	ḳaigeta l-awe
6.23	linen, flax	--
6.24	cotton	waloḳ
6.25	silk	--
6.27	felt	--
6.28	fur	l-awe
6.29	leather	l-ʔok
6.31	spin	l-ʔan
6.32	spindle	l-ḳalehn-aʁan-aḳte
6.33	weave	i-paʁah-ɲi
6.34	loom	l-ʔoʁon-aʁan-aʁalaʔ
6.35	sew	n-tet; n-čih-ɲi
6.36	needle	l-ḳana
6.37	awl	l-ḳana
6.38	thread	l-tet-aʁan-aʁat
6.39	dye	ḳoʔil-e; l-ḳoʔil-aʁan-aʁat
6.41	cloak	--
6.411	poncho	la-poʔ
6.42	woman's dress	l-apoto
6.43	coat	n-[saako]
6.44	shirt	l-lom-aʁaki
6.45	collar	lom-aʁaki l-ḳosot
6.46	skirt	n-saat-a-gi
6.461	grass-skirt	--
6.48	trousers	l-amaʁaso
6.49	stocking, sock	na-[meedia]
6.51	shoe	l-apelaʔ
6.52	boot	--
6.54	shoemaker, cobbler	pelaʔ lʔo
6.55	hat, cap	n-adoʔo
6.57	belt, girdle	n-saat-aʁaki
