entry_id	trans_english	Ecun_Buyang_Phonemic
2.34	marriage, wedding	śɔm.55 pi.24 un.31
2.341	divorce	la:k.31 ve.24
2.35	father	kɔŋ.55 iə.53
2.36	mother	pu.55 iə.53
2.37	parents	ʒa.24 iə.53
2.38	married man	ʒa.24 iə.53
2.39	married woman	a:n.24 la:k.31
2.41	son	a:n.24 la:k.31
2.42	daughter	pa.55 i.33; pa.55 iə.53; pa.55 a.11
2.43	offspring (son or daughter)	pu.55 ta.31 luŋ.31
2.44	brother	pa.55 iə.53
2.444	older brother	mI.11 ni:u.33; ta:I.11 luŋ.11; kuə.11
2.445	younger brother	ta:I.11 luŋ.11
2.45	sister	mi.11 muə.31; mi.11 na.11
2.454	older sister	a:n.24 la:k.31
2.455	younger sister	a:n.24 la:k.31
2.456	sibling	śam.24 la:u.33 pjeu.33
2.458	twins	mən.31 ʔdu.53
2.46	grandfather	ʔboŋ.24 ʔdaŋ.31
2.461	old man	pa.55; pu.55 ta.31
2.47	grandmother	pu.55
2.471	old woman	mi.11; ʒa.11 ta:i.11
2.48	grandson	ʒa.11
2.49	granddaughter	va:i.33 hɨ:i.24
2.51	uncle	va:i.33 ma.0 liu.33
2.511	mother's brother	pa.55 ʔda:ŋ.31
2.512	father's brother	mi.11 ʔda:ŋ.31
2.52	aunt	la:k.31 u:m.24
2.521	mother's sister	la:k.31 u:m.24
2.522	father's sister	la:k.31 ʔbaŋ.32
2.53	nephew	mi.11 δɛŋ.32
2.54	niece	pa.55 δɛŋ.32
2.55	cousin	pi.24 un.33
2.56	ancestors	lɔŋ.11 lok.55
2.57	descendants	ku.24
2.61	father-in-law (of a man)	ma.33
2.611	father-in-law (of a woman)	ke.24
2.62	mother-in-law (of a man)	śom.55 ku.24
2.621	mother-in-law (of a woman)	śom.55 ϑa.24
2.63	son-in-law (of a man)	ku.24 taŋ.31 ma.33
2.631	son-in-law (of a woman)	śom.55 ma.33
2.64	daughter-in-law (of a man)	ϑa.24 va:i.33 ma.33
2.641	daughter-in-law (of a woman)	śom.55 ke.24
2.71	stepfather	a.0 li.31
2.72	stepmother	li.31 po.11
2.73	stepson	li.31 mi.11
2.74	stepdaughter	śu:ŋ.55 ϑiŋ.24 ti.33 ma.0 iŋ.24
2.75	orphan	śa:p.55 ma.0 ŋa.11
2.76	widow	a.0 li.31
2.77	widower	ϑiŋ.24 po.11
2.81	relatives, kinsmen	ϑiŋ.24 ŋa:.11
2.82	family	ϑiŋ.24 mi.11
2.91	I	ϑiŋ.24 it.55
2.92	you (singular)	va.33
2.93	he/she/it	a.0 Ibep.55
2.94	we	ʔbep.55 po.11
2.941	we (inclusive)	ʔbep.55 mi.11
2.942	we (exclusive)	ma.0 liu.33; mu.24 po.11
2.95	you (plural)	mu.24 mi.11
2.96	they	mu.24
3.11	animal	ma.0 ŋa.11
3.12	male (adj)	ma.0 ŋa.11 po.11
3.13	female (adj)	ma.0 ŋa.11 mi.11
3.15	livestock	lwi.33
3.16	pasture	lwi.31(33) lɔ.33
3.18	herdsman	ai.24 po.11
3.19	stable, stall	ai.24 mi.11
3.2	cattle (bovine)	ai.24
3.21	bull	ŋa:n.31
3.22	ox	a:p.55
3.23	cow	e.0 taŋ.33
3.24	calf	ma.0 δe.11
3.25	sheep	a.0 la:ŋ.11
3.26	ram	li.31 vɛu.33
3.28	ewe	li.31 a.24
3.29	lamb	pa:n 33 ciu.33
3.32	boar	ma.0 δe.11 ka:k.55
3.34	sow	ma.0 δe.11 mi:u.33
3.35	pig	ma.0 δe.11 nɔk.55 ɛn.55
3.36	goat	ai.24 mɔ.11
3.37	he-goat	li.0 oi.33
3.38	kid	li.0 ńok.55 to.11
3.41	horse (equine)	li.0 lin.31
3.42	stallion	li.0 mu:m.33
3.44	mare	li.0 mu:m.
3.45	foal, colt	li.0 mi:u.33
3.46	ass, donkey	li.55 u.31
3.47	mule	li.0 ϑi.24
3.5	fowl	pja.24
3.52	cock, rooster	δiaŋ.33 pja.24
3.54	hen	cap.55 pja.24
3.55	chicken	ŋɨk.55 pja.24
3.56	goose	li.0 δa:t.31
3.57	duck	li.0 δa:u.31
3.58	nest	pja.24 ŋa.33
3.581	bird	li.0 mɨ:i.24
3.582	seagull	li.0 xian.31
3.583	heron	ma.0 δei.53
3.584	eagle	na:k.53
3.585	hawk	ma.0 lu.33
3.586	vulture	li.0 śa:ŋ.32
3.591	bat	ϑɔŋ.24 śa:ŋ.32
3.592	parrot	ma.0 lik.31
3.593	crow	ma.0 ten.33
3.594	dove	tam.24 ma.0 ten.33
3.596	owl	li.0 mat.55
3.61	dog	li.0 ϑip.55
3.614	rabbit	li.0 ϑa:p.55
3.62	cat	li.0 mut.31
3.622	opossum	koŋ.33 ka:k.31
3.63	mouse, rat	taŋ.33 koŋ.33 ka:k.31
3.65	fish	a.0 δe.33
3.652	fin (dorsal)	taŋ.33 a.0 δe.33
3.653	fishscale	ma.0 tjan.33; ma.0 tjan.33 ŋa:n.11
3.654	gill	ma.0 δun.33
3.655	shell	li.0 vɨ:n.33
3.661	shark	li.0 ʒa:ŋ.33
3.662	porpoise, dolphin	li.0 ʔdɨ:i.55
3.663	whale	ma.0 lik.31 ku:ŋ.31
3.664	stingray	li.0 ŋa:i.24
3.665	freshwater eel	li.0 ŋa:i.24
3.71	wolf	li.0 ma.0 δiŋ.31
3.72	lion	li.0 piŋ.24
3.73	bear	li.0 piŋ.24
3.74	fox	li.0 ŋa.33
3.75	deer	li.0 ŋa.33 man.55
3.76	monkey	li.0 pi.33 lie.11
3.77	elephant	li.0 ʔbum.55 ʔba.31
3.78	camel	li.0 ma.0 tak.55; tak.55 ma.0 ŋa.11
3.81	insect	li.0 ʔbi:t.55
3.811	louse	li.0 kɔp.55; li.0 ʒa:n.24
3.812	nit (louse egg)	li.0 ŋɨ:k.31
3.813	flea	li.0 fɨə.24
3.814	centipede	he.0 va:i.33
3.815	scorpion	he.0 ʔbuŋ.24
3.816	cockroach	uə.32
3.817	ant	a.0 ϑam.24
3.818	spider	mu:m.11
3.819	spider web	mui.31 mu:m.33(11)
3.82	bee	ʒie.24 δu.11
3.821	beeswax	on.55
3.822	beehive	ha.33
3.823	wasp	ϑa:i.24 ha.33
3.83	fly	ńin.33
3.831	sandfly (midge), gnat	a.0 la.11
3.832	mosquito	a.0la.11 ŋui.31
3.84	worm	a.0 la.11 ɛp.55
3.85	snake	u.24 (ϑiŋ.24)
3.91	firefly	śut.55
3.92	butterfly	pa.0 ʔdaŋ.33
3.93	grasshopper	δu.11
3.94	snail	a.24 ku:ŋ.31 ta.24
3.95	frog	uk.55
3.96	lizard	pa:ŋ.55 śe.33
3.97	crocodile, alligator	a.55 tian.32
3.98	turtle	hap.55 a:ŋ.33
4.11	body	ma.0 ta.24
4.12	skin, hide	mui.31 ma.0 ta.24
4.13	flesh	mu:m.11 ma.0 ta.24
4.14	hair (head)	ʒap.55 ma.0 ta.24
4.142	beard	ʔba:i.55 ta.0 δa.33
4.144	body hair	ʒak.55  δa.33
4.145	pubic hair	tiŋ.32
4.146	dandruff	ʔbɔŋ.55 tiŋ.32
4.15	blood	a.24 ńi.24
4.151	vein, artery	ŋɔŋ.24
4.16	bone	ŋɔŋ.24 ma.0 δe.11
4.162	rib	ʔbuŋ24 ŋɔŋ.24
4.17	horn	ɛ.31 me.33
4.18	tail	ϑɔŋ.24
4.19	back	ϑɔŋ.24 mi.11
4.191	spine	ʒuə.33
4.2	head	a.0 ʔdon.31
4.201	side of head, temple	a.0 lɔŋ.11
4.202	skull	a.0 ʔba.55
4.203	brain	a.0 la.11 ʔba.55
4.204	face	ʔbaŋ.55 niaŋ.11
4.205	forehead	ha:p.55 ta.0 lie.33
4.207	jaw	śop.31
4.208	cheek	ho.33 ńak.55
4.209	chin	ńak.55
4.21	eye	la:k.31 ńak.55
4.212	eyebrow	li.0 mi.11 ńak.55
4.213	eyelid	lip.33 ńak.55
4.214	eyelash	e.33 ńa:p.55
4.215	blink	ʔbɔŋ.33 a.11
4.22	ear	ʔbɔŋ.33 a.11 man.55
4.221	earlobe	ʔbɔŋ.33 a.11 śian.24
4.222	earwax	ma:k.55 la.0 hu.31
4.23	nose	ka.0 ʒuŋ.24
4.231	nostril	ʒuŋ.55(24) a.24 pau.24
4.232	mucus (nasal)	ta.0 li:u.11
4.24	mouth	hat.55 ʒuŋ.24
4.241	beak	la:k.31 a.11
4.25	lip	ta.0 δia:ŋ.33
4.26	tongue	mui.31 ma.0 δe.11
4.27	tooth	a.0 tak.55
4.271	gums	e.0 em.55
4.272	molartooth	ŋɔŋ.24 em.5
4.28	neck	ʔduə.24
4.281	nape of neck	ϑam.24
4.29	throat	put.55
4.3	shoulder	tap.55
4.301	shoulderblade	mak.55 ʒa:u.33
4.302	collarbone	ma:m.11
4.31	arm	ʔdi.24
4.312	armpit	taɨ.24
4.32	elbow	ʒen.33
4.321	wrist	vu:ŋ.55
4.33	hand	ma.0 lun.31
4.331	palm of hand	ʔbɔŋ.55 ma.0 lun.31
4.34	finger	ma.0 tia:ŋ.11
4.342	thumb	li:t.55
4.344	fingernail	ma.0 tip.55
4.345	claw	ɛn.55 he.24
4.35	leg	a.0 ʒai.55
4.351	thigh	cə.33 ək.31
4.352	calf of leg	a.0 ʒək.55
4.36	knee	a.0 ʒai.55
4.37	foot	ɔn.55 śon.31
4.371	ankle	a.0 tu.31; a.0 tu.31 tɨŋ.53
4.372	heel	a.0 tu.31
4.374	footprint	ɔk.55
4.38	toe	a.0 δam.11
4.392	wing	hɛn.31 ɛ.31 me.33
4.393	feather	lɛm.11
4.4	chest	a.0 tu.31 ϑaɨ.33
4.41	breast (of woman)	u.55
4.412	nipple, teat	u.55 kjan.32
4.42	udder	pan.11 ka:n.33
4.43	navel	śin.31 ʔdɔŋ.24
4.44	heart	śin.31
4.441	lung	a.0 tut.55
4.45	liver	a.0 tin.11
4.451	kidney	paŋ.55 ʔbi:t.55
4.452	spleen	ha.11 la:n.33
4.46	stomach	va:i.33 ϑen.55
4.461	intestines, guts	a:p.55 ɔŋ.32
4.462	waist	u:m.24
4.463	hip	ϑeŋ.24; an.24
4.464	buttocks	ϑeŋ.24
4.47	womb	pa.24 la:k.31
4.49	testicle	pa.24 la:k.31
4.492	penis	ha.11 ni.24
4.51	breathe, breath	la:m.33
4.52	yawn, gape	tuk.55 ɔŋ.32 la:m.33
4.521	hiccough	pja:ŋ.32
4.53	cough	pok.55
4.54	sneeze	mo.31 ta.0 ma:ŋ.33
4.55	perspire	an.11 δia:ŋ.33
4.56	spit	u:n.31
4.57	vomit	piŋ.31
4.58	bite	uə.31 tɔt.55
4.59	lick	ʒuə.24(33) ɛk.24
4.591	dribble	fa:t.55 nap.55
4.61	sleep	ʔdu.11 muk.55
4.612	snore	ma.0 kat.55; a.0 ʔdi.11 ha:t.31
4.62	dream	ma.0 kat.55
4.63	wake up	a.0 ʔduk.55
4.64	break wind	a:ŋ.24
4.65	urinate	śuŋ.11 mu.53
4.66	defecate	luə.33 ʒiə.24
4.67	have sexual intercourse	ʒi.33 śəŋ.33
4.68	shiver	a.0 luə.33
4.69	bathe	tu.31 ʒɔ.31
4.71	beget (of father)	a.0 nai.55
4.72	born (to be)	ʒa:ŋ.11 le.31
4.73	pregnant	a.0 δɔŋ.31
4.732	conceive	a.0 δu.11 ʔdo.55
4.74	live, living, life	a.11 ia:ŋ.32
4.75	die, dead	ta.0 ŋan.11
4.751	drowned	ŋɔm.11
4.76	kill	ʔbon.55
4.77	corpse	me.33
4.78	bury (the dead)	kɔŋ.33 kaŋ.33
4.79	grave, tomb	ka:n.24
4.81	strong, mighty, powerful	ka:n.24 ti.33 tɔŋ.31 ʒi:ŋ.31
4.82	weak	e.0 mu.53
4.83	well, health	e.0 ʔdip.55
4.84	sick, sickness	e.0 mu.53
4.841	fever	δoŋ.31 na.11
4.842	goiter	ʒɔt.55
4.843	cold (catarrh)	ma.0 hɔt.55
4.85	wound, sore	ha.53
4.852	bruise	ʒɔt.55
4.853	swelling	a.0 ńa:ŋ.11
4.854	itch	a.0 lɔn.33
4.855	blister	ka.11 ʒuə.33
4.856	boil (noun)	a.0 te.24
4.857	pus	te.24 ɔŋ.32
4.858	scar	śa:u.32
4.86	cure, heal	pa:ŋ.31
4.87	physician	hɔ.55 lu.31
4.88	medicine, drug	mo.31; ϑa:u.53
4.89	poison	ʔbu.33 hɔŋ.31 tɔt.55
4.91	tired, weary	ϑa:u.53 up.55
4.912	rest	pa:n.11
4.92	lazy	puə.24
4.93	bald	hu.31
4.94	lame	śa:n.53
4.95	deaf	tɛŋ.55
4.96	mute	ϑi:k.31
4.97	blind	ma.0 δa.31
4.98	intoxicated	cha.33
4.99	naked, bare	cim.31 pau.24
5.11	eat	cet.55
5.12	food	na.24 ma.0 lam.11
5.121	cooked	ka:n.24 na.24
5.122	raw	ka:n.24 ve.24
5.123	ripe	pat.55
5.124	green, unripe	δaŋ.1; δen.31
5.125	rotten	ha:t.55
5.13	drink	cja:u.33 la:n.33
5.14	hunger	cja:u.33 pon.31 mian.31
5.141	famine	pon.31 main.31
5.15	thirst	ϑi:k.55
5.16	suck	na:p.31
5.18	chew	fai.53
5.181	swallow	to.24 ńap.55
5.19	choke	to.24 ʒu:ŋ.24
5.21	cook	uə.32
5.22	boil (vb)	a.0 ʒen.33
5.23	roast, fry	ɔŋ.32 uə.32
5.24	bake	up.55 δa:t.31
5.25	oven	ϑa:p.55
5.26	pot, cooking vessel	up.55 ϑu:i.55
5.27	kettle	up.55 ʔbuə.55
5.28	pan	ma:k.33 śa:t.31
5.31	dish	ŋa.33 he.55; ŋa.33 cep.55
5.32	plate	cia:ŋ.24
5.33	bowl	ma.0 tia:ŋ.33
5.34	pitcher, jug	ma:k.55 kɨə.33
5.35	cup, drinking vessel	man.33; man.33 lu:n.11
5.36	saucer	ma:k.53
5.37	spoon	δum.55
5.38	knife	ma:k.53 ma.0 δa:k.55
5.39	fork	ma:k.53 δa:ŋ.33
5.391	tongs	ju.11
5.41	meal (a)	la:u.33
5.42	breakfast	ma.0 nen.33
5.43	lunch	uə.32 ma.0 nen.33
5.44	dinner	ńo.33
5.45	supper	tɨ:ŋ.31 δe.33
5.46	peel	tɨ:ŋ.31
5.47	sieve, strain	em.55; ɔŋ.32 em.55
5.48	scrape	cen.24
5.49	stir, mix	a.0 tam.24
5.51	bread	a.0 tam.24 ŋa:n.11
5.53	dough	le.11
5.54	knead	o.31 le.11
5.55	meal, flour	ʔdu.31 ʔdak.55
5.56	crush, grind	pa:ŋ.24
5.57	mill	mui.31
5.58	mortar	fa:i.24
5.59	pestle	ha:ŋ.24 śu.11
5.61	meat	ʒɔt.55 fa:i.24
5.63	sausage	kɔn.33 fa:i.24
5.64	soup, broth	taŋ.11 ta:k.31
5.65	vegetables	ʔdak.55
5.66	bean	pa.0 ŋa:t.55
5.7	potato	pa.0 ŋui.11
5.71	fruit	mai.31
5.712	bunch	hun.53 indica
5.75	fig	ʔdi.55 o.31(33)
5.76	grape	ʒo.55 o.31(33)
5.77	nut	ʔdi.55 luŋ.31
5.78	olive	kon.31
5.79	oil	ma:t.31
5.791	grease, fat	ha:i.31
5.81	salt	ma:u.31
5.82	pepper	śa:k.31 kon.31
5.821	chili pepper	śau.55 tha:u.24
5.84	honey	ʔdia:ŋ.24 pok.31
5.85	sugar	tai.33 kon.31
5.86	milk (noun)	e.0 ti.55
5.87	milk (vb)	ϑu:t.55 ńak.55
5.88	cheese	cia:u.55
5.89	butter	ci.55
5.9	beverage, drink	va:n.11 δa.33
5.91	mead	a.0 śe.33; pok.55
5.92	wine	kan.24; pa.24(33) śe.33
5.93	beer	ϑe.24
5.94	fermented drink	ka:t. 55
5.97	egg	a:n.24; a.0 ϑam.24
5.971	egg yolk	pa.33 toi.55
6.11	put on (clothes)	fai.31 ca:u.24
6.12	clothing, clothes	ci:ŋ.55
6.13	tailor	a.0 an.24
6.21	cloth	lu:k.55
6.22	wool	lu:k.55 it.55
6.23	linen, flax	tuə.33 la:ŋ.31
6.24	cotton	ta.31 ʔduə.11 ha:ŋ.24
6.25	silk	ha:p.55 tuə.33 ta:ŋ.24
6.27	felt	ma.0 tuə.33; ma.0 tuə.33 man.55
6.28	fur	ma.0 tu.11 tok.33
6.29	leather	ϑwa.31
6.31	spin	cen.31 tuə.33
6.32	spindle	śe.24 ϑua.31
6.33	weave	cua:ŋ.33
6.34	loom	luə.33 ɔt.55
6.35	sew	poŋ.31 śi:ŋ.31
6.36	needle	ʒiɛn.33 chuŋ.33
6.37	awl	haŋ.24
6.38	thread	ta:p.31
6.39	dye	ta.0 ńe.33
6.41	cloak	pan.33 śen.24
6.411	poncho	taŋ.24 ta.0 niaŋ.11
6.42	woman's dress	śɔŋ.31
6.43	coat	taŋ.24 muə.33
6.44	shirt	la:p.31 śuk.55
6.45	collar	δuə.24
6.46	skirt	nɛŋ.33 lu:k.55
6.461	grass-skirt	a.24
6.48	trousers	lam.33 lu:n.31
6.49	stocking, sock	lam.33 ka:k.0  śe.31
6.51	shoe	pen.24
6.52	boot	va:i.33 śa:ŋ.33 ma.0 δa.33
6.54	shoemaker, cobbler	cik.55
6.55	hat, cap	nuŋ.31 min.31
6.57	belt, girdle	na.33
6.58	glove	lu.31
6.59	veil	ϑɔm.32
6.61	pocket	śu:i.24 na.33
6.62	button	δia:ŋ.33 ϑɔn.31
6.63	pin	ɔŋ.32 δo.11
6.71	ornament, adornment	śu:i.24
6.72	jewel	ʔba:k.55
6.73	ring (for finger)	pa.0 cha:n.55
6.74	bracelet	chwa:n.55
6.75	necklace	pa.0 ʔba:i.31; ʔba:k.55
6.76	bead	ϑa:u.53
6.77	earring	fa:n.55 ϑe.24
6.78	headband, headdress	ϑe.24; ϑe.24 ha:ŋ.24
6.79	tattoo	on.32
6.81	handkerchief, rag	pa.33 hin.33
6.82	towel	hit.55 pa:i.24
6.91	comb	ha:ŋ.24 pa:i.24 kɔk.55
6.92	brush	ha:ŋ 24 mian.31
6.921	braid	ha:ŋ.24 ʔbɛk.31 ʔbuŋ.32
6.93	razor	ha:ŋ.24 up.55
6.94	ointment	ha:ŋ.24 ɔk.55
6.95	soap	pa:i.24 na.33
6.96	mirror	ha:ŋ.24 ϑa:i.42; pa:i.24 ϑa:n.24; a.0 la.11; ha:ŋ.24 ɔk.55
7.11	dwell, live	ta.0 fa.53
7.12	house	pa:ŋ.33
7.13	hut	ha:ŋ.24 la.33
7.131	garden-house	a.0 ńa.33
7.14	tent	pa:ŋ.33 δo.11
7.15	yard, court	tam.32
7.16	men's house	e.0 ϑa:ŋ.24
7.17	cookhouse	mi.11 hɔt.53
7.18	meeting house	ŋa.33 hɔt.53
7.21	room	ʔdia:ŋ.24
7.22	door, gate	a.33 ńa:n.11
7.221	doorpost, jamb	va.24
7.23	lock (noun)	hɔt.53
7.231	latch, door-bolt	hɔt.53 δa:ŋ.33 tok.55
7.24	key	hɔt.53 śoŋ.33
7.25	window	e.0 u.33
7.26	floor	at.55 ta:p.31
7.27	wall	ka:n.24 (at.55); at.55 ŋa.11
7.31	fireplace	e.0 mum.31 meu.11
7.32	stove	e.0 ʔdu.55 tui.24
7.33	chimney	ʔvuŋ.24 hɔt.53
7.37	ladder	ci.24 hɔt.53
7.42	bed	hɔt.53 δa:ŋ.33 o.24
7.421	pillow	ma:k.55 toŋ.31; ma:k.55 li.11
7.422	blanket	mi.11 tuk.55 ai.33
7.43	chair	a.0 tuk.55 ai.33
7.44	table	hɔt.31 δuŋ.33; h]t.31 ti.33
7.45	lamp, torch	ma:k.55 li.33 ϑa:n.24
7.46	candle	hɔt.53 δia:u.33
7.47	shelf	man.33 ʔbuŋ.32
7.48	trough	ma.0 δa:k.31
7.51	roof	man.33 δieu.33
7.52	thatch	ʔbu.24
7.53	ridgepole	kwa.24 ŋa:n.11
7.54	rafter	hɔt.53 i.24
7.55	beam	hɔt.53 pɔŋ.33
7.56	post, pole	ɛt.55
7.57	board	ma:k.55 śɔŋ.31
7.58	arch	a.24 δa:ŋ.33
7.61	mason	ʔdu.24
7.62	brick	ʔdu.24 kɔŋ.24
7.63	mortar	koŋ.33 kak.11
7.64	adobe	ta:p.31 la:n.33
8.11	farmer	pat.55
8.12	field (for cultivation)	ha.53
8.13	garden	ha:ŋ.24 fa:k.55
8.15	cultivate, till	ha:ŋ.24 śa:k.31
8.16	fence	he.0 ta.24
8.17	ditch	tuk.55; ϑau.33
8.21	plow	δɔn.55; he.33
8.212	furrow	tat.55 un.53
8.22	dig	ʔbɔŋ.53
8.23	spade	ma.0 δa.11
8.24	shovel	pa.0 ta:u.11
8.25	hoe	pa.0 ta.0 a:n.24
8.26	fork	pa.0 pən.33
8.27	rake	a.0 lieu.31
8.31	sow	va:i.31
8.311	seed	a.55; ʔdi.55
8.32	mow, reap	ʒwa:k.55
8.33	sickle, scythe	pɔk.55
8.34	thresh	no.33 nɛn.33
8.35	threshing-floor	śa:t.55
8.41	crop, harvest	nɛŋ.31 ńet.31
8.42	grain (barley, oats etc)	neŋ.31
8.43	wheat	neŋ.31 ʔδɔŋ.24
8.44	barley	ha.55
8.45	rye	ha:p.55
8.46	oats	ńen.31
8.47	maize, corn	cen.24; keu.32
8.48	rice	ʔdiŋ.53
8.51	grass	fai.53; δa:u.11; hup.55
8.52	hay	ua:t.55
8.53	plant (noun)	fɔt.55 ha:ŋ.24
8.531	plant (vb)	toŋ.31 ʒeŋ.31
8.54	root	pu.55 śa:ŋ.33 hɔt.53
8.55	branch	ʔdu.11
8.56	leaf	ʔbɔŋ.55 δɔk.11
8.57	flower	ʔba:k.55
8.6	tree	pa.33 kɨ.53
8.61	oak	chui.31
8.62	beech	tja:ŋ.32
8.63	birch	pu.55 śa:ŋ.33 ik.55
8.64	pine	lian.31 ik.55
8.65	fir	cim.24
8.66	acorn	ŋan.33
8.67	vine	lu:ŋ.11
8.68	tobacco	ik.55
8.69	smoke (tobacco)	li:k.55
8.691	pipe	ɔt.55
8.72	tree stump	ciŋ.55
8.73	tree trunk	pe.24; a:n.24
8.74	forked branch	śon.31; tam.31; δia:ŋ.11
8.75	bark	va:ŋ.24
8.76	sap	ʔban.33 ʔbin.32; ʔban.33 ʔban.24
8.81	palm tree	toŋ.11
8.82	coconut	vi.33
8.83	citrus fruit	va:t.31
8.84	banana tree	ϑiu.24
8.85	banyan	fa.31 ϑiu.24
8.91	sweet potato	śɛt.55
8.912	yam	luŋ.11 śɛt.55; hɨn.24 śɛt.55
8.92	tapioca, manioc, cassava	śa:k.55
8.93	gourd	pan.24
8.931	pumpkin, squash	yɛ.24
8.94	bamboo	ʒum.55
8.941	sugar cane	pat.55; pan.33
8.96	fish poison (root)	tuk.55; hut.55
8.97	nettle	pan.24
8.98	mushroom	niŋ.31 hɨn.24
9.11	do, make	ma.24 va:ŋ.33
9.12	work	tuk.55; hut.55
9.14	bend	ʒa:k.31 ʒu:t.31
9.15	fold	vit.55
9.16	tie, bind	δu:p.31
9.161	untie	ʒau.55; ʒa:k.55; ŋa:u.11
9.18	chain	ta.0 lu:i.33
9.19	rope, cord	śam.33
9.192	knot (noun)	ɔŋ.32 δo.11 man.55
9.21	strike (hit, beat)	a:p.55 ɔŋ.32
9.211	pound with fist	ʔdam.24 ɔŋ.32
9.22	cut	va:t.53; ta:u.31
9.221	cut down	pi.55
9.222	chop, hew	hip.55
9.223	stab	pa:n.55; ka:n.33
9.23	knife	ku:i.31
9.24	scissors, shears	ʒɛŋ.24 ʒɛ.55
9.25	ax	δu:n.33 luŋ.11
9.251	adze	ʔdit.55; cu:ŋ.31 luŋ.11
9.26	break	ta.0 hut.55
9.261	broken	ʔdu.24
9.27	split	vi.33
9.28	tear	ʔdit.55; ma.0 ʔdip.55
9.29	flay, skin	va.11
9.31	rub, wipe	vi.33 tuə.0 hɨn.33
9.32	stretch	vi.33 tuə.0 luŋ.11
9.33	pull	ok.55
9.34	spread out	ʒam.31
9.341	hang up	ʔdɔŋ.24
9.342	press	ta:u.53 ʔdɔŋ.24; lie.31
