entry_id	trans_english	Southern_Tai_of_Songkhla_Phonemic
2.641	daughter-in-law (of a woman)	mɛ:.4 phua.1
2.71	stepfather	mɛ:.4 ja:j.3
2.72	stepmother	lu:k.4 khɔ:j.1
2.73	stepson	lu:k.4 khɔ:j.1
2.74	stepdaughter	lu:k.4 pha:j.7
2.75	orphan	lu:k.4 pha:j.7
2.76	widow	phɔ:.4 liaŋ.7
2.77	widower	mɛ:.4 liaŋ.7
2.81	relatives, kinsmen	lo:k.4 liaŋ.7
2.82	family	lu:k.4 liaŋ.7
2.91	I	lo:k.4 kam.3 phla:.7
2.92	you (singular)	mɛ:.4 ma:j.5
2.93	he/she/it	phɔ:.4 ma:j.5
2.94	we	ja:t.4
2.941	we (inclusive)	khɔ:p.4 khua.3
2.942	we (exclusive)	cha:n.1; phom.1; nuj.4; ku:.2; phɨan.4
2.95	you (plural)	thə:.3; tən.1; su:.1; khun.3; mɨŋ.3
2.96	they	man.3; khaw.1
3.11	animal	raw.3
3.12	male (adj)	raw.3
3.13	female (adj)	mo:.1 law.3
3.15	livestock	raw.3; raw.3
3.16	pasture	phuak.4 thə:.3; mo:.1 thə:.3; mo:.1 su:.1
3.18	herdsman	mo:.1 su:.1 thaŋ.7 khu:.4
3.19	stable, stall	mo:.4 man.3
3.2	cattle (bovine)	sat.8
3.21	bull	tua.6 phu:.5
3.22	ox	tua.6 mia.3
3.23	cow	pa.3 su.3 sat.8
3.24	calf	thuŋ.4 liaŋ.7 sat.8
3.25	sheep	khon.4 liaŋ.7 sat.8
3.26	ram	khɔ:k.4
3.28	ewe	ŋua.3 khwa:j.3
3.29	lamb	hua.3 tua.2 phu:.5
3.32	boar	hua.3 ŋua.3
3.34	sow	ŋua.3 tua.2 mia.3
3.35	pig	lu:k.4 ŋua.3; lu:k.4 khwa:j.3
3.36	goat	khwa:j.3
3.37	he-goat	kɛ.4
3.38	kid	kɛ.4 tua.4 pho:.5
3.41	horse (equine)	kɛ.4 tua.2 mia.3
3.42	stallion	lo:k.4 kɛ.4
3.44	mare	mu:.1 thɨan.1 tua.3 pho:.5
3.45	foal, colt	mu:.1 tua.2 mia.3
3.46	ass, donkey	mu:.1
3.47	mule	phɛ.4
3.5	fowl	phɛ.4 tua.2 pho:.5
3.52	cock, rooster	lo:k.4 (dɛk.9) phɛ.4
3.54	hen	ma:.4
3.55	chicken	ma:.4 tua.2 pho:.5
3.56	goose	ma:.4 tua.2 mia.3
3.57	duck	lock.4 ma:.4 tua.2 pho:.5; lo:k.4 ma:.7; lo:k.4 la:.3
3.58	nest	la:.3
3.581	bird	lɔ:.4
3.582	seagull	sat.5 pi:k.4
3.583	heron	kaj.2 tua.2 pho:.5
3.584	eagle	mɛ:.4 kaj.2
3.585	hawk	kaj.2
3.586	vulture	ha:n.1
3.591	bat	pɛt.9
3.592	parrot	laŋ.3
3.593	crow	nɔk.4
3.594	dove	nɔk.4 na:ŋ.3 nuan.3
3.596	owl	nɔk.4 sa:.1
3.61	dog	nɔk.4 ʔin.4 si:.3
3.614	rabbit	iaw.1 ̃ jiaw.1
3.62	cat	ʔi:.2 lɛ:ŋ.7
3.622	opossum	wa:w.4
3.63	mouse, rat	kha:ŋ.4 kha:w.4
3.65	fish	nɔk.4 kɛ:w.3
3.652	fin (dorsal)	ʔi:.2 ka:.2
3.653	fishscale	nɔk.4 khaw.1
3.654	gill	nɔk.4 phi.4 la:p.4
3.655	shell	nok.4 hu:k.4
3.661	shark	nok.4 ka.3 tha:.3
3.662	porpoise, dolphin	nɔk.4 na:ŋ.3 ʔɛn.2
3.663	whale	nɔk.4 ju:ŋ.3
3.664	stingray	kaj.2 fa:.3
3.665	freshwater eel	ma:.1
3.71	wolf	ka.3 ta:j.2
3.72	lion	tua.2 nim.3
3.73	bear	sɨa.1 dam.2
3.74	fox	sɨa.1
3.75	deer	mɛ:w.3
3.76	monkey	cha.3 mot.4
3.77	elephant	nu:.1
3.78	camel	pa:.2 pla:.2
3.81	insect	khri:p.4 laŋ.1
3.811	louse	kɛt.4 pa:.2
3.812	nit (louse egg)	ŋɨak.5 p(l)a:.2
3.813	flea	hɔj.1
3.814	centipede	pu:.2
3.815	scorpion	kuŋ.6
3.816	cockroach	pa:.2 la:m.1
3.817	ant	pa:.2 lo:.3 ma:.3
3.818	spider	pa:.2 wa:n.3
3.819	spider web	pla:.2 cɔŋ.3 mɔŋ.3
3.82	bee	pla:.2 laj.1
3.821	beeswax	ma:.6 pa:.2
3.822	beehive	siŋ.1 to:.2
3.823	wasp	mi:.1
3.83	fly	ma:.1 ciŋ.6 cɔk.4
3.831	sandfly (midge), gnat	lɔ:k.4
3.832	mosquito	lɔ:k.4 bin.2
3.84	worm	men.4
3.85	snake	na:k.4
3.91	firefly	kwa:ŋ.2
3.92	butterfly	ke:ŋ.6
3.93	grasshopper	wua.3 pa:.2
3.94	snail	liŋ.3
3.95	frog	cha:ŋ.7
3.96	lizard	ŋuaŋ.3 cha:ŋ.7
3.97	crocodile, alligator	ʔu:t.4
3.98	turtle	mɛ:ŋ.3
4.11	body	haw.1; lo:n.3
4.12	skin, hide	khaj.1 haw.1
4.13	flesh	mat.8
4.14	hair (head)	ta.4 kha:p.9
4.142	beard	mɛ:ŋ.3 pɔŋ.2
4.144	body hair	mɛ:ŋ.3 sa:p.8
4.145	pubic hair	mot.4
4.146	dandruff	mɛ:ŋ.3 mum.3
4.15	blood	jaj.3 mɛ:ŋ.3 mum.3
4.151	vein, artery	phɨŋ.5
4.16	bone	khi:.5 phiŋ.5
4.162	rib	laŋ.3 phɨŋ.5
4.17	horn	ma:.1 la:.4 ra:.4
4.18	tail	puak.9
4.19	back	mɛ:ŋ.3 wan.3
4.191	spine	lin.7
4.2	head	juŋ.3
4.201	side of head, temple	mɔ:t.4
4.202	skull	nɔ:n.10 mɛ:ŋ.3 pi:.3
4.203	brain	nɔ:n.1
4.204	face	tua.3 ʔɔ:n.3 mɛ:ŋ.3
4.205	forehead	cak.8 can.2
4.207	jaw	ciŋ.6 li:t.8
4.208	cheek	pliŋ.2
4.209	chin	tha:k.4
4.21	eye	ŋu:.3
4.212	eyebrow	ŋu:.3 la:m.1
4.213	eyelid	hiŋ.1 hɔj.8
4.214	eyelash	mɛ:ŋ.7 pi:.1
4.215	blink	tak.8 ka.3 tɛ:n.2
4.22	ear	hɔj.1 tha:k.4
4.221	earlobe	kɔp.9
4.222	earwax	ciŋ.6 cɔk.4
4.23	nose	hia.3
4.231	nostril	tuk.8 kɛ:.3
4.232	mucus (nasal)	ca.4 khe:.3
4.24	mouth	taw.2
4.241	beak	la:ŋ.4 ka:j.2
4.25	lip	naŋ.1
4.26	tongue	nɨa.4
4.27	tooth	phom.1
4.271	gums	khlaw.3
4.272	molartooth	khon.1
4.28	neck	khon.1 phɛt.7
4.281	nape of neck	laŋ.4 khɛ:.3
4.29	throat	ŋɨa.1
4.3	shoulder	lɨat.4
4.301	shoulderblade	sen.5 lɨat.4 jaj.1
4.302	collarbone	ʔen.2
4.31	arm	du:k.4
4.312	armpit	khaj.1 ka.3 du:k.4
4.32	elbow	si:.3 khlo:ŋ.3
4.321	wrist	khaw.1
4.33	hand	ha:ŋ.1
4.331	palm of hand	laŋ.1
4.34	finger	do:k.4 san.1 laŋ.1
4.342	thumb	hua.1
4.344	fingernail	map.8
4.345	claw	ka.3 lo:k.7
4.35	leg	mɔ:n.1
4.351	thigh	na:.3
4.352	calf of leg	na:.5 pha:k.8
4.36	knee	kha:.1 kan.3 kaj.3
4.37	foot	kɛ:m.3
4.371	ankle	kha:ŋ.3
4.372	heel	ta:.2
4.374	footprint	khiw.7
4.38	toe	naŋ.1 ta:.2
4.392	wing	khon.1 ta:.2
4.393	feather	phip.4 ta:.2; li:.1 ta:.2
4.4	chest	hu:.1
4.41	breast (of woman)	tiŋ.4 hu:.1
4.412	nipple, teat	khi:.5 hu:.1
4.42	udder	mu:k.8
4.43	navel	lu:.3 mu:k.8
4.44	heart	na:m.4 mu:k.4
4.441	lung	pa:k.4
4.45	liver	ŋoj.7 pa:k.4
4.451	kidney	lim.3 fi:.1 pa:k.4
4.452	spleen	lin.9
4.46	stomach	fan.3
4.461	intestines, guts	ŋa:.3 ha:.3; ŋɨak.8
4.462	waist	fan.3 ka:m.2
4.463	hip	khɔ:.3
4.464	buttocks	tha:j.7 dɔ:n.3
4.47	womb	lam.3 khɔ:.3
4.49	testicle	laj.1
4.492	penis	lu:k.4 bak.9
4.51	breathe, breath	dok.4 haj.1 pa:.3 la:.4
4.52	yawn, gape	khɛ:n.1
4.521	hiccough	lak.4 lɛ:.4
4.53	cough	hua.1 sɔ:k.8
4.54	sneeze	khɔ:.5 mɨ:.4
4.55	perspire	mɨ:.3
4.56	spit	fa:.5 mɨ:.3
4.57	vomit	niw.7
4.58	bite	hua.1 mɛ:.4 mɨ:.3
4.59	lick	lɛp.4
4.591	dribble	koŋ.2 lɛp.4
4.61	sleep	kha:.1
4.612	snore	tɔn.6 kha:.1
4.62	dream	nɔ:ŋ.4
4.63	wake up	khaw.1
4.64	break wind	ti:n.2
4.65	urinate	khɔ:.6 ti:n.2
4.66	defecate	sɔn.7 ti:n.2
4.67	have sexual intercourse	rɔj.3 ti:n.2
4.68	shiver	hua.1 mɛ:.3 ti:n.2
4.69	bathe	pi:k.9
4.71	beget (of father)	khon.1
4.72	born (to be)	ʔɔk.9
4.73	pregnant	na:.5 ʔɔk.9
4.732	conceive	hua.1 nom.3
4.74	live, living, life	taw.6 nom.3
4.75	die, dead	sa.3 dɨ:.2
4.751	drowned	hua.1 caj.2
4.76	kill	pɔ:t.9
4.77	corpse	tap.9
4.78	bury (the dead)	taj.9
4.79	grave, tomb	ma:m.4
4.81	strong, mighty, powerful	thuŋ.1 na:m.9 di:.2
4.82	weak	phuŋ.3
4.83	well, health	phuŋ.3; ka.3 phɔ.4
4.84	sick, sickness	lam.3 saj.5
4.841	fever	ʔe:w.9
4.842	goiter	sa.3 pho:k.4
4.843	cold (catarrh)	wa:n.3
4.85	wound, sore	tha.3 wa:n.3 mak.8; ru:.3 wa:n.3
4.852	bruise	mɔt.4 lu:k.4
4.853	swelling	lu:k.4 ʔan.3 tha.4
4.854	itch	khaj.1
4.855	blister	chɔŋ.4 khlɔ:t.4
4.856	boil (noun)	lom ha:j.1 caj.2
4.857	pus	ha:w.1
4.858	scar	ʔɨk.4
4.86	cure, heal	ʔaj.2
4.87	physician	ca:m.2
4.88	medicine, drug	hɨa.5 ʔɔ:k.4
4.89	poison	nam.7 la:j.3
4.91	tired, weary	thuj.1 nam.7 la:j.3
4.912	rest	ra:k.4
4.92	lazy	khɔp.8
4.93	bald	mlɛ:p.4
4.94	lame	lia.3
4.95	deaf	jɔt.4
4.96	mute	nɔ:n.3 lap.8
4.97	blind	klon.2
4.98	intoxicated	fan.1
4.99	naked, bare	lɔk.4 khɨn.6
5.11	eat	tɨ:n.2 nɔ:n.3
5.12	food	tɔt.4
5.121	cooked	jiaw.4
5.122	raw	khi:.5
5.123	ripe	luam.4 phe:t.4
5.124	green, unripe	san.1
5.125	rotten	ʔa:p.4 na:m.7
5.13	drink	kə:t.4
5.14	hunger	kə:t.4
5.141	famine	kə:t.4
5.15	thirst	taŋ.6 thɔ:ŋ.7
5.16	suck	khit.4
5.18	chew	chi:.3 wit.4
5.181	swallow	ta:j.2
5.19	choke	com.2 na:m.7 ta:j.2
5.21	cook	kha:.5
5.22	boil (vb)	sɔp.8
5.23	roast, fry	faŋ.1
5.24	bake	ple:w.2
5.25	oven	khɛŋ.1 lɛ:ŋ.3
5.26	pot, cooking vessel	ʔɔn.2 ʔɛ:.2
5.27	kettle	suk.8 kha.3 pha:p.4
5.28	pan	maj.3 ba:j.2
5.31	dish	khaj.5
5.32	plate	lo:k.4 khɔ:.3 phɔ:k.4
5.33	bowl	kha:j.5 wat.8
5.34	pitcher, jug	thɔ:ŋ.7 luaŋ.4
5.35	cup, drinking vessel	cɛp.8
5.36	saucer	cham.7
5.37	spoon	phɔ:ŋ.3
5.38	knife	phɔ:ŋ.3; khan.3
5.39	fork	phɔ:ŋ.3; tum.2
5.391	tongs	fi:.1; siw.1
5.41	meal (a)	nɔ:ŋ.1
5.42	breakfast	phlɛ:.1 pen.2
5.43	lunch	lak.4 sa:.1
5.44	dinner	mɔ:.1
5.45	supper	ja:.2
5.46	peel	ja:.2 phit.4
5.47	sieve, strain	wa:ŋ.3 ja:.2 phit.4
5.48	scrape	mla:.7
5.49	stir, mix	phak.4
5.51	bread	khi:.5 khla:n.7
5.53	dough	la:n.7
5.54	knead	ŋɔ:j.4
5.55	meal, flour	hu:.1 nuak.8
5.56	crush, grind	pen.2 ba:j.2
5.57	mill	ta:.2 bɔ:t.9
5.58	mortar	maw.3
5.59	pestle	plɨaj.2
5.61	meat	kin.2
5.63	sausage	ʔa:.2 ha:n.1
5.64	soup, broth	suk.8
5.65	vegetables	dip.9
5.66	bean	ŋɔ:m.3
5.7	potato	maj.6 suk.8
5.71	fruit	na:w.4
5.712	bunch	mɨk.4
5.75	fig	hiw.1; ja:k.6 kha:w.4
5.76	grape	hiw.1 cat.4; hiw.1 caŋ.4 hu:.1
5.77	nut	kla.3 ha:j.1
5.78	olive	du:t.9
5.79	oil	khiaw.7
5.791	grease, fat	klɨ:n.2
5.81	salt	mlak.8
5.82	pepper	tham.3 kap.9 kha:w.5
5.821	chili pepper	tɔm.6
5.84	honey	ja:ŋ.4; thɔ:t.4
5.85	sugar	ʔɔp.9
5.86	milk (noun)	taw.2 ʔɔp.9
5.87	milk (vb)	mɔ:.6
5.88	cheese	ka:.2 tom.6 na:m.7; tik.9 na:m.7
5.89	butter	tha.9
5.9	beverage, drink	ca:n.2
5.91	mead	ca:n.2 bɛ:n.2
5.92	wine	ʔa:ŋ.2
5.93	beer	jɨak.8 na:m.7
5.94	fermented drink	kɛ:w.2
5.97	egg	thuaj.5
5.971	egg yolk	chɔ:n.7
6.11	put on (clothes)	mi:t.4
6.12	clothing, clothes	sɔ:m.6
6.13	tailor	khi:m.3
6.21	cloth	mɨ:.7 (ʔa:.2 ha:n.1)
6.22	wool	kha:w.5 cha:w.7
6.23	linen, flax	kha:w.5 wan.3 thiaŋ.4
6.24	cotton	kha:w.5 wan.3 jen.3
6.25	silk	kha:w.5 jen.3
6.27	felt	lit.4
6.28	fur	klɛ:n.2
6.29	leather	khu:t.8
6.31	spin	khon.3
6.32	spindle	nom.1 paŋ.2
6.33	weave	pɛ:ŋ.6 thi:.2 nuat.4 lɛ:w.4
6.34	loom	nuat.4
6.35	sew	pɛ:ŋ.6
6.36	needle	tam.2; thim.3
6.37	awl	bɔt.8
6.38	thread	rɔ:n.3
6.39	dye	hɔt.9; mo:.4
6.41	cloak	klɔk.4
6.411	poncho	sa:k.8
6.42	woman's dress	nɨa.7 sat.8
6.43	coat	saj.6 krɔ:k.9
6.44	shirt	na:m.7 kɛ:ŋ.2
6.45	collar	phak.8
6.46	skirt	thua.1; thua.1 ta:j.6 din.2
6.461	grass-skirt	khi:.5 min.3
6.48	trousers	hua.1 thiam.3
6.49	stocking, sock	hɔ:m.1 jaj.1
6.51	shoe	li:.6 pli:.2
6.52	boot	ŋa:.3
6.54	shoemaker, cobbler	khiŋ.1
6.55	hat, cap	lu:k.4 tɛ:ŋ.2
6.57	belt, girdle	lu:k.4 khɨa.1
6.58	glove	hua.1 man.3
6.59	veil	phon.1 ma:j.7
6.61	pocket	phuaŋ.3
6.62	button	tɔn.6 saj.3
6.63	pin	ʔa.3 ŋun.4
6.71	ornament, adornment	thua.1 pɨak.4 khɛŋ.1
6.72	jewel	lu:k.4 kɔ:k.9
6.73	ring (for finger)	na:m.7 man.3
6.74	bracelet	khaj.1 man.3
6.75	necklace	ʔuan.6
6.76	bead	phɔ:m.1
6.77	earring	klɨa.2
6.78	headband, headdress	phik.4 thaj.3
6.79	tattoo	li:.3 pli:.2
6.81	handkerchief, rag	nam.7 phɨŋ.5 luaŋ.1
6.82	towel	nam.7 ta:n.2 sa:j.3
6.91	comb	nom.3
6.92	brush	li:t.4 nom.3
6.921	braid	nə:j.3 khɛŋ.1
6.93	razor	nə:j.3 sɔt.8
6.94	ointment	khɨaŋ.4 dɨ:m.2
6.95	soap	law.5 na:m.7 phɨŋ.6
6.96	mirror	law.5 ʔa.3 ŋan.4
7.11	dwell, live	bia.2
7.12	house	la:w.5
7.13	hut	khaj.1
7.131	garden-house	khaj.1 dɛ:ŋ.2
7.14	tent	tɛ:ŋ.4 tua.2
7.15	yard, court	sɨa.5 pha:.5
7.16	men's house	cha:ŋ.4 tat.4 pha:.5
7.17	cookhouse	pha:.5
7.18	meeting house	khon.1 sat
7.21	room	li.3 nin.3
7.22	door, gate	fa:j.5
7.221	doorpost, jamb	maj.1
7.23	lock (noun)	sak.8 la:t.4
7.231	latch, door-bolt	pha:.5 khon.1 sat.8
7.24	key	naŋ.1
7.25	window	khwan.4
7.26	floor	dɨaj.2
7.27	wall	thak.8; thɔ:.3; sa:n.1
7.31	fireplace	hu:k.1
7.32	stove	jep.4 pha:.5
7.33	chimney	khem.1
7.37	ladder	sa.3 wa:n.3
7.42	bed	da:j.6
7.421	pillow	jɔ:m.7 si:.1
7.422	blanket	khlum.3
7.43	chair	pha:.5 khum.3
7.44	table	sɨa.5 pha:.5 khon.3 jiŋ.1
7.45	lamp, torch	sɨa.5 khlum.3
7.46	candle	sɨa.5 chə:t.8
7.47	shelf	khɔ:.3 sɨa.5
7.48	trough	ka.3 po:ŋ.2
7.51	roof	ka.3 po:ŋ.2 ja:.5
7.52	thatch	ka:ŋ.2 ke:ŋ.2
7.53	ridgepole	pha:.5 sap.4 na:m.7
7.54	rafter	thuŋ.1 ti:n.2
7.55	beam	kɨak.4
7.56	post, pole	kɨak.4 hum.5 khɔ:.5
7.57	board	chaŋ.4 tham.3 lɔŋ.3 tha:w.7
7.58	arch	muak.8
7.61	mason	sa:j.1 ʔe:w.2
7.62	brick	thuŋ.1 mɨ:.3
7.63	mortar	pha:.5 khlum.3 na:.5
7.64	adobe	paw.2 sɨa.5
8.11	farmer	luk.4 dum.2
8.12	field (for cultivation)	khem.1 mut.8 klat.4
8.13	garden	khɨaŋ.3 pra.3 dap.9
8.15	cultivate, till	phet.4 phlɔ:j
8.16	fence	wɛn.1
8.17	ditch	mraj.8
8.21	plow	sɔj.3 khɔ:.3; sa:j.1 khɔ:.3
8.212	furrow	lu:k.4 pat.8
8.22	dig	tum.6 hu:.1
8.23	spade	pha:.5 pho:k.4 hua.1
8.24	shovel	sak.8
8.25	hoe	pha:.5 chet.4 na:.7
8.26	fork	pha:.5 chet.4 tua.2
8.27	rake	wi:.1
8.31	sow	wi:.1 (pham); sa:ŋ.1 phom.1
8.311	seed	si:.1; prɛ:ŋ.2
8.32	mow, reap	thak.8 pia.2
8.33	sickle, scythe	mi:t.4 ko:n.2
8.34	thresh	khi:.5 phɨŋ.5
8.35	threshing-floor	sa.3 bu:.2
8.41	crop, harvest	cɔk.8
8.42	grain (barley, oats etc)	jo:.2
8.43	wheat	lə:n.3
8.44	barley	ka.3 thɔ:m.4
8.45	rye	luk.4 nam
8.46	oats	ten.8
8.47	maize, corn	na:m.7 ja:.3
8.48	rice	rən.3 lən.3
8.51	grass	lo:ŋ.3 khlua.3
8.52	hay	la:.1
8.53	plant (noun)	hɔ:ŋ.5
8.531	plant (vb)	pa.3 tu:.3
8.54	root	ha:.1 ma:j.3
8.55	branch	ha:.1 ma:j.3
8.56	leaf	klɔ:n.2
8.57	flower	lu:k.4 cɛ:.2
8.6	tree	na:.5 ta:ŋ.2
8.61	oak	phɨ:n.7
8.62	beech	pha.3 naŋ.1
8.63	birch	taw.2 faj.3
8.64	pine	ʔaŋ.1 lo:.4
8.65	fir	plɔ:ŋ.2 faj.3
8.66	acorn	hua.1 daj.2
8.67	vine	tiaŋ.4 nɔ:n.3
8.68	tobacco	mɔ:n.1
8.69	smoke (tobacco)	pha:.5 hom.1
8.691	pipe	ka:w.3 ʔi:.6
8.72	tree stump	to.8
8.73	tree trunk	ta:j.6
8.74	forked branch	thian.3
8.75	bark	hiŋ.5
8.76	sap	la:ŋ.3 na:m.7
8.81	palm tree	laŋ.1 kha:.3
8.82	coconut	laŋ.1 kha:.3 baj.2 ca:k.4
8.83	citrus fruit	laŋ.1 kha:.3 ja:.6
8.84	banana tree	ʔɔk.4 kaj.2
8.85	banyan	can.2 than.1
8.91	sweet potato	khɨ:.1
8.912	yam	ma:j.7 kha:n.3; saw.1
8.92	tapioca, manioc, cassava	da:n.2
8.93	gourd	woŋ.3 kho:ŋ.4
8.931	pumpkin, squash	cha:ŋ.4 kɔ:.4 sa:ŋ.5
8.94	bamboo	ʔit.4
8.941	sugar cane	pu:n.2 si:.3 men.3; pu:n.2 kha:w.1
8.96	fish poison (root)	ʔit.4 din.2
8.97	nettle	cha:w.3 na:.3
8.98	mushroom	thuŋ.4 na:.3
9.11	do, make	thuŋ.4
9.12	work	suan.1
9.14	bend	phɔ.4 pu:k.6
9.15	fold	lua.7 rua.7
9.16	tie, bind	khu:.3
9.161	untie	thaj.1
9.18	chain	rɔ:ŋ.4 din.2
9.19	rope, cord	khut.8
9.192	knot (noun)	siam.1
9.21	strike (hit, beat)	phlua.4
9.211	pound with fist	cɔ:p.9
9.22	cut	ŋa:m.4
9.221	cut down	kha:t.4
9.222	chop, hew	wa:n.1
9.223	stab	mɛt.9 phɨ:t.4
9.23	knife	da:j.2 ja:.5
9.24	scissors, shears	khiaw.3
9.25	ax	nuat.4 kha:w.5
9.251	adze	la:n.3 nuat.4 kha:w.5
9.26	break	kha:w.5; phon.1 pha.3 lit.8
9.261	broken	mɛt.4 kha:w.5
9.27	split	kha:w.5 sa:.1 li:.3
9.28	tear	kha:w.5 ba:.4 le:.3
9.29	flay, skin	kha:w.5 la:j.3
9.31	rub, wipe	kha:w.5 ʔo:t.1
9.32	stretch	kha:w.5 pho:t.4; khoŋ.3
9.33	pull	kha:w.5 suaj.1
9.34	spread out	kha:w.5 pɨak.4
9.341	hang up	kha:w.5 sa:n.1; mɛt.4 kha:w.5
9.342	press	lam.3 kha:w.5
9.343	squeeze, wring	fa:ŋ.3 kha:w.5
9.35	pour	kha:w.5 fa:ŋ.3
9.36	wash	ja:.5
9.37	sweep	fa:ŋ.3
9.38	broom	phɨ:t.4
9.422	tool	plo:k.4
