entry_id	trans_english	Albanian,_Tosk_Phonemic
4.856	boil (noun)	či'ban; r̃ə'c̷ok
4.857	pus	uyθ; u'yerk
4.858	scar	'brengə; 'mbresə; vu'r̃atə; 'prekə; 'damkə; 'šeɲə
4.86	cure, heal	šə'ron; šən'doš
4.87	physician	myek; dok'tor
4.88	medicine, drug	i'lʸač; bar
4.89	poison	helʸm
4.91	tired, weary	i 'lʸoður
4.912	rest	pu'šon; 'člʸoðet
4.92	lazy	pər'tac̷; dem'bel
4.93	bald	'tulə; i 'šogət
4.94	lame	i 'čalʸə
4.95	deaf	i 'šurðət; šurð
4.96	mute	me'mec̷; i ne'mitur; vuv
4.97	blind	i 'verbər; kʸor̃
4.98	intoxicated	i 'dehur
4.99	naked, bare	lʸaku'rikʸ
5.11	eat	ha
5.12	food	'bukə; 'gʸelə
5.121	cooked	i 'pyekur
5.122	raw	i pa'pyekur
5.123	ripe	i 'pyekur
5.124	green, unripe	r̃ok; agu'rið
5.125	rotten	i 'kalʸbur
5.13	drink	pi
5.14	hunger	u'ri
5.141	famine	u'ri
5.15	thirst	'etye
5.16	suck	θiθ
5.18	chew	pər'tüp
5.181	swallow	gəl'tit; kapər'din; lap
5.19	choke	'mbütet
5.21	cook	ga'tuan
5.22	boil (vb)	'zien; va'lʸon
5.23	roast, fry	pyek; tiga'nis
5.24	bake	pyek; 'pikʸet
5.25	oven	'fur̃ə; 'tavə
5.26	pot, cooking vessel	ten'ǰere; vegš; 'enə
5.27	kettle	ǰü'güm; ku'si
5.28	pan	ti'gan
5.31	dish	'pyatə; 'lʸimbə
5.32	plate	
5.33	bowl	tas; 'kupə; 'blʸudə
5.34	pitcher, jug	'brokə; kor̃o'veš; kə'nače
5.35	cup, drinking vessel	'kupə; 'gotə
5.36	saucer	'pyatəz
5.37	spoon	'lʸugə
5.38	knife	'θikə
5.39	fork	pi'run
5.391	tongs	'mašə; 'bigəlʸ; 'darə
5.41	meal (a)	'gʸelə
5.42	breakfast	mə'ngʸes
5.43	lunch	'drekə
5.44	dinner	'darkə; 'drekə; mə'salə
5.45	supper	'darkə
5.46	peel	r̃yep; c̷e'flʸis; žveš; lʸə'vožg
5.47	sieve, strain	šo'šare; 'sitə
5.48	scrape	zgər'bit; gə'r̃üen; tra'zon
5.49	stir, mix	pər'zien; kara'štis
5.51	bread	'bukə
5.53	dough	'brumə
5.54	knead	ngʸeš; bru'mos
5.55	meal, flour	'miel
5.56	crush, grind	'blʸuan
5.57	mill	mu'li
5.58	mortar	dumb; ha'van; 'štüpəse
5.59	pestle	kʸüs'kʸi; dü'bek; štü'pec̷; dü'geč
5.61	meat	miš
5.63	sausage	kolo'fac̷e; su'ǰuk
5.64	soup, broth	'supə; 'čorbə
5.65	vegetables	'lakra; zarza'vate
5.66	bean	'baθə; fa'sulʸe; 'grošə
5.7	potato	pa'tate; kar'tolə
5.71	fruit	früt; 'pemə
5.712	bunch	'tufə; 'vile; ve'rigə
5.75	fig	fik
5.76	grape	r̃uš
5.77	nut	
5.78	olive	u'li
5.79	oil	vay
5.791	grease, fat	ün'dürə; 'lʸürə
5.81	salt	'kripə
5.82	pepper	pi'per
5.821	chili pepper	koko'šare; spec̷
5.84	honey	'myalʸtə
5.85	sugar	še'kʸer
5.86	milk (noun)	'kʸuməšt
5.87	milk (vb)	myelʸ
5.88	cheese	dyaθ
5.89	butter	'gʸalʸpə
5.9	beverage, drink	'piye
5.91	mead	
5.92	wine	'verə
5.93	beer	'bir̃ə
5.94	fermented drink	
5.97	egg	'vezə
5.971	egg yolk	'boče
6.11	put on (clothes)	'višet
6.12	clothing, clothes	'r̃oba; 'teša
6.13	tailor	r̃oba'kepəs; pres'tar; ter'zi
6.21	cloth	'plačkə; stof
6.22	wool	lʸeš; stof
6.23	linen, flax	lʸi'no; lʸi
6.24	cotton	pa'mbuk
6.25	silk	mən'dafš
6.27	felt	tirk; dər'stilʸə
6.28	fur	gə'zof
6.29	leather	lʸə'kurə
6.31	spin	tyer̃; peɲə'zon
6.32	spindle	ka'lam; bošt
6.33	weave	end; ve'gʸon
6.34	loom	'vegʸə; tez'gʸah; 'vegəl
6.35	sew	kʸep
6.36	needle	gʸilʸ'pərə
6.37	awl	'biz; 'feme; c̷i'mbilʸ
6.38	thread	fil
6.39	dye	'boyə
6.41	cloak	'gunə
6.411	poncho	
6.42	woman's dress	fu'stan; 'kotul
6.43	coat	'sako; 'palto
6.44	shirt	kə'mišə; mi'tan
6.45	collar	'yakə
6.46	skirt	fund; fu'stan; 'fustə; 'həvər
6.461	grass-skirt	
6.48	trousers	panta'lona
6.49	stocking, sock	čo'rap
6.51	shoe	kə'puc̷ə
6.52	boot	kə'puc̷ə me 'kʸafa; šo'šone; 'čizme
6.54	shoemaker, cobbler	kəpu'c̷ar
6.55	hat, cap	ka'pelʸə
6.57	belt, girdle	brez; r̃ip
6.58	glove	do'rezə
6.59	veil	velʸ; tis; har'kat
6.61	pocket	ǰep
6.62	button	'kopsə; 'paftə; 'pulə; 'komčə
6.63	pin	gʸilʸ'pərə
6.71	ornament, adornment	sto'lʸi; zbuku'rim
6.72	jewel	ǰeva'hir
6.73	ring (for finger)	u'nazə
6.74	bracelet	bülʸü'zük; belʸe'ǰik
6.75	necklace	gʸer'dan; gu'šore; kʸa'fore
6.76	bead	'r̃uazə
6.77	earring	vaθ
6.78	headband, headdress	'kezə
6.79	tattoo	tatu'až
6.81	handkerchief, rag	ša'mi
6.82	towel	peš'kʸir; paš'nik; hav'li
6.91	comb	'krehər
6.92	brush	'furčə
6.921	braid	gər'šet
6.93	razor	brisk
6.94	ointment	po'madə
6.95	soap	sa'pun
6.96	mirror	pas'kʸür
7.11	dwell, live	ba'non
7.12	house	štə'pi; špi
7.13	hut	ko'lʸibe; ka'sole
7.131	garden-house	
7.14	tent	'čadər
7.15	yard, court	o'bor̃
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	'ðomə; 'odə
7.22	door, gate	'derə; 'portə
7.221	doorpost, jamb	'štalʸkə; di'rek
7.23	lock (noun)	'bravə
7.231	latch, door-bolt	gə'θep; šulʸ
7.24	key	küč; 'čelʸəs
7.25	window	dri'tare; pen'ǰere
7.26	floor	düše'me
7.27	wall	mur
7.31	fireplace	'vatər
7.32	stove	'sobə; 'stufə
7.33	chimney	o'ǰak
7.37	ladder	'škalə
7.42	bed	kre'vat; štrat
7.421	pillow	ya'stək
7.422	blanket	bata'niye; mbu'lʸoyə
7.43	chair	ka'r̃ige
7.44	table	'trüezə; tra'pezə; tavo'lʸinə
7.45	lamp, torch	'lambə; flug
7.46	candle	kʸi'ri; či'rak
7.47	shelf	raft; štreθ; ser'gʸen
7.48	trough	go'vatə; 'lʸug
7.51	roof	ča'ti
7.52	thatch	'kaštə
7.53	ridgepole	kulʸ'mar
7.54	rafter	ku'ngar; bi'nar; a'gror
7.55	beam	tra
7.56	post, pole	hu
7.57	board	də'r̃asə
7.58	arch	hark; kʸe'mer
7.61	mason	di'bran; u'stə
7.62	brick	'tulə
7.63	mortar	lač; loč
7.64	adobe	kʸer'pič; plʸi'θar
8.11	farmer	buyk
8.12	field (for cultivation)	'arə
