entry_id	trans_english	Mapudungun_Phonemic
2.456	sibling	lamŋen wen
2.458	twins	kɨɲe
2.46	grandfather	čeθki; l̯aku
2.461	old man	fɨča-če
2.47	grandmother	čuču; kuku
2.471	old woman	kuse
2.48	grandson	čuču; kuku; čeθki
2.49	granddaughter	čuču; kuku; čeθki; l̯aku
2.51	uncle	malʸe; weku
2.511	mother's brother	weku
2.512	father's brother	malʸe
2.52	aunt	pal̯u; ɲuke-ntu
2.521	mother's sister	ɲuke-ntu
2.522	father's sister	pal̯u
2.53	nephew	pal̯u; čokɨm
2.54	niece	malʸe ɲawe; čokɨm
2.55	cousin	mɨn̯a; ɲukentu
2.56	ancestors	kuyfi-ke-če
2.57	descendants	pu-ṭ͡ʀipamum
2.61	father-in-law (of a man)	čeθkuy
2.611	father-in-law (of a woman)	pɨɲmo
2.62	mother-in-law (of a man)	lʸalʸa
2.621	mother-in-law (of a woman)	n̯an̯ɨŋ
2.63	son-in-law (of a man)	čeθkuy
2.631	son-in-law (of a woman)	lʸalʸa
2.64	daughter-in-law (of a man)	pɨɲmo
2.641	daughter-in-law (of a woman)	n̯an̯ɨŋ
2.71	stepfather	malʸe čaw
2.72	stepmother	ɲeɲe
2.73	stepson	malʸe-fotɨm
2.74	stepdaughter	malʸe-ɲawe
2.75	orphan	kuɲifalʸ
2.76	widow	l̯an̯tu
2.77	widower	l̯an̯tu
2.81	relatives, kinsmen	pu piwke
2.82	family	pu če; pu piwke
2.91	I	in-če
2.92	you (singular)	eymi
2.93	he/she/it	fey
2.94	we	iɲčiw
2.941	we (inclusive)	inčiɲ
2.942	we (exclusive)	inčiɲ
2.95	you (plural)	eymɨn
2.96	they	feyeŋɨn
3.11	animal	kulʸiɲ
3.12	male (adj)	wenṭ͡ʀu; alka
3.13	female (adj)	θomo
3.15	livestock	kulʸiɲ
3.16	pasture	kaču
3.18	herdsman	ŋen̯ kulʸiɲ
3.19	stable, stall	[walpon]
3.2	cattle (bovine)	kulʸiɲ
3.21	bull	[toro]
3.22	ox	[mansun]
3.23	cow	[waka]
3.24	calf	piči [waka]
3.25	sheep	[ufisa]
3.26	ram	[kaniru]
3.28	ewe	[ufisa]
3.29	lamb	[korderu]
3.32	boar	[faraku]
3.34	sow	kuse [saɲču]
3.35	pig	[sanču]
3.36	goat	[kapɨra]
3.37	he-goat	[čifu]
3.38	kid	[čifu]
3.41	horse (equine)	[kawelʸ]
3.42	stallion	[poṭ͡ʀo]
3.44	mare	[yewa]
3.45	foal, colt	piči [kawelʸ]
3.46	ass, donkey	
3.47	mule	[mula]
3.5	fowl	ɣɨɲɨm
3.52	cock, rooster	alka
3.54	hen	ačawalʸ
3.55	chicken	piči ačawalʸ
3.56	goose	[kansu]
3.57	duck	[patu]
3.58	nest	čiwe
3.581	bird	ɣɨɲɨm
3.582	seagull	kaw-kaw
3.583	heron	ṭ͡ʀɨla; pilʸu
3.584	eagle	ɲamku; ṭ͡ʀaru
3.585	hawk	
3.586	vulture	
3.591	bat	piɲuyke
3.592	parrot	rawilʸma; čoroy
3.593	crow	yeku
3.594	dove	kono
3.596	owl	čiwɨθ
3.61	dog	ṭ͡ʀewa
3.614	rabbit	mara
3.62	cat	narki
3.622	opossum	
3.63	mouse, rat	θewɨ
3.65	fish	čalʸwa
3.652	fin (dorsal)	
3.653	fishscale	ṭ͡ʀawa-čalʸwa
3.654	gill	ṭ͡ʀalṭ͡ʀa
3.655	shell	pelʸuntu; čakantu
3.661	shark	
3.662	porpoise, dolphin	
3.663	whale	yene
3.664	stingray	
3.665	freshwater eel	
3.71	wolf	[lofo] ṭ͡ʀewa
3.72	lion	paŋi
3.73	bear	
3.74	fox	ŋɨrɨ
3.75	deer	pɨθu
3.76	monkey	malčin
3.77	elephant	--
3.78	camel	--
3.81	insect	
3.811	louse	t̯ɨn̯
3.812	nit (louse egg)	ɨṭ͡ʀen
3.813	flea	nerɨm
3.814	centipede	
3.815	scorpion	
3.816	cockroach	
3.817	ant	kolʸelʸa
3.818	spider	lʸalʸɨn
3.819	spider web	ruka lʸalʸin; ŋɨren lʸalʸin
3.82	bee	silʸwiɲ
3.821	beeswax	yiwiɲ miski
3.822	beehive	[kormeɲa]
3.823	wasp	pɨṭ͡ʀokiɲ
3.83	fly	pɨl̯ɨ
3.831	sandfly (midge), gnat	
3.832	mosquito	
3.84	worm	piru
3.85	snake	filu
3.91	firefly	
3.92	butterfly	t̯on̯-t̯on̯
3.93	grasshopper	
3.94	snail	pɨθko
3.95	frog	lʸɨŋki
3.96	lizard	filʸkuɲ
3.97	crocodile, alligator	
3.98	turtle	peyu
4.11	body	ṭ͡ʀawa; kalɨl
4.12	skin, hide	ṭ͡ʀɨlke
4.13	flesh	fɨn̯-kalɨl
4.14	hair (head)	loŋko
4.142	beard	payun̯
4.144	body hair	kal̯
4.145	pubic hair	kal̯-ča
4.146	dandruff	piɲutun
4.15	blood	molʸfɨɲ
4.151	vein, artery	molʸfɨɲ rulmewe
4.16	bone	foro
4.162	rib	kaθi
4.17	horn	mɨta
4.18	tail	kɨlen
4.19	back	furi
4.191	spine	kuθi-foro
4.2	head	loŋko
4.201	side of head, temple	ɨlʸa-ɨlʸa
4.202	skull	foro-loŋko; leŋ-leŋ
4.203	brain	mɨlʸo
4.204	face	aŋe
4.205	forehead	t̯ol̯
4.207	jaw	ṭ͡ʀaŋa-ṭ͡ʀaŋa
4.208	cheek	pafṭ͡ʀa
4.209	chin	keṭ͡ʀe
4.21	eye	ŋe
4.212	eyebrow	θɨɲin
4.213	eyelid	ṭ͡ʀawa-ŋe
4.214	eyelash	ɨmi
4.215	blink	ɨmi-ɨmi-tu
4.22	ear	pilun
4.221	earlobe	
4.222	earwax	fiθ pilun
4.23	nose	yu
4.231	nostril	ṭ͡ʀolol yu
4.232	mucus (nasal)	merun
4.24	mouth	wɨn̯
4.241	beak	wɨn̯-ɣɨɲɨm
4.25	lip	melʸfɨ-wɨn̯
4.26	tongue	kewɨn̯
4.27	tooth	foro
4.271	gums	ɨrɨm
4.272	molartooth	ɨlŋa foro
4.28	neck	pel̯
4.281	nape of neck	t̯opel̯
4.29	throat	pel̯
4.3	shoulder	yupi
4.301	shoulderblade	laŋa
4.302	collarbone	lʸaŋka foro
4.31	arm	lipaŋ
4.312	armpit	puɲ-lipaŋ; puɲpuya
4.32	elbow	ṭ͡ʀuli-ṭ͡ʀuli
4.321	wrist	ṭ͡ʀoi-kuwɨ
4.33	hand	kuwɨ
4.331	palm of hand	puɲ-kuwɨ
4.34	finger	čaŋɨlʸ kuwɨ
4.342	thumb	fɨṭ͡ʀa-čaŋɨlʸ-kuwɨ
4.344	fingernail	wili
4.345	claw	wili
4.35	leg	čaŋ
4.351	thigh	lʸike
4.352	calf of leg	komofɨn̯
4.36	knee	luku
4.37	foot	n̯amun̯
4.371	ankle	pali-pali
4.372	heel	rɨŋkoy n̯amun̯
4.374	footprint	pɨnon
4.38	toe	čaŋɨlʸ-n̯amun̯
4.392	wing	mɨpɨ
4.393	feather	pičuɲ
4.4	chest	rɨku
4.41	breast (of woman)	moyo
4.412	nipple, teat	moyo; loŋko moyo
4.42	udder	moyo
4.43	navel	fɨθo
4.44	heart	piwke
4.441	lung	pon̯on̯
4.45	liver	ke
4.451	kidney	kusa-kusa
4.452	spleen	lɨkanten
4.46	stomach	pɨṭ͡ʀa
4.461	intestines, guts	kɨlče
4.462	waist	ṭ͡ʀaritu-we
4.463	hip	ṭ͡ʀuṭ͡ʀe
4.464	buttocks	anɨ-we
4.47	womb	kɨdiɲ
4.49	testicle	kɨṭ͡ʀau
4.492	penis	pɨnɨn
4.51	breathe, breath	n̯eyen̯
4.52	yawn, gape	ɨŋapu
4.521	hiccough	wiṭ͡ʀorɨn
4.53	cough	čafo
4.54	sneeze	ečiwɨ
4.55	perspire	arofɨ
4.56	spit	tofkɨ
4.57	vomit	rapi
4.58	bite	ɣɨnatu
4.59	lick	kel̯mayɨ
4.591	dribble	ɨl̯wi
4.61	sleep	umautu
4.612	snore	ṭ͡ʀal-ṭ͡ʀal-ɨ
4.62	dream	pewma
4.63	wake up	nepe
4.64	break wind	
4.65	urinate	wɨlʸɨ
4.66	defecate	me
4.67	have sexual intercourse	kure-tu
4.68	shiver	ṭ͡ʀɨn-ṭ͡ʀɨn-ɨ
4.69	bathe	mɨɲetu
4.71	beget (of father)	yalʸɨ
4.72	born (to be)	mɨle
4.73	pregnant	nie-pɨɲeɲɨ; nie-koɲi
4.732	conceive	nie-w-kɨle
4.74	live, living, life	moŋen
4.75	die, dead	l̯a
4.751	drowned	ɨrfi; l̯an̯-konɨ
4.76	kill	l̯aŋɨmɨ
4.77	corpse	l̯a
4.78	bury (the dead)	rɨŋa-lɨ
4.79	grave, tomb	eltun
4.81	strong, mighty, powerful	newen
4.82	weak	yafɨ-ŋe-nu-lu; newen-ŋe-nu-lu
4.83	well, health	kɨme-le-n
4.84	sick, sickness	kuṭ͡ʀan
4.841	fever	aliŋ
4.842	goiter	pɨka; kɨnko
4.843	cold (catarrh)	čafo
4.85	wound, sore	alʸfen
4.852	bruise	weθon
4.853	swelling	kunaw
4.854	itch	ɲay-ɲay
4.855	blister	pilṭ͡ʀaw
4.856	boil (noun)	moy
4.857	pus	ṭ͡ʀar
4.858	scar	aɲken
4.86	cure, heal	ṭ͡ʀemo-tu
4.87	physician	mači; [doktor]
4.88	medicine, drug	l̯awen̯
4.89	poison	l̯a-peyɨm; fuɲapuwe
4.91	tired, weary	ɨskɨ-n
4.912	rest	ɨskɨ-tu
4.92	lazy	čofɨ
4.93	bald	wiru-loŋko
4.94	lame	kɨnṭ͡ʀo
4.95	deaf	pilu
4.96	mute	keṭ͡ʀo
4.97	blind	pelo-nu-lu
4.98	intoxicated	molʸiɲ
4.99	naked, bare	ṭ͡ʀilṭ͡ʀaŋ-tu
5.11	eat	i
5.12	food	iyael
5.121	cooked	afɨ-n
5.122	raw	karɨ
5.123	ripe	afɨ-n
5.124	green, unripe	karɨ
5.125	rotten	funa-n
5.13	drink	pɨto-ko, putu
5.14	hunger	ŋɨɲɨ-n
5.141	famine	ŋɨɲɨ-n; filʸa; enṭ͡ʀi-n
5.15	thirst	wɨywɨ-n
5.16	suck	fočiθɨ
5.18	chew	čaŋafɨ
5.181	swallow	rulme
5.19	choke	ŋɨṭ͡ʀɨ
5.21	cook	θewma iyaelɨ
5.22	boil (vb)	waθkɨmɨ
5.23	roast, fry	kan-kan-ɨ
5.24	bake	rono-ntuku
5.25	oven	[rono]
5.26	pot, cooking vessel	čalʸa
5.27	kettle	[tetera]
5.28	pan	
5.31	dish	rali
5.32	plate	soko rali
5.33	bowl	lupe
5.34	pitcher, jug	metawe
5.35	cup, drinking vessel	[čaru]; posilʸo
5.36	saucer	payl̯a-rali
5.37	spoon	[kučara]
5.38	knife	[kučilʸu]
5.39	fork	
5.391	tongs	
5.41	meal (a)	iyael
5.42	breakfast	[sayunu]
5.43	lunch	raŋi-an̯tɨ iyael
5.44	dinner	pun̯ iyael
5.45	supper	
5.46	peel	čafɨ
5.47	sieve, strain	čaytu
5.48	scrape	kaylifɨ
5.49	stir, mix	θiwilʸɨ
5.51	bread	kofke
5.53	dough	[masan]
5.54	knead	[sofa]
5.55	meal, flour	rɨŋo
5.56	crush, grind	kuθi mew rulpa
5.57	mill	[molinu]
5.58	mortar	ṭ͡ʀana-ṭ͡ʀapi-we
5.59	pestle	ɲumkuθi
5.61	meat	ilo
5.63	sausage	kɨlče-l
5.64	soup, broth	korɨ
5.65	vegetables	karɨ iyael
5.66	bean	θeŋɨlʸ
5.7	potato	poɲɨ
5.71	fruit	fɨn̯
5.712	bunch	rɨṭ͡ʀa
5.75	fig	
5.76	grape	[ufa]
5.77	nut	ŋefɨ
5.78	olive	
5.79	oil	
5.791	grease, fat	yiwiɲ
5.81	salt	čaθi
5.82	pepper	
5.821	chili pepper	ṭ͡ʀapi
5.84	honey	silʸwiɲ kuram
5.85	sugar	[asukura]
5.86	milk (noun)	[liči]
5.87	milk (vb)	[liči]-tu
5.88	cheese	[kesu]
5.89	butter	
5.9	beverage, drink	pɨto-ko-ye
5.91	mead	
5.92	wine	pulku
5.93	beer	
5.94	fermented drink	muθay
5.97	egg	kuram
5.971	egg yolk	čoθ-kuram
6.11	put on (clothes)	tuku-tu-wɨ
6.12	clothing, clothes	wesakelu; takun
6.13	tailor	
6.21	cloth	[paɲu]
6.22	wool	kal̯
6.23	linen, flax	
6.24	cotton	
6.25	silk	[sera]
6.27	felt	
6.28	fur	ṭ͡ʀɨlke
6.29	leather	ṭ͡ʀɨlke
6.31	spin	fɨwɨ
6.32	spindle	kuliu
6.33	weave	ŋɨre
6.34	loom	wiṭ͡ʀal
6.35	sew	ɲɨθɨf-tu
6.36	needle	[akuča]
6.37	awl	θamituwe
6.38	thread	fɨw
6.39	dye	kelɨlɨ
6.41	cloak	ɨkɨlʸa
6.411	poncho	makuɲ; poṭ͡ʀo
6.42	woman's dress	čamalʸ
6.43	coat	
6.44	shirt	[kamisa]
6.45	collar	
6.46	skirt	
6.461	grass-skirt	--
6.48	trousers	[pantalon]
6.49	stocking, sock	[media]
6.51	shoe	[sapatu]
6.52	boot	[fota]
6.54	shoemaker, cobbler	[sapatufe]
6.55	hat, cap	[čumpiru]
6.57	belt, girdle	ṭ͡ʀari-we
6.58	glove	
6.59	veil	
6.61	pocket	fonsiku
6.62	button	[foton]
6.63	pin	sɨkilʸ
6.71	ornament, adornment	
6.72	jewel	[pɨlata]
6.73	ring (for finger)	yɨwɨl̯
6.74	bracelet	ṭ͡ʀari kuwɨ, yɨwɨl̯-kuwɨ
6.75	necklace	ṭ͡ʀari pel̯
6.76	bead	lʸaŋkatu
6.77	earring	čaway
6.78	headband, headdress	ṭ͡ʀari loŋko
6.79	tattoo	
6.81	handkerchief, rag	[paɲu]
6.82	towel	piŋɨθ-ɨw-peyɨm
6.91	comb	rɨna
6.92	brush	
6.921	braid	čapetu
6.93	razor	payun̯-tu-peyɨm
6.94	ointment	[puma]; mel̯kay
6.95	soap	kɨlʸay; [kafon]
6.96	mirror	[espeko]
7.11	dwell, live	mɨle
7.12	house	ruka
7.13	hut	čelʸkom-tu-we
7.131	garden-house	
7.14	tent	[t̯olt̯o]
7.15	yard, court	lepɨn
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	kaṭ͡ʀɨ-ntuku
7.22	door, gate	nɨrɨf
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	[lʸafe]
7.25	window	
7.26	floor	pɨno-peyɨm
7.27	wall	ṭ͡ʀaf-ruka
7.31	fireplace	kɨṭ͡ʀal-we
7.32	stove	
7.33	chimney	
7.37	ladder	pɨra-pɨra-we
7.42	bed	ŋɨtantu
7.421	pillow	meṭ͡ʀɨl
7.422	blanket	ponṭ͡ʀo
7.43	chair	anɨ-peyɨm; [waŋku]
7.44	table	renṭ͡ʀɨ-l-we; [mesa]
7.45	lamp, torch	pelom-tu-we
7.46	candle	[fela]
7.47	shelf	
7.48	trough	[patia]
7.51	roof	wente ruka
7.52	thatch	kɨna ruka
7.53	ridgepole	kuy-kuy-paŋi
7.54	rafter	
7.55	beam	alof
7.56	post, pole	[poste]
7.57	board	[ṭ͡ʀafla]
7.58	arch	--
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	mapu kɨθaw-fe
8.12	field (for cultivation)	mapu; keṭ͡ʀa-we
8.13	garden	
8.15	cultivate, till	keṭ͡ʀa; ŋan̯ɨ
8.16	fence	[koral]
8.17	ditch	rɨŋa-n
8.21	plow	keṭ͡ʀa
8.212	furrow	wirin
8.22	dig	rɨŋa
8.23	spade	[pala]
8.24	shovel	
8.25	hoe	[asaon]
8.26	fork	wilkita
8.27	rake	kawpɨ-we
8.31	sow	ŋan̯ɨ
8.311	seed	koŋi; tuku-n
8.32	mow, reap	kaṭ͡ʀɨ
8.33	sickle, scythe	[ečona]
8.34	thresh	pɨnolɨn; ɲiwiɲ
8.35	threshing-floor	lila
8.41	crop, harvest	pɨramɨ-wɨ-n; [koseča]
8.42	grain (barley, oats etc)	keṭ͡ʀa-n
8.43	wheat	[kačilʸa]
8.44	barley	kawelʸa
8.45	rye	t̯ɨka
8.46	oats	[afena]
8.47	maize, corn	uwa
8.48	rice	[aro]
8.51	grass	kaču
8.52	hay	pinu
8.53	plant (noun)	anɨmka
8.531	plant (vb)	anɨmka
8.54	root	folil
8.55	branch	ṭ͡ʀaŋɨlʸ
8.56	leaf	tapɨl̯
8.57	flower	rayen
8.6	tree	aliwen; mamɨlʸ
8.61	oak	koyam
8.62	beech	
8.63	birch	
8.64	pine	[pinu]
8.65	fir	
8.66	acorn	pɨna
8.67	vine	mulul
8.68	tobacco	pɨṭ͡ʀem; ṭ͡ʀupa ṭ͡ʀupa
8.69	smoke (tobacco)	pɨṭ͡ʀem-tu
8.691	pipe	kiṭ͡ʀa
8.72	tree stump	
8.73	tree trunk	nɨθo mamɨlʸ
8.74	forked branch	ṭ͡ʀaŋɨlʸ
8.75	bark	ṭ͡ʀolɨf
8.76	sap	
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	
8.85	banyan	--
8.91	sweet potato	
8.912	yam	
8.92	tapioca, manioc, cassava	
8.93	gourd	peŋka
8.931	pumpkin, squash	[sapalʸu]
8.94	bamboo	rɨŋi, kɨl̯a
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	kuri
8.98	mushroom	kɨṭ͡ʀawa
9.11	do, make	femɨ, θewma
9.12	work	kɨθaw
9.14	bend	poṭ͡ʀi-naɣɨ
9.15	fold	yɨwɨl̯ɨ
9.16	tie, bind	ṭ͡ʀari
9.161	untie	entu-ṭ͡ʀari
9.18	chain	[kadena]
9.19	rope, cord	[lʸasu]
9.192	knot (noun)	wɨt̯o
9.21	strike (hit, beat)	kupafɨ
9.211	pound with fist	[puɲete]
9.22	cut	kaṭ͡ʀɨ
9.221	cut down	kaṭ͡ʀɨ-tu
9.222	chop, hew	kaṭ͡ʀɨ-ka
9.223	stab	čɨŋarɨ
9.23	knife	[kučilʸu]
9.24	scissors, shears	kupil-we; kaṭ͡ʀɨ-we
9.25	ax	toki
9.251	adze	
9.26	break	waṭ͡ʀo; ṭ͡ʀafo
9.261	broken	waṭ͡ʀo-n; ṭ͡ʀafo-n
9.27	split	waṭ͡ʀo-ka, ṭ͡ʀafo-ka
9.28	tear	wičaf-ka
9.29	flay, skin	ṭ͡ʀɨlke-tu; rowɨ
9.31	rub, wipe	pilʸŋɨθɨ; ŋɨlʸuθɨ
9.32	stretch	norɨmɨ
9.33	pull	wiṭ͡ʀa
9.34	spread out	pil̯ŋɨmɨ
9.341	hang up	pɨlṭ͡ʀɨ-kɨnu
9.342	press	ɨlɨr-nakɨmɨ
9.343	squeeze, wring	kɨṭ͡ʀɨ
9.35	pour	wɨṭ͡ʀu-ntuku
9.36	wash	kɨča
9.37	sweep	lepɨ
9.38	broom	lepɨ-we
9.422	tool	paɲilʸ-we
9.43	carpenter	ruka-fe
9.44	build	θewma
9.46	bore	kata; wečoθɨ
9.461	hollow out	rɨŋa; lolo
9.48	saw	
9.49	hammer	[martilʸu]
9.5	nail	[klafo]
9.56	glue	pɨn̯a
9.6	smith, blacksmith	rɨṭ͡ʀa-fe
9.61	forge	rɨṭ͡ʀa; ṭ͡ʀana-paɲilʸwe
9.62	anvil	rɨṭ͡ʀa-we; ṭ͡ʀana-we
9.63	cast (metals)	lʸuwɨmɨ
9.64	gold	milʸa
9.65	silver	[plata]
9.66	copper, bronze	
9.67	iron	paɲilʸwe
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	wiθɨ-fe
9.72	mold (clay etc)	aθentu; čapɨθɨ
9.73	clay	raɣ
9.74	glass	[kopa]
9.75	weave, plait	ŋɨre
9.76	basket	kɨlko; čaywe
9.77	mat	
9.771	rug	lama
9.78	netbag	pilwa
9.79	fan (noun)	mefɨr-we
9.791	fan (vb)	mefɨrɨ
9.81	carve	pilʸŋɨθɨ; lif-lif-ɨ
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	aɲil
9.89	paint (vb)	kelɨ-lɨ
10.11	move	n̯eŋɨmɨ
10.12	turn over	wayčɨfɨ
10.13	turn around	wiɲo-kintu
10.14	wind, wrap	yɨwɨl̯ɨ
10.15	roll	walʸpa-lɨ
10.16	drop (vb)	ɨṭ͡ʀɨf-naɣɨ ṭ͡ʀana-naɣɨ
10.17	twist	ṭ͡ʀɨkofɨ
10.21	rise	pɨramɨ; wiṭ͡ʀa
10.22	raise, lift	wiṭ͡ʀa-pɨramɨ
10.23	fall	ɨṭ͡ʀɨf-naɣɨ; ṭ͡ʀanɨ
10.24	drip	l̯ɨykɨ
10.25	throw	ɨṭ͡ʀɨfɨ
10.252	catch (ball)	nɨ
10.26	shake	mɨṭ͡ʀowɨ
10.32	flow	wiṭ͡ʀu
10.33	sink	ɲam-ko-nɨ
10.34	float	kɨn̯ayɨ
10.35	swim	weyel̯ɨ
10.351	dive	ɲam-ko-nɨ; ŋɨfɨlɨ
10.352	splash	čapoθ čapoθ-tu
10.36	sail (vb)	kawe; [fote]-tu
10.37	fly (vb)	mɨpɨ
10.38	blow	pimu
10.41	creep, crawl	meli-n̯amun̯-tu
10.412	kneel	luku-tu
10.413	crouch	lʸoyɨ-naɣɨ
10.42	slide, slip	ṭ͡ʀayafɨ
10.43	jump, leap	riŋkɨ
10.431	kick	man̯kɨ
10.44	dance	puru
10.45	walk	ṭ͡ʀeka
10.451	limp	kɨnṭ͡ʀo-tu-yawɨ
10.46	run	lefɨ
10.47	go	amu
10.471	go up	pɨra
10.472	climb	rono-pɨra; wenu-pɨra
10.473	go down	naŋɨ
10.474	go out	ṭ͡ʀipa
10.48	come	kɨpa
10.481	come back	kɨpa-tu
10.49	go away, depart	amu-tu
10.491	disappear	ɲamɨ
10.51	flee	mɨpɨ-amu
10.52	follow	ina-amu
10.53	pursue	ina-entu
10.55	reach, arrive	aku; puwɨ
10.56	approach	inan-tuku; pɨlʸe-kon-pa
10.57	enter	konɨ
10.61	carry (bear)	lemɨ
10.612	carry-in-hand	ye
10.613	carry-on-shoulder	meɲku
10.614	carry-on-head	loŋko-mew-ye
10.615	carry-underarm	ŋɨθif-nie; ŋɨθif-ye
10.62	bring	kɨpa-lɨ
10.63	send	amu-lɨ
10.64	lead (vb)	ŋɨne-nie
10.65	drive	amu-lɨ
10.66	ride	[kawelʸu]-tu
10.67	push, shove	ɨlṭ͡ʀe
10.71	road	rɨpɨ
10.72	path	rupa-peyɨm
10.74	bridge	kuy-kuy
10.75	carriage, wagon, cart	[kareta]
10.76	wheel	čɨnkɨlʸ
10.77	axle	[eke]
10.78	yoke	[yuku]
10.81	ship	[fote]
10.83	boat	[fote]
10.831	canoe	wampo
10.832	outrigger	--
10.84	raft	taŋi
10.85	oar	kawe-we
10.851	paddle (noun)	
10.852	row (vb)	kawe
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	fɨl-konpu
10.91	harbor, port	[fote]-tu-we
10.92	land (vb)	ṭ͡ʀipa-pu
11.11	have	nie
11.12	own, possess	nie; ŋen̯-ŋe
11.13	take	nɨ
11.14	seize, grasp	nɨ
11.15	hold	nɨ-nie
11.16	get, obtain	elu-ŋe; nɨ
11.17	keep, retain	nie; nɨ
11.18	thing	čemrume; famŋelu
11.21	give	elu; ulɨ
11.22	give back	elu-tu; ul-tu
11.24	preserve, look after	pe-nie; kintu-nie
11.25	save, rescue	el-nie; ečelɨ; montu-lɨ
11.27	destroy	weθa-lka-ɲma; teyfɨ-ka
11.28	harm, injure, damage	filʸaθ
11.31	seek, look for	kintu
11.32	find	pe; peθa
11.33	lose	ɲamɨmɨ; weθa-lka
11.34	release, let go	n̯eytu; n̯eytu-kɨnu
11.43	money	kulʸiɲ; [plata]
11.44	coin	čawča; [peso]
11.51	rich	ɨl̯men̯
