entry_id	trans_english	Aguaruna_Phonemic
4.209	chin	susuhi suisuigmstu
4.21	eye	hii
4.212	eyebrow	tampɨgkɨa
4.213	eyelid	hii duwap-'ɨ
4.214	eyelash	uhagtahi
4.215	blink	pusahut
4.22	ear	kuwiš
4.221	earlobe	kuwiš 'tukuma-tai
4.222	earwax	ihig-kuiš
4.23	nose	nuhi
4.231	nostril	nuhi waa-hi
4.232	mucus (nasal)	šiik
4.24	mouth	wɨnu
4.241	beak	nuhi
4.25	lip	wɨnu
4.26	tongue	i-dai
4.27	tooth	dai
4.271	gums	c̷ama dai; mantag
4.272	molartooth	'iki-dai
4.28	neck	suwɨ
4.281	nape of neck	kuntuhɨa
4.29	throat	tu'hunhuhi
4.3	shoulder	yakai
4.301	shoulderblade	hapɨg
4.302	collarbone	'wiyunč
4.31	arm	kuntu
4.312	armpit	c̷ukap
4.32	elbow	čig'kun
4.321	wrist	šiigbauč dakums-amu
4.33	hand	uwɨ-h
4.331	palm of hand	akap 'uwɨ-h
4.34	finger	c̷aham 'uwɨ-g
4.342	thumb	muun 'uwɨh
4.344	fingernail	nančik
4.345	claw	kuntinu nančik-i
4.35	leg	kuhap
4.351	thigh	baku
4.352	calf of leg	kuhap
4.36	knee	ti'kiš-mat
4.37	foot	dawɨ
4.371	ankle	wanus
4.372	heel	sag'kan
4.374	footprint	nahama aipkimu
4.38	toe	c̷aham dawɨ
4.392	wing	nanapɨ
4.393	feather	uhɨ
4.4	chest	dɨc̷ɨp
4.41	breast (of woman)	munc̷u
4.412	nipple, teat	munc̷u
4.42	udder	
4.43	navel	'untuč
4.44	heart	anɨn-tai
4.441	lung	suwač
4.45	liver	akap
4.451	kidney	bɨɨhi
4.452	spleen	bɨɨg
4.46	stomach	tan'tan
4.461	intestines, guts	'c̷ɨhɨg 'ampug
4.462	waist	a'kačum-tai
4.463	hip	'nantag
4.464	buttocks	puhu-tai; nantah
4.47	womb	iki'či
4.49	testicle	suki
4.492	penis	kata
4.51	breathe, breath	
4.52	yawn, gape	wa'ani-mat
4.521	hiccough	hɨ'kɨt-bau
4.53	cough	uhutut
4.54	sneeze	nu'hinum u'hut-bau; ka'ag-mat
4.55	perspire	sɨɨmat
4.56	spit	usukit
4.57	vomit	'imut
4.58	bite	ɨsat
4.59	lick	dukat
4.591	dribble	kitau
4.61	sleep	'kanut
4.612	snore	hu'kaatut
4.62	dream	kaha; kahi
4.63	wake up	šintaut
4.64	break wind	wac̷a'hu
4.65	urinate	ši'kipat
4.66	defecate	i'hapat
4.67	have sexual intercourse	di'hig-mat
4.68	shiver	ku'haut
4.69	bathe	maat
4.71	beget (of father)	a'kii-mat
4.72	born (to be)	
4.73	pregnant	kuntin i'haahu
4.732	conceive	akiit; huhɨt
4.74	live, living, life	puhut
4.75	die, dead	hakau; hakɨ'hu; kihak
4.751	drowned	
4.76	kill	maut
4.77	corpse	hakau iya'ši
4.78	bury (the dead)	yutut
4.79	grave, tomb	u'kumas-bau
4.81	strong, mighty, powerful	sɨnči
4.82	weak	kakak-čau
4.83	well, health	'hamamtuču
4.84	sick, sickness	hau
4.841	fever	c̷uwɨmu
4.842	goiter	'imum
4.843	cold (catarrh)	šiik-m-amu
4.85	wound, sore	tɨhɨmaš; c̷u'pimak-bau
4.852	bruise	kutuimu
4.853	swelling	imut
4.854	itch	
4.855	blister	tukuniu
4.856	boil (noun)	ugku
4.857	pus	pukuau
4.858	scar	ɨ'sa-m-amu
4.86	cure, heal	c̷uw-amu
4.87	physician	
4.88	medicine, drug	ampi
4.89	poison	hatai
4.91	tired, weary	
4.912	rest	aya-mat
4.92	lazy	ka'kau-ču
4.93	bald	
4.94	lame	šu'tu
4.95	deaf	ɨmpɨ'ku
4.96	mute	čiča-ču
4.97	blind	wa'inma-ču
4.98	intoxicated	nampɨ'ku
4.99	naked, bare	wi'su
5.11	eat	'yuwamu
5.12	food	yuta
5.121	cooked	inagk-amu
5.122	raw	u'du
5.123	ripe	c̷amau
5.124	green, unripe	'aɨt; c̷amag-čau
5.125	rotten	kau'hu
5.13	drink	'umu-t
5.14	hunger	nu'han
5.141	famine	nu'han
5.15	thirst	kitak
5.16	suck	bukunat
5.18	chew	daut
5.181	swallow	'kuhat
5.19	choke	hanihnitu
5.21	cook	inahut
5.22	boil (vb)	ukuwat
5.23	roast, fry	hi'ya i'nag-bau
5.24	bake	--
5.25	oven	--
5.26	pot, cooking vessel	i'činak
5.27	kettle	--
5.28	pan	--
5.31	dish	ɨgkɨa yu-tai
5.32	plate	[paratu]
5.33	bowl	
5.34	pitcher, jug	buic̷
5.35	cup, drinking vessel	šiki'ka 'umu-tai
5.36	saucer	--
5.37	spoon	[kučag]
5.38	knife	[ku'či]; c̷upika yu-tai
5.39	fork	takaku
5.391	tongs	--
5.41	meal (a)	yu-ta
5.42	breakfast	'kasik yu-ta
5.43	lunch	ɨc̷a ta'himai 'yu-w-amu
5.44	dinner	yu-tai
5.45	supper	aag'ku 'yu-w-amu
5.46	peel	ma'anit
5.47	sieve, strain	
5.48	scrape	kɨsat
5.49	stir, mix	aɨnc̷ 'pačimau
5.51	bread	tata
5.53	dough	pa'čimh-amu
5.54	knead	pa'či-mat
5.55	meal, flour	mama puwahi i'nanh-amu
5.56	crush, grind	čanuut; dɨkɨɨt
5.57	mill	dɨkɨɨ-tai
5.58	mortar	ihu-tai numi 'taimu; tuntuip
5.59	pestle	tuntuip kuntuhɨ-amu
5.61	meat	nɨhɨ
5.63	sausage	[kuči] nɨhɨ 'ampuhin čimpik-bau
5.64	soup, broth	ɨgkɨtha inagk-amu
5.65	vegetables	'ahak
5.66	bean	biik
5.7	potato	[papa]
5.71	fruit	yuhag
5.712	bunch	'nantag
5.75	fig	--
5.76	grape	--
5.77	nut	tu'hunhuhi
5.78	olive	--
5.79	oil	asait
5.791	grease, fat	wiya
5.81	salt	wɨɨ
5.82	pepper	--
5.821	chili pepper	hima
5.84	honey	dapa yumi-hi
5.85	sugar	pagat na'han-amu
5.86	milk (noun)	munc̷u
5.87	milk (vb)	munc̷u ihug-bau
5.88	cheese	munc̷u inanh-amu
5.89	butter	--
5.9	beverage, drink	umu-tai
5.91	mead	yumi dapa-hai pa'čimh-amu
5.92	wine	umu-tai yu'mi-nc̷ak
5.93	beer	--
5.94	fermented drink	kahiau
5.97	egg	nu'hin
5.971	egg yolk	nuhin-'ta mama'hi; tag'kuipihi
6.11	put on (clothes)	nugkut
6.12	clothing, clothes	haanč apih-amu; 'kutug
6.13	tailor	haanč-in apau
6.21	cloth	haanč
6.22	wool	kuntin-u 'uhɨ
6.23	linen, flax	--
6.24	cotton	uhuč
6.25	silk	--
6.27	felt	--
6.28	fur	duwap
6.29	leather	duwap
6.31	spin	ku'ta-mat
6.32	spindle	--
6.33	weave	awantut; apihut
6.34	loom	haanč 'awan-tai
6.35	sew	apihut
6.36	needle	[auh]
6.37	awl	c̷a'kaskatu ɨ'c̷akamu
6.38	thread	nihi
6.39	dye	ɨgkɨt
6.41	cloak	pɨm'pɨma-tai; i'hima-tai
6.411	poncho	[punču]
6.42	woman's dress	pɨɨ-tai 'haanč
6.43	coat	--
6.44	shirt	'kutug
6.45	collar	kuntuhɨa
6.46	skirt	i'tipak
6.461	grass-skirt	suyaig
6.48	trousers	a'wɨmak
6.49	stocking, sock	haanč da'wɨnum wɨama-tai
6.51	shoe	[sapat]
6.52	boot	--
6.54	shoemaker, cobbler	[sapa'tin] nahanin
6.55	hat, cap	ac̷ɨhu-tai
6.57	belt, girdle	[sɨnču]
6.58	glove	uwɨhnum wɨgama-tai
6.59	veil	dukuma-tai
6.61	pocket	--
6.62	button	[butug]
6.63	pin	hihu c̷a'kaskatu
6.71	ornament, adornment	i'wagmam-tai
6.72	jewel	nugku-tai winča
6.73	ring (for finger)	c̷aham 'uwɨhnum 'patakum-tai
6.74	bracelet	pataku
6.75	necklace	nugku-tai
6.76	bead	šauk
6.77	earring	akii-tai
6.78	headband, headdress	kagkap nugka tutupit akaɨgu
6.79	tattoo	u'sum-tai; u'su-mat
6.81	handkerchief, rag	[paɲu]; hapima-tai
6.82	towel	uhug'mam-tai
6.91	comb	tɨmaš
6.92	brush	[taapna] 'kɨsa-tai
6.921	braid	ča'pik-mat
6.93	razor	susu awa-tai
6.94	ointment	ampi kuta
6.95	soap	[hapug]
6.96	mirror	[ispihu]
7.11	dwell, live	puhut
7.12	house	hɨga
7.13	hut	aak'mag-bau
7.131	garden-house	--
7.14	tent	
7.15	yard, court	'aga
7.16	men's house	hɨga 'áišmagku 'ihun-tai
7.17	cookhouse	
7.18	meeting house	i'hun-tai
7.21	room	kanu-tai
7.22	door, gate	waiti
7.221	doorpost, jamb	--
7.23	lock (noun)	'ɨpɨn-tai
7.231	latch, door-bolt	--
7.24	key	[yawi]
7.25	window	a'agk-amu
7.26	floor	nugka
7.27	wall	taniš
7.31	fireplace	hii ika'pag-bau
7.32	stove	anam-tai hihu
7.33	chimney	bukuiti hintaihi uyuhu-amu
7.37	ladder	wa-tai mina'ag-bau
7.42	bed	
7.421	pillow	'atamhu-tai
7.422	blanket	[punču]
7.43	chair	ɨkɨm-tai ačig-bau
7.44	table	patasa yu-tai
7.45	lamp, torch	ɨkɨma-tai
7.46	candle	
7.47	shelf	pata-tai
7.48	trough	tuntuip; mantig
7.51	roof	'ɨsa-hi
7.52	thatch	duka inumha hɨgamk-amu
7.53	ridgepole	'ɨsahi
7.54	rafter	'minag
7.55	beam	'minag
7.56	post, pole	yu'minc̷ak na'han-amu
7.57	board	[taapna]
7.58	arch	--
7.61	mason	hɨ'ga hɨga-'min
7.62	brick	nugka inag-k-amu
7.63	mortar	čimihinč
7.64	adobe	nugka i'nanh-amu
8.11	farmer	awau
8.12	field (for cultivation)	a'hak-m-amu
8.13	garden	yagkug ahak-bau
8.15	cultivate, till	a'hak-mat
8.16	fence	taniš
8.17	ditch	
8.21	plow	nugka c̷ait
8.212	furrow	saat'hu-amu
8.22	dig	ta'u-mat
8.23	spade	--
8.24	shovel	--
8.25	hoe	--
8.26	fork	c̷ɨ́gkɨn
8.27	rake	wɨ-bau
8.31	sow	ukag-bau; ukat
8.311	seed	ahakɨ
8.32	mow, reap	c̷upiha huut
8.33	sickle, scythe	hihu a'hɨnkau
8.34	thresh	akat
8.35	threshing-floor	aka-tai; c̷ai-tai
8.41	crop, harvest	'aha-k
8.42	grain (barley, oats etc)	šaa
8.43	wheat	--
8.44	barley	--
8.45	rye	--
8.46	oats	--
8.47	maize, corn	šaa
8.48	rice	['ahus]
8.51	grass	dupa
8.52	hay	--
8.53	plant (noun)	'aha-t
8.531	plant (vb)	'aha-k
8.54	root	kagka'pɨ
8.55	branch	kanawɨ
8.56	leaf	duka
8.57	flower	
8.6	tree	numi; kampu'ha
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	dupa hawa; pɨɨmhau
8.68	tobacco	c̷aag
8.69	smoke (tobacco)	c̷aag bu'kun-bau
8.691	pipe	
8.72	tree stump	kampu'ha ihig'kɨ
8.73	tree trunk	kampuhi
8.74	forked branch	hɨ'ga bakui
8.75	bark	saɨ'pɨ
8.76	sap	nu'mi yumi-hi
8.81	palm tree	ihu
8.82	coconut	--
8.83	citrus fruit	yumug
8.84	banana tree	paampa
8.85	banyan	--
8.91	sweet potato	inči; idauk
8.912	yam	mama; yu'humak
8.92	tapioca, manioc, cassava	
8.93	gourd	yumi; punu
8.931	pumpkin, squash	yu'wi
8.94	bamboo	kɨgku
8.941	sugar cane	pagat
8.96	fish poison (root)	hatai
8.97	nettle	naha
8.98	mushroom	'ɨšɨm
9.11	do, make	naut; takat
9.12	work	takat
9.14	bend	punut
9.15	fold	'ninut
9.16	tie, bind	higkat
9.161	untie	atit
9.18	chain	hihu ikag-bau
9.19	rope, cord	wa'sakɨa
9.192	knot (noun)	tuhuhi-amu
9.21	strike (hit, beat)	awatut
9.211	pound with fist	'hipit 'ɨ-mat
9.22	cut	puut; 'c̷upit
9.221	cut down	'ahat
9.222	chop, hew	puut
9.223	stab	nawahai 'ihut
9.23	knife	[kuči]
9.24	scissors, shears	tihig
9.25	ax	[hača]
9.251	adze	[asɨwai]
9.26	break	'kupi-t
9.261	broken	kupi-nkau
9.27	split	kag'kuinu
9.28	tear	intakut
9.29	flay, skin	duwap 'pakamu
9.31	rub, wipe	yakat; kɨɨmat
9.32	stretch	'dakuɨt
9.33	pull	hapit
9.34	spread out	'dakuɨt
9.341	hang up	a'wagkɨt
9.342	press	ča'nuut
9.343	squeeze, wring	čanuut
9.35	pour	saat
9.36	wash	nihat
9.37	sweep	hapi-mat
9.38	broom	ha'pimuk
9.422	tool	taka-tai
9.43	carpenter	[taapna] takau
9.44	build	hɨga-mat
9.46	bore	uyut
9.461	hollow out	uyut
9.48	saw	c̷u'pi-tai da'yag-bau
9.49	hammer	--
9.5	nail	--
9.56	glue	
9.6	smith, blacksmith	hi'hu nahan-in
9.61	forge	hihu 'nahan-at
9.62	anvil	anɨntain ɨmɨthau
9.63	cast (metals)	hihu ukuiyat
9.64	gold	[uru]; kuri
9.65	silver	ku'ičik
9.66	copper, bronze	--
9.67	iron	hihu
9.68	lead (noun)	--
9.69	tin, tinplate	--
9.71	potter	ičinkan 'nahan-in
9.72	mold (clay etc)	a'kinat; anuhtuka dɨ'kap-amu
9.73	clay	c̷a'kus
9.74	glass	--
9.75	weave, plait	'hɨɨt
9.76	basket	čag'kin
9.77	mat	'c̷ɨnc̷ak
9.771	rug	a'tɨktu-tai
9.78	netbag	
9.79	fan (noun)	a'wa-huk
9.791	fan (vb)	a'wa-gtut
9.81	carve	nahan-a 'umit
9.82	sculptor	numi ta'umag nahan-in
9.83	statue	aɨnc̷ dakumk-amu
9.84	chisel	taum-tai hihu
9.88	paint (noun)	i'paku-amu
9.89	paint (vb)	ipaku-t
10.11	move	umučit
10.12	turn over	pɨgat
10.13	turn around	ayanh-amu
10.14	wind, wrap	ihit
10.15	roll	akagkɨt
10.16	drop (vb)	kit-amu
10.17	twist	'pɨmpɨɨt
10.21	rise	'ɨkɨmat
10.22	raise, lift	ya'ki 'takut; inantut; nantat
10.23	fall	iyaut
10.24	drip	da'kiit-amu
10.25	throw	ɨgkɨt
10.252	catch (ball)	ačit
10.26	shake	pɨgat
10.32	flow	yumi 'pugkanu
10.33	sink	ipukn-amu
10.34	float	nama'ka 'nana-mat
10.35	swim	yuku-mat
10.351	dive	yuuš-mat
10.352	splash	c̷a'kimtikat
10.36	sail (vb)	nama'ka 'wɨkaɨgat
10.37	fly (vb)	nana-mat
10.38	blow	umpuut
10.41	creep, crawl	ši'ta-mat
10.412	kneel	ti'kišm-amu
10.413	crouch	c̷uc̷umat; ka'kayat
10.42	slide, slip	ataku'inat
10.43	jump, leap	c̷ɨkɨt
10.431	kick	tukumat
10.44	dance	nampɨt
10.45	walk	da'wɨ 'wɨ-amu
10.451	limp	šutut
10.46	run	tupikaut
10.47	go	wɨta
10.471	go up	ya'ki wa-amu
10.472	climb	pɨɨm'ka wa-amu
10.473	go down	akaɨgat
10.474	go out	hiinat
10.48	come	minit
10.481	come back	wa'kɨtut
10.49	go away, depart	'wɨg-amu
10.491	disappear	ɨmɨgkaut
10.51	flee	tupikakiu; mɨnagkiu
10.52	follow	nɨ'mahut
10.53	pursue	aintut
10.55	reach, arrive	amayit
10.56	approach	a'nihit
10.57	enter	wa'it; way-amu
10.61	carry (bear)	'ɨmat
10.612	carry-in-hand	ači'ka 'ɨmat
10.613	carry-on-shoulder	ɨnc̷aki 'ɨmat
10.614	carry-on-head	ɨkɨni 'ɨmat
10.615	carry-underarm	ɨtɨa 'ɨmat
10.62	bring	itat
10.63	send	a'wɨ-mat
10.64	lead (vb)	dɨkaphut
10.65	drive	'ɨmat
10.66	ride	ɨnc̷a-mat
10.67	push, shove	'šitat
10.71	road	hinta
10.72	path	
10.74	bridge	papaa ikank-amu
10.75	carriage, wagon, cart	--
10.76	wheel	kagkɨtaihi
10.77	axle	ɨha'pɨn; wa'hat-amu
10.78	yoke	--
10.81	ship	--
10.83	boat	
10.831	canoe	[kanu]
10.832	outrigger	nan-amu
10.84	raft	'papag
10.85	oar	ɨhɨmu; kanait
10.851	paddle (noun)	kanait 'sutag
10.852	row (vb)	wiyaut
10.86	rudder	
10.87	mast	hii-tai ahi-amu
10.88	sail (noun)	--
10.89	anchor	--
10.91	harbor, port	anum-tai
10.92	land (vb)	a'nuu-mat
11.11	have	ahutu; a'hutkagtau
11.12	own, possess	wahiig-tin
11.13	take	'umut
11.14	seize, grasp	ačiamu
11.15	hold	a'čiamu
11.16	get, obtain	'huwamu
11.17	keep, retain	kuita-mat
11.18	thing	wa'hi
11.21	give	'suwamu
11.22	give back	a'wakɨt
11.24	preserve, look after	kuitamka 'ukut
11.25	save, rescue	u'wɨmtik-bau
11.27	destroy	c̷ait
11.28	harm, injure, damage	ɨ'mɨsɨt
11.31	seek, look for	ɨgat
11.32	find	wainat
11.33	lose	mɨg'kaɨ-bau
11.34	release, let go	akupɨt
11.43	money	ku'ičik
11.44	coin	ku'ičik
11.51	rich	'wiakuč
11.52	poor	uhunauč
11.53	beggar	tunamahu
11.54	avaricious, stingy	suhi
11.61	lend	c̷agka-mat
11.62	borrow	c̷agkat'nayat
11.63	owe	umik-tin
11.64	debt	[diwi]; diwi-mkagt-amu
11.65	pay (vb)	'akit
11.66	account, reckoning	dɨ'kapa-tai; diwi
11.69	tax, tribute	a'kik-mat-bau
11.77	hire	c̷agka-mat
11.78	wages	--
11.79	earn	dɨ'pɨt-mat
11.81	buy	'su-mat
11.82	sell	'suhut
11.83	trade, barter	yapa'hit
11.84	merchant	wa'hi suhin
11.85	market (place)	yu-tai 'suma-tai
11.86	store, shop	wa'hi 'suhu-tai
11.87	price	akikɨ
11.88	dear (costly, expensive)	
11.89	cheap	'akik; akik-čau (?)
11.91	share (distribute)	tina-mat
11.92	weigh	nɨ'na dɨ́kapat
12.1	after	ahum
12.11	behind	u'kunum
12.2	beside	yantamɨn
12.3	down, below	nug'ka-n
12.4	before	ɨɨm
12.41	front	'ɨɨm-taku
12.5	inside, in	i'nitak
12.6	outside	aga
12.7	under	wakɨn'tin
12.8	up, above	ya'ki
12.11	place	ag'kan
12.12	put	a'puhut
12.13	sit	ɨ'kɨ-mat
12.14	lie down	tɨpɨt
12.15	stand	wah-amu
12.16	remain, stay	'huwat
12.17	remains, left overs	ampinkau
12.21	collect, gather	huut
12.212	pick up	yahu-mat
12.213	pile up	utua-mat
12.22	join, unite	i'hu-mat
12.23	separate	akanat
12.232	divide	akanat
12.24	open	uhat
12.25	shut, close	'ɨpɨn-bau
12.26	cover	dukut
12.27	hide, conceal	uu-mat
12.31	high	ɨ'saham; ya'ki
12.32	low	nugkauč
12.33	top	mu'ha hiitkau
12.34	bottom	ɨha'pɨn
12.35	end	nama'ka 'uwɨt; kuntu c̷ɨg'kɨag-bau
12.352	pointed	c̷a'kaskatu
12.353	edge	
12.36	side	yantame
12.37	middle, center	ɨha'pɨ
12.41	right (side)	unc̷ug
12.42	left (side)	mɨna
12.43	near (adv)	tikihu
12.44	far (adv)	a'tušat
12.45	east	ɨ'c̷a hiin-tai
12.46	west	ɨ'c̷a akaɨ-tai
12.47	north	
12.48	south	
12.53	grow	'c̷akat
12.54	measure	dɨ'kapat
12.541	span, fathom	--
12.55	large, big	muun
12.56	small, little	piipič
12.57	long	ɨ'saham
12.58	tall	ɨ'saham
12.59	short	'sutag
12.61	wide, broad	wag'kaham
