entry_id	trans_english	Yiddish_Phonemic
4.74	live, living, life	lebn; 'lebedik; lebn
4.75	die, dead	štarbn; tojt
4.751	drowned	dertrunken, dertronken
4.76	kill	(der)'hargenen
4.77	corpse	mes; 'barmenen
4.78	bury (the dead)	bagrobn; mekaber zajn; brengen cu kvure
4.79	grave, tomb	kejver
4.81	strong, mighty, powerful	štark; mextik, maxtik
4.82	weak	švax
4.83	well, health	ge'zunt
4.84	sick, sickness	krank, krenk
4.841	fever	hic; fiber
4.842	goiter	volʸe
4.843	cold (catarrh)	farkilung; kater
4.85	wound, sore	vund
4.852	bruise	nerek; klap
4.853	swelling	gešvilexc; bajl
4.854	itch	'bajseniš
4.855	blister	bloter
4.856	boil (noun)	geš'vir
4.857	pus	ejter
4.858	scar	šram; šnar
4.86	cure, heal	hejln
4.87	physician	dokter
4.88	medicine, drug	refue
4.89	poison	sam
4.91	tired, weary	mid; farmatert; 'ojsgematert
4.912	rest	('op)ruen (zix)
4.92	lazy	fojl
4.93	bald	lise
4.94	lame	lom; 'hinkedik
4.95	deaf	tojb
4.96	mute	štum
4.97	blind	blind
4.98	intoxicated	šiker
4.99	naked, bare	naket; hojl
5.11	eat	esn
5.12	food	esn(varg)
5.121	cooked	ge'koxt
5.122	raw	roj
5.123	ripe	cajtik
5.124	green, unripe	grin; 'umcajtik
5.125	rotten	far'fojlt
5.13	drink	trinken
5.14	hunger	hunger
5.141	famine	hunger
5.15	thirst	doršt
5.16	suck	zojgn
5.18	chew	kajen
5.181	swallow	šlingen
5.19	choke	vargn zix; štikn zix; krekn zix
5.21	cook	koxn
5.22	boil (vb)	koxn
5.23	roast, fry	brotn; preglen
5.24	bake	bakn
5.25	oven	ojvn
5.26	pot, cooking vessel	top
5.27	kettle	kesl
5.28	pan	fan; s'kovrede
5.31	dish	teler; majxl; ge'rixt
5.32	plate	teler
5.33	bowl	šisl
5.34	pitcher, jug	krug; krigl
5.35	cup, drinking vessel	gloz; glezl, tepl
5.36	saucer	tecl
5.37	spoon	lefl
5.38	knife	meser
5.39	fork	gopl
5.391	tongs	cvang
5.41	meal (a)	molcajt
5.42	breakfast	'iberbajsn; frištik
5.43	lunch	onbajsn
5.44	dinner	mitog; varmes
5.45	supper	večere
5.46	peel	šejln
5.47	sieve, strain	zajen
5.48	scrape	šobn; rajbn
5.49	stir, mix	mišn
5.51	bread	brojt
5.53	dough	tejg
5.54	knead	knetn
5.55	meal, flour	mel
5.56	crush, grind	(ce)š'tojsn; (ce)'rajbn; (ce)'moln
5.57	mill	mil
5.58	mortar	štejsl
5.59	pestle	'ejberšte fun štejsl
5.61	meat	flejš
5.63	sausage	vuršt
5.64	soup, broth	zup; jojx
5.65	vegetables	grinsn; grinvarg; gortnvarg
5.66	bean	bob; bebl; fasolʸe
5.7	potato	kar'tofl; bulʸbe
5.71	fruit	ojps; fruxt
5.712	bunch	hengl
5.75	fig	fajg
5.76	grape	vajntrojb
5.77	nut	nus
5.78	olive	ejlbirt; masline
5.79	oil	ejl; bojml
5.791	grease, fat	fets
5.81	salt	zalc
5.82	pepper	fefer
5.821	chili pepper	feferl
5.84	honey	honik
5.85	sugar	cuker
5.86	milk (noun)	milx
5.87	milk (vb)	melkn
5.88	cheese	kez
5.89	butter	puter
5.9	beverage, drink	ge'trank
5.91	mead	med
5.92	wine	vajn
5.93	beer	bir
5.94	fermented drink	maške
5.97	egg	ej
5.971	egg yolk	gelxl
6.11	put on (clothes)	onton
6.12	clothing, clothes	klejder; malbušim; bgodim
6.13	tailor	šnajder
6.21	cloth	sxojre; cajg; štof
6.22	wool	vol
6.23	linen, flax	lajvnt; flaks
6.24	cotton	bavl
6.25	silk	zajd
6.27	felt	pojšt; filc
6.28	fur	pelc; futer; rojxvarg
6.29	leather	leder
6.31	spin	špinen
6.32	spindle	špindl
6.33	weave	vebn
6.34	loom	vebštul
6.35	sew	nejen
6.36	needle	nodl
6.37	awl	(n)ol
6.38	thread	fodem
6.39	dye	farb
6.41	cloak	mantl; cudek
6.411	poncho	pončo
6.42	woman's dress	(vajberš) klejd
6.43	coat	mantl
6.44	shirt	hemd
6.45	collar	kolner
6.46	skirt	(halb) klejdl; rekl
6.461	grass-skirt	grozn klejdl
6.48	trousers	hojzn
6.49	stocking, sock	zok
6.51	shoe	šux
6.52	boot	štivl
6.54	shoemaker, cobbler	šuster
6.55	hat, cap	hitl; hut; 'kapeluš; 'kapelič
6.57	belt, girdle	pas(ik); gartl; gor'sedl
6.58	glove	henčke
6.59	veil	šlejer
6.61	pocket	'kešene; taš
6.62	button	knepl
6.63	pin	špilʸke
6.71	ornament, adornment	cir
6.72	jewel	cirung
6.73	ring (for finger)	fingerl
6.74	bracelet	bras'lʸet
6.75	necklace	haldzband; haldzšnur
6.76	bead	krel; 'pačerke
6.77	earring	ojringl
6.78	headband, headdress	kopband; 'kop(ba)puc
6.79	tattoo	ta'tu
6.81	handkerchief, rag	tixl; šmate
6.82	towel	hantex
6.91	comb	kam, keml
6.92	brush	baršt, berštl
6.921	braid	cop
6.93	razor	'golmeser
6.94	ointment	zalb
6.95	soap	zejf
6.96	mirror	špigl
7.11	dwell, live	vojnen
7.12	house	hojz; štub
7.13	hut	xate; hajzke; xalupe
7.131	garden-house	alʸtane
7.14	tent	ge'celt
7.15	yard, court	hojf
7.16	men's house	--
7.17	cookhouse	gorkix
7.18	meeting house	bes-medreš
7.21	room	štub; cimer
7.22	door, gate	tir; tojer
7.221	doorpost, jamb	'bajštidl
7.23	lock (noun)	šlos; šlesl
7.231	latch, door-bolt	(far)ruker
7.24	key	šlisl
7.25	window	fencter
7.26	floor	padloge; 'podleke; dil
7.27	wall	vant
7.31	fireplace	ka'min
7.32	stove	ojvn
7.33	chimney	kojmen
7.37	ladder	lejter
7.42	bed	bet
7.421	pillow	kišn
7.422	blanket	koldre; koc
7.43	chair	štul; benkl
7.44	table	tiš
7.45	lamp, torch	lomp
7.46	candle	lixt
7.47	shelf	polece
7.48	trough	žoleb; 'korete; multer; dejže
7.51	roof	dax
7.52	thatch	'štrojener dax
7.53	ridgepole	balknslup
7.54	rafter	krokve; balkn
7.55	beam	balkn
7.56	post, pole	slup
7.57	board	bret
7.58	arch	bojgn
7.61	mason	mulʸer
7.62	brick	cigl
7.63	mortar	vapne
7.64	adobe	adobe
8.11	farmer	pojer; 'erdarbeter; farmer
8.12	field (for cultivation)	feld
8.13	garden	gortn
8.15	cultivate, till	baarbetn
8.16	fence	plojt; park(a)n
8.17	ditch	grub
8.21	plow	akern
8.212	furrow	gare; brozde
8.22	dig	grobn
8.23	spade	'lopete; ridl; špodl
8.24	shovel	'lopete; ridl; šufl
8.25	hoe	sape
8.26	fork	vidle
8.27	rake	grablʸe
8.31	sow	zejen
8.311	seed	zojmen
8.32	mow, reap	košen; šnajdn
8.33	sickle, scythe	serp; kose
8.34	thresh	drešn
8.35	threshing-floor	tojk
8.41	crop, harvest	ge'reteniš; šnit
8.42	grain (barley, oats etc)	tvue
8.43	wheat	vejc
8.44	barley	gerštn
8.45	rye	korn
8.46	oats	hober
8.47	maize, corn	kukuruze; pap'šoj
8.48	rice	rajz
8.51	grass	groz
8.52	hay	hej
8.53	plant (noun)	ge'viks; flanc
8.531	plant (vb)	far'zecn; far'flancn
8.54	root	vorcl
8.55	branch	cvajg
8.56	leaf	blat
8.57	flower	blum; kvejt
8.6	tree	bojm
8.61	oak	demb
8.62	beech	buk
8.63	birch	bereze
8.64	pine	sosne
8.65	fir	jodle
8.66	acorn	'xazer-nisl
8.67	vine	vajnštok
8.68	tobacco	tabik; ti'tun
8.69	smoke (tobacco)	rejxern
8.691	pipe	lʸulʸke; pipke
8.72	tree stump	pɲak; korč; stočik
8.73	tree trunk	štam
8.74	forked branch	cegoplte(r) cvajg
8.75	bark	kore
8.76	sap	sok; zaft
8.81	palm tree	palʸme
8.82	coconut	'kokusnus
8.83	citrus fruit	'citrusfruxt
8.84	banana tree	ba'nane-bojm
8.85	banyan	banjan
8.91	sweet potato	batate
8.912	yam	jam
8.92	tapioca, manioc, cassava	man'jok
8.93	gourd	kerbes
8.931	pumpkin, squash	diɲe; ka'bak(l)
8.94	bamboo	bam'bu
8.941	sugar cane	'cukerror
8.96	fish poison (root)	
8.97	nettle	'kropeve
8.98	mushroom	šveml; švojm
9.11	do, make	ton; maxn
9.12	work	arbetn
9.14	bend	bejgn
9.15	fold	cu'nojfknejčn, cu'nojflejgn
9.16	tie, bind	(far)'bindn
9.161	untie	opbindn; ce'bindn
9.18	chain	kejt
9.19	rope, cord	štrik; šnur
9.192	knot (noun)	knup; knipl
9.21	strike (hit, beat)	šlogn
9.211	pound with fist	derlangen mit der fojst/mitn kulik
9.22	cut	šnajdn
9.221	cut down	arophakn
9.222	chop, hew	hakn
9.223	stab	štexn
9.23	knife	meser
9.24	scissors, shears	šer(l)
9.25	ax	hak
9.251	adze	'bonderhak
9.26	break	(ce)'brexn
9.261	broken	ce'broxn
9.27	split	(ce)'špaltn
9.28	tear	(ce)'rajsn
9.29	flay, skin	šindn; 'paseven
9.31	rub, wipe	rajbn; višn
9.32	stretch	(ojs)štrekn; ('ojs)cijen
9.33	pull	cijen
9.34	spread out	('ojs)šprejtn; (ojs)lejgn
9.341	hang up	('uf)hengen
9.342	press	presn; kvečn; drikn
9.343	squeeze, wring	(ojs)kvečn; ('ojs)dringen; ('ojs)drejen
9.35	pour	gisn; šitn
9.36	wash	vašn
9.37	sweep	(ojs)kern
9.38	broom	bezem
9.422	tool	maxšer
9.43	carpenter	stolʸer
9.44	build	bojen
9.46	bore	'egbern; bojern
9.461	hollow out	(ojs)hojln
9.48	saw	zeg
9.49	hammer	hamer
9.5	nail	čvok; nogl
9.56	glue	klej
9.6	smith, blacksmith	šmid; kovalʸ
9.61	forge	šmidn; koven
9.62	anvil	kovadle
9.63	cast (metals)	(op)gisn
9.64	gold	gold
9.65	silver	zilber
9.66	copper, bronze	kuper; brondz
9.67	iron	ajzn
9.68	lead (noun)	blaj
9.69	tin, tinplate	cin; blex
9.71	potter	teper
9.72	mold (clay etc)	'furemen
9.73	clay	lejm
9.74	glass	gloz
9.75	weave, plait	vebn; flextn
9.76	basket	kojš; kojber; korb; košik
9.77	mat	rogože
9.771	rug	tepex; koc
9.78	netbag	neczak
9.79	fan (noun)	foxer
9.791	fan (vb)	fox(e)n
9.81	carve	šnicn
9.82	sculptor	skulʸptor
9.83	statue	statue
9.84	chisel	dlot, 'dolete
9.88	paint (noun)	moln
9.89	paint (vb)	farb
10.11	move	rirn zix
10.12	turn over	'iberdrejen (zix), 'iberkern (zix)
10.13	turn around	'ojsdrejen (zix); a'rumdrejen (zix)
10.14	wind, wrap	viklen
10.15	roll	kačen (zix), kajklen (zix)
10.16	drop (vb)	lozn faln; oplozn
10.17	twist	korčen
10.21	rise	(uf)hejbn zix
10.22	raise, lift	(uf)hejbn
10.23	fall	faln
10.24	drip	kapen
10.25	throw	varfn
10.252	catch (ball)	xapn
10.26	shake	šoklen; trejslen
10.32	flow	gisn zix; flisn
10.33	sink	zinken; 'untergejn
10.34	float	švimen
10.35	swim	švimen
10.351	dive	'untertunken zix, 'untertukn zix
10.352	splash	špricn; plʸušken
10.36	sail (vb)	forn mit a šif; zeglen
10.37	fly (vb)	flijen
10.38	blow	blozn
10.41	creep, crawl	krixn
10.412	kneel	knijen
10.413	crouch	ajnbejgn zix
10.42	slide, slip	gličn zix
10.43	jump, leap	špringen
10.431	kick	briken; drigen; kopen
10.44	dance	tancn
10.45	walk	gejn (cu fus)
10.451	limp	hinken
10.46	run	lojfn
10.47	go	gejn; forn
10.471	go up	arufgejn; arufforn
10.472	climb	(aruf)krixn
10.473	go down	aropgejn; aropforn
10.474	go out	arojsgejn; arojsforn
10.48	come	kumen
10.481	come back	cu'rikkumen; umkern zix
10.49	go away, depart	avekgejn; avekforn
10.491	disappear	farš'vundn vern; nelem vern
10.51	flee	ant'lojfn
10.52	follow	noxgejn; noxforn
10.53	pursue	noxgejn; noxlojfn
10.55	reach, arrive	dergejn; der'forn; 'onkumen
10.56	approach	cugejn; 'cukumen
10.57	enter	arajngejn; arajnforn
10.61	carry (bear)	trogn
10.612	carry-in-hand	trogn (in der hant)
10.613	carry-on-shoulder	trogn (afn aksl)
10.614	carry-on-head	trogn (afn kop)
10.615	carry-underarm	trogn (untern orem)
10.62	bring	brengen
10.63	send	šikn
10.64	lead (vb)	firn
10.65	drive	trajbn; firn; šo'firn
10.66	ride	rajtn; forn
10.67	push, shove	štupn; štojsn
10.71	road	veg
10.72	path	šteg; steške
10.74	bridge	brik
10.75	carriage, wagon, cart	karete; bojd; vogn; fur
10.76	wheel	rod
10.77	axle	aks
10.78	yoke	jox
10.81	ship	šif
10.83	boat	šifl; lotke
10.831	canoe	ka'nu
10.832	outrigger	
10.84	raft	plit; tratve
10.85	oar	vesle
10.851	paddle (noun)	ruder; 'lopete
10.852	row (vb)	rudern
10.86	rudder	kerme
10.87	mast	mastbojm
10.88	sail (noun)	zegl
10.89	anchor	anker
10.91	harbor, port	port; havn
10.92	land (vb)	aroplozn zix; landn
11.11	have	hobn
11.12	own, possess	farmogn
11.13	take	nemen
11.14	seize, grasp	(far)'xapn
11.15	hold	haltn
11.16	get, obtain	krign; bakumen; nemen; ajnšafn zix
11.17	keep, retain	(ba)'haltn; lozn ba zix; blajbn ba
11.18	thing	zax
11.21	give	gebn
11.22	give back	curikgebn; umkern
11.24	preserve, look after	(uf)hitn
11.25	save, rescue	'rateven; matsl zajn
11.27	destroy	xorev maxn; ceš'tern; fartilikn
11.28	harm, injure, damage	šatn; bejzs/šlexts ton
11.31	seek, look for	zuxn
11.32	find	gefinen; opzuxn
11.33	lose	far'lirn; onvern
11.34	release, let go	bafrajen; oplozn
11.43	money	gelt
11.44	coin	matbeje
11.51	rich	rajx
11.52	poor	orem; bedales
11.53	beggar	betler
11.54	avaricious, stingy	gajcik; žedne; karg
11.61	lend	lajen; borgn
11.62	borrow	lajen (ba); borgn (ba)
11.63	owe	zajn šuldik; kumen
11.64	debt	xojv
11.65	pay (vb)	coln
11.66	account, reckoning	xežbm; 'rexenung
11.69	tax, tribute	štajer; cindz
11.77	hire	onšteln
11.78	wages	sxires; ge'colt
11.79	earn	fardinen
11.81	buy	(ajn)kojfn; ('ajn)handlen
11.82	sell	far'kojfn; farhandlen
11.83	trade, barter	ojsbajtn; (far)'štexeven
11.84	merchant	sojxer
11.85	market (place)	mark
11.86	store, shop	krom; klejt; ge'velb
11.87	price	prajz; mekex
11.88	dear (costly, expensive)	tajer; kostik
11.89	cheap	volvl; bilik
11.91	share (distribute)	tejln
11.92	weigh	vegn
12.1	after	nox
12.11	behind	hinter
12.2	beside	lebn
12.3	down, below	a'rop; untn
12.4	before	far
12.41	front	fornt
12.5	inside, in	'ineveynik; in
12.6	outside	mi'xuc; in drojsn
12.7	under	unter
12.8	up, above	af; a'ruf; ojbn
12.11	place	ort
12.12	put	lejgn; šteln; zecn
12.13	sit	zicn
12.14	lie down	lejgn zix
12.15	stand	šteln zix
12.16	remain, stay	blajbn
12.17	remains, left overs	'iberblajbs
12.21	collect, gather	klajbn
12.212	pick up	uflkajbn; ufhejbn
12.213	pile up	onklajbn
12.22	join, unite	farejnikn
12.23	separate	optejln
12.232	divide	(op)tejln
12.24	open	'efenen
12.25	shut, close	far'maxn; cumaxn
12.26	cover	far'dekn; cudekn
12.27	hide, conceal	(far)ba'haltn
12.31	high	hojx
12.32	low	'niderik
12.33	top	'ejberšte; špic
12.34	bottom	'unteršte; dno
12.35	end	sof
12.352	pointed	špicik
12.353	edge	breg; ek
12.36	side	zajt
12.37	middle, center	mit(n); center
12.41	right (side)	rexts
12.42	left (side)	links
12.43	near (adv)	noent
12.44	far (adv)	vajt
12.45	east	mizrex
12.46	west	majrev
12.47	north	cofn
12.48	south	dorem
12.53	grow	vaksn
12.54	measure	mestn
12.541	span, fathom	klafter
12.55	large, big	grojs
12.56	small, little	klejn
12.57	long	lang
12.58	tall	hojx
12.59	short	kurc
12.61	wide, broad	brejt
12.62	narrow	eng
12.63	thick (in dimension)	grob
12.65	thin (in dimension)	din
12.67	deep	tif
12.68	shallow	plačik; plitke
12.71	flat	flax; plačik
12.73	straight	glajx
12.74	crooked	krum
12.75	hook	hok(n)
12.76	corner	vinkl
12.77	cross	cejlem
12.78	square	kva'drat
12.81	round	'kajlex(d)ik
12.82	circle	rod; krajz; kajlexl
12.83	sphere, ball	kajlex; balem
12.84	line	liɲe
12.85	hole	lox
12.92	like, similar	vi; glajx; enlex
12.93	change	bajtn
13.0	zero, nothing	(n)ulʸ; gorni(š)t
13.1	one	ejns
13.2	two	cvej
13.3	three	draj
13.4	four	fir
13.5	five	fin(e)f
13.6	six	zeks
13.7	seven	zibn
13.8	eight	axt
13.9	nine	najn
13.10	ten	cen
13.101	eleven	el(e)f
13.102	twelve	cvel(e)f
13.103	fifteen	fufcn
13.104	twenty	cvancik, cvoncik
13.105	hundred	hundert
13.106	thousand	tojznt
13.107	count	cejln
13.14	every, all	jeder; ale
13.15	much, many	a sax
13.16	more	mer; nox
13.17	little (quantity), few	vejnik; vincik
13.18	enough	genug
13.181	some	a bisl; 'etlexe; epes
13.19	multitude, crowd	ojlem; ha'mojn
13.21	full	ful
13.22	empty	lejdik
13.23	part, piece	tejl; štik(l)
13.24	half	halb; helft
13.33	alone, only	a'lejn; nor; blojz
13.34	first	eršt
13.35	last	lect
13.36	second	cvejt
