entry_id	trans_english	Tai_Khuen_Phonemic
1.53	moon	ʔiŋ.2 san.2; phɛn.2 lin.1 waj.3
1.54	star	tɔŋ.5 pha:.5
1.55	lightning	ta:.3 wan.1; pha.1 ʔa:.1-tit.5
1.56	thunder	lə:n.1; pha.1 can.3
1.57	lightning (as striking)	la:w.1
1.58	storm	pha:.5 mɛ:p.4
1.59	rainbow	pha:.5 hɔ:ŋ.5
1.61	light (noun)	se:ŋ.3 nan.1 mi:.2 kɔ:ŋ.6
1.62	darkness	pha:.5 pha:.2
1.63	shade, shadow	lɔm.1 lo:ŋ.3
1.64	dew	huŋ.1-haj.1 kin.3 nam.5
1.71	air	lɛ:t.2
1.72	wind	mɨ:t.4
1.73	cloud	ŋaw.1
1.74	fog	nam.5 mə:j.3
1.75	rain (noun)	ʔa:.1-ka:t.2
1.76	snow (noun)	lɔm.1
1.77	ice	me:k.4
1.78	weather	mə:j.3
1.81	fire	phɔn.3
1.82	flame (noun)	mə:j.3 hi.1-ma.1
1.83	smoke (noun)	nam.5 khɛŋ.3
1.84	ashes	ma:k.2 hɛp.1
1.841	embers	ʔa:.1-ka:t.2
1.851	burn (vb trans)	phaj.1
1.852	burn (vb intrans)	piaw.3 phaj.1
1.86	light, kindle, ignite	kwan.1
1.861	extinguish	khi:.6 taw.4
1.87	match (noun)	tha:n.2 phai.1 lɛ:ŋ.1
1.88	firewood	phaw.3; maj.6
1.89	charcoal	luk.5; maj.6
2.1	person, human being	sum.3 phaj.1
2.21	man (vs. woman)	mɔ:t.2
2.22	woman	kap.1 phaj.1; kap.1 khit.1
2.23	male	lo:.3
2.24	female	tha:n.2 maj.5
2.25	boy	xɔn.1; kon.1
2.251	young man (adolescent)	pu:.4 ca:j.1
2.26	girl	mɛ:.4 jiŋ.1
2.261	young woman (adolescent)	pu:.4
2.27	child	mɛ:.4
2.28	infant, baby	la.1-ʔɔn.2 ca:j.1
2.31	husband	ca:j.1 ba:w.2
2.32	wife	la.1-ʔɔn.2 jiŋ.1
2.33	marry	jiŋ.1 sa:w.3
2.34	marriage, wedding	la.1-ʔɔn.2
2.341	divorce	la.1-ʔɔn.2 nɔ:j.4
2.35	father	pho:.3; sa:.3-mi.1-ka.1
2.36	mother	me:.1; pha.1-ri.1-ja:.1
2.37	parents	kin.3 khɛ:k.2
2.38	married man	ka:n.3 kin.3 khɛ:k.2
2.39	married woman	pɛ:t.4
2.41	son	pɔ:.4
2.42	daughter	mɛ:.4
2.43	offspring (son or daughter)	pɔ:.4 mɛ:.4
2.44	brother	ca:j.1
2.444	older brother	na:ŋ.1
2.445	younger brother	lu:k.4 ca:j.1
2.45	sister	lu:k.4 jiŋ.1
2.454	older sister	cə:.5 sa:j.3
2.455	younger sister	pi:.4; nɔ:ŋ.5
2.456	sibling	pi:.4 ca:j.1
2.458	twins	nɔ:ŋ.5 ca:j.1
2.46	grandfather	pi:.4; nɔ:ŋ.5
2.461	old man	pi:.4 jiŋ.1
2.47	grandmother	nɔ:ŋ.5 jiŋ.1
2.471	old woman	pi:.4 nɔ:ŋ.5
2.48	grandson	pha:.3-phɛ:.3
2.49	granddaughter	pu:.2 ta:.3
2.51	uncle	khɔn.2 thaw.6 ca:j.1
2.511	mother's brother	ʔi.1-na:j.1
2.512	father's brother	khɔn.1 thaw.6 jiŋ.1
2.52	aunt	la:n.3 ca:j.1
2.521	mother's sister	la:n.3 jiŋ.1
2.522	father's sister	luŋ.1
2.53	nephew	na:.5; luŋ.1
2.54	niece	ʔa:.1; luŋ.1
2.55	cousin	pa:.6
2.56	ancestors	na:.5; pa:.6
2.57	descendants	ʔa:.1; pa:.6
2.61	father-in-law (of a man)	la:n.3 ca:j.1
2.611	father-in-law (of a woman)	la:n.3 jiŋ.1
2.62	mother-in-law (of a man)	pi:.4 nɔ:ŋ.5
2.621	mother-in-law (of a woman)	tɔn.6 cə:.5 sa:j.3
2.63	son-in-law (of a man)	sɨ:p.2 cə:.5 sa:j.3
2.631	son-in-law (of a woman)	pɔ:.4 pho:.3
2.64	daughter-in-law (of a man)	pɔ:.4 me:.1
2.641	daughter-in-law (of a woman)	mɛ:.4 pho:.3
2.71	stepfather	mɛ:.4 me:.1
2.72	stepmother	lu:k.4 khə:j.3
2.73	stepson	lu:k.4 khə:j.3
2.74	stepdaughter	lu:k.4 paj.5
2.75	orphan	lu:k.4 paj.5
2.76	widow	pɔ:.4 le:ŋ.5
2.77	widower	mɛ:.4 le:ŋ.5
2.81	relatives, kinsmen	lu:k.4 le:ŋ.5
2.82	family	lu:k.4 le:ŋ.5
2.91	I	lu:k.4 kam.2-pha:.5
2.92	you (singular)	mɛ:.4 ma:j.6
2.93	he/she/it	pɔ:.4 ma:j.6
2.94	we	ja:.1-ti.1-ka:.3 pi:.4 nɔ:ŋ.5
2.941	we (inclusive)	khɔn.1 hə:n.1 liaw.1 kan.3
2.942	we (exclusive)	xa:.6
2.95	you (plural)	caw.6
2.96	they	man.1; khaw.3
3.11	animal	haw.1
3.12	male (adj)	haw.1
3.13	female (adj)	mu:.2 haw.1
3.15	livestock	haw.1 sɔ:ŋ.3 khɔn.1; haw.1 sɔ:ŋ.3 khɔn.1
3.16	pasture	mu:.2 caw.6
3.18	herdsman	caw.6 taŋ.1 sɔ:ŋ.3
3.19	stable, stall	mu:.2 khaw.3
3.2	cattle (bovine)	sat.1
3.21	bull	ca:j.1; pu:.4
3.22	ox	jiŋ.1; mɛ:.4
3.23	cow	sat.1 le:ŋ.5
3.24	calf	le:ŋ.5 sat.1 ka:ŋ.3 tɔŋ.4
3.25	sheep	khɔn.1 le:ŋ.5 sat.1
3.26	ram	khɔ:k.4 sat.1
3.28	ewe	wo:.1 kwa:j.1
3.29	lamb	wo:.1 to:.3 pu:.4
3.32	boar	wo:.1; wo:.1 to:.3 pu:.4
3.34	sow	wo:.1 to:.3 mɛ:.4
3.35	pig	lu:k.4 wo:.1; lu:k.4 kwa:j.1
3.36	goat	kwa:j.1
3.37	he-goat	kɛ.1
3.38	kid	kɛ.1 to:.3 pu:.4
3.41	horse (equine)	kɛ.1 to.3 mɛ:.4
3.42	stallion	lu:k.4 kɛ.1; nə:.5 kɛ.1
3.44	mare	mu:.3 pa:.2 to:.3 pu:.4
3.45	foal, colt	mu:.3 pa:.2 to:.3 mɛ:.4
3.46	ass, donkey	mu:.3
3.47	mule	pɛ.5
3.5	fowl	pɛ.5 to:.3 pu:.4
3.52	cock, rooster	lu:k.4 pɛ.5
3.54	hen	ma:.5
3.55	chicken	ma:.5 to:.3 pu:.4
3.56	goose	ma:.5 to:.3 mɛ:.4
3.57	duck	lu:k.4 ma:.5 to:.3 pu:.4; lu:k.4 la:.1; lu:k.4 ma:.5; lu:k.4 la:.1
3.58	nest	la:.1
3.581	bird	lɔ:.6
3.582	seagull	sat.1 mi:.1 pi:k.2
3.583	heron	kaj.2 to:.3 pu:.4
3.584	eagle	mɛ:.4 kaj.2
3.585	hawk	kaj.2
3.586	vulture	ha:n.2
3.591	bat	pɛt.1
3.592	parrot	haŋ.1
3.593	crow	nɔk.5
3.594	dove	nɔk.5 na:ŋ.1 no:n.1
3.596	owl	nɔk.5 ka.1-sa:.3
3.61	dog	jiaw.2 jaj.2
3.614	rabbit	jiaw.2
3.62	cat	hɛ:ŋ.5
3.622	opossum	jiaw.2 to:.3 nɔ:j.5; wa:w.4
3.63	mouse, rat	ʔi.1-khum.4
3.65	fish	nɔk.5 kɛ:w.6
3.652	fin (dorsal)	ka:.3
3.653	fishscale	nɔk.5 tu:.6
3.654	gill	nɔk.5 ka:.3-kɛ:.3
3.655	shell	nɔk.5 kaw.5 mɛ:w.1
3.661	shark	nɔk.5 ka.1
3.662	porpoise, dolphin	nɔk.5 ʔɛn.2 pha:.5
3.663	whale	nɔk.5 juŋ.1
3.664	stingray	kaj.2 pha:.5
3.665	freshwater eel	ma:.3
3.71	wolf	pa:ŋ.3-ta:j.1
3.72	lion	lin.4
3.73	bear	sə:.3 lam.1
3.74	fox	sə:.3
3.75	deer	mɛ:w.1
3.76	monkey	hɛn.3
3.77	elephant	ʔi.1-cɔn.1 nɔ:j.5
3.78	camel	nu:.3
3.81	insect	pa:.3
3.811	louse	ki:p.4 laŋ.3
3.812	nit (louse egg)	kɛt.1 pa:.3
3.813	flea	ŋə:k.2 pa:.3
3.814	centipede	hɔ:j.3
3.815	scorpion	pu:.3
3.816	cockroach	kuŋ.6
3.817	ant	pa:.3 cha-la:m.3
3.818	spider	pa:.3 lo:.1-ma:.1
3.819	spider web	pa:.3 wa:n.1
3.82	bee	pa:.3 ka.2-bɛn.1
3.821	beeswax	pa:.3 je:n.2
3.822	beehive	ma:.3 thə:n.2
3.823	wasp	la:t.4-ca.2-si:.3; siŋ.3
3.83	fly	mi:.3
3.831	sandfly (midge), gnat	ma:.3 ciŋ.6-cɔ:k.2
3.832	mosquito	ʔi.1-cɔ:n.1 ha:ŋ.3 poŋ.1
3.84	worm	ʔi.1-wa:ŋ.2
3.85	snake	mɛn.4
3.91	firefly	na:k.4
3.92	butterfly	kwa:ŋ.3
3.93	grasshopper	pha:n.1
3.94	snail	wo:.1 thə:n.2
3.95	frog	ʔi.1-wɔ:k.4; ʔi.1-liŋ.1
3.96	lizard	ca:ŋ.5
3.97	crocodile, alligator	ŋo:ŋ.1 ca:ŋ.5
3.98	turtle	ʔu:t.2
4.11	body	mɛ:ŋ.1
4.12	skin, hide	haw.3; haw.3 cɔ:p.4 ju:.2 ti:.4 lap.1 khɔŋ.3 khɔn.1
4.13	flesh	khaj.2 haw.3
4.14	hair (head)	mat.1
4.142	beard	cak.1-khɛp.1
4.144	body hair	mɛ:ŋ.1 pɔŋ.2
4.145	pubic hair	mɛ:ŋ.1 sa:p.2
4.146	dandruff	mɔt.5
4.15	blood	koŋ.1-ka:w.3
4.151	vein, artery	jaj.1 koŋ.1-ka:w.3
4.16	bone	phɨŋ.6
4.162	rib	khi:.6 phɨŋ.6
4.17	horn	haŋ.1 phɨŋ.6
4.18	tail	tɔ:.2
4.19	back	po:k.2
4.191	spine	mɛ:ŋ.1 wan.1
4.2	head	mɛ:ŋ.1 hin.5; ma:k.2 hɛp.1
4.201	side of head, temple	juŋ.1
4.202	skull	mɔ:t.4
4.203	brain	nɔ:n.3 ka:p.2-be:.6
4.204	face	nɔ:n.3
4.205	forehead	mɛ:ŋ.1 to:.3 nɔ:j.5
4.207	jaw	cak.1-hi:t.2
4.208	cheek	cak.1-li:t.2
4.209	chin	piŋ.3
4.21	eye	ta:k.4
4.212	eyebrow	ŋu:.1
4.213	eyelid	ŋu:.1 lə:m.3
4.214	eyelash	hiŋ.2-hɔ:j.6
4.215	blink	ka:p.2-bə:.6
4.22	ear	cak.1-tɛ:n.3
4.221	earlobe	hɔ:j.3 ta:k.4
4.222	earwax	kɔp.1
4.23	nose	ʔi.1-cɔŋ.5-hə:n.1
4.231	nostril	lɛ:n.1
4.232	mucus (nasal)	tak.1-kɛ:.5
4.24	mouth	cak.1-khɛ:.1
4.241	beak	taw.2
4.25	lip	to:.3 tɔn.3
4.26	tongue	naŋ.3
4.27	tooth	nə:.5
4.271	gums	phɔm.3
4.272	molartooth	ka:ŋ.1 mɔ:j.3; no:t.2 pɛ.5
4.28	neck	khɔn.3
4.281	nape of neck	mɔ:j.3
4.29	throat	ha:k.4-kɛ:.1
4.3	shoulder	hə:.2
4.301	shoulderblade	lə:t.4
4.302	collarbone	sɛn.6 lə:t.4 lɛ:ŋ.1; sɛn.6 lə:t.4 lam.1
4.31	arm	sɛn.6 ʔɛn.1
4.312	armpit	lu:k.2
4.32	elbow	ʔɔ:k.2; khaj.3 lu:k.2
4.321	wrist	lu:k.2 khi.6 kha:ŋ.6
4.33	hand	khaw.3
4.331	palm of hand	ha:ŋ.3
4.34	finger	laŋ.3
4.342	thumb	lu:k.2 san.3 laŋ.3
4.344	fingernail	ho:.3
4.345	claw	ŋi:p.2
4.35	leg	lu:k.2 ho:.3
4.351	thigh	ʔɔ:k.2-ʔɔ.1
4.352	calf of leg	na:.6
4.36	knee	na:.6-pha:k.2
4.37	foot	lu:k.2 ka:ŋ.1
4.371	ankle	kɛ:m.6
4.372	heel	ka:ŋ.1
4.374	footprint	ta:.3
4.38	toe	kiw.5
4.392	wing	naŋ.3 ta:.3
4.393	feather	khɔn.3 ta:.3
4.4	chest	phɛp.5 ta:.3; li:.2 ta:.3
4.41	breast (of woman)	hu:.3
4.412	nipple, teat	tiŋ.2 hu:.3
4.42	udder	khi:.6 hu:.3
4.43	navel	laŋ.1
4.44	heart	hu:.1 laŋ.1
4.441	lung	khi:.6 mu:k.4
4.45	liver	sɔp.1; pa:k.2
4.451	kidney	sɔp.1 lɛ:m.3
4.452	spleen	phin.2 sɔp.1
4.46	stomach	lin.5
4.461	intestines, guts	xiaw.6
4.462	waist	ŋa:.1; ŋə:k.2
4.463	hip	xiaw.6 kaw.5
4.464	buttocks	khɔ:.1
4.47	womb	tɔn.6 khɔ:.1
4.49	testicle	khɔ:.1
4.492	penis	laj.2
4.51	breathe, breath	lu:k.2 ma:k.2 ba:.6 san.3 laŋ.3
4.52	yawn, gape	lu:k.2 laj.2
4.521	hiccough	khɛ:n.3
4.53	cough	kaw.5-hɛ:.5
4.54	sneeze	sɔ:k.2
4.55	perspire	khɔ:.6 mɨ:.1
4.56	spit	mɨ:.1
4.57	vomit	pha:.2 mɨ:.1
4.58	bite	niw.5
4.59	lick	ho:.3 mɨ:.1
4.591	dribble	lɛp.5
4.61	sleep	ʔun.6 lɛp.5 mɨ:.1
4.612	snore	kha:.3
4.62	dream	kaw.5 kha:.3
4.63	wake up	nɔŋ.4
4.64	break wind	khaw.2
4.65	urinate	tin.3
4.66	defecate	khɔ:.6 tin.3
4.67	have sexual intercourse	sɔn.6 tin.3
4.68	shiver	hɔ:j.1 kha.3; hɔ:j.1 tin.3
4.69	bathe	ho:.3 mɛ:.4 tin.3
4.71	beget (of father)	pi:k.2
4.72	born (to be)	khɔn.3
4.73	pregnant	ʔɔk.1
4.732	conceive	na:.6 ʔɔk.1; ʔuj.3; nɔm.1
4.74	live, living, life	ho:.3 ʔuj.3; ho:.3 nɔm.1
4.75	die, dead	ʔuj.3; taw.6 nɔm.1
4.751	drowned	sa:j.3 lɨ:.1
4.76	kill	ho:.3 caj.3
4.77	corpse	pɔ:t.2
4.78	bury (the dead)	tap.1
4.79	grave, tomb	taj.3
4.81	strong, mighty, powerful	ma:m.5
4.82	weak	nam.5 li:.1
4.83	well, health	na:.6 tɔŋ.5; pum.3
4.84	sick, sickness	tɔ:ŋ.5
4.841	fever	saj.6
4.842	goiter	ʔɛ:w.1
4.843	cold (catarrh)	kɔn.6 kɔp.1
4.85	wound, sore	kɔn.6
4.852	bruise	hu:.1 kɔn.6
4.853	swelling	hon.5
4.854	itch	ham.3
4.855	blister	khɛ:.1; ʔɔŋ.1-ka.5; lɨŋ.1
4.856	boil (noun)	hi:.3; jo:.1-ni:.1
4.857	pus	lɔm.1 ha:j.3 caj.3
4.858	scar	ha:w.3
4.86	cure, heal	sa-ʔɨn.6
4.87	physician	ʔaj.1
4.88	medicine, drug	ca:m.3
4.89	poison	hə:.2 ʔɔ:k.2
4.91	tired, weary	nam.5 la:j.1
4.912	rest	thɔm.2 nam.5 la:j.1
4.92	lazy	ha:k.4
4.93	bald	khɔp.1
4.94	lame	mɛ:p.4
4.95	deaf	le:.1
4.96	mute	jɔ:t.2; laj.3
4.97	blind	nɔ:n.1 lap.1
4.98	intoxicated	khɔn.3
4.99	naked, bare	phan.3
5.11	eat	luk.5
5.12	food	tɨ:n.2 nɔ:n.1
5.121	cooked	tɔŋ.5 piŋ.3; tɔt.1
5.122	raw	jiaw.4; tha:j.2 baw.1
5.123	ripe	khi:.6; tha:j.2 nak.1
5.124	green, unripe	sɔm.3 su:.2; sam.3 hi:.3
5.125	rotten	san.2
5.13	drink	ʔa:p.2 nam.5
5.14	hunger	hɛt.1 hɨ:.6 kə:t.2
5.141	famine	kə:t.2
5.15	thirst	hɨ:.6 kə:t.2
5.16	suck	tɔŋ.5 jaj.2
5.18	chew	tɔŋ.5 jaj.2
5.181	swallow	ci:.1-wit.1 (Pali)
5.19	choke	ta:j.3
5.21	cook	cɔm.3 nam.5 ta:j.3
5.22	boil (vb)	kha:.6; hɛm.3
5.23	roast, fry	khɔ:n.3 phi:.3
5.24	bake	phaŋ.3
5.25	oven	pa:.2 hew.5; lum.3 phi:.3
5.26	pot, cooking vessel	lan.1-kan.1; khɛŋ.3 hɛ:ŋ.1
5.27	kettle	baw.2 lan.1-kan.1; baw.2 khɛŋ.3 hɛ:ŋ.1
5.28	pan	ju:.2 li:.1
5.31	dish	baw.2 ju:.2 li:.1
5.32	plate	khaj.6
5.33	bowl	khɔ:.1 ne:ŋ.3
5.34	pitcher, jug	khaj.6 wat.1
5.35	cup, drinking vessel	lu.1 tɔŋ.5; tɔŋ.5 se:.3
5.36	saucer	cɛp.1 na:.2
5.37	spoon	ma:n.5
5.38	knife	pɔ:ŋ.1
5.39	fork	pɔ:ŋ.1; xan.1
5.391	tongs	tum.2
5.41	meal (a)	phi:.3; siw.3
5.42	breakfast	nɔ:ŋ.3
5.43	lunch	pɛn.3 hɔ:j.1
5.44	dinner	hak.1-sa:.3 (pali)
5.45	supper	mɔ:.3 ja:.1
5.46	peel	ja:.1
5.47	sieve, strain	ja:.1 pit.5
5.48	scrape	pɛn.3 pit.5; saj.2 ja:.1 pit.5
5.49	stir, mix	ʔon.6 mɔ:j.4
5.51	bread	jaŋ.5; phak.5
5.53	dough	khi:.6 kha:n.5
5.54	knead	la:n.5
5.55	meal, flour	kha:.3 pe:.3
5.56	crush, grind	hu:.3 no:k.2
5.57	mill	ŋa:w.4
5.58	mortar	ta:.3 bɔ:t.2
5.59	pestle	maw.1
5.61	meat	ka:j.4 pha:.6
5.63	sausage	kin.3
5.64	soup, broth	khɔŋ.3 kin.3
5.65	vegetables	kap.1 khaw.6
5.66	bean	lip.1
5.7	potato	suk.1
5.71	fruit	khiaw.3; baw.2 suk.1
5.712	bunch	naw.4; baw.2 li:.1
5.75	fig	kin.3
5.76	grape	ja:k.2
5.77	nut	ja:k.2 tɛ:.5 tɛ:.5; ʔɔt.1 ja:k.2
5.78	olive	khɔ:.1 hɛ:ŋ.6
5.79	oil	lu:t.2; cim.1
5.791	grease, fat	kiaw.5
5.81	salt	ʔɨ:n.2
5.82	pepper	khuk.1; kɛ:n.4
5.821	chili pepper	hɛt.1 phak.1
5.84	honey	tɔm.6
5.85	sugar	piŋ.6; cɨ:n.3
5.86	milk (noun)	ʔɔp.1
5.87	milk (vb)	taw.3
5.88	cheese	mɔ:.6
5.89	butter	mɔ:.6 ŋɔ:j.1
5.9	beverage, drink	mɔ:.6 kha:ŋ.3
5.91	mead	ca:n.3; pɛ:n.3
5.92	wine	ca:n.3; pɛ:n.3
5.93	beer	ʔa:ŋ.2
5.94	fermented drink	jə:k.2 nam.5
5.97	egg	kɛ:w.6
5.971	egg yolk	wa:n.2
6.11	put on (clothes)	cɔ:n.5
6.12	clothing, clothes	mi:t.4; pha:.5
6.13	tailor	cɔ:n.5 sɔ:m.6
6.21	cloth	kim.1
6.22	wool	ta:.2 khaw.6 phak.1
6.23	linen, flax	khaw.6 kiaw.5
6.24	cotton	khaw.6 tɔ:n.1
6.25	silk	khaw.6 lɛ:ŋ.1
6.27	felt	khaw.6 phaw.1
6.28	fur	pɔ:k.2 pə:k.2
6.29	leather	khɨŋ.3; kɔ:ŋ.1
6.31	spin	khu:t.2
6.32	spindle	lɔ:.1; sun.3
6.33	weave	khaw.6-mun.1 ca:ŋ.3
6.34	loom	khaw.6-phɔ:ŋ.1 saj.2 nam.5
6.35	sew	no:t.4; pan.6
6.36	needle	khaw.6-phɔ:ŋ.1
6.37	awl	tam.3; tam.3
6.38	thread	mɔ:.2
6.39	dye	hɨŋ.3
6.41	cloak	mɔ:.2
6.411	poncho	xɔk.5
6.42	woman's dress	kɛ:n.3
6.43	coat	nə:.5 sat.1
6.44	shirt	saj.6 lɔŋ.4 phik.5
6.45	collar	nam.5 kɛ:ŋ.3
6.46	skirt	phak.1
6.461	grass-skirt	tho:.2
6.48	trousers	khaw.4-min.5
6.49	stocking, sock	ho:.3 hɔ:m.3
6.51	shoe	ho:.3 bo:.2
6.52	boot	phik.5 phɔ:ŋ.3
6.54	shoemaker, cobbler	ŋa:.1
6.55	hat, cap	xiŋ.3
6.57	belt, girdle	tɛ:ŋ.3
6.58	glove	ma:k.2 khə:.3
6.59	veil	ma:k.2 ʔa:.1-lu:.1
6.61	pocket	ma:k.2 maj.5
6.62	button	pɔŋ.2 khɨn.6 ma:.1
6.63	pin	tɔn.6 maj.5 haj.1
6.71	ornament, adornment	ʔa.1-ŋun.2
6.72	jewel	tho:.2 pə:k.2 khɛŋ.3
6.73	ring (for finger)	tɔn.6 ma:k.2 kɔ:k.2
6.74	bracelet	nam.5 man.1
6.75	necklace	xaj.3 man.1
6.76	bead	pi:.1
6.77	earring	jɔ:m.3
6.78	headband, headdress	kə:.3
6.79	tattoo	phik.5 thaj.1
6.81	handkerchief, rag	phik.5 phɔ:ŋ.3
6.82	towel	nam.5 phɨŋ.6
6.91	comb	kə:.3 wa:n.3
6.92	brush	nɔm.1
6.921	braid	bi:p.2 nam.5 nɔm.1
6.93	razor	nə:j.1
6.94	ointment	nə:j.1
6.95	soap	khɔŋ.3 kin.3 pɛn.3 nam.5
6.96	mirror	law.6 nam.5 phɨŋ.6
7.11	dwell, live	law.6 ʔa.1-ŋun.2
7.12	house	piŋ.2-ja:.2
7.13	hut	law.6
7.131	garden-house	xaj.2
7.14	tent	xaj.2 lə:ŋ.3
7.15	yard, court	tɛ:ŋ.2 to:.3
7.16	men's house	saj.2 sə:.6 pha:.6
7.17	cookhouse	ca:ŋ.4 tat.1 sə:.6
7.18	meeting house	sə:.6 pha:.6
7.21	room	khɔn.3 kɛ:.1
7.22	door, gate	pa:n.2
7.221	doorpost, jamb	pha:j.6
7.23	lock (noun)	maj.3
7.231	latch, door-bolt	pha:.6 khɔn.3 sat.1
7.24	key	khɔn.3 sat.1
7.25	window	naŋ.3
7.26	floor	pan.2
7.27	wall	lɔ:t.2 pha:j.6
7.31	fireplace	tɔ:.1; sa:n.3; phə:.3
7.32	stove	hu:k.2; ca:k.4 tɔ:.1 pha:.6
7.33	chimney	jip.1 pha:.6
7.37	ladder	khɛm.3
7.42	bed	lɛk.1 ci:.1
7.421	pillow	la:j.6
7.422	blanket	jɔ:m.5 si:.3
7.43	chair	sə:.6 kut.5
7.44	table	khe:n.1 ho:.3
7.45	lamp, torch	sə:.6 mɛ:.4 jiŋ.1
7.46	candle	sə:.6 kut.5
7.47	shelf	sə:.6
7.48	trough	khɔ:.1 sə:.6
7.51	roof	ka:p.2-po:ŋ.1
7.52	thatch	ka:p.2-po:ŋ.1 ja:.6
7.53	ridgepole	te:w.2
7.54	rafter	pha:.6 kha:w.3 ma:.5
7.55	beam	xa:j.4
7.56	post, pole	khɛp.1
7.57	board	sɔk.1
7.58	arch	khɔn.1 hɛt.1 khɛp.1
7.61	mason	mo:k.2
7.62	brick	sa:j.3 ha:ŋ.4
7.63	mortar	thɔŋ.3 mɨ:.1
7.64	adobe	pha:.6 pɔk.5 na:.6
8.11	farmer	thɔŋ.3 sə:.6; thɔŋ.3 tiaw.2
8.12	field (for cultivation)	ma:k.2 tɔm.2
8.13	garden	khɛm.3 mut.5; khɛm.3 ma:t.2
8.15	cultivate, till	la:n.1 hu:.3
8.16	fence	khə:ŋ.4 jɔŋ.6
8.17	ditch	kɛ:w.6 sɛ:ŋ.3
8.21	plow	cɔ:p.2 mɨ:.1
8.212	furrow	wɛ:n.3 mɨ:.1
8.22	dig	sa:j.3 khɔ:.1
8.23	spade	jɔ:ŋ.6 phɔm.3
8.24	shovel	pi:.2 hu:.3
8.25	hoe	khe:n.1 ho:.3
8.26	fork	sak.1 mɨk.1
8.27	rake	pha:.6 cɛt.5 na:.6
8.31	sow	pha:.6 cɛt.5 to:.3
8.311	seed	wi:.3
8.32	mow, reap	wi:.3 phɔm.3; sa:ŋ.3
8.33	sickle, scythe	pi:.1
8.34	thresh	phə:.3
8.35	threshing-floor	mi:t.4 khu:t.2
8.41	crop, harvest	khi:.6 phɨŋ.6
8.42	grain (barley, oats etc)	nam.5 sak.5
8.43	wheat	wɛn.4; wɛn.4 kɛ:w.6
8.44	barley	ju:.2 cɔ:m.1
8.45	rye	hə:n.1
8.46	oats	tu:p.2
8.47	maize, corn	hə:n.1 naj.1 so:n.3
8.48	rice	pha:.6 ja:ŋ.1 muŋ.1
8.51	grass	xo:ŋ.2
8.52	hay	hə:n.1
8.53	plant (noun)	hə:n.1 phaj.1
8.531	plant (vb)	ti:.4 phɔm.5; ti:.4 cum.1 num.1 kan.3
8.54	root	so:m.6; khɔŋ.4
8.55	branch	pa.1-tu:.3
8.56	leaf	saw.3 pa.1-tu:.3
8.57	flower	baw.2 pɔ:.1 mi:.1
8.6	tree	sɛ:.4 pa.1-tu:.3
8.61	oak	ka:k.2-sɔ:.1
8.62	beech	pa.1-tu:.3 pɔŋ.2
8.63	birch	pɨ:n.5
8.64	pine	pha:.3
8.65	fir	taw.3 phaj.1
8.66	acorn	taw.1 phaw.3
8.67	vine	pɔŋ.2 phaj.1
8.68	tobacco	khan.6-laj.1
8.69	smoke (tobacco)	cɔ:ŋ.1 nɔ:n.1; ku:.2
8.691	pipe	mɔ:n.3
8.72	tree stump	pha:.6 hɔm.2
8.73	tree trunk	taŋ.2
8.74	forked branch	sa.2-pɔ:j.1; phə:n.3
8.75	bark	pha:ŋ.2 man.1
8.76	sap	te:n.1
