entry_id	trans_english	Hawaiian_Phonemic
10.44	dance	hula; hula-hula
10.45	walk	hele wāwae; hele
10.451	limp	ʔoʔopa; ʔopa; māʔopaʔopa
10.46	run	holo; hoholo; hoʔoholo; kaʔaholo
10.47	go	hele; hele aku; haele; uha-ele; uhele
10.471	go up	piʔi; piʔi aku
10.472	climb	piʔi
10.473	go down	iho; hele iho; hoʔo-ihona; hele i lalo
10.474	go out	
10.48	come	hele mai; mai; hiki mai; haele mai
10.481	come back	
10.49	go away, depart	hele i kahi ʔē; haʔalele; waiho
10.491	disappear	nalo; nalo-wale; nalohia; pio; hanini
10.51	flee	heʔe; ʔau-heʔe; mahuka
10.52	follow	hahai; ukali; alu-alu; maʔawe; kaukolu
10.53	pursue	
10.55	reach, arrive	hōʔea; hiki; kū; kau; loaʔa
10.56	approach	
10.57	enter	komo; hoʔo-komo
10.61	carry (bear)	hāpai; hiʔi; hali; paʔa; lawe
10.612	carry-in-hand	
10.613	carry-on-shoulder	hāʔawe
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	lawe mai; hō mai
10.63	send	hoʔoūna; kēnā; kiʔi; kauohas
10.64	lead (vb)	alakaʔi; kaʔi; kaʔi-kaʔi
10.65	drive	
10.66	ride	
10.67	push, shove	pahu
10.71	road	ala; ala-nui; ala hele
10.72	path	ala; ala hele
10.74	bridge	uwapo
10.75	carriage, wagon, cart	kaʔa
10.76	wheel	huila
10.77	axle	
10.78	yoke	
10.81	ship	moku; mokuahi; moku kia lua; kuna
10.83	boat	moku; waʔapā
10.831	canoe	waʔa
10.832	outrigger	
10.84	raft	
10.85	oar	hoe
10.851	paddle (noun)	hoe
10.852	row (vb)	hoe
10.86	rudder	hoe uli
10.87	mast	
10.88	sail (noun)	lā; peʔa
10.89	anchor	helēuma
10.91	harbor, port	awa; awa kū moku; uwapo
10.92	land (vb)	pae; lele; hoʔīli; hoʔoili
11.11	have	
11.12	own, possess	ponoʔī; kuleana
11.13	take	lawe; lawe aku; hopu
11.14	seize, grasp	hopu; ʔapo; hao; lālau; kāʔili
11.15	hold	paʔa; hoʔopaʔa
11.16	get, obtain	loaʔa
11.17	keep, retain	
11.18	thing	mea; kumu-hana
11.21	give	hāʔawi; hō
11.22	give back	
11.24	preserve, look after	
11.25	save, rescue	hoʔopakele; hoʔopalekana
11.27	destroy	luku; hoʔopau; hana make
11.28	harm, injure, damage	pohō; pōʔino; hōʔino-ʔino
11.31	seek, look for	ʔimi; huli; ʔimina; hulina
11.32	find	loaʔa
11.33	lose	nalo; nalo-wale; hoʔo-lilo
11.34	release, let go	
11.43	money	kālā kūʔike; kālā aupuni
11.44	coin	
11.51	rich	waiwai; lako; kūʔonoʔono
11.52	poor	ʔilihune
11.53	beggar	mākilo
11.54	avaricious, stingy	pī; puni kālā; ʔauʔa
11.61	lend	hōʔaiʔē; hāʔawi no ka manawa; haʔawi ʔaiʔē
11.62	borrow	
11.63	owe	ʔaiʔē
11.64	debt	ʔaiʔē
11.65	pay (vb)	uku; hoʔokaʔa
11.66	account, reckoning	
11.69	tax, tribute	ʔauhau; hoʔokupu; uku
11.77	hire	
11.78	wages	uku; uku hana
11.79	earn	loaʔa
11.81	buy	kūʔai; kūʔai mai
11.82	sell	kūʔai aku; kālepa; hoʔolilo
11.83	trade, barter	kālepa
11.84	merchant	kālepa
11.85	market (place)	mākeke
11.86	store, shop	hale kūʔai
11.87	price	kumu kūʔai; kālā
11.88	dear (costly, expensive)	pipiʔi; piʔi; nui ka hoʔolilo
11.89	cheap	emi; makepono
11.91	share (distribute)	hoʔomāhele-hele; hoʔolaha
11.92	weigh	kau paona; ana kaumaha
12.1	after	hope; mahope; muli; mamuli; pau
12.11	behind	hope; muli; ma ke kua
12.2	beside	ma; ma ka ʔaoʔao
12.3	down, below	lalo; i lalo; malalo; iho
12.4	before	mua; ʔē; alia; i ka wā mamua
12.41	front	alo; mua
12.5	inside, in	i; ma; i loko; maloko; i luna; maluna; wālua
12.6	outside	o waho; mawaho; kō waho; kūwaho
12.7	under	lalo; malalo; i lalo; malalo iho
12.8	up, above	ma-luna; luna; i luna
12.11	place	kahua; wahi; kāhi; kaha; kau-wahi; kūlana; lewa; haka
12.12	put	kau; waiho
12.13	sit	noho
12.14	lie down	kāmoe; momoe
12.15	stand	kū; kukū; kūlia
12.16	remain, stay	koe; noho loa; waiho
12.17	remains, left overs	koe; koena
12.21	collect, gather	ʔohi; hoʔāhu; hōʔiliʔili
12.212	pick up	ʔohi; ʔako
12.213	pile up	puʔu ahu; kuāhua; āhua; kuapapa; anuʔa; nuʔa; hoʔonuʔa
12.22	join, unite	pili; pili pū; hui; kuʔi; kāpili
12.23	separate	hoʔokaʔawale
12.232	divide	māhele; puʔunaue; ʔoki-ʔoki; hele-hele; kāʔana
12.24	open	hāmama; makili; mikili; nakili; hoʔomakili
12.25	shut, close	hoʔopaʔa; pani; paʔa
12.26	cover	uhi; pani; pale; wahī; poʔi; ʔomo
12.27	hide, conceal	hūnā; peʔe; hoʔonalo
12.31	high	kiʔe-kiʔe; loa; lōʔihi
12.32	low	lalo; haʔa; haʔa-haʔa; pē; pēpē; emi
12.33	top	wēkiu; piko; poʔo; wēlau; ʔēlau
12.34	bottom	kumu; mole; kō lalo loa, papakū, kāhi malalo
12.35	end	pau ʔana; panina; hope
12.352	pointed	wēlau; ʔēlau; welelau
12.353	edge	kaʔe; palena; lihi; nihi; kapa; peʔa; kihi; ni-ao; maka; kūkulu; huʔa; peʔa
12.36	side	ʔao-ʔao; kūkulu; paia; kapa
12.37	middle, center	waena; waena-konu; konu-waena; kiko-waena
12.41	right (side)	ʔākau
12.42	left (side)	hema
12.43	near (adv)	kokoke; pili
12.44	far (adv)	mamao; lilo loa
12.45	east	hikina
12.46	west	komohana
12.47	north	ʔākau
12.48	south	hema
12.53	grow	ulu; hoʔo-ūlu; kupu
12.54	measure	ana; hoʔāna; alapiʔi
12.541	span, fathom	anana
12.55	large, big	nui; nunui
12.56	small, little	iki; liʔi; liliʔi; liʔi-liʔi; ʔuku; ʔuʔuku
12.57	long	loa; loloa
12.58	tall	loa; loloa; kiʔe-kiʔe
12.59	short	pōkole; ʔekekeʔi; mūʔekekeʔi
12.61	wide, broad	laulā; ākea
12.62	narrow	lāʔiki; hāiki; hoʔohāiki
12.63	thick (in dimension)	mānoa-noa
12.65	thin (in dimension)	wīwī; emi; ʔōlala; ʔāʔaua; ʔaua; lahi
12.67	deep	hohonu; kū-hohonu; kūlipo
12.68	shallow	pāpaʔu; hāpapa
12.71	flat	pālaha-laha
12.73	straight	pololei; kālole
12.74	crooked	
12.75	hook	lou; loulou; kīlou; huka
12.76	corner	huina; kūʔono; kihi
12.77	cross	
12.78	square	huinahā; huinahā kaulike; kuea
12.81	round	poepoe; popohe; kūpoe-poe
12.82	circle	apo; ʔapo; pōʔai; pōhai; hoʔowili-wili; kuapo; pōʔaha; lina
12.83	sphere, ball	kinipōpō; pōpō pōkoʔa; pōka; poepoe
12.84	line	
12.85	hole	puka; poʔo; napoʔo; ʔāpoʔo-poʔo
12.92	like, similar	
12.93	change	loli; hoʔo-lilo; hoʔo-loli; huli
13.0	zero, nothing	ʔole
13.1	one	ʔekahi; ʔakahi; kahi
13.2	two	lua; ʔelua; ʔalua; kualua
13.3	three	kolu; ʔekolu; ʔakolu
13.4	four	hā; ʔehā; ʔahā; kāuna
13.5	five	lima; ʔelina; ʔalima
13.6	six	ono; ʔeono; ʔaōno
13.7	seven	hiku; ʔehiku; ʔahiku
13.8	eight	walu; ʔewalu; ʔawalu
13.9	nine	iwa; ʔeīwa; ʔaīwa
13.10	ten	ʔumi
13.101	eleven	ʔumi kūmākahi; ʔumi kuma-mākahi
13.102	twelve	ʔumi kūmālua; ʔumi kumamālua
13.103	fifteen	ʔumi kūmā-lima; ʔumi kumamā-lima
13.104	twenty	īwakālua
13.105	hundred	hanele; haneri
13.106	thousand	kaukani
13.107	count	helu; helu-helu; heluna
13.14	every, all	apau; pauloa; pau
13.15	much, many	nui; nunui; lau; mano; lehu; kini
13.16	more	hou; keu
13.17	little (quantity), few	kakaʔikahi; wahi; kekahi; ʔuʔuku; liʔi-liʔi
13.18	enough	lawa; nui; lawa puni; kaʔa-kaʔa-lawa
13.181	some	
13.19	multitude, crowd	lehu-lehu; pihana kanaka; anaina; pūʔulu
13.21	full	piha
13.22	empty	haka; haka-haka; ʔolo-haka; ukana ʔole
13.23	part, piece	ʔāpana; paukū; māhele; kuleana; haʔawina
13.24	half	hapa lua
13.33	alone, only	hoʔokahi wale nō; wale
13.34	first	mua; mua loa; ʔakahi...ā
13.35	last	hope; muli; nei; aku nei
13.36	second	
13.37	pair	lua; paʔa; papa lua; kaulua
13.38	two times	pālua; lua; ʔelua; ʔalua; ʔelua manawa
13.42	third	hapakolu; kolu
13.44	three times	
14.11	time	manawa; wā; au; hola
14.12	age	au; manawa; wā
14.13	new	hou; mea-hou; ʔano hou; malihini
14.14	young	ʔōpio; ʔōpio-pio
14.15	old	ʔāoʔo; oʔo; makule; kahiko
14.16	early	koke; mua; hiki mua; mikiʔala
14.17	late	lohi; hope; mahope; liʔu
14.18	now	i kēia manawa; ʔānō
14.19	immediately	koke; hiki-wawe; wawe
14.21	swift, fast, quick	ʔāwīwī; wiki-wiki; māmā; holo; koke; wawe; ʔeleu
14.22	slow	lohi
14.23	hasten, hurry	ʔāwīwī; ʔāwiki; hoʔowiki
14.24	retard, delay	lohi; kali; hoʔo-kali; ʔapa
14.25	begin, beginning	hoʔo-maka; hoʔo-kumu; maka hou
14.252	last, endure	
14.26	end (temporal)	
14.27	finish	hoʔopau; oki; hoʔōki
14.28	cease, stop	hoʔopau; hoʔokuʔu
14.29	ready	mākaukau
14.31	always	mau
14.32	often	pine-pine
14.33	sometimes	
14.331	soon	koke; auaneʔi; koe; eia aku
14.332	long-time (for a)	
14.34	never	ʔaʔole; ʔaʔole loa
14.35	again	hou
14.41	day	lā; ao
14.42	night	pō
14.43	dawn	ao; wanaʔao; kai-ao; moku ka pawa
14.44	morning	kakahiaka
14.45	noon, midday	awakea; kau ka lā i ka lolo
14.451	afternoon	ʔauinalā
14.46	evening	ahi-ahi; mōlehu
14.47	today	kēia lā
14.48	tomorrow	ʔapōpō
14.481	day-after-tomorrow	
14.49	yesterday	nehinei; inehinei
14.491	day-before-yesterday	
14.51	hour	hola
14.53	clock, timepiece	uwaki
14.61	week	pule
14.62	Sunday	lāpule
14.63	Monday	pōʔakahi
14.64	Tuesday	pōʔalua
14.65	Wednesday	pōʔakolu
14.66	Thursday	pōʔahā
14.67	Friday	pōʔalima
14.68	Saturday	pōʔaōno
14.71	month	mahina; malama
14.73	year	makahiki
14.74	winter	hoʔoilo
14.75	spring	
14.76	summer	kau; kau wela
14.77	autumn	
14.78	season	kau; wā; manawa
15.21	smell (vb intrans)	honi; honi-honi
15.212	sniff	
15.22	smell (vb trans)	
15.25	fragrant, good smelling	ʔaʔala; ona-ona; paoa; kūpaoa; māpu; moani
15.26	stinking, bad smelling	pilau; pilapilau; ʔōhono-hono; hauna; maea
15.31	taste	hoʔāʔo
15.35	sweet	momona
15.36	salty	
15.37	bitter	ʔawa; ʔawa-ʔawa
15.38	acid, sour	ʔawa; ʔawa-ʔawa; mala; malaia; mule-mule; ʔīʔī
15.39	brackish	
15.41	hear	lohe; hoʔolono
15.42	listen	lohe; hoʔo-lohe; hoʔo-lono
15.44	sound, noise	hana kuli; wā; wawā; kani
15.45	loud	
15.46	quiet, silence	mālie; hoʔomālie; hilu; wailana; malu
15.51	see	ʔike; nānā; maka; hiʔohiʔona
15.52	look, look at	nānā; nānā pono; kilo; hākilo
15.55	show	hōʔike; kuhi-kuhi
15.56	shine	mālamalama; ʔālohi-lohi; ʔōlino-lino; hulali; liko; ʔānapa-napa
15.57	bright	ʔalohi; ʔālohi-lohi; kōnane; ʔōlino; laʔe-laʔe
15.61	color	waihoʔoluʔu; kala
15.62	light (in color)	
15.63	dark (in color)	mākuʔe
15.64	white	keʔo-keʔo; kea
15.65	black	ʔele-ʔele; ʔele; pōʔele; pāʔele; uli-uli; hiwa; hiwa paʔa
15.66	red	ʔula; ʔula-ʔula; wena
15.67	blue	uli
15.68	green	ʔōmaʔo-maʔo; ʔōmaʔo; maʔo-maʔo
15.69	yellow	mele-mele; ʔōlena-lena
15.71	touch	hāhā; hāhā hele; hāpapa; pā; hoʔopā; pili
15.712	pinch	ʔiniki; ʔūmiʔi; ʔini-ʔiniki
15.72	feel	
15.74	hard	ʔoʔoleʔa; paʔa
15.75	soft	palu-palu; palu; nahe; nahe-nahe; hone
15.76	rough	hoʔolua; ʔālualua; ʔōkala; kala
15.77	smooth	malino; paheʔe
15.78	sharp	ʔoi; ʔāwini; ʔoiʔoi
15.79	blunt, dull	kūmūmū; mūmū
15.81	heavy	kaumaha; koʔi-koʔi
15.82	light (in weight)	māmā
15.83	wet, damp	maʔū; hoʔo-maʔū; kawaū; koʔū; paʔū; līhau; pulu; pulu pē; ʔelo
15.84	dry	maloʔo
15.85	hot	wela; hahana; iki-iki; wewela; wāwena
15.851	warm	mahana; pumehana
15.86	cold	anu; anu-anu; koʔe-koʔe; huʔi-huʔi
15.87	clean	maʔe-maʔe
15.88	dirty, soiled	hoʔolepo
15.89	wrinkled	mino-mino; ʔalu-ʔalu
16.11	soul, spirit	ʔuhane; wailua; akua
16.15	surprised, astonished	pūʔiwa; hoʔopūʔiwa; hoʔohaʔo-haʔo
16.18	good fortune, luck	pōmaikaʔi
16.19	misfortune, bad luck	pōʔino; pakalaki; moe waʔa
16.23	joyful, glad, happy	hauʔoli; lauleʔa; hoi-hoi; ʔoli; leʔa
16.25	laugh	ʔaka; ʔaka-ʔaka
16.251	smile	minoʔaka
16.26	play	pāʔani
16.27	love	aloha; ʔanoʔi; nipo; kāunu
16.29	kiss	honi
16.3	embrace	pūʔili; pūliki; ʔāpona; kūwili; apo
16.31	pain	ʔeha; huʔi; nalulu
16.32	grief, sorrow, sadness	kaumaha; kaniʔuhū; kūmakena; ʔū; luʔu-luʔu
16.33	anxiety, worry	hoʔopīhoi-hoi; pīhoi-hoi o ka naʔau
16.34	regret, be sorry	
16.35	pity	
16.37	cry, weep	uwē
16.38	tear (noun)	wai-maka
16.39	groan	nā; ʔū; uhū; kaniʔū
16.41	hate	ʔino; manaʔo ʔino; puʔuwai ʔeleʔele; ina-ina
16.42	anger	huhū; ina-ina; uki-uki; uluhua
16.44	envy, jealousy	lili; hūwā; nini; ʔōpū nini; manawahūwā
16.45	shame (noun)	hila-hila; waia
16.48	proud	hoʔokano; haʔaheo; haʔakei
16.51	dare	ʔaʔa; hoʔohoa
16.52	brave	koa; hoʔo-koa; wiwo ʔole
16.53	fear, fright	makaʔu; weli; weli-weli; wiwo; ʔeʔehia; pūʔiwa
16.54	danger	mea pōʔino; makaʔu
16.62	desire, want	make-make; ʔiʔini; ʔanoʔi; hia; make; ake; puni; ʔupu
16.622	choose	koho; hoʔo-koho; wae; hoʔowae; wae-wae
16.63	hope	manaʔolana; ʔupu; lana ka manaʔo
16.65	faithful	
16.66	true	ʔoiāʔiʔo
16.67	lie, tell lies	hoʔo-puni-puni; wahaheʔe; waha wale
16.68	deceit	
16.69	forgive	kala; hui-kala
16.71	good	maikaʔi
16.72	bad	maikai ʔole; ʔino; kolohe
16.73	right, correct	pololei; pono
16.74	wrong	
16.76	fault	hewa; hala; keʔe; kīnā
16.77	mistake, error	hewa; hala; paʔewa; kuhi-hewa; lalau
16.78	blame	
16.79	praise	mahalo; hoʔomaikaʔi; hoʔonani
16.81	beautiful	nani; uʔi; maikaʔi; makalapua
16.82	ugly	pupuka
16.83	greedy	ʔālunu; ʔānunu; nunu
16.84	clever	naʔauao
17.11	mind	manaʔo; waihona noʔo-noʔa; naʔau
17.13	think (= reflect)	manaʔo; noʔo-noʔo
17.14	think (= be of the opinion)	
17.15	believe	manaʔoʔiʔo; hilinaʔi
17.16	understand	maopopo; hoʔo-maopopo
17.17	know	ʔike
17.171	guess	koho; koho wale; mahuʔi
17.172	imitate	hoʔopili
17.18	seem	
17.19	idea, notion	manaʔo
17.21	wise	naʔauao; akamai
17.22	foolish, stupid	lolohi; leʔaleʔa ʔole; hoihoi ʔole; maluhi
17.23	insane, crazy	pupule; hehena; hewa-hewa; lōlō; hūpō; hepa
17.24	learn	aʔo; hoʔopaʔa; ʔimi naʔauao
17.242	study	hoʔopaʔa haʔawina
17.25	teach	aʔo; kula
17.26	pupil	haumāna
17.27	teacher	kumu; kumu aʔo; kumu kula
17.28	school	[kula]
17.31	remember	hoʔomanaʔo; hoʔomaopopo
17.32	forget	poina
17.34	clear, plain	moakaaka
17.35	obscure	
17.36	secret	mea huna; huna malū
17.37	sure, certain	maopopo loa
17.38	explain	
17.41	intention, purpose	
17.42	cause	
17.43	doubt	lā
17.44	suspect	
17.441	betray	
17.45	need, necessity	pono; kūpono
17.46	easy	hikiwale; maʔalahi
17.47	difficult	paʔakikī; hana nui
17.48	try, attempt	hoʔāʔo
17.49	way, manner	
17.51	and	ā
17.52	because	no; no ka mea; ma; i; ma o
17.53	if	inā; aia nō; i; ke
17.54	or	
17.55	yes, affirmative	ʔae; ʔē; ō; eō
17.56	no, negative	ʔaʔole; ʔole; hōʔole; ʔaʔohe
17.61	how?	pehea; pehea lā
17.62	how many?	
17.63	how much?	ʔehia?
17.64	what?	aha; he aha kēla?
17.65	when?	āhea?; ināhea?
17.66	where?	ai hea?; i hea?; aia i hea?; ʔauhea?
17.67	which?	hea?; ka mea hea?
17.68	who?	wai?; ʔo wai?; iā wai?
17.69	why?	aha; hea; no ke aha?
18.11	voice	leo
18.12	sing	mele; kani; leo; [melokia]
18.13	shout, cry out	kani; oho; ʔuwā; hoʔōho; kani ka pihe
18.15	whisper	hāwana-wana
18.16	mumble	namu-namu; kolo-kolo
18.17	whistle	hōkio; hōkiokio; pio
18.18	shriek, screech	pūʔalalā; alawī
18.19	howl	
18.21	speak, talk	ʔōlelo; ʔōlelo kūkā; walaʔau; kamaʔilio
18.211	stutter, stammer	ʔūʔū; māʔūʔū; ʔāʔā
18.22	say	ʔōlelo; haʔi; ʔī; wahi a; pēlā; mea mai
18.221	tell story	moʔolelo; kaʔao
18.222	speech (make a)	haʔi-ʔōlelo
18.23	silent (be)	hāmau; leo ʔole
18.24	language	ʔōlelo
18.26	word	ʔōlelo; huaʔōlelo; hua
18.28	name	inoa
18.31	ask (question, inquire)	nīnau; ui
18.32	answer	pane; hua loaʔa
18.33	admit, confess	mihi
18.34	deny	hōʔole; ʔole; hoʔo-nele
18.35	ask, request	noi; nonoi
18.36	promise	ʔōlelo-paʔa; ʔōlelo-hoʔohiki
18.37	refuse	
18.38	forbid	pāpā; hoʔokapu; hōʔole
18.39	rebuke, scold	nuku; keʔu; hoʔokekē niho; huhū
18.41	call (=summon)	hea; kāhea
18.42	call (=name)	hea; hea inoa; kapa; kāhea
18.43	announce	hōʔike; kūkala
18.44	threaten	
18.45	boast	kaena; haʔanui; liki; haʔakei
18.51	write	kākau; kākau lima
18.52	read	helu-helu
18.56	paper	[pepa]
18.57	pen	peni kila; penikala
18.61	book	[puke]
18.67	poet	haku mele
18.71	flute	ʔohe-kani; puhi ʔohe; ʔohe puluka; puluka
18.72	drum	pahu; ipu
18.73	horn, trumpet	pū; pū puhi; pū hoʔokani
18.74	rattle	koʔele; nakeke
19.11	country	ʔāina; ʔāina makua
19.12	one's native country	au-puni; lāhui
19.15	city, town	kūlanakau-hale; kaona
19.16	village	kauhale; kūlanakau-hale
19.17	boundary	palena; mokuna; ʔao-ʔao, kapa, lihi
19.21	people (populace)	poʔe; lāhui; lāhui kanaka; kānaka
19.23	tribe, clan	lāhui; ʔohana nui; ʔohana holoʔokoʔa; ʔalaea
19.24	chief, chieftain	aliʔi; lani; poʔo; luna; mua
19.25	staff, walking stick	koʔo-koʔo
19.31	rule, govern	hoʔomalu; noho aupuni; noho aliʔi
19.32	king, ruler	mōʔī; aliʔi kāne; kini; kiaʔāina; lani
19.33	queen	mōʔī wahine; aliʔi wahine; kuini
19.36	noble, nobleman	
19.37	citizen, subject	kupa; makaʔāinana
19.41	master	haku; kahu
19.42	slave	kauwā
19.43	servant	kanaka hana; kanaka lawe-lawe; wahine hana
19.44	freeman	
19.45	command, order	kauoha; kēnā; hoʔoūna
19.46	obey	lohe; hoʔolono; hoʔo-lohe
19.47	let, permit	
19.51	friend, companion	hoa; hoa-loha; kōkoʔolua
19.52	enemy	hoa paio; hoa kaua
19.54	neighbor	hoa noho; hoalauna
19.55	stranger	kanaka ʔē; haole; mai ka ʔāina ʔē mai; malihini; mea ʔē
19.56	guest	malihini kipa; mea i kono ʔia
19.57	host	haku hale; mea hoʔokipa
19.58	help, aid	kōkua; lawe-lawe lima
19.59	hinder, prevent	ālai; keʔa; hoʔokeʔa; hoʔo-kāpae
19.61	custom	
19.62	strife, quarrel	
19.63	conspiracy, plot	
19.65	meet	hui; hālāwai
19.72	prostitute	wahine hoʔokama-kama; wahine laikini
20.11	fight (vb)	hakakā; paio; kaua; moko-moko
20.13	war, battle	kaua; hoʔoūka kaua; paio
20.14	peace	malu; maluhia; laʔi
20.15	army	pūʔali; kaua
20.17	soldier	koa; pūʔali
20.21	weapons, arms	
20.22	club	lāʔau; lāʔau pālau; lāʔau mākaʔi; pālau; newa
20.222	battle-ax	
20.23	sling	maʔa
20.24	bow	pana; pana ʔiole; kīkoʔo
20.25	arrow	pua; pua pana
20.26	spear	ihe; ihe paheʔe; ihe ʔō; kao; hāpuna; ihe pakelo; pololū
20.27	sword	pahi kaua
20.28	gun, cannon	pū; pū kuni ahi
20.31	armor (defensive)	
20.33	helmet	ʔaʔahu a poʔo; mahiole
20.34	shield	pālulu; pale
20.35	fortress	
20.36	tower	ʔaleʔo; pūʔoʔa
20.41	victory	lanakila; eo
20.42	defeat	make; hoʔopio; holopapa; hōʔauheʔe; lilo; hāʔule
20.43	attack	
20.44	defend	pale; kūpale; ālai; ʔōlelo pale
20.45	retreat	
20.46	surrender	haʔawipio; hāʔulepio
20.47	captive, prisoner	lawe pio; hopu; paʔahao
20.471	guard, sentinel	kiaʔi; mea kiaʔi; mākaʔi; makaʔina; pale
20.48	booty, spoils	waiwai kaua; loaʔa
20.49	ambush	
20.51	fisherman	lawaiʔa
20.52	fishhook	makau; lou
20.53	fishing line	aho
20.54	fishnet	ʔupena
20.55	fish trap	
20.56	bait	maunu
20.61	hunt	hahai; ʔimi; hahai holo-holona
20.62	shoot	
20.63	miss (target)	hala; hewa
20.64	trap (noun)	ʔūmiʔi; ʔūpiki; pahele
20.65	trap (vb)	
21.11	law	kānāwai
21.15	court	ʔaha; ʔaha kaʔapuni
21.16	judge (vb)	hoʔokolo-kolo; luna kānāwai
21.17	judgment	ʔōlelohoʔoholo
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	hōʔike
21.24	swear	hoʔohiki
21.25	oath	hoʔohiki; ʔōlelo hoʔohiki; ʔōlele paʔa
21.31	accuse	
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	hewa
21.36	innocent	
21.37	penalty, punishment	hoʔopaʔi
21.38	fine	
21.39	prison, jail	hale paʔahao
21.42	murder	pepehi kanaka
21.43	adultery	
21.44	rape	puʔe; puʔe wale
21.46	arson	
21.47	perjury	
21.51	steal	wāwahi (hale ʔaihue); ʔaihue; pōwā
21.52	thief	ʔaihue
22.11	religion	hoʔomana; haipule
22.12	God	akua; makua; ʔau-makua
22.13	temple, church	hale pule; luakini; pule; heiau
22.14	altar	ahu; lele; kuahu; niʔo, unu
22.15	sacrifice, offering	mōhai; kaumaha; hai
22.16	worship	hoʔo-mana; haipule; pule
22.17	pray	pule
22.18	priest	kahuna; kahuna pule; kahu
22.19	holy, sacred	kapu; laʔa; ano; ʔihi
22.22	preach	haʔi-ʔōlelo; haʔi ʔeuanelio
22.23	bless	
22.24	curse	kūamu-amu; amu; ʔānai; ʔōlelo hōʔino
22.26	fast (vb)	hoʔokē ʔai
22.31	heaven	lani; papa lani; lewa; ao-ūli
22.32	hell	kehena; lua ahi; kiʔo ahi; pō
22.35	demon (evil spirit)	kiapolō; kepolō; akua; loko ʔino; lawehala
22.37	idol	kiʔi akua; kiʔi; akua
22.42	magic, witchcraft, sorcery	hoʔokalakupua; ʔanā-ʔanā; hoʔoūna-una; hana mana
22.43	sorcerer, witch	kahuna; kahuna ʔanāʔanā; kahuna hoʔopiʔo-piʔo
22.44	fairy, elf	
22.45	ghost, phantom	lapu; akua lapu; akua; ʔuhane
22.47	omen, portent	ʔōuli; hōʔailona
