entry_id	trans_english	Cofán_Phonemic
3.42	stallion	[kaβayo] kic̷aye
3.44	mare	[kaβayo] pɨše
3.45	foal, colt	[kaβayo]dɨʔšɨ
3.46	ass, donkey	[boro]
3.47	mule	--
3.5	fowl	arapaΦao
3.52	cock, rooster	[gayo]; arapã[gayo]
3.54	hen	arapa
3.55	chicken	arapa
3.56	goose	
3.57	duck	βakapi; ΦiΦiΦi
3.58	nest	c̷aoʔpa
3.581	bird	čʰiriria
3.582	seagull	
3.583	heron	βasaga
3.584	eagle	kõsĩ pĩdo
3.585	hawk	pĩdo
3.586	vulture	kʰõpana
3.591	bat	kic̷a; čĩbi-rakʰo
3.592	parrot	kʰačapa; pikori; tʰoΦi
3.593	crow	piβari ~ biβari; tõc̷a
3.594	dove	pʰɨpʰɨhɨʔčo
3.596	owl	poskõgo; posɨkõgo
3.61	dog	ãĩ
3.614	rabbit	koke [kokʸe]
3.62	cat	[mĩšĩ]
3.622	opossum	[karačopa]
3.63	mouse, rat	dɨšɨpa rãde; dɨšɨpa
3.65	fish	aβɨ
3.652	fin (dorsal)	sãkʰopa
3.653	fishscale	aβɨ c̷ɨpiri
3.654	gill	c̷ipʰoʔpo
3.655	shell	čoro
3.661	shark	
3.662	porpoise, dolphin	
3.663	whale	
3.664	stingray	šipare
3.665	freshwater eel	Φãbi
3.71	wolf	
3.72	lion	kɨβo tʰesi; tʰesi
3.73	bear	õkõmari
3.74	fox	pãdo; c̷ãpiʔsɨ ain
3.75	deer	šãʔkʰo
3.76	monkey	aʔčo; õgɨ; dɨye; aʔčo
3.77	elephant	
3.78	camel	
3.81	insect	
3.811	louse	sĩsĩ
3.812	nit (louse egg)	
3.813	flea	bĩši
3.814	centipede	šahasi
3.815	scorpion	tini
3.816	cockroach	šipikʰo
3.817	ant	aʔhɨ
3.818	spider	kʰayahɨ
3.819	spider web	kʰayahɨ c̷aoʔpa
3.82	bee	tɨɲo; tɨɲo nasi
3.821	beeswax	tɨɲo
3.822	beehive	tɨɲo
3.823	wasp	paʔtʰa
3.83	fly	tẽkẽʔčo [tẽkʸẽʔčo]; okɨ
3.831	sandfly (midge), gnat	tʰoc̷ɨ
3.832	mosquito	ãčã
3.84	worm	'iyoʔΦa
3.85	snake	iyo
3.91	firefly	tɨ̃bãba; tɨ̃ʔba
3.92	butterfly	tʰɨβi[y]a
3.93	grasshopper	tʰõbɨ
3.94	snail	čoro
3.95	frog	[sapo]; torõba
3.96	lizard	toΦa; ãpaširo; iβana
3.97	crocodile, alligator	βatoβa
3.98	turtle	čarapa; tarikaya; poka
4.11	body	aiʔβo; aiʔgo
4.12	skin, hide	tʰono
4.13	flesh	aɲaʔčo; na
4.14	hair (head)	tose
4.142	beard	'c̷ohĩʔba
4.144	body hair	'tosaʔβɨ
4.145	pubic hair	šodɨsɨʔčoʔsɨ tose
4.146	dandruff	
4.15	blood	ãhãpa
4.151	vein, artery	ãhãpaʔ-Φa
4.16	bone	c̷ɨʔtʰa; d͜zɨʔtʰa
4.162	rib	ɨtɨkʰɨ
4.17	horn	kãʔčo; õc̷iãʔkʰo
4.18	tail	ac̷eʔ-Φa
4.19	back	sepakʰo
4.191	spine	sẽtɨΦoʔčo
4.2	head	c̷oβe
4.201	side of head, temple	
4.202	skull	c̷oβeʔsɨ c̷ɨʔtʰa
4.203	brain	nãnãʔba
4.204	face	c̷oβeʔhɨ; kãbaʔhɨ
4.205	forehead	'kãbaʔhɨ
4.207	jaw	kʰotaiʔ-kʰo
4.208	cheek	tʰopopoʔ-čo
4.209	chin	gorɨʔčo
4.21	eye	c̷oʔΦe
4.212	eyebrow	biyoʔΦa
4.213	eyelid	
4.214	eyelash	biyoyoʔΦa
4.215	blink	c̷aʔpipi-ye
4.22	ear	c̷osina
4.221	earlobe	
4.222	earwax	
4.23	nose	'c̷oΦaʔtʰɨ
4.231	nostril	c̷oΦaʔtʰɨ čãgo
4.232	mucus (nasal)	'ãgiʔkʰo
4.24	mouth	'ayaʔΦa
4.241	beak	tʰetʰoʔčo
4.25	lip	'ayaʔΦa
4.26	tongue	mẽ'd͜zãd͜zaʔΦa
4.27	tooth	tʰeʔtʰo
4.271	gums	
4.272	molartooth	tʰeʔtʰo kašãbakʰɨ
4.28	neck	c̷iΦo
4.281	nape of neck	kataičo
4.29	throat	kɨ̃deΦa; c̷iΦo
4.3	shoulder	o'pipaʔčo
4.301	shoulderblade	para
4.302	collarbone	
4.31	arm	yasa; tiβe
4.312	armpit	šamãda-kʰɨ
4.32	elbow	'c̷ẽdiʔčo
4.321	wrist	'nẽbaʔčo
4.33	hand	tiβe
4.331	palm of hand	tiβe na-kʰɨ
4.34	finger	c̷imĩ'ãʔkʰo; d͜zimiãʔkʰo
4.342	thumb	koẽʔčo
4.344	fingernail	kic̷ikʰo; kic̷ɨikʰo
4.345	claw	kic̷ikʰo
4.35	leg	'tʰenãʔgo; c̷ɨʔtʰe
4.351	thigh	'tʰenãʔgo
4.352	calf of leg	sãʔkʰoa
4.36	knee	'c̷ɨtʰaʔčo
4.37	foot	c̷ɨʔtʰe; d͜zɨʔtʰe
4.371	ankle	Φinoʔčo
4.372	heel	sɨtɨkʰoʔčo
4.374	footprint	
4.38	toe	c̷ɨʔtʰe c̷imĩ'ãʔkʰo
4.392	wing	sãkʰopa
4.393	feather	tose; teʔta
4.4	chest	'ɨtɨʔčo
4.41	breast (of woman)	čo
4.412	nipple, teat	čo
4.42	udder	βaɨra čo
4.43	navel	si'oʔma
4.44	heart	ĩ'hamaʔčo
4.441	lung	c̷ʰoc̷ʰopa
4.45	liver	sãsã
4.451	kidney	seβačo
4.452	spleen	šĩʔkʰo
4.46	stomach	aʔma; tʰoʔpa
4.461	intestines, guts	tʰoʔpa; ti'Φočoʔpa
4.462	waist	
4.463	hip	c̷ĩbočoʔ-kʰo; c̷ĩbočo-kʰo
4.464	buttocks	kʰopatʰiʔ-kʰo
4.47	womb	tʰoʔpa
4.49	testicle	šõdɨsɨʔ-čo
4.492	penis	šoʔ-Φa
4.51	breathe, breath	kʰẽǰa-ye
4.52	yawn, gape	šaʔrɨ-ye; šarɨʔ-kʰo
4.521	hiccough	tɨkʰokʰoẽʔsɨ
4.53	cough	itʰotʰoʔčo
4.54	sneeze	hẽʔc̷ʰi
4.55	perspire	pɨipaʔsɨ
4.56	spit	bočʰikoe-ɲe; ačakʰɨ
4.57	vomit	'aʔhɨ-ye; aʔhɨpa
4.58	bite	c̷ai-ye
4.59	lick	beya-ye
4.591	dribble	aiča
4.61	sleep	'anã-ɲe
4.612	snore	kʰorɨrɨ-ye
4.62	dream	ayoʔo-ye
4.63	wake up	bitʰa-ye
4.64	break wind	sɨΦoropa hẽɲẽ
4.65	urinate	kɨ̃ǰi-ye; čʰoβi-ye
4.66	defecate	kʰoʔpa-ye; kʰopa
4.67	have sexual intercourse	piye; tãdãgeye
4.68	shiver	tʰɨʔdɨ̃dɨye; d͜ziβakʰo
4.69	bathe	õho-ɲe; õhoeɲe
4.71	beget (of father)	dɨʔsĩãɲe
4.72	born (to be)	isɨye; dɨʔsɨye
4.73	pregnant	sɨri; sɨriʔhe; nepia-ɲe
4.732	conceive	sɨriβẽdaye
4.74	live, living, life	kãse-ye; kʰẽǰaʔpa
4.75	die, dead	paye
4.751	drowned	kɨʔnõba paye; ãdekʰoeɲe
4.76	kill	Φiʔtʰi-ye
4.77	corpse	pa'čõbe-aiʔβo; ...-ʔye; ...-ʔɲe
4.78	bury (the dead)	aʔtɨye
4.79	grave, tomb	atɨʔtʰi
4.81	strong, mighty, powerful	kĩʔã
4.82	weak	ošãbi
4.83	well, health	
4.84	sick, sickness	pakeʔsɨ [pakʸesɨ]; pahiʔčo
4.841	fever	ahe
4.842	goiter	
4.843	cold (catarrh)	ãgiʔkʰo
4.85	wound, sore	iɲakaʔčo; iɲaka-ye
4.852	bruise	siʔma; siʔmaʔe da
4.853	swelling	pʰɨye
4.854	itch	'asapaʔo
4.855	blister	Φorokʰɨʔ-čo
4.856	boil (noun)	kʰomẽd͜zɨΦa
4.857	pus	tuikɨ
4.858	scar	kʰɨšaʔčo
4.86	cure, heal	seʔhe-ye; kʰɨšae-ɲe
4.87	physician	seheʔsɨ; [dotoro]
4.88	medicine, drug	seheʔpa
4.89	poison	seheʔpa
4.91	tired, weary	kĩbi-ye
4.912	rest	ɲoʔΦa-ye
4.92	lazy	noeʔsɨ
4.93	bald	čɨʔkʰoa c̷oβe; čɨhere
4.94	lame	kʰareše
4.95	deaf	c̷osinãbi
4.96	mute	sɨ̃bi
4.97	blind	bini
4.98	intoxicated	kʰɨsiaɲe; kʰɨsiye
4.99	naked, bare	čɨʔoko
5.11	eat	ãɲe
5.12	food	aɲaʔčo
5.121	cooked	šoʔkʰãẽʔčo
5.122	raw	čɨʔa
5.123	ripe	kɨʔčo; koeʔã
5.124	green, unripe	čɨre; ĩd͜zɨ
5.125	rotten	kõgõba
5.13	drink	kɨiʔye
5.14	hunger	kʰipoeʔsɨ
5.141	famine	kʰipoe'sɨ-itʰe
5.15	thirst	kʰipoeʔsɨ; c̷akʰeʔsɨ
5.16	suck	sɨc̷a-ye; sɨc̷ɨye; čočoye
5.18	chew	c̷eʔc̷e-ye
5.181	swallow	kɨ̃de-ye
5.19	choke	'kɨc̷a-ye
5.21	cook	šoʔkʰãẽ-ɲe
5.22	boil (vb)	otae-ɲe; goatʰiaɲe
5.23	roast, fry	mac̷ʰa-ɲe; šehečo-ye
5.24	bake	mac̷ʰa-ɲe
5.25	oven	
5.26	pot, cooking vessel	api; kãdero
5.27	kettle	
5.28	pan	šehečopakʰɨ
5.31	dish	apišoʔtʰo
5.32	plate	apišoʔtʰo
5.33	bowl	ičoroʔčo; kʰosɨ
5.34	pitcher, jug	api; [kãdero]; c̷oripa
5.35	cup, drinking vessel	[tasa]
5.36	saucer	
5.37	spoon	[kočara]
5.38	knife	'čʰičʰiʔkʰo
5.39	fork	[trĩči]
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	kʰeʔšoye
5.47	sieve, strain	oΦiye; oΦiΦiye
5.48	scrape	c̷ʰac̷ʰaye
5.49	stir, mix	ečʰoeɲe; ečʰoʔčoeɲe
5.51	bread	[pã]; kasaβe
5.53	dough	
5.54	knead	mãǰiye
5.55	meal, flour	[Φariɲa]
5.56	crush, grind	sɨ̃ʔdaye; sapiaɲe
5.57	mill	sɨ̃daʔčo; pʰɨʔpʰɨ sɨ̃daʔčo
5.58	mortar	
5.59	pestle	
5.61	meat	'aɲaʔčo; na
5.63	sausage	[bosiya] 'aɲãʔčo
5.64	soup, broth	yoʔkʰɨ
5.65	vegetables	
5.66	bean	seʔβa
5.7	potato	papa
5.71	fruit	na; teta-čo
5.712	bunch	
5.75	fig	--
5.76	grape	c̷aha
5.77	nut	
5.78	olive	
5.79	oil	yayaʔpa
5.791	grease, fat	'yayaʔpa
5.81	salt	ãsĩ
5.82	pepper	kʰoma
5.821	chili pepper	kʰoma
5.84	honey	kɨɲahɨ̃ʔčo
5.85	sugar	totoa kɨɲahɨ̃ʔčo
5.86	milk (noun)	čočo; βaɨra čočo
5.87	milk (vb)	čočoẽɲe
5.88	cheese	
5.89	butter	yayaʔpa
5.9	beverage, drink	kɨiʔkʰɨ
5.91	mead	
5.92	wine	[βĩno]
5.93	beer	[serβesa]
5.94	fermented drink	'c̷ec̷eʔpa; kɨnapeʔča
5.97	egg	dɨsɨʔ-čo
5.971	egg yolk	
6.11	put on (clothes)	õdikʰɨye; ehiaɲe
6.12	clothing, clothes	õdikʰɨʔ-he
6.13	tailor	
6.21	cloth	sarɨpa; kʰarapača
6.22	wool	[oβeha] tose
6.23	linen, flax	
6.24	cotton	šičʰa taʔβa
6.25	silk	[sera]
6.27	felt	
6.28	fur	tosepa tʰono
6.29	leather	tʰono
6.31	spin	siβãẽɲe
6.32	spindle	siβaẽʔčo
6.33	weave	ãšaɲe; otaʔtaye; ɨgaye
6.34	loom	ašẽʔkʰo
6.35	sew	ãčoe-ɲe
6.36	needle	nohaʔkʰo
6.37	awl	
6.38	thread	[iro]; sĩbaʔΦa; siβoʔΦa
6.39	dye	c̷ʰɨc̷ʰiãɲe
6.41	cloak	õdikɨʔhe
6.411	poncho	
6.42	woman's dress	[βata]
6.43	coat	
6.44	shirt	kõtõ
6.45	collar	
6.46	skirt	Φoɲo
6.461	grass-skirt	--
6.48	trousers	apečokʰɨ
6.49	stocking, sock	[meria]
6.51	shoe	[sapato]
6.52	boot	[bota]
6.54	shoemaker, cobbler	
6.55	hat, cap	õc̷iãkʰɨ
6.57	belt, girdle	ɨtɨkʰiʔ-Φa; čõbi
6.58	glove	
6.59	veil	
6.61	pocket	[bosa; bosiyo]
6.62	button	[bo'ton]
6.63	pin	ĩdiãʔčo
6.71	ornament, adornment	tetaʔkʰo
6.72	jewel	
6.73	ring (for finger)	[sotiha]
6.74	bracelet	teresaʔΦa; iβanatono
6.75	necklace	ãdɨʔpa; teʔta; tʰesi tʰeʔtʰo
6.76	bead	ãdɨʔpa
6.77	earring	c̷osina teʔta; e'hepaʔkʰo
6.78	headband, headdress	otiΦakʰɨ; yahe otiΦakʰɨ
6.79	tattoo	
6.81	handkerchief, rag	sarɨpa; [paɲero]
6.82	towel	
6.91	comb	sĩsĩtʰokʰo; Φɨčʰaye
6.92	brush	
6.921	braid	tose ɨɣaʔčo; ɨɣaye
6.93	razor	[naβaha]
6.94	ointment	pečãẽkeʔsɨ sehepa [pečãẽkʸeʔsɨ]
6.95	soap	[haβon]
6.96	mirror	kãkʰo
7.11	dwell, live	kãʔhẽɲe
7.12	house	c̷aʔo; etʰi
7.13	hut	c̷aokʰɨ
7.131	garden-house	
7.14	tent	sarɨpa c̷aʔo
7.15	yard, court	tʰɨkʰɨ
7.16	men's house	
7.17	cookhouse	sĩʔgema okeʔheʔčo
7.18	meeting house	boʔheʔtʰi
7.21	room	etʰikʰɨʔčo
7.22	door, gate	'sõboʔtʰi
7.221	doorpost, jamb	
7.23	lock (noun)	[yaβe]
7.231	latch, door-bolt	
7.24	key	[yaβe]
7.25	window	kãɲaʔhẽʔtʰi
7.26	floor	ãde; pʰapʰakʰo; asikʰo
7.27	wall	tʰɨʔčo; asikʰo tʰɨʔčo
7.31	fireplace	sĩʔgema okeʔheʔčo
7.32	stove	
7.33	chimney	--
7.37	ladder	kãčana
7.42	bed	ã'nahẽʔčo; ãna'hẽkʰɨ
7.421	pillow	asɨsɨʔčo
7.422	blanket	[koβiha]
7.43	chair	šetʰoʔčo
7.44	table	[mesa]
7.45	lamp, torch	tɨɲo; raparia
7.46	candle	sĩʔge; tɨɲo
7.47	shelf	
7.48	trough	šaβokʰɨ
7.51	roof	c̷aʔo
7.52	thatch	c̷aʔo opaẽʔčo
7.53	ridgepole	c̷aʔo sepakʰo
7.54	rafter	sẽbatʰaʔkʰo; otʰaẽʔΦa
7.55	beam	otʰaẽʔkʰo
7.56	post, pole	kiniʔkʰo; ǰaiɲaʔčo; čãʔhĩ
7.57	board	mesa
7.58	arch	
7.61	mason	
7.62	brick	[ladriyo]
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	nasipa
8.13	garden	
8.15	cultivate, till	aʔteɲe
8.16	fence	tʰɨʔčo; tʰɨye
8.17	ditch	c̷aʔkʰɨ haʔheʔčo
8.21	plow	
8.212	furrow	
8.22	dig	kã'šãẽ-ɲe; čãgoẽ-ɲe; paʔΦɨye
8.23	spade	
8.24	shovel	para
8.25	hoe	
8.26	fork	
8.27	rake	bɨ̃ʔbɨye
8.31	sow	gaiɲaɲe
8.311	seed	čo
8.32	mow, reap	taiye
8.33	sickle, scythe	
8.34	thresh	kʰeʔšoye
8.35	threshing-floor	
8.41	crop, harvest	taiyaʔčo
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	pʰɨʔpʰɨ
8.48	rice	[aro]
8.51	grass	šošoβi
8.52	hay	šošoβi sãba
8.53	plant (noun)	hõkeʔsɨ [hõkʸeʔsɨ]
8.531	plant (vb)	hõɲe
8.54	root	'sec̷aʔ-Φa
8.55	branch	tʰẽba
8.56	leaf	kʰakʰe; kʰakʰe-he
8.57	flower	teʔta; tetaʔ-čo
8.6	tree	kiniʔkʰo; kiniʔhĩ
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	oʔ-Φa
8.68	tobacco	kɨ̃ba
8.69	smoke (tobacco)	šõʔčaɲe
8.691	pipe	kãčĩba
8.72	tree stump	sec̷akʰɨ; tʰɨtʰɨʔčo
8.73	tree trunk	naʔhĩ
8.74	forked branch	ãʔkʰo
8.75	bark	tʰono; 'kiniʔkʰo tʰono
8.76	sap	'tɨ̃baʔkʰɨ
8.81	palm tree	õʔma; ka'nõgoʔčo
8.82	coconut	
8.83	citrus fruit	[rimoʔ]čo; [darãha]
8.84	banana tree	koye
8.85	banyan	--
8.91	sweet potato	kõgɨ; totoa keΦa; siã keΦa
8.912	yam	keΦa
8.92	tapioca, manioc, cassava	ãʔba
8.93	gourd	ičʰoroʔ-čo; kʰoa, kʰoʔa
8.931	pumpkin, squash	kʰoa; kʰoʔa
8.94	bamboo	kɨɣɨ
8.941	sugar cane	sɨc̷apaʔkʰo
8.96	fish poison (root)	seɲãʔba
8.97	nettle	ãkʰoʔsi
8.98	mushroom	sina; totoa sina
9.11	do, make	ɲõɲãɲe
9.12	work	semaɲe; βanaɲe
9.14	bend	Φɨriaɲe; Φɨriye
9.15	fold	õpãgoeɲe; Φɨriaɲe
9.16	tie, bind	tãda-ɲe; ɨɣa-ye
9.161	untie	asitʰaye
9.18	chain	[karena]
9.19	rope, cord	'sĩbaʔ-Φa
9.192	knot (noun)	tãdãʔ-čo
9.21	strike (hit, beat)	c̷ʰa-ye; c̷ʰaiye
9.211	pound with fist	c̷eʔc̷eye
9.22	cut	čʰiyi-ye; čʰatʰɨ-ye
9.221	cut down	tʰɨtʰɨye
9.222	chop, hew	čʰiyiye; kʰeraʔraye
9.223	stab	kikʰɨye
9.23	knife	'čʰičʰikʰo
9.24	scissors, shears	nosiẽʔkʰo; nosiãʔkʰo
9.25	ax	o'βakʰoʔčo
9.251	adze	oβakʰopa
9.26	break	ɨkʰaeɲe; ɨkʰaye
9.261	broken	ɨkʰaʔčo
9.27	split	doɲã-ɲe; 'c̷ʰeʔc̷ʰe-ye
9.28	tear	čitʰaye; tʰɨɲaɲe
9.29	flay, skin	kʰeʔšoye; kʰešoye
9.31	rub, wipe	šɨhɨ-ye
9.32	stretch	biaɲaɲe; katikʰɨye; sitʰakʰoye
9.33	pull	kʰic̷ʰa-ye
9.34	spread out	šekeye [šekʸeye]; šekiãɲe
9.341	hang up	dɨsia-ɲe
9.342	press	mãǰiye; pisaye
9.343	squeeze, wring	Φẽc̷ĩdẽɲe
9.35	pour	ošaye
9.36	wash	'maʔpʰã-ɲe...; kašiye; ohoeɲe
9.37	sweep	Φɨ̃dɨi-ye
9.38	broom	Φɨ̃dɨiʔ-si
9.422	tool	
9.43	carpenter	
9.44	build	ɲoɲaɲe; c̷aoʔɲaɲe
9.46	bore	poʔta-ye
9.461	hollow out	nakʰia-ɲe
9.48	saw	[siera]
9.49	hammer	[martiyo]
9.5	nail	[karaβo; kraβo]
9.56	glue	sec̷ẽkeʔsɨ [sec̷ẽkʸeʔsɨ]; tɨʔac̷ʰi
9.6	smith, blacksmith	--
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	kori
9.65	silver	kori-Φĩʔdi
9.66	copper, bronze	kɨʔa yošaβa
9.67	iron	yošaβa
9.68	lead (noun)	
9.69	tin, tinplate	[rata]
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	apiča
9.74	glass	kãkʰo
9.75	weave, plait	uɣaye
9.76	basket	saparo; otataʔkʰo
9.77	mat	pʰa'pʰakʰoma pʰai'ɲakieʔsɨ
9.771	rug	
9.78	netbag	'oʔβa
9.79	fan (noun)	ΦĩΦĩ-kʰo
9.791	fan (vb)	Φĩgiɲe
9.81	carve	Φegetʰoye
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	õhõẽkeʔsɨ [õhõẽkʸeʔsɨ]
9.89	paint (vb)	õhõẽɲe
10.11	move	oyeɲe; oyaye
10.12	turn over	pɨc̷ĩãɲe; asĩãɲe
10.13	turn around	piyiye; itoyeye; šokẽdiye
10.14	wind, wrap	õkʰãɲe; Φĩdiye
10.15	roll	mɨ̃c̷inoeɲe
10.16	drop (vb)	ãpʰĩã
10.17	twist	Φẽtẽdiaɲe; siβaeɲe
10.21	rise	ãsɨ̃deye
10.22	raise, lift	ãsɨ̃diaɲe; hãgiaɲe
10.23	fall	ãpʰi-ye; oseiye
10.24	drip	sɨ̃ʔdɨye; biʔc̷ʰaye
10.25	throw	tʰoβa-ye; katiye
10.252	catch (ball)	isɨye; tayoyeye
10.26	shake	Φãtʰɨ̃dɨye
