entry_id	trans_english	Yagua_Phonemic
4.312	armpit	numutõ-hari; numutõ-ho
4.32	elbow	disi; hase riwyasi
4.321	wrist	homutu mururya
4.33	hand	sa-homutu
4.331	palm of hand	nãy
4.34	finger	hanã
4.342	thumb	ntityũ hanã
4.344	fingernail	hasumuday; -ho
4.345	claw	hasumuday
4.35	leg	duse; muda
4.351	thigh	tudi
4.352	calf of leg	dusepude
4.36	knee	hadasi
4.37	foot	numutu
4.371	ankle	numutu (hu)wiči
4.372	heel	harosi
4.374	footprint	h(ũ)mu
4.38	toe	numutu hanã
4.392	wing	-hay nipyã
4.393	feather	-mũ hasi
4.4	chest	dutuy
4.41	breast (of woman)	hĩtyã
4.412	nipple, teat	hĩtyã-di; hĩtyãnrusi
4.42	udder	[woka] hĩtyã
4.43	navel	hĩčabo; hnčabo
4.44	heart	h(ũ)nũtyã; -hači
4.441	lung	sarĩtu
4.45	liver	hũwatu; hwatu
4.451	kidney	tãdsi
4.452	spleen	pãči
4.46	stomach	-pude; puniyẽ; wimu
4.461	intestines, guts	sikidi; -si
4.462	waist	kannu
4.463	hip	sa- tudi; muda-nĩsiy
4.464	buttocks	tidi; tudi; rudi
4.47	womb	wimu
4.49	testicle	h(i)misi; hme
4.492	penis	hapĩ
4.51	breathe, breath	nãrye; tiheyã
4.52	yawn, gape	hanãdayã
4.521	hiccough	sikiway; sikiweda
4.53	cough	piway; piweda
4.54	sneeze	hasiryĩway; hasiryĩweda
4.55	perspire	hãtãy
4.56	spit	hũto-či; toči; hũri
4.57	vomit	kotyanũy; hiyani; yani
4.58	bite	sũy; sũmutuy
4.59	lick	tanay
4.591	dribble	sita
4.61	sleep	mãy
4.612	snore	
4.62	dream	mãryĩsa; mãryĩsãda
4.63	wake up	hidyosi; hndyo
4.64	break wind	hiriyẽ; nãy
4.65	urinate	siwãy
4.66	defecate	kĩnãy
4.67	have sexual intercourse	-hĩ
4.68	shiver	mučutye
4.69	bathe	sa- hanãy
4.71	beget (of father)	detuču
4.72	born (to be)	rupay
4.73	pregnant	mudasi-
4.732	conceive	pĩrũy
4.74	live, living, life	wičasãda; wičãda; hnũyada
4.75	die, dead	di; ditya; diɲu
4.751	drowned	rũɲu
4.76	kill	hũway; hway; munu
4.77	corpse	sa- babi; dibi; didabi
4.78	bury (the dead)	hmuču; hĩmiču
4.79	grave, tomb	bapyo
4.81	strong, mighty, powerful	sura-; wanũrya
4.82	weak	diwãhnĩ; hantyu-
4.83	well, health	haryi; sami wičãda ratyĩ
4.84	sick, sickness	diwã; hũdiwã
4.841	fever	saduyada
4.842	goiter	piho
4.843	cold (catarrh)	hũsudi
4.85	wound, sore	wahyõ; watahõ
4.852	bruise	
4.853	swelling	karĩ; hasay; poy
4.854	itch	hũwara; mukatu
4.855	blister	pisičuy
4.856	boil (noun)	porya; rupã
4.857	pus	purya
4.858	scar	bahyõ
4.86	cure, heal	hdanu; mĩsani; ratyani
4.87	physician	hĩndanũ
4.88	medicine, drug	hĩndantã
4.89	poison	dityã; muntã; rãwã
4.91	tired, weary	diwãhnĩ
4.912	rest	hituy
4.92	lazy	piturya
4.93	bald	hnõ-tadi
4.94	lame	kanuyãra; kanuyãsi
4.95	deaf	tũyupuri
4.96	mute	wapuy; nikyehas-ã
4.97	blind	nĩsihyo; nĩsipiri
4.98	intoxicated	hniyũbi
4.99	naked, bare	sidya-wũ
5.11	eat	himyi; hmi
5.12	food	mičara; hbyeda
5.121	cooked	mutičĩ; mutičara
5.122	raw	hatya-
5.123	ripe	suduy-
5.124	green, unripe	hatya-
5.125	rotten	purya; pu-ɲu
5.13	drink	hatu
5.14	hunger	hačĩhada
5.141	famine	hačĩnu
5.15	thirst	hčũmũyada
