entry_id	trans_english	Tokharian_A_Phonemic
20.28	gun, cannon	
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	
20.42	defeat	
20.43	attack	
20.44	defend	
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	
20.471	guard, sentinel	pās-
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	
20.52	fishhook	
20.53	fishing line	
20.54	fishnet	
20.55	fish trap	
20.56	bait	
20.61	hunt	
20.62	shoot	
20.63	miss (target)	
20.64	trap (noun)	
20.65	trap (vb)	
21.11	law	märkampal
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	ram
21.24	swear	
21.25	oath	
21.31	accuse	
21.32	condemn	nāk-
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	
21.38	fine	
21.39	prison, jail	protäk
21.42	murder	
21.43	adultery	
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	kärk-
21.52	thief	lyäk
22.11	religion	
22.12	God	ɲkät
22.13	temple, church	
22.14	altar	
22.15	sacrifice, offering	talke
22.16	worship	winās-
22.17	pray	
22.18	priest	[ṣāmaṃ]
22.19	holy, sacred	
22.22	preach	āks-
22.23	bless	
22.24	curse	
22.26	fast (vb)	
22.31	heaven	
22.32	hell	[ɲare]
22.35	demon (evil spirit)	omäskeṃ, umpar
22.37	idol	
22.42	magic, witchcraft, sorcery	[räddhi]
22.43	sorcerer, witch	
22.44	fairy, elf	
22.45	ghost, phantom	[pret]; [yakäṣ]
22.47	omen, portent	
