entry_id	trans_english	Catuquina_Phonemic
6.921	braid	
6.93	razor	kɨni c̷aʔa-ti
6.94	ointment	poša-ti
6.95	soap	šaki-ti
6.96	mirror	βɨisi-ti
7.11	dwell, live	sana-t-
7.12	house	šoβo
7.13	hut	pɨšɨ
7.131	garden-house	pɨšɨ
7.14	tent	tari pɨšɨ
7.15	yard, court	wɨnɨ̃
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	kɨnɨ
7.22	door, gate	kɨpo-ti
7.221	doorpost, jamb	ṣ̌iʔo
7.23	lock (noun)	[kaṣ̌iato]
7.231	latch, door-bolt	tɨrɨʔa-ti
7.24	key	[čaβi]
7.25	window	hanõ-šõ oĩ-ti
7.26	floor	βɨka
7.27	wall	kɨnɨ
7.31	fireplace	
7.32	stove	mai pai-s-a-ʔata
7.33	chimney	koʔĩ i-ti
7.37	ladder	tɨkoš-ki-ti
7.42	bed	[kama]
7.421	pillow	hano βosɨka-ʔa-ti
7.422	blanket	ipo-ti
7.43	chair	βɨʔo-ti
7.44	table	[mesa]
7.45	lamp, torch	amo
7.46	candle	amo ošo
7.47	shelf	
7.48	trough	šašo
7.51	roof	šoβo pɨmana
7.52	thatch	pɨʔi
7.53	ridgepole	makɨ
7.54	rafter	kano
7.55	beam	tɨsɨka
7.56	post, pole	ṣ̌iʔo
7.57	board	hiwi kaškɨ
7.58	arch	--
7.61	mason	
7.62	brick	mički
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	[kampo]
8.13	garden	wai
8.15	cultivate, till	
8.16	fence	kɨnɨ
8.17	ditch	waka kaya-ti
8.21	plow	--
8.212	furrow	
8.22	dig	mai pokĩ-
8.23	spade	mai wɨʔa-ti
8.24	shovel	mai wɨʔa-ti
8.25	hoe	[enčado]
8.26	fork	
8.27	rake	mawɨ̃-ti
8.31	sow	wai βana-
8.311	seed	hɨšɨ
8.32	mow, reap	βimi a-
8.33	sickle, scythe	
8.34	thresh	βimi tii a-
8.35	threshing-floor	--
8.41	crop, harvest	mɨʔɨ βana
8.42	grain (barley, oats etc)	βimi
8.43	wheat	--
8.44	barley	--
8.45	rye	--
8.46	oats	--
8.47	maize, corn	šɨki
8.48	rice	βimi
8.51	grass	wasi
8.52	hay	--
8.53	plant (noun)	βana
8.531	plant (vb)	βana-
8.54	root	tapõ
8.55	branch	mɨβi
8.56	leaf	pɨʔi
8.57	flower	howa
8.6	tree	hiwi
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	hiči
8.68	tobacco	romɨ
8.69	smoke (tobacco)	romɨ a-ka-
8.691	pipe	
8.72	tree stump	hiwi βoro
8.73	tree trunk	hiwĩ kãyã
8.74	forked branch	hiwi tɨã
8.75	bark	hiwi šaka
8.76	sap	hiwi paʔɨ
8.81	palm tree	pĩṣ̌o; βinõ; kõta
8.82	coconut	kõta
8.83	citrus fruit	paʔisma
8.84	banana tree	mani
8.85	banyan	--
8.91	sweet potato	kari
8.912	yam	poa
8.92	tapioca, manioc, cassava	ac̷a
8.93	gourd	
8.931	pumpkin, squash	warã
8.94	bamboo	kora
8.941	sugar cane	tawa βata
8.96	fish poison (root)	aša
8.97	nettle	βakis
8.98	mushroom	čoamis
9.11	do, make	a-; šoβi-ma-
9.12	work	mɨʔɨ i-
9.14	bend	rõkɨ a-
9.15	fold	kato-
9.16	tie, bind	nɨša-; tɨskɨ-
9.161	untie	pɨka-
9.18	chain	[korrente]
9.19	rope, cord	ṣ̌oka rɨsβi
9.192	knot (noun)	šoko
9.21	strike (hit, beat)	rički-
9.211	pound with fist	ṣ̌aka-
9.22	cut	šatɨ-
9.221	cut down	rɨra-
9.222	chop, hew	rɨra-
9.223	stab	ṣ̌aṣ̌i-
9.23	knife	roɨ šɨta
9.24	scissors, shears	mapi
9.25	ax	roɨ
9.251	adze	nõti pokĩ-ti
9.26	break	toβa-
9.261	broken	toβi-ṣ̌-
9.27	split	pɨša-
9.28	tear	taras a-; taras i-
9.29	flay, skin	ṣ̌oraš a-
9.31	rub, wipe	toško-
9.32	stretch	awetã-; tee a-
9.33	pull	nini-
9.34	spread out	pɨta-βoʔã-
9.341	hang up	wɨõ-ʔinĩ-
9.342	press	tɨyo-
9.343	squeeze, wring	ṣ̌inĩ-
9.35	pour	oka-
9.36	wash	ṣ̌oa-
9.37	sweep	mac̷o-
9.38	broom	mac̷o-ti
9.422	tool	
9.43	carpenter	
9.44	build	... a-
9.46	bore	horo-
9.461	hollow out	pokĩ
9.48	saw	sɨno-ti
9.49	hammer	matoʔa-ti
9.5	nail	sɨo-ti
9.56	glue	tašna-ti
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	
9.65	silver	
9.66	copper, bronze	--
9.67	iron	
9.68	lead (noun)	[para]
9.69	tin, tinplate	tarã
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	mapo
9.74	glass	βɨisi-ti
9.75	weave, plait	šɨwa-
9.76	basket	koki
9.77	mat	pičĩ
9.771	rug	--
9.78	netbag	
9.79	fan (noun)	wɨkoʔa-ti
9.791	fan (vb)	wɨkoʔa-
9.81	carve	
9.82	sculptor	--
9.83	statue	--
9.84	chisel	hiwi pokĩ-ti
9.88	paint (noun)	pɨpoš-ti
9.89	paint (vb)	pɨpoš-
10.11	move	tɨki-
10.12	turn over	nasõ-kɨ-βoʔã-
10.13	turn around	pirõ
10.14	wind, wrap	rako-
10.15	roll	sɨβi-
10.16	drop (vb)	pakɨ-
10.17	twist	maya a-
10.21	rise	ni-ʔina; nɨʔɨ-ʔina
10.22	raise, lift	wakɨ-ʔinĩ-
10.23	fall	pakɨ-t-
10.24	drip	tois i-
10.25	throw	oriʔa-
10.252	catch (ball)	aṣ̌i-
10.26	shake	sakõ-
10.32	flow	ṣ̌iwi-
10.33	sink	nɨšti-
10.34	float	nono-t-
10.35	swim	nona
10.351	dive	morĩč i-
10.352	splash	towɨ̃-
10.36	sail (vb)	
10.37	fly (vb)	noya-
10.38	blow	šõa-
10.41	creep, crawl	mɨšo-
10.412	kneel	rãti pakɨ-t-
10.413	crouch	c̷ira i-ki βɨʔo-t-
10.42	slide, slip	taya-βaʔĩ-
10.43	jump, leap	niʔi-pakɨ-t-
10.431	kick	taʔɨ̃ rički-
10.44	dance	mono-t-
10.45	walk	ni-ʔa-kawã-
10.451	limp	hotɨ-t-
10.46	run	kaya-
10.47	go	ka-; βo-
10.471	go up	pai-ʔina; nɨʔɨ-ʔina-
10.472	climb	nɨʔɨ-ʔina
10.473	go down	ṣ̌oyo i-
10.474	go out	šaβa-kɨ ka-
10.48	come	ho-; βɨ
10.481	come back	ho-ʔo; βɨ-ʔo
10.49	go away, depart	ka-; βo-
10.491	disappear	
10.51	flee	kaya-; βɨokoʔo-
10.52	follow	haṣ̌õ-
10.53	pursue	ṣ̌iβã-
10.55	reach, arrive	noko-t-
10.56	approach	taβa ka-
10.57	enter	hiko-
10.61	carry (bear)	kaĩ-
10.612	carry-in-hand	toʔĩ-
10.613	carry-on-shoulder	ia-
10.614	carry-on-head	mai-
10.615	carry-underarm	βi-
10.62	bring	βi-βɨʔiã-
10.63	send	yono-
10.64	lead (vb)	ɨwɨ-βaʔĩ-
10.65	drive	ka-ma-
10.66	ride	mai-ʔina-
10.67	push, shove	šotõ-
10.71	road	βaʔi
10.72	path	βaʔi
10.74	bridge	βɨka tapã
10.75	carriage, wagon, cart	[karro]
10.76	wheel	[karro]-nõ taʔɨ
10.77	axle	
10.78	yoke	
10.81	ship	[wapo]
10.83	boat	nõ-ti
10.831	canoe	nõ-ti
10.832	outrigger	--
10.84	raft	tao
10.85	oar	
10.851	paddle (noun)	koya-ri-ti
10.852	row (vb)	towɨ̃-βaʔĩ-
10.86	rudder	--
10.87	mast	--
10.88	sail (noun)	--
10.89	anchor	--
10.91	harbor, port	nači-ti-namã
10.92	land (vb)	ṣ̌aṣ̌i-inĩ-
11.11	have	haʔa-
11.12	own, possess	iβoʔa-
11.13	take	βi-ʔã-
11.14	seize, grasp	aṣ̌i-
11.15	hold	yatã-
11.16	get, obtain	βi-
11.17	keep, retain	iβoʔa-
11.18	thing	hawɨ
11.21	give	ĩnã-
11.22	give back	ĩnã-ʔo-
11.24	preserve, look after	
11.25	save, rescue	
11.27	destroy	
11.28	harm, injure, damage	
11.31	seek, look for	
11.32	find	
11.33	lose	βɨno-
11.34	release, let go	pɨka-
11.43	money	kɨnɨ-
11.44	coin	
11.51	rich	honi-koĩnãka
11.52	poor	hawɨ-ʔo-s-ma
11.53	beggar	--
11.54	avaricious, stingy	yowači
11.61	lend	ĩnã-yo-
11.62	borrow	yoka-
11.63	owe	[deβiʔa-]
11.64	debt	
11.65	pay (vb)	kopi-ma-
11.66	account, reckoning	[konta]
11.69	tax, tribute	--
11.77	hire	mɨʔɨ i-ma-
11.78	wages	ɨa kopi-
11.79	earn	kopi-
11.81	buy	βi-
11.82	sell	hɨnɨ-
11.83	trade, barter	kopi-ʔina-
11.84	merchant	[hikatão]
11.85	market (place)	--
11.86	store, shop	[loǰa] (?) [loya]
11.87	price	-tiʔi kɨnɨ
11.88	dear (costly, expensive)	kɨnɨ-koĩnãka
11.89	cheap	kɨnɨ-maʔã
11.91	share (distribute)	nokɨ kɨyo-kĩ ĩnã-
11.92	weigh	wɨtã-
12.1	after	ṣ̌ipo
12.11	behind	ṣ̌ipo
12.2	beside	-ʔori
12.3	down, below	waka-ʔori
12.4	before	βɨβo
12.41	front	βɨβo
12.5	inside, in	naki
12.6	outside	šaβɨ-kɨ
12.7	under	tɨro
12.8	up, above	mana-ʔori; maṣ̌i
12.11	place	šaβa
12.12	put	βɨʔõ-; rakã-; sanã-
12.13	sit	βɨʔo-t
12.14	lie down	raka-ʔina-
12.15	stand	ni-
12.16	remain, stay	nɨno-s-
12.17	remains, left overs	tɨšɨ
12.21	collect, gather	topi-
12.212	pick up	topi-
12.213	pile up	kãṣ̌i-; sanã-
12.22	join, unite	tašna-
12.23	separate	paška-
12.232	divide	paška-βɨkoĩ-
12.24	open	βɨpɨ̃-
12.25	shut, close	kɨpo-
12.26	cover	ipo; βɨtaš-
12.27	hide, conceal	honɨ-šo-
12.31	high	okɨ
12.32	low	okɨ-ma
12.33	top	mãkaʔĩ
12.34	bottom	taʔɨ
12.35	end	ṣ̌ipõ; rɨβo
12.352	pointed	kɨno-ʔata
12.353	edge	kɨša; kɨwã
12.36	side	-ri; -ʔo-ri
12.37	middle, center	naki-koĩ
12.41	right (side)	mɨki-ʔo-ri
12.42	left (side)	pɨšmi-ʔo-ʔri
12.43	near (adv)	ora-ma
12.44	far (adv)	tokɨ-
12.45	east	βari sana-ʔina-kiri
12.46	west	βari pakɨ-t-aʔi-kiri
12.47	north	
12.48	south	
12.53	grow	yosi-ṣ̌-
12.54	measure	tana-
12.541	span, fathom	
12.55	large, big	ani-pa
12.56	small, little	ṣ̌ã-pičṣ̌a
12.57	long	kɨya-pa
12.58	tall	kɨya-pa
12.59	short	toko-pičṣ̌a
12.61	wide, broad	našβa
12.62	narrow	našβa-ma
12.63	thick (in dimension)	kɨβi-
12.65	thin (in dimension)	kɨmi-ma
12.67	deep	okɨ
12.68	shallow	okɨ-ma
12.71	flat	c̷ãpa
12.73	straight	mɨki-pa
12.74	crooked	rõkɨ
12.75	hook	
12.76	corner	
12.77	cross	šanɨ̃ hiwi
12.78	square	c̷ãtɨ
12.81	round	toro
12.82	circle	toro
