entry_id	trans_english	Tlingit_Phonemic
2.46	grandfather	-léelkˀʷ; -áali
2.461	old man	
2.47	grandmother	-léelkˀʷ; -áali
2.471	old woman	
2.48	grandson	-dačx̣án
2.49	granddaughter	-dačx̣án
2.51	uncle	
2.511	mother's brother	-káak
2.512	father's brother	-sáni
2.52	aunt	
2.521	mother's sister	-tláakˀʷ
2.522	father's sister	-aat
2.53	nephew	-kéilkˀ; -káalkˀʷ
2.54	niece	
2.55	cousin	
2.56	ancestors	-šagóon
2.57	descendants	
2.61	father-in-law (of a man)	-wóo
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	-čaan
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	
2.641	daughter-in-law (of a woman)	
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	
2.76	widow	l sˀaati šaawát
2.77	widower	
2.81	relatives, kinsmen	-een aa
2.82	family	
2.91	I	x̣át
2.92	you (singular)	wa.é
2.93	he/she/it	hú/ hú/ á
2.94	we	uháan
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	
2.96	they	hás
3.11	animal	
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	
3.16	pasture	
3.18	herdsman	wanadóo latíni
3.19	stable, stall	
3.2	cattle (bovine)	
3.21	bull	
3.22	ox	
3.23	cow	wasóos
3.24	calf	-saayee
3.25	sheep	wanadóo
3.26	ram	
3.28	ewe	
3.29	lamb	wanadóo yádi
3.32	boar	
3.34	sow	
3.35	pig	gišoo, gušoo
3.36	goat	tawéi
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	gawdáan
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	gawdáan yádi
3.47	mule	
3.5	fowl	
3.52	cock, rooster	
3.54	hen	
3.55	chicken	
3.56	goose	ḳín
3.57	duck	gáaxʷ
3.58	nest	kút; dli-kˀʷátˀ
3.581	bird	c̷ˀíc̷kʷ; c̷ˀac̷ˀée
3.582	seagull	kéidladi; kootlˀéitˀaa
3.583	heron	láx̣ˀ
3.584	eagle	čˀáakˀ
3.585	hawk	šaayáal
3.586	vulture	
3.591	bat	
3.592	parrot	
3.593	crow	c̷ˀaxʷeil
3.594	dove	gusˀyé kindačooneidí
3.596	owl	d͜získˀʷ, c̷ískˀʷ; kˀákʷ; tlénxˀ šx̣ˀaneit; x̣éex̣
3.61	dog	keitl
3.614	rabbit	g̣áx̣
3.62	cat	dóoš
3.622	opossum	
3.63	mouse, rat	kag̣áak; kuc̷ˀeen
3.65	fish	
3.652	fin (dorsal)	
3.653	fishscale	-kaǰeig̣í, -ǰeig̣í
3.654	gill	-xˀéixú
3.655	shell	xáak
3.661	shark	tóosˀ
3.662	porpoise, dolphin	čeeč; ḳˀaan
3.663	whale	yáay; kéet
3.664	stingray	
3.665	freshwater eel	lóotˀ
3.71	wolf	g̣ooč
3.72	lion	haadaa g̣ooǰí
3.73	bear	sˀeek; xóoc̷; sˀuḳkasdúk, c̷eeneit; hintak xóod͜zi; sítˀ tuxóod͜zi
3.74	fox	naag̣asˀéi
3.75	deer	g̣uwakaan, ḳuwakaan
3.76	monkey	aan daat kanahík
3.77	elephant	
3.78	camel	
3.81	insect	at kanas.aadí
3.811	louse	wéisˀ
3.812	nit (louse egg)	
3.813	flea	tíx; teex; d͜zi-teex
3.814	centipede	atxaayí
3.815	scorpion	
3.816	cockroach	
3.817	ant	wanatíx, wanatóox
3.818	spider	c̷ˀawkaat, c̷ˀankʷaat; at kanas.aadí
3.819	spider web	c̷ˀawkaat kasneiyí
3.82	bee	gandaasˀaaǰí
3.821	beeswax	
3.822	beehive	gandaasˀaaǰí kúdi
3.823	wasp	
3.83	fly	neil yee táaxˀayi
3.831	sandfly (midge), gnat	
3.832	mosquito	táaxˀaa
3.84	worm	tlˀúkˀx̣
3.85	snake	lˀutˀtláaḳ
3.91	firefly	
3.92	butterfly	
3.93	grasshopper	
3.94	snail	táax̣ˀ
3.95	frog	xíxčˀ
3.96	lizard	c̷eenx̣ˀé
3.97	crocodile, alligator	
3.98	turtle	tanóoxˀ, kanóoxˀ
4.11	body	
4.12	skin, hide	-čˀáatwu; -dook; -doogú
4.13	flesh	-daadleeyí
4.14	hair (head)	-šax̣aawú; x̣aaw; ša-d͜zi-x̣aaw
4.142	beard	
4.144	body hair	daa-d͜zi-x̣aaw
4.145	pubic hair	
4.146	dandruff	-kéilˀ
4.15	blood	-šeiyí
4.151	vein, artery	-téetˀi
4.16	bone	-sˀaag̣í
4.162	rib	-sˀóog̣u
4.17	horn	-šeidí; šéidee
4.18	tail	-lˀeedí; -koowú
4.19	back	-díx̣, -déx̣ˀ
4.191	spine	
4.2	head	-šá; -lakˀéečˀ; -lakˀeečˀ kóog̣u
4.201	side of head, temple	-yatˀákʷ
4.202	skull	-šaláx̣ˀ
4.203	brain	-tlag̣eiyí
4.204	face	-yá; -wá
4.205	forehead	-káakˀ
4.207	jaw	-x̣ˀásˀ
4.208	cheek	-wáš, -wašká; -waštú
4.209	chin	-téey
4.21	eye	-waaḳ
4.212	eyebrow	-sˀéi, -sˀee
4.213	eyelid	
4.214	eyelash	-waḳx̣ˀax̣éix̣u, -wax̣ˀax̣éix̣ˀu
4.215	blink	lˀook; lˀeek
4.22	ear	-gúk
4.221	earlobe	
4.222	earwax	
4.23	nose	-lú; -lutˀaaḳ; -lugóočˀ
4.231	nostril	-lutú
4.232	mucus (nasal)	
4.24	mouth	-x̣ˀé; -laká
4.241	beak	-loowú
4.25	lip	
4.26	tongue	-lˀóotˀ
4.27	tooth	-oox̣
4.271	gums	
4.272	molartooth	
4.28	neck	-lidíx̣ˀ, -ldˀíx̣ˀ
4.281	nape of neck	
4.29	throat	-leitóox̣
4.3	shoulder	-x̣ikšá
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	-ǰig̣ei, -čg̣ei; -x̣eek
4.312	armpit	-éenyee
4.32	elbow	-tˀeey, -tˀeey šú
4.321	wrist	-ǰiklixˀéesˀ
4.33	hand	-ǰín; -ǰikóol, -čkóol; -ǰiwán, -čwán
4.331	palm of hand	-ǰintáak; ǰintakyádi
4.34	finger	-tlˀeeḳ, -tlˀeiḳ
4.342	thumb	-gooš
4.344	fingernail	-x̣aakʷ
4.345	claw	-x̣aagú
4.35	leg	-x̣ˀoos; xéesˀ
4.351	thigh	-g̣ác̷
4.352	calf of leg	
4.36	knee	-keey; -keey šá
4.37	foot	-x̣ˀoos
4.371	ankle	-šutóox̣ˀ
4.372	heel	-x̣ˀeitákʷ
4.374	footprint	-x̣ˀus.eetí
4.38	toe	-x̣ˀustlˀeeḳ; -x̣ˀus-gooš
4.392	wing	-kíǰi
4.393	feather	tˀaaw; x̣ˀʷáalˀ
4.4	chest	-wóow, -woowká
4.41	breast (of woman)	-lˀaa; -xeitká
4.412	nipple, teat	
4.42	udder	
4.43	navel	-kool; -taanwú; -táani
4.44	heart	-téix̣ˀ
4.441	lung	-keigú
4.45	liver	-tlˀóog̣u
4.451	kidney	
4.452	spleen	
4.46	stomach	-yoowú; -x̣ˀóolˀ; -yoowˀá
4.461	intestines, guts	-naasí
4.462	waist	-kasán
4.463	hip	
4.464	buttocks	-g̣ác̷; -kˀí
4.47	womb	
4.49	testicle	
4.492	penis	
4.51	breathe, breath	
4.52	yawn, gape	waaš; ḳˀa-ya-waaš
4.521	hiccough	dootˀ
4.53	cough	a-d͜zi-kooḳ
4.54	sneeze	a-dli-c̷ˀíxaa
4.55	perspire	
4.56	spit	-x̣ˀahéeni; toox̣; -li-toox̣
4.57	vomit	-háasˀ; dli-ḳoo
4.58	bite	si-taaxˀ
4.59	lick	tleitˀ; ya-tleitˀ
4.591	dribble	
4.61	sleep	tá; taa; ya-taa; x̣eixˀʷ
4.612	snore	a-ya-keet
4.62	dream	ǰoon; a-ya-ǰoon
4.63	wake up	geet; kei-si-geet; x̣eiḳ
4.64	break wind	
4.65	urinate	
4.66	defecate	
4.67	have sexual intercourse	
4.68	shiver	
4.69	bathe	di-.oosˀ; šooč; ya-šooč
4.71	beget (of father)	
4.72	born (to be)	
4.73	pregnant	ša-ya-c̷ˀeetˀ
4.732	conceive	
4.74	live, living, life	x̣ˀaséikʷ, daséikʷ; ḳustí; ya-c̷een
4.75	die, dead	naná; ya-naa; geiḳ
4.751	drowned	
4.76	kill	.een; ya-.een; ǰaaḳ; ya-ǰaaḳ
4.77	corpse	
4.78	bury (the dead)	si-naa
4.79	grave, tomb	ḳaa daakeidí
4.81	strong, mighty, powerful	lac̷een; li-c̷een
4.82	weak	ka-di-teisˀ
4.83	well, health	
4.84	sick, sickness	-néekʷ; ya-neekʷ
4.841	fever	-tˀaay néekʷ
4.842	goiter	
4.843	cold (catarrh)	-ḳusa.áatˀ néekʷ
4.85	wound, sore	-kaxʷeitl; tlˀooḳ; -sˀéilˀ; čoon
4.852	bruise	
4.853	swelling	ša-ka-di-nook; dli-xˀeesˀ; ḳaač
4.854	itch	ka-li-xʷeitl
4.855	blister	
4.856	boil (noun)	-xˀees
4.857	pus	-ḳéetˀ
4.858	scar	-teel; li-teel
4.86	cure, heal	neix̣; si-neix̣; ya-saan
4.87	physician	ḳunáagu
4.88	medicine, drug	-náakʷ; ya-naakʷ
4.89	poison	
4.91	tired, weary	ka-ya-d͜zaas; saaḳ; ka-ya-saaḳ; di-xʷeitl
4.912	rest	saa; dli-saa
4.92	lazy	a-d͜zi-kaa
4.93	bald	x̣ˀʷaasˀ
4.94	lame	tléil + ka-ši-goot
4.95	deaf	l ḳooláx̣ǰi
4.96	mute	l yoo ḳˀeištángi; x̣ˀa-ši-taan
4.97	blind	l ḳooštéeni; ḳu-ši-teen
4.98	intoxicated	naaw sˀaatí; at danáayi; šoo
4.99	naked, bare	
5.11	eat	ya-x̣aa; čˀeetˀ; li-čˀeetˀ
5.12	food	
5.121	cooked	
5.122	raw	šísˀk
5.123	ripe	ka-ya-tˀaa
5.124	green, unripe	x̣ˀaatˀ
5.125	rotten	naaḳʷ; sˀeex; li-sˀeex; tlˀooḳ; x̣ˀʷaan
5.13	drink	naa; di-naa; look
5.14	hunger	
5.141	famine	laaxʷ
5.15	thirst	ša-ya-koox
5.16	suck	lˀaa; li-lˀaa; .ootˀ; ya-.ootˀ
5.18	chew	taaxˀ; ya-taaxˀ; x̣ˀeetˀ
5.181	swallow	nootˀ; ya-nootˀ
5.19	choke	sa-ya-c̷eexˀ
5.21	cook	.ee; si-.ee; daak, li-daak
5.22	boil (vb)	.ook; li-.ook; taa; si-taa
5.23	roast, fry	li-tˀoosˀ; sˀook
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	ḳˀʷátl
5.27	kettle	tˀaawáḳ xˀeešáa
5.28	pan	
5.31	dish	sˀíxˀ; ḳˀaakanéi; kílaa, kélaa
5.32	plate	sˀíxˀ ḳˀáatlˀ
5.33	bowl	
5.34	pitcher, jug	ḳˀateil; ín xˀeešáa; tˀoočˀineit
5.35	cup, drinking vessel	gúxˀʷaa
5.36	saucer	
5.37	spoon	šál; leineit šál; yéc̷ˀ šál; šeen; ya-xʷein
5.38	knife	lítaa
5.39	fork	áč at dusx̣a.át
5.391	tongs	éenaa; lˀátˀaa; lˀaatˀ
5.41	meal (a)	atx̣á
5.42	breakfast	
5.43	lunch	wóow; woo; di-woo
5.44	dinner	
5.45	supper	
5.46	peel	daa-ka-ya-yeix̣; šu-li-dleixʷ
5.47	sieve, strain	čaa; ka-li-čaa
5.48	scrape	dli-xeetˀ; ya-xaasˀ
5.49	stir, mix	
5.51	bread	sakʷnéin éewu
5.53	dough	
5.54	knead	ka-ya-čoox
5.55	meal, flour	sakʷnéin
5.56	crush, grind	tˀeix̣ˀ; ya-tˀeix̣ˀ; ka-li-xaakʷ
5.57	mill	
5.58	mortar	kaxágʷaa yeit; katˀéx̣ˀaa yeit
5.59	pestle	katˀéx̣ˀaa, katˀix̣ˀaa
5.61	meat	dleey
5.63	sausage	
5.64	soup, broth	tax̣héenee
5.65	vegetables	
5.66	bean	
5.7	potato	kˀúnc̷ˀ
5.71	fruit	
5.712	bunch	
5.75	fig	
5.76	grape	
5.77	nut	
5.78	olive	
5.79	oil	-neisˀ
5.791	grease, fat	taay; g̣uwakaan taayí; sˀeek eex̣í; yaaw eex̣í; saak eex̣í
5.81	salt	éilˀ
5.82	pepper	si.áaxˀu át; at tux̣ˀʷúnsˀi; náakʷ
5.821	chili pepper	
5.84	honey	
5.85	sugar	
5.86	milk (noun)	wasóos lˀaa tux̣áni
5.87	milk (vb)	
5.88	cheese	
5.89	butter	
5.9	beverage, drink	
5.91	mead	
5.92	wine	
5.93	beer	
5.94	fermented drink	
5.97	egg	
5.971	egg yolk	
6.11	put on (clothes)	
6.12	clothing, clothes	naa.át
6.13	tailor	
6.21	cloth	sˀísaa
6.22	wool	
6.23	linen, flax	
6.24	cotton	
6.25	silk	
6.27	felt	
6.28	fur	-x̣aawú
6.29	leather	
6.31	spin	
6.32	spindle	
6.33	weave	.aak; ya-.aak
6.34	loom	
6.35	sew	ya-ḳaa
6.36	needle	táaxˀalˀ; kawóot ka.íšaa; lukatˀíšaa, katˀíšaa
6.37	awl	
6.38	thread	tás; tíxˀ yátxˀi
6.39	dye	kaséḳˀx̣u; ka-li-yeisˀ; seiḳˀʷ
6.41	cloak	
6.411	poncho	
6.42	woman's dress	lˀaak
6.43	coat	kinaak.át, kinaa.át
6.44	shirt	kˀoodás, goodásˀ
6.45	collar	
6.46	skirt	
6.461	grass-skirt	
6.48	trousers	tuḳˀatál
6.49	stocking, sock	lˀee xˀʷán
6.51	shoe	téel
6.52	boot	xˀʷán; at xášti téel; ǰáaǰi
6.54	shoemaker, cobbler	téel layeix̣í
6.55	hat, cap	sˀáaxʷ
6.57	belt, girdle	séek
6.58	glove	c̷áaʔ
6.59	veil	
6.61	pocket	
6.62	button	ḳaayakóotˀi, yooka.óotˀ
6.63	pin	x̣ˀéixˀʷalˀ, x̣ˀéexˀʷalˀ
6.71	ornament, adornment	
6.72	jewel	
6.73	ring (for finger)	
6.74	bracelet	kées
6.75	necklace	seit
6.76	bead	kawóot
6.77	earring	guk.át, guk.ádi; guk kaǰaaší
6.78	headband, headdress	
6.79	tattoo	ka-si-ḳaa
6.81	handkerchief, rag	lug̣ʷéinaa
6.82	towel	ǰig̣ʷéinaa
6.91	comb	xéidu
6.92	brush	
6.921	braid	seet; ka-li-seet
6.93	razor	aan yaduxasˀ at, aan yatxasˀ at
6.94	ointment	
6.95	soap	úsˀaa
6.96	mirror	tóonáx̣ ḳaateen
7.11	dwell, live	tee; ya-tee
7.12	house	hít; neil
7.13	hut	
7.131	garden-house	
7.14	tent	sˀísaa hít
7.15	yard, court	
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	eet ká
7.22	door, gate	xˀaháat; x̣ˀa-wool
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	katíx̣ˀaa, katéx̣ˀaa
7.25	window	x̣aawaag̣éi, x̣aawaag̣í
7.26	floor	tˀáa ká
7.27	wall	tˀáa yá
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	d͜zeit
7.42	bed	yee.át; káa x̣ex̣xˀu yeit
7.421	pillow	šayeit
7.422	blanket	xˀóow; lˀée
7.43	chair	káa yag̣iǰeit; káa yaḳiǰeit
7.44	table	nadáakʷ
7.45	lamp, torch	sˀeenáa
7.46	candle	toow sˀeenáa
7.47	shelf	yaaš ká
7.48	trough	kát yat.usˀkʷ át
7.51	roof	hit ká, hít ká
7.52	thatch	
7.53	ridgepole	
7.54	rafter	hít kaságu; hít kagaadí; at kax̣yee
7.55	beam	hít da.ideidí
7.56	post, pole	gáasˀ; c̷ág̣aa
7.57	board	tˀáa
7.58	arch	
7.61	mason	
7.62	brick	
7.63	mortar	kaxágʷaa yeit
7.64	adobe	
8.11	farmer	akahéix̣i
8.12	field (for cultivation)	
8.13	garden	táay
8.15	cultivate, till	
8.16	fence	kˀanáaxan
8.17	ditch	
8.21	plow	
8.212	furrow	li-xeet
8.22	dig	ka-si-haa
8.23	spade	
8.24	shovel	ḳutlˀídaa; ya-xʷein
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	
8.311	seed	-xˀaakeidí
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	
8.48	rice	kóox
8.51	grass	x̣aatlˀ; čookán; taan x̣ˀadaad͜zaayi; sooḳ
8.52	hay	
8.53	plant (noun)	
8.531	plant (vb)	ka-dli-c̷oow
8.54	root	x̣aat; sˀú
8.55	branch	-tˀáni
8.56	leaf	kayaaní
8.57	flower	ḳˀei-ka-xʷéin; kˀei-ka-dli-xʷein
8.6	tree	aas; šisˀḳ
8.61	oak	gusˀkˀiḳʷáan lˀoowú; gusˀkˀiḳʷáan lˀeiwú
8.62	beech	
8.63	birch	-daayí
8.64	pine	
8.65	fir	leiyís
8.66	acorn	
8.67	vine	
8.68	tobacco	g̣ánč
8.69	smoke (tobacco)	di-sˀeiḳ
8.691	pipe	sˀeiḳ daakeit, sˀiḳ-daakeit
8.72	tree stump	aas goowú
8.73	tree trunk	aas kˀeeyi
8.74	forked branch	
8.75	bark	-looní; -láx̣ˀi
8.76	sap	-láx̣ˀi, -káx̣i; téil; aas kˀóox̣ˀu
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	
8.85	banyan	
8.91	sweet potato	
8.912	yam	
8.92	tapioca, manioc, cassava	
8.93	gourd	
8.931	pumpkin, squash	
8.94	bamboo	
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	tˀóokˀ
8.98	mushroom	
9.11	do, make	
9.12	work	yéi ǰiné
9.14	bend	ka-si-teix̣ˀ
9.15	fold	ka-li-kˀʷaatˀ
9.16	tie, bind	.aax̣ʷ; daa-si-.aax̣ʷ; sˀeet; ka-ya-sˀeet; tlˀeen
9.161	untie	ka-ya-keilˀ
9.18	chain	wóošnáx̣; x̣ˀakakeix̣í
9.19	rope, cord	tíxˀ
9.192	knot (noun)	dooxˀ; ka-ya-dooxˀ; šeey
9.21	strike (hit, beat)	ǰaaḳʷ; ya-ǰaaḳʷ; x̣íšt
9.211	pound with fist	
9.22	cut	ya-xaaš; li-xaaš; ḳˀeitlˀ
9.221	cut down	ka-li-x̣eeč
9.222	chop, hew	sˀoow
9.223	stab	ya-di-g̣eeč
9.23	knife	wéikš; g̣atltultaa, g̣atltulítaa; x̣ˀéi; šadagutx̣lítaa
9.24	scissors, shears	ḳaašaxášaa
9.25	ax	šunaxʷáayi, šanxʷˀaayi, šanx̣ʷáayi; šanax̣ʷáayi yádi
9.251	adze	x̣útˀaa
9.26	break	lˀeexˀ; kˀooc̷; xˀeil
9.261	broken	
9.27	split	li-x̣ootˀ; ka-li-x̣ootˀ; x̣aaxˀ
9.28	tear	sˀeilˀ; ya-sˀeilˀ
9.29	flay, skin	ya-c̷ˀeiˀ; li-xˀeeš
9.31	rub, wipe	li-naa; čoox; li-čoox; ǰi-g̣eelˀ; li-g̣oo
9.32	stretch	yeet; ka-ya-yeet; tˀeeš; ya-tˀeeš
9.33	pull	yeeš; ya-yeeš; si-xaatˀ; si-x̣ootˀ
9.34	spread out	šoo; ka-ya-leet
9.341	hang up	di-xʷaasˀ
9.342	press	
9.343	squeeze, wring	ka-ya-teix̣ˀ; li-g̣ooc̷; ka-ya-g̣ootl
9.35	pour	si-xaa; ka-si-xaa; ka-si-g̣aat
9.36	wash	.oosˀ; ya-.oosˀ
9.37	sweep	ya-xeetˀ
9.38	broom	xítˀaa
9.422	tool	ǰišagóon; at šagóoni
9.43	carpenter	at layeix̣í
9.44	build	li-yeix̣
9.46	bore	tool; ya-tool
9.461	hollow out	
9.48	saw	xášaa; kaxˀásˀaa
9.49	hammer	táḳl
9.5	nail	tuháayi; šayéen
9.56	glue	
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	dáanaa tˀéex̣ˀi
9.64	gold	góon
9.65	silver	dáanaa
9.66	copper, bronze	teenáa, tináa
9.67	iron	
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	kanágaa; téel tu-kanágaa
9.73	clay	sˀé
9.74	glass	ítˀč
9.75	weave, plait	
9.76	basket	ḳákʷ; sˀixʷaadáa; [néilˀ]; tuḳdaa-daxákʷ, tudaxákʷ
9.77	mat	
9.771	rug	g̣áač
9.78	netbag	
9.79	fan (noun)	
9.791	fan (vb)	
9.81	carve	at kačˀáakˀu; ka-ya-teey; čˀaakˀʷ
9.82	sculptor	
9.83	statue	
9.84	chisel	téeyaa; kačˀakʷaa
9.88	paint (noun)	néegʷálˀ
9.89	paint (vb)	ya-néegʷalˀ
10.11	move	ya-gaasˀ
10.12	turn over	a-ya-di-taa
10.13	turn around	
10.14	wind, wrap	ka-ya-yeeḳ
10.15	roll	ka-li-tool; ǰoox; ya-gʷaatl
10.16	drop (vb)	soos; ka-ya-soos
10.17	twist	teiḳˀ; si-teiḳˀ; ka-si-teiḳˀ; xˀaa
10.21	rise	kei ya-.aat; di-haan; ša-di-nook; kei ya-goot; ša-di-ḳee
10.22	raise, lift	ša-si-ḳee
10.23	fall	
10.24	drip	ka-doo-ya-xˀaas
10.25	throw	d͜zoo; ya-d͜zoo; ǰoox̣ˀ; li-ǰoox̣ˀ; ya-g̣eeč
10.252	catch (ball)	
10.26	shake	ša-ka-ya-yook; neit; ka-di-neit; keek; x̣ʷaal
10.32	flow	.aa; ka-ya-.aa; .aaš; ya-.aaš; daa; si-daa
10.33	sink	ya-taax̣ˀʷ
10.34	float	a-ka-ya-haa; haaš; li-haaš
10.35	swim	hoo; ya-hoo; si-hoo; ya-kʷaan; heen; ya-heen
10.351	dive	ǰi-kˀein
10.352	splash	tˀaatl; ka-li-tˀaatl; čˀeeš
10.36	sail (vb)	
10.37	fly (vb)	yeeč; ka-dli-yeeč
10.38	blow	.oox; ya-.oox
10.41	creep, crawl	tlooxˀ; g̣ʷaatˀ; di-g̣ʷaatˀ
10.412	kneel	yan tóoxˀ-ya-c̷oow
10.413	crouch	
10.42	slide, slip	ya-leet; x̣ˀeelˀ
10.43	jump, leap	ya-taan; ǰi-kˀein
10.431	kick	
10.44	dance	lˀeix̣; sˀaasˀ; dli-sˀaasˀ; ḳu-ya-sˀaasˀ
10.45	walk	goot; ya-goot; .aat; ya-.aat; geit; ya-geit
10.451	limp	ḳáčk; li-ḳáčk
10.46	run	gooḳ; lu-ya-gooḳ
10.47	go	
10.471	go up	
10.472	climb	kei ya-.aat; tlˀeitˀ
10.473	go down	yei ya-.aat; yei ya-goot
10.474	go out	
10.48	come	ya-ḳoox̣
10.481	come back	
10.49	go away, depart	tlˀeet
10.491	disappear	ka-di-haa
10.51	flee	kei a-ya-di-goot; di-keilˀ
10.52	follow	
10.53	pursue	
10.55	reach, arrive	
10.56	approach	
10.57	enter	
10.61	carry (bear)	.aat; li-.aat; ka-li-.aat; .aax̣; ya-tee
10.612	carry-in-hand	
