entry_id	trans_english	Shipibo-Conibo_Phonemic
4.95	deaf	paβɨ
4.96	mute	hoi-oma; kɨ̃to
4.97	blind	βɨ̃-čɨ
4.98	intoxicated	paɨ̃-ti
4.99	naked, bare	čopaoma
5.11	eat	pi-; mɨpiti
5.12	food	yoa
5.121	cooked	
5.122	raw	paṣ̌a
5.123	ripe	toto
5.124	green, unripe	paṣ̌a; ṣ̌oo
5.125	rotten	payo-ti
5.13	drink	ṣ̌ɨa-ti
5.14	hunger	pitĩ iti; hawɨkiakasti
5.141	famine	
5.15	thirst	nomi; nomi-ti
5.16	suck	oyo-ti; koko-ti
5.18	chew	naka-ti
5.181	swallow	ṣ̌ɨa-
5.19	choke	
5.21	cook	paṣ̌aati; yoa ati; waati
5.22	boil (vb)	koβĩ-ti; koβĩ-hati
5.23	roast, fry	ṣ̌oi-ti; šɨati; šɨiti
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	kɨ̃ti; yami-kɨ̃ti; či-
5.27	kettle	
5.28	pan	
5.31	dish	kɨ̃ča; rato
5.32	plate	kɨ̃ča
5.33	bowl	kɨ̃ča
5.34	pitcher, jug	čomo
5.35	cup, drinking vessel	
5.36	saucer	
5.37	spoon	[kočara]
5.38	knife	čičika
5.39	fork	čapa
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	ṣ̌oko-; ṣ̌oka-ti
5.47	sieve, strain	toa-ti
5.48	scrape	wɨṣ̌ati
5.49	stir, mix	
5.51	bread	
5.53	dough	
5.54	knead	kamosti
5.55	meal, flour	ac̷apoto
5.56	crush, grind	βitaṣ̌-ti; rɨnɨ-ti
5.57	mill	
5.58	mortar	
5.59	pestle	
5.61	meat	nami
5.63	sausage	
5.64	soup, broth	hɨnɨ
5.65	vegetables	
5.66	bean	poroto
5.7	potato	poa
5.71	fruit	βimi
5.712	bunch	tɨṣ̌kã
5.75	fig	
5.76	grape	
5.77	nut	
5.78	olive	
5.79	oil	ṣ̌ɨni
5.791	grease, fat	ṣ̌ɨni
5.81	salt	taši
5.82	pepper	
5.821	chili pepper	yoči
5.84	honey	βona-hɨnɨ
5.85	sugar	[asokaro]
5.86	milk (noun)	ṣ̌oma
5.87	milk (vb)	poc̷iti
5.88	cheese	
5.89	butter	
5.9	beverage, drink	ṣ̌ɨati
5.91	mead	
5.92	wine	
5.93	beer	βɨṣ̌nã
5.94	fermented drink	paɨ; moka
5.97	egg	hɨṣ̌ɨ; βači
5.971	egg yolk	mãšĩ
6.11	put on (clothes)	sawɨ-
6.12	clothing, clothes	tari; sawɨ-ti; kotõ
6.13	tailor	
6.21	cloth	čopa
6.22	wool	[rani]
6.23	linen, flax	
6.24	cotton	waṣ̌mɨ̃
6.25	silk	
6.27	felt	
6.28	fur	rani
6.29	leather	βiči
6.31	spin	yomã ati
6.32	spindle	iwi
6.33	weave	ṣ̌ɨwa-
6.34	loom	
6.35	sew	kɨṣ̌ɨ-ti
6.36	needle	ṣ̌omoṣ̌
6.37	awl	
6.38	thread	yomã
6.39	dye	poko-ti
6.41	cloak	
6.411	poncho	
6.42	woman's dress	saya; sawɨti
6.43	coat	
6.44	shirt	kotõ
6.45	collar	tɨṣ̌o; tɨ-; rɨ-
6.46	skirt	saya
6.461	grass-skirt	
6.48	trousers	čiaraṣ̌ti
6.49	stocking, sock	
6.51	shoe	
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	maiti
6.57	belt, girdle	čõpi
6.58	glove	
6.59	veil	
6.61	pocket	
6.62	button	[βotonis]
6.63	pin	
6.71	ornament, adornment	raoa-ti; kori; kapapiti
6.72	jewel	
6.73	ring (for finger)	mɨ-oso-ti
6.74	bracelet	βašaati
6.75	necklace	
6.76	bead	moro
6.77	earring	pa-rono-ti
6.78	headband, headdress	maiti
6.79	tattoo	
6.81	handkerchief, rag	βɨsoikiiti
6.82	towel	rasoikiiti
6.91	comb	βoɨṣ̌ɨti
6.92	brush	norɨti
6.921	braid	ronokaṣ̌o; manɨṣ̌ti
6.93	razor	
6.94	ointment	
6.95	soap	[haβõ]
6.96	mirror	[ispiko]
7.11	dwell, live	hati
7.12	house	ṣ̌oβo
7.13	hut	wɨnɨ̃
7.131	garden-house	
7.14	tent	
7.15	yard, court	toβã
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	čikɨ; čitɨ; kɨnɨ
7.22	door, gate	ṣ̌ɨpoti
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	[čaβi]
7.25	window	
7.26	floor	
7.27	wall	čikɨ
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	tapiti
7.42	bed	rakati
7.421	pillow	tɨpiti
7.422	blanket	saβano
7.43	chair	yakati
7.44	table	
7.45	lamp, torch	čii
7.46	candle	
7.47	shelf	tapas; tapo
7.48	trough	ṣ̌aṣ̌o
7.51	roof	ṣ̌oβo-pɨka; ṣ̌oβo-ṣ̌ɨwa; ṣ̌ɨwa
7.52	thatch	
7.53	ridgepole	ṣ̌oβo-maṣ̌ka; ma-; mapoti
7.54	rafter	marakãti; mayoš
7.55	beam	
7.56	post, pole	hiwi
7.57	board	
7.58	arch	
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	waĩ teetai
8.12	field (for cultivation)	wai
8.13	garden	wai
8.15	cultivate, till	tayã-ti; oro-ti
8.16	fence	čitɨ; kɨnɨ
8.17	ditch	ṣ̌ãkɨ̃
8.21	plow	
8.212	furrow	
8.22	dig	mikati
8.23	spade	
8.24	shovel	
8.25	hoe	
8.26	fork	
8.27	rake	mawɨti
8.31	sow	βana-ti
8.311	seed	βɨro
8.32	mow, reap	c̷ɨkati
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	
8.43	wheat	[tiriko]
8.44	barley	[siβara]
8.45	rye	
8.46	oats	
8.47	maize, corn	ṣ̌ɨki
8.48	rice	[aros]
8.51	grass	
8.52	hay	
8.53	plant (noun)	βana; ṣ̌oṣ̌o
8.531	plant (vb)	βana
8.54	root	ta-põ
8.55	branch	po-yã
8.56	leaf	pɨi
8.57	flower	hoa
8.6	tree	hiwi; hawɨki
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	niši
8.68	tobacco	romɨ
8.69	smoke (tobacco)	hotiti; romɨ hotiti
8.691	pipe	šinitapõ
8.72	tree stump	rokaroka
8.73	tree trunk	yora
8.74	forked branch	
8.75	bark	βiči; ṣ̌aka
8.76	sap	βɨpõ
8.81	palm tree	wanĩ
8.82	coconut	
8.83	citrus fruit	[rima; rimõ; narãṣ̌a]
8.84	banana tree	parãta
8.85	banyan	--
8.91	sweet potato	kari
8.912	yam	
8.92	tapioca, manioc, cassava	ac̷a
8.93	gourd	masɨ̃
8.931	pumpkin, squash	warã
8.94	bamboo	paka
8.941	sugar cane	ṣ̌awi
8.96	fish poison (root)	warawasko
8.97	nettle	moɨ
8.98	mushroom	kono
9.11	do, make	ati
9.12	work	tɨɨ-ti; tɨɨ; yono-ti
9.14	bend	kapoti; katoti; takatoti
9.15	fold	kato-
9.16	tie, bind	nɨa-ti; nɨṣ̌a-ti
9.161	untie	čoro-ti
9.18	chain	[karinã]
9.19	rope, cord	risβi
9.192	knot (noun)	tõko
9.21	strike (hit, beat)	tima-; čošati
9.211	pound with fist	
9.22	cut	čapaati; c̷ɨkãti; ṣ̌atɨ-
9.221	cut down	poṣ̌ati; tarɨti
9.222	chop, hew	
9.223	stab	
9.23	knife	
9.24	scissors, shears	hamamati; βɨstɨti
9.25	ax	roɨ; yami
9.251	adze	tatɨti
9.26	break	sɨkɨ; tɨsɨ; toɨti; c̷aati
9.261	broken	tɨsɨ; c̷osa
9.27	split	kaṣ̌kɨ-ti
9.28	tear	
9.29	flay, skin	
9.31	rub, wipe	ṣ̌ɨyoti
9.32	stretch	nɨ̃kɨa-ti; nɨ̃kɨ-ti; onɨ̃ti; c̷aniti
9.33	pull	nini-ti
9.34	spread out	wasãti; čopɨti
9.341	hang up	wɨõti; panĩti; rõtãti
9.342	press	βitaṣ̌ti
9.343	squeeze, wring	c̷initi
9.35	pour	čikoti
9.36	wash	čoki-ti; pac̷a-ti
9.37	sweep	mac̷o-; mawasti; wasãti
9.38	broom	mac̷oti
9.422	tool	
9.43	carpenter	[karapĩtiro]
9.44	build	-ati
9.46	bore	pɨkati; kɨpɨkɨɨti; šokiti
9.461	hollow out	pɨka-ti; kini-ati; pɨkɨ
9.48	saw	[siročo; sira]
9.49	hammer	
9.5	nail	raβo
9.56	glue	mɨtaṣ̌nameeti
9.6	smith, blacksmith	yamĩ tɨɨtai
9.61	forge	
9.62	anvil	
9.63	cast (metals)	yami
9.64	gold	kori
9.65	silver	kori-ki
9.66	copper, bronze	[βorõsi]
9.67	iron	
9.68	lead (noun)	
9.69	tin, tinplate	yami βoi
9.71	potter	mapokan teetai
9.72	mold (clay etc)	
9.73	clay	čawa
9.74	glass	
9.75	weave, plait	ṣ̌ɨwa-
9.76	basket	tasa; naβiro
9.77	mat	pišĩ; kawĩ
9.771	rug	
9.78	netbag	[borosa]; piša
9.79	fan (noun)	paya-ti
9.791	fan (vb)	payã-ti
9.81	carve	
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	sika
9.89	paint (vb)	sika-ti
10.11	move	šakõti; taṣ̌kɨti
10.12	turn over	rɨoti
10.13	turn around	rãβɨti
10.14	wind, wrap	nɨati; ṣ̌ɨiti; toro-ati
10.15	roll	tarã-ti
10.16	drop (vb)	mɨ-tinĩti
10.17	twist	ramayati; yɨṣ̌kɨti; yošoti
10.21	rise	kɨyati
10.22	raise, lift	wakɨti
10.23	fall	pakɨ-ti
10.24	drip	šoroti; tosoti; siiiti
10.25	throw	
10.252	catch (ball)	βɨčitɨti; βiti
10.26	shake	pɨrɨ̃ ati; šakõ-ti; yakia-ti
10.32	flow	
10.33	sink	hikiti
10.34	float	toṣ̌βati; βɨčoti
10.35	swim	sɨna; nono-
10.351	dive	
10.352	splash	sɨsɨati
10.36	sail (vb)	
10.37	fly (vb)	noya-ti
10.38	blow	ṣ̌oõ iti
10.41	creep, crawl	čiṣ̌kiti; mɨṣ̌o-ti
10.412	kneel	čirãkooti
10.413	crouch	βɨoti; c̷istiti
10.42	slide, slip	raĩšati; βiča siβa
10.43	jump, leap	čorõti
10.431	kick	hamati
10.44	dance	rãsati
10.45	walk	nina-ti; niti
10.451	limp	čãto-a-ti
10.46	run	išto-ti
10.47	go	ka-ti
10.471	go up	
10.472	climb	nɨɨti
10.473	go down	apakɨti; pɨc̷ati
10.474	go out	piko-ti; hokõ-ti
10.48	come	ho-ti
10.481	come back	βanɨti; nokoti
10.49	go away, depart	ka-tã-wɨ
10.491	disappear	toṣ̌koti
10.51	flee	haβa-ti
10.52	follow	kačiβã-ti; čiβã-ti
10.53	pursue	kačiβãti
10.55	reach, arrive	noko-ti; inã-ti
10.56	approach	pataṣ̌-ti
10.57	enter	naikiti; hiki-
10.61	carry (bear)	βoti; papia
10.612	carry-in-hand	
10.613	carry-on-shoulder	iati
10.614	carry-on-head	ma-
10.615	carry-underarm	
10.62	bring	βɨ-ti; βiti; iwɨti
10.63	send	βɨmati; raãti; yoiti
10.64	lead (vb)	
10.65	drive	ioti
10.66	ride	
10.67	push, shove	ṣ̌otõti
10.71	road	βai
10.72	path	hɨma
10.74	bridge	kawati
10.75	carriage, wagon, cart	[kariti]
10.76	wheel	
10.77	axle	
10.78	yoke	
10.81	ship	
10.83	boat	
10.831	canoe	nõti
10.832	outrigger	
10.84	raft	tapã
10.85	oar	wĩti
10.851	paddle (noun)	
10.852	row (vb)	wina-ti
10.86	rudder	
