entry_id	trans_english	Komi_Phonemic
5.28	pan	r̃ač
5.31	dish	tasʸti; bekar̃; syoyan, syoyantor̃
5.32	plate	tör̃elka
5.33	bowl	tasʸti
5.34	pitcher, jug	kuvšin; kr̃užka
5.35	cup, drinking vessel	čaška
5.36	saucer	blyud
5.37	spoon	panʸ
5.38	knife	pur̃t
5.39	fork	vilki
5.391	tongs	klešʸi
5.41	meal (a)	syoyan; syoyan-yuan
5.42	breakfast	zavtr̃ak; čay yuöm
5.43	lunch	zavtr̃ak
5.44	dinner	pažɩn
5.45	supper	užɩn; užɩnaytöm
5.46	peel	kulʸnɩ; kɩr̃ssʸɩnɩ
5.47	sieve, strain	požnavnɩ; södzödnɩ
5.48	scrape	gognavnɩ; vuštɩnɩ; zɩr̃tnɩ
5.49	stir, mix	gudr̃avnɩ; sor̃avnɩ
5.51	bread	nyanʸ
5.53	dough	nyanʸšom
5.54	knead	loynɩ
5.55	meal, flour	pɩzʸ
5.56	crush, grind	iznɩ
5.57	mill	melʸniča
5.58	mortar	gɩr̃
5.59	pestle	nɩr̃an; toin
5.61	meat	yay
5.63	sausage	kalbas
5.64	soup, broth	šɩd; yukva
5.65	vegetables	gr̃ad vɩv puktas
5.66	bean	anʸkɩtš
5.7	potato	kar̃tupelʸ
5.71	fruit	pu votöa
5.712	bunch	r̃oz; čalʸ
5.75	fig	piga
5.76	grape	vinogr̃ad
5.77	nut	ör̃eški; ör̃ek
5.78	olive	oliva
5.79	oil	kön tusʸ; vɩy
5.791	grease, fat	tšög
5.81	salt	sov
5.82	pepper	gor̃mög
5.821	chili pepper	gör̃d-gor̃mög
5.84	honey	ma
5.85	sugar	sakar̃
5.86	milk (noun)	yöv
5.87	milk (vb)	lɩsʸtɩnɩ; lɩsʸtɩsʸnɩ
5.88	cheese	r̃ɩsʸ; sɩr̃
5.89	butter	vɩy
5.9	beverage, drink	yuan; yuantor̃
5.91	mead	ma
5.92	wine	vina
5.93	beer	sur̃
5.94	fermented drink	ɩr̃öš; kalʸlya ɩr̃öš
5.97	egg	kolʸk
5.971	egg yolk	kolʸk viž
6.11	put on (clothes)	pasʸtasʸnɩ
6.12	clothing, clothes	pasʸköm; köm-pasʸ
6.13	tailor	vur̃sʸɩsʸ
6.21	cloth	dör̃a; noy
6.22	wool	gön; vur̃un
6.23	linen, flax	šabdi
6.24	cotton	xlopok
6.25	silk	šövk
6.27	felt	gɩn
6.28	fur	ku
6.29	leather	ku; kučik
6.31	spin	pečkɩnɩ
6.32	spindle	čör̃s
6.33	weave	kɩnɩ
6.34	loom	stan
6.35	sew	vur̃nɩ; vur̃sʸɩnɩ
6.36	needle	em
6.37	awl	šɩla
6.38	thread	šör̃t; sunis
6.39	dye	kr̃asitnɩ; mičödnɩ
6.41	cloak	plašʸ
6.411	poncho	pončo
6.42	woman's dress	plattʸö
6.43	coat	pinžak
6.44	shirt	dör̃öm
6.45	collar	vor̃otnik
6.46	skirt	yubka
6.461	grass-skirt	- -
6.48	trousers	gač; vɩlɩs gač; ulɩs gač
6.49	stocking, sock	čör̃ös; čulki
6.51	shoe	tyupelʸ; kamaš
6.52	boot	sapög
6.54	shoemaker, cobbler	sapög vur̃ɩsʸ
6.55	hat, cap	šapka; šlyapa
6.57	belt, girdle	vönʸ; yi
6.58	glove	čunya kepɩsʸ
6.59	veil	vualʸ
6.61	pocket	zep
6.62	button	kizʸ; molʸ
6.63	pin	bulavka
6.71	ornament, adornment	mičmödčantor̃
6.72	jewel	donapor̃
6.73	ring (for finger)	čunʸkɩtš
6.74	bracelet	br̃aslet
6.75	necklace	sikötš
6.76	bead	sikötš molʸ
6.77	earring	iser̃go
6.78	headband, headdress	yur̃kɩtš; yur̃kɩšöd
6.79	tattoo	tatuir̃uytöm pas
6.81	handkerchief, rag	nɩr̃ čɩšköd, us čɩškɩd; vetʸök; r̃uzum
6.82	towel	ki čɩšköd
6.91	comb	sɩnan; sor̃s
6.92	brush	šʸötka
6.921	braid	kɩnɩ; kɩsʸɩnɩ
6.93	razor	br̃itva
6.94	ointment	mavtas
6.95	soap	maytög
6.96	mirror	r̃ömpöštan
7.11	dwell, live	ovnɩ
7.12	house	ker̃ka; gor̃t
7.13	hut	ičötik ker̃ka; čom
7.131	garden-house	ker̃kator̃
7.14	tent	von
7.15	yard, court	yör̃; öšinʸ uv
7.16	men's house	- -
7.17	cookhouse	kuxnya
7.18	meeting house	yur̃bitanin; yur̃bitan ker̃ka
7.21	room	vežös; gor̃niča; žɩr̃
7.22	door, gate	ödzös
7.221	doorpost, jamb	ödzös kur̃ič
7.23	lock (noun)	toman
7.231	latch, door-bolt	vug; ödzös vug
7.24	key	vosʸtan
7.25	window	öšinʸ
7.26	floor	džodž
7.27	wall	sten
7.31	fireplace	kamin; pač
7.32	stove	pač; gor̃
7.33	chimney	tr̃uba
7.37	ladder	pos
7.42	bed	volʸpasʸ; uzʸlanin
7.421	pillow	yur̃lös; gor̃uv
7.422	blanket	eškɩn; šebr̃as
7.43	chair	ulös; džek
7.44	table	pɩzan
7.45	lamp, torch	lampa
7.46	candle	sisʸ
7.47	shelf	džadž
7.48	trough	vor̃
7.51	roof	vetv; sar̃ay
7.52	thatch	idzas vetv; idzas sar̃ay
7.53	ridgepole	öklupenʸ
7.54	rafter	ströpilö
7.55	beam	matič
7.56	post, pole	čotm
7.57	board	pöv
7.58	arch	svod
7.61	mason	kamenšʸik
7.62	brick	kir̃pič
7.63	mortar	izvestya va
7.64	adobe	saman
8.11	farmer	vidz-mu udžalɩsʸ
8.12	field (for cultivation)	ködza; ködza-mu
8.13	garden	sad; grad yör̃
8.15	cultivate, till	gör̃nɩ
8.16	fence	potšnɩ
8.17	ditch	r̃öv; kɩr̃öm
8.21	plow	gör̃nɩ; gör̃
8.212	furrow	gör̃öm tuy
8.22	dig	kodyɩnɩ; kodyɩsʸnɩ
8.23	spade	kör̃t zɩr̃
8.24	shovel	zɩr̃
8.25	hoe	kokan
8.26	fork	džɩban
8.27	rake	kur̃an; nar̃man
8.31	sow	ködznɩ; požnavnɩ
8.311	seed	köydž
8.32	mow, reap	vundɩnɩ
8.33	sickle, scythe	čar̃la; kosa; litovka
8.34	thresh	var̃tnɩ
8.35	threshing-floor	gumla; vetva gumla
8.41	crop, harvest	vundöm; vundan kad; vundan dɩr̃
8.42	grain (barley, oats etc)	tusʸ; nyanʸ; syu
8.43	wheat	šobdi
8.44	barley	id
8.45	rye	syu; r̃udzög
8.46	oats	zör̃
8.47	maize, corn	kukur̃uza
8.48	rice	r̃is
8.51	grass	tur̃un; lug; lud
8.52	hay	tur̃un
8.53	plant (noun)	bɩdmög
8.531	plant (vb)	puktɩnɩ
8.54	root	vuž
8.55	branch	uv; vož
8.56	leaf	kor̃
8.57	flower	dzor̃idz
8.6	tree	pu; ker̃
8.61	oak	dub; tupu
8.62	beech	buk
8.63	birch	kɩdz; kɩdz pu
8.64	pine	požöm
8.65	fir	koz; koz pu
8.66	acorn	tupu kolʸ
8.67	vine	vinogr̃ad
8.68	tobacco	tabak
8.69	smoke (tobacco)	tšɩnasʸnɩ
8.691	pipe	kallyan
8.72	tree stump	mɩr̃
8.73	tree trunk	pu gum; pu čer̃
8.74	forked branch	uv; vož
8.75	bark	kɩr̃sʸ
8.76	sap	va; sök
8.81	palm tree	palʸma
8.82	coconut	kokosövöy ör̃ek
8.83	citrus fruit	c̷itr̃us
8.84	banana tree	banan pu
8.85	banyan	figa pu
8.91	sweet potato	yumov kar̃tupelʸ
8.912	yam	- -
8.92	tapioca, manioc, cassava	- -
8.93	gourd	tɩkva
8.931	pumpkin, squash	kabačko
8.94	bamboo	bambuk
8.941	sugar cane	saxar̃nöy tr̃ostnik
8.96	fish poison (root)	- -
8.97	nettle	petšör̃
8.98	mushroom	tšak
9.11	do, make	vöčnɩ; ker̃nɩ
9.12	work	udžavnɩ
9.14	bend	kusɩnʸtnɩ; nyukɩlʸtnɩ
9.15	fold	tečnɩ; sövtnɩ
9.16	tie, bind	kör̃tavnɩ; yitnɩ
9.161	untie	r̃azʸnɩ
9.18	chain	čep
9.19	rope, cord	gez; köv
9.192	knot (noun)	gör̃öd
9.21	strike (hit, beat)	noytnɩ; kučkavnɩ; kučkɩnɩ
9.211	pound with fist	kučkɩnɩ kulakön
9.22	cut	vundɩnɩ
9.221	cut down	dženʸdödnɩ; čintɩnɩ
9.222	chop, hew	ker̃avnɩ
9.223	stab	bɩtškɩnɩ; sutškɩnɩ
9.23	knife	pur̃t
9.24	scissors, shears	šɩr̃an
9.25	ax	čer̃
9.251	adze	kuzʸnɩr̃
9.26	break	žuglɩnɩ
9.261	broken	žugödöm; žugalöm; potöm
9.27	split	yukavnɩ; potködlɩnɩ
9.28	tear	netškɩnɩ
9.29	flay, skin	kulʸnɩ
9.31	rub, wipe	nir̃tnɩ; zɩr̃avnɩ
9.32	stretch	nyužödnɩ
9.33	pull	kɩskɩnɩ
9.34	spread out	bolʸsavnɩ; kisʸkavnɩ
9.341	hang up	öšödnɩ
9.342	press	topödnɩ; žmitnɩ
9.343	squeeze, wring	pɩčödnɩ
9.35	pour	kisʸtnɩ
9.36	wash	mɩsʸkɩnɩ; peslavnɩ
9.37	sweep	gɩškɩnɩ
9.38	broom	r̃os; gölik
9.422	tool	köluy
9.43	carpenter	tšupsʸɩsʸ
9.44	build	vöčnɩ; lösʸödnɩ
9.46	bore	pisʸködnɩ
9.461	hollow out	kodyɩnɩ
9.48	saw	pila
9.49	hammer	mölöt
9.5	nail	kör̃t tuv; pu tuv
9.56	glue	kley; lem
9.6	smith, blacksmith	dor̃ččɩsʸ
9.61	forge	dor̃nɩ
9.62	anvil	nakövalʸnya
9.63	cast (metals)	kisʸtnɩ
9.64	gold	zar̃ni
9.65	silver	ezɩsʸ
9.66	copper, bronze	ɩr̃gön
9.67	iron	kör̃t
9.68	lead (noun)	svineč
9.69	tin, tinplate	ozɩsʸ; žöč
9.71	potter	- -
9.72	mold (clay etc)	vöčnɩ; lepitnɩ
9.73	clay	sey
9.74	glass	steklö
9.75	weave, plait	kɩnɩ
9.76	basket	pester̃; kuzov
9.77	mat	r̃ögöza
9.771	rug	kovyor̃
9.78	netbag	setka
9.79	fan (noun)	övtčan
9.791	fan (vb)	övtčɩnɩ
9.81	carve	vöčnɩ
9.82	sculptor	statuya vöčɩsʸ
9.83	statue	statuya
9.84	chisel	öžɩn
9.88	paint (noun)	kr̃aska
9.89	paint (vb)	mičödnɩ
10.11	move	veštɩnɩ
10.12	turn over	kɩmɩnʸtnɩ; gatšödnɩ
10.13	turn around	ber̃gödlɩnɩ; gar̃tnɩ
10.14	wind, wrap	gar̃tnɩ; tubr̃avnɩ
10.15	roll	bɩgɩlʸtnɩ; bɩglyavnɩ
10.16	drop (vb)	usʸködnɩ; usʸnɩ
10.17	twist	gar̃tnɩ
10.21	rise	kɩpödgɩnɩ; leptɩsʸnɩ
10.22	raise, lift	leptɩnɩ
10.23	fall	usʸnɩ; uslyavnɩ
10.24	drip	voytavnɩ; vizuvtnɩ
10.25	throw	šɩbitnɩ
10.252	catch (ball)	kutnɩ; kɩynɩ
10.26	shake	pɩr̃ködnɩ
10.32	flow	vizuvtnɩ; viyavnɩ
10.33	sink	vöytnɩ; vöynɩ
10.34	float	uynɩ
10.35	swim	var̃ččɩnɩ; uyavnɩ
10.351	dive	sunavnɩ; sunnɩ
10.352	splash	palʸskakɩvnɩ; r̃eznɩ
10.36	sail (vb)	var̃ččɩnɩ; uynɩ; katnɩ
10.37	fly (vb)	lebnɩ
10.38	blow	pölʸtnɩ
10.41	creep, crawl	vellyasʸnɩ
10.412	kneel	pidzösčanʸön sulavnɩ; pidzösčanʸasʸna
10.413	crouch	kopr̃asʸnɩ
10.42	slide, slip	iskovtnɩ; islavnɩ
10.43	jump, leap	čeččɩštnɩ; čeččɩnɩ
10.431	kick	čutyasʸnɩ
10.44	dance	yöktɩnɩ
10.45	walk	munnɩ; vetlödlɩnɩ
10.451	limp	čotnɩ
10.46	run	kotör̃tnɩ
10.47	go	munnɩ; vetlödlɩnɩ
10.471	go up	kaynɩ; petnɩ
10.472	climb	kaynɩ; kavšasʸnɩ
10.473	go down	ledzčɩnɩ; kɩvtnɩ
10.474	go out	petnɩ
10.48	come	loknɩ; vonɩ
10.481	come back	bör̃ vonɩ; bör̃ loknɩ
10.49	go away, depart	petnɩ
10.491	disappear	vošnɩ; dzebsyasʸnɩ
10.51	flee	pɩšyɩnɩ
10.52	follow	vidzödnɩ; kɩyödnɩ
10.53	pursue	vötödnɩ; vötlɩsʸnɩ
10.55	reach, arrive	vonɩ; loknɩ
10.56	approach	matɩstčɩnɩ; sibödčɩnɩ
10.57	enter	pɩr̃nɩ
10.61	carry (bear)	nunɩ; novlödlɩnɩ
10.612	carry-in-hand	ki vɩlɩn novlödlɩnɩ
10.613	carry-on-shoulder	čelʸčom vɩlɩn novlödlɩnɩ
10.614	carry-on-head	yur̃ vɩlɩn novlɩnɩ
10.615	carry-underarm	kinyaulɩn novlɩnɩ; kinyaulɩn novlödaɩnɩ
10.62	bring	vaynɩ
10.63	send	ɩstɩnɩ; mödönɩ
10.64	lead (vb)	nuödnɩ; nunɩ
10.65	drive	vötlɩnɩ; gönitödnɩ
10.66	ride	ver̃zʸömön munnɩ
10.67	push, shove	toyɩštnɩ; yötkɩštnɩ
10.71	road	tuy
10.72	path	or̃dɩm
10.74	bridge	pos
10.75	carriage, wagon, cart	telega
10.76	wheel	kölesa
10.77	axle	čör̃s
10.78	yoke	sšyös
10.81	ship	kör̃ablʸ
10.83	boat	pɩž
10.831	canoe	baydar̃ka
10.832	outrigger	- -
10.84	raft	pur̃
10.85	oar	pelɩs
10.851	paddle (noun)	öpasnöy pelɩs
10.852	row (vb)	sɩnnɩ
10.86	rudder	r̃ulʸ
10.87	mast	mačta; šolga
10.88	sail (noun)	par̃us
10.89	anchor	yakör̃
