entry_id	trans_english	Itonama_Phonemic
4.27	tooth	oh-womotˀe
4.271	gums	
4.272	molartooth	
4.28	neck	uh-pakasno
4.281	nape of neck	uh-kamunano
4.29	throat	uh-pakosčočono
4.3	shoulder	uh-pačukakano
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	uh-mawano
4.312	armpit	uh-musčunano
4.32	elbow	uh-mačɨtʸɨru
4.321	wrist	uh-mapapano
4.33	hand	uh-maʔpara
4.331	palm of hand	uh-manačasno
4.34	finger	
4.342	thumb	
4.344	fingernail	oh-meʔkˀe; oh-kečeʔkˀe
4.345	claw	
4.35	leg	uh-sawano; uh-mukakano
4.351	thigh	uh-mukakano
4.352	calf of leg	uh-nababa
4.36	knee	oh-ničɨtʸɨru
4.37	foot	oh-niʔpara
4.371	ankle	oh-nipapano
4.372	heel	oh-komosčonino
4.374	footprint	
4.38	toe	
4.392	wing	mačara
4.393	feather	mačara
4.4	chest	oh-nisno
4.41	breast (of woman)	pi-pɨme
4.412	nipple, teat	pi-pɨme
4.42	udder	
4.43	navel	uh-napus
4.44	heart	uh-wanukˀuʔyu
4.441	lung	uh-warastˀaʔtˀa
4.45	liver	uh-wanɨʔta
4.451	kidney	uh-wasčɨʔpala
4.452	spleen	
4.46	stomach	uh-bunu; uh-wanunu
4.461	intestines, guts	biʔlulu; čaytowi
4.462	waist	
4.463	hip	uh-mukakano
4.464	buttocks	uh-muʔturu; uh-mukˀukˀu
4.47	womb	
4.49	testicle	u-kaʔdo
4.492	penis	
4.51	breathe, breath	wahsuʔna; sahsusuʔna
4.52	yawn, gape	wawoyaʔna
4.521	hiccough	
4.53	cough	sodoʔtʸa; pɨtˀehene
4.54	sneeze	yahtʸiʔte
4.55	perspire	yahlalaʔčame
4.56	spit	walema; uh-wamis
4.57	vomit	kosiwiʔte
4.58	bite	i-dohne
4.59	lick	
4.591	dribble	
4.61	sleep	o-nehna; yunehna
4.612	snore	doroʔtʸaʔke; pasahaʔna
4.62	dream	metˀaʔčaʔke
4.63	wake up	kadomohe
4.64	break wind	nikiʔna
4.65	urinate	tʸɨsɨʔna
4.66	defecate	walu-ne; u-walu
4.67	have sexual intercourse	
4.68	shiver	puručuhte
4.69	bathe	loʔbahe
4.71	beget (of father)	
4.72	born (to be)	masukaʔkeʔka; yeʔnaʔka
4.73	pregnant	naduhnaʔka
4.732	conceive	
4.74	live, living, life	siyumaʔna
4.75	die, dead	u-baʔtʸa
4.751	drowned	sorohna
4.76	kill	yopowaʔna
4.77	corpse	
4.78	bury (the dead)	kuhsupuʔna
4.79	grave, tomb	makulana
4.81	strong, mighty, powerful	u-kˀaya
4.82	weak	tunuhna
4.83	well, health	patˀuwaʔte
4.84	sick, sickness	wahdiʔke; paylalaʔna
4.841	fever	suwapu [fiebre]
4.842	goiter	
4.843	cold (catarrh)	
4.85	wound, sore	
4.852	bruise	
4.853	swelling	(...)-pohoʔna
4.854	itch	
4.855	blister	
4.856	boil (noun)	o-pohro
4.857	pus	i-yɨhwa
4.858	scar	(...)-tɨdɨhna
4.86	cure, heal	yubahke; yupatʸuwaʔna
4.87	physician	
4.88	medicine, drug	wabowa
4.89	poison	wabowa
4.91	tired, weary	dawiʔtʸa; kˀehyaʔte
4.912	rest	
4.92	lazy	basuʔna
4.93	bald	časbolohna
4.94	lame	kahduʔke
4.95	deaf	pamusčusbuluʔna
4.96	mute	
4.97	blind	kasuhuʔna
4.98	intoxicated	bɨʔɨhe
4.99	naked, bare	
5.11	eat	waʔpehe
5.12	food	tereʔke
5.121	cooked	ɨbaʔɨ
5.122	raw	učˀaʔna
5.123	ripe	u-kahna; čakahna
5.124	green, unripe	
5.125	rotten	woroʔtʸa
5.13	drink	i-yone; kasiʔna; pačˀahɨʔna
5.14	hunger	o-čˀoyo
5.141	famine	o-čˀoyo
5.15	thirst	yasahɨʔna; pačˀahɨʔna
5.16	suck	
5.18	chew	načˀahe
5.181	swallow	i-čɨhna
5.19	choke	sorohna
5.21	cook	wasčuduhna
5.22	boil (vb)	molohne; tenane
5.23	roast, fry	kaupuʔna; kausohe
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	walele
5.27	kettle	
5.28	pan	waratʸatʸa
5.31	dish	
5.32	plate	
5.33	bowl	
5.34	pitcher, jug	otʸoʔko; mɨsčɨčɨ
5.35	cup, drinking vessel	o-soso
5.36	saucer	
5.37	spoon	
5.38	knife	
5.39	fork	
5.391	tongs	
5.41	meal (a)	tereʔke; usulu
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	časpɨkɨ
5.47	sieve, strain	kapahne; kesele; kapɨsne
5.48	scrape	tiriʔtʸe
5.49	stir, mix	tʸusumaʔna; čosihna
