entry_id	trans_english	Mulam_Phonemic
7.58	arch	hɣɔk.8
7.61	mason	maŋ.1 khu.1
7.62	brick	ti.6 toŋ.6
7.63	mortar	tɔ.4
7.64	adobe	kwan.5
8.11	farmer	kwan.5 mai.4
8.12	field (for cultivation)	mai.4 tat.7; mai.4 ŋa.5
8.13	garden	fa.5
8.15	cultivate, till	lun.1
8.16	fence	hwa.1
8.17	ditch	mai.4
8.21	plow	pa:k.8 sü.4
8.212	furrow	mai.4 cɔŋ.6 pɛk.7
8.22	dig	thɔŋ.3 mai.4 niŋ.5
8.23	spade	hja:u.1
8.24	shovel	fa.5 jen.1
8.25	hoe	pəp.7; jen.1
8.26	fork	mai.4
8.27	rake	mai.4
8.31	sow	ŋɣa.2 mai.4
8.311	seed	ka:m.5
8.32	mow, reap	mai.4 fja:k.7
8.33	sickle, scythe	fja:k.7
8.34	thresh	mai.4 joŋ.2
8.35	threshing-floor	sik.8 lau.2
8.41	crop, harvest	man.2
8.42	grain (barley, oats etc)	ɣa:k.7
8.43	wheat	muk.8 sü.2
8.44	barley	hu.4; hu.4 lu.1
8.45	rye	nam.4 kwa.1
8.46	oats	na:ŋ.2
8.47	maize, corn	kwan.1
8.48	rice	juŋ.3
8.51	grass	na:u.6
8.52	hay	ŋa.1
8.53	plant (noun)	fɛ.4
8.531	plant (vb)	fɛ.4 kɔŋ.1
8.54	root	ŋwa:n.1
8.55	branch	tjep.8
8.56	leaf	tuk.8
8.57	flower	ci.5
8.6	tree	ljan.6
8.61	oak	luk.7
8.62	beech	ćet.7
8.63	birch	kha:u.1
8.64	pine	cui.2
8.65	fir	cjep.8; kat.7
8.66	acorn	tɛ.5 kham.5
8.67	vine	tɛ.5 tau.5
8.68	tobacco	kuk.7
8.69	smoke (tobacco)	mit.8
8.691	pipe	ńiu.1
8.72	tree stump	fu.3
8.73	tree trunk	jeu.3
8.74	forked branch	la.2
8.75	bark	khwa.5 khai.1
8.76	sap	chja.3 khai.1
8.81	palm tree	kwa.3 ŋɣa.1
8.82	coconut	ŋan.1
8.83	citrus fruit	ca.2
8.84	banana tree	lö.5 ɣai.3
8.85	banyan	śa.3
8.91	sweet potato	śa.3 uk.7
8.912	yam	lö.5
8.92	tapioca, manioc, cassava	kwa.5
8.93	gourd	kam.6
8.931	pumpkin, squash	niu.3
8.94	bamboo	thɔ.3
8.941	sugar cane	suk.7
8.96	fish poison (root)	phat.7
8.97	nettle	ńaŋ.3 phat.7
8.98	mushroom	tja:ŋ.6 mai.4
9.11	do, make	fɛ.4
9.12	work	kuk.7
9.14	bend	ʔwa:t.7
9.15	fold	kö.5
9.16	tie, bind	cui.2
9.161	untie	jaŋ.2 teŋ.1
9.18	chain	tja:ŋ.6 khat.7
9.19	rope, cord	ćam.1
9.192	knot (noun)	ńan.2
9.21	strike (hit, beat)	tɔŋ.2
9.211	pound with fist	khat.7
9.22	cut	jöt.8
9.221	cut down	tek.7
9.222	chop, hew	na:m.6
9.223	stab	kɛŋ.5
9.23	knife	pjan.1
9.24	scissors, shears	muŋ.1
9.25	ax	lɔŋ.3 fan.5
9.251	adze	tek.7
9.26	break	sjen.5
9.261	broken	sjen.5
9.27	split	khak.7
9.28	tear	ca:k.8
9.29	flay, skin	that.7
9.31	rub, wipe	that.7
9.32	stretch	nai.1
9.33	pull	fa:n.1
9.34	spread out	cö.5 lan.2
9.341	hang up	pɔ.1
9.342	press	kwon.3
9.343	squeeze, wring	pö.1
9.35	pour	cön.5; cön.5 ŋwa:n.1; kwon.6 ŋwa:n.1
9.36	wash	lɔk.7
9.37	sweep	se.6 lɔk.7
9.38	broom	pö.1 lui.6
9.422	tool	le.6
9.43	carpenter	pat.8
9.44	build	pat.8
9.46	bore	cwa.1 lai.3
9.461	hollow out	jɛu.2
9.48	saw	khoi.1
9.49	hammer	cam.2
9.5	nail	fa:t.7 nam.4 lo.4; fa:t.7 nam.4 huŋ.1
9.56	glue	thoi.1
9.6	smith, blacksmith	ʔwa:t.8 nam.4
9.61	forge	cam.5 nam.4
9.62	anvil	phot.7 nam.4
9.63	cast (metals)	fan.3
9.64	gold	chui.1
9.65	silver	pwa.2
9.66	copper, bronze	kui.6
9.67	iron	juŋ.1
9.68	lead (noun)	wa:t.8
9.69	tin, tinplate	thja:u.5
9.71	potter	thek.7
9.72	mold (clay etc)	thja:u.5 u.3
9.73	clay	cham.5 khwan.1
9.74	glass	kwɛ.6
9.75	weave, plait	tha:ŋ.5
9.76	basket	pa:i.1
9.77	mat	cham.5 cha.4
9.771	rug	pwa.2 cha.4
9.78	netbag	pwa.2 lui.6; cham.5 lui.6
9.79	fan (noun)	uk.7 pa:i.1
9.791	fan (vb)	cha:i.3
9.81	carve	taŋ.1
9.82	sculptor	fan.4 ma.1; fan.4 ma.1
9.83	statue	naŋ.6
9.84	chisel	ni.4 naŋ.6
9.88	paint (noun)	tha:ŋ.5 naŋ.6
9.89	paint (vb)	nja:m.1
10.11	move	lip.8
10.12	turn over	thau.5
10.13	turn around	nja:m.1 phai.5
10.14	wind, wrap	lɔ.3
10.15	roll	cau.4
10.16	drop (vb)	cau.4
10.17	twist	kin.1
10.21	rise	teŋ.3
10.22	raise, lift	kja:p.8
10.23	fall	mwa:i.5
10.24	drip	kɣəp.7
10.25	throw	śan.3 taŋ.1; cau.4 taŋ.1
10.252	catch (ball)	ki.5 pa:i.1
10.26	shake	śan.3 khwan.1
10.32	flow	khai.1 chja.1
10.33	sink	ći.2
10.34	float	thoi.1
10.35	swim	khwan.1; khwan.1 lo.4
10.351	dive	khwan.1 niŋ.5
10.352	splash	ćeu.2
10.36	sail (vb)	chja.1
10.37	fly (vb)	lan.2 chja.1
10.38	blow	ik.7
10.41	creep, crawl	sön.2 lo.4
10.412	kneel	sön.2 niŋ.5
10.413	crouch	pa:i.2
10.42	slide, slip	wa:t.8 sön.2
10.43	jump, leap	mɛ.2
10.431	kick	mɛ.2
10.44	dance	a:u.1
10.45	walk	cok.7 lai.3
10.451	limp	jam.1
10.46	run	ŋam.1
10.47	go	lai.3
10.471	go up	ti.6 jaŋ.6
10.472	climb	khe.1
10.473	go down	wa:n.2
10.474	go out	ku:n.3
10.48	come	ćau.5
10.481	come back	ka:u.3 hua:i.5
10.49	go away, depart	la.4
10.491	disappear	la.4 lai.3
10.51	flee	lo.2 sjet.7
10.52	follow	tɔŋ.5 naŋ.6
10.53	pursue	phjau.5
10.55	reach, arrive	tjen.2
10.56	approach	mɛ.2 tjen.2
10.57	enter	ćɔŋ.2
10.61	carry (bear)	la:k.8 kau.1
10.612	carry-in-hand	te.5 li.6
10.613	carry-on-shoulder	jem.1 pa:i.1
10.614	carry-on-head	jem.1 ma.1; jem.1
10.615	carry-underarm	ćhem.5
10.62	bring	cja:n.5
10.63	send	lɔ.6 phja:u.5
10.64	lead (vb)	tja:ŋ.5; ton.5 tja:ŋ.5
10.65	drive	soi.5
10.66	ride	hɣəi.3
10.67	push, shove	ćɛ.1
10.71	road	hɣəi.3 ćɛ.1
10.72	path	fai.3
10.74	bridge	ća.5 tjen.2
10.75	carriage, wagon, cart	miŋ.1
10.76	wheel	pjen.6 ńi.6
10.77	axle	khe.1
10.78	yoke	chiŋ.5
10.81	ship	i.1 ha:u.6
