entry_id	trans_english	Ese_Ejja_Huarayo_Phonemic
4.98	intoxicated	
4.99	naked, bare	daki-'ma
5.11	eat	ixia-kwe
5.12	food	e-ixia-xi
5.121	cooked	kwa kwa-kwe
5.122	raw	eše
5.123	ripe	kia-hawa
5.124	green, unripe	hawa-ʔaxa
5.125	rotten	kia-ʔiwi
5.13	drink	iši-kwe
5.14	hunger	kia-šoʔi
5.141	famine	kia-šoʔi
5.15	thirst	
5.16	suck	bibi-kwe
5.18	chew	ixia-paša-kwe
5.181	swallow	
5.19	choke	
5.21	cook	kwa kwa-kwe
5.22	boil (vb)	dawa-okwa-kwe
5.23	roast, fry	dawa-kwe
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	meši
5.27	kettle	
5.28	pan	
5.31	dish	e-ixia-xi; tepe
5.32	plate	tepe
5.33	bowl	
5.34	pitcher, jug	
5.35	cup, drinking vessel	
5.36	saucer	
5.37	spoon	xohi-wi
5.38	knife	e-hewi-xi
5.39	fork	e-kekwa-nekia-xi
5.391	tongs	
5.41	meal (a)	bobi; nočii
5.42	breakfast	
5.43	lunch	
5.44	dinner	bobi; e-ixia-xi
5.45	supper	
5.46	peel	iša-kwe; čio-kwe
5.47	sieve, strain	ikwi-kwe
5.48	scrape	kwea-sio-kwe
5.49	stir, mix	hea-waxo-kwe
5.51	bread	
5.53	dough	
5.54	knead	
5.55	meal, flour	tabo
5.56	crush, grind	kwea-tami-ikwe
5.57	mill	ixia-moo-mee-xi
5.58	mortar	e-kekwa-poho-xi
5.59	pestle	
5.61	meat	e-yami
5.63	sausage	
5.64	soup, broth	e-na-ʔoxo
5.65	vegetables	
5.66	bean	xono-so
5.7	potato	
5.71	fruit	e-xaxa
5.712	bunch	soeɲa
5.75	fig	
5.76	grape	
5.77	nut	
5.78	olive	
5.79	oil	
5.791	grease, fat	e-sei
5.81	salt	
5.82	pepper	
5.821	chili pepper	bišo
5.84	honey	eka-'na
5.85	sugar	aka-'na
5.86	milk (noun)	toxo-'na
5.87	milk (vb)	
5.88	cheese	
5.89	butter	e-sei
5.9	beverage, drink	e-iši-xi
5.91	mead	eka-'na
5.92	wine	
5.93	beer	
5.94	fermented drink	e-iši-xi; bi'šo-'na
5.97	egg	e-'xa
5.971	egg yolk	
6.11	put on (clothes)	yošo-kwe
6.12	clothing, clothes	daki
6.13	tailor	--
6.21	cloth	daki
6.22	wool	
6.23	linen, flax	--
6.24	cotton	wapehe
6.25	silk	--
6.27	felt	--
6.28	fur	e-hee
6.29	leather	e-hee
6.31	spin	meyo-kwe; baʔio-kwe
6.32	spindle	e-baʔo-xi
6.33	weave	sipi-kwe
6.34	loom	
6.35	sew	soto-kwe
6.36	needle	e-soto-xi
6.37	awl	ikwi
6.38	thread	e-mahii
6.39	dye	
6.41	cloak	
6.411	poncho	
6.42	woman's dress	daki
6.43	coat	
6.44	shirt	daki
6.45	collar	
6.46	skirt	kimaixi
6.461	grass-skirt	--
6.48	trousers	daki kise
6.49	stocking, sock	e-heo-xi
6.51	shoe	e-heo-xi
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	e-yoxa-ha-xi
6.57	belt, girdle	
6.58	glove	
6.59	veil	
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	boba
6.72	jewel	
6.73	ring (for finger)	
6.74	bracelet	e-me-ho-ʔia-xi
6.75	necklace	e-ixi
6.76	bead	
6.77	earring	baʔe-wana-xi
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	e-yoxa-kekwa-šo
6.92	brush	
6.921	braid	
6.93	razor	e-hewi-xi
6.94	ointment	
6.95	soap	e-besa-xi
6.96	mirror	e-xa-toxa-ba-ti-xi
7.11	dwell, live	ani-kwe
7.12	house	e-'ki
7.13	hut	
7.131	garden-house	
7.14	tent	
7.15	yard, court	
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	
7.26	floor	meši
7.27	wall	
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	
7.42	bed	
7.421	pillow	
7.422	blanket	
7.43	chair	e-ani-xi
7.44	table	
7.45	lamp, torch	e-haa-sowa-xi
7.46	candle	
7.47	shelf	
7.48	trough	akwi pexa
7.51	roof	
7.52	thatch	
7.53	ridgepole	e-wi-saxa-xi
7.54	rafter	
7.55	beam	ša-ša-xaa-xi
7.56	post, pole	e-kone
7.57	board	akwi kekwa-sio
7.58	arch	e-koi-xi
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	
8.13	garden	
8.15	cultivate, till	kekwa-kwe; bana-kwe
8.16	fence	
8.17	ditch	
8.21	plow	
8.212	furrow	
8.22	dig	boho-ʔio-kwe
8.23	spade	
8.24	shovel	
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	bana-kwe
8.311	seed	e-'so
8.32	mow, reap	haa-kwe
8.33	sickle, scythe	e-haa-xi
8.34	thresh	piče-kwe
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	e'so
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	e-šixe
8.48	rice	sipone e-xaxa
8.51	grass	sipone
8.52	hay	
8.53	plant (noun)	
8.531	plant (vb)	bano-kwe
8.54	root	akwi saxa
8.55	branch	e-ɲa
8.56	leaf	akwi ʔiɲa
8.57	flower	e-šaša
8.6	tree	akwi
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	xono
8.68	tobacco	šawano e-ixia-wičača-xi
8.69	smoke (tobacco)	šawano ixia-wičača-kwe
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	akwi
8.74	forked branch	akwi yaa
8.75	bark	e-hee
8.76	sap	
8.81	palm tree	xi
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	e-hawi
8.85	banyan	--
8.91	sweet potato	
8.912	yam	
8.92	tapioca, manioc, cassava	eki
8.93	gourd	
8.931	pumpkin, squash	tepe
8.94	bamboo	dewe
8.941	sugar cane	e'ka
8.96	fish poison (root)	akwi mano-xe
8.97	nettle	
8.98	mushroom	di
9.11	do, make	a-kwe
9.12	work	a-kwe
9.14	bend	hea-koii-kwe; kokwa-kwe
9.15	fold	kabobo-kwe
9.16	tie, bind	heo-nekia-kwe
9.161	untie	pičo-kwe
9.18	chain	
9.19	rope, cord	ato; xono
9.192	knot (noun)	pošo
9.21	strike (hit, beat)	poho-kwe
9.211	pound with fist	kwia-kea-kwe
9.22	cut	haa-kwe
9.221	cut down	
9.222	chop, hew	kekwa-nekia-kwe
9.223	stab	
9.23	knife	e-haa-xi
9.24	scissors, shears	
9.25	ax	šoši-xi
9.251	adze	
9.26	break	
9.261	broken	
9.27	split	taa-kwe
9.28	tear	isa-kwe
9.29	flay, skin	hee-iša-kwe
9.31	rub, wipe	kwi-kwe
9.32	stretch	še-kwe
9.33	pull	čio-kwe
9.34	spread out	
9.341	hang up	baʔe-kwe
9.342	press	iɲa-peʔe-kwe
9.343	squeeze, wring	
9.35	pour	šo-kwe; wexo-kwe
9.36	wash	šaka-kwe; taxa-kwe
9.37	sweep	šabo-kwe
9.38	broom	e-šabo-xi
