entry_id	trans_english	Siona_Phonemic
4.43	navel	čõho-me; čõhõ-pˀɨ
4.44	heart	awɨ; tˀekoyo
4.441	lung	
4.45	liver	sˀeme-pˀɨ
4.451	kidney	
4.452	spleen	
4.46	stomach	kˀɨta; wokopˀɨ
4.461	intestines, guts	kˀɨtame; kˀɨta tuʔu
4.462	waist	kˀɨtatˀo; sɨtˀi seiwɨ
4.463	hip	sɨtˀi seiwɨ
4.464	buttocks	kˀɨ̃so; kˀɨ̃sowa
4.47	womb	
4.49	testicle	kˀahepˀɨ
4.492	penis	kˀo nẽyo
4.51	breathe, breath	yiʔe-hi
4.52	yawn, gape	yaʔa-hi
4.521	hiccough	
4.53	cough	koʔko; koʔko-hi
4.54	sneeze	wẽsi-hi
4.55	perspire	haʔsu yahi-hi
4.56	spit	kˀo; kˀotˀe tutu-hi
4.57	vomit	siso-hi
4.58	bite	kũʔĩ; kũkuhi
4.59	lick	neʔne-hi
4.591	dribble	
4.61	sleep	kãĩ-hi
4.612	snore	tɨnɨ-hi; tɨtˀɨ-hi
4.62	dream	kɨyo; [sũyã]-hi
4.63	wake up	sɨto-hi; sɨta-hi
4.64	break wind	
4.65	urinate	kˀo nẽ-hi
4.66	defecate	kˀɨna-hi; kˀɨta kˀɨna-hi
4.67	have sexual intercourse	
4.68	shiver	tõʔtohi
4.69	bathe	apˀu-hi
4.71	beget (of father)	sˀĩ kuʔehi; hohoheihi
4.72	born (to be)	
4.73	pregnant	sˀĩpˀɨ
4.732	conceive	sˀĩ nɨkakˀo
4.74	live, living, life	pˀaʔihi; wahɨhi
4.75	die, dead	wesɨ-hi; huʔĩ-hi
4.751	drowned	tˀukahi; kʷˀeãhi
4.76	kill	wai-hi; wahi
4.77	corpse	kˀaʔni
4.78	bury (the dead)	tã-hi
4.79	grave, tomb	tã yiha; tã kˀohe
4.81	strong, mighty, powerful	hɨha-hi; ɨhahi
4.82	weak	pãʔpo-hi
4.83	well, health	
4.84	sick, sickness	huʔĩ-hi; tˀayo-hi
4.841	fever	hayohi
4.842	goiter	
4.843	cold (catarrh)	
4.85	wound, sore	kaʔmi; kãʔmi
4.852	bruise	
4.853	swelling	haʔhu-hi; mehi
4.854	itch	wãki-hi
4.855	blister	pˀɨpˀɨ-hi
4.856	boil (noun)	sõso
4.857	pus	
4.858	scar	
4.86	cure, heal	wačo-hi
4.87	physician	
4.88	medicine, drug	ʔɨko; wãkɨ
4.89	poison	eo
4.91	tired, weary	kʷˀahahi; yaʔhahi
