entry_id	trans_english	Aramaic_Ancient_Phonemic
1.88	firewood	ḳēsē
1.89	charcoal	gmūrtā; paχmā
2.1	person, human being	barnāšā
2.21	man (vs. woman)	gabrā
2.22	woman	ʔinttā ̃ ʔattā
2.23	male	dekrā; gabrā
2.24	female	neḳbtā
2.25	boy	ʁlēmā; ṭalyā; yaldē
2.251	young man (adolescent)	ʁlēmā; ṭalyā
2.26	girl	ṭlītā; rbītā
2.261	young woman (adolescent)	ṭlītā; rbītā
2.27	child	yānōḳā; dardḳā
2.28	infant, baby	yānōḳā; dardḳā
2.31	husband	baʁlā; gabrā
2.32	wife	ʔinttā ̃ ʔattā
2.33	marry	bʁal; ʔetχattan; nseb; šawtep; zawweg; barzeg
2.34	marriage, wedding	zuwwāga; hīlūlā
2.341	divorce	šbūḳīn; pṭūrīn
2.35	father	ʔabbā
2.36	mother	ʔemmā
2.37	parents	ʔabāhātā; yālödë
2.38	married man	bar-zawgā
2.39	married woman	ʔinttā ̃ ʔattā
2.41	son	brā
2.42	daughter	bartā ̃ brattā
2.43	offspring (son or daughter)	tawledtā; yānōḳā
2.44	brother	ʔaχā
2.444	older brother	ʔaχā rabbā
2.445	younger brother	ʔaxā zʁērā
2.45	sister	χātā
2.454	older sister	χātā rabbtā
2.455	younger sister	χātā zʁērtā
2.456	sibling	ʔaχā/χātā
2.458	twins	tāʔmē ̃ tlīmē
2.46	grandfather	sābā; sabbā
2.461	old man	sābā
2.47	grandmother	sābtā
2.471	old woman	sābtā
2.48	grandson	bar-brā
2.49	granddaughter	brat-bartā
2.51	uncle	dādā; χālā
2.511	mother's brother	χālā
2.512	father's brother	dādā
2.52	aunt	dādtā; xǎbībtā
2.521	mother's sister	--
2.522	father's sister	--
2.53	nephew	bar-ʔaχā; bar-χātā
2.54	niece	brat-ʔaχā; brat-xātā
2.55	cousin	bar-dādā
2.56	ancestors	abāhātā
2.57	descendants	zarʁē; zarʁā; zarʁyātā
2.61	father-in-law (of a man)	χmā; χemyānā
2.611	father-in-law (of a woman)	χmā
2.62	mother-in-law (of a man)	χmātā
2.621	mother-in-law (of a woman)	χmātā
2.63	son-in-law (of a man)	xatnā
2.631	son-in-law (of a woman)	xatnā
2.64	daughter-in-law (of a man)	kalltā
2.641	daughter-in-law (of a woman)	kalltā
2.71	stepfather	--
2.72	stepmother	--
2.73	stepson	--
2.74	stepdaughter	--
2.75	orphan	ytāmā
2.76	widow	ʔarmlā; ʔarmaltā
2.77	widower	ʔarmlā; ʔarmālā
2.81	relatives, kinsmen	ḳarrībē
2.82	family	bēt-ʔab; nāšē; šarbtā
2.91	I	ʔanā ̃ ʔenā; -nā
2.92	you (singular)	ʔat
2.93	he/she/it	hū/hī
2.94	we	ʔanaχnā ̃ χnan; -nan
2.941	we (inclusive)	--
2.942	we (exclusive)	--
2.95	you (plural)	ʔattōn; -tōn
2.96	they	himmō ̃ hennōn ̃ ʔennōn
3.11	animal	χaywtā
3.12	male (adj)	dkar
3.13	female (adj)	neḳbā
3.15	livestock	bʁīrā
3.16	pasture	bēt-marʁītā
3.18	herdsman	rāʁyā
3.19	stable, stall	ʔōryā
3.2	cattle (bovine)	baḳrā; bʁīrā
3.21	bull	tawrā
3.22	ox	tawrā
3.23	cow	tawrtā; parrtā
3.24	calf	ʁeglā
3.25	sheep	ʔemrā; neḳyā; ʁānā
3.26	ram	dekrā
3.28	ewe	ʔemrā; taʔtā
3.29	lamb	ʔemrā; ṭalyā
3.32	boar	χzīrā̉; χzīr-barrā
3.34	sow	χzīrtā
3.35	pig	χzīrā
3.36	goat	ʁanzā ̃ ʁezzā
3.37	he-goat	ṣpīrā ̃ barχā
3.38	kid	gadyā
3.41	horse (equine)	sūsyā
3.42	stallion	paχlā
3.44	mare	sūsyā
3.45	foal, colt	ʁīlā; mūhrā
3.46	ass, donkey	χmārā
3.47	mule	baglā; kūdānā
3.5	fowl	pāraχtā ̃ ṣippārā
3.52	cock, rooster	tarnāglā
3.54	hen	tarnāgūltā
3.55	chicken	zāgā; zāgzūgā
3.56	goose	ʔǎwāzā; wāzā
3.57	duck	ʔǎwāzā; wāzā
3.58	nest	ḳennā
3.581	bird	pāraχtā; ṣippārā
3.582	seagull	--
3.583	heron	šālē-nūnē
3.584	eagle	nešrā
3.585	hawk	neṣṣā
3.586	vulture	ʁayṭā; ḳarḳāsä
3.591	bat	χarpdā; praχdūdā
3.592	parrot	[psīṭaḳaws]
3.593	crow	ḳarḳāsā; giyōlā
3.594	dove	yawnā; waršānā
3.596	owl	qappūpā ̃ qippūpā
3.61	dog	kalbā
3.614	rabbit	ʔarnbā
3.62	cat	šūnrā ̃ šūrānā ̃ šūnārā
3.622	opossum	--
3.63	mouse, rat	ʁakbrā; ʁuḳbrā
3.65	fish	nūnā
3.652	fin (dorsal)	gappā; snappïrā
3.653	fishscale	ḳasḳāsā
3.654	gill	ʔednā
3.655	shell	--
3.661	shark	ṭaχāntā
3.662	porpoise, dolphin	[delpīnā]
3.663	whale	tannīnā; ḳēṭā
3.664	stingray	--
3.665	freshwater eel	--
3.71	wolf	dībā
3.72	lion	ʔaryā
3.73	bear	dubbā
3.74	fox	taʁlā
3.75	deer	ʔaylā
3.76	monkey	ḳōpā
3.77	elephant	pīlā
3.78	camel	gamlā
3.81	insect	--
3.811	louse	ḳalmā; kalmtā
3.812	nit (louse egg)	nābā
3.813	flea	purtaʁnā; pašpūšā
3.814	centipede	naddālā
3.815	scorpion	ʁaḳrbā
3.816	cockroach	--
3.817	ant	namlā
3.818	spider	gwāgāyā; ʁakkbītā
3.819	spider web	gwāgay; nawlā
3.82	bee	debbōrītā; debbōrtā
3.821	beeswax	šʁōtā
3.822	beehive	kawwārā
3.823	wasp	debbōrā; ʔōrʁītā
3.83	fly	debbābā
3.831	sandfly (midge), gnat	bāḳā
3.832	mosquito	bāḳā; pārōχā
3.84	worm	tawlaʁtā; sāsā
3.85	snake	χewyā
3.91	firefly	yrīʁē
3.92	butterfly	sāsā
3.93	grasshopper	qamṣā
3.94	snail	[kōklyās; ḳūklānā]
3.95	frog	ʔūrdʁā
3.96	lizard	smāmītā (??)
3.97	crocodile, alligator	[tannīnā; tamsīx; krokodīlos]
3.98	turtle	--
4.11	body	gwītā; gūšmā
4.12	skin, hide	maškā
4.13	flesh	besrā
4.14	hair (head)	saʁrā
4.142	beard	deqnā
4.144	body hair	menntā; bīnā; zemtā
4.145	pubic hair	ʔazbā
4.146	dandruff	--
4.15	blood	dmā; ʔadmā
4.151	vein, artery	warrīdā
4.16	bone	garmā
4.162	rib	ʔelʁā
4.17	horn	ḳarnā
4.18	tail	ʔlītā; dunbā
4.19	back	gabbā
4.191	spine	ʁuḳṣā; šedrā
4.2	head	rēšā
4.201	side of head, temple	ṣedʁā
4.202	skull	gulgaltā; mūχā; ḳōdḳdā
4.203	brain	mǖχā
4.204	face	ʔappē; [parcōpā]
4.205	forehead	bēt-ʔappē; ʔapūtā; bēt-ʁaynē; reš-[parcōpā]
4.207	jaw	lōʁā; pakkā
4.208	cheek	leχyā; pakkā
4.209	chin	klāzūzā
4.21	eye	ʁaynā
4.212	eyebrow	galgal-ʁaynē
4.213	eyelid	šiknā; temrā
4.214	eyelash	--
4.215	blink	saḳḳar
4.22	ear	ʔednā ̃ ʔudnā
4.221	earlobe	ṭarpā-d-ʔednā
4.222	earwax	--
4.23	nose	ʔappā
4.231	nostril	nχīrā
4.232	mucus (nasal)	χurdmā
4.24	mouth	pūmā ̃ pmā
4.241	beak	maḳḳōrā
4.25	lip	sepptā
4.26	tongue	leššānā
4.27	tooth	šennā
4.271	gums	dūrā-d-šennē
4.272	molartooth	kakkā
4.28	neck	ḳdālā
4.281	nape of neck	ḳāpyā
4.29	throat	ḳūʁā; ṣawrā
4.3	shoulder	katpā
4.301	shoulderblade	rapšā (d-katpā)
4.302	collarbone	--
4.31	arm	drāʁā
4.312	armpit	bēt-šiχyā
4.32	elbow	garmīdā; gappā;
4.321	wrist	--
4.33	hand	ydā ̃ ʔīdā
4.331	palm of hand	kappā
4.34	finger	ʔeṣbʁā; ṣebʁā
4.342	thumb	ʔelyōnā; krātā
4.344	fingernail	ṭeprā
4.345	claw	ṭeprā
4.35	leg	krāʁā;
4.351	thigh	šāqā; krāʁā
4.352	calf of leg	--
4.36	knee	burkā; ʔarkubtā ̃ rkubtā
4.37	foot	reglā
4.371	ankle	ḳarsōlā ̃ ḳurṣlā
4.372	heel	ʁeḳbā
4.374	footprint	--
4.38	toe	--
4.392	wing	gappā ̃ gadpā ̃ kenpā
4.393	feather	ʔebrā; gelpānā
4.4	chest	χadyā; χubbā
4.41	breast (of woman)	tdā; daddā; χadyā
4.412	nipple, teat	bezzā
4.42	udder	bezzā
4.43	navel	šerrā ̃ šurrā; ṭibbūra; knūšrā
4.44	heart	lebbā
4.441	lung	rātā
4.45	liver	kabdā
4.451	kidney	kōlītā
4.452	spleen	ṭχālā
4.46	stomach	karsā
4.461	intestines, guts	mʁayyā
4.462	waist	--
4.463	hip	gessā; ʁaṭmā
4.464	buttocks	ʔešštā; špōlā
4.47	womb	mʁayyā; raχmā; beṭnā
4.49	testicle	ʔešktā
4.492	penis	dekrā
4.51	breathe, breath	npaš, nšam
4.52	yawn, gape	pahhar
4.521	hiccough	--
4.53	cough	šʁal
4.54	sneeze	ʁṭaš
4.55	perspire	dʁet; dayyet
4.56	spit	raḳ
4.57	vomit	gsā; gʁaṭ; gʁam; ʔtīb
4.58	bite	nkat
4.59	lick	lχak
4.591	dribble	--
4.61	sleep	dmok; nām
4.612	snore	nχar
4.62	dream	χlam
4.63	wake up	ʁār; ḳām
4.64	break wind	ʁraṭ
4.65	urinate	tān; štan
4.66	defecate	zabbel; χrā; ʔappeḳ
4.67	have sexual intercourse	bʁal; ʔezdamman; ʔeštawtap
4.68	shiver	zaʁ
4.69	bathe	sχā
4.71	beget (of father)	ylad; ʔawled
4.72	born (to be)	ʔetyled
4.73	pregnant	mʁabbrā; bṭīnā; ṭʁīnā
4.732	conceive	bṭen; hrā; ʁrā
4.74	live, living, life	χay; χayyīn
4.75	die, dead	mīt
4.751	drowned	ʔetχannaḳ; ʔeṭṭabbaʁ
4.76	kill	ḳṭal
4.77	corpse	pagrā
4.78	bury (the dead)	qbar
4.79	grave, tomb	ḳabrā
4.81	strong, mighty, powerful	šarrīr; zrīz; χassīn; ʁazīz; ʁaššīn
4.82	weak	dwē; bṣīr; χalaš; nsīs; paχχīχ; rpē; tšīš
4.83	well, health	šlem; χlīm
4.84	sick, sickness	mraʁ
4.841	fever	ʔešštā; dlīḳtā; ṣemrā
4.842	goiter	--
4.843	cold (catarrh)	dawbā; ḳaršā
4.85	wound, sore	mχōtā; xbārtā; šūmtā
4.852	bruise	ṣlāptā; ḳebyǟnā; ḳūsḳāsā
4.853	swelling	nuppāχā
4.854	itch	garbā
4.855	blister	--
4.856	boil (noun)	nuppāχā
4.857	pus	massyūtā; mūglā; tamsūtā; rehlā
4.858	scar	kwāyā; šūmtā
4.86	cure, heal	ʔassī; ʔaχlem; sawsī; ʁaṣṣeb; rappī
4.87	physician	ʔāsyā
4.88	medicine, drug	sammā; ʔāsyūtā
4.89	poison	χemmtā; sammā dmawtā
4.91	tired, weary	ʁayyīp; ḳhē; tʁīš
4.912	rest	nāχ
4.92	lazy	baṭṭāl; bāṭlānā; rpē; špel
4.93	bald	ḳrāχ
4.94	lame	χgīr
4.95	deaf	χreš; ʔaṭṭīm
4.96	mute	χreš
4.97	blind	smē;
4.98	intoxicated	rawwāy
4.99	naked, bare	ʁarṭīlāy
5.11	eat	ʔkal
5.12	food	mēklā; māzōnā; ʔuklā; laχmā
5.121	cooked	baššīl
5.122	raw	χay
5.123	ripe	baššil
5.124	green, unripe	rgē
5.125	rotten	msē; pāχōχ; taχχīχ
5.13	drink	ʔeštī
5.14	hunger	kapnā
5.141	famine	kapnā
5.15	thirst	ṣhūtā; ṣahyūtā
5.16	suck	maṣ; mṣā; maṣmeṣ
5.18	chew	lʁas
5.181	swallow	blaʁ
5.19	choke	ʔetχneḳ
5.21	cook	bšal
5.22	boil (vb)	rtaχ; ʔgīχ
5.23	roast, fry	ṭwā; ṣlā; ḳlā
5.24	bake	ʔpā
5.25	oven	tinnūrā; ʔattūna
5.26	pot, cooking vessel	dūdā; ḳedrā
5.27	kettle	dūdā
5.28	pan	kappā; ṭignā
5.31	dish	kappā; [pīnkā]
5.32	plate	--
5.33	bowl	ʔaggānā
5.34	pitcher, jug	ḳūltā; lgīnā
5.35	cup, drinking vessel	kāsā
5.36	saucer	mēḳītā
5.37	spoon	kappā
5.38	knife	sakkīnā
5.39	fork	mašlyā
5.391	tongs	kalbtā; malḳtā
5.41	meal (a)	šērūtā ̃ šārūtā
5.42	breakfast	--
5.43	lunch	--
5.44	dinner	--
5.45	supper	--
5.46	peel	paṣṣel; ḳlap
5.47	sieve, strain	--
5.48	scrape	grad
5.49	stir, mix	mzag
5.51	bread	laχmā
5.53	dough	ʔāṣūtā; layšā
5.54	knead	gbal; lāš
5.55	meal, flour	ḳamχā
5.56	crush, grind	ṭχan; šχaḳ; daḳḳek
5.57	mill	raχyā; ṭuχntā
5.58	mortar	ʔasettā; madduktā; mdakktā
5.59	pestle	bukkānā; dāḳōḳā
5.61	meat	besrā
5.63	sausage	--
5.64	soup, broth	būšālā; zōmā
5.65	vegetables	yarḳā
5.66	bean	pūlā
5.7	potato	--
5.71	fruit	?ebbā
5.712	bunch	ʔetklā; mēsartā
5.75	fig	tēnā; tēttā
5.76	grape	ʁenbā
5.77	nut	gawzā; gawztā
5.78	olive	zaytā
5.79	oil	mešχā
5.791	grease, fat	mešχā; šammīnā
5.81	salt	melχā
5.82	pepper	pelplā
5.821	chili pepper	--
5.84	honey	debšā
5.85	sugar	šakkrā
5.86	milk (noun)	χelbā
5.87	milk (vb)	χlab
5.88	cheese	gbettā
5.89	butter	χemʔtā ̃ χēwtā
5.9	beverage, drink	mzāgā; šāḳūtā; mašḳītā; šeḳyā
5.91	mead	šakkrā
5.92	wine	χamrā
5.93	beer	šakrā
5.94	fermented drink	šakrā
5.97	egg	bēʁtā
5.971	egg yolk	yūrāḳā; mōḳrā
6.11	put on (clothes)	lbeš; �ʔetlbeš
6.12	clothing, clothes	lbāšā; talbuštā
6.13	tailor	χayyāṭā
6.21	cloth	--
6.22	wool	ʁamrā
6.23	linen, flax	kettānā; būṣā
6.24	cotton	ʁamar-gupnā
6.25	silk	[mīṭaḳsā]
6.27	felt	gušpā; lebdā; [pīlōṭā]
6.28	fur	meškā
6.29	leather	geldā; meškā
6.31	spin	ʁzal; dawwel; dal; ṭwā; bkat
6.32	spindle	maʁzālā; sarnā
6.33	weave	ʔrag; mχā; sbak; ʁarzel; paššel
6.34	loom	nawlā
6.35	sew	χāṭ
6.36	needle	mχaṭṭā
6.37	awl	marṣʁā; maḳbā
6.38	thread	χūṭā; dūlā; bīnā
6.39	dye	ṣebʁā; sammā
6.41	cloak	ʁṭāpā; gūltā; marṭūṭā
6.411	poncho	--
6.42	woman's dress	--
6.43	coat	--
6.44	shirt	χlūḳā; gūltā; kittōnītā
6.45	collar	zīrā
6.46	skirt	kenpā
6.461	grass-skirt	--
6.48	trousers	[ʔabarqsīn]; [sarblā]
6.49	stocking, sock	--
6.51	shoe	msānā
6.52	boot	--
6.54	shoemaker, cobbler	ʔeškǟpā
6.55	hat, cap	--
6.57	belt, girdle	ʔesārā; hemyānā; zōnārā
6.58	glove	--
6.59	veil	rdīdā; šuššeppā
6.61	pocket	kīsā
6.62	button	--
6.63	pin	ḳlīdā; dʁāṣā
6.71	ornament, adornment	takšīṭā; ṣubbātā
6.72	jewel	ʔabnā
6.73	ring (for finger)	ʁezḳtā; zīrā
6.74	bracelet	šērā
6.75	necklace	zīrā
6.76	bead	χumrā
6.77	earring	ḳdāšā
6.78	headband, headdress	maṣnaptā; burzinḳā
6.79	tattoo	--
6.81	handkerchief, rag	blaytā
6.82	towel	suddārā
6.91	comb	masrḳā
6.92	brush	--
6.921	braid	gdal
6.93	razor	gallābā
6.94	ointment	šyāptā
6.95	soap	[ṣabbōn]
6.96	mirror	maχzītā; nawrā
7.11	dwell, live	yteb; šrā
7.12	house	baytā
7.13	hut	mṭalltā
7.131	garden-house	bītānā
7.14	tent	mašknā
7.15	yard, court	tarbṣā
7.16	men's house	--
7.17	cookhouse	bēt-ṭabbāχā
7.18	meeting house	--
7.21	room	ḳayṭōnā; tawwānā
7.22	door, gate	daššā; tarʁā
7.221	doorpost, jamb	mzūzītā; [prostdā]
7.23	lock (noun)	--
7.231	latch, door-bolt	ʔχādā
7.24	key	maptχā; ḳlīdā
7.25	window	kawtā
7.26	floor	ʔarʁā
7.27	wall	šūrā
7.31	fireplace	tpāyā
7.32	stove	tinnūrā; ʔattūnā
7.33	chimney	bēt-nūrā
7.37	ladder	sebbeltā
7.42	bed	ʁarsā
7.421	pillow	--
7.422	blanket	--
7.43	chair	kursyā
7.44	table	paššūrā
7.45	lamp, torch	būṣīnā; [lampēdā]; [pānsā]; nabreštā
7.46	candle	[ḳandēlā]
7.47	shelf	--
7.48	trough	ʔaṣūtā; gūrnā; šeḳyā
7.51	roof	ʔeggārā
7.52	thatch	--
7.53	ridgepole	--
7.54	rafter	gšūrā ̃ kšūrā
7.55	beam	gšūrā; kšūrā
7.56	post, pole	ḳāymā
7.57	board	dappā
7.58	arch	kepptā
7.61	mason	ʔargūblā
7.62	brick	lbettā
7.63	mortar	mlāṭā
7.64	adobe	––
8.11	farmer	ʔakkārā; χakkōrā; pallāχā
8.12	field (for cultivation)	χaḳlā
8.13	garden	[bustānā]; ginnā
8.15	cultivate, till	rdā; χraš
8.16	fence	gdērā
8.17	ditch	χrīṣtā
8.21	plow	paddānā
8.212	furrow	krābā; telmā; ʔummānā
8.22	dig	χṭaṭ; χpar; χrat; krā; nḳab; nḳar
8.23	spade	magrōpītā
8.24	shovel	passā; rapšā
8.25	hoe	marrā
8.26	fork	mašlyā
8.27	rake	mātōrā
8.31	sow	zraʁ
8.311	seed	bazrā; bar-zarʁā; zarʁōnā
8.32	mow, reap	χṣad
8.33	sickle, scythe	magglā; maggaltā
8.34	thresh	dāš
8.35	threshing-floor	ʔeddrā
8.41	crop, harvest	ʁlaltā; χṣādā
8.42	grain (barley, oats etc)	ʁbūrā
8.43	wheat	χeṭṭē
8.44	barley	sʁārē
8.45	rye	--
8.46	oats	--
8.47	maize, corn	--
8.48	rice	ʔorzā; rōzā
8.51	grass	ʁesbā; detʔā [tēdʔā]; χṣīrtā
8.52	hay	ʁmīrā; ʁupyā
8.53	plant (noun)	ṣemχā
8.531	plant (vb)	nṣab
8.54	root	ʁeḳḳārā
8.55	branch	ʁnāpā; sawkā; sawktā
8.56	leaf	ṭarpā
8.57	flower	parχā; perʁā; ʁupyā
8.6	tree	ʔīlānā
8.61	oak	ballūṭā
8.62	beech	--
8.63	birch	--
8.64	pine	ʔarzā
8.65	fir	ʔarzā
8.66	acorn	ballūṭā
8.67	vine	gupnā; karmā
8.68	tobacco	--
8.69	smoke (tobacco)	--
8.691	pipe	--
8.72	tree stump	gardōmā
8.73	tree trunk	guzʁā; sarnā
8.74	forked branch	--
8.75	bark	ḳalptā
8.76	sap	--
8.81	palm tree	deḳlā
8.82	coconut	--
8.83	citrus fruit	[ṭrongā; ṭruggā]
8.84	banana tree	--
8.85	banyan	--
8.91	sweet potato	--
8.912	yam	--
8.92	tapioca, manioc, cassava	--
8.93	gourd	paḳḳūʁā; ḳaṭṭūtā
8.931	pumpkin, squash	būṣṣīnā
8.94	bamboo	--
8.941	sugar cane	--
8.96	fish poison (root)	--
8.97	nettle	χkākā
8.98	mushroom	--
9.11	do, make	ʁbad
9.12	work	plaχ
9.14	bend	gχan; knaʁ; kpā; kap; ṣlā; ʔetrken
9.15	fold	ʁāp
9.16	tie, bind	kpat
9.161	untie	šarrī
9.18	chain	ʔasūrā; ʔsārā; kablā; ʁraḳtā; šūrā; šēšaltā
9.19	rope, cord	χablā; ʔešlā; gdīltā
9.192	knot (noun)	ḳeṭrā
9.21	strike (hit, beat)	mχā
9.211	pound with fist	ktaš; χbaṭ
9.22	cut	ḳṭaʁ
9.221	cut down	χbaṭ; ḳṭam
9.222	chop, hew	ḳaṣ
9.223	stab	nḳab
9.23	knife	sakkīnā
9.24	scissors, shears	masprā
9.25	ax	χaṣṣīnā; kūlbā; magzrā; nārgā; sīḳḳūrā; pelḳā
9.251	adze	--
9.26	break	tbar
9.261	broken	tbīr
9.27	split	bzaʁ; saddeḳ; pṣal
9.28	tear	ḳraʁ
9.29	flay, skin	sarreḳ
9.31	rub, wipe	mraḳ; šāp
9.32	stretch	mtaχ; ngad
9.33	pull	mtaχ
9.34	spread out	ʔetnged; praχ; ṭpaχ
9.341	hang up	tlā
9.342	press	dχaḳ; zrab; χbaṣ; kbaš; ʁṣar; ʔalleṣ; ʔnas
9.343	squeeze, wring	mṣā; maṣṣī
9.35	pour	nsak; ʔšad; ʔaχχet
9.36	wash	sχā; ʔasseχ
9.37	sweep	grap; knaš
9.38	broom	mabbīnā; maknaštā
9.422	tool	mānā
9.43	carpenter	naggārā
9.44	build	bnā
9.46	bore	nḳab
9.461	hollow out	χalχel
9.48	saw	massārā; msērā
9.49	hammer	ḳurnāsā; marzaptā
9.5	nail	sekktā
9.56	glue	debḳā; gīrā
9.6	smith, blacksmith	χāšōlā ̃ χaššālā
9.61	forge	χlaš
9.62	anvil	saddānā
9.63	cast (metals)	nsak
9.64	gold	dahbā
9.65	silver	kaspā
9.66	copper, bronze	nχāšā
9.67	iron	parzlā
9.68	lead (noun)	ʔabbārā; ʔānkā
9.69	tin, tinplate	ʔānkā
9.71	potter	paχχārā
9.72	mold (clay etc)	gbal
9.73	clay	χaspā ̃ χeṣpā
9.74	glass	zgūgītā ̃ zkūkītā
9.75	weave, plait	ʔaštī; ʁarzel; sbak; nwal; mχā; lāp
9.76	basket	sallā; zabbīlā; msantā
9.77	mat	bōryā; šṭīχā; ṣeptā
9.771	rug	[ṭāpīṭā]
9.78	netbag	mādīḳā
9.79	fan (noun)	madryā; napyā; rapšā
9.791	fan (vb)	rpaš; nap
9.81	carve	glap; ṣār
9.82	sculptor	gallāpā
9.83	statue	ḳayyemtā; [ʔandarṭā]; ṣalmā; dmūtā
9.84	chisel	maḳḳārā
9.88	paint (noun)	ṣbāʁā; sammā
9.89	paint (vb)	--
10.11	move	zāʁ; nād
10.12	turn over	ʔpak
10.13	turn around	tāb; χzar
10.14	wind, wrap	krak
10.15	roll	galgel
10.16	drop (vb)	rmā; arpī; ʔappel; ʔattar; ʔaχχet
10.17	twist	gdal
10.21	rise	sleḳ
10.22	raise, lift	salleḳ
10.23	fall	npal
10.24	drip	nṭap; dlap
10.25	throw	zraḳ; ʔaddī; rmā
10.252	catch (ball)	ʔχad
10.26	shake	zaʁzaʁ
10.32	flow	dāb; ngad
10.33	sink	ṭbaʁ
10.34	float	ṭāp
10.35	swim	sχā; šāṭ ̃ šʁaṭ
10.351	dive	--
10.352	splash	zlaχ; rsas
10.36	sail (vb)	--
10.37	fly (vb)	ṭās; praχ
10.38	blow	npaχ; nšab; nšam; nšap
10.41	creep, crawl	rχaš
10.412	kneel	brak
10.413	crouch	rbaʁ
10.42	slide, slip	--
10.43	jump, leap	šār
10.431	kick	bʁaṭ
10.44	dance	rḳad
10.45	walk	hallek
10.451	limp	χgar; ṭlaʁ
10.46	run	rhaṭ
10.47	go	ʔzal; hlak
10.471	go up	sleḳ
10.472	climb	rkab; ṭarpes
10.473	go down	nχet
10.474	go out	npaḳ
10.48	come	ʔetā
10.481	come back	tāb; χzar
10.49	go away, depart	ʔezal; pṭar; praš; ʔarχeḳ
10.491	disappear	ʔezal; ʔetʁalem
10.51	flee	ʁraḳ
10.52	follow	rdap; dbaḳ; ʔagged; ʁḳab
10.53	pursue	rdap
10.55	reach, arrive	mṭā
10.56	approach	ḳreb
10.57	enter	ʁal
10.61	carry (bear)	ṭʁan; sbal; šḳal
10.612	carry-in-hand	--
10.613	carry-on-shoulder	ktap
10.614	carry-on-head	--
10.615	carry-underarm	--
10.62	bring	ʔaytī; ybal; ʔawbel
10.63	send	šlaχ; šaddar
10.64	lead (vb)	dbar; dabbar
10.65	drive	rdā
10.66	ride	rkeb
10.67	push, shove	dχā; dχap; dχaḳ
10.71	road	ʔorχā
10.72	path	šbīlā; kebšā
10.74	bridge	gešrā; tattūrā
10.75	carriage, wagon, cart	ʁāgaltā
10.76	wheel	galglā; gīglā
10.77	axle	sarnā; šūrā
10.78	yoke	nīrā; zawgā; paddānā
10.81	ship	ʔellpā; spīttā
10.83	boat	ʔellpā; būṣītā
10.831	canoe	--
10.832	outrigger	--
10.84	raft	klakkā; mākūtā
10.85	oar	līḳā; gādōpā
10.851	paddle (noun)	--
10.852	row (vb)	--
10.86	rudder	līḳā
10.87	mast	turnā; sḳaryā
10.88	sail (noun)	kuttïnā; ḳunbā
10.89	anchor	[ʔanḳōrā]; [ʔewḳīnā]
10.91	harbor, port	[lmēnā]
10.92	land (vb)	--
11.11	have	ʔīt-l-
11.12	own, possess	ḳnā
11.13	take	nseb; šḳal; lḳaχ
11.14	seize, grasp	ʔeχad
11.15	hold	ʔeχad
11.16	get, obtain	ḳnā
11.17	keep, retain	nṭar
11.18	thing	ṣbūtā
11.21	give	ntan; yhab
