entry_id	trans_english	Ignaciano_Phonemic
4.63	wake up	-'ehamika
4.64	break wind	-'ehiwaka
4.65	urinate	-haʔa
4.66	defecate	-saka
4.67	have sexual intercourse	
4.68	shiver	-yayahika; -'irimamaika
4.69	bathe	-'ikača; -kawa
4.71	beget (of father)	-kačiča
4.72	born (to be)	-'učuka
4.73	pregnant	-'ekahariaka
4.732	conceive	
4.74	live, living, life	-'itaresira
4.75	die, dead	-'epena
4.751	drowned	-'erika; 'hutakiʔa
4.76	kill	-kapa; -kapa-reka
4.77	corpse	'maepenakene
4.78	bury (the dead)	-'emuriača
4.79	grave, tomb	ekari
4.81	strong, mighty, powerful	muraka; tume
4.82	weak	waipa 'tume-na
4.83	well, health	-kanaraka
4.84	sick, sickness	humare; -juma
4.841	fever	[-fiebre]-ra
4.842	goiter	kutu; -kutuwa
4.843	cold (catarrh)	urare
4.85	wound, sore	-hara
4.852	bruise	
4.853	swelling	-ama; -'amaʔa
4.854	itch	
4.855	blister	-'emuyu
4.856	boil (noun)	-kec̷e; -'amaʔa
4.857	pus	iture
4.858	scar	tanarasine
4.86	cure, heal	-'ipuča; -'i'mipureka
4.87	physician	[lustur; dostur]
4.88	medicine, drug	ipuruhi; -'ipuruhi
4.89	poison	tamati
4.91	tired, weary	-wita
4.912	rest	-naraka
4.92	lazy	-yakuhiwa
4.93	bald	'mahaʔisi; 'mahasi
4.94	lame	tičurupaekečawa
4.95	deaf	'tuʔukiɲa
4.96	mute	murakaka-nene
4.97	blind	'pučuki
4.98	intoxicated	-kawaʔa-kene
4.99	naked, bare	'mamu'iriare
5.11	eat	-nika
5.12	food	čeruhi; -niru
5.121	cooked	'timakipa
5.122	raw	enaʔa; enane
5.123	ripe	tiyaʔa; tayane
5.124	green, unripe	enane
5.125	rotten	-muyu; -ka-muyu-ka
5.13	drink	-era
5.14	hunger	-'ekuʔawa
5.141	famine	'tekuʔaiča
5.15	thirst	-maune-wa
5.16	suck	-čučuka
5.18	chew	-nipapahika
5.181	swallow	-hirika
5.19	choke	
5.21	cook	-'imakiča; -'imakieka
5.22	boil (vb)	-čuna-ka; -ričačaka
5.23	roast, fry	-'ahimaka; -'ahimareka
5.24	bake	-nakahuereka
5.25	oven	['hurunu]
5.26	pot, cooking vessel	kačapare; -kačapara
5.27	kettle	
5.28	pan	kawarasi
5.31	dish	kuruha
5.32	plate	kuruha
5.33	bowl	
5.34	pitcher, jug	yupi
5.35	cup, drinking vessel	[pusiyu]; -'erine
5.36	saucer	
5.37	spoon	[kučara]
5.38	knife	tumare; -tumara
5.39	fork	-tričira; trinči
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	-hačaʔa
5.47	sieve, strain	hirema; serasu
5.48	scrape	-'erekureka
5.49	stir, mix	-sirikiamača
5.51	bread	
5.53	dough	
5.54	knead	
5.55	meal, flour	[harina]; ['trigu]pa
5.56	crush, grind	-yuwaka; -yuwawahika
5.57	mill	tiyuwareka
5.58	mortar	tiyuwareka
5.59	pestle	
5.61	meat	-eče; ta-eče
5.63	sausage	
5.64	soup, broth	
5.65	vegetables	
5.66	bean	mapaka
5.7	potato	
5.71	fruit	taʔi
5.712	bunch	'etaʔa
5.75	fig	
5.76	grape	
5.77	nut	
5.78	olive	
5.79	oil	
5.791	grease, fat	-'uhewa; -sinanewa
5.81	salt	ičewe; -'ičewe-ra
5.82	pepper	
5.821	chili pepper	ičeti
5.84	honey	'mapa-ma
5.85	sugar	
5.86	milk (noun)	-čeneama
5.87	milk (vb)	-kapitika; -kapitirika
5.88	cheese	
5.89	butter	
5.9	beverage, drink	tači; takačirisi
5.91	mead	
5.92	wine	
5.93	beer	
5.94	fermented drink	
5.97	egg	warayuʔa; tasaruʔa
5.971	egg yolk	
6.11	put on (clothes)	-kamuiriʔa
6.12	clothing, clothes	-muiriʔa
6.13	tailor	
6.21	cloth	amaratatahi
6.22	wool	
6.23	linen, flax	
6.24	cotton	kahare
6.25	silk	
6.27	felt	
6.28	fur	
6.29	leather	paruma
6.31	spin	-'ihurureka
6.32	spindle	-hururupa
6.33	weave	-'ic̷amereka
6.34	loom	-nakaraki
6.35	sew	-paririka
6.36	needle	parirapa
6.37	awl	
6.38	thread	ic̷epi
6.39	dye	
6.41	cloak	
6.411	poncho	
6.42	woman's dress	esenamuiriʔa
6.43	coat	-'epakuʔa
6.44	shirt	[kamisa]
6.45	collar	
6.46	skirt	[-puyera]
6.461	grass-skirt	--
6.48	trousers	[-pantalune]
6.49	stocking, sock	
6.51	shoe	
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	si'asire; -siasi
6.57	belt, girdle	-'itihuʔe; itihuere
6.58	glove	
6.59	veil	
6.61	pocket	
6.62	button	[wutune]
6.63	pin	
6.71	ornament, adornment	
6.72	jewel	
6.73	ring (for finger)	[-surutiha]
6.74	bracelet	
6.75	necklace	-wite; 'wite-re
6.76	bead	-taʔi
6.77	earring	-taʔi; taire
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	amaratatahi
6.82	towel	
6.91	comb	mawe
6.92	brush	
6.921	braid	-'ic̷amesikawa
6.93	razor	
6.94	ointment	
6.95	soap	[hawu]
6.96	mirror	
7.11	dwell, live	
7.12	house	peti; -pena
7.13	hut	yusuhi
7.131	garden-house	-'awasasahi
7.14	tent	
7.15	yard, court	
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	tapaha; -pahakura
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	
7.26	floor	apakeʔe
7.27	wall	'yučama
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	
7.42	bed	-'imasirare; -makahi
7.421	pillow	-čunusi; čunusi-re
7.422	blanket	
7.43	chair	[siya]
7.44	table	[mesa]
7.45	lamp, torch	-mikaʔu
7.46	candle	'yukupi
7.47	shelf	
7.48	trough	
7.51	roof	tamaekeʔe; 'petimaekeʔe
7.52	thatch	muihi
7.53	ridgepole	tamic̷uki
7.54	rafter	
7.55	beam	
7.56	post, pole	esuiki
7.57	board	
7.58	arch	
7.61	mason	
7.62	brick	[labriyu]
7.63	mortar	
7.64	adobe	[aruwe]
8.11	farmer	
8.12	field (for cultivation)	isaniti; -'esane
8.13	garden	['flure]kihi
8.15	cultivate, till	-sukureka; -'ewačakiʔa
8.16	fence	nare-če; 'yučama
8.17	ditch	sikarapi
8.21	plow	
8.212	furrow	
8.22	dig	-seka; -sekakureka
8.23	spade	
8.24	shovel	kaiča
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	-'ewahapaika
8.311	seed	-'ewaraki; taki; -'ewaru
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	-'irehirika
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	sipani
8.48	rice	[arusu]
8.51	grass	iharehi; muihi
8.52	hay	
8.53	plant (noun)	'etahueku
8.531	plant (vb)	-sukureka
8.54	root	tapare
8.55	branch	tatawa
8.56	leaf	tapakahi
8.57	flower	[flure]
8.6	tree	yukuki
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	'epire
8.68	tobacco	saware
8.69	smoke (tobacco)	-sapirika
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	tamiraraki
8.74	forked branch	
8.75	bark	'taumama; 'taumama-ki
8.76	sap	tatu
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	[limu; narasa]
8.84	banana tree	'kaerena
8.85	banyan	
8.91	sweet potato	kaere
8.912	yam	
8.92	tapioca, manioc, cassava	kuhu
8.93	gourd	erepa
8.931	pumpkin, squash	makure
8.94	bamboo	
8.941	sugar cane	akutena
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	tačuma sapu
9.11	do, make	-'iča; -'epiyaka
9.12	work	-kaematane
9.14	bend	
9.15	fold	-'akuyaka
9.16	tie, bind	-'itiaka; -'itiareka
9.161	untie	
9.18	chain	[karena ~ kalena]pi
9.19	rope, cord	enure
9.192	knot (noun)	'taitiʔa
9.21	strike (hit, beat)	-'eʔameka
9.211	pound with fist	
9.22	cut	-'ečuka
9.221	cut down	-'akipaika
9.222	chop, hew	
9.223	stab	-'ečatikureka
9.23	knife	
9.24	scissors, shears	-wihisirape
9.25	ax	yawati
9.251	adze	
9.26	break	-'ewetuka; -'ewaraka
9.261	broken	
9.27	split	-'eheka; -'ehereka
9.28	tear	-'ec̷ayuka; -c̷era
9.29	flay, skin	
9.31	rub, wipe	-'apaturuaka
9.32	stretch	-katururuka
9.33	pull	-'e'tetumeka; -čuruka
9.34	spread out	-kaharuika
9.341	hang up	-čumuka
9.342	press	-'eɲac̷iʔirika
9.343	squeeze, wring	-kapitihika
9.35	pour	
9.36	wash	-kasipa
9.37	sweep	-piʔika
9.38	broom	piraki
9.422	tool	ematanerepa
9.43	carpenter	
9.44	build	
9.46	bore	
9.461	hollow out	-'amika; -'amireka
9.48	saw	
9.49	hammer	
9.5	nail	[klawu]
9.56	glue	
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	
9.65	silver	-merione; -[plata]ne
9.66	copper, bronze	
9.67	iron	[fierro]
9.68	lead (noun)	-'inapumirauča
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	ti'urahi
9.74	glass	[kristal]eʔi
9.75	weave, plait	-'ic̷amereka
9.76	basket	saye
9.77	mat	kuričepiraki
9.771	rug	
9.78	netbag	
9.79	fan (noun)	pewe
9.791	fan (vb)	'tekatikawa
9.81	carve	
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	
9.89	paint (vb)	-'epapaka
10.11	move	-kayamurika
10.12	turn over	-kaečarika
10.13	turn around	-'ewiuruka
10.14	wind, wrap	-muʔiča; -'ayuruaka
10.15	roll	-'ečaripuiča
10.16	drop (vb)	'taec̷ipa
10.17	twist	-'asarapikawa
10.21	rise	
10.22	raise, lift	-kaečepuka
10.23	fall	-'akipaikawa
10.24	drip	-tika; -'ec̷ipaika
10.25	throw	
10.252	catch (ball)	
10.26	shake	-'etatahika; -'etatameka
10.32	flow	
10.33	sink	-'erika
10.34	float	
10.35	swim	-'awareka
10.351	dive	-'esimuča
10.352	splash	
10.36	sail (vb)	-kapakure
10.37	fly (vb)	-ara
10.38	blow	-'ačahuka
10.41	creep, crawl	-mahirika
10.412	kneel	-'epuyuka
